Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionCharmedByHypnoticPatternTitle	Charmed by Hypnosis
Rules/&ConditionCharmedDescription	Considers the caster an ally.
Rules/&ConditionCharmedTitle	Charmed
Rules/&ConditionChilledDescription	Cannot gain hit points. If undead, disadvantage on attacking the caster.
Rules/&ConditionChilledTitle	Chilled
Rules/&ConditionCriticalCharacterDescription	If this character dies, the game is over.
Rules/&ConditionCriticalCharacterTitle	Critical Character
Rules/&ConditionCursedActionDescription	Must make a WIS saving throw to act.
Rules/&ConditionCursedActionTitle	Cursed (Action)
Rules/&ConditionCursedAttackRollDescription	Disadvantage to attack roll against caster.
Rules/&ConditionCursedAttackRollTitle	Cursed (Attack Roll)
Rules/&ConditionCursedCharismaDescription	Disadvantage on CHA saving throws and ability checks.
Rules/&ConditionCursedCharismaTitle	Cursed (Charisma)
Rules/&ConditionCursedConstitutionDescription	Disadvantage on CON saving throws and ability checks.
Rules/&ConditionCursedConstitutionTitle	Cursed (Constitution)
Rules/&ConditionCursedDamageDescription	Caster's attacks and spells against the target deal an extra 1d8 necrotic damage.
Rules/&ConditionCursedDamageTitle	Cursed (Damage)
Rules/&ConditionCursedDexterityDescription	Disadvantage on DEX saving throws and ability checks.
Rules/&ConditionCursedDexterityTitle	Cursed (Dexterity)
Rules/&ConditionCursedIntelligenceDescription	Disadvantage on INT saving throws and ability checks.
Rules/&ConditionCursedIntelligenceTitle	Cursed (Intelligence)
Rules/&ConditionCursedStrengthDescription	Disadvantage on STR saving throws and ability checks.
Rules/&ConditionCursedStrengthTitle	Cursed (Strength)
Rules/&ConditionCursedTitle	Cursed
Rules/&ConditionCursedWisdomDescription	Disadvantage on WIS saving throws and ability checks.
Rules/&ConditionCursedWisdomTitle	Cursed (Wisdom)
Rules/&ConditionDarkvisionDescription	See normally in dim light, and in natural darkness as if in dim light.
Rules/&ConditionDarkvisionTitle	Darkvision
Rules/&ConditionDazzledDescription	Cannot take reactions and has -2 Armor Class penalty.
Rules/&ConditionDazzledTitle	Dazzled
Rules/&ConditionDeadDescription	Cannot act until revived or resurrected.
Rules/&ConditionDeadTitle	Dead
Rules/&ConditionDeafenedDescription	Cannot hear anything.
Rules/&ConditionDeafenedTitle	Deafened
Rules/&ConditionDetectEvilandGoodDescription	Detected as aberration, celestial, elemental, fey, fiend, or undead.
Rules/&ConditionDetectEvilandGoodTitle	Detected as Evil/Good
Rules/&ConditionDetectMagicDescription	Able to detect magic nearby.
Rules/&ConditionDetectMagicTitle	Detect Magic
Rules/&ConditionDiscipleImmuneColdDescription	Immune to cold damage and regain HP from cold.
Rules/&ConditionDiscipleImmuneColdTitle	Scholar of the Elements (Cold)
Rules/&ConditionDiscipleImmuneFireDescription	Immune to lightning damage and regain HP from lightning.
Rules/&ConditionDiscipleImmuneFireTitle	Scholar of the Elements (Fire)
Rules/&ConditionDiscipleImmuneLightningDescription	Immune to fire damage and regain HP from fire.
Rules/&ConditionDiscipleImmuneLightningTitle	Scholar of the Elements (Lightning)
Rules/&ConditionDiseasedDescription	The creature is afflicted with a disease.
Rules/&ConditionDiseasedTitle	Diseased
Rules/&ConditionDisengagingDescription	Unaffected by opportunity attacks.
Rules/&ConditionDisengagingTitle	Disengaging
Rules/&ConditionDivineFavorDescription	Deals 1d4 additional radiant damage.
Rules/&ConditionDivineFavorTitle	Divine Favor
Rules/&ConditionDivinelyRevealedDescription	The creature's type and position are known to the caster of this effect.
Rules/&ConditionDivinelyRevealedTitle	Divinely Revealed
Rules/&ConditionDodgingDescription	Attacks on creature have disadvantage.
Rules/&ConditionDodgingTitle	Dodging
Rules/&ConditionDyingDescription	Will die soon unless stabilized.
Rules/&ConditionDyingTitle	Dying
Rules/&ConditionEncumberedDescription	Speed is reduced by 2.
Rules/&ConditionEncumberedTitle	Encumbered
Rules/&ConditionEnfeebledDescription	Half damage on STR based attacks.
Rules/&ConditionEnfeebledTitle	Weakened
Rules/&ConditionEntangledTitle	Entangled
Rules/&ConditionExhaustedDescription	Weakened by exhaustion.
Rules/&ConditionExhaustedTitle	Exhausted
Rules/&ConditionExpeditiousRetreatDescription	Can dash as a bonus action.
Rules/&ConditionExpeditiousRetreatTitle	Expeditious Retreat
Rules/&ConditionFalseLifeDescription	Additional temporary hit points.
Rules/&ConditionFalseLifeTitle	False Life
Rules/&ConditionFeatherFallingDescription	Cannot be hurt by falls.
Rules/&ConditionFeatherFallingTitle	Feather Falling
Rules/&ConditionFlyingDescription	Target creature gains a flying speed of 12 cells per move action.
Rules/&ConditionFlyingTitle	Flying
Rules/&ConditionForceOfLawDescription	Impose disadvantage on the target's next saving throw.
Rules/&ConditionForceOfLawTitle	Force of Law
Rules/&ConditionFormAddBeneficialFormat	Grants: {0}
Rules/&ConditionFormAddDetrimentalFormat	Inflicts: {0}
Rules/&ConditionFormAddNeutralFormat	Becomes: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Removes all occurrences of these conditions: {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Removes one random occurrence of these conditions: {0}.
Rules/&ConditionFormRemoveFormat	Removes: {0}
Rules/&ConditionFrightenedDescription	Unable to approach the source of fear, disadvantage on attack rolls and ability checks.
Rules/&ConditionFrightenedFearDescription	Must run away from the source of fear.
Rules/&ConditionFrightenedFearTitle	Frightened (Fear)
Rules/&ConditionFrightenedTitle	Frightened
Rules/&ConditionGateKeeperDescription	Advantage to death saving throws.
Rules/&ConditionGateKeeperTitle	Gate Keeper
Rules/&ConditionGiantStrengthCloudDescription	Strength becomes 27
Rules/&ConditionGiantStrengthCloudTitle	Giant Strength (Cloud)
Rules/&ConditionGiantStrengthFireDescription	Strength becomes 25
Rules/&ConditionGiantStrengthFireTitle	Giant Strength (Fire)
Rules/&ConditionGiantStrengthFrostDescription	Strength becomes 23
Rules/&ConditionGiantStrengthFrostTitle	Giant Strength (Frost)
Rules/&ConditionGiantStrengthHillDescription	Strength becomes 21
Rules/&ConditionGiantStrengthHillTitle	Giant Strength (Hill)
Rules/&ConditionGrappledDescription	Cannot move.
Rules/&ConditionGrappledTitle	Grappled
Rules/&ConditionGuidedDescription	Add 1d4 to one ability check.
Rules/&ConditionGuidedTitle	Guided
Rules/&ConditionHastedDescription	Speed is doubled; +2 AC; Dexterity saving throws have advantage; able to take one more action per turn (Attack, Dash, Dodge, Disengage, Hide, Use Item).
Rules/&ConditionHastedTitle	Hasted
Rules/&ConditionHealthyDescription	Not wounded.
Rules/&ConditionHealthyTitle	Healthy
Rules/&ConditionHeavilyEncumberedDescription	Speed is reduced by 4.\nDisadvantage to attack rolls.
Rules/&ConditionHeavilyEncumberedTitle	Heavily Encumbered
Rules/&ConditionHeavilyObscuredTitle	Heavily Obscured
Rules/&ConditionHeraldOfBattleDescription	+1 to AC; +1 to attack and damage; +1 to all saving throws.
Rules/&ConditionHeraldOfBattleTitle	Blessed by Herald of Battle
Rules/&ConditionHeroismTitle	Heroism
Rules/&ConditionHighlightedDescription	Creature cannot benefit from invisibility, attackers have advantage.
Rules/&ConditionHighlightedTitle	Highlighted
Rules/&ConditionHinderedDescription	Move speed -2.
Rules/&ConditionHinderedTitle	Hindered
Rules/&ConditionIncapacitatedDescription	Unable to take actions or reactions.
Rules/&ConditionIncapacitatedTitle	Incapacitated
Rules/&ConditionInStinkingCloudDescription	The creature has to make a successful CON saving to act on its turn.\nVision is heavily obscured.
Rules/&ConditionInStinkingCloudTitle	In Stinking Cloud
Rules/&ConditionInvisibleDescription	Cannot be seen without magic; creature has advantage on attacks; attackers have disadvantage.
Rules/&ConditionInvisibleTitle	Invisible
Rules/&ConditionJumpDescription	Jump distance increased.
Rules/&ConditionJumpTitle	Jump
Rules/&ConditionLethargicDescription	The creature cannot move or take any action until after its next turn.
Rules/&ConditionLethargicTitle	Lethargic
Rules/&ConditionLevitateDescription	The target creature hovers; caster can move it up or down.
Rules/&ConditionLevitateTitle	Levitating
Rules/&ConditionLifeDrainedDescription	Maximum hit points are reduced until a long rest is completed.
Rules/&ConditionLifeDrainedTitle	Drained
Rules/&ConditionLightHypersensitiveDescription	Wounded by light.
Rules/&ConditionLightHypersensitiveTitle	Light Hypersensitive
Rules/&ConditionLightSensitiveDescription	Disadvantaged by light.
Rules/&ConditionLightSensitiveTitle	Light Sensitive
Rules/&ConditionLongstriderDescription	Move speed increases by 2 cells.
Rules/&ConditionLongstriderTitle	Longstrider
Rules/&ConditionMagicallyArmoredDescription	Base Armor Class is set to 13.
Rules/&ConditionMagicallyArmoredTitle	Mage Armored
Rules/&ConditionMagicallyAsleepDescription	Unable to act until awoken.
Rules/&ConditionMagicallyAsleepTitle	Magically Asleep
Rules/&ConditionMagicalWeaponDescription	Weapon can wound enemies that are immune to non-magical attacks.
Rules/&ConditionMagicalWeaponTitle	Magical Weapon
Rules/&ConditionMarkedByBrandingSmiteDescription	Emits light; cannot become invisible; revealed if invisible.
Rules/&ConditionMarkedByBrandingSmiteTitle	Branding Smite
Rules/&ConditionMarkedByHunterDescription	Receives +1d6 damage when hit by the caster.
Rules/&ConditionMarkedByHunterTitle	Hunter's Mark
Rules/&ConditionMindControlledTitle	Mind Controlled
Rules/&ConditionOnFireDescription	Sustains continuous fire damage unless the fire is extinguished by an action.
Rules/&ConditionOnFireTitle	On Fire
Rules/&ConditionParalyzedDescription	Unable to act; attacks against creature have advantage; automatic critical hit if attacked from a neighboring cell.
Rules/&ConditionParalyzedTitle	Paralyzed
Rules/&ConditionPetrifiedDescription	Turned into stone; can hardly be hurt.
Rules/&ConditionPetrifiedTitle	Petrified
Rules/&ConditionPoisonedDescription	Disadvantage on attacks and ability checks.
Rules/&ConditionPoisonedTitle	Poisoned
Rules/&ConditionPossessedDescription	Controlled by a supernatural being.
Rules/&ConditionPossessedTitle	Possessed
Rules/&ConditionProneDescription	Can only move by crawling; vulnerable to close attacks.
Rules/&ConditionProneTitle	Prone
Rules/&ConditionProtectedFromEvilTitle	Protected from Evil and Good
Rules/&ConditionResistingDescription	Add +1d4 to one saving throw.
Rules/&ConditionResistingTitle	Resistant
Rules/&ConditionRestrainedDescription	Unable to move; creature's attacks and Dexterity saving throws have disadvantage; attacks against creature have advantage.
Rules/&ConditionRestrainedTitle	Restrained
Rules/&ConditionSeeInvisibilityDescription	Can perceive invisible creatures.
Rules/&ConditionSeeInvisibilityTitle	Invisibility Sight
Rules/&ConditionSeverelyWoundedDescription	Will soon die.
Rules/&ConditionSeverelyWoundedTitle	Severely Wounded
Rules/&ConditionShieldedByFaithDescription	Armor Class +2.
Rules/&ConditionShieldedByFaithTitle	Shielded by Faith
Rules/&ConditionShieldedDescription	Armor Class increases by +5 and immunity to magic missile.
Rules/&ConditionShieldedTitle	Shielded
Rules/&ConditionShockedDescription	Cannot use reactions.
Rules/&ConditionShockedTitle	Shocked
Rules/&ConditionSleetStormDescription	Difficult terrain; can fall prone; heavily obscured; must roll concentration check.
Rules/&ConditionSleetStormTitle	In Sleet Storm
Rules/&ConditionSlowedDescription	Speed halved; -2 to AC and DEX saves; max one action or bonus action; no reaction; max one attack per turn; spellcasting can fail.
Rules/&ConditionSlowedTitle	Slowed
Rules/&ConditionSpiderClimbDescription	Able to climb like a spider.
Rules/&ConditionSpiderClimbTitle	Spider Climb
Rules/&ConditionSpiritGuardiansDescription	Speed is halved; can sustain damage at the start of each turn.
Rules/&ConditionSpiritGuardiansSelfDescription	The character is currently protected by Spirit Guardians.
Rules/&ConditionSpiritGuardiansSelfTitle	Protected by Spirits.
Rules/&ConditionSpiritGuardiansTitle	Targeted by Spirits
Rules/&ConditionStealthyDescription	Actively hiding.
Rules/&ConditionStealthyTitle	Stealthy
Rules/&ConditionStunnedDescription	Unable to act or move; attacks against creatures have advantage; automatically fails Strength and Dexterity saving throws.
Rules/&ConditionStunnedTitle	Stunned
Rules/&ConditionSurprisedDescription	Unable to act for one round.
Rules/&ConditionSurprisedTitle	Surprised
Rules/&ConditionTargetedByGuidingBoltDescription	First attack against this creature has advantage.
Rules/&ConditionTargetedByGuidingBoltTitle	Targeted by Guiding Bolt
Rules/&ConditionTemporaryHitPointsDescription	The creature gains temporary hit points.
Rules/&ConditionTemporaryHitPointsTitle	Temporary HP
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	Damage of evocation spells increases by proficiency bonus and INT bonus.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Arcane Fury
Rules/&ConditionTrueStrikeDescription	Caster has advantage on his first attack against the spell's target.
Rules/&ConditionTrueStrikeTitle	True Strike
Rules/&ConditionTurnedDescription	Must move away from caster.
Rules/&ConditionTurnedTitle	Turned
Rules/&ConditionTypeBeneficialFormat	Beneficial Condition
Rules/&ConditionTypeDetrimentalFormat	Detrimental Condition
Rules/&ConditionTypeNeutralFormat	Neutral Condition
Rules/&ConditionUnconsciousDescription	Unable to act until awoken.
Rules/&ConditionUnconsciousTitle	Unconscious
Rules/&ConditionVampiricTouchDescription	Can perform a vampiric melee spell attack each turn.
Rules/&ConditionVampiricTouchTitle	Vampiric Touch
Rules/&ConditionWoundedDescription	Lost some hit points.
Rules/&ConditionWoundedTitle	Wounded
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provokes a concentration check.
Rules/&CounterFormDisperseCloudFormat	Disperses clouds in the area.
Rules/&CounterFormDissipateSpellsFormat	Spell up to level {0} automatically dispelled, DC {1}+ spell level otherwise.
Rules/&CounterFormExtinguishLightFormat	Extinguishes light sources in the area.
Rules/&CounterFormInterruptSpellcastingFormat	Spell up to level {0} automatically countered, DC {1}+ spell level otherwise.
Rules/&CounterFormRemoveDarknessFormat	Removes areas of darkness.
Rules/&DamageAcidDescription	The corrosive spray of a black dragon's breath and the dissolving enzymes secreted by a black pudding deal acid damage.
Rules/&DamageAcidTitle	Acid
Rules/&DamageBludgeoningDescription	Blunt force attacks - hammers, falling, constriction, and the like - deal bludgeoning damage.
Rules/&DamageBludgeoningTitle	Bludgeoning
Rules/&DamageColdDescription	The infernal chill radiating from an ice devil's spear and the frigid blast of a white dragon's breath deal cold damage.
Rules/&DamageColdTitle	Cold
Rules/&DamageFireDescription	Red dragons breathe fire, and many spells conjure flames to deal fire damage.
Rules/&DamageFireTitle	Fire
Rules/&DamageForceDescription	Force is pure magical energy focused into a damaging form. Most effects that deal force damage are spells, including magic missile and spiritual weapon.
Rules/&DamageForceTitle	Force
Rules/&DamageFormFormat	{0}{1}{2}{3} damage {4}
Rules/&DamageFormTightFormat	{0}{1}{2}{3} dmg {4}
Rules/&DamageLightningDescription	A lightning bolt spell and a blue dragon's breath deal lightning damage.
Rules/&DamageLightningTitle	Lightning
Rules/&DamageNecroticDescription	Necrotic damage, dealt by certain undead and spells such as chill touch, withers matter and even the soul.
Rules/&DamageNecroticTitle	Necrotic
Rules/&DamagePiercingDescription	Puncturing and impaling attacks, including spears and monster bites, deal piercing damage.
Rules/&DamagePiercingTitle	Piercing
Rules/&DamagePoisonDescription	Venomous stings and the toxic gas of a green dragon's breath deal poison damage.
Rules/&DamagePoisonTitle	Poison
Rules/&DamagePsychicDescription	Mental abilities deal psychic damage.
Rules/&DamagePsychicTitle	Psychic
Rules/&DamageRadiantDescription	Radiant damage, dealt by a cleric's flame strike spell or an angel's smiting weapon, sears the flesh like fire and overloads the spirit with power.
Rules/&DamageRadiantTitle	Radiant
Rules/&DamageSlashingDescription	Swords, axes, and monsters' claws deal slashing damage.
Rules/&DamageSlashingTitle	Slashing
Rules/&DamageThunderDescription	A concussive burst of sound, such as the effect of the thunderwave spell, deals thunder damage.
Rules/&DamageThunderTitle	Thunder
Rules/&DamageTitle	Damage: 
Rules/&DcFormat	DC {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Reveals all the properties of an item.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Senses the presence of creature types: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Reveals creatures or objects which are {0}.
Rules/&DurationAnyRestFormat	Until any rest
Rules/&DurationDayPluralFormat	{0} days
Rules/&DurationDaySingleFormat	{0} day
Rules/&DurationHourPluralFormat	{0} hours 
Rules/&DurationHourSingleFormat	{0} hour 
Rules/&DurationInstantaneousFormat	Instant
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Until long rest
Rules/&DurationMinutePluralFormat	{0} minutes 
Rules/&DurationMinuteSingleFormat	{0} minute 
Rules/&DurationNoneFormat	{0} round 
Rules/&DurationPermanentFormat	Permanent
Rules/&DurationRoundPluralFormat	{0} rounds 
Rules/&DurationRoundSingleFormat	{0} round 
Rules/&DurationShortRestFormat	Until short rest
Rules/&DurationUntilEndOfSourceTurnFormat	Until the end of the source character's turn.
Rules/&DurationUntilEndOfTargetTurnFormat	Until the end of this character's turn.
Rules/&DurationUntilStartOfSourceTurnFormat	Until the start of the source character's turn.
Rules/&DurationUntilStartOfTargetTurnFormat	Until the start of this character's turn.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Melee Hit
Rules/&EffectRangeRangeHitTitle	Ranged Hit {0}
Rules/&EffectRangeSelfTitle	Self
Rules/&EffectRangeTouchTitle	Touch
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0}{1}
Rules/&EffectTargetIndividualsUniqueTitle	{0}{1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	In Sight {0}
Rules/&EffectTargetItemTitle	Item
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0}{1}
Rules/&EffectTargetPositionTitle	Ground
Rules/&EffectTargetSelfTitle	Self
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0}{1}{2} healing
Rules/&HealingStabilize	Stabilizes a dying creature.
Rules/&HeightFormatFeet	{0}'
Rules/&HeightFormatFeetInches	{0}'{1}";{0}' {1}'';{0}'{1}"
Rules/&ItemPropertyFormFormat	On target item: \n{0}
Rules/&LightSourceFormFormat	light source: {0} bright + {1} dim 
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Levitate {0}
Rules/&MotionFormPullFormat	Pull in {0}
Rules/&MotionFormPushFormat	Push away {0}
Rules/&MotionFormTeleportFormat	Teleport {0}
Rules/&RateAtWillFormatTitle	at will
Rules/&RateChannelDivinityFormatTitle	short rest
Rules/&Rated6FormatTitle	on 5 or 6 on 1d6
Rules/&RateDawnFormatTitle	dawn
Rules/&RateHealingPoolFormatTitle	healing pool
Rules/&RateLongRestFormatTitle	long rest
Rules/&RateNoneFormatTitle	none
Rules/&RateOneMinuteFormatTitle	every minute
Rules/&RateShortRestFormatTitle	short rest
Rules/&RateSpellSlotFormatTitle	spell slots
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Ability to cast the {0} spell.
Rules/&RecipeRequiredTooltypeFormat	Proficiency with {0}
Rules/&SaveAffinityHalfDamageTitle	(save for {0})
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(save each turn to cancel)
Rules/&SaveAffinityNegateTitle	(save to negate)
Rules/&SituationalContextAttackerAwayFromTargetFormat	If attacker is away from the target:
Rules/&SituationalContextAttackerNextToTargetFormat	If attacker is next to the target:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	If attacker is on higher ground:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	if attacker has a conscious ally next to the target:
Rules/&SituationalContextNextToWallFormat	if creature is next to a wall:
Rules/&SituationalContextTargetIsEffectSourceFormat	if creature is attacking the source of the effect:
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Cantrip
Rules/&SpellLevel1FormatTitle	1st Level
Rules/&SpellLevel2FormatTitle	2nd Level
Rules/&SpellLevel3FormatTitle	3rd Level
Rules/&SpellLevel4FormatTitle	4th Level
Rules/&SpellLevel5FormatTitle	5th Level
Rules/&SpellLevel6FormatTitle	6th Level
Rules/&SpellLevel7FormatTitle	7th Level
Rules/&SpellLevel8FormatTitle	8th Level
Rules/&SpellLevel9FormatTitle	9th Level
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Recover half your class level (rounded up) of spells slots up to level {0}.
Rules/&SummonFormCreaturesMultipleFormat	Summon {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Summon {0}.
Rules/&SummonFormEffectProxyFormat	Summon "{0}" for you to control 
Rules/&SummonFormInventoryItemsMultipleFormat	Summon {0} (x {1}) to the inventory
Rules/&SummonFormInventoryItemsSingleFormat	Summon {0} to the inventory
Rules/&TemporaryHitPointsFormFormat	{0}{1}{2} temporary hit points
Rules/&TopologyFormProjectileBlockerFormat	Blocks ordinary projectiles (arrows, bolts, etc.)
Rules/&TopologyFormSightBlockerFormat	Blocks line of sight
Rules/&TurnOccurenceEndOfTurnFormat	End of Turn
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	End of Turn
Rules/&TurnOccurenceStartOfTurnFormat	Start of Turn
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nVersatile: {0}{1}{2}{3}
Rules/&VersatileTwoHandedTitle	Two-handed: 
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0}/{1} {2}
Rules/&TopologyFormDifficultThroughFormat	This area slows down those who walk through it.
Rules/&TopologyFormSightImpairedFormat	Creatures in this area cannot see anything.
Rules/&TopologyFormDangerousZoneFormat	This area hurts those who walk through it.
Rules/&EffectTargetCubeWithOffsetTitle	3-cell cube originating from you
Rules/&ConditionBlessingSorrtarrTitle	Blessing of Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Appears to relieve the Soraks of their vulnerability to light.
Rules/&ConditionAnnoyedByBeeTitle	Distracted by an Annoying Bee
Rules/&ConditionAnnoyedByBeeDescription	Disadvantage on concentration until next turn.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Detect Poison and Disease
Rules/&ConditionDetectPoisonAndDiseaseDescription	For the duration of the spell, you can sense poisonous creatures and disease within 6 cells of you.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Charmed by Animal Friendship
Rules/&ConditionCharmedByAnimalFrienshipDescription	This beast will be charmed for the spell's duration, or until you or one of your companions harms it.
Rules/&ConditionSanctuaryTitle	Sanctuary
Rules/&ConditionSanctuaryDescription	You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or harmful spell must make a Wisdom saving throw or choose another target.
Rules/&ConditionWardedBySanctuaryTitle	Shielded by Sanctuary
Rules/&ConditionWardedBySanctuaryDescription	You are warded until the spell ends or until you cast a spell or launch an attack.
Rules/&ConditionProtectedFromEnergyAcidTitle	Protected from Acid
Rules/&ConditionProtectedFromEnergyAcidDescription	Resistance to acid damage
Rules/&ConditionProtectedFromEnergyColdTitle	Protected from Cold
Rules/&ConditionProtectedFromEnergyColdDescription	Resistance to cold damage
Rules/&ConditionProtectedFromEnergyFireTitle	Protected from Fire
