Credits/&GameTechnicalVisionTitle	Game & Technical Vision
Credits/&ExternalQAQALeadTester	QA Lead Testers
Credits/&ExternalQAQATesters	QA Testers
Credits/&ExternalQAIT	IT Infrastructure Managers
Credits/&ExternalQACompatLead	Compatibility & Performance Lead Tester
Credits/&ExternalQACompatTester	Compatibility & Performance Testers
Credits/&SeniorWriterTitle	Senior Writer
Credits/&ExternalCommTeam	Communication Partners
Credits/&ExternalCommReberbName	Reverb Inc.
Credits/&ExternalCommReberbGeneralManager	General Manager
Credits/&ExternalCommReberbSnrPRManager	Sr PR Manager
Credits/&ExternalCommReberbMktManager	Marketing Manager
Credits/&ExternalCommReberbInfluencersPR	Influencers/Public Relations
Credits/&ExternalCommReberbOnlineMediamanager	Online Media Manager
Credits/&ExternalCommMinuitName	MinuitDouze
Credits/&ExternalCommMinuitCoFounder	Co-founder/Associate Director
Credits/&ExternalCommMinuitPRConsultant	PR Consultant
Credits/&ExternalCommDeadGoodPRName	Dead Good PR
Credits/&ExternalCommDeadGoodPRDirector	Director & Owner
Credits/&ExternalCommDeadGoodPRAccountManager	Account Manager
Credits/&ExternalCommDeadGoodPRDigitalCreatives	Digital Creatives Manager
Credits/&ExternalCommFireName	fire without smoke
Credits/&ExternalCommFireStudioHead	Studio Head
Credits/&ExternalCommFireSnrProd	Senior Producer
Credits/&ExternalCommFireClientDirector	Client Director
Credits/&ExternalCommBobbyName	Bobby Prod
Credits/&ExternalCommBobbyOwner	Owner & Producer
Credits/&ExternalCommBobbyProductionManager	Production Manager
Credits/&ExternalCommREZName	REZ Creative
Credits/&ExternalCommREZDirector	Creative Director & Producer
Credits/&ExternalCommBarbesName	Barbès Prod
Credits/&ExternalCommBarbesCoFounder	Co-founder
Credits/&ExternalCommSeptimeName	Septime Création
Credits/&ExternalCommSeptimeCEO	CEO
Credits/&ExternalCommSeptimeProducer	Project Manager
Credits/&ExternalCommSeptimeBackDev	Lead Back-end & Front-end Dev
Credits/&CNCAcknowledgementTitle	Avec le soutien du FAJV, fonds cofinancé par le Centre National du Cinéma et de l'Image animée et le Ministère de l'Economie et des Finances
Credits/&ExternalProdSweetAName	Sweet Arsenic
Credits/&ExternalProdSweetABusinessManager	Business Manager
Credits/&ExternalProdSweetALeadArtist	Lead Artist
Credits/&External3DProdTeam	3D Art Partners
Credits/&ExternalAnimProdTeam	Animation Partners
Credits/&ExternalProdLeikirName	Leikir
Credits/&ExternalProdOriginalForceName	Original Force LTD
Credits/&ExternalProdAnimator	Animator
Credits/&ExternalProdGameCoName	Gamecostudios Team
Credits/&ExternalProdBusinessDev	Business Development
Credits/&ExternalProdProjectManager	Project Manager
Credits/&ExternalProdArtLead	Art Lead
Credits/&ExternalProdProjectLead	Project Lead
Credits/&ExternalProdQualityCheck	Quality Check
Credits/&ExternalProdKeyArt	GamecoStudios Key Art Artist
Credits/&ExternalProdCharacterArtLead	Character Art Lead
Credits/&ExternalG4FProdName	G4F Prod
Credits/&ExternalG4FRecordsName	G4F Records
Credits/&ExternalG4FVoicesName	G4F Localisation (Voices)
Credits/&ExternalLeadSound	Lead Sound Designer
Credits/&ExternalSoundDesigner	Sound Designer
Credits/&ExternalCFO	CFO
Credits/&ExternalCOO	COO
Credits/&ExternalComposer	Music Composer
Credits/&ExternalLegal	Legal
Credits/&ExternalContentManager	Content Manager
Credits/&ExternalMasterRecordEngineer	Mastering & Recording Engineer
Credits/&ExternalRecordEngineer	Recording Engineer
Credits/&ExternalCopyist	Copyist
Credits/&ExternalMusicians	Musicians
Credits/&ExternalVoiceDirector	Voice Director & Dialog Editor
Credits/&ExternalPMSoundEditor	Project Management & Sound Editor
Credits/&ExternalSoundEditor	Sound Editors
Credits/&ExternalHerosActor	Hero Voice
Credits/&ExternalNPCActor	NPC Voice
Credits/&ExternalRealityzName	Realityz Team
Credits/&LeadLDLB	Lead Level Design & Level Build 
Credits/&LDLB	Level Design & Level Build 
Credits/&ToolsGameplayProgrammerTitle	Tools & Gameplay Engineer
Credits/&ExternalStudioCreative	Studio Creative Director
Credits/&ExternalUIUX	UI/UX Partners
Credits/&ExternalFigsName	Figs
Credits/&ExternalUIUXJob	UX/UI design by
Credits/&ExternalPlaytestBy	Playtest and reports by
Credits/&ExternalSkillooName	Skilloo
Credits/&TATeamName	Tactical Adventures Team
Credits/&SpecialThanks	Special Thanks
Credits/&ExternalTech	Technical Partners
Credits/&ExternalKnightsName	Knights of Unity
Credits/&ExternalUnityDev	Unity Developer
Credits/&ExternalLoca	Localization Partner
Credits/&ExternalAltaName	Altagram Group
Credits/&ExternalAltaLQA	LQA Test Lead
Credits/&ExternalAltaLingCoord	Linguistic Coordinator
Credits/&Baby	Solastan Baby
Credits/&Pets	Solastan Pets
Credits/&PetsNote	Thank you for all the spilled coffee on the keyboards and the video call intrusions
Credits/&ExternalQAPartners	QA Partners
Credits/&ExternalCSPartners	2D Cutscene Partner
Credits/&ExternalSound	Audio Partners
Credits/&AssocQAProd	Associate QA & Producer
Credits/&ExternalAltaLingCoordMale	Linguistic Coordinator
Credits/&TechLevelDesigner	Technical Level Designer
Credits/&TALyon	Tactical Adventures - Lyon
Credits/&SeniorProducerFemaleTitle	Senior Producer
Credits/&TAStudioDirector	Studio Director
Credits/&LeadGameDesigner	Lead Game Designer
Credits/&JunArtDirectorFemaleTitle	Junior Artistic Director
Credits/&LeadTechnicalArtist	Lead Technical Artist
Credits/&LeadAnimMocapAndKeyframe	Lead Animator, Mocap & Keyframe
Credits/&LeadDevelopper	Lead Developper
Credits/&CommuDesign	Community Designers
Credits/&CommuDesignMagicArmor	Magic Armor
Credits/&QASpecialist	QA specialist
