Tip/&LoadingTip01	Casting spells consumes spell slots. Most classes regain spell slots after a long rest.
Tip/&LoadingTip27	Flying spells or artifacts can let you move almost anywhere you want. But losing concentration means falling - possibly to your death.
Tip/&LoadingTip28	When a battle starts, all creatures involved roll initiative to determine the play order. High dexterity raises your initiative.
Tip/&LoadingTip29	Battles sometimes begin with one side being surprised. Surprised characters or creatures cannot act during the first round of battle.
Tip/&LoadingTip30	You can set up weapon slots to change quickly from sword and shield to bow, for example, or to draw a torch along with a one-handed weapon. Prepare any combo you like.
Tip/&LoadingTip31	Many consumables can be set up in the utility slot, making them available more quickly than the inventory would.
Tip/&LoadingTip32	When you find a mysterious item, use Detect Magic first to determine whether it has magical properties. If it does, use Identify to learn how to use it.
Tip/&LoadingTip33	Ingredients are various items like flowers, powders, and magic gems, allowing you to craft a variety of items, from healing potions to powerful magic swords.
Tip/&LoadingTip34	To craft, you need the relevant proficiency. Your ability scores matter, too. For instance, to craft a scroll you need proficiency with the scroll kit, and Arcana will help a lot.
Tip/&LoadingTip35	Crafting can be performed during downtime while traveling. A character with a crafting operation in progress works on their task before sleeping.
Tip/&LoadingTip36	Personality flags influence the dialog lines spoken by a character. They don't make choices for you - they simply change the flavor of the experience.
Tip/&LoadingTip37	When speaking to an NPC, the most suitable character in the party will automatically use Insight to guess which approach is most likely to work with them.
Tip/&LoadingTip38	Your group has a specific level of relations with each of the game's factions. The more they like you, the more items they will sell you, and the lower their prices will be.
Tip/&LoadingTip39	When bringing back items from the Badlands, choose which faction to sell them to. This will influence your relations with them.
Tip/&LoadingTip40	Disengage can be used as a main action, allowing you to move outside the enemies' range without risking opportunity attacks.
Tip/&LoadingTip41	When an enemy is in a neighboring cell, you are engaged. If you move away from that enemy, you risk suffering an opportunity attack.
Tip/&LoadingTip42	Rogues can use sneak attack to increase their damage when they attack an enemy that is in a cell next to an ally, unless they have disadvantage on their attack roll.
Tip/&LoadingTip43	Wielding two light weapons allows you to perform a second attack with your bonus actions. Both weapons need the Light tag.
Tip/&LoadingTip44	Wielding a finesse weapon allows you to use Dexterity as the main ability score for the attack, if it is better than Strength. Check for the Finesse tag.
Tip/&LoadingTip45	A weapon with the Versatile tag can be used with one or two hands. If you leave the second hand slot empty, you'll deal more damage with such a weapon. Example: a longsword.
Tip/&LoadingTip47	To level up, your characters need to take a long rest. They will gain their new power when waking up.
Tip/&LoadingTip12	At the edge of your light sources, the environment is in dim light. You don't need Darkvision to see in dim light.
Tip/&LoadingTip11	Lighting is a crucial element of the game; characters without Darkvision will attack an unlit foe with disadvantage. Use torches and light spells to illuminate your environment.
Tip/&LoadingTip46	To split a stack of items, drag and drop the stack onto an empty cell while holding down the CTRL key. This will take one unit from the stack.
Tip/&LoadingTip24	Levitation spells and artifacts allow you to float up or down instead of climbing. You can also force an enemy to float in mid-air instead of rushing toward you if its size is medium or smaller.
Tip/&LoadingTip48	You can change the difficulty settings of the game on the fly at any time.
Tip/&LoadingTip49	If you experience lag/latency in multiplayer, lower the graphical settings/quality level on the slowest machines.
Tip/&LoadingTip25Gamepad	Hold <sprite index={10}> and select the same character twice, or press <sprite index={3}> to center the camera on the first character of the party.
Tip/&LoadingTip46Gamepad	To split a stack of items, double press <sprite index={0}> or open the item menu by pressing <sprite index={7}>
