Prop/&CandelabraTitle	Candelabra
Prop/&ThicketTitle	Thicket
Prop/&TentTitle	Tent
Prop/&BushesTitle	Bushes
Prop/&DoubleThinDoorTitle	Double thin door
Prop/&DoubleThinDoorDescription	A double thin door to open
Prop/&TombstoneTitle	Tombstone
Prop/&TombstonePackTitle	Pack of tombstones
Prop/&FieldTitle	Field
Prop/&FieldBlockedDescription	Field with crops
Prop/&FieldDifficultDescription	An open field with difficult terrain
Prop/&HayStackTitle	Haystack
Prop/&LogsTitle	Wood logs
Prop/&CaveEntranceTitle	Cave entrance
Prop/&DrainGrateTitle	Drain grate
Prop/&Path_StraightTitle	Straight path
Prop/&Path_TurnTitle	Curved path
Prop/&Path_YjunctionTitle	Y-shaped crossroads
Prop/&Path_SjunctionTitle	S-shaped crossroads
Prop/&Path_EndTitle	Dead end
Prop/&Path_CrossRoadTitle	X-shaped crossroads
Prop/&PlanksTitle	Wood planks
Prop/&StumpTitle	A dead tree stump
Prop/&LadderTitle	Ladder
Prop/&FakeLadderUpTitle	Fake Ladder
Prop/&FakeLadderUpDescription	Fake ladder used to represent a dungeon exit/entrance. For use in combination with an exit/entrance gadget
Prop/&ArchTitle	Arch
Prop/&CellTitle	Cell
Prop/&ColumnDestroyedTitle	Destroyed Column
Prop/&ColumnLowgroundTitle	Lowground Column
Prop/&ColumnLowgroundDescription	A decorative column placable only on lowground
Prop/&CreeperTitle	Creeper/Ivy
Prop/&RootTitle	Roots
Prop/&ScaffoldingTitle	Scaffoldings
Prop/&StairsTitle	Stairs
Prop/&StairsDestoyedTitle	Destroyed Stairs
Prop/&WallDestoyedTitle	Destroyed Wall
Prop/&WallLinkTitle	Wall Link
Prop/&SlopeTitle	Slope
Prop/&TrunkTitle	Trunk
Prop/&WoodLogTitle	Wood Log
Prop/&CookingStuffTitle	Cooking pot
Prop/&ArchEndTitle	Destroyed Arch
Prop/&ColumnTitle	Column
Prop/&RuinedKioskTitle	Ruined kiosk
Prop/&RuinedWallTitle	Ruined wall
Prop/&CaravanTitle	Caravan
Prop/&BridgeTitle	Bridge
Prop/&RitualStoneTitle	Ritual Stone
Prop/&SkullPileTitle	Skull Pile
Prop/&Beam_ScreenTitle	Beam Screen
Prop/&Tavern_CounterTitle	Tavern Counter
Prop/&Walls_LowTitle	Low Wall
Prop/&PennantTitle	Pennant
Prop/&HousePatchTitle	Market
Prop/&Drying_ClothesTitle	Hanging Clothes
Prop/&WoodFenceTitle	Wood Fences
Prop/&FountainTitle	Fountain
Prop/&GallowTitle	Gallow
Prop/&Flowers_PatchTitle	Flower Bush
Prop/&Flowerbed_LineTitle	Flowerbed Line
Prop/&Garden_GroundTitle	Garden Ground
Prop/&Garden_HedgeTitle	Garden Hedge
Prop/&KioskTitle	Garden Kiosk
Prop/&Wall_CreeperTitle	Wall Creeper
Prop/&Wall_CreeperDescription	Vegetation patch to place on top of walls
Prop/&HouseTitle	House
Prop/&Paved_Road_StraightTitle	Paved Road Straight
Prop/&Paved_Road_SquareTitle	Paved Road Square
Prop/&Paved_Road_TurnTitle	Paved Road Turn
Prop/&Paved_Road_TShapeTitle	Paved Road T-Shape
Prop/&Paved_Road_CrossTitle	Paved Road Cross Section
Prop/&Paved_Road_DeadEndTitle	Paved Road Dead End
Prop/&Information_BoardTitle	Information Board
Prop/&SeparatorTitle	Separator
Prop/&SeparatorDescription	Wooden beam to place between thin walls
Prop/&JuniperGroundTitle	Juniper Ground Patch
Prop/&ManholeCoverTitle	Manhole Cover
Prop/&Merchant_BannerTitle	Merchant Banner
Prop/&Merchant_SignTitle	Merchant Sign
Prop/&NightStandTitle	Nightstand
Prop/&ShopStructureTitle	Shop Structure
Prop/&ShopBookStandTitle	Book Shop Stand
Prop/&ShopFoodStandTitle	Food Shop Stand
Prop/&ShopGeneralStoreTitle	General Store Stand
Prop/&GenericShopTitle	Generic Shop Stand
Prop/&ShopMagicTitle	Magic Shop Stand
Prop/&ShopBookCounterTitle	Book Shop Counter
Prop/&ShopFoodCounterTitle	Food Shop Counter
Prop/&ShopGeneralCounterTitle	General Shop Counter
Prop/&Shop_WoodenShedTitle	Wooden Shack
Prop/&TownSeparationWallsTitle	Town Inner Walls
Prop/&TownSeparationButressTitle	Town Inner Butress
Prop/&SmallWallsLadderTitle	Easy Climb Ivy
Prop/&SmallWallsLadderDescription	To place on wall blockers ONLY
Prop/&StableTitle	Stable
Prop/&Statue_Little_EmperorTitle	Statue of a young Emperor
Prop/&Statue_Maisy_JadeTitle	Statue of Maisy (jade)
Prop/&Statue_Maisy_StoneTitle	Statue of Maisy (stone)
Prop/&Statue_Maisy_MarbleTitle	Statue of Maisy (marble)
Prop/&Statue_MisayeTitle	Statue of Misaye
Prop/&StreetLampostTitle	Street Lamp
Prop/&StairsConnectorTitle	Stairs Connector
Prop/&StairsConnectorDescription	A stair case to connect low ground to high ground rooms
Prop/&WallButressTitle	Butress
Prop/&WoodPalissadeTitle	Wood Palissade
Prop/&WoodPalissadeDescription	Grants heavy cover
Prop/&House_ExtensionTitle	Extension (house)
Prop/&House_ExtensionDescription	To place along house's walls
Prop/&Wooden_BeamTitle	Wooden Beam
Prop/&Y_SeparatorTitle	Y Shape Wooden Beam
Prop/&Y_SeparatorDescription	To be placed on walls (not thin walls)
Prop/&BurningDebrisTitle	Burning Debris
Prop/&CastleInnerWallTitle	Castle Inner Wall
Prop/&CastleWallFillerTitle	Castle Inner Wall Filler
Prop/&CastleWallDoorwayTitle	Castle Inner Wall Doorway
Prop/&CastleWallObstacleTitle	Castle Inner Wall Obstacle
Prop/&CastleTowerTitle	Castle Tower
Prop/&CastleWallTitle	Castle Wall
Prop/&BrokenFurnituresTitle	Broken Furniture
Prop/&PalaceTitle	Elven Palace
Prop/&BarraksTitle	Barrack
Prop/&TreeTitle	Single Tree
Prop/&CaveWallDoorwaysTitle	Free Wall - Doorway
Prop/&TrophyTitle	Hunting Trophy
Prop/&TrophyDescription	To be placed on walls (not thin walls)
Prop/&BoatTitle	Boat
Prop/&DresserTitle	Dresser
Prop/&HutWitchTitle	Hut Witch
Prop/&LakeTitle	Small Lake
Prop/&PuddleTitle	Puddle
Prop/&Trunk_CrawlingTitle	Fallen Trees
Prop/&Trunk_CrawlingDescription	You can crawl under the fallen trees.
Prop/&WoodenHouseTitle	Wooden House
Prop/&SuspendingLanternTitle	Hanging Lantern
Prop/&NestGiantTitle	A Giant Nest
Prop/&SquarePlantTitle	Globe Map Garden
Prop/&ThroneTitle	Throne
Prop/&SuspendingPlanterTitle	Hanging Plant
Prop/&MagicRuneTitle	Magic Rune
Prop/&BenchDestroyedTitle	Destroyed Bench
Prop/&CorpseClericTitle	Cleric Armor
Prop/&CorpseFullPlateTitle	Full Plate Armor
Prop/&CorpseScaleMailTitle	Scale Mail
Prop/&CorpseSorcererTitle	Sorcerer Corpse
Prop/&OutpostTitle	Ruined Outpost
Prop/&PlateauTitle	Plateau
