AttributeModifier/&AncientForestAttributeModifierBarkskinDescription Класс Доспеха устанавливается на	16.
Feature/&ClassWarlockMysticArcanumSetDescription Ваш покровитель наделяет вас магическим секретом, называемым тайной. Вы можете разыграть заклинание аркана один раз, не тратя ячейку заклинания. Вы должны закончить продолжительный отдых, прежде чем сможете сделать это снова. На более высоких уровнях вы получаете больше заклинаний Чернокнижника по вашему выбору, которые можно использовать таким образом: одно заклинание 6-го уровня на 11-м уровне, одно заклинание 7-го уровня на 13-м уровне, одно заклинание 8-го уровня на 15-м уровне и одно заклинание 9-го уровня. заклинание 17-го	уровня.
Feature/&ClassWarlockMysticArcanumSetTitle Таинственный	Арканум
Feature/&ClassWarlockSavingThrowProficiencyDescription Мудрость,	Харизма.
Feature/&ClassWarlockSavingThrowProficiencyTitle	Спасброски
Feature/&ClassWarlockSkillProficiencyDescription Выберите 2 из этих навыков: Тайна, Обман, История, Запугивание, Расследование, Природа и	Религия.
Feature/&ClassWarlockSkillProficiencyTitle Навыки	чернокнижника
Feature/&ClassWarlockSpellcastingDescription Ваши тайные исследования и магия, дарованная вам вашим потусторонним покровителем, дали вам возможность обращаться с	заклинаниями.
Feature/&ClassWarlockSpellcastingTitle Магия Пакта	Чернокнижника
Feature/&ClassWarlockToolsProficiencyDescription Вас научили варить лечебные травы и пользоваться зачаровывающим	снаряжением.
Feature/&ClassWarlockToolsProficiencyTitle Магическое ремесло	чернокнижника
Feature/&ClassWarlockWeaponProficiencyDescription Простое	оружие.
Feature/&ClassWarlockWeaponProficiencyTitle Мастерство оружия	чернокнижника
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceDescription Когда ваше здоровье снижается до 0, но вы не убиты, вместо этого вы можете упасть до 1	HP.
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceTitle Неумолимая	выносливость
Feature/&DevilsSightDescription Вы можете нормально видеть в темноте, как магической, так и немагической, на расстоянии 120	футов.
Feature/&DevilsSightTitle Дьявольский	взгляд
Feature/&DH_BlinkDescription В качестве бонусного действия вы исчезаете со своего текущего плана существования, предотвращая все повреждения. В начале вашего следующего хода вы возвращаетесь в клетку, из которой	исчезли.
Feature/&DH_BlinkTitle	мерцать
Feature/&DH_FadeIntoTheVoidDescription Когда ваши очки здоровья не опускаются ниже 0, вместо этого ваши ОЗ падают до 1, вы ненадолго исчезаете в пустоте, чтобы уменьшить урон. Вы не можете использовать эту способность снова, пока не закончите продолжительный	отдых.
Feature/&DH_FadeIntoTheVoidTitle Исчезать в	пустоте
Feature/&DH_RiftCloakDescription Ваш контроль над порталами разлома увеличился до такой степени, что теперь вы можете предоставить защиту разлома другим. Вы можете использовать оберегающие узы по желанию (без разделения	урона).
Feature/&DH_RiftCloakTitle Плащ	Разлома
Feature/&DH_RiftControlDescription Ненадолго окруженный энергией разлома, вы телепортируетесь в незанятое пространство. Теперь вы можете взять с собой союзника при телепортации, и радиус действия значительно	увеличился.
Feature/&DH_RiftControlTitle Портал	Разлома
Feature/&DH_RiftStrikeDescription Раз в день при получении урона в ближнем бою вы можете реакцией создать портал, изгоняющий атакующего на 1 раунд из вашего плана	существования.
Feature/&DH_RiftStrikeTitle Удар	Разлома
Feature/&DH_RiftWalkDescription Ненадолго окруженный энергией пустоты между мирами, вы телепортируетесь на расстояние до 30 футов в незанятое пространство, которое можете	видеть.
Feature/&DH_RiftWalkTitle Шаг	Разлома
Feature/&DHAncientForestBonusCantripDescription Ваш покровитель делится секретами природы того, как связаны природная магия и жизненная энергия. Вы изучаете Shillelagh и Леденящее касание.
Feature/&DHAncientForestBonusCantripTitle Бонусные заклинания древнего	леса
Feature/&DHConjureMinorElementalsBonusCantripDescription Ваш контроль над энергиями элементалей увеличился до такой степени, что теперь у вас есть власть над более слабыми элементалями. Вы можете сотворить второстепенного элементаля по	желанию.
Feature/&DHConjureMinorElementalsBonusCantripTitle Стихийные	миньоны
Feature/&DHPactOfTheTomeFeatureSetDescription Ваш покровитель дает вам гримуар под названием «Книга теней». Когда вы получаете эту способность, выберите три колдовства из списка заклинаний любого класса. Заговоры не обязательно должны быть из одного списка заклинаний. Пока книга находится у вас, вы можете колдовать по своему желанию. Они не учитываются при подсчете количества известных колдовств. Любое колдовство, которое вы разыгрываете с помощью этой способности, считается для вас колдовством	чернокнижника.
Feature/&DHPactOfTheTomeFeatureSetTitle Пакт	Тома
Feature/&DHWardingBondBonusCantripDescription Ваш контроль над порталами разлома увеличился до такой степени, что теперь вы можете предоставить защиту разлома другим. Вы можете использовать оберегающие узы по желанию (без разделения	урона).
Feature/&DHWardingBondBonusCantripTitle Плащ	Разлома
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription Когда вы призываете фамильяра, вы можете выбрать одну из следующих особых форм: имп, псевдодракон, квазит или	спрайт.
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle Пакт	цепи
Feature/&DreadfulWordTitle Ужасное	слово
Feature/&EldritchBlastGraspingHandBonusCantripDescription Когда вы поражаете существо своим сверхъестественным взрывом, вы можете переместить это существо по прямой линии на 10 футов ближе к	себе.
Feature/&EldritchBlastGraspingHandBonusCantripTitle Хватающий	взрыв
Feature/&EldritchBlastRepellingBlastBonusCantripDescription Когда вы попадаете в существо сверхъестественным взрывом, вы можете оттолкнуть его на расстояние до 10 футов от себя по прямой	линии.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle Отражение	взрыва
Feature/&EldritchMindDescription Вы совершаете с преимуществом спасброски Телосложения, совершаемые для сохранения концентрации на	заклинании.
Feature/&EldritchMindTitle Жуткий	разум
Feature/&EldritchSightTitle Жуткий	взгляд
Feature/&EldritchSmiteDescription Один раз за ход, когда вы попадаете по существу своим оружием договора, вы можете потратить ячейку заклинания Чернокнижника, чтобы нанести цели дополнительный силовой урон 1d8 плюс еще 1d8 за каждый уровень ячейки	заклинания.
Feature/&EldritchSmiteTitle Жуткий	удар
Feature/&ElementalPactAirPlane	Самолет
Feature/&ElementalPactAstralPlane Астральный	план
Feature/&ElementalPactEarthPlane Земной	план
Feature/&ElementalPactEtherealPlane Эфирный	план
Feature/&ElementalPactFirePlane Пожарный	самолет
Feature/&ElementalPactIcePlane Ледяной	самолет
Feature/&ElementalPactShadowPlane теневой	самолет
Feature/&ElementalPatronDummyFeatureSetTitle	Элементалист
Feature/&ElementalPatronElementalConditionFormatDescription Наносите дополнительные {1} урона, равные вашему бонусу мастерства, при первом попадании в каждом	раунде.
Feature/&ElementalPatronElementalConditionFormatTitle Направление	{0}
Feature/&ElementalPatronElementalDamageFormatDescription Поддерживая {0}, наносите дополнительно {1} урона, равного вашему бонусу мастерства, при первом попадании в каждом	раунде.
Feature/&ElementalPatronElementalDamageFormatTitle Стихийный урон:	{0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription Поддерживая {0}, вы получаете иммунитет к {1} и применяете бонус мастерства в виде урона того же типа при первом попадании в каждом	раунде.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle Направление	{0}
Feature/&ElementalPatronElementalFormFormatDescription Поддерживая {0}, вы получаете Сопротивление урону {1} ​​и применяете бонус мастерства в виде урона того же типа к первому попаданию в каждом	раунде.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description Ваши знания об элементалях увеличились до такой степени, что теперь вы получаете преимущество в проверках характеристик по отношению к элементалям и наносите дополнительный урон против элементалей, равный вашему уровню знаний. Вы больше не можете быть очарованы или напуганы	элементалями.
Feature/&ElementalPatronFeatureSet_Level06Title Знание	элементалей
Feature/&EyesoftheRuneKeeperDescription Вы можете прочитать все	написанное.
Feature/&EyesoftheRuneKeeperTitle Глаза хранителя	рун
Feature/&FiendishVigorTitle Дьявольская	энергия
Feature/&GiftoftheEverLivingOnesDescription Восстанавливает максимально возможное количество ОЗ от любого	исцеления.
Feature/&GiftoftheEverLivingOnesTitle Дар	вечноживущих
Feature/&GiftoftheProtectorsDescription Когда Ваши очки здоровья опускаются до 0, существо вместо этого магическим образом сохраняет 1 ОЗ. Как только эта магия сработает, вы не сможете извлечь из нее пользу, пока не закончите продолжительный	отдых.
Feature/&GiftoftheProtectorsTitle Дар	защитников
Feature/&HerbalBrewDescription Когда вы заканчиваете продолжительный отдых, вы можете приготовить травяной отвар, каждый из которых действует до следующего продолжительного отдыха. Вы делаете общее количество отваров, равное вашему бонусу мастерства. Для каждого напитка выберите один из следующих эффектов:\n<color=#add8e6ff>Укрепляющий отвар</color>: дает сопротивление различным типам урона на 1 час.\n<color=#add8e6ff>Ускоряющий отвар</color>: дает 2d4 хита.\n<color=#add8e6ff>Отравляющий отвар</color>: действует как яд, который можно применить к оружию в течение 1 минуты. Если попадание достигает цели, цель получает урон ядом 1d4 при каждом	попадании.
Feature/&HerbalBrewFeatureSetDescription Вы получаете владение либо набором отравителя, либо набором травничества, если у вас его еще нет.\nКогда вы заканчиваете продолжительный отдых, вы можете приготовить травяной отвар, каждый из которых действует до следующего продолжительного отдыха. Вы делаете общее количество отваров, равное вашему бонусу мастерства. Для каждого напитка выберите один из следующих эффектов:\n<color=#add8e6ff>Укрепляющий отвар</color>: дает сопротивление различным типам урона на 1 час.\n<color=#add8e6ff>Ускоряющий отвар</color>: дает 2d4 хита.\n<color=#add8e6ff>Отравляющий отвар</color>: действует как яд, который можно применить к оружию в течение 1 минуты. Если попадание достигает цели, цель получает урон ядом 1d4 при каждом	попадании.
Feature/&HerbalBrewFeatureSetTitle Травяное	пивоварение
Feature/&HinderingBlastDescription Когда вы поражаете существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца своего следующего	хода.
Feature/&HinderingBlastMagicAffinityDescription когда вы попадаете в существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца вашего следующего	хода.
Feature/&HinderingBlastMagicAffinityTitle Сдерживающий	взрыв
Feature/&HinderingBlastTitle Сдерживающий	взрыв
Feature/&ImprovedPactWeaponDescription Вы можете использовать любое оружие в качестве фокуса для ваших заклинаний Чернокнижника. Кроме того, оружие получает бонус +1 к броскам атаки и	урона.
Feature/&ImprovedPactWeaponTitle Улучшенное оружие	договора
Feature/&MiretheMindTitle болото	разума
Feature/&MoonLitDarknessImmunityDescription Вы невосприимчивы к состоянию	Тьмы.
Feature/&MoonLitDarknessImmunityTitle Лунная	тьма
Feature/&MoonLitExpandedSpelllistAfinityDescription Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание Чернокнижника. Следующие заклинания добавлены для вас в список заклинаний Чернокнижника:	{0}
Feature/&MoonLitExpandedSpelllistAfinityTitle Лунные	заклинания
Feature/&MoonLitLightAffinityDescription Если вы начинаете свой ход в естественной темноте, вы становитесь невидимым. Движение, атака или использование любой силы или заклинания, нацеленного не только на вас, снимает	невидимость.
Feature/&MoonLitLightAffinityStrongDescription Umbral Cloak теперь работает при тусклом свете и магической	тьме.
Feature/&MoonLitLightAffinityStrongTitle Улучшенный темный	плащ
Feature/&MoonLitLightAffinityTitle Теневой	плащ
Feature/&OneWithShadowsDescription Если вы начинаете свой ход в естественной темноте, вы становитесь невидимым. Движение, атака или использование любой силы или заклинания, нацеленного не только на вас, снимает	невидимость.
Feature/&OneWithShadowsLightAffinityDescription Если вы начинаете свой ход в естественной темноте, вы становитесь невидимым. Движение, атака или использование любой силы или заклинания, нацеленного не только на вас, снимает	невидимость.
Feature/&OneWithShadowsLightAffinityStrongDescription One With Shadows теперь работает при тусклом свете и магической	темноте.
Feature/&OneWithShadowsLightAffinityStrongTitle Темные	тени
Feature/&OneWithShadowsLightAffinityTitle Один с	тенями
Feature/&OneWithShadowsStrongerDescription One With Shadows теперь работает при тусклом свете и магической	темноте.
Feature/&OneWithShadowsStrongerTitle Темные	тени
Feature/&OneWithShadowsTitle Один с	тенями
Feature/&OtherworldlyLeapTitle Потусторонний	прыжок
Feature/&ProficiencySoulBladeArmorDescription Легкая броня, средняя броня и	щит.
Feature/&ProficiencySoulBladeArmorTitle Навыки Доспеха Клинка	Души
Feature/&ProficiencySoulBladeWeaponDescription Простое оружие, Боевое	оружие.
Feature/&ProficiencySoulBladeWeaponTitle Навыки оружия клинка	души
Feature/&RiftWalkerRestrainedImmunityTitle Мимолетный	шаг
Feature/&RiftWalkerSpellsMagicAffinityDescription Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание Чернокнижника. Следующие заклинания добавлены для вас в список заклинаний Чернокнижника:	{0}
Feature/&RiftWalkerSpellsMagicAffinityTitle Заклинания	бродяги
Feature/&ShroudofShadowTitle Покров	тени
Feature/&ThiefofFiveFates Разыгрывать {0} один раз в	день
Feature/&ThiefofFiveFatesTitle Вор пяти	судеб
Feature/&ThirstingBladeDescription Вы можете атаковать своим оружием дважды, а не один раз, каждый раз, когда в свой ход совершаете действие	Атака.
Feature/&ThirstingBladeTitle Жаждущий	клинок
Feature/&TrickstersEscapeTitle Побег	Трикстера
Feature/&WallofThornsFeatureSetDescription Используйте Стена Корней один раз в	день.
Feature/&WallofThornsFeatureSetTitle Стена Корней
Feedback/&AdditionalDamageAgonizing_BlastFormat Мучительный	взрыв
Feedback/&AdditionalDamageAgonizing_BlastLine Когда вы разыгрываете Жуткий взрыв, вы добавляете свой модификатор Харизмы к урону, который он наносит при	попадании.
Feedback/&AdditionalDamageEldritchSmiteFormat Жуткий	удар!
Feedback/&AdditionalDamageEldritchSmiteLine {0} поражает {1}	(+{2})
Feedback/&AdditionalDamageElementalDamageFormat Стихийный	урон
Feedback/&AdditionalDamageElementalDamageLine Элементарная форма дает дополнительный	урон
Feedback/&AdditionalDamagePactMarkedFormat Знак	договора!
Feedback/&AdditionalDamagePactMarkedLine Знак договора наносит дополнительный	урон!
Feedback/&AdditionalDamagePactSoulTakerFormat Похититель	душ!
Feedback/&AdditionalDamagePactSoulTakerLine Soul taker наносит дополнительный	урон!
Feedback/&AdditionalDamageSoulEmpoweredFormat Сила	души!
Feedback/&AdditionalDamageSoulEmpoweredLine Soul Empowered наносит дополнительный	урон!
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat {0} создает	{1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat {0} создает	{1}
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription Оружие использует модификатор Харизмы для бросков атаки и урона и считается магическим до длительного	отдыха.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle Сила	души
Monster/&PactOfChainCustomImpDescription Бесов можно найти повсюду на Нижних Планах, они либо выполняют поручения своих адских хозяев, либо шпионят за соперниками, либо вводят в заблуждение и подстерегают смертных. Имп будет с гордостью служить злому хозяину любого рода, но нельзя полагаться на то, что он будет выполнять задачи с какой-либо скоростью или	эффективностью.
Monster/&PactOfChainCustomImpTitle Бес (Пакт	цепи)
Monster/&PactOfChainCustomPseudodragonDescription Неуловимый псевдодракон обитает в тихих уголках мира, устраивая себе дом в дуплах деревьев и небольших пещерах. Псевдодракон с его зеленой чешуей, рогами и пастью, полной острых зубов, напоминает крошечного зеленого дракона, но имеет игривый	нрав.
Monster/&PactOfChainCustomPseudodragonTitle	Псевдодракон
Monster/&PactOfChainCustomQuasitDescription Квазиты наводняют Нижние Планы. Физически слабые, они держатся в тени, чтобы замышлять зло и зло. Более могущественные демоны используют квазитов в качестве шпионов и посланников, когда они не пожирают их и не разрывают на части, чтобы скоротать	время.
Monster/&PactOfChainCustomQuasitTitle Квазит (Пакт	цепи)
Monster/&PactOfChainCustomSpriteDescription В отличие от пикси, спрайты редко предаются легкомысленному веселью и веселью. Они стойкие воины, защитники и судьи, и их суровый характер заставляет других фейри считать их чересчур суровыми и серьезными. Однако фейри, уважающие территорию духов, находят в них верных союзников в трудные	времена.
Monster/&PactOfChainCustomSpriteTitle Спрайт (Пакт	Цепи)
MonsterAttack/&AttackWarlockDragonStingDescription 1d4 колющего урона и цель должна преуспеть в спасброске Телосложения со Сл 11, иначе станет	отравленной.
MonsterAttack/&AttackWarlockDragonStingTitle Ядовитое	жало
MonsterAttack/&AttackWarlockImpStingDescription Ядовитый укус	чертенка.
MonsterAttack/&AttackWarlockImpStingTitle Ядовитое	жало
MonsterAttack/&AttackWarlockQuasitStingTitle Ядовитое	жало
Power/&AncientForestLifeSapDescription Когда вы наносите урон врагу заклинанием, вы восстанавливаете здоровье, равное половине вашего уровня, один раз за ход. Если у вас меньше половины HP, вместо этого вы восстанавливаете ОЗ, равный вашему уровню, но только до половины ваших максимальных	ОЗ.
Power/&AncientForestLifeSapTitle Сок	жизни
Power/&AncientForestRootedPowerDescription Древесные усики растут из ваших ног и впиваются в землю. Ваша скорость становится равной 0, и вы получаете преимущество в любых спасбросках, которые отталкивают вас, притягивают или сбивают с ног. Вы можете наложить опутывание по своему	желанию.
Power/&AncientForestRootedPowerTitle	Укорененный
Power/&DH_ElementalFormPoolDescription Вы можете переключаться между формами элементалей количество раз, равное вашему бонусу мастерства за продолжительный отдых, направляя энергию элементаля. Вы получаете сопротивление соответствующему урону и один раз за ход применяете свой бонус мастерства в виде урона того же типа к первому урону от заклинаний, нанесенному в этом ходу. Формы длятся 1	минуту.
Power/&DH_ElementalFormPoolEnhancedDescription Вы можете переключаться между улучшенными формами элементалей количество раз, равное вашему бонусу мастерства в день, направляя энергию элементаля. Вы получаете иммунитет к соответствующему урону и применяете бонус мастерства в виде урона того же типа к первому урону от заклинаний в каждом раунде. Формы длятся 1	минуту.
Power/&DH_ElementalFormPoolEnhancedTitle Улучшенные формы	элементалей
Power/&DH_ElementalFormPoolEnhancedTitleShort Элементальные	формы
Power/&DH_ElementalFormPoolTitle Элементальные	формы
Power/&FindFamiliarBundlePowerDescription Призовите фамильяра в форме Псевдоррагона, Спрайта, Импа или	Квазита.
Power/&FindFamiliarBundlePowerTitle Найти	знакомых
Power/&MoonlitDanceoftheNightSkyDescription Вы можете использовать Полет на 4 цели один раз в	день.
Power/&MoonlitDanceoftheNightSkyTitle Танец ночного	неба
Power/&MoonlitDarkMoonDescription Вы можете сотворить Тьму столько раз за продолжительный отдых, сколько ваш бонус	мастерства.
Power/&MoonlitDarkMoonTitle Темная	Луна
Power/&MoonlitFullMoonDescription Вы можете сотворить Дневной свет столько раз за продолжительный отдых, сколько соответствует вашему бонусу	мастерства.
Power/&MoonlitFullMoonTitle	Полнолуние
Power/&MoonlitMoonTouchedDescription Вы вызываете гравитационное притяжение луны в небольшой области, заставляя существ, проваливших спасбросок, парить	вверх.
Power/&MoonlitMoonTouchedTitle Луна	коснулась
Power/&PactofChainFamiliarInvisibilityPowerDescription Существо магическим образом становится невидимым до тех пор, пока оно не атакует или не наложит заклинание, или пока не закончится его концентрация (как при концентрации на заклинании). Любое снаряжение, которое существо носит или носит, становится невидимым вместе с	ним.
Power/&PactofChainFamiliarInvisibilityPowerTitle	Невидимость
Power/&PactofChainFamiliarScarePowerDescription Одно существо по вашему выбору в пределах 20 футов от него должно преуспеть в спасброске Мудрости со Сл 10, иначе оно будет испугано на 1 минуту. Цель может повторять спасбросок в конце каждого своего хода, оканчивая эффект на себе в случае	успеха.
Power/&PactofChainFamiliarScarePowerTitle	Напугать
Reaction/&SpendPowerDH_RiftStrikeDescription Один раз за продолжительный отдых, получив урон от атаки в ближнем бою, вы можете реакцией создать портал, изгоняющий атакующего на 1 раунд из вашего плана	существования.
Reaction/&SpendPowerDH_RiftStrikeReactTitle Разломный	удар
Reaction/&SpendPowerDH_RiftStrikeTitle Разломный	удар
