Class/&WitchArmorProficiencyDescription Легкая	броня.
Class/&WitchTitle	Ведьма
Class/&WitchToolProficiencyDescription Выберите один из списка: набор травника или набора	отравителя.
Class/&WitchToolProficiencyTitle Владение ведьмовскими	инструментами
Class/&WitchVisionsInitiativeDescription Вы добавляете свой модификатор Харизмы к своим броскам	инициативы.
Class/&WitchVisionsInitiativeTitle Инициатива	Видения
Class/&WitchWeaponProficiencyDescription Простое	оружие.
Class/&WitchWeaponProficiencyTitle Мастерство оружия	Ведьмы
Condition/&AbateDescription Нельзя использовать	реакции.
Condition/&AbateTitle	Ослабление
Condition/&ApathyDescription Безразличен к целевому существу, к которому оно враждебно. Это безразличие заканчивается, если цель подвергается нападению или повреждению заклинанием целевого	существа.
Condition/&ApathyTitle	Апатия
Condition/&CharmDescription Считает заклинателя	союзником.
Condition/&CharmTitle	Очарован
Condition/&DebilitatedConditionDescription Страдать от одного из следующих состояний: ослепление, проклятие, кровотечение или	оглушение.
Condition/&DebilitatedConditionTitle	Ослабленный
Condition/&DisorientDescription -1d6 к броскам	атаки.
Condition/&DisorientTitle	Дезориентированный
Condition/&EvilEyeDescription Испуганный. Невозможно приблизиться к источнику страха, помеха броскам атаки и проверкам характеристик, пока источник страха находится в поле	зрения.
Condition/&EvilEyeTitle	Сглаз
Condition/&FrenziedDescription Это существо обезумело и будет атаковать ближайшее	существо.
Condition/&FrenziedTitle	Бешеный
Condition/&PoxDescription Состояние	чумы.
Condition/&PoxTitle	Чума
Condition/&RuinDescription Штраф -3 КД, максимум до -10	КД.
Condition/&RuinedDescription Штраф -3 КД, максимум до -10	КД.
Condition/&RuinedTitle	Испорченный
Condition/&RuinTitle	Порча
Feature/&ClassWitchMaledictionReplaceDescription Выберите Проклятие для	замены.
Feature/&ClassWitchMaledictionReplaceTitle Заменить	проклятие
Feature/&WitchCurseChoiceDescription Вас терзает ужасное проклятие, поражающее ваше тело и	душу.
Feature/&WitchCurseChoiceTitle Проклятие	ведьмы
Feature/&WitchMaledictionChoiceDescription Вы можете выучить ряд могущественных заклинаний, известных как Проклятия, основанных на той же коварной магии, которая прокляла	вас.
Feature/&WitchMaledictionChoiceTitle	Проклятия
Feature/&WitchSightDescription Вы можете ощущать или видеть невидимых существ в пределах 60 футов от	себя.
Feature/&WitchSightTitle Ведьмин	взгляд
Modifier/&AttributeModifierRuinDescription -3 к классу	доспеха.
Modifier/&AttributeModifierRuinTitle	Разрушенный
Modifier/&DisorientDescription -1d6 к броскам	атаки.
Modifier/&DisorientTitle	Дезориентированный
Monster/&WitchOwlFamiliarDescription Знакомая	сова.
Monster/&WitchOwlFamiliarTitle	Сова
Screen/&CovenSpellDescription Заклинание, известное как часть	Ковена.
Screen/&CovenSpellHeader	Ковен
Screen/&CovenSpellTitle	Ковен
Screen/&WitchSpellDescription Заклинания, известные как	Ведьма.
Screen/&WitchSpellHeader	Ведьма
Screen/&WitchSpellTitle	Ведьма
Spell/&WitchFamiliarDescription Вы получаете услугу	фамильяра.
Spell/&WitchFamiliarTitle	Ведьма-фамильяр
Stage/&SubclassSelectionStageCovenDescription	Ковен.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Ковен.
Stage/&SubclassSelectionStageCovenFeaturesHeader Особенности	шабаша
Stage/&SubclassSelectionStageCovenFeaturesTitle	Ковен
Stage/&SubclassSelectionStageCovenHeader Выберите	ковен
Stage/&SubclassSelectionStageCovenTitle	Ковен
Subclass/&BloodWitchDescription Запрещенная большинством шабашей ведьм, магия крови основывается на использовании темных заклинаний и проклятий смертных, исходящих из самой сущности заклинателя. Это принципиально более опасно, чем другие колдовские ремесла, но его многочисленные риски приносят обильные	награды.
Subclass/&BloodWitchMagicDescription Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n	{0}
Subclass/&BloodWitchMagicTitle Магия	крови
Subclass/&BloodWitchTitle Кровавая	Ведьма
Subclass/&GreenWitchDescription Растения, природа и все, что растет, — это область зеленой магии. Обычно это тип арканы, поддерживаемый друидами, некоторые ведьмы тесно связаны с силами зеленой магии и могут уговаривать растения и животных выполнять свои	волю.
Subclass/&GreenWitchMagicDescription Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам	заклинаний:\n{0}
Subclass/&GreenWitchMagicTitle Зеленая	магия
Subclass/&GreenWitchTitle Зеленая	ведьма
Subclass/&PurpleWitchDescription Фиолетовая магия властвует над областями иллюзий и чар, которые овладевают человеческим разумом, и над всем, что не совсем так, как кажется. Практики этой формы магии — кукловоды, формирующие видимую реальность окружающих в свою	пользу.
Subclass/&PurpleWitchMagicDescription Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n	{0}
Subclass/&PurpleWitchMagicTitle Фиолетовая	магия
Subclass/&PurpleWitchTitle Фиолетовая	ведьма
Subclass/&RedWitchDescription Тайная магия, связанная с направлением элементов, считается красной магией и чрезвычайно опасна при использовании. Ведьмы, специализирующиеся на красной магии, являются одними из самых смертоносных заклинателей из существующих, превращая свое проклятие в беспрепятственный тайный	гнев.
Subclass/&RedWitchMagicDescription Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n	{0}
Subclass/&RedWitchMagicTitle Красная	магия
Subclass/&RedWitchTitle Красная	ведьма
Subclass/&WhiteWitchDescription Белая магия принципиально хороша и благожелательна для всего живого. Ведьмы, принявшие это ремесло, несмотря на заражающее их ненавистное проклятие, часто посвящают себя лечению и заботе с намерением улучшить	мир.
Subclass/&WhiteWitchMagicDescription Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n	{0}
Subclass/&WhiteWitchMagicTitle Белая	магия
Subclass/&WhiteWitchTitle Белая	Ведьма
Subclass/&WitchSubclassPathDescription Кульминацией ваших познаний в магии стало присоединение к Ковену, врожденному кругу ведьм, которые идут по определенному пути колдовства и	проклятий.
Subclass/&WitchSubclassPathTitle Ковены	ведьм
Tooltip/&TagMaledictionTitle	Проклятие
