Modal/&AssertionFailedTtitle	Assertion Failed
Modal/&RevealFogOfWarOnDescription	The fog of war is now fully revealed
Modal/&RevealFogOfWarOffDescription	The fog of war is active again
Modal/&MonsterFilterAllTitle	All Monsters
Modal/&FilterKeywordTitle	Filter
Modal/&FilterKeywordDescription	Filter the list with elements that match the specified keyword
Modal/&ClearKeywordDescription	Clears the selected keyword and cancels the filtering
Modal/&InputKeywordTitle	Enter keyword:
Modal/&UserItemEditionTitle	User Item Edition
Modal/&UserContentReferenceTitle	Reference
Modal/&UserContentReferenceDescription	The reference content (from Solasta) upon which this custom content is created
Modal/&UserContentInternalNameTitle	Internal Name
Modal/&UserContentInternalNameDescription	The internal name used to reference this custom content. This is not exposed to the end player, which will read Title and Description instead. The internal name is used by gadgets to reference user content. You can keep the auto-generated internal name or type a new one (has to be unique)
Modal/&UserContentOverridesTitle	Content Overrides
Modal/&UserContentOverridesDescription	Allows changing values of the referenced content by custom values.
Modal/&UserContentOverrideToggleDescription	Click to override the default value or to reactivate it
Modal/&ProcessingContentTitle	Processing Content...
Modal/&ContentPropertyTitleTitle	Title
Modal/&ContentPropertyTitleDescription	The name of this content element, as it will be displayed to the end player
Modal/&ContentPropertyDescriptionTitle	Description
Modal/&ContentPropertyDescriptionDescription	The description of the content, as displayed to the end player in in-game tooltips
Modal/&ContentPropertyCostsTitle	Costs
Modal/&ContentPropertyCostsDescription	The table of raw costs (for each currency) for this content. Merchant parameters can modify the costs displayed in store.
Modal/&ContentPropertyDocumentFragmentsTitle	Document Fragments
Modal/&ContentPropertyDocumentFragmentsDescription	This is only available when inspecting a document item (scroll, book, plaque), and allows filling your own paragraphs of texts, which will be displayed in the document examination interface
Modal/&CustomContentTitle	Custom
Modal/&ContentPropertyAbilityScoresTitle	Ability Scores
Modal/&ContentPropertyAbilityScoresDescription	Input here custome ability score values. \n Note that modifying these values does not alter the monster attack rolls, or the ability check & saving throw where the monster has an explicit proficiency ; neither are Armor Class or Hit Points mdified by custom ability scores.
Modal/&ContentPropertyHitPointsTitle	Hit Points
Modal/&ContentPropertyHitPointsDescription	You can override the maximum hit points of this creature when it is spawned
Modal/&ContentPropertyArmorClassTitle	Armor Class
Modal/&ContentPropertyArmorClassDescription	You can override the armor class of this creature when it is spawned
Modal/&UserMonsterEditionTitle	User Monster Edition
Modal/&UserNpcEditionTitle	Custom NPC Edition
Modal/&ContentPropertyBooleanTrueTitle	TRUE
Modal/&ContentPropertyBooleanFalseTitle	FALSE
Modal/&UserMerchantInventoryEditionTitle	Custom Merchant Inventory
Modal/&UserContentValuesTitle	Content Values
Modal/&UserContentValuesDescription	Allows changing values of the custom content
Modal/&ContentPropertyOverchargePercentTitle	Overcharge Percent
Modal/&ContentPropertyOverchargePercentDescription	The extra cost (percentage) when buying an item from this merchant
Modal/&ContentPropertyBuyBackPercentTitle	Buy Back Percent
Modal/&ContentPropertyBuyBackPercentDescription	The percentage of the raw cost that this merchant will give when you sell an item.
Modal/&ContentPropertyCanDetectMagicTitle	Can Detect Magic
Modal/&ContentPropertyCanDetectMagicDescription	Can this merchant detect magical items in the party inventory?
Modal/&ContentPropertyDetectMagicCostGpTitle	Detect Magic Cost (GP)
Modal/&ContentPropertyDetectMagicCostGpDescription	The cost to detect magical items
Modal/&ContentPropertyCanIdentifyTitle	Can Identify Items
Modal/&ContentPropertyCanIdentifyDescription	Can this merchant identify a magical item functions?
Modal/&ContentPropertyIdentifyCostGpTitle	Identify Cost (GP)
Modal/&ContentPropertyIdentifyCostGpDescription	The cost to identify a magical item
Modal/&ContentPropertyStockUnitsTitle	Stock Units
Modal/&ContentPropertyStockUnitsDescription	This is the list of inventory items provided by the merchant, and their refurbishing parameters
Modal/&UserContentStockUnitsDescription	This allows you to fill the list of stock units offered in a merchant inventory
Modal/&UserContentStockUnitItemTitle	Item
Modal/&UserContentStockUnitItemSelectTitle	Select
Modal/&UserContentStockUnitItemSelectDescription	Click to select the item of this merchant inventory slot
Modal/&UserContentStockUnitStackCountTitle	Stack Count
Modal/&UserContentStockUnitStackCountDescription	When an item can be stacked (such as food units), this defines the stack size of this stock unit
Modal/&UserContentStockStockLineTitle	Stock
Modal/&UserContentStockInitialTitle	Initial
Modal/&UserContentStockInitialDescription	The initial amount of units of this item when the merchant is spawned
Modal/&UserContentStockMinTitle	Min
Modal/&UserContentStockMinDescription	The minimal amount of available items of this type, if you want to make sure it is always present
Modal/&UserContentStockMaxTitle	Max
Modal/&UserContentStockMaxDescription	The maximal amount of available items of this type
Modal/&UserContentStockReassortLineTitle	Reassort
Modal/&UserContentStockReassortAmountTitle	Amount
Modal/&UserContentStockReassortAmountDescription	The number of units which are added when the merchant is reassorted
Modal/&UserContentStockReassortHoursTitle	Hours
Modal/&UserContentStockReassortHoursDescription	The number of hours required to trigger a reassort of the merchant
Modal/&UserContentStockUnitUpButtonDescription	Move the stock unit up in the list
Modal/&UserContentStockUnitDownButtonDescription	Move the stock unit down in the list
Modal/&UserContentStockUnitDeleteButtonDescription	Deletes the stock unit from the list
Modal/&UserContentAddStockUnitButtonTitle	Add Stock Unit
Modal/&UserContentAddStockUnitButtonDescription	Add a new stock unit to the merchant inventory, to specify an item that can be purchased at the merchant
Modal/&UserContentProficiencyUpButtonDescription	Move the proficiency up in the list
Modal/&UserContentProficiencyDownButtonDescription	Move the proficiency down in the list
Modal/&UserContentProficiencyDeleteButtonDescription	Deletes the proficiency from the list
Modal/&UserContentAddProficiencyButtonTitle	Add Proficiency
Modal/&UserContentAddProficiencyButtonDescription	Add a new proficiency information for this actor
Modal/&ContentPropertySavingThrowsTitle	Saving Throws
Modal/&ContentPropertySavingThrowsDescription	This is the list of saving throw proficiencies (and their bonus added to the d20 save roll) mastered by this character
Modal/&ContentPropertySkillsTitle	Skills
Modal/&ContentPropertySkillsDescription	This is the list of skills proficiencies (and their bonus added to the d20 ability check roll) mastered by this character
Modal/&ContentPropertyInformationIndividualAttacksTitle	Individual Attacks
Modal/&ContentPropertyInformationIndividualAttacksDescription	The creature will select one of the attacks and use it exclusively in the combat turn
Modal/&ContentPropertyInformationGroupedAttacksTitle	Grouped Attacks
Modal/&ContentPropertyInformationGroupedAttacksDescription	The creature can use all the listed attacks in one combat round
Modal/&UserContentAddEffectFormButtonTitle	Add Effect Form
Modal/&UserContentAddEffectFormButtonDescription	Adds a new effect form to determines the effects of this content (damage, condition, etc)
Modal/&ContentPropertyAttackToHitTitle	To Hit
Modal/&ContentPropertyAttackToHitDescription	The bonus attack to the d20 roll to determine the success of this attack
Modal/&ContentPropertyAttackIterationsTitle	Iterations
Modal/&ContentPropertyAttackIterationsDescription	The number of times this attack can be used per turn
Modal/&ContentPropertyAttack1Title	Attack 1:
Modal/&ContentPropertyAttack1Description	The parameters of the first attack of this creature
Modal/&ContentPropertyAttack2Title	Attack 2:
Modal/&ContentPropertyAttack2Description	The parameters of the second attack of this creature
Modal/&ContentPropertyAttack3Title	Attack 3:
Modal/&ContentPropertyAttack3Description	The parameters of the third attack of this creature
Modal/&ContentPropertyHasSavingThrowTitle	Has Saving Throw?
Modal/&ContentPropertyHasSavingThrowDescription	Determines if a saving throw is present for this effect
Modal/&ContentPropertyDifficultyClassTitle	DC
Modal/&ContentPropertyDifficultyClassDescription	The difficulty class to succeed the saving throw
Modal/&ContentPropertyDurationTitle	Duration
Modal/&ContentPropertyDurationDescription	The duration for the added conditions
Modal/&ContentPropertyEffectFormsTitle	Effect Forms
Modal/&ContentPropertyEffectFormsDescription	The list of effects applied to the target, such as damage or confition
Modal/&ContentPropertyFormTypeTitle	Form Type
Modal/&ContentPropertyFormTypeDescription	The type of this effect form, such as damage or condition
Modal/&ContentPropertyFormTypeDamageTitle	Damage
Modal/&ContentPropertyFormTypeDamageDescription	This type of effect form applies damage to the target
Modal/&ContentPropertyFormTypeConditionTitle	Condition
Modal/&ContentPropertyFormTypeConditionDescription	This type of effect form applies a condition to a target
Modal/&ContentPropertySaveAffinityTitle	Save Affinity
Modal/&ContentPropertySaveAffinityDescription	Determines how this effect form reacts to a successful saving throw
Modal/&ContentPropertySaveAffinityNoneTitle	None
Modal/&ContentPropertySaveAffinityNoneDescription	This effect is not impacted by a successful saving throw
Modal/&ContentPropertySaveAffinityHalfDamageTitle	Half
Modal/&ContentPropertySaveAffinityHalfDamageDescription	A successful saving throw will halve the damage of this effect
Modal/&ContentPropertySaveAffinityNegatesTitle	Negates
Modal/&ContentPropertySaveAffinityNegatesDescription	A successful saving throw will completely negate this effect
Modal/&ContentPropertyDamageDiceNumberDescription	The number of dice rolled for the damage
Modal/&ContentPropertyDamageDieTypeDescription	The type of die rolled for the damage
Modal/&ContentPropertyDamageBonusDescription	The bonus damage added to the rolled dice
Modal/&ContentPropertyDamageTypeDescription	The type of inflicted damage
Modal/&UserContentEffectFormUpButtonDescription	Move the effect form up in the list
Modal/&UserContentEffectFormDownButtonDescription	Move the effect form down in the list
Modal/&UserContentEffectFormDeleteButtonDescription	Deletes the effect form from the list
Modal/&UserContentEffectFormConditionSelectDescription	Click to select a condition added by this effect form
Modal/&ContentPropertyDurationRoundTitle	Round
Modal/&ContentPropertyDurationMinuteTitle	Minute
Modal/&ContentPropertyDurationHourTitle	Hour
Modal/&ContentPropertyDurationDayTitle	Day
Modal/&ContentPropertyEndOfEffectTitle	Effect Ends
Modal/&ContentPropertyEndOfEffectDescription	The occurence in the turn when then effect will end, and also when a saving throw can be re-attempted, if available
Modal/&ContentPropertyEndOfEffectStartOfTurnTitle	Start Of Turn
Modal/&ContentPropertyEndOfEffectEndOfTurnTitle	End Of Turn
Modal/&ContentPropertyCanSaveToCancelTitle	Can Save To Cancel?
Modal/&ContentPropertyCanSaveToCancelDescription	Determines if the target affected by this effect can save each turn to cancel the effect. The occurence of the saving throw is determined by the End of Effect field.
Modal/&ContentPropertyChallengeRatingTitle	Challenge Rating
Modal/&ContentPropertyChallengeRatingDescription	You can override the armor class of this creature when it is spawned. Values of 0, 0.125, 0.25, & 0.5 are valid; everything else must be above 1 and an integer (not a decimal value)
Modal/&ContentPropertyWeaponEffectsTitle	Weapon Effects
Modal/&ContentPropertyWeaponEffectsDescription	Use this to override the damage or special effects of this weapon
Modal/&UserQuestSettingsTitle	Quest Settings
Modal/&UserVariableEditionTitle	Campaign Variable Edition
Modal/&ContentPropertyVariableTypeTitle	Variable Type
Modal/&ContentPropertyVariableTypeDescription	The type of data stored by this variable
Modal/&ContentPropertyVariableTypeIntTitle	Integer
Modal/&ContentPropertyVariableTypeIntDescription	An integer value that can be altered by mathematical operations
Modal/&ContentPropertyVariableTypeBoolTitle	Boolean
Modal/&ContentPropertyVariableTypeBoolDescription	A value that can be true or false
Modal/&ContentPropertyVariableTypeStringTitle	String
Modal/&ContentPropertyVariableTypeStringDescription	A plain string of characters
Modal/&ContentPropertyVariableDefaultValueIntTitle	Default Value
Modal/&ContentPropertyVariableDefaultValueIntDescription	The default integer value of this variable when the campaign starts
Modal/&ContentPropertyVariableDefaultValueBoolTitle	Default Value
Modal/&ContentPropertyVariableDefaultValueBoolDescription	The default Boolean value of this variable when the campaign starts
Modal/&ContentPropertyVariableDefaultValueStringTitle	Default Value
Modal/&ContentPropertyVariableDefaultValueStringDescription	The default string value of this variable when the campaign starts
Modal/&ContentPropertyVariableBoolFalseTitle	FALSE
Modal/&ContentPropertyVariableBoolTrueTitle	TRUE
Modal/&SelectUserVariableTitle	Select a Variable
Modal/&UserDialogSettingsTitle	Dialog Settings
Modal/&ContentPropertyDamageAffinitiesTitle	Damage Affinities
Modal/&ContentPropertyDamageAffinitiesDescription	This allows you to add specific affinities (resistance, immunity, vulnerability) to a damage type.
Modal/&DamageAffinityDamageTypeTitle	Damage
Modal/&DamageAffinityDamageTypeDescription	The type of damage for which the affinity is applied.
Modal/&DamageAffinityTypeTitle	Affinity
Modal/&DamageAffinityTypeDescription	The type of affinity to the damage impacting the amount of received damage.
Modal/&DamageAffinityTypeNoneTitle	None
Modal/&DamageAffinityTypeNoneDescription	No specific affinity to damage.
Modal/&DamageAffinityTypeResistanceTitle	Resistance
Modal/&DamageAffinityTypeResistanceDescription	Damage is halved.
Modal/&DamageAffinityTypeVulnerabilityTitle	Vulnerability
Modal/&DamageAffinityTypeVulnerabilityDescription	Damage is doubled.
Modal/&DamageAffinityTypeImmunityTitle	Immunity
Modal/&DamageAffinityTypeImmunityDescription	All damage is ignored.
Modal/&SavingThrowAdvantageTitle	Save Advantage
Modal/&SavingThrowAdvantageDescription	The type of advantage/disadvantage for saving throws against this damage type.
Modal/&SavingThrowAdvantageNoneTitle	None
Modal/&SavingThrowAdvantageNoneDescription	No specific advantage/disadvantage.
Modal/&SavingThrowAdvantageAdvantageTitle	Advantage
Modal/&SavingThrowAdvantageAdvantageDescription	Advantage to saving throws.
Modal/&SavingThrowAdvantageDisadvantageTitle	Disadvantage
Modal/&SavingThrowAdvantageDisadvantageDescription	Disadvantage to saving throws.
Modal/&UserContentSelectionTitle	User Content Selection
Modal/&UserContentSelectAllButtonTitle	Select All
Modal/&UserContentSelectAllButtonDescription	Select all the user content of this campaign.
Modal/&UserContentDeselectAllButtonTitle	Deselect All
Modal/&UserContentDeselectAllButtonDescription	Deselect all the user content of this campaign.
Modal/&UserContentImportButtonTitle	Import
Modal/&UserContentImportButtonDescription	Import the selected content into the current campaign.
Modal/&UserContentExportButtonTitle	Export
Modal/&UserContentExportButtonDescription	Export the selected content of the current campaign into another campaign, which you will select in the next panel.
Modal/&UserContentOverwriteToggleTitle	Overwrite Duplicates
Modal/&UserContentOverwriteToggleDescription	If this is checked, all content bearing the same name will be overwritten in the target campaign.
Modal/&ContentPropertyDroppedLootTitle	Dropped Loot
Modal/&ContentPropertyDroppedLootDescription	This allows you to specify the loot pack dropped by a user monster. Some default monster loot packs are internal to the game data and cannot be accessed, but user loot packs can be created.
Modal/&UserLootPackEditionTitle	Edit Loot Pack
Modal/&ContentPropertyItemOccurencesTitle	Item Occurrences
Modal/&ContentPropertyItemOccurencesDescription	This allows you to edit the contents of this loot pack, including quantity and probability.
Modal/&UserContentAddItemOccurenceButtonTitle	Add Item
Modal/&UserContentAddItemOccurenceButtonDescription	Add an item to the loot pack, including quantity and probability.
Modal/&UserContentItemOccurenceDiceNumberDescription	The number of dice rolled to determine the quantity of this item.
Modal/&UserContentItemOccurenceDiceTypeDescription	The type of die rolled to determine the quantity of this item.
Modal/&UserContentItemOccurenceAdditiveModifierDescription	The modifier applied to the dice roll to determine the quantity of this item. Negative values are allowed: for example, 1d4-3 will have a 25% chance of spawning this item.
Modal/&DialogSettingsAdditionalNpcsTitle	Additional NPCs
Modal/&DialogSettingsAdditionalNpcsDescription	In addition to the main NPC with whom the party is talking, you can choose other NPCs who will add new role options to the NPC speech boxes. Make sure those NPCs are spawned when the dialog is started.
Modal/&ContentPropertyMagicOvercomesTitle	Magic Overcomes?
Modal/&ContentPropertyMagicOvercomesDescription	Selecting this option means that the damage affinity will be cancelled by a magical effect or attack.
Modal/&MapWaypointNavigateVoteTitle	Waypoint Travel Vote
Modal/&MapWaypointNavigateVoteHostDescription	You suggest to move to:
Modal/&MapWaypointNavigateVoteClientDescription	{0} has suggested moving to the {1} waypoint. This requires your agreement.
Modal/&MultiplayerVotePlayerAnswersTitle	Waiting for other players to respond
Modal/&MultiplayerVoteCancelTitle	Cancel Vote
Modal/&MultiplayerVoteCancelDescription	Cancel the vote in progress.
Modal/&MultiplayerVoteAcceptTitle	Accept
Modal/&MultiplayerVoteRejectTitle	Reject
Modal/&MultiplayerVoteClientStatusPendingTitle	Pending...
Modal/&MultiplayerVoteClientStatusPendingDescription	Waiting for the player to accept the request.
Modal/&MultiplayerVoteClientStatusAcceptedTitle	Accepted
Modal/&MultiplayerVoteClientStatusAcceptedDescription	The player has accepted the request.
Modal/&MultiplayerWaitNotifyTitle	Notify
Modal/&MultiplayerWaitNotifyDescription	Notify this player that you are waiting for him.
Modal/&MultiplayerWaitKickTitle	Kick
Modal/&MultiplayerWaitKickDescription	Kick this player from the game.
Modal/&MultiplayerWaitYouTitle	You are Ready
Modal/&PostRestWaitTitle	Post-Rest Synchronization
Modal/&PostRestWaitDescription	Waiting for other players to finish their rest sequence:
Modal/&MultiplayerWaitClientStatusPendingTitle	Pending...
Modal/&MultiplayerWaitClientStatusPendingDescription	Waiting for the player to accept the request.
Modal/&MultiplayerWaitClientStatusReadyTitle	Ready
Modal/&MultiplayerWaitClientStatusReadyDescription	The player is ready to proceed.
Modal/&MultiplayerWaitQuitGameTitle	Quit Game
Modal/&MultiplayerWaitQuitGameDescription	In case something is preventing the multiplayer game from continuing, you can still quit the game from here.
Modal/&DefaultTextInputTitle	Type some text
Modal/&DefaultPasswordInputTitle	Type a password
Modal/&ClearTitle	Clear
Modal/&PostRestReadyPlayersDescription	Players ready:
Modal/&KickTitle	Kick a player
Modal/&KickDescription	Kick a player from your session:
Modal/&ModioLoginTitle	Log in to manage your mods
Modal/&ModioLoginEmail	Input your email
Modal/&ModioLoginSecurityCode	Input the Security Code
Modal/&ModioLoginRequest	Request Security Code
Modal/&ModioLoginAuthenticate	Authenticate
Modal/&ModioLoginPoweredModio	Powered by mod.io
Modal/&ModioLoginAbout	About
Modal/&ModioLoginPrivacy	Privacy
Modal/&CreateSpellSlotTitle	Spell Slot Creation
Modal/&CreateSpellSlotDescription	Select a Spell Slot to create from sorcery points:
Modal/&CreateSpellSlotCostTitle	Sorcery Points Cost
Modal/&CreateSorceryPointsTitle	Sorcery Points Creation
Modal/&CreateSorceryPointsDescription	Select a Spell Slot to spend and convert to Sorcery Points:
Modal/&CreateSorceryPointsGainTitle	Gained Sorcery Points
Modal/&DefeatIronManAdditionalDescription	Your adventure ends here. Gather your strength, and find the courage to brave the Iron Man Mode once more!
Modal/&CharacterReviveModalDisintegratedFormat	This option cannot be used on {0} as he/she is disintegrated
Modal/&SpellSlotRecoveryTitle	Spell Slots Recovery
Modal/&SpellSlotRecoveryDescription	Select spent spell slots to recover:
Modal/&SpellSlotCapitalFormat	Total Capital: {0}
Modal/&SpellSlotCapitalDescription	You recovery capital is determined by half your caster level, rounded up. Each recovered spell slot costs recovery capital equal to its spell level: for example a 3rd level spell slot costs 3 recovery points.
Modal/&SpellSlotRecoverLevelButtonTitle	Recover ({0})
Modal/&SpellSlotRecoverLevelButtonDescription	Click to recover a spell slot from this level, for a cost of {0} from your total capital.
Modal/&SpellSlotCancelButtonTitle	Cancel
Modal/&SpellSlotCancelButtonDescription	Cancels spell slot recovery. No recovery capital is spent.
Modal/&SpellSlotClearButtonTitle	Clear
Modal/&SpellSlotClearButtonDescription	Clears all the recovered spell slots to restart the selection process.
Modal/&SpellSlotAutoButtonTitle	Auto
Modal/&SpellSlotAutoButtonDescription	Automatically selects spell slots to recover. You can review the automatic choices before confirming.
