Gadget/&CampfireTitle	Campfire
Gadget/&ParameterLoreFormatDescription	The form in which lore information is presented to the user
Gadget/&ParameterLoreFormatMainCharacterTitle	Main Character
Gadget/&ParameterLoreFormatMainCharacterDescription	The content is displayed as banter over the head of the first conscious character in the party
Gadget/&ParameterLoreFormatRandomCharacterTitle	Random Character
Gadget/&ParameterLoreFormatRandomCharacterDescription	The content is displayed as banter over the head of a random conscious party member and disappears after the duration
Gadget/&ParameterLoreFormatGadgetFeedbackTitle	Gadget Feedback
Gadget/&ParameterLoreFormatGadgetFeedbackDescription	The content is displayed at the triggering gadget's position
Gadget/&ParameterLoreFormatTopHeaderTitle	Top Header
Gadget/&ParameterLoreFormatTopHeaderDescription	The content appears at the top of the screen in large-character font and disappears after the duration
Gadget/&ParameterLoreFormatTimedPanelTitle	Timed Panel
Gadget/&ParameterLoreFormatTimedPanelDescription	The content is displayed on a panel at the bottom of the screen and disappears after the duration
Gadget/&ParameterLoreFormatModalPanelTitle	Modal Panel
Gadget/&ParameterLoreFormatModalPanelDescription	The content is displayed on a panel in the center of the screen, which remains visible until the user has acknowledged it
Gadget/&PushBlockTitle	Pushable Block
Gadget/&PushBlockDescription	A block that can be pushed one cell by a character
Gadget/&FallingStalactiteTitle	Falling Stalactite
Gadget/&FallingStalactiteDescription	A hanging stalactite that can be damaged and cause fall damage
Gadget/&ParameterParam_DisplayOnceTitle	Display Once
Gadget/&ParameterParam_DisplayOnceDescription	If this option is checked, the lore information is displayed only once when the gadget is triggered
Gadget/&ActivatorEntryTitle	Entry Activator
Gadget/&ParameterParam_EntryOnceTitle	Entry Once
Gadget/&ParameterParam_EntryOnceDescription	If this option is checked, the lore information is displayed only once when the gadget is triggered
Gadget/&LoreActivatedTitle	Activated Lore
Gadget/&LoreActivatedDescription	This gadget will display lore when triggered by an activator gadget (e.g. an Entry Activator). It can be placed in any free space as it is invisible and non-interactive
Gadget/&ParameterParam_DefaultAsActivatedTitle	Activated
Gadget/&ParameterParam_DefaultAsActivatedDescription	Determines if this activator is activated by default
Gadget/&ParameterKeyItemTitle	Key Item
Gadget/&ParameterKeyItemDescription	The object is opened automatically if the party is carrying this item
Gadget/&FoliageTitle	Foliage
Gadget/&FoliageDescription	A destructible foliage that blocks the way
Gadget/&FallingTrunkTitle	Falling Trunk
Gadget/&FallingTrunkDescription	A trunk of tree that can be pushed forward
Gadget/&PoisonBulbTitle	Poison Bulb
Gadget/&PoisonBulbDescription	A strange flower that will explode when damaged or when a player approach it.
Gadget/&LavaBulbDescription	A strange flower that will explode in flames when damaged or when a player approach it.
Gadget/&GrateDoorTitle	Metallic door
Gadget/&GrateDoorDescription	A simple metallic door
Gadget/&ParameterAdditionalLootTitle	Additional Loot
Gadget/&ParameterAdditionalLootDescription	A list of additional items dropped by the creature when it is killed
Gadget/&NpcIdleTitle	Idle Npc
Gadget/&NpcIdleDescription	A non playing character with no interaction. Used to decorate an environment.
Gadget/&NpcBanterTitle	Banter Npc
Gadget/&NpcBanterDescription	A non playing character which displays a simple line of texts when interacted with. Can used to populate civilians or city guards
Gadget/&NpcMerchantTitle	Merchant
Gadget/&NpcMerchantDescription	An NPC who offers merchant services to buy / sell items
Gadget/&ParameterCharacterTitle	Character
Gadget/&ParameterCharacterDescription	The NPC who is spawned by this gadget
Gadget/&ParameterBanterTitle	Banter
Gadget/&ParameterBanterDescription	The banter text displayed by this character
Gadget/&ParameterMerchantInventoryTitle	Merchant Inventory
Gadget/&ParameterMerchantInventoryDescription	Determines the services and items offered by the merchant
Gadget/&CampBedTitle	Long Rest Bed
Gadget/&CampBedDescription	An interactive bed used to start a long rest
Gadget/&InteractiveTorch_HighWallsTitle	Interactive Torch (high walls)
Gadget/&InteractiveTorch_HighWallsDescription	To be used only on high walls
Gadget/&InteractiveTorch_ThinWallsTitle	Interactive Torch (thin walls)
Gadget/&InteractiveTorch_ThinWallsDescription	To be used only on thin walls
Gadget/&SimpleThinDoorTitle	Simple Door
Gadget/&SimpleThinDoorDescription	A simple door to open
Gadget/&Bridge_EntranceTitle	Double Door on Bridge
Gadget/&Bridge_EntranceDescription	The be used only with the Town Entrance room
Gadget/&DoubleStairsDoorTitle	Stairs double door
Gadget/&DoubleStairsDoorDescription	To be used in conjunction with the stairs connector
Gadget/&CreatureDestroyerTitle	Creature Destroyer
Gadget/&CreatureDestroyerDescription	Destroys all creatures (monsters or NPCs) matching the specified encounter index, as defined in the creature spawner gadget. The creatures are destroyed permanently and cannot be respawned. This gadget must be triggered by an activator.
Gadget/&ParameterDestroyedEncounterIndexTitle	Destroyed Encounter Index
Gadget/&ParameterDestroyedEncounterIndexDescription	Specifies the encounter index of creatures which must be destroyed
Gadget/&ParameterParam_EnabledTitle	Activated
Gadget/&ParameterParam_EnabledDescription	Is the gadget activated by default, or does it require activation by a remote activator gadget?
Gadget/&TeleportIndividualTitle	Teleporter (individual)
Gadget/&TeleportIndividualDescription	Transports a character stepping on this to the destination gadget position (a node for example)
Gadget/&TeleportPartyTitle	Teleporter (party)
Gadget/&TeleportPartyDescription	Transports the party to the destination gadget position (an entrance gadget for example). Requires the full party on the gadget to activate
Gadget/&NodeTitle	Node
Gadget/&NodeDescription	A simple gadget used to specify a position / destination, for example for a teleporter
Gadget/&ParameterDestinationTitle	Destination
Gadget/&ParameterDestinationDescription	The destination gadget used by a teleporter
Gadget/&ParameterInvisibleTitle	Invisible
Gadget/&ParameterInvisibleDescription	The teleporter base and magical effect are hidden
Gadget/&ParameterExitLoreTitle	Exit Lore
Gadget/&ParameterExitLoreDescription	A lore text which is displayed when the exit gadget is used. If you leav this empty, nothing will be displayed.
Gadget/&ParameterLocationsListTitle	Locations List
Gadget/&ParameterLocationsListDescription	The list of possible locations this exit is leading to. A popup will appear to allow the user to select the wanted destination.
Gadget/&ParameterDisplayedTitleTitle	Displayed Title
Gadget/&ParameterDisplayedTitleDescription	The name displayed in the selection popup for this location. If left empty, the name of the location is used by default.
Gadget/&VirtualExitTitle	Virtual Exit
Gadget/&VirtualExitDescription	An exit gadget which can be placed over walls and doors, and activated when interacting with the hovered volume
Gadget/&ExitMultipleTitle	Exit (Multiple)
Gadget/&ExitMultipleDescription	A gadget which provides multiple exit choices for the party
Gadget/&VirtualExitMultipleTitle	Virtual Exit (Multiple)
Gadget/&VirtualExitMultipleDescription	A virtual exit which allows multiple destinations
Gadget/&ParameterParam_ToggleTitle	Toggle
Gadget/&ParameterParam_ToggleDescription	The activator will toggle between activation / deactivation or enable / disable everytime it is pressed, instead of using press & release
Gadget/&ParameterParam_DefaultAsEnabledTitle	Enabled
Gadget/&ParameterParam_DefaultAsEnabledDescription	Determines if the activator is enabled by default
Gadget/&ParameterMultiLineTitle	Multi Line
Gadget/&ParameterMultiLineDescription	Checking this option allows editing multiple banter lines
Gadget/&ParameterRandomPlayTitle	Random Play
Gadget/&ParameterRandomPlayDescription	Checking this option will display the banter lines in random order, otherwise it will be read in sequence
Gadget/&ParameterBanterLinesTitle	Banter Lines
Gadget/&ParameterBanterLinesDescription	The list of banter lines spoken by this creature
Gadget/&ActivatorRollTitle	Roll Activator
Gadget/&ActivatorRollDescription	An activator which requires a succesful saving throw or ability check to be properly manipulated
Gadget/&ParameterIsAbilityCheckTitle	Is Ability Check?
Gadget/&ParameterIsAbilityCheckDescription	If this is false, a saving throw is rolled instead
Gadget/&ParameterRollDCTitle	Roll DC
Gadget/&ParameterRollDCDescription	The difficulty class to succeed the saving throw or ability check
Gadget/&ParameterAbilityScoreTitle	Ability Score
Gadget/&ParameterAbilityScoreDescription	The ability score which modifier is added to the roll
Gadget/&ParameterProficiencyTitle	Proficiency
Gadget/&ParameterProficiencyDescription	The proficiency (skill or tool) used to determine if the proficiency bonus can be added to the roll
Gadget/&ParameterSuccessActivationsTitle	Success Activations
Gadget/&ParameterSuccessActivationsDescription	The list of gadgets to activate when the roll is succeeded
Gadget/&ParameterFailureActivationsTitle	Failure Activations
Gadget/&ParameterFailureActivationsDescription	The list of gadgets to activate when the roll is failed
Gadget/&GrantXPTitle	Grant XP
Gadget/&GrantXPDescription	This gadget, when activated by a remote activator, grants experience points to the party
Gadget/&ParameterXpGainTitle	Flat Xp gain
Gadget/&ParameterXpGainDescription	The amount of flat experience points gained
Gadget/&ParameterRequiredLevelTitle	Required Level
Gadget/&ParameterRequiredLevelDescription	The required level for all party members. Nothing is gained if the character already owns the required XP.
Gadget/&ParameterFlatGainTitle	Flat Gain
Gadget/&ParameterFlatGainDescription	If this is checked, a flat amount of XP is granted to each party member. Otherwise, the gadget makes sure each party member has enough experience to reach the specified level.
Gadget/&GrantItemTitle	Grant Item
Gadget/&GrantItemDescription	The gadgets grants the specified item to the first conscious party member able to carry it.
Gadget/&ParameterGainedItemTitle	Gained Item
Gadget/&ParameterGainedItemDescription	The item granted by this operation
Gadget/&ParameterExecutionScopeTitle	Execution Scope
Gadget/&ParameterExecutionScopeDescription	This can be used to specify that this gadget only works in battle or exploration
Gadget/&ParameterExecutionScopeAllTitle	All
Gadget/&ParameterExecutionScopeAllDescription	The gadget works in all situations
Gadget/&ParameterExecutionScopeExplorationOnlyTitle	Exploration Only
Gadget/&ParameterExecutionScopeExplorationOnlyDescription	The gadget only works in exploration
Gadget/&ParameterExecutionScopeBattleOnlyTitle	Battle Only
Gadget/&ParameterExecutionScopeBattleOnlyDescription	The gadget only works in battle
Gadget/&ParameterDurationTypeTitle	Duration Type
Gadget/&ParameterDurationTypeDescription	The type of duration defining when the gadget will trigger
Gadget/&ParameterDurationTypeRoundTitle	Round
Gadget/&ParameterDurationTypeRoundDescription	Outside of battle, a round represents 6 seconds
Gadget/&ParameterDurationTypeMinuteTitle	Minute
Gadget/&ParameterDurationTypeMinuteDescription	There are 10 rounds in one minute
Gadget/&ParameterDurationTypeHourTitle	Hour
Gadget/&ParameterDurationTypeHourDescription	A real time hour
Gadget/&ParameterDurationTypeDayTitle	Day
Gadget/&ParameterDurationTypeDayDescription	A real time day
Gadget/&ParameterDurationValueTitle	Duration Value
Gadget/&ParameterDurationValueDescription	The number of units in the specified duration type, for example 10 rounds
Gadget/&ParameterParam_RepeatingTitle	Repeating
Gadget/&ParameterParam_RepeatingDescription	Determines whether the activators restarts once its has trigger, to lapse the same duration
Gadget/&ActivatorEntryDescription	An activator that is triggered when the dungeon is entered. Since this gadget does not react to character positions or interactions, it can be placed anywhere in the dungeon
Gadget/&QuestOperationTitle	Quest Operation
Gadget/&QuestOperationDescription	Enables you to start a quest or update its progress. Useful for advancing quest steps with a "Delegated" validator
Gadget/&ActivatorQuestUpdateTitle	Quest Update Activator
Gadget/&ActivatorQuestUpdateDescription	An activator that is triggered when a quest is updated in a certain way
Gadget/&ParameterQuestOperationTypeTitle	Operation Type
Gadget/&ParameterQuestOperationTypeDescription	The type of operation performed on the specified quest
Gadget/&ParameterQuestOperationTypeStartQuestTitle	Start Quest
Gadget/&ParameterQuestOperationTypeStartQuestDescription	Starts the specified quest. No effect if the quest has already been started
Gadget/&ParameterQuestOperationTypeAchieveStepTitle	Achieve Step
Gadget/&ParameterQuestOperationTypeAchieveStepDescription	Achieve a quest step with the specified outcome number (1, 2, ...). This can mean success or failure, depending on how the outcome is flagged
Gadget/&ParameterQuestOperationTypeFailQuestTitle	Fail Quest
Gadget/&ParameterQuestOperationTypeFailQuestDescription	Immediately marks the quest as failed and stops all its active steps
Gadget/&ParameterQuestNameTitle	Quest Name
Gadget/&ParameterQuestNameDescription	The internal name (not exposed to the user) of the quest upon which the operation is performed. Nothing happens if the quest name is not found in the campaign
Gadget/&ParameterQuestStepNameTitle	Step Name
Gadget/&ParameterQuestStepNameDescription	The internal name (not exposed to the user) of the quest step being modified. No effect if the step is not active
Gadget/&ParameterQuestStepOutcomeTitle	Outcome Number
Gadget/&ParameterQuestStepOutcomeDescription	The outcome number to trigger in the current quest step. 1 = first outcome, 2 = second, etc.
Gadget/&ParameterQuestUpdateTypeTitle	Update Type
Gadget/&ParameterQuestUpdateTypeDescription	The type of update to the quest
Gadget/&ParameterQuestUpdateTypeQuestStartedTitle	Quest Started
Gadget/&ParameterQuestUpdateTypeQuestStartedDescription	The specified quest has been started
Gadget/&ParameterQuestUpdateTypeQuestCompletedTitle	Quest Completed
Gadget/&ParameterQuestUpdateTypeQuestCompletedDescription	The specified quest has been completed
Gadget/&ParameterQuestUpdateTypeQuestFailedTitle	Quest Failed
Gadget/&ParameterQuestUpdateTypeQuestFailedDescription	The specified quest has been failed
Gadget/&ParameterQuestUpdateTypeQuestStepStartedTitle	Quest Step Started
Gadget/&ParameterQuestUpdateTypeQuestStepStartedDescription	The specified quest step has been started
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedTitle	Quest Step Achieved
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedDescription	The specified quest step has been achieved, whether it is a success or failure outcome
Gadget/&TrapDoorTitle	Trap Door
Gadget/&TrapDoorDescription	Can transport the party to another location
Gadget/&VariableOperationTitle	Variable Operation
Gadget/&VariableOperationDescription	Enables you to perform an operation on a game variable defined by the campaign
Gadget/&ActivatorVariableChangedTitle	Variable Changed Activator
Gadget/&ActivatorVariableChangedDescription	An activator that is triggered when a variable is changed and validates the specified condition. Also tested whenever a new location is entered
Gadget/&ParameterVariableTitle	Variable
Gadget/&ParameterVariableDescription	The campaign variable used by this gadget
Gadget/&ParameterVariableOperationTypeTitle	Operation Type
Gadget/&ParameterVariableOperationTypeDescription	The type of operation performed on the specified variable
Gadget/&ParameterVariableValueIntTitle	Value
Gadget/&ParameterVariableValueIntDescription	The integer value considered for the variable
Gadget/&ParameterVariableValueBoolTitle	Value
Gadget/&ParameterVariableValueBoolDescription	The Boolean value considered for the variable
Gadget/&ParameterVariableValueStringTitle	Value
Gadget/&ParameterVariableValueStringDescription	The character string value considered for the variable
Gadget/&ParameterCustomDurationTitle	Custom Duration
Gadget/&ParameterCustomDurationDescription	Check this to input a specific duration. Otherwise, it is automatically computed
Gadget/&ParameterLoreDurationSecondsTitle	Duration (s)
Gadget/&ParameterLoreDurationSecondsDescription	The duration in seconds for which the text is displayed
Gadget/&ParameterVariableTestTypeTitle	Test Type
Gadget/&ParameterVariableTestTypeDescription	The test type to perform on the variable
Gadget/&ManholeCoverTitle	Manhole Cover
Gadget/&ManholeCoverDescription	Can transport the party to another location
Gadget/&CastleInnerWallsDoorTitle	Castle Inner Wall Door
Gadget/&CastleInnerWallsDoorDescription	A simple door to open (to be used with castle inner wall doorways)
Gadget/&WeaponRackTitle	Weapon Rack
Gadget/&ArmorStandTitle	Armor Stand
Gadget/&CavesInnerWallsDoorTitle	Lava Caves Inner Wall Door
Gadget/&CavesInnerWallsDoorDescription	A simple door to open (to be used with Free Wall - Doorway)
Gadget/&NpcDialogTitle	Dialog NPC
Gadget/&NpcDialogDescription	A non-player character that can be linked to a user dialog. This can be used for more complex social interactions in your campaign.
Gadget/&ParameterDialogTitle	Dialog
Gadget/&ParameterDialogDescription	The player character/NPC interaction graph that you have edited in the campaign
Gadget/&ParameterVariableValueDieTitle	Die Type
Gadget/&ParameterVariableValueDieDescription	The type of die used for the roll.
Gadget/&VirtualDialogTitle	Virtual Dialog
Gadget/&VirtualDialogDescription	Allows you to start a dialog with an inanimate object / structure.
Gadget/&MapWaypointTitle	Map Waypoint
Gadget/&MapWaypointDescription	Places an invisible map waypoint, which can be used to give directions on the location map and for fast travel on the map.
Gadget/&ParameterWaypointTitleTitle	Waypoint Title
Gadget/&ParameterWaypointTitleDescription	The title shown on the map for this waypoint.
Gadget/&ParameterAllowFastTravelTitle	Allow Fast Travel
Gadget/&ParameterAllowFastTravelDescription	Does this waypoint allow fast travel on the location map?
Gadget/&ParameterLocationExitTitle	Location Exit
Gadget/&ParameterLocationExitDescription	Is this waypoint marked as an exit to the current location?
Gadget/&ParameterLongRestAvailableTitle	Long Rest Available
Gadget/&ParameterLongRestAvailableDescription	Is this waypoint marked as a safe place to take a long rest?
