BlueprintCategory/&FlatRoomsTitle	Habitaciones planas
Feedback/&NotifyEffectResonatingStrikeLine	¡{0} resuena {1}!
Format/&LevelAndExperienceFormat	Nivel: {0}\nExperiencia: {1}\n{2} puntos necesarios para alcanzar el nivel {3}
Format/&LevelAndExperienceMaxedFormat	Nivel: {0}\nExperiencia: {1}\nnivel máximo alcanzado
MainMenu/&ExportPdfDescription	Baja de nivel a este héroe.
MainMenu/&ExportPdfTitle	Nivel abajo
Message/&CharacterExportDuplicateNameErrorDescription	Exportación cancelada:\n\nYa existe un héroe con este nombre en la piscina.\nIntente con otro nombre.
Message/&CharacterExportEmptyNameErrorDescription	Exportación cancelada:\n\nIntente con un nombre que no esté vacío.
Message/&CharacterExportModalContentDescription	Ingrese el nombre del héroe para exportar:
Message/&CharacterExportModalTitleDescription	Exportación de personajes.
Message/&LevelDownConfirmationDescription	¿Bajar de nivel a este héroe?
Message/&LevelDownMultiplayerAbortDescription	No se puede bajar de nivel durante una sesión multijugador.
Message/&MessageModWelcomeDescription	Community Expansion Mod está repleto de funciones interesantes, pero de forma predeterminada, ninguna está habilitada. Presiona <color=amarillo>Ctrl-F10</color> para abrir la interfaz de usuario de Unity Mod Manager [UMM], luego haz clic en el ícono de configuración junto a "Expansión de la comunidad" para abrir las páginas de configuración.\n\n Explora las opciones y selecciona las que más te gusten. Ahora se abrirá la interfaz de usuario de UMM.
Message/&MessageModWelcomeTitle	Mod de expansión comunitaria
Message/&RespecMultiplayerAbortDescription	No se puede respetar durante una sesión multijugador o en un mapa de exploración.
Message/&SpawnCustomEncounterDescription	¿Encuentro de aparición en las coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	No se pueden generar encuentros en un juego multijugador. Aún...
Message/&SpawnCustomEncounterTitle	Encontrar
Message/&TeleportPartyDescription	¿Teletransportar el grupo a las coordenadas ({0}, {1})?\nPuede romper misiones o mapas si se teletransporta a un lugar desconocido.
Message/&TeleportPartyTitle	teletransportarse
Monster/&DHCustomCouatlDescription	Los couatls son seres serpentinos benévolos de gran intelecto y perspicacia. Sus alas de colores brillantes y su manera amable hablan de sus orígenes celestiales.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Búho Familiar.
Monster/&OwlFamiliarTitle	Búho
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Daño perforante, y el objetivo debe tener éxito en una tirada de salvación de Constitución CD 13 o quedará envenenado durante 24 horas. Hasta que este veneno termine, el objetivo está inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morder
Power/&FindFamiliarBundlePowerDescription	Invoca familiar en forma de Pseudorgagon, Sprite, Imp o Quasit.
Power/&FindFamiliarBundlePowerTitle	Encuentra familiar
Power/&HelpActionDescription	Puedes ayudar a una criatura aliada a atacar a una criatura a 5 pies de ti. Fintas, distraes al objetivo o te unes de alguna otra forma para que el ataque de tu aliado sea más eficaz. Si tu aliado ataca al objetivo antes de tu próximo turno, la primera tirada de ataque se realiza con ventaja.
Power/&HelpActionTitle	Ayuda
Power/&PowerFunctionHandwrapsOfPullingDescription	Como acción adicional, puedes acercar a una criatura a 15 pies hacia ti.
Power/&PowerFunctionHandwrapsOfPullingTitle	Atraer clientes o negocios
Reaction/&CoordinatedAttackDescription	{0} fue atacado por un ataque coordinado, algunos personajes pueden usar su reacción para unirse a este ataque.
Reaction/&CoordinatedAttackReactDescription	Usa la reacción para atacar al objetivo.
Reaction/&CoordinatedAttackReactTitle	Ataque
Reaction/&CoordinatedAttackTitle	Ataque coordinado
Reaction/&ReadiedAction{0}Description	Listo {0}
Reaction/&ReadiedAction{0}Title	Listo {0}
Reaction/&SpendPower{0}Description	gastar {0}
Reaction/&SpendPower{0}Title	gastar {0}
Reaction/&SpendPowerBundleDescription	Gastar energía.
Reaction/&SpendPowerBundleTitle	Gastar poder
Reaction/&SubitemSelectCoordinatedAttackTitle	Seleccione la acción
Reaction/&SubitemSelectPowerBundleTitle	Opciones
Reaction/&SubitemSelectSlotLevelTitle	Nivel de tragamonedas
Reaction/&SubitemSelectWarcasterReactionTitle	Seleccione la acción
Reaction/&Use{0}Description	Usa {0}
Reaction/&Use{0}Title	Usa {0}
Reaction/&WarcasterAttackDescription	Objetivo de ataque.
Reaction/&WarcasterAttackTitle	Ataque
Reaction/&WarcasterReactionDescription	{0} está saliendo de un área amenazada por uno o más personajes.
Reaction/&WarcasterReactionReactDescription	Usa la reacción para atacar al objetivo.
Reaction/&WarcasterReactionReactTitle	Ataque
Reaction/&WarcasterReactionTitle	Ataque de oportunidad
Requirement/&FeatureSelectionRequireCharacterLevel	Nivel {0}
Requirement/&FeatureSelectionRequireClassLevel	Nivel {0} de {1}
RestActivity/&ZSRespecDescription	Respeta a este héroe.
RestActivity/&ZSRespecTitle	respeto
RestActivity/&ZSSorcerousRestorationDescription	Recupera 4 puntos de hechicería durante un breve descanso.
RestActivity/&ZSSorcerousRestorationTitle	Restauración hechicera
Rules/&AdvantageAttackOnEnemyDescription	Ventaja para atacar al enemigo.
Rules/&AdvantageAttackOnEnemyTitle	iluminado
Rules/&CounterFormDismissCreatureFormat	Descartar la construcción Tinkerer
Rules/&DisadvantageOnAttackByEnemyDescription	Distraído por la sacudida de un rayo.
Rules/&DisadvantageOnAttackByEnemyTitle	sacudido
Rules/&ExtraDamageOnAttackConditionDescription	Daño adicional de Lightning Spear.
Rules/&ExtraDamageOnAttackConditionTitle	estática conmocionada
Screen/&EditorLocationSize3Title	Enorme [MODIFICADO]
Screen/&EditorLocationSize4Title	Gigantesco [MODIFICADO]
Sorceror/&ZSSorcerousRestorationDescription	Recupera 4 puntos de hechicería durante un breve descanso.
Sorceror/&ZSSorcerousRestorationTitle	Restauración hechicera
Stage/&IdentityMorphotypeEyeHeader	Estilo de ojos
Stage/&SubclassSelectionStageSpecialistDescription	Descripción Hay una amplia gama de especialidades en Tinkerers, incluida la elaboración de elixires como Potion Maker, la creación de explosiones como Blaster y el uso de armas mágicas como Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Funciones especializadas
Stage/&SubclassSelectionStageSpecialistHeader	Especializaciones
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Ninguno Descripción.
Stage/&SubclassSelectionStageSpecialistTitle	Seleccionar especialización
Subclass/&ConditionResistnatArmorDescription	Tu armadura es resistente al daño por ácido, frío, fuego, fuerza, rayos, necrótico, veneno, psíquico, radiante y trueno.
ToolTip/&CheckBoxDefaultPartyTitle	Marque esta casilla para configurar su fiesta predeterminada cuando comience nuevas aventuras o pruebe ubicaciones personalizadas. Puede seleccionar hasta {0} héroes por orden de llegada.
Tooltip/&DeadeyeConcentration	Deshabilitar Deadeye.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	no sabe {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	Tiene ataque sigiloso
Tooltip/&FeatPrerequisiteIsNotBarbarian	no es un bárbaro
Tooltip/&FeatPrerequisiteIsNotFighter	no es un luchador
Tooltip/&FeatPrerequisiteIsNotRogue	no es un pícaro
Tooltip/&FeatPrerequisiteLevelFormat	Nivel mínimo de personaje {0}
Tooltip/&PowerAttackConcentration	Desactiva el ataque de poder.
Tooltip/&Tag9000Title	Efecto personalizado
Tooltip/&TagCommunityExpansionTitle	Expansión de la comunidad
Tooltip/&TagMaledictionTitle	Maldición
Tooltip/&TagOtherModContentTitle	Desde modelo
Tooltip/&TagPolearmWeaponTitle	arma de asta
UI/&CustomFeatureSelectionStageDescription	Seleccione características adicionales de su clase/subclase.
UI/&CustomFeatureSelectionStageFeatures	Características
UI/&CustomFeatureSelectionStageNotDone	Debe seleccionar todas las funciones disponibles antes de continuar
UI/&CustomFeatureSelectionStageTitle	Selección de características
UI/&CustomFeatureSelectionTooltipTypeCantrip	Broma
UI/&CustomFeatureSelectionTooltipTypeFeature	Rasgo
UI/&CustomFeatureSelectionTooltipTypePower	Energía
UI/&CustomFeatureSelectionTooltipTypeProficiency	Competencia
UI/&ForcePreferredCantripDescription	Si esta opción está activada, solo se puede activar el cantrip preferido. Si no se selecciona el cantrip preferido, se activará el primer cantrip válido, independientemente de esta opción.
UI/&ForcePreferredCantripTitle	Forzar Cantrip Preferido
