ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Class/&WitchFamiliarPowerDescription	Aprendes el hechizo Witch Familiar, es decir, un hechizo Find Familiar mejorado, y puedes lanzarlo como un ritual sin componentes materiales. El hechizo no cuenta contra tu número de hechizos conocidos. El hechizo mejora Find Familiar de las siguientes maneras:\n• Tu familiar toma su turno inmediatamente antes o después de tu turno en cada ronda (tu eliges).\n• Una vez por turno como acción o acción adicional, puedes ordenar mentalmente a tu familiar que use su reacción para realizar un ataque.\n• Cuando lanzas un hechizo, puedes lanzarlo a través de tu familiar como si hubiera lanzado el hechizo, incluso si el hechizo no tiene un rango de toque.\n• Tu familiar puede usar tu bonificador de ataque con hechizos para sus tiradas de ataque.\n• Tu familiar añade tu bonificador de competencia a su Clase de Armadura, tiradas de salvación y tiradas de daño.\n• Añades el doble de tu nivel de Brujo a los puntos de vida máximos de tu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Casi todo tu cuerpo ha sido abrasado por llamas arcanas, dejándote con llamativas cicatrices negras y ascuas de magia que arden bajo la piel. Como resultado, tienes resistencia al daño por fuego y conoces el cantrip Produce Flame, que no cuenta en tu número total de cantrips conocidos.
Class/&WitchFeatureSetBurnedCurseTitle	quemado
Class/&WitchFeatureSetLovelessCurseDescription	Estás condenado a nunca encontrar el amor verdadero. Hastiado y descontento, ni siquiera la magia puede cambiar tu corazón; como resultado, eres inmune a ser hechizado.
Class/&WitchFeatureSetLovelessCurseTitle	Desamor
Class/&WitchFeatureSetRitualCastingDescription	Puedes lanzar cualquier hechizo de Bruja que conozcas como ritual si ese hechizo tiene la etiqueta de ritual.
Class/&WitchFeatureSetRitualCastingTitle	Bruja: casting ritual
Class/&WitchFeatureSetVisionsCurseDescription	Estás condenado a tener terribles visiones del futuro, que presagian la muerte de tus amigos, familiares y la tuya. Sin embargo, muchas de estas visiones son engaños crueles, a veces son terriblemente precisos. Puedes añadir tu modificador de Carisma, además de tu modificador de Destreza, a tus tiradas de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	visiones
Class/&WitchLovelessCharmImmunityDescription	Eres inmune a ser hechizado.
Class/&WitchLovelessCharmImmunityTitle	Sin amor: Inmunidad al encantamiento
Class/&WitchMaledictionAbateDescription	Como acción, elige una criatura que puedas ver a 60 pies de ti para hacer una tirada de salvación de Carisma. En una salvación fallida, la criatura no puede reaccionar hasta el final de tu próximo turno.
Class/&WitchMaledictionAbateTitle	Atrapa la maldición
Class/&WitchMaledictionApathyDescription	Como acción, elige una criatura que puedas ver a 60 pies de ti para hacer una tirada de salvación de Carisma. En una salvación fallida, hasta el final de tu próximo turno, la criatura se vuelve indiferente hacia una criatura de tu elección hacia la que es hostil. Esta indiferencia finaliza si el objetivo es atacado o dañado por un hechizo de la criatura a la que es indiferente.
Class/&WitchMaledictionApathyTitle	Maldición de apatía
Class/&WitchMaledictionCharmDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para realizar una tirada de salvación de Sabiduría. Si fallas, la criatura queda hechizada por ti hasta el final de tu siguiente turno.
Class/&WitchMaledictionCharmTitle	Encanto maldición
Class/&WitchMaledictionDisorientDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para realizar una tirada de salvación de Constitución. En una salvación fallida, cada vez que este objetivo haga una tirada de ataque antes del final de tu próximo turno, debe tirar un d6 y restar el número obtenido de la tirada de ataque.
Class/&WitchMaledictionDisorientTitle	Maldición Desorientar
Class/&WitchMaledictionEvilEyeDescription	Como acción, elige una criatura que puedas ver que pueda verte en un radio de 60 pies para hacer una tirada de salvación de Sabiduría. Si falla, la criatura te tiene miedo hasta el final de tu siguiente turno.
Class/&WitchMaledictionEvilEyeTitle	Maldición del mal de ojo
Class/&WitchMaledictionObfuscateDescription	Como acción, creas una esfera de niebla de 20 pies de radio centrada en ti. La esfera se extiende por las esquinas y su área está muy oscurecida. Este efecto dura hasta el final de tu siguiente turno o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) lo disperse.
Class/&WitchMaledictionObfuscateTitle	Ofuscar maldición
Class/&WitchMaledictionPoxDescription	Como acción, elige una criatura que puedas ver en un radio de 5 pies para realizar una tirada de salvación de Constitución. Si falla, la criatura queda envenenada hasta el final de tu siguiente turno.
Class/&WitchMaledictionPoxTitle	Maldición de viruela
Class/&WitchMaledictionRuinDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para realizar una tirada de salvación de Constitución. Si falla, la Clase de armadura de la criatura se reduce en 3, hasta un mínimo de 10, hasta el final de tu siguiente turno.
Class/&WitchMaledictionRuinTitle	Maldición de ruina
Class/&WitchRitualCastingMagicAffinityDescription	Puedes lanzar un hechizo de bruja como un ritual si ese hechizo tiene la etiqueta de ritual y tienes el hechizo preparado.
Class/&WitchRitualCastingMagicAffinityTitle	casting ritual
Class/&WitchSavingthrowProficiencyDescription	Sabiduría, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Habilidades de lanzamiento de salvación de brujas
Class/&WitchSkillProficiencyDescription	Elige dos de Arcanos, Engaño, Perspicacia, Intimidación, Persuasión, Naturaleza y Religión.
Class/&WitchSkillProficiencyTitle	Habilidades de bruja
Class/&WitchSpellcastingDescription	Eres una bruja que es capaz de lanzar hechizos de la lista de hechizos de brujas.
Class/&WitchSpellcastingTitle	Lanzamiento de hechizos de bruja
Class/&WitchTitle	Bruja
Class/&WitchToolProficiencyDescription	Elige uno del kit de herbolario y el kit de envenenador.
Class/&WitchToolProficiencyTitle	Habilidades de herramientas de brujas
Class/&WitchVisionsInitiativeDescription	Añades tu modificador de Carisma a tus tiradas de iniciativa.
Class/&WitchVisionsInitiativeTitle	Iniciativa Visiones
Class/&WitchWeaponProficiencyDescription	Armas simples.
Class/&WitchWeaponProficiencyTitle	Competencias con armas de brujas
Condition/&AbateDescription	No se pueden usar reacciones.
Condition/&AbateTitle	Disminuir
Condition/&AncientForestPhotosynthesisDescription	Puede absorber energía de la luz solar. Mientras estás bajo la luz brillante directa, recuperas 2 HP al comienzo de tu turno.
Condition/&AncientForestPhotosynthesisTitle	Fotosíntesis
Condition/&AncientForestRootedConditionDescription	Los zarcillos arbóreos crecen de tus pies y se clavan en el suelo. Puedes lanzar enredar a voluntad. Tu velocidad se convierte en 0 y obtienes ventaja en cualquier tirada de salvación para empujarte, jalarte o derribarte.
Condition/&AncientForestRootedConditionTitle	Arraigado
Condition/&ApathyDescription	Indiferente a la criatura objetivo hacia la que es hostil. Esta indiferencia termina si el objetivo es atacado o dañado por un hechizo de la criatura objetivo.
Condition/&ApathyTitle	Apatía
Condition/&CharmDescription	Considera al lanzador un aliado.
Condition/&CharmTitle	Encantado
Condition/&ClassMonkEmptyBodyConditionDescription	Tienes resistencia a todo daño excepto a la fuerza.
Condition/&ClassMonkEmptyBodyConditionTitle	cuerpo vacio
Condition/&ClassMonkOpenHandDistractConditionDescription	No se pueden usar reacciones.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraído
Condition/&ClassMonkStepOfTheWindConditionDescription	Puedes realizar la acción de Desengancharte o Correr como una acción adicional y tu distancia de salto se duplica durante el turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Paso del viento
Condition/&ClassMonkTanquilityConditionDescription	Tienes ventaja en las tiradas de salvación contra hechizos y los enemigos tienen desventaja al atacarte. Se elimina cuando realizas un ataque o lanzas un hechizo.
Condition/&ClassMonkTanquilityConditionTitle	Tranquilidad
Condition/&ClassMonkZenArrowDistractConditionDescription	Tiene desventaja en el siguiente ataque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Tiene desventaja en todos los ataques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	El movimiento se establece en 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Fijado
Condition/&ConditionBarkWardDescription	Protegido por los espíritus del bosque. Gana 4 HP temporales por cada nivel de Druida, con una duración de 10 minutos.
Condition/&ConditionBarkWardTitle	Guardián de la corteza
Condition/&ConditionDualFlurryApplyDescription	Estás ganando impulso...
Condition/&ConditionDualFlurryApplyTitle	¡Ráfaga dual!
Condition/&ConditionDualFlurryGrantDescription	¡Tus enemigos están tambaleándose!
Condition/&ConditionDualFlurryGrantTitle	¡Ráfaga dual!
Condition/&ConditionImprovedBarkWardDescription	Los espíritus del bosque infligen 2d8 de daño perforante a las criaturas que golpean con un ataque cuerpo a cuerpo.
Condition/&ConditionImprovedBarkWardTitle	Guardián de ladridos mejorado
Condition/&ConditionMarkedByArcanistDescription	Afligido por la marca del arcanista. Cuando es golpeado por el lanzador con un ataque de arma, la marca detona, infligiendo 1d6 de daño de fuerza a los afectados y destruyendo la marca.
Condition/&ConditionMarkedByArcanistTitle	Marca del arcanista
Condition/&ConditionMuleDescription	Tu velocidad no se ve reducida por estorbos o armaduras pesadas. Puedes llevar 20 libras adicionales.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Los espíritus del bosque otorgan inmunidad al veneno e infligen 3d8 de daño perforante a las criaturas que golpean con un ataque cuerpo a cuerpo.
Condition/&ConditionSuperiorBarkWardTitle	Guardián de corteza superior
Condition/&DebilitatedConditionDescription	Sufre de una de las siguientes condiciones: cegado, perdición, sangrado o aturdido.
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DHFeeblemindSpellDescription	Las puntuaciones de Inteligencia y Carisma de la criatura se convierten en 1. La criatura no puede lanzar hechizos, activar objetos mágicos, entender el lenguaje o comunicarse de forma inteligible.
Condition/&DHFeeblemindSpellTitle	Débil mental
Condition/&DHForesightSpellDescription	Ventaja en todas las tiradas de ataque, pruebas de habilidad y tiradas de salvación. Otras criaturas tienen desventaja en las tiradas de ataque.
Condition/&DHForesightSpellTitle	Previsión
Condition/&DHHolyAuraSpellDescription	Ventaja en todas las tiradas de salvación. Otras criaturas tienen desventaja en las tiradas de ataque. Cuando un demonio o un no-muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el atacante debe tener éxito en una tirada de salvación de Constitución o quedar cegado hasta que finalice el conjuro.
Condition/&DHHolyAuraSpellTitle	Protegido por el Aura Sagrada
Condition/&DHMindBlankSpellDescription	Inmune al daño psíquico y al estado encantado.
Condition/&DHMindBlankSpellTitle	Mente en blanco
Condition/&DHReverseGravitySpellDescription	No puedo moverme.
Condition/&DHReverseGravitySpellTitle	Atrapado por la gravedad inversa
Condition/&DHTimeStopSpellDescription	El tiempo se congela para la criatura afectada.
Condition/&DHTimeStopSpellTitle	tiempo detenido
Condition/&DHWeirdSpellDescription	Atemorizado. Al final de cada turno, haz una tirada de salvación de Sabiduría. Si falla, recibe 4d10 de daño psíquico. Con un éxito, esta condición finaliza.
Condition/&DHWeirdSpellTitle	raro
Condition/&DisorientDescription	-1d6 a las tiradas de ataque.
Condition/&DisorientTitle	desorientado
Condition/&EvilEyeDescription	Atemorizado. Incapaz de acercarse a la fuente del miedo, desventaja en las tiradas de ataque y pruebas de habilidad mientras la fuente del miedo está a la vista.
Condition/&EvilEyeTitle	Aojo
Condition/&EWResonatingStrikeDamageDescription	A nivel 5, los ataques provocados por este cantrip infligen 1d8 de daño de trueno adicional. El daño aumenta aún más en 1d8 en los niveles 11 y 17.
Condition/&EWResonatingStrikeDamageTitle	Resonancia
Condition/&EWSunlightBladeDamageDescription	A nivel 5, los ataques provocados por este cantrip infligen 1d8 de daño radiante adicional. El daño aumenta aún más en 1d8 en los niveles 11 y 17.
Condition/&EWSunlightBladeDamageTitle	Quemadura de Sunlit Blade
Condition/&FrenziedDescription	Esta criatura está frenética y atacará a la criatura más cercana.
Condition/&FrenziedTitle	Frenético
Condition/&HalfLifeConditionDescription	Tomas energía necrótica dentro de ti mismo y pendes entre la vida y la muerte y eres poseído temporalmente por tu propio fantasma, ganando vuelo, y las mismas inmunidades de condición y resistencias al daño que otros fantasmas.
Condition/&HalfLifeConditionTitle	Media vida
Condition/&HelpActionDescription	Esta criatura se ha distraído.
Condition/&HelpActionTitle	Distraído
Condition/&MoonTouchedConditionDescription	Su gravedad es negada.
Condition/&MoonTouchedConditionTitle	luna tocada
Condition/&PoxDescription	Condición de viruela.
Condition/&PoxTitle	Viruela
Condition/&RuinDescription	Penalización de -3 AC, hasta un máximo de -10 AC.
Condition/&RuinedDescription	Penalización de -3 AC, hasta un máximo de -10 AC.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruina
Condition/&SentinelStopMovementConditionDescription	Incapaz de moverse. Velocidad puesta a 0.
Condition/&SentinelStopMovementConditionTitle	Detenido
Condition/&SwallowedByToadConditionDescription	Recibe 3d6 de daño por ácido cada turno. Termina si el lanzador recibe 15 de daño o más en un solo ataque.
Condition/&SwallowedByToadConditionTitle	tragado por sapo
Condition/&SwallowingToadConditionDescription	Termina si se reciben 15 daños o más en un solo ataque.
Condition/&SwallowingToadConditionTitle	Sapo tragador
ContentPack/&CommunityExpansionPackDescription	El paquete Community Expansion agrega nuevas clases, subclases, dotes y hechizos. Hay un límite de nivel más alto, varias clases, funciones de QOL, correcciones de errores y más. Es un verdadero Cuerno de la Abundancia (TM)...
ContentPack/&CommunityExpansionPackTitle	Paquete de expansión de la comunidad
CraftyFeats/&ApothecaryIntFeatDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nObtienes competencia con el kit de herboristería y arcanos, o experiencia si ya eres competente.
CraftyFeats/&ApothecaryIntFeatTitle	Boticario (Inteligencia)
CraftyFeats/&ApothecaryWisFeatDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nObtienes competencia con el kit de herboristería y arcanos, o experiencia si ya eres competente.
CraftyFeats/&ApothecaryWisFeatTitle	Boticario (Sabiduría)
CraftyFeats/&AttributeDexDescription	+1 DEX hasta un máximo de 20
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	+1 INT hasta un máximo de 20
CraftyFeats/&AttributeIntTitle	Inteligencia
CraftyFeats/&AttributeWisDescription	+1 SAB hasta un máximo de 20
CraftyFeats/&AttributeWisTitle	Sabiduría
CraftyFeats/&CraftyArcanaDescription	Obtienes competencia/pericia en Arcana.
CraftyFeats/&CraftyBowsDescription	Obtienes competencia con todos los arcos y ballestas.
CraftyFeats/&CraftyBowsTitle	Dominio del arco
CraftyFeats/&CraftyFletcherFeatDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\nAdquieres competencia con las herramientas de herrero, o experiencia si ya eres competente.\n Obtienes competencia con todos los arcos y ballestas.
CraftyFeats/&CraftyFletcherFeatTitle	Flechero
CraftyFeats/&CraftyMedicineDescription	Ganas competencia/pericia en Medicina.
CraftyFeats/&CraftyNatureDescription	Ganas competencia/pericia en la Naturaleza.
CraftyFeats/&CraftyScribeFeatDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nObtienes competencia con el kit de pergaminos y arcanos, o experiencia si ya eres competente.\nRequiere la habilidad de lanzar hechizos.
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Instrumentos
CraftyFeats/&ManacalonCrafterFeatDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nObtienes competencia con manacolon rosary y arcana, o experiencia si ya eres competente.\nRequiere la habilidad de lanzar hechizos.
CraftyFeats/&ManacalonCrafterFeatTitle	Artesano de Manacalón
CraftyFeats/&ToxicologistIntFeatDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nObtienes competencia con el equipo de envenenador y la Naturaleza, o experiencia si ya eres competente.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicólogo (Inteligencia)
CraftyFeats/&ToxicologistWisFeatDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nObtienes competencia con el equipo de envenenador y Medicina, o experiencia si ya eres competente.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicólogo (Sabiduría)
DamageAffinity/&DHHolyAuraSpellDescription	Cuando un demonio o un no-muerto golpea con un ataque cuerpo a cuerpo, el aura destella con una luz brillante y el atacante debe tener éxito en una tirada de salvación de Constitución o quedar cegado hasta que termine el hechizo.
DamageAffinity/&DHHolyAuraSpellTitle	Represalia del aura sagrada
Equipment/&ArcaneStaffDescription	Este bastón está inscrito con escritura mágica y puede usarse como foco para lanzar hechizos arcanos.
Equipment/&ArcaneStaffTitle	Bastón Arcano
Equipment/&CEHalberdTypeTitle	alabardas
Equipment/&CEHandXbowTypeTitle	Ballestas de mano
Equipment/&CELongMaceTypeTitle	Mazas Largas
Equipment/&CEPikeTypeTitle	picas
Equipment/&DruidicAmuletDescription	Este amuleto totémico se puede utilizar como foco para lanzar hechizos druídicos.
Equipment/&DruidicAmuletTitle	Amuleto druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	club de la agudeza
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Las puntas afiladas de la garra del oso destrozan la armadura para infligir daño adicional. La primera arma de este tipo fue diseñada por Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Garra de oso
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Club_Lightbringer_Title	Club de Iluminados
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Algunas criaturas solo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este club para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Club_Power_Title	club de poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. La combinación del mejor metal y Slavestone le dio a este hacha un increíble poder de perforación.
Equipment/&Enchanted_Club_Punisher_Title	club del castigador
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo de agudeza
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo de escarcha
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo de nitidez
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo bebealmas
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hacha de mano de la agudeza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hacha de mano Frostburn
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hacha de mano de nitidez
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hacha de mano de bebedor de almas
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Su diseño original llevaba el sigilo de Defineth Sharpsight, un renombrado encantador de elfos silvanos.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Ballesta pesada de precisión
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Ballesta pesada Portadora de la Luz
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. La magia combinó el coral de medusa y la madera dura para crear un arco mortal, el favorito de los grupos de abordaje de los medianos de la isla.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Ballesta pesada Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Coedymwarth prefería tratar con los arcanistas de Manacalon físicamente en lugar de mágicamente. Sus mejores arqueros recibieron ballestas, creación de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Ballesta pesada de puntería
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. ¡Fue diseñado por Galar Stromforge, el primer herrero enano en aprovechar el poder de la tormenta en un arma con efectos devastadores!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Ballesta de tormenta pesada
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Ocultar armadura de desviación
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Ocultar armadura de baile de llamas
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Ocultar armadura de robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Armadura de piel de solidez
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Ocultar armadura de supervivencia
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Jabalina de agudeza
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Javelin_Frostburn_Title	Jabalina quemadaescarcha
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Jabalina de nitidez
