Name	Type	DatabaseType	GUID
ScoutSentinel	CharacterSubclassDefinition	CharacterSubclassDefinition	fb2e5f73-d552-430f-b329-1f0a2ecdf6bd
SpellMaster	CharacterSubclassDefinition	CharacterSubclassDefinition	5ef3ec64-fc58-5cc7-abaf-2a79c88f1d2d
TacticianFighter	CharacterSubclassDefinition	CharacterSubclassDefinition	9d32577d-d3ec-4859-b66d-451d071bb117
WhiteWitch	CharacterSubclassDefinition	CharacterSubclassDefinition	d9e3aac4-ad78-5739-ba6e-f70081c8a33b
AdvantageAttackOnEnemy	ConditionDefinition	ConditionDefinition	e10ff259-0294-4814-86de-327eaa1486a6
AHRageFeatCondition	ConditionDefinition	ConditionDefinition	2f34fb85-6a5d-4a4e-871b-026872bc24b8
AlchemistFlyElixirCondition	ConditionDefinition	ConditionDefinition	78bd3798-0c44-5642-8836-03eb6a7d3bf5
AlchemistResilienceElixirCondition	ConditionDefinition	ConditionDefinition	1ebd7a50-c687-53e3-b917-b3f7127d8fba
AlchemistSwiftnessElixirCondition	ConditionDefinition	ConditionDefinition	08593981-1cfd-5156-be03-249dcce4ed27
ArtificerImprovedInfusedFocus	ConditionDefinition	ConditionDefinition	326a8383-d424-5f8a-9193-9d218a4e2227
ArtificerInfusedConditionBagOfHolding	ConditionDefinition	ConditionDefinition	9c6e21de-0caf-5cc7-b64f-773ee3c1865e
ArtificerInfusedConditionDarkvision	ConditionDefinition	ConditionDefinition	7f593039-b014-5ebf-a8eb-8f985958c275
ArtificerInfusedConditionMindSharpener	ConditionDefinition	ConditionDefinition	dc11676a-c33c-5cdf-b48a-de622db583f3
ArtificerInfusedFocus	ConditionDefinition	ConditionDefinition	85e4f946-f5c3-544e-aa7a-d003cac5c338
ArtificerInfusionArmorMagicalStrengthCondition	ConditionDefinition	ConditionDefinition	642970f4-1918-5a54-b575-a103ce59065a
BarkWard	ConditionDefinition	ConditionDefinition	2d27674c-26d3-5d01-b35b-8595f0f7eb52
ConditionAbate	ConditionDefinition	ConditionDefinition	00927056-4bb0-51dc-8cad-65c3e17275b2
ConditionApathy	ConditionDefinition	ConditionDefinition	04423dbb-9940-5f93-8475-717645b130a9
ConditionCharm	ConditionDefinition	ConditionDefinition	bcbe10ad-80bc-5777-a157-03056360e789
ConditionDisorient	ConditionDefinition	ConditionDefinition	6af55055-ba7b-504a-8a18-c904eeae27ea
ConditionEvilEye	ConditionDefinition	ConditionDefinition	b8d95cb9-d3c2-5f3c-9bee-83975745dad0
ConditionFrenzied	ConditionDefinition	ConditionDefinition	09a5ca8a-6f64-51f0-ae67-ec6da8c0204e
ConditionHelpPower	ConditionDefinition	ConditionDefinition	cbc0e166-7927-5321-9fff-f78c8d7d7e0d
ConditionInfuseAmuletOfHealth	ConditionDefinition	ConditionDefinition	1987d833-9460-5472-812a-cf673836cacf
ConditionInfuseBeltOfGiantHillStrength	ConditionDefinition	ConditionDefinition	3a3a1fa8-fa39-52fa-913c-b6cbe3dbbdad
ConditionInfuseBootsOfElvenKind	ConditionDefinition	ConditionDefinition	e5478be7-b8bb-55ba-9af2-145ea2eb3150
ConditionInfuseBracersOfDefense	ConditionDefinition	ConditionDefinition	2beac2dc-dc11-5589-9d57-4e43e4622883
ConditionInfuseBracesrOfArchery	ConditionDefinition	ConditionDefinition	57b6a0d6-5505-5fd7-9348-1a88d4c1cba4
ConditionInfuseCloakOfElvenKind	ConditionDefinition	ConditionDefinition	c5489c27-218a-583d-a676-8c0ccd636ed6
ConditionInfuseCloakOfProtection	ConditionDefinition	ConditionDefinition	df0418ba-4db9-558a-894b-a9812e4f8a2c
ConditionInfuseGauntletsOfOgrePower	ConditionDefinition	ConditionDefinition	28196fb0-e1d4-5fc2-9495-506823e6bb6a
ConditionInfuseHeadbandOfIntellect	ConditionDefinition	ConditionDefinition	c9602154-65a0-59e5-a297-570132749f0d
ConditionInfuseRingProtectionPlus1	ConditionDefinition	ConditionDefinition	2ab15157-efe7-548c-a7df-330691797bd5
ConditionInfuseSlippersOfSpiderClimbing	ConditionDefinition	ConditionDefinition	17fb6c51-351e-53ab-b865-fa66f9e44c21
ConditionMarkedByArcanist	ConditionDefinition	ConditionDefinition	2c45ce76-761a-5335-83ce-f380422be675
ConditionPowerArtificerResistantArmor	ConditionDefinition	ConditionDefinition	642d9b30-b807-5c1e-9190-55914c957ee5
ConditionPowerTransmuteConstitution	ConditionDefinition	ConditionDefinition	0f07bac0-5a2c-57e5-a8d8-1ec3120e7b61
ConditionPowerTransmuteDarkvision	ConditionDefinition	ConditionDefinition	88e5ac08-cc10-530c-94f2-e28a41d5bf85
ConditionPowerTransmutePoison	ConditionDefinition	ConditionDefinition	2cbaf2df-504d-5e2e-be5d-a3e3d7a686a1
ConditionPox	ConditionDefinition	ConditionDefinition	b9f07c91-f494-57d9-95fe-dc9f3a990e2f
ConditionRuin	ConditionDefinition	ConditionDefinition	444c1178-cef0-5710-9d2c-bc4a9c3fb12c
ConditionSpellShieldArcaneDeflection	ConditionDefinition	ConditionDefinition	3a1982dd-3a02-5746-88dc-2ef0be504f77
ConditionWitchFamiliarAC	ConditionDefinition	ConditionDefinition	3a684474-c7e0-5c6b-896b-20a34127211b
ConditionWitchFamiliarDamage	ConditionDefinition	ConditionDefinition	6df5fa51-a8fc-5517-9a87-5a95f2e77d2d
ConditionWitchFamiliarHit	ConditionDefinition	ConditionDefinition	c64608d5-3fe5-5d4c-97b9-66a3bf20a591
ConditionWitchFamiliarHP	ConditionDefinition	ConditionDefinition	36c0810d-0136-5cf0-b31f-9249bf87e282
ConditionWitchFamiliarST	ConditionDefinition	ConditionDefinition	ed5e56d0-fed9-59a4-a129-68bdfd2810e7
DHFeeblemindSpellcondition	ConditionDefinition	ConditionDefinition	965a09b2-cb22-452b-b93c-2bccdcda4871
DHForesightSpellcondition	ConditionDefinition	ConditionDefinition	4615c639-95f2-4c04-b904-e79f5b916b68
DHHolyAuraSpellcondition	ConditionDefinition	ConditionDefinition	1808ca4b-8f46-41bf-a59c-0bcbd4f60248
DHMindBlankSpellcondition	ConditionDefinition	ConditionDefinition	74f77a4c-b5cb-45d6-ac6d-d9fa2ebe3869
DHReverseGravitySpellcondition	ConditionDefinition	ConditionDefinition	809f1cef-6bdc-4b5a-93bf-275af8ab0b36
DHTimeStopSpellCondition	ConditionDefinition	ConditionDefinition	f00e592f-61c3-4cbf-a800-97596e83028d
DHWeirdSpellCondition	ConditionDefinition	ConditionDefinition	0f76e7e1-4490-4ee8-a13f-a4a967ba1c08
DisadvantageOnAttackByEnemy	ConditionDefinition	ConditionDefinition	94bbcf4e-c376-4804-a157-2a5a5dd003e9
ExtraDamageOnAttackCondition	ConditionDefinition	ConditionDefinition	2a9bc931-adb9-4751-8770-3a1367920a57
HalfCoverShieldCondition	ConditionDefinition	ConditionDefinition	c160a20e-4714-478a-8bbb-6df5526728a9
ImprovedBarkWard	ConditionDefinition	ConditionDefinition	fb32f060-fff3-5cfb-987a-277dcea0e8df
PathOfTheLightEyesOfTruthSeeingInvisible	ConditionDefinition	ConditionDefinition	c1ade68d-0482-5d6c-b7a0-1f74c5406322
PathOfTheLightIlluminatedByBurstCondition	SolastaCommunityExpansion.Subclasses.Barbarian.PathOfTheLight+IlluminatedByBurstConditionDefinition	ConditionDefinition	d7f66413-6f21-57c0-ad11-78cfabb68cf9
PathOfTheLightIlluminatedCondition	SolastaCommunityExpansion.Subclasses.Barbarian.PathOfTheLight+IlluminatedConditionDefinition	ConditionDefinition	b5040325-e269-5ecd-9f50-e29989b0d938
PathOfTheLightIlluminatingBurstSuppressedCondition	ConditionDefinition	ConditionDefinition	a52f0e2a-51ff-51c7-9a55-8976e68154bb
PathOfTheLightIlluminatingStrikeInitiatorCondition	ConditionDefinition	ConditionDefinition	2be6d208-f746-5db9-9133-a87baa1b5fac
PowerAttackCondition	ConditionDefinition	ConditionDefinition	c125b7b9-e668-4c6f-a742-63c065ad2292
PowerAttackTwoHandedCondition	ConditionDefinition	ConditionDefinition	7d0eecbd-9ad8-4915-a3f7-cfa131001fe6
RogueConArtistFeintCondition	ConditionDefinition	ConditionDefinition	74adf4f4-b8ff-54d6-988e-3736b143bd80
SelfDestructionCondition	ConditionDefinition	ConditionDefinition	c96984f4-0370-4775-ab8b-3ee6db0c8806
SuperiorBarkWard	ConditionDefinition	ConditionDefinition	8f1e0ae3-208d-5562-8b88-b07d9c584e0a
ThunderStruck	ConditionDefinition	ConditionDefinition	63e2091c-4186-43d5-a099-7c8ca97224d6
ThunderStruckBalancingAdvantage	ConditionDefinition	ConditionDefinition	0b2b4bee-21b0-46c7-9504-1374bd226cb0
TinkererFlashOfGeniusCondition	ConditionDefinition	ConditionDefinition	6ef5eb28-632b-5842-b751-c977426bc2ef
ProxyPetalStorm	EffectProxyDefinition	EffectProxyDefinition	b3fceeec-0b05-5485-b388-65b1af31a5f8
ProxyProtectThreshold	EffectProxyDefinition	EffectProxyDefinition	0dc8c753-f57f-5d96-a479-bc34b9ea7ee7
ApothecaryInt	FeatDefinition	FeatDefinition	ef387249-45e0-4899-aadd-44810f8aeb6d
ApothecaryWis	FeatDefinition	FeatDefinition	4fd80bf9-7749-4c01-9d95-6eb56c644fe2
CraftyFletcher	FeatDefinition	FeatDefinition	67c5f2d2-a98c-49a1-a1ab-16cc8f4b4ba4
CraftyScribe	FeatDefinition	FeatDefinition	bd83e063-2751-4898-8070-f74ca925f8b5
DualFlurryFeat	FeatDefinition	FeatDefinition	4e75dbb0-5fdb-5866-bd2b-05113ddd7bf8
FeatBlindFightingStlye	FeatDefinition	FeatDefinition	87491eaf-8074-57ca-96c8-c64f4dd5f0c5
FeatChefCon	FeatDefinition	FeatDefinition	fec426bf-10ad-549d-be14-8d456873d35a
FeatChefWis	FeatDefinition	FeatDefinition	dcd8761b-ce46-56e6-a636-38fbd9902f6b
FeatFeyTeleportationCha	FeatDefinition	FeatDefinition	7031c704-d9c6-5b05-8c50-b21a9420e070
FeatFeyTeleportationInt	FeatDefinition	FeatDefinition	19f93c3e-452a-5cfb-a2e7-85b64a86fb8e
FeatFeyTeleportationWis	FeatDefinition	FeatDefinition	895c215f-f407-5f05-8af1-c3ac84d5a82c
FeatFightingStyleArchery	FeatDefinition	FeatDefinition	66b04bb8-2ce7-5d73-aaf9-184bac8dacd7
FeatFightingStyleDefense	FeatDefinition	FeatDefinition	0cb852d7-d686-511f-94aa-ac2ae3dbcd05
FeatFightingStyleDueling	FeatDefinition	FeatDefinition	67cf4e9a-b2eb-5a87-b263-e6a73f6b9cb8
FeatFightingStyleGreatWeapon	FeatDefinition	FeatDefinition	9678de01-8f42-5b66-b014-84deec4d177a
FeatFightingStyleProtection	FeatDefinition	FeatDefinition	e71cd0dd-0ad1-56a0-bb8d-d32d59f5700a
FeatFightingStyleTwoWeapon	FeatDefinition	FeatDefinition	bfe25d15-aeb0-55b8-9768-d1f2d0d6c91d
FeatHealer	FeatDefinition	FeatDefinition	a8641fac-c059-54fa-aaaf-b8bcac89e267
FeatHeavyArmorMasterClass	FeatDefinition	FeatDefinition	946ce523-a0af-533b-98e6-adcd5b029192
FeatImprovedCritical	FeatDefinition	FeatDefinition	14c20c23-3887-5408-a146-71f84209d6ab
FeatInspiringLeader	FeatDefinition	FeatDefinition	e146f638-c573-5b87-a894-b376922271ff
FeatLightArmor	FeatDefinition	FeatDefinition	4ef552f9-17ca-5956-84c4-828466e3fb90
FeatMediumArmorDex	FeatDefinition	FeatDefinition	16141d58-f69a-5454-a78b-e8ee67ab03cf
FeatMediumArmorStrength	FeatDefinition	FeatDefinition	11ec0d6f-bcbb-5fca-9d8b-c9450ea756f1
FeatPugilistFightingStlye	FeatDefinition	FeatDefinition	31c72ed2-ae38-54e5-94ff-66cc4cc364d9
FeatSavageAttacker	FeatDefinition	FeatDefinition	ba77f65b-bec8-5530-afc0-5be71abcb959
FeatShadowTouchedCha	FeatDefinition	FeatDefinition	a86a44dd-14a2-53da-a489-293308f10381
FeatShadowTouchedInt	FeatDefinition	FeatDefinition	7310a904-1260-5094-a47e-55e9f6dcaa13
FeatShadowTouchedWis	FeatDefinition	FeatDefinition	6a478a0c-16bd-5723-a033-569bc6f51b65
FeatTelekineticCha	FeatDefinition	FeatDefinition	fd7c8d77-b047-51e9-8829-ec45e5bf8e07
FeatTelekineticInt	FeatDefinition	FeatDefinition	aa6fc0e3-a160-5337-8e86-35a88741d0a5
FeatTelekineticWis	FeatDefinition	FeatDefinition	d96de6eb-65fe-5f9c-9360-50a926d698fe
FeatTough	FeatDefinition	FeatDefinition	16b2aece-e3e6-530e-84d5-8d3e4d63dbf8
FeatWarCaster	FeatDefinition	FeatDefinition	2d7d47d2-2a3c-5368-98cd-2f09e0029241
ManacalonCrafter	FeatDefinition	FeatDefinition	290f73c8-201c-489e-bdcb-7a39ab40915c
PickPocketFeat	FeatDefinition	FeatDefinition	947a31fc-4990-45a5-bcfd-6c478b4dff8a
PowerAttackFeat	FeatDefinition	FeatDefinition	88f1fb27-66af-49c6-b038-a38142b1083e
RecklessFuryFeat	FeatDefinition	FeatDefinition	78c5fd76-e25b-499d-896f-3eaf84c711d8
TorchbearerFeat	FeatDefinition	FeatDefinition	9c7afc75-b518-59f9-bc24-b01b24ec305f
ToxicologistInt	FeatDefinition	FeatDefinition	702d1b4d-953c-406d-a900-d5d376ed29d3
ToxicologistWis	FeatDefinition	FeatDefinition	1bb4acbd-1890-48ae-9f86-46c2cb95cb79
AbilityAffinityInfusionMagicalStrength	FeatureDefinitionAbilityCheckAffinity	FeatureDefinition	9122a4d0-4675-5fd4-964a-0882b06592c0
AbilityAffinityRogueConArtist	FeatureDefinitionAbilityCheckAffinity	FeatureDefinition	955c0ca4-3428-5bd8-8eee-be4ebdd85731
AbilityCheckAffinityFeatPickPocket	FeatureDefinitionAbilityCheckAffinity	FeatureDefinition	30b1492a-053f-412e-b247-798fbc255038
ActionAffinityConditionFrenzied	FeatureDefinitionActionAffinity	FeatureDefinition	33b6da06-adb3-56d9-ba2d-5eecd7d1f934
ActionAffinitySpellShieldRangedDefense	FeatureDefinitionActionAffinity	FeatureDefinition	ea79f85e-4454-5b6d-87b7-70c1557c932c
AddConstructCantrips	FeatureDefinitionBonusCantrips	FeatureDefinition	942183c0-e581-464a-afe4-cc00a9cd9c26
AdditionalDamageArcaneDetonation	FeatureDefinitionAdditionalDamage	FeatureDefinition	2c2fd5c6-ea16-5ae6-92d2-4e1357d35c50
AdditionalDamageArcaneDetonationUpgrade	FeatureDefinition	FeatureDefinition	30eb8943-0b75-5d3d-b42f-ff0a0076bc31
AdditionalDamageArcanistMark	FeatureDefinitionAdditionalDamage	FeatureDefinition	4240bb3c-8a2d-5ab9-bd2d-c8fc7d79ded5
AdditionalDamagePugilist	FeatureDefinitionAdditionalDamage	FeatureDefinition	36d24b2e-8ef4-4037-a82f-05e63d56f3d2
AdditionalDamageRadiantWeapon	FeatureDefinitionAdditionalDamage	FeatureDefinition	6c19f349-ca91-5bbf-967b-f0ac74cab6a6
AdditionalDamageRogueSneakAttackRemove	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionRemoveGrantedFeature	FeatureDefinition	2efd04da-a069-50c4-be1e-44f2432d7404
AHRageDamageBonusAttackModifier	FeatureDefinitionAttackModifier	FeatureDefinition	7bc1a47e-9519-4a37-a89a-10bcfa83e48a
AHRagePower	FeatureDefinitionPower	FeatureDefinition	a46c1722-7825-4a81-bca1-392b51cd7d97
AHRageStrengthSavingThrowAffinity	FeatureDefinitionSavingThrowAffinity	FeatureDefinition	17d26173-7353-4087-a295-96e1ec2e6cd4
AlchemistResilienceMovementAffinity	FeatureDefinitionAttributeModifier	FeatureDefinition	26ffed43-4ba6-5fc0-8b7a-fd5b0fa3affb
AlchemistSwiftnessMovementAffinity	FeatureDefinitionMovementAffinity	FeatureDefinition	7e5f6439-75fa-5e49-804f-a6376870e771
ArcaneFighterAdditionalAction	FeatureDefinitionAdditionalAction	FeatureDefinition	f4c14d99-a831-52bd-a354-7ade44ee417d
ArcaneFighterBonusWeaponDamage	FeatureDefinitionAdditionalDamage	FeatureDefinition	7992f290-70ea-5fe6-90da-966962d0ad5f
ArcanePulse	FeatureDefinitionPower	FeatureDefinition	1cbe6058-6daf-5832-b5dd-8fc344ec5a4c
ArcanePulseUpgrade	FeatureDefinitionPower	FeatureDefinition	f3ad4df7-6d49-50de-a311-639719c9bcd0
ArcanistAutoPreparedSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	ef85a838-7fb5-5133-bc27-78ccbe2af98a
ArmorModePool	FeatureDefinitionPower	FeatureDefinition	fd0567d8-a728-4459-8569-273f3ead3f73
ArtificerAlchemistAlchemicalSavantHealing	FeatureDefinitionHealingModifier	FeatureDefinition	2889a2bc-93e0-5c1a-9259-72ddb9b81b18
ArtificerAlchemistAutoPrepSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	f5e40355-244f-5043-8608-4e7e15f0a981
ArtificerAlchemistElixirSpellPrep	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	8587c724-706b-5e73-afce-754e3ca35204
ArtificerAlchemistShotsSpellPrep	FeatureDefinitionBonusCantrips	FeatureDefinition	b0b009b4-8f5a-5294-a142-f923422df65e
ArtificerArtilleristArcaneFirearm	FeatureDefinitionAdditionalDamage	FeatureDefinition	f5c4af73-6c3e-5a10-b818-b8d4d3be1029
ArtificerArtilleristAutoPrepSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	daf30a35-d9ee-5419-b5a4-21a568d7bfc6
ArtificerArtillerstDetonationSpellPrepared	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	d847d40b-d55c-5841-95ff-b09e1f5b1975
ArtificerBattleSmithAutoPrepSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	90e5c394-59bb-5cbe-9120-9fa626c2c7b4
ArtificerInfusionArmorMagicalStrength	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	402dc3fd-b077-5b36-9ab4-75bce2f185f8
ArtificerInfusionBagOfHolding	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	269fb5c5-2ce1-5847-976d-52a98d54f459
ArtificerInfusionBlindingWeapon	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	b966dade-2f9b-5fa2-9c69-62f907b594d5
ArtificerInfusionEnhancedArmor	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	982235c8-0db8-5434-9e98-735e9270f271
ArtificerInfusionEnhancedFocus	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	47b9e913-683a-5a89-86d5-4d5ab3c4be2f
ArtificerInfusionEnhancedWeapon	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	2e54572b-87bb-5aca-8e97-085229100b71
ArtificerInfusionImprovedEnhancedArmor	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	a572c49b-5320-5e14-aa14-e41dd1920db7
ArtificerInfusionImprovedEnhancedFocus	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	31408daa-2f50-5837-a7bd-10ae0afd6c14
ArtificerInfusionImprovedEnhancedWeapon	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	2b5570f7-b87d-5b7b-95bc-79c824870232
ArtificerInfusionMindSharpener	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	9235b3d1-9d88-5252-a64b-cf177e136e37
ArtificerInfusionResistantArmor	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	f1cf1453-6880-5d61-afca-ba3e8e04a50f
ArtificerInfusionSpellRefuelingRing	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerSharedPool	FeatureDefinition	11db5224-48f2-58ad-bc8f-028b6ad08cd3
ArtilleristFlame15CannonAttack	FeatureDefinitionPower	FeatureDefinition	96a6df9b-2ebd-52a7-a685-cb63294fca7e
ArtilleristFlame9CannonAttack	FeatureDefinitionPower	FeatureDefinition	01c33572-9681-574a-9bd8-94da782de0fe
ArtilleristFlameCannonAttack	FeatureDefinitionPower	FeatureDefinition	f8538646-4a47-520f-82c3-2ec74cc0828a
ArtilleristForceCannon15Attack	FeatureDefinitionPower	FeatureDefinition	42662248-79d7-582f-841c-b31724c99886
ArtilleristForceCannon9Attack	FeatureDefinitionPower	FeatureDefinition	ffd29ca9-2aac-511e-888f-0473402c0d9b
ArtilleristForceCannonAttack	FeatureDefinitionPower	FeatureDefinition	41bbf940-c125-5b7f-a831-4962329ed2a6
ArtilleristProtector15CannonAttack	FeatureDefinitionPower	FeatureDefinition	55c5ede6-b20a-5053-ae1b-c5e3e07c0d95
ArtilleristProtectorCannonAttack	FeatureDefinitionPower	FeatureDefinition	f46fe280-635e-5798-aa2a-25e293743aad
ArtilleryConstructLevel03AutopreparedSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	5557726c-5245-55ba-916e-d2dcb1464d12
ArtilleryConstructlevel03FeatureSet	FeatureDefinitionFeatureSet	FeatureDefinition	59f857e6-7b06-4c2b-a241-b73c42d64c23
ArtilleryConstructLevel09AutopreparedSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	ecbbbfe6-4ff6-5c55-b9da-919b09896938
ArtilleryConstructlevel09FeatureSet	FeatureDefinitionFeatureSet	FeatureDefinition	a1e9557c-c1a9-4912-9fea-1a16c4124331
ArtilleryConstructLevel15AutopreparedSpells	FeatureDefinitionAutoPreparedSpells	FeatureDefinition	841d72b7-2570-56d1-acfd-77fa34d2e4db
ArtilleryConstructlevel15FeatureSet	FeatureDefinitionFeatureSet	FeatureDefinition	50c91d16-1a84-494a-ba72-dd4879955f2f
ArtilleryModePool	FeatureDefinitionPower	FeatureDefinition	89d9c1f5-75e9-4b25-b7e8-a24f30d1befb
AttackModifierArtificerBattleSmithJolt	FeatureDefinitionAttackModifier	FeatureDefinition	12babdac-a241-5072-ba6e-5f683d1e51f9
AttackModifierArtificerBattleSmithJolt2	FeatureDefinitionAttackModifier	FeatureDefinition	3a017fa3-7e9a-5a6f-b134-15d75b4dec90
AttackModifierArtificerBattleSmithWeapon	FeatureDefinitionAttackModifier	FeatureDefinition	66649c77-c22e-5fa2-9566-e3f9408f3690
AttackModifierMeleeWizard	FeatureDefinitionAttackModifier	FeatureDefinition	d48630de-f568-5b70-aad7-58bf675602ba
AttributeModiferArtificerBattleSmithInfusionHealingPool	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	97e8a72f-7e4e-592b-abd0-8bb58456de9c
AttributeModiferArtificerInfusionHealingPool	FeatureDefinitionPower	FeatureDefinition	69809fd6-6c09-5938-875b-12ec82ebeae5
AttributeModiferArtificerInfusionIncreaseHealingPool	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	3119dbc4-7c4e-5442-a814-335fd690d943
AttributeModiferArtificerInfusionIncreaseHealingPool10	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	5a6c5673-7d9d-52b7-9b7a-0c0795c22b3d
AttributeModiferArtificerInfusionIncreaseHealingPool14	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	0f0819d4-a539-51cd-9559-5b9b77eb8389
AttributeModiferArtificerInfusionIncreaseHealingPool18	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	61c86ab7-3d10-5866-8fc5-583cc2a1b9bb
AttributeModiferArtilleryPoolIncrease	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	e8c74332-f157-5c73-acad-aea3a0d8e88a
AttributeModiferTransmuterHealingPool	FeatureDefinitionPower	FeatureDefinition	05db2be3-bf2e-5443-92f7-a15b4241dc02
AttributeModiferTransmuterHealingPoolBonus	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	36d3a2e4-b630-5d7d-b23d-eb2013b57c09
AttributeModiferTransmuterHealingPoolExtra	SolastaCommunityExpansion.CustomFeatureDefinitions.FeatureDefinitionPowerPoolModifier	FeatureDefinition	47a2abe8-0d72-5137-a59d-170ecb638f39
AttributeModifierArmorInfusion	FeatureDefinitionAttributeModifier	FeatureDefinition	e19c224b-dcb8-525f-b0f4-c38580d7bbdd
AttributeModifierBattleSmithExtraAttack	FeatureDefinitionAttributeModifier	FeatureDefinition	0bc6f9a4-2220-50e1-a7b0-47bebf91d7be
AttributeModifierDruidForestGuardianExtraAttack	FeatureDefinitionAttributeModifier	FeatureDefinition	ee4d920b-23c1-54e4-b968-1370a6da457c
