BlueprintCategory/&FlatRoomsTitle	Apartamentos
Feature/&EmptyString	VAZIO
Feature/&FiendishVigorTitle	Vigor Diabólico
Feature/&IndomitableResistanceAddDescription	+1 uso de resistência indomável entre descansos.
Feature/&IndomitableResistanceAddTitle	Resistência Indomável (aumentada)
Feature/&IndomitableResistanceTitle	Resistência Indomável
Feature/&MiretheMindTitle	Mire a mente
Feature/&PowerAttackDescription	Receba uma penalidade de -3 para acertar seu ataque para causar 3 + Bônus de Proficiência de dano extra ao acertar seus ataques com armas brancas.
Feature/&PowerAttackTitle	Ataque de poder
Feature/&PowerPaladinAuraOfCourage18Description	Concede um bônus de teste de resistência para aliados dentro de 9 metros.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de Coragem Aprimorada
Feature/&PowerPaladinAuraOfProtection18Description	Você e seus aliados dentro de 9 metros não podem ser amedrontados.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de Proteção Aprimorada
Feature/&PowerTorchbearerDescription	Tente incendiar um alvo corpo a corpo!
Feature/&PowerTorchbearerTitle	Portador da tocha
Feature/&PrimalChampionDescription	No 20º nível, você incorpora o poder da selva. Seus valores de Força e Constituição aumentam em 4.
Feature/&PrimalChampionTitle	Campeão Primal
Feature/&ProficiencyRogueBlindSenseDescription	A partir do 14º nível, se você for capaz de ouvir, estará ciente da localização de qualquer criatura oculta ou invisível a até 3 metros de você.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	No 15º nível, você adquiriu maior força mental. Você ganha proficiência em testes de resistência de Sabedoria.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente Escorregadia
Feature/&RageDamageBonusAttackModifierDescription	Adicione +2 de dano aos seus ataques enquanto estiver em fúria.
Feature/&RageDamageBonusAttackModifierTitle	Dano de raiva
Feature/&RageFeatConditionDescription	Enquanto estiver em fúria, você ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante.
Feature/&RageFeatConditionTitle	Furioso
Feature/&RagePowerDescription	Como uma ação bônus, você entra em fúria por um minuto e ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante.
Feature/&RagePowerTitle	Fúria
Feature/&RageStrengthSavingThrowAffinityDescription	Você obtém vantagem em salvamentos de Força enquanto estiver em fúria.
Feature/&RageStrengthSavingThrowAffinityTitle	Vantagem de salvamento de Força de Fúria
Feature/&RangerFeralSensesDescription	Você ganha sentidos sobrenaturais que o ajudam a lutar contra criaturas que você não pode ver. Quando você ataca uma criatura que não pode ver, sua incapacidade de vê-la não impõe desvantagem em suas jogadas de ataque contra ela.
Feature/&RangerFeralSensesTitle	Sentidos Ferais
Feature/&RangerVanishActionDescription	A partir do 14º nível, você pode usar a ação Esconder-se como uma ação bônus no seu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&SignofIllOmenTitle	Sinal de mau presságio
Feature/&TrickstersEscapeTitle	Fuga do Malandro
Feature/&ZSPowerPaladinCleansingTouchDescription	Remova os efeitos da magia tocando em um aliado. Você pode fazer isso um número de vezes por dia igual ao seu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque de limpeza
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma de Cegueira
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dano adicional e tentativa de aplicar Cegueira da Arma Cegante
Feedback/&AdditionalDamageElementalDamageFormat	Dano Elementar
Feedback/&AdditionalDamageElementalDamageLine	A forma elemental concede dano adicional
Feedback/&AdditionalDamageResonatingStrikeFormat	Golpe Ressonante!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} ressoa {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Alma empoderada!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered causa dano adicional!
Feedback/&AdditionalDamageSunlightBladeFormat	Lâmina iluminada pelo sol!
Feedback/&AdditionalDamageSunlightBladeLine	{0} queima {1} com Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Dano atualizado
Feedback/&AdditionalDamageUpgradedConstructLine	O constructo atualizado causa 1d8 a mais de dano por acerto.
Feedback/&ExtraDamageDescription	Dano extra de Lighting Spear.
Feedback/&ExtraDamageTitle	Dano extra da Lança Relâmpago
Feedback/&NotifyEffectResonatingStrikeLine	{0} ressoa {1}!
Format/&LevelAndExperienceFormat	Nível: {0}\nExperiência: {1}\n{2} pontos necessários para atingir o nível {3}
Format/&LevelAndExperienceMaxedFormat	Nível: {0}\nExperiência: {1}\nnível máximo atingido
MainMenu/&ExportPdfDescription	Desça o nível deste Herói.
MainMenu/&ExportPdfTitle	Nível baixo
Message/&CharacterExportDuplicateNameErrorDescription	Exportação cancelada:\n\nUm herói com esse nome já existe no pool.\nPor favor, tente um nome diferente.
Message/&CharacterExportEmptyNameErrorDescription	Exportação cancelada:\n\nTente um nome não vazio.
Message/&CharacterExportModalContentDescription	Digite o nome do herói para exportar:
Message/&CharacterExportModalTitleDescription	Exportação de caracteres.
Message/&LevelDownConfirmationDescription	Reduzir o nível deste Herói?
Message/&LevelDownMultiplayerAbortDescription	Não é possível descer de nível durante uma sessão multijogador.
Message/&MessageModWelcomeDescription	O Community Expansion Mod está repleto de recursos interessantes, mas, por padrão, nenhum está ativado. Pressione <color=yellow>Ctrl-F10</color> para abrir a interface do usuário do Unity Mod Manager [UMM] e clique no ícone de configurações ao lado de 'Expansão da comunidade' para abrir as páginas de configurações.\n\n Explore as opções e selecione as que você gosta. A interface do usuário do UMM será aberta agora.
Message/&MessageModWelcomeTitle	Módulo de expansão da comunidade
Message/&RespecMultiplayerAbortDescription	Não é possível Respec durante uma sessão multiplayer ou no mapa de exploração.
Message/&SpawnCustomEncounterDescription	Gerar encontro nas coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Não é possível gerar encontros em um jogo multiplayer. Ainda...
Message/&SpawnCustomEncounterTitle	Encontro
Message/&TeleportPartyDescription	Teletransportar o grupo para as coordenadas ({0}, {1})?\nVocê pode quebrar missões ou mapas se se teletransportar para um lugar desconhecido.
Message/&TeleportPartyTitle	teleporte
Monster/&DHCustomCouatlDescription	Couatls são seres serpentinos benevolentes de grande intelecto e discernimento. Suas asas brilhantemente coloridas e maneiras gentis falam de suas origens celestiais.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Coruja Familiar.
Monster/&OwlFamiliarTitle	Coruja
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Dano perfurante e o alvo deve ser bem sucedido em um teste de resistência de Constituição CD 13 ou ficará envenenado por 24 horas. Até que este veneno termine, o alvo está inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morder
Power/&FindFamiliarBundlePowerDescription	Invoque um familiar na forma de Pseudorgagon, Sprite, Imp ou Quasit.
Power/&FindFamiliarBundlePowerTitle	Encontrar familiar
Power/&HelpActionDescription	Você pode ajudar uma criatura amiga a atacar uma criatura a até 1,5 metro de você. Você finta, distrai o alvo ou de alguma outra forma se une para tornar o ataque do seu aliado mais eficaz. Se seu aliado atacar o alvo antes do seu próximo turno, a primeira jogada de ataque é feita com vantagem.
Power/&HelpActionTitle	Ajuda
Power/&PowerFunctionHandwrapsOfPullingDescription	Como uma ação bônus, você pode puxar uma criatura a até 4,5 metros para mais perto de você.
Power/&PowerFunctionHandwrapsOfPullingTitle	Enrolar
Reaction/&CoordinatedAttackDescription	{0} foi atacado por um ataque coordenado, alguns personagens podem usar sua reação para participar deste ataque.
Reaction/&CoordinatedAttackReactDescription	Use a reação para atacar o alvo.
Reaction/&CoordinatedAttackReactTitle	Ataque
Reaction/&CoordinatedAttackTitle	Ataque coordenado
Reaction/&ReadiedAction{0}Description	Pronto {0}
Reaction/&ReadiedAction{0}Title	Pronto {0}
Reaction/&SpendPower{0}Description	Gaste {0}
Reaction/&SpendPower{0}Title	Gaste {0}
Reaction/&SpendPowerBundleDescription	Gastar Poder.
Reaction/&SpendPowerBundleTitle	Gastar energia
Reaction/&SubitemSelectCoordinatedAttackTitle	Selecionar ação
Reaction/&SubitemSelectPowerBundleTitle	Opções
Reaction/&SubitemSelectSlotLevelTitle	Nível do slot
Reaction/&SubitemSelectWarcasterReactionTitle	Selecionar ação
Reaction/&Use{0}Description	Usar {0}
Reaction/&Use{0}Title	Usar {0}
Reaction/&WarcasterAttackDescription	Alvo de ataque.
Reaction/&WarcasterAttackTitle	Ataque
Reaction/&WarcasterReactionDescription	{0} está saindo de uma área ameaçada por um ou mais personagens.
Reaction/&WarcasterReactionReactDescription	Use a reação para atacar o alvo.
Reaction/&WarcasterReactionReactTitle	Ataque
Reaction/&WarcasterReactionTitle	Ataque de oportunidade
Requirement/&FeatureSelectionRequireCharacterLevel	Nível {0}
Requirement/&FeatureSelectionRequireClassLevel	Nível {0} de {1}
RestActivity/&ZSRespecDescription	Respeite este Herói.
RestActivity/&ZSRespecTitle	Respeito
RestActivity/&ZSSorcerousRestorationDescription	Recupere 4 pontos de feitiçaria durante um descanso curto.
RestActivity/&ZSSorcerousRestorationTitle	Restauração Feiticeira
Rules/&AdvantageAttackOnEnemyDescription	Vantagem para atacar o inimigo.
Rules/&AdvantageAttackOnEnemyTitle	Iluminou
Rules/&CounterFormDismissCreatureFormat	Dispensar construção Tinkerer
Rules/&DisadvantageOnAttackByEnemyDescription	Distraído por um relâmpago.
Rules/&DisadvantageOnAttackByEnemyTitle	Sacudido
Rules/&ExtraDamageOnAttackConditionDescription	Dano extra de Lighting Spear.
Rules/&ExtraDamageOnAttackConditionTitle	Chocado estático
Screen/&EditorLocationSize3Title	Enorme [MODED]
Screen/&EditorLocationSize4Title	Imenso [MODED]
Sorceror/&ZSSorcerousRestorationDescription	Recupere 4 pontos de feitiçaria durante um descanso curto.
Sorceror/&ZSSorcerousRestorationTitle	Restauração Feiticeira
Stage/&IdentityMorphotypeEyeHeader	Estilo dos olhos
Stage/&SubclassSelectionStageSpecialistDescription	Descrição Há uma grande variedade de especialidades em Tinkerers, incluindo fazer elixires como um Potion Maker, fazer explosões como um Blaster e empunhar armas mágicas como um Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Recursos especializados
Stage/&SubclassSelectionStageSpecialistHeader	Especializações
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Nenhum Descrição.
Stage/&SubclassSelectionStageSpecialistTitle	Selecionar especialização
Subclass/&ConditionResistnatArmorDescription	Sua armadura é resistente a dano de ácido, frio, fogo, força, raio, necrótico, veneno, psíquico, radiante e trovejante.
ToolTip/&CheckBoxDefaultPartyTitle	Marque esta caixa para definir sua parte padrão ao iniciar novas aventuras ou testar locais personalizados. Você pode selecionar até {0} heróis por ordem de chegada
Tooltip/&DeadeyeConcentration	Desabilitar Olho Morto.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	Não sabe {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	Tem ataque furtivo
Tooltip/&FeatPrerequisiteIsNotBarbarian	Não é um bárbaro
Tooltip/&FeatPrerequisiteIsNotFighter	Não é um lutador
Tooltip/&FeatPrerequisiteIsNotRogue	Não é um vagabundo
Tooltip/&FeatPrerequisiteLevelFormat	Nível mínimo de caractere {0}
Tooltip/&PowerAttackConcentration	Desative o Ataque Poderoso.
Tooltip/&Tag9000Title	Efeito personalizado
Tooltip/&TagCommunityExpansionTitle	Expansão da comunidade
Tooltip/&TagMaledictionTitle	Caramba
Tooltip/&TagOtherModContentTitle	Do modo
Tooltip/&TagPolearmWeaponTitle	Pistola
UI/&CustomFeatureSelectionStageDescription	Selecione recursos extras de sua classe/subclasse.
UI/&CustomFeatureSelectionStageFeatures	Características
UI/&CustomFeatureSelectionStageNotDone	Você deve selecionar todos os recursos disponíveis antes de continuar
UI/&CustomFeatureSelectionStageTitle	Seleção de recursos
UI/&CustomFeatureSelectionTooltipTypeCantrip	Truque
UI/&CustomFeatureSelectionTooltipTypeFeature	Característica
UI/&CustomFeatureSelectionTooltipTypePower	Poder
UI/&CustomFeatureSelectionTooltipTypeProficiency	Competência
UI/&ForcePreferredCantripDescription	Se estiver ativado, apenas o truque preferido pode ser acionado. Se o truque preferido não for selecionado, o primeiro truque válido será acionado, independentemente dessa alternância.
UI/&ForcePreferredCantripTitle	Forçar Truque Preferido
