Condition/&ConditionDualFlurryApplyDescription	Você está ganhando impulso...
Feat/&FeatChefConIncrementDescription	Aumente sua Constituição em 1, até um máximo de 20.
Feat/&FeatChefConIncrementTitle	Aumento de atributo
Feat/&FeatChefWisIncrementDescription	Aumente sua Sabedoria em 1, até um máximo de 20.
Feat/&FeatChefWisIncrementTitle	Aumento de atributo
Feat/&FeatCripplingDescription	Quando você acerta com um ataque corpo a corpo, você pode reduzir a velocidade do seu oponente em 3 metros até o início do seu próximo turno.
Feat/&FeatCripplingTitle	Estilo de luta: Aleijado
Feat/&FeatDexIncrementDescription	Aumente sua Destreza em 1, até um máximo de 20.
Feat/&FeatDexIncrementTitle	Aumento de atributo
Feat/&FeatDualWeaponDefenseDescription	Você ganha um bônus de +1 na CA enquanto estiver empunhando uma arma corpo a corpo separada em cada mão.
Feat/&FeatDualWeaponDefenseTitle	Defesa de arma dupla
Feat/&FeatFastHandsDescription	Você ganha Ação Astuta. Você pode usar as ações Esconder ou Desengajar como uma ação bônus.\nVocê pode usar sua Ação Astuta para fazer um teste de Destreza (Prestidigitação), usar suas ferramentas de ladrão para desarmar uma armadilha ou abrir uma fechadura, ou usar a ação Usar um Objeto.
Feat/&FeatFastHandsTitle	Mãos rapidas
Feat/&FeatFeyTeleportationChaDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar esta magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransporte Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar essa magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransporte Fey (Inteligência)
Feat/&FeatFeyTeleportationWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar esta magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Teletransporte Fey (Sabedoria)
Feat/&FeatFightingSurgeDexterityDescription	Aumente sua Destreza em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeDexterityTitle	Surto de Combate (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeStrengthTitle	Surto de Combate (Força)
Feat/&FeatHeavyArmorMasterClassDescription	Você ganha resistência a dano de concussão, cortante e perfurante.
Feat/&FeatHeavyArmorMasterClassTitle	Maestria em Defesa Pesada
Feat/&FeatImprovedCriticalDescription	Seus ataques são acertos críticos em uma rolagem de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Crítico aprimorado
Feat/&FeatIntIncrementDescription	Aumente sua Inteligência em 1, até um máximo de 20.
Feat/&FeatIntIncrementTitle	Aumento do atributo de inteligência
Feat/&FeatLightArmorDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê ganha proficiência com armadura leve.
Feat/&FeatLightArmorProficiencyDescription	Ganhe proficiência com armadura leve.
Feat/&FeatLightArmorProficiencyTitle	Armadura leve
Feat/&FeatLightArmorTitle	Armadura leve
Feat/&FeatMarksmanDescription	Quando um oponente que você pode ver ataca você com uma arma de longo alcance ou um feitiço e está a pelo menos 3 metros de distância de você, você pode usar sua reação para fazer um ataque de arma de longo alcance após o término do ataque desencadeante.
Feat/&FeatMarksmanTitle	Atirador
Feat/&FeatMediumArmorDexDescription	Aumente sua Destreza em 1, até um máximo de 20.\nVocê ganha proficiência com armadura média e escudos.
Feat/&FeatMediumArmorDexTitle	Armadura Média (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Você ganha proficiência com armaduras e escudos médios.
Feat/&FeatMediumArmorProficiencyTitle	Armadura Média
Feat/&FeatMediumArmorStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê ganha proficiência com armaduras e escudos médios.
Feat/&FeatMediumArmorStrengthTitle	Armadura Média (Força)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Cuidadosa e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamágica: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Distante e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamágica: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Potencializada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamágica: Empoderada
Feat/&FeatMetamagicAdeptExtendedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamagia Estendida e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamágica: Estendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Você aprende a metamágica Aprimorada e ganha 4 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamágica: Aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Acelerada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamágica: Acelerada
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Geminada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamágica: Geminada
Feat/&FeatPrimalConstitutionDescription	Aumente sua Constituição em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Depois de entrar em fúria dessa forma, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Constituição.
Feat/&FeatPrimalConstitutionTitle	Fúria Primal (Constituição)
Feat/&FeatPrimalStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Depois de entrar em fúria dessa forma, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Constituição.
Feat/&FeatPrimalStrengthTitle	Fúria Primal (Força)
Feat/&FeatPugilistFightingStlyeDescription	Seus ataques desarmados causam 1d4 de dano de concussão adicional e você pode socar com sua mão secundária como uma ação bônus.\nSe você tiver uma mão livre, você pode empurrar como uma ação bônus.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de luta: Pugilista
Feat/&FeatRangedExpertDescription	Seu treinamento especializado com armas de longo alcance garante esses benefícios:\n• Você não tem mais desvantagem em ataques à distância quando há um inimigo a até 1,5 metro de você.\n• Se você realizar a ação Atacar no seu turno, você pode usar uma ação bônus para fazer um ataque com uma arma de ataque à distância ou de arremesso de uma mão.
Feat/&FeatRangedExpertTitle	Especialista à distância
Feat/&FeatSavageAttackerDescription	Rerrole os dados de dano de arma e feitiço quando você rola um 1 (Isso não rerrola dados de todas as fontes de dano. Por exemplo, ataque furtivo e dano de destruição não são rerrolados).
Feat/&FeatSavageAttackerReroll	Por ser um Atacante Selvagem, {0} rola novamente o dado {1} de um {2} para um {3}
Feat/&FeatSavageAttackerTitle	Atacante Selvagem
Feat/&FeatShadowTouchedChaDescription	Aumente seu atributo Carisma em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedChaTitle	Tocado pela Sombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumente seu atributo Inteligência em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedIntTitle	Sombra Tocada (Inteligência)
Feat/&FeatShadowTouchedWisDescription	Aumente seu atributo Sabedoria em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedWisTitle	Sombra Tocada (Sabedoria)
Feat/&FeatShadyDescription	Aumente sua Destreza em 1, até um máximo de 20.\nUma vez por turno, você pode causar 1d6 de dano extra a uma criatura que você acertar com um ataque que atenda aos requisitos do Ataque Furtivo do Ladino. No 12º nível, esse dano aumenta para 2d6 e no 20º nível, para 4d6.
Feat/&FeatShadyTitle	Sombrio
Feat/&FeatShieldExpertDescription	Você treinou no uso de um escudo como arma. Para você, torna-se uma arma corpo a corpo que você é proficiente que causa 1d4 de dano de concussão.\nVocê ganha vantagem em tentativas de empurrão enquanto empunha um escudo.
Feat/&FeatShieldExpertTitle	Especialista em escudos
Feat/&FeatStrengthIncrementDescription	Aumente sua Força em 1, até um máximo de 20.
Feat/&FeatStrengthIncrementTitle	Aumento de atributo
Feat/&FeatTelekineticChaDescription	Aumente seu Carisma em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Carisma) ou será movido 1,5 metro.
Feat/&FeatTelekineticChaPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticChaPullTitle	Puxada Telecinética
Feat/&FeatTelekineticChaPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticChaPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticChaTitle	Telecinética (Carisma)
Feat/&FeatTelekineticIntDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Inteligência) ou será movido 1,5 metro.
Feat/&FeatTelekineticIntPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticIntPullTitle	Puxada Telecinética
Feat/&FeatTelekineticIntPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticIntPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticIntTitle	Telecinética (Inteligência)
Feat/&FeatTelekineticWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Sabedoria) ou será movido 1,5 metros.
Feat/&FeatTelekineticWisPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticWisPullTitle	Puxada Telecinética
Feat/&FeatTelekineticWisPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticWisPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticWisTitle	Telecinética (Sabedoria)
Feat/&FeatTitanFightingDescription	Você ganha +2 para acertar contra criaturas de tamanho Grande ou maior.
Feat/&FeatTitanFightingTitle	Estilo de luta: Titan Fighting
Feat/&FeatToughDescription	Seu máximo de pontos de vida aumenta em uma quantidade igual ao dobro do seu nível quando você ganha este talento. Sempre que você ganha um nível depois disso, seu máximo de pontos de vida aumenta em 2 pontos de vida adicionais.
Feat/&FeatToughTitle	Difícil
Feat/&FeatWarCasterDescription	Você ganha vantagem em testes para manter a concentração.\nVocê ganha a habilidade de realizar o componente somático de feitiços mesmo com as duas mãos ocupadas.\nQuando o movimento de uma criatura hostil provoca um ataque de oportunidade de você, você pode usar sua reação para lançar um truque na criatura, em vez de fazer um ataque de oportunidade. O truque deve ter um tempo de lançamento de 1 ação ou ação bônus e deve ter como alvo apenas aquela criatura.
Feat/&FeatWarCasterTitle	Conjurador de Guerra
Feat/&FeatWiseDefenseDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Sabedoria.
Feat/&FeatWiseDefenseTitle	Defesa Sábia
Feat/&FeatWisePrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa sua Sabedoria para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatWisePrecisionTitle	Sábia Precisão
Feat/&FeatWisIncrementDescription	Aumente sua Sabedoria em 1, até um máximo de 20.
Feat/&FeatWisIncrementTitle	Aumento de Atributo de Sabedoria
Feat/&FeyTeleportationLanguageTirmarianDescription	Você ganha proficiência em Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Timariano
Feat/&FightingStyleArcheryDescription	Você ganha um bônus de +2 nas jogadas de ataque com armas de longo alcance.
Feat/&FightingStyleArcheryTitle	Estilo de luta: Tiro com arco
Feat/&FightingStyleDefenseDescription	Enquanto estiver usando armadura, você ganha um bônus de +1 na CA.
Feat/&FightingStyleDefenseTitle	Estilo de luta: Defesa
Feat/&FightingStyleDuelingDescription	Quando você está empunhando uma arma corpo a corpo em uma mão e nenhuma outra arma, você ganha um bônus de +2 nas jogadas de dano com aquela arma.
Feat/&FightingStyleDuelingTitle	Estilo de luta: Duelo
Feat/&FightingStyleGeneralFeatDescription	Você pode selecionar um estilo de luta.
Feat/&FightingStyleGeneralFeatitle	Estilo de luta
Feat/&FightingStyleGreatWeaponDescription	Quando você rola 1 ou 2 em um dado de dano para um ataque que você faz com uma arma corpo a corpo que você está empunhando com as duas mãos, você pode rolar o dado novamente. Você deve usar a nova rolagem, mesmo que seja 1 ou 2. A arma deve ter a propriedade de duas mãos ou versátil para que você ganhe esse benefício.
Feat/&FightingStyleGreatWeaponTitle	Estilo de luta: Grande arma
Feat/&FightingStyleProtectionDescription	Quando uma criatura que você pode ver ataca um alvo diferente de você que está a até 1,5 metro de você, você pode usar sua reação para impor desvantagem na jogada de ataque. Você deve estar empunhando um escudo.
Feat/&FightingStyleProtectionTitle	Estilo de luta: Proteção
Feat/&FightingStyleTwoWeaponDescription	Quando você luta com duas armas, você pode adicionar seu modificador de habilidade ao dano do segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de luta: Duas armas
Feat/&ForceStrikePowerDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante.
Feat/&ForceStrikePowerTitle	Force Sling (Servo Artificial)
Feat/&GauntletsGrappleDescription	Agora pode puxar inimigos para o alcance corpo a corpo com uma ação bônus e causar 1d8 de dano trovejante.
Feat/&GauntletsGrappleTitle	Garra de manopla
Feat/&HealerDescription	Você ganha proficiência ou perícia em testes de Medicina. Você ganha a habilidade de estabilizar uma criatura moribunda, bem como reviver uma criatura que morreu nos últimos 12 segundos uma vez por descanso longo. Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerResuscitateDescription	Use uma ação para reviver uma criatura que morreu nos últimos 15 segundos.
Feat/&HealerResuscitateTitle	Ressuscitar
Feat/&HealerStabilizeDescription	Use uma ação para estabilizar uma criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curador
Feat/&HealerUseMedicineDescription	Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerUseMedicineTitle	Usar Medicina
Feat/&IncreaseConstructSelectingDescription	Agora você pode convocar dois Constructos de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes.
Feat/&IncreaseConstructSelectingTitle	Reforços
Feat/&InspiringLeaderDescription	Uma vez por descanso curto, você pode gastar 10 minutos para inspirar até 6 criaturas amigas (que podem incluir você mesmo) a até 9 metros de você. Cada criatura ganha pontos de vida temporários iguais ao seu nível + seu modificador de Carisma.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Você pode usar seu modificador de Inteligência, em vez do modificador de Força ou Destreza, para suas jogadas de ataque e dano com Armas de Armadura.
Feat/&IntToAttackAndDamageTitle	Arma de Armadura
Feat/&MendingConstructDescription	Conserte sua construção em 2d6 HP ao longo de 1 minuto.
Feat/&MendingConstructTitle	Consertando Construto
Feat/&ModeSwitchingPoolDescription	Você pode alternar entre os modos uma vez por descanso curto criando e usando armas temporárias.
Feat/&ModeSwitchingPoolTitle	Modo de armadura
Feat/&PickPocketFeatDescription	Você ganha proficiência com Prestidigitação, ou perícia se já for proficiente. Você também tem vantagem em testes de Prestidigitação.
Feat/&PickPocketFeatTitle	Batedor de carteiras
Feat/&PowerAlchemistEmboldeningShotsDescription	Você ganha a habilidade de administrar um elixir que encoraja seus aliados, fornecendo a eles 4d6 + modificador de Inteligência pontos de vida temporários.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros encorajadores
Feat/&PowerAttackFeatDescription	Você aprendeu a trocar precisão para acertar golpes mais mortais. Ao atacar com armas corpo a corpo, você pode escolher receber uma penalidade de -3 no seu ataque para causar dano adicional igual a 3 + seu bônus de proficiência.
Feat/&PowerAttackFeatTitle	Ataque Poderoso
Feat/&PowerFalseLifeFromFeatDescription	Reforçando-se com um fac-símile necromântico da vida, você ganha 1d4 + 4 Pontos de Vida Temporários pela duração.
Feat/&PowerFalseLifeFromFeatTitle	Vida Falsa
Feat/&PowerInflictWoundsFromFeatDescription	Faça um ataque corpo a corpo mágico contra uma criatura ao seu alcance. Em um acerto, o alvo sofre 3d10 de dano necrótico.
Feat/&PowerInflictWoundsFromFeatTitle	Infligir Ferimentos
Feat/&PowerInvisibilityFromFeatDescription	Uma criatura que você toca torna-se invisível até que a magia termine. Qualquer coisa que o alvo esteja vestindo ou carregando é invisível enquanto estiver na pessoa do alvo. A magia termina para um alvo que ataque ou conjure uma magia.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidade
Feat/&PowerMistyStepFromFeatDescription	Brevemente cercado por névoa prateada, você se teletransporta até 9 metros para um espaço desocupado que você pode ver.
Feat/&PowerMistyStepFromFeatTitle	Passo Nebuloso
Feat/&PowerShadowTouchedFromFeatDescription	Aprenda a lançar os feitiços invisibilidade, vida falsa e infligir feridas.
Feat/&PowerShadowTouchedFromFeatTitle	Sombra Tocada
Feat/&ProfChefTreatActionDescription	Coma uma guloseima como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatActionTitle	Coma o deleite do chef
Feat/&ProfChefTreatCookDescription	Gaste uma hora para cozinhar guloseimas que, quando comidas, fornecem 5 pontos de vida temporários.
Feat/&ProfChefTreatCookTitle	Cozinhe o deleite do chef
Feat/&ProfChefTreatDescription	Coma como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatTitle	Delícia do Chef
Feat/&ProfHealerMedicineDescription	Você ganha proficiência em Medicina, ou perícia se já for proficiente.
Feat/&ProfHealerMedicineTitle	Conhecimento em Medicina
Feat/&ProtectorConstructAttackDescription	O constructo protetor realiza um ataque que causa 1d10 de dano de força.
Feat/&ProtectorConstructAttackTitle	Forçar rasgo
Feat/&ProtectorConstructDescription	É amigável com você e seus companheiros e obedece aos seus comandos.
Feat/&ProtectorConstructDescription_5	Atualização de construção protetora.
Feat/&ProtectorConstructTitle	Construto Protetor
Feat/&ProtectorConstructTitle_5	Atualização de construção protetora
Feat/&RecklessFuryFeatDescription	Você ganha a habilidade de entrar em fúria por um minuto uma vez por dia sem nenhuma restrição de armadura.\nVocê pode atacar de forma imprudente, ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem aos seus atacantes até o início do seu próximo turno.
Feat/&RecklessFuryFeatTitle	Fúria Imprudente
