ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	O movimento é definido como 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Fixado
Condition/&ConditionBarkWardDescription	Protegido pelos espíritos da floresta. Ganhe 4 HP temporários para cada nível de Druida, com duração de 10 minutos.
Condition/&ConditionBarkWardTitle	Ala de Latidos
Condition/&ConditionDualFlurryApplyDescription	Você está ganhando impulso...
Condition/&ConditionDualFlurryApplyTitle	Turbilhão duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Turbilhão duplo!
Condition/&ConditionImprovedBarkWardDescription	Os espíritos da floresta causam 2d8 de dano perfurante às criaturas que atingirem com um ataque corpo a corpo.
Condition/&ConditionImprovedBarkWardTitle	Sentido de Latido Aprimorado
Condition/&ConditionMarkedByArcanistDescription	Afligido pela Marca do Arcanista. Quando atingido pelo lançador com um ataque de arma, a marca detona, causando 1d6 de dano de força ao afligido e destruindo a marca.
Condition/&ConditionMarkedByArcanistTitle	Marca do Arcanista
Condition/&ConditionMuleDescription	Sua velocidade não é reduzida por sobrecarga ou armadura pesada. Você pode carregar 20 quilos adicionais.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Os espíritos da floresta concedem imunidade a venenos e causam 3d8 de dano perfurante às criaturas que atingirem com um ataque corpo a corpo.
Condition/&ConditionSuperiorBarkWardTitle	Ala do Latido Superior
Condition/&DebilitatedConditionDescription	Sofre de uma das seguintes condições: cego, ruína, sangrando ou atordoado.
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DHFeeblemindSpellDescription	Os valores de Inteligência e Carisma da criatura se tornam 1. A criatura não pode lançar feitiços, ativar itens mágicos, entender linguagem ou se comunicar de qualquer maneira inteligível.
Condition/&DHFeeblemindSpellTitle	Mente fraca
Condition/&DHForesightSpellDescription	Vantagem em todas as jogadas de ataque, testes de habilidade e testes de resistência. Outras criaturas têm desvantagem nas jogadas de ataque.
Condition/&DHForesightSpellTitle	Previsão
Condition/&DHHolyAuraSpellDescription	Vantagem em todos os testes de resistência. Outras criaturas têm desvantagem nas jogadas de ataque. Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo a corpo, o atacante deve ser bem sucedido em um teste de resistência de Constituição ou ficará cego até que a magia termine.
Condition/&DHHolyAuraSpellTitle	Protegido pela Aura Sagrada
Condition/&DHMindBlankSpellDescription	Imune a dano psíquico e à condição encantada.
Condition/&DHMindBlankSpellTitle	Mente em branco
Condition/&DHReverseGravitySpellDescription	Não pode se mover.
Condition/&DHReverseGravitySpellTitle	Apanhado pela gravidade reversa
Condition/&DHTimeStopSpellDescription	O tempo está congelado para a criatura afetada.
Condition/&DHTimeStopSpellTitle	Tempo parado
Condition/&DHWeirdSpellDescription	Assustado. No final de cada turno, faça um teste de resistência de Sabedoria. Em uma falha, recebe 4d10 de dano psíquico. Em um sucesso, esta condição termina.
Condition/&DHWeirdSpellTitle	Estranho
Condition/&DisorientDescription	-1d6 nas jogadas de ataque.
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	Assustado. Incapaz de se aproximar da fonte do medo, desvantagem nas jogadas de ataque e testes de habilidade enquanto a fonte do medo está à vista.
Condition/&EvilEyeTitle	Mau-olhado
Condition/&EWResonatingStrikeDamageDescription	No 5º nível, os ataques desencadeados por este truque causam 1d8 de dano trovejante adicional. O dano aumenta ainda mais em 1d8 no 11º e 17º níveis.
Condition/&EWResonatingStrikeDamageTitle	Ressonância
Condition/&EWSunlightBladeDamageDescription	No 5º nível, os ataques desencadeados por este truque causam 1d8 de dano radiante adicional. O dano aumenta ainda mais em 1d8 no 11º e 17º níveis.
Condition/&EWSunlightBladeDamageTitle	Queimadura de Sunlit Blade
Condition/&FrenziedDescription	Esta criatura está frenética e atacará a criatura mais próxima.
Condition/&FrenziedTitle	Frenético
Condition/&HalfLifeConditionDescription	Você recebe energia necrótica para dentro de si e fica entre a vida e a morte e é temporariamente possuído por seu próprio fantasma, ganhando voar, e as mesmas imunidades de condição e resistência a danos que outros fantasmas.
Condition/&HalfLifeConditionTitle	Meia-vida
Condition/&HelpActionDescription	Esta criatura foi distraída.
Condition/&HelpActionTitle	Distraído
Condition/&MoonTouchedConditionDescription	Sua gravidade é negada.
Condition/&MoonTouchedConditionTitle	Lua Tocada
Condition/&PoxDescription	Condição de varíola.
Condition/&PoxTitle	Varíola
Condition/&RuinDescription	Penalidade de -3 AC, até um máximo de -10 AC.
Condition/&RuinedDescription	Penalidade de -3 AC, até um máximo de -10 AC.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruína
Condition/&SentinelStopMovementConditionDescription	Incapaz de mover-se. Velocidade definida para 0.
Condition/&SentinelStopMovementConditionTitle	Parou
Condition/&SwallowedByToadConditionDescription	Recebe 3d6 de dano de ácido a cada turno. Termina se o lançador receber 15 de dano ou mais em um único ataque.
Condition/&SwallowedByToadConditionTitle	Engolido Por Sapo
Condition/&SwallowingToadConditionDescription	Termina se 15 de dano ou mais forem sofridos em um único ataque.
Condition/&SwallowingToadConditionTitle	Engolir Sapo
ContentPack/&CommunityExpansionPackDescription	O pacote de expansão da comunidade adiciona novas classes, subclasses, talentos e feitiços. Há um limite de nível mais alto, multiclasse, recursos de QOL, correções de bugs e muito mais. É um verdadeiro Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Pacote de Expansão da Comunidade
CraftyFeats/&ApothecaryIntFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de herbalismo e Arcana, ou perícia se já for proficiente.
CraftyFeats/&ApothecaryIntFeatTitle	Boticário (Inteligência)
CraftyFeats/&ApothecaryWisFeatDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê ganha proficiência com kit de herbalismo e Arcana, ou perícia se já for proficiente.
CraftyFeats/&ApothecaryWisFeatTitle	Boticário (Sabedoria)
CraftyFeats/&AttributeDexDescription	+1 DES até um máximo de 20
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	+1 INT até um máximo de 20
CraftyFeats/&AttributeIntTitle	Inteligência
CraftyFeats/&AttributeWisDescription	+1 WIS até um máximo de 20
CraftyFeats/&AttributeWisTitle	Sabedoria
CraftyFeats/&CraftyArcanaDescription	Você ganha proficiência/experiência em Arcana.
CraftyFeats/&CraftyBowsDescription	Você ganha proficiência com todos os arcos e bestas.
CraftyFeats/&CraftyBowsTitle	Proficiência em Arco
CraftyFeats/&CraftyFletcherFeatDescription	Aumente sua Destreza em 1, até um máximo de 20.\nVocê ganha proficiência com ferramentas de ferreiro, ou perícia se já for proficiente.\n Você ganha proficiência com todos os arcos e bestas.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Você ganha proficiência/experiência em Medicina.
CraftyFeats/&CraftyNatureDescription	Você ganha proficiência/experiência em Natureza.
CraftyFeats/&CraftyScribeFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de pergaminho e Arcana, ou perícia se já for proficiente.\nRequer a habilidade de lançar feitiços.
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Ferramentas
CraftyFeats/&ManacalonCrafterFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com rosário manacolon e Arcana, ou perícia se já for proficiente.\nRequer a habilidade de lançar feitiços.
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de envenenador e Natureza, ou perícia se já for proficiente.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologista (Inteligência)
CraftyFeats/&ToxicologistWisFeatDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê ganha proficiência com kit de envenenador e Medicina, ou perícia se já for proficiente.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologista (Sabedoria)
DamageAffinity/&DHHolyAuraSpellDescription	Quando um demônio ou um morto-vivo atinge com um ataque corpo a corpo, a aura pisca com uma luz brilhante e o atacante deve ter sucesso em um teste de resistência de Constituição ou ficará cego até que a magia termine.
DamageAffinity/&DHHolyAuraSpellTitle	Retaliação da Aura Sagrada
Equipment/&ArcaneStaffDescription	Este cajado é inscrito com escrita mágica e pode ser usado como foco para lançar feitiços Arcanos.
Equipment/&ArcaneStaffTitle	Cajado Arcano
Equipment/&CEHalberdTypeTitle	Alabardas
Equipment/&CEHandXbowTypeTitle	Bestas de mão
Equipment/&CELongMaceTypeTitle	Maças Longas
Equipment/&CEPikeTypeTitle	Lanças
Equipment/&DruidicAmuletDescription	Este amuleto totêmico pode ser usado como foco para lançar feitiços druídicos.
Equipment/&DruidicAmuletTitle	Amuleto Druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Clube de Agudeza
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso rasgam a armadura para causar dano adicional. A primeira arma desse tipo foi projetada por Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Clube Bearclaw
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Club_Lightbringer_Title	Clube Lightbringer
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Arcanistas de Manacalon criaram este clube para dar aos campeões das Legiões de Ferro a força que seus corpos élficos não forneciam.
Equipment/&Enchanted_Club_Power_Title	Clube do Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. A combinação do melhor metal e Slavestone deu a este machado um poder de perfuração incrível.
Equipment/&Enchanted_Club_Punisher_Title	Clube do Justiceiro
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo da Agudeza
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo Frostburn
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo de Nitidez
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo Bebedor de Almas
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Machado de Agudeza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Machadinha Queimadura de Gelo
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Machado de Nitidez
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Machado Bebedor de Almas
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Seu design original trazia o símbolo de Defineth Sharpsight, um renomado mago elfo silvestre.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Besta Pesada de Precisão
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Besta Pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. A magia fundiu coral de medusa e madeira dura para criar um arco mortal, preferido pelos grupos de embarque dos halflings da ilha.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Besta Pesada Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas de Manacalon fisicamente ao invés de magicamente. Seus melhores arqueiros receberam bestas, a criação da Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Besta Pesada de Atirador
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma para um efeito devastador!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Besta de Tempestade Pesada
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Esconder Armadura de Deflexão
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Esconder Armadura de Dança Flamejante
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Esconder Armadura de Andar no Gelo
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Esconder Armadura de Robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Esconder Armadura de Resistência
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Esconder Armadura de Sobrevivência
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Lança de agudeza
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Javelin_Frostburn_Title	Lança Queimadura de Gelo
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Dardo de Nitidez
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
