BlueprintCategory/&FlatRoomsTitle	平房
Feature/&ArmorofShadowsTitle	阴影之甲
Feature/&AscendantStepTitle	星移步法
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	你进行力量检定的总值低于你的力量值时，能直接使用力量值作为检定结果
Feature/&BarbarianIndomitableMightTitle	不屈勇武
Feature/&BardSkillsTitle	吟游诗人技艺
Feature/&DeadeyeDescription	攻击最大射程内的敌人时，你的远程武器攻击检定不因超过常规射程而具有劣势。你的远程武器攻击忽视半身掩护和四分之三掩护状态。你以具有熟练项的远程武器发动攻击前，能选择使此攻击的攻击检定承受-5减值，若此攻击命中，其伤害骰获得+10加值
Feature/&DeadeyeTitle	神射手
Feature/&DHConjureMinorElementalsBonusCantripDescription	你对元素能量的控制力已经提高到你现在能支配较弱的元素的地步。你能随意施展召唤次级元素
Feature/&DHConjureMinorElementalsBonusCantripTitle	元素仆从
Feature/&DHHolyAuraBlindingPowerDescription	当一个邪魔或不死生物以近战攻击命中受术生物时，其灵光将产生耀眼的爆发，而攻击者必须进行一次体质豁免，豁免失败者将陷入目盲直至法术终止
Feature/&DHHolyAuraBlindingPowerTitle	圣洁灵光报偿
Feature/&DHWardingBondBonusCantripDescription	你对裂隙传送的控制已提升到能给予他人裂隙保护的程度。你能随意施放法术守护结界(无需分担伤害)
Feature/&DHWardingBondBonusCantripTitle	裂隙斗篷
Feature/&DreadfulWordTitle	恐惧箴言
Feature/&DualFlurryDescription	你是一个使用双武器作战的高手。在任何一轮中，若你在双手都持有武器的情况下用近战攻击击中两次，你能额外进行一次副手攻击
Feature/&DualFlurryTitle	飘逸双持
Feature/&EmptyString
Feature/&FiendishVigorTitle	邪魔活力
Feature/&IndomitableResistanceAddDescription	每次休息间可使用不屈抗力次数+1
Feature/&IndomitableResistanceAddTitle	不屈抗力（提升）
Feature/&IndomitableResistanceTitle	不屈抗力
Feature/&MiretheMindTitle	心灵泥沼
Feature/&PowerAttackDescription	当你使用近战武器攻击时，你能选择使此攻击检定承受-3减值，以额外造成3+熟练加值点伤害
Feature/&PowerAttackTitle	猛力攻击
Feature/&PowerPaladinAuraOfCourage18Description	对30英尺内的盟友给予豁免加值
Feature/&PowerPaladinAuraOfCourage18Title	精通勇气灵光
Feature/&PowerPaladinAuraOfProtection18Description	你和你30英尺内的盟友不会被恐惧
Feature/&PowerPaladinAuraOfProtection18Title	精通守护灵光
Feature/&PowerTorchbearerDescription	试图令一个近战目标着火
Feature/&PowerTorchbearerTitle	火炬手
Feature/&PrimalChampionDescription	第20级时，你的存在即是野性之力的具现。你的力量和体质各提升4点
Feature/&PrimalChampionTitle	原初斗士
Feature/&ProficiencyRogueBlindSenseDescription	第14级起，只要能听到声音，你就能定位身边10英尺内躲藏或隐形的生物
Feature/&ProficiencyRogueBlindSenseTitle	盲感
Feature/&ProficiencyRogueSlipperyMindDescription	第15级起，你的心理素质获得了大大的加强，并因此获得感知豁免的熟练项
Feature/&ProficiencyRogueSlipperyMindTitle	圆滑心智
Feature/&RageDamageBonusAttackModifierDescription	在狂暴时伤害获得+2加值
Feature/&RageDamageBonusAttackModifierTitle	狂暴伤害
Feature/&RageFeatConditionDescription	狂暴时你获得以下加成：你进行力量检定和力量豁免时具有优势；伤害骰获得+2加值；拥获得钝击、穿刺和挥砍伤害的抗性
Feature/&RageFeatConditionTitle	狂暴
Feature/&RagePowerDescription	以一个附赠动作，你进入狂暴并获得以下加成：你进行力量检定和力量豁免时具有优势；伤害骰获得+2加值；拥获得钝击、穿刺和挥砍伤害的抗性
Feature/&RagePowerTitle	狂暴
Feature/&RageStrengthSavingThrowAffinityDescription	你在狂暴时获得力量豁免的优势
Feature/&RageStrengthSavingThrowAffinityTitle	狂暴力量豁免优势
Feature/&RangerFeralSensesDescription	你获得超自然的感官帮助你对抗看不见的生物。此后，你攻击一个你看不见的生物时不会因此承受劣势
Feature/&RangerFeralSensesTitle	野性感官
Feature/&RangerVanishActionDescription	第14级起，你能在自己回合以一个附赠动作的形式执行躲藏动作
Feature/&RangerVanishActionTitle	无踪步
Feature/&SignofIllOmenTitle	不详征兆
Feature/&TrickstersEscapeTitle	诡术逃脱
Feature/&ZSPowerPaladinCleansingTouchDescription	触碰一个盟友移除其法术效果。此特性的可用次数等于你的魅力调整值
Feature/&ZSPowerPaladinCleansingTouchTitle	净化之触
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	致盲武器
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	致盲武器造成额外伤害并尝试致盲
Feedback/&AdditionalDamageElementalDamageFormat	元素伤害
Feedback/&AdditionalDamageElementalDamageLine	元素形态给予额外伤害
Feedback/&AdditionalDamageResonatingStrikeFormat	共鸣斩！
Feedback/&AdditionalDamageResonatingStrikeLine	{0}共鸣斩{1}！	(+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	魂力赋能
Feedback/&AdditionalDamageSoulEmpoweredLine	魂力赋能造成额外伤害
Feedback/&AdditionalDamageSunlightBladeFormat	炙阳之锋！
Feedback/&AdditionalDamageSunlightBladeLine	{0}以炙阳之锋灼烧{1}！	(+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	升级伤害
Feedback/&AdditionalDamageUpgradedConstructLine	升级后的构装体每次攻击造成额外1d8点伤害
Feedback/&ExtraDamageDescription	电光之矛的额外伤害
Feedback/&ExtraDamageTitle	电光之矛额外伤害
Feedback/&NotifyEffectResonatingStrikeLine	{0}共鸣斩{1}！
Format/&LevelAndExperienceFormat	等级：{0}\n经验值：{1}\n升级到等级{3}还需{2}点
Format/&LevelAndExperienceMaxedFormat	等级：{0}\n经验值：{1}\n达到最大等级
MainMenu/&ExportPdfDescription	降级此角色
MainMenu/&ExportPdfTitle	降级
Message/&CharacterExportDuplicateNameErrorDescription	导出取消：\n\n角色池中存在一个重复的名称\n请尝试使用不同的名字
Message/&CharacterExportEmptyNameErrorDescription	导出取消：\n\n请尝试使用非空白的名字
Message/&CharacterExportModalContentDescription	输入要导出的角色名称：
Message/&CharacterExportModalTitleDescription	角色导出
Message/&LevelDownConfirmationDescription	是否降级此角色？
Message/&LevelDownMultiplayerAbortDescription	无法在多人游戏中降级角色
Message/&MessageModWelcomeDescription	社区扩展包引入了大量令人惊喜的功能，但是默认未启用。点击<color=yellow>Ctrl-F10</color>打开Unity Mod	Manager的操作界面[UMM]，然后点击“社区扩展包”旁边的设置图标，打开设置页面\n\n探索这些选项并选择你喜欢的。UMM操作界面将开启
Message/&MessageModWelcomeTitle	社区扩展包
Message/&RespecMultiplayerAbortDescription	无法在多人游戏或冒险地图中重置角色
Message/&SpawnCustomEncounterDescription	在坐标({0},	{1})处制造一场遭遇战？
Message/&SpawnCustomEncounterErrorDescription	目前暂时无法在联机游戏上制造遭遇战
Message/&SpawnCustomEncounterTitle	遭遇战
Message/&TeleportPartyDescription	将队伍传送到({0},	{1})么？\n若你传送到一个未发现的地方，你可能会破坏任务或地图
Message/&TeleportPartyTitle	传送
Monster/&DHCustomCouatlDescription	羽蛇深邃而睿智，是一种的善良蛇形生物。它们五彩缤纷的羽翼与温文尔雅的举止尽显出其与天界的渊源
Monster/&DHCustomCouatlTitle	羽蛇
Monster/&OwlFamiliarDescription	猫头鹰魔宠
Monster/&OwlFamiliarTitle	猫头鹰
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	穿刺伤害，目标必须通过一次DC13的体质豁免，否则将中毒24小时。在这种中毒结束前，目标会失去意识
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	啃咬
Power/&FindFamiliarBundlePowerDescription	以伪龙、小妖精、小魔鬼或夸塞魔的形式召唤魔宠
Power/&FindFamiliarBundlePowerTitle	获得魔宠
Power/&HelpActionDescription	你能帮助一个友好的生物攻击你周围5英尺内的生物。你进行佯攻、使目标分心或以其他团队协作方式使你的盟友的攻击更有效率。你的盟友在你的下回合前攻击目标，则第一次攻击骰带有优势
Power/&HelpActionTitle	协助
Power/&PowerFunctionHandwrapsOfPullingDescription	你能以附赠动作将15英尺内一个生物拉至你身边
Power/&PowerFunctionHandwrapsOfPullingTitle	牵引
Reaction/&CoordinatedAttackDescription	{0}受到协同攻击，一些角色能使用其反应来加入此攻击
Reaction/&CoordinatedAttackReactDescription	使用反应攻击目标
Reaction/&CoordinatedAttackReactTitle	攻击
Reaction/&CoordinatedAttackTitle	协同攻击
Reaction/&ReadiedAction{0}Description	准备{0}
Reaction/&ReadiedAction{0}Title	准备{0}
Reaction/&SpendPower{0}Description	消耗{0}
Reaction/&SpendPower{0}Title	消耗{0}
Reaction/&SpendPowerBundleDescription	使用能力
Reaction/&SpendPowerBundleTitle	使用能力
Reaction/&SubitemSelectCoordinatedAttackTitle	选择动作
Reaction/&SubitemSelectPowerBundleTitle	选项
Reaction/&SubitemSelectSlotLevelTitle	法术位等级
Reaction/&SubitemSelectWarcasterReactionTitle	选择动作
Reaction/&Use{0}Description	使用{0}
Reaction/&Use{0}Title	使用{0}
Reaction/&WarcasterAttackDescription	攻击目标
Reaction/&WarcasterAttackTitle	攻击
Reaction/&WarcasterReactionDescription	{0}正在离开一个或多个角色的威胁范围
Reaction/&WarcasterReactionReactDescription	使用反应攻击目标
Reaction/&WarcasterReactionReactTitle	攻击
Reaction/&WarcasterReactionTitle	借机攻击
Requirement/&FeatureSelectionRequireCharacterLevel	等级{0}
Requirement/&FeatureSelectionRequireClassLevel	等级{0}的{1}
RestActivity/&ZSRespecDescription	重置此角色
RestActivity/&ZSRespecTitle	重置
RestActivity/&ZSSorcerousRestorationDescription	完成一次短休能恢复4术法点
RestActivity/&ZSSorcerousRestorationTitle	术法复苏
Rules/&AdvantageAttackOnEnemyDescription	攻击敌人有优势
Rules/&AdvantageAttackOnEnemyTitle	点亮
Rules/&CounterFormDismissCreatureFormat	遣散奇械师构装体
Rules/&DisadvantageOnAttackByEnemyDescription	被闪电击中而分心
Rules/&DisadvantageOnAttackByEnemyTitle	被闪电击中
Rules/&ExtraDamageOnAttackConditionDescription	电光之矛的额外伤害
Rules/&ExtraDamageOnAttackConditionTitle	静电冲击
Screen/&EditorLocationSize3Title	巨型[MODDED]
Screen/&EditorLocationSize4Title	超巨型[MODDED]
Sorceror/&ZSSorcerousRestorationDescription	完成一次短休能恢复4术法点
Sorceror/&ZSSorcerousRestorationTitle	术法复苏
Stage/&IdentityMorphotypeEyeHeader	眼睛风格
Stage/&SubclassSelectionStageSpecialistDescription	奇械师的专业范围很广，包括作为炼金师制作灵药，作为魔炮师制造爆炸，作为战地匠师挥舞魔法武器
Stage/&SubclassSelectionStageSpecialistFeatures	专业特性
Stage/&SubclassSelectionStageSpecialistHeader	专业
Stage/&SubclassSelectionStageSpecialistNoneDescription	专业无说明
Stage/&SubclassSelectionStageSpecialistTitle	选择专业
Subclass/&ConditionResistnatArmorDescription	你的护甲能抵抗强酸、冷冻、火焰、力场、闪电、黯噬、毒素、心灵、光耀和雷鸣伤害
ToolTip/&CheckBoxDefaultPartyTitle	勾选此框，设置你在开始新的冒险或测试自定义地点时的默认阵容。你以勾选顺序最多能选择{0}个英雄
Tooltip/&DeadeyeConcentration	禁用神射手
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	未学习{0}
Tooltip/&FeatPrerequisiteHasStealthAttack	具有偷袭
Tooltip/&FeatPrerequisiteIsNotBarbarian	非野蛮人
Tooltip/&FeatPrerequisiteIsNotFighter	非战士
Tooltip/&FeatPrerequisiteIsNotRogue	非游荡者
Tooltip/&FeatPrerequisiteLevelFormat	最低角色等级{0}
Tooltip/&PowerAttackConcentration	禁用猛力攻击
Tooltip/&Tag9000Title	自定义效果
Tooltip/&TagCommunityExpansionTitle	社区拓展
Tooltip/&TagMaledictionTitle	巫咒
Tooltip/&TagOtherModContentTitle	源于Mod
Tooltip/&TagPolearmWeaponTitle	长柄武器
UI/&CustomFeatureSelectionStageDescription	从你的职业/子职中选择额外特性
UI/&CustomFeatureSelectionStageFeatures	特性
UI/&CustomFeatureSelectionStageNotDone	你必须在继续前选择所有可选的特性
UI/&CustomFeatureSelectionStageTitle	特性选择
UI/&CustomFeatureSelectionTooltipTypeCantrip	戏法
UI/&CustomFeatureSelectionTooltipTypeFeature	特性
UI/&CustomFeatureSelectionTooltipTypePower	能力
UI/&CustomFeatureSelectionTooltipTypeProficiency	熟练度
UI/&ForcePreferredCantripDescription	若此选项开启，仅默认戏法能触发。若未选择默认戏法，那么第一个有效的戏法将被触发，此时将无视此选项开关状态
UI/&ForcePreferredCantripTitle	强制默认戏法
