Prop/&CandelabraTitle	Канделябр
Prop/&FakeStairsUpTitle	Фальшивые ступени (вверх)
Prop/&FakeStairsDownTitle	Фальшивые ступени (вниз)
Prop/&MonumentTitle	Памятник
Prop/&ThicketTitle	Кустарник
Prop/&TentTitle	Палатка
Prop/&BushesTitle	Кусты
Prop/&DoubleThinDoorTitle	Узкая двойная дверь
Prop/&DoubleThinDoorDescription	Узкая двойная дверь, которую необходимо открыть
Prop/&TombstoneTitle	Надгробие
Prop/&TombstonePackTitle	Несколько надгробий
Prop/&FieldTitle	Поле
Prop/&FieldBlockedDescription	Засеянное поле
Prop/&FieldDifficultDescription	Открытое поле со сложным рельефом
Prop/&HayStackTitle	Стог сена
Prop/&LogsTitle	Деревянные брёвна
Prop/&CaveEntranceTitle	Вход в пещеру
Prop/&DrainGrateTitle	Отливная решётка
Prop/&Path_StraightTitle	Прямая тропа
Prop/&Path_TurnTitle	Изогнутая тропа
Prop/&Path_YjunctionTitle	Y-образный перекрёсток
Prop/&Path_SjunctionTitle	S-образный перекрёсток
Prop/&Path_EndTitle	Тупик
Prop/&Path_CrossRoadTitle	X-образный перекрёсток
Prop/&PlanksTitle	Деревянные доски
Prop/&StumpTitle	Пень
Prop/&LadderTitle	Лестница
Prop/&FakeLadderUpTitle	Фальшивая лестница
Prop/&FakeLadderUpDescription	Фальшивая лестница для обозначения входа/выхода из подземелья. Для использования в сочетании с устройством входа/выхода
Prop/&ArchTitle	Арка
Prop/&CellTitle	Клетка
Prop/&ColumnDestroyedTitle	Разрушенная колонна
Prop/&ColumnLowgroundTitle	Колонна в низменности
Prop/&ColumnLowgroundDescription	Декоративная колонна, которую можно поместить только в низменности
Prop/&CreeperTitle	Вьюнок/плющ
Prop/&RootTitle	Корни
Prop/&ScaffoldingTitle	Помост
Prop/&StairsTitle	Ступени
Prop/&StairsDestoyedTitle	Разрушенные ступени
Prop/&WallDestoyedTitle	Разрушенная стена
Prop/&WallLinkTitle	Часть стены
Prop/&SlopeTitle	Спуск
Prop/&TrunkTitle	Ствол
Prop/&WoodLogTitle	Бревно
Prop/&CookingStuffTitle	Котелок
Prop/&ArchEndTitle	Разрушенная арка
Prop/&ColumnTitle	Колонна
Prop/&RuinedKioskTitle	Руины павильона
Prop/&RuinedWallTitle	Руины стен
Prop/&CaravanTitle	Караван
Prop/&BridgeTitle	Мост
Prop/&RitualStoneTitle	Ритуальный камень
Prop/&SkullPileTitle	Груда черепов
Prop/&Beam_ScreenTitle	Балочный заслон
Prop/&Tavern_CounterTitle	Таверна (прилавок)
Prop/&Walls_LowTitle	Низкая стена
Prop/&PennantTitle	Знамя
Prop/&HousePatchTitle	Рынок
Prop/&Drying_ClothesTitle	Вывешенная одежда
Prop/&WoodFenceTitle	Деревянные заборы
Prop/&FountainTitle	Фонтан
Prop/&GallowTitle	Виселицы
Prop/&Flowers_PatchTitle	Цветочный куст
Prop/&Flowerbed_LineTitle	Длинная клумба
Prop/&Garden_GroundTitle	Садовая земля
Prop/&Garden_HedgeTitle	Садовая изгородь
Prop/&KioskTitle	Садовая беседка
Prop/&Wall_CreeperTitle	Настенный плющ
Prop/&Wall_CreeperDescription	Растительность, помещаемая на стены
Prop/&HouseTitle	Дом
Prop/&Paved_Road_StraightTitle	Прямая мощёная дорога
Prop/&Paved_Road_SquareTitle	Квадратная мощёная дорога
Prop/&Paved_Road_TurnTitle	Мощёная дорога (поворот)
Prop/&Paved_Road_TShapeTitle	Мощёная дорога (Т-образная)
Prop/&Paved_Road_CrossTitle	Мощёная дорога (перекрёсток)
Prop/&Paved_Road_DeadEndTitle	Мощёная дорога (тупик)
Prop/&Information_BoardTitle	Доска объявлений
Prop/&SeparatorTitle	Разделитель
Prop/&SeparatorDescription	Деревянная балка, помещаемая между тонкими стенами
Prop/&JuniperGroundTitle	Можжевельник
Prop/&ManholeCoverTitle	Крышка люка
Prop/&Merchant_BannerTitle	Флаг торговца
Prop/&Merchant_SignTitle	Вывеска торговца
Prop/&NightStandTitle	Прикроватная тумбочка
Prop/&ShopStructureTitle	Сооружение (лавка)
Prop/&ShopBookStandTitle	Книжная лавка (стойка)
Prop/&ShopFoodStandTitle	Продовольственная лавка (стойка)
Prop/&ShopGeneralStoreTitle	Лавка (стойка)
Prop/&GenericShopTitle	Обычная лавка (стойка)
Prop/&ShopMagicTitle	Магическая лавка (стойка)
Prop/&ShopBookCounterTitle	Книжная лавка (прилавок)
Prop/&ShopFoodCounterTitle	Продовольственная лавка (прилавок)
Prop/&ShopGeneralCounterTitle	Лавка (прилавок)
Prop/&Shop_WoodenShedTitle	Деревянный сарай
Prop/&TownSeparationWallsTitle	Внутренние городские стены
Prop/&TownSeparationButressTitle	Внутренние городские подпорки
Prop/&SmallWallsLadderTitle	Плющ для лазания
Prop/&SmallWallsLadderDescription	Только для размещения на стенных заслонах
Prop/&StableTitle	Стойло
Prop/&Statue_Little_EmperorTitle	Статуя молодого императора
Prop/&Statue_Maisy_JadeTitle	Статуя Мэйси (янтарь)
Prop/&Statue_Maisy_StoneTitle	Статуя Мэйси (камень)
Prop/&Statue_Maisy_MarbleTitle	Статуя Мэйси (мрамор)
Prop/&Statue_MisayeTitle	Статуя Мисайе
Prop/&StreetLampostTitle	Уличный фонарь
Prop/&StairsConnectorTitle	Соединительные ступени
Prop/&StairsConnectorDescription	Лестница, соединяющая комнаты, находящиеся на разном уровне
Prop/&WallButressTitle	Подпорка
Prop/&WoodPalissadeTitle	Деревянный забор
Prop/&WoodPalissadeDescription	Надёжное укрытие
Prop/&House_ExtensionTitle	Пристройка (дом)
Prop/&House_ExtensionDescription	Размещается вдоль стен дома
Prop/&Wooden_BeamTitle	Деревянная балка
Prop/&Y_SeparatorTitle	Y-образная деревянная балка
Prop/&Y_SeparatorDescription	Размещается на стенах (не на тонких стенах)
Prop/&BurningDebrisTitle	Горящие обломки
Prop/&CastleInnerWallTitle	Внутренняя стена замка
Prop/&CastleWallFillerTitle	Наполнение внутренней стены замка
Prop/&CastleWallDoorwayTitle	Дверной проём внутренней стены замка
Prop/&CastleWallObstacleTitle	Препятствие внутренней стены замка
Prop/&CastleTowerTitle	Башня замка
Prop/&CastleWallTitle	Стена замка
Prop/&BrokenFurnituresTitle	Сломанная мебель
Prop/&PalaceTitle	Эльфийский дворец
Prop/&BarraksTitle	Барак
Prop/&TreeTitle	Дерево
Prop/&CaveWallDoorwaysTitle	Свободная стена — дверной проём
Prop/&TrophyTitle	Охотничий трофей
Prop/&TrophyDescription	Размещается на стенах (не на тонких стенах)
Prop/&BoatTitle	Лодка
Prop/&DresserTitle	Комод
Prop/&HutWitchTitle	Ведьма в хижине
Prop/&LakeTitle	Маленькое озеро
Prop/&PuddleTitle	Лужа
Prop/&Trunk_CrawlingTitle	Упавшие деревья
Prop/&Trunk_CrawlingDescription	Можно проползти под упавшими деревьями.
Prop/&WoodenHouseTitle	Деревянный дом
Prop/&SuspendingLanternTitle	Подвесной фонарь
Prop/&NestGiantTitle	Гигантское гнездо
Prop/&SquarePlantTitle	Садовый глобус
Prop/&ThroneTitle	Трон
Prop/&SuspendingPlanterTitle	Подвесное растение
Prop/&MagicRuneTitle	Магическая руна
Prop/&BenchDestroyedTitle	Разрушенная скамейка
Prop/&CorpseClericTitle	Доспехи жреца
Prop/&CorpseFullPlateTitle	Полные латные доспехи
Prop/&CorpseScaleMailTitle	Чешуйчатый доспех
Prop/&CorpseSorcererTitle	Труп заклинателя
Prop/&OutpostTitle	Разрушенный аванпост
Prop/&PlateauTitle	Плато
