Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionBackFromTheDead2Description	Штраф в -2 к броскам атаки, спасброскам и проверкам характеристик. Устройте долгий отдых, чтобы снизить штраф.
Rules/&ConditionBackFromTheDead3Description	Штраф в -3 к броскам атаки, спасброскам и проверкам характеристик. Устройте долгий отдых, чтобы снизить штраф.
Rules/&ConditionBackFromTheDead4Description	Штраф в -4 к броскам атаки, спасброскам и проверкам характеристик. Устройте долгий отдых, чтобы снизить штраф.
Rules/&ConditionBackFromTheDeadTitle	Воскрешение из мёртвых
Rules/&ConditionBanedDescription	-1d4 к атакам, -1d4 к спасброскам.
Rules/&ConditionBanedTitle	Сражение погибелью
Rules/&ConditionBarkskinDescription	Класс доспеха существа становится равным минимум 16.
Rules/&ConditionBarkskinTitle	Дубовая кожа
Rules/&ConditionBeaconOfHopeDescription	Преимущество к спасброскам на мудрость и спасброскам от смерти. Лечение восстанавливает максимум доступных очков здоровья.
Rules/&ConditionBeaconOfHopeTitle	Маяк надежды
Rules/&ConditionBearsEnduranceDescription	Преимущество к спасброскам на телосложение.
Rules/&ConditionBlessedDescription	+1к4 к атакам, +1к4 к спасброскам.
Rules/&ConditionBlessedTitle	Благословение
Rules/&ConditionBlessingSorr-TarrTitle	Благословение Сорр-Тарра
Rules/&ConditionBlindedDescription	Не может ничего видеть, помехи при атаках, атаки против персонажа выполняются с преимуществом.
Rules/&ConditionBlindedTitle	Ослепление
Rules/&ConditionBlurredDescription	Атаки по существу выполняются с помехой.
Rules/&ConditionBlurredTitle	Размытие
Rules/&ConditionBrandedDescription	Испускает свет; невидимость недоступна.
Rules/&ConditionBrandedTitle	Клеймо
Rules/&ConditionBullsStrengthDescription	Преимущество к спасброскам на силу.
Rules/&ConditionCatsGraceDescription	Преимущество к спасброскам на ловкость, сниженный урон от падения.
Rules/&ConditionCharmedByHypnoticPatternDescription	Персонаж обездвижен; его скорость равна 0 до тех пор, пока его не ранят или не разбудят.
Rules/&ConditionCharmedByHypnoticPatternTitle	Очарование гипнозом
Rules/&ConditionCharmedDescription	Считает заклинателя своим союзником.
Rules/&ConditionCharmedTitle	Очарование
Rules/&ConditionChilledDescription	Не может получать очки здоровья. Если это нежить, атаки по заклинателю проходят с помехой.
Rules/&ConditionChilledTitle	Охлаждение
Rules/&ConditionCriticalCharacterDescription	Со смертью этого персонажа игра завершается.
Rules/&ConditionCriticalCharacterTitle	Критически важный персонаж
Rules/&ConditionCursedActionDescription	Чтобы действовать, нужно выполнить спасбросок на МДР.
Rules/&ConditionCursedActionTitle	Проклятие (действие)
Rules/&ConditionCursedAttackRollDescription	Броски атаки против заклинателя проходят с помехой.
Rules/&ConditionCursedAttackRollTitle	Проклятие (бросок атаки)
Rules/&ConditionCursedCharismaDescription	Спасброски и проверки характеристик на ХАР проходят с помехой.
Rules/&ConditionCursedCharismaTitle	Проклятие (харизма)
Rules/&ConditionCursedConstitutionDescription	Спасброски и проверки характеристик на ТЕЛ проходят с помехой.
Rules/&ConditionCursedConstitutionTitle	Проклятие (телосложение)
Rules/&ConditionCursedDamageDescription	Атаки и заклинания заклинателя против цели наносят дополнительно 1к8 некротического урона.
Rules/&ConditionCursedDamageTitle	Проклятие (урон)
Rules/&ConditionCursedDexterityDescription	Спасброски и проверки характеристик на ЛОВ проходят с помехой.
Rules/&ConditionCursedDexterityTitle	Проклятие (ловкость)
Rules/&ConditionCursedIntelligenceDescription	Спасброски и проверки характеристик на ИНТ проходят с помехой.
Rules/&ConditionCursedIntelligenceTitle	Проклятие (интеллект)
Rules/&ConditionCursedStrengthDescription	Спасброски и проверки характеристик на СИЛ проходят с помехой.
Rules/&ConditionCursedStrengthTitle	Проклятие (сила)
Rules/&ConditionCursedTitle	Проклятие
Rules/&ConditionCursedWisdomDescription	Спасброски и проверки характеристик на МДР проходят с помехой.
Rules/&ConditionCursedWisdomTitle	Проклятие (мудрость)
Rules/&ConditionDarkvisionDescription	Вы нормально видите при тусклом свете, а в естественной темноте видите, как при тусклом свете.
Rules/&ConditionDarkvisionTitle	Ночное зрение
Rules/&ConditionDazzledDescription	Не может реагировать, получает штраф в -2 к классу доспеха.
Rules/&ConditionDazzledTitle	Ослепление
Rules/&ConditionDeadDescription	Персонаже не может действовать, пока не будет оживлён или воскрешён.
Rules/&ConditionDeadTitle	Смерть
Rules/&ConditionDeafenedDescription	Ничего не слышит.
Rules/&ConditionDeafenedTitle	Оглушение
Rules/&ConditionDetectEvilandGoodDescription	Персонаж определён как искажение, небожитель, элементаль, фея, изверг или нежить.
Rules/&ConditionDetectEvilandGoodTitle	Персонаж определён как злой/добрый
Rules/&ConditionDetectMagicDescription	Способность обнаруживать поблизости магию.
Rules/&ConditionDetectMagicTitle	Обнаруживает магию
Rules/&ConditionDiscipleImmuneColdDescription	Невосприимчивость к урону холодом, восстанавливает ОЗ от холода.
Rules/&ConditionDiscipleImmuneColdTitle	Знаток стихий (холод)
Rules/&ConditionDiscipleImmuneFireDescription	Невосприимчивость к урону молнией, восстанавливает ОЗ от молнии.
Rules/&ConditionDiscipleImmuneFireTitle	Знаток стихий (огонь)
Rules/&ConditionDiscipleImmuneLightningDescription	Невосприимчивость к урону огнём, восстанавливает ОЗ от огня.
Rules/&ConditionDiscipleImmuneLightningTitle	Знаток стихий (молния)
Rules/&ConditionDiseasedDescription	Это существо поражено болезнью.
Rules/&ConditionDiseasedTitle	Болезнь
Rules/&ConditionDisengagingDescription	Невосприимчивость к атакам по возможности.
Rules/&ConditionDisengagingTitle	Выполняет отход
Rules/&ConditionDivineFavorDescription	Наносит дополнительно 1к4 сиятельного урона.
Rules/&ConditionDivineFavorTitle	Божественная благосклонность
Rules/&ConditionDivinelyRevealedDescription	Накладывающему этот эффект известны тип и расположение существа.
Rules/&ConditionDivinelyRevealedTitle	Раскрытие божественной силой
Rules/&ConditionDodgingDescription	Атаки по существу выполняются с помехой.
Rules/&ConditionDodgingTitle	Уклоняется
Rules/&ConditionDyingDescription	Скоро умрёт, если состояние не стабилизировать.
Rules/&ConditionDyingTitle	Умирает
Rules/&ConditionEncumberedDescription	Скорость снижена на 2.
Rules/&ConditionEncumberedTitle	Отягощение
Rules/&ConditionEnfeebledDescription	Наносит половину урона атаками, основанными на СИЛ.
Rules/&ConditionEnfeebledTitle	Ослабление
Rules/&ConditionEntangledTitle	Путы
Rules/&ConditionExhaustedDescription	Ослабление от истощения.
Rules/&ConditionExhaustedTitle	Истощение
Rules/&ConditionExpeditiousRetreatDescription	Может выполнять рывок в качестве бонусного действия.
Rules/&ConditionExpeditiousRetreatTitle	Поспешное отступление
Rules/&ConditionFalseLifeDescription	Дополнительные временные очки здоровья.
Rules/&ConditionFalseLifeTitle	Псевдожизнь
Rules/&ConditionFeatherFallingDescription	Не получает урона от падений.
Rules/&ConditionFeatherFallingTitle	Парящее пёрышко
Rules/&ConditionFlyingDescription	Скорость полёта цели становится равной 12 клеткам за одно действие передвижения.
Rules/&ConditionFlyingTitle	Летит
Rules/&ConditionForceOfLawDescription	Ставит помеху следующему спасброску цели.
Rules/&ConditionForceOfLawTitle	Сила закона
Rules/&ConditionFormAddBeneficialFormat	Даёт: {0}
Rules/&ConditionFormAddDetrimentalFormat	Наносит: {0}
Rules/&ConditionFormAddNeutralFormat	Становится: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Отменяет все следующие условия: {0}
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Отменяет одно случайное следующее условие: {0}
Rules/&ConditionFormRemoveFormat	Отменяет: {0}
Rules/&ConditionFrightenedDescription	Не может приблизиться к источнику страха, получает помеху к броскам атаки и проверкам характеристик.
Rules/&ConditionFrightenedFearDescription	Необходимость убежать от источника страха.
Rules/&ConditionFrightenedFearTitle	Испуг (страх)
Rules/&ConditionFrightenedTitle	Испуг
Rules/&ConditionGateKeeperDescription	Преимущество к спасброскам от смерти.
Rules/&ConditionGateKeeperTitle	Привратник
Rules/&ConditionGiantStrengthCloudDescription	Сила становится равной 27
Rules/&ConditionGiantStrengthCloudTitle	Сила великана (облачного)
Rules/&ConditionGiantStrengthFireDescription	Сила становится равной 25
Rules/&ConditionGiantStrengthFireTitle	Сила великана (огненного)
Rules/&ConditionGiantStrengthFrostDescription	Сила становится равной 23
Rules/&ConditionGiantStrengthFrostTitle	Сила великана (морозного)
Rules/&ConditionGiantStrengthHillDescription	Сила становится равной 21
Rules/&ConditionGiantStrengthHillTitle	Сила великана (холмового)
Rules/&ConditionGrappledDescription	Не может передвигаться.
Rules/&ConditionGrappledTitle	Захват
Rules/&ConditionGuidedDescription	Добавляет 1к4 к одной проверке характеристик.
Rules/&ConditionGuidedTitle	Направление
Rules/&ConditionHastedDescription	Скорость удваивается, +2 КД, спасброски на ловкость имеют преимущество, может выполнять ещё одно действие за ход (атака, рывок, уклонение, отход, засада, использование предмета).
Rules/&ConditionHastedTitle	Ускорение
Rules/&ConditionHealthyDescription	Нет ран.
Rules/&ConditionHealthyTitle	Здоровье
Rules/&ConditionHeavilyEncumberedDescription	Скорость снижена на 4.\nБроски атаки проходят с помехой.
Rules/&ConditionHeavilyEncumberedTitle	Сильное отягощение
Rules/&ConditionHeavilyObscuredTitle	Сильный заслон
Rules/&ConditionHeraldOfBattleDescription	+1 к КД, +1 к атаке и урону, +1 ко всем спасброскам.
Rules/&ConditionHeraldOfBattleTitle	Благословение Вестника битвы
Rules/&ConditionHeroismTitle	Героизм
Rules/&ConditionHighlightedDescription	Существо не пользоваться преимуществами невидимости, у атакующих есть преимущество.
Rules/&ConditionHighlightedTitle	Подсветка
Rules/&ConditionHinderedDescription	-2 к скорости передвижения.
Rules/&ConditionHinderedTitle	Задержка
Rules/&ConditionIncapacitatedDescription	Не может выполнять действия и реагировать.
Rules/&ConditionIncapacitatedTitle	Обездвижение
Rules/&ConditionInStinkingCloudDescription	Чтобы действовать на этом ходу, существо должно провести успешный спасбросок на ТЕЛ.\nВидимость сильно снижена.
Rules/&ConditionInStinkingCloudTitle	Находится в вонючем облаке
Rules/&ConditionInvisibleDescription	Нельзя заметить без использования магии. Атаки существа совершаются с преимуществом. Атакующие получают помеху.
Rules/&ConditionInvisibleTitle	Невидимость
Rules/&ConditionJumpDescription	Дальность прыжка увеличена.
Rules/&ConditionJumpTitle	Прыжок
Rules/&ConditionLethargicDescription	Существо не может передвигаться и выполнять действия до следующего хода.
Rules/&ConditionLethargicTitle	В летаргии
Rules/&ConditionLevitateDescription	Цель зависает в воздухе, заклинатель может перемещать её вверх или вниз.
Rules/&ConditionLevitateTitle	Левитирует
Rules/&ConditionLifeDrainedDescription	Максимальный запас очков здоровья снижен до долгого отдыха.
Rules/&ConditionLifeDrainedTitle	Без сил
Rules/&ConditionLightHypersensitiveDescription	Получает ранения от света.
Rules/&ConditionLightHypersensitiveTitle	Сверхчувствительность к свету
Rules/&ConditionLightSensitiveDescription	Получает помеху от света.
Rules/&ConditionLightSensitiveTitle	Чувствительность к свету
Rules/&ConditionLongstriderDescription	Скорость передвижения возрастает на 2 клетки.
Rules/&ConditionLongstriderTitle	Длинные шаги
Rules/&ConditionMagicallyArmoredDescription	Базовый класс доспеха становится равным 13.
Rules/&ConditionMagicallyArmoredTitle	Магические доспехи
Rules/&ConditionMagicallyAsleepDescription	Не может действовать до пробуждения.
Rules/&ConditionMagicallyAsleepTitle	Магический сон
Rules/&ConditionMagicalWeaponDescription	Оружие может ранить врагов, невосприимчивых к немагическим атакам.
Rules/&ConditionMagicalWeaponTitle	Магическое оружие
Rules/&ConditionMarkedByBrandingSmiteDescription	Испускает свет, не может пользоваться невидимостью, невидимость снимается.
Rules/&ConditionMarkedByBrandingSmiteTitle	Клеймящий удар
Rules/&ConditionMarkedByHunterDescription	Получает +1к6 урона, попав под атаку заклинателя.
Rules/&ConditionMarkedByHunterTitle	Метка охотника
Rules/&ConditionMindControlledTitle	Разум под управлением
Rules/&ConditionOnFireDescription	Получает постоянный огненный урон, пока огонь не будет потушен действием.
Rules/&ConditionOnFireTitle	Горение
Rules/&ConditionParalyzedDescription	Не может действовать; атаки против существа имеют преимущество, автоматический критический урон, если атака идёт с соседней клетки.
Rules/&ConditionParalyzedTitle	Паралич
Rules/&ConditionPetrifiedDescription	Обращение в камень, практически невозможно нанести урон.
Rules/&ConditionPetrifiedTitle	Окаменение
Rules/&ConditionPoisonedDescription	Атаки и проверки характеристик проходят с помехой.
Rules/&ConditionPoisonedTitle	Отравление
Rules/&ConditionPossessedDescription	Управляется сверхъестественным существом.
Rules/&ConditionPossessedTitle	Одержимость
Rules/&ConditionProneDescription	Может передвигаться только ползком; уязвимость к ближним атакам.
Rules/&ConditionProneTitle	Лежит
Rules/&ConditionProtectedFromEvilTitle	Защита от зла и добра
Rules/&ConditionResistingDescription	Добавляет +1к4 к одному спасброску.
Rules/&ConditionResistingTitle	Сопротивление
Rules/&ConditionRestrainedDescription	Не может передвигаться; спасброски существа на ловкость и броски атаки выполняются с помехой, атаки против него выполняются с преимуществом.
Rules/&ConditionRestrainedTitle	Удерживается на месте
Rules/&ConditionSeeInvisibilityDescription	Может видеть невидимых существ.
Rules/&ConditionSeeInvisibilityTitle	Видит невидимое
Rules/&ConditionSeverelyWoundedDescription	Скоро умрёт.
Rules/&ConditionSeverelyWoundedTitle	Сильное ранение
Rules/&ConditionShieldedByFaithDescription	Класс доспеха +2.
Rules/&ConditionShieldedByFaithTitle	Защита верой
Rules/&ConditionShieldedDescription	Класс доспеха повышен на 5, невосприимчивость к «Волшебному снаряду».
Rules/&ConditionShieldedTitle	Защита
Rules/&ConditionShockedDescription	Не может реагировать.
Rules/&ConditionShockedTitle	Шок
Rules/&ConditionSleetStormDescription	Труднопроходимая местность; может упасть и лежать, сильный заслон; необходимость проходить проверку концентрации.
Rules/&ConditionSleetStormTitle	В снегу с дождём
Rules/&ConditionSlowedDescription	Скорость уменьшена вдвое, -2 к КД и спасброскам на ЛОВ, не более одного действия или бонусного действия, нет реакции, не более одной атаки за ход, наложение заклинаний может завершиться неудачей.
Rules/&ConditionSlowedTitle	Замедление
Rules/&ConditionSpiderClimbDescription	Может лазать словно паук.
Rules/&ConditionSpiderClimbTitle	Паучья ловкость
Rules/&ConditionSpiritGuardiansDescription	Скорость уменьшена вдвое, может выдерживать урон в начале каждого хода.
Rules/&ConditionSpiritGuardiansSelfDescription	Персонаж защищён духами-стражами.
Rules/&ConditionSpiritGuardiansSelfTitle	Защита духов.
Rules/&ConditionSpiritGuardiansTitle	Атака духов
Rules/&ConditionStealthyDescription	Активно скрывается.
Rules/&ConditionStealthyTitle	Скрытность
Rules/&ConditionStunnedDescription	Не может передвигаться и действовать, атаки против существа выполняются с преимуществом, автоматически проваливает спасброски на силу и ловкость.
Rules/&ConditionStunnedTitle	Оглушение
Rules/&ConditionSurprisedDescription	Не может действовать в течение одного раунда.
Rules/&ConditionSurprisedTitle	Обескураженность
Rules/&ConditionTargetedByGuidingBoltDescription	Первая атака по этому существу проводится с преимуществом.
Rules/&ConditionTargetedByGuidingBoltTitle	Цель «Наводящегося разряда»
Rules/&ConditionTemporaryHitPointsDescription	Существо получает временные очки здоровья.
Rules/&ConditionTemporaryHitPointsTitle	Временные ОЗ
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	Урон от заклинаний воплощения повышается на бонус мастерства и бонус ИНТ.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Мистическая ярость
Rules/&ConditionTrueStrikeDescription	Заклинатель получает преимущество к первой атаке по цели заклинания.
Rules/&ConditionTrueStrikeTitle	Точный удар
Rules/&ConditionTurnedDescription	Надо отойти от заклинателя.
Rules/&ConditionTurnedTitle	Превращение
Rules/&ConditionTypeBeneficialFormat	Выгодное условие
Rules/&ConditionTypeDetrimentalFormat	Невыгодное условие
Rules/&ConditionTypeNeutralFormat	Нейтральное условие
Rules/&ConditionUnconsciousDescription	Не может действовать до пробуждения.
Rules/&ConditionUnconsciousTitle	Без сознания
Rules/&ConditionVampiricTouchDescription	Может выполнять вампирскую атаку заклинанием в ближнем бою на каждом ходу.
Rules/&ConditionVampiricTouchTitle	Прикосновение вампира
Rules/&ConditionWoundedDescription	Потеря части очков здоровья.
Rules/&ConditionWoundedTitle	Рана
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Вызывает проверку концентрации.
Rules/&CounterFormDisperseCloudFormat	Рассеивает облака поблизости.
Rules/&CounterFormDissipateSpellsFormat	Заклинания до {0}-го уровня автоматически развеиваются, в противном случае КС равен {1} + уровень заклинания.
Rules/&CounterFormExtinguishLightFormat	Гасит источники света поблизости.
Rules/&CounterFormInterruptSpellcastingFormat	Заклинания до {0}-го уровня автоматически контратакуются, в противном случае КС равен {1} + уровень заклинания.
Rules/&CounterFormRemoveDarknessFormat	Убирает области тьмы.
Rules/&DamageAcidDescription	Разъедающая струя дыхания чёрного дракона и жгучие ферменты, выделяемые чёрной слизью, наносят урон кислотой.
Rules/&DamageAcidTitle	Кислота
Rules/&DamageBludgeoningDescription	Атаки тупыми предметами, например молотами, падение, сдавливание и т. п. наносят дробящий урон.
Rules/&DamageBludgeoningTitle	Дробящий
Rules/&DamageColdDescription	Загробный холод, исходящий от копья ледяного дьявола, и стылое дыхание белого дракона наносят холодный урон.
Rules/&DamageColdTitle	Холодный
Rules/&DamageFireDescription	Красные драконы дышат огнём, а многие заклинания вызывают пламя. Всё это наносит огненный урон.
Rules/&DamageFireTitle	Огненный
Rules/&DamageForceDescription	Сила — чистая магическая энергия, сосредоточенная в разрушительной форме. Большинство эффектов, наносящих силовой урон, — заклинания, такие как «Волшебный снаряд» и «Духовное оружие».
Rules/&DamageForceTitle	Силовой
Rules/&DamageFormFormat	{0}{1}{2}{3} урон {4}
Rules/&DamageFormTightFormat	{0}{1}{2}{3} урон {4}
Rules/&DamageLightningDescription	Заклинание «Разряд молнии» и дыхание синего дракона наносят электрический урон.
Rules/&DamageLightningTitle	Электрический
Rules/&DamageNecroticDescription	Некротический урон, наносимый определёнными видами нежити и заклинаниями, например «Прикосновением холода», иссушает плоть и даже душу.
Rules/&DamageNecroticTitle	Некротический
Rules/&DamagePiercingDescription	Пронзающие атаки, например удары копьём и укусы чудовищ, наносят колющий урон.
Rules/&DamagePiercingTitle	Колющий
Rules/&DamagePoisonDescription	Ядовитые укусы и отравленное дыхание зелёного дракона наносят урон ядом.
Rules/&DamagePoisonTitle	Ядовитый
Rules/&DamagePsychicDescription	Ментальные способности наносят духовный урон.
Rules/&DamagePsychicTitle	Духовный
Rules/&DamageRadiantDescription	Сиятельный урон, наносимый заклинанием жреца «Огненный удар» или разящим оружием ангела, обжигает плоть, словно огонь, и поражает душу магической силой.
Rules/&DamageRadiantTitle	Сиятельный
Rules/&DamageSlashingDescription	Мечи, топоры и когти чудовищ наносят рубящий урон.
Rules/&DamageSlashingTitle	Рубящий
Rules/&DamageThunderDescription	Мощный акустический удар, например эффект заклинания «Громовая волна», наносит звуковой урон.
Rules/&DamageThunderTitle	Звуковой
Rules/&DamageTitle	Урон: 
Rules/&DcFormat	КС {0}
Rules/&DieD10Title	к10
Rules/&DieD12Title	к12
Rules/&DieD1Title	к1
Rules/&DieD20Title	к20
Rules/&DieD2Title	к2
Rules/&DieD3Title	к3
Rules/&DieD4Title	к4
Rules/&DieD6Title	к6
Rules/&DieD8Title	к8
Rules/&DivinationFormFormatIdentifyItem	Открывает все свойства предмета.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Ощущает присутствие некоторых типов существ: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Показывает существ или объекты по признаку: {0}.
Rules/&DurationAnyRestFormat	До любого отдыха
Rules/&DurationDayPluralFormat	{0} д.
Rules/&DurationDaySingleFormat	{0} день
Rules/&DurationHourPluralFormat	{0} ч. 
Rules/&DurationHourSingleFormat	{0} час 
Rules/&DurationInstantaneousFormat	Мгновенно
Rules/&DurationLessMinuteFormat	<1 мин.
Rules/&DurationLongRestFormat	До долгого отдыха
Rules/&DurationMinutePluralFormat	{0} мин. 
Rules/&DurationMinuteSingleFormat	{0} минута 
Rules/&DurationNoneFormat	{0} раунд 
Rules/&DurationPermanentFormat	Постоянное
Rules/&DurationRoundPluralFormat	{0} рнд. 
Rules/&DurationRoundSingleFormat	{0} раунд 
Rules/&DurationShortRestFormat	До короткого отдыха
Rules/&DurationUntilEndOfSourceTurnFormat	До конца хода исходного персонажа.
Rules/&DurationUntilEndOfTargetTurnFormat	До конца хода этого персонажа.
Rules/&DurationUntilStartOfSourceTurnFormat	До начала хода исходного персонажа.
Rules/&DurationUntilStartOfTargetTurnFormat	До начала хода этого персонажа.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Удар в ближнем бою
Rules/&EffectRangeRangeHitTitle	Удар в дальнем бою {0}
Rules/&EffectRangeSelfTitle	На себя
Rules/&EffectRangeTouchTitle	Прикосновение
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0}{1}
Rules/&EffectTargetIndividualsUniqueTitle	{0}{1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	В пределах видимости: {0}
Rules/&EffectTargetItemTitle	Предмет
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0}{1}
Rules/&EffectTargetPositionTitle	Земля
Rules/&EffectTargetSelfTitle	На себя
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0}{1}{2} — лечение
Rules/&HealingStabilize	Стабилизирует состояние умирающего существа.
Rules/&HeightFormatFeet	{0}'
Rules/&HeightFormatFeetInches	{0}";{0}英寸;{0}"
Rules/&ItemPropertyFormFormat	На выбранном предмете: \n{0}
Rules/&LightSourceFormFormat	источник света: {0} яркий + {1} тусклый 
Rules/&MaterialComponentTitle	М
Rules/&MotionFormLevitateFormat	{0} — поднять над землёй
Rules/&MotionFormPullFormat	{0} — подтянуть
Rules/&MotionFormPushFormat	{0} — оттолкнуть
Rules/&MotionFormTeleportFormat	{0} — телепортировать
Rules/&RateAtWillFormatTitle	по готовности
Rules/&RateChannelDivinityFormatTitle	короткий отдых
Rules/&Rated6FormatTitle	5 или 6 на 1к6
Rules/&RateDawnFormatTitle	рассвет
Rules/&RateHealingPoolFormatTitle	целительные силы
Rules/&RateLongRestFormatTitle	долгий отдых
Rules/&RateNoneFormatTitle	нет
Rules/&RateOneMinuteFormatTitle	каждую минуту
Rules/&RateShortRestFormatTitle	короткий отдых
Rules/&RateSpellSlotFormatTitle	ячейки заклинания
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Способность наложить заклинание «{0}».
Rules/&RecipeRequiredTooltypeFormat	Хорошее владение: {0}
Rules/&SaveAffinityHalfDamageTitle	({0} — спасбросок)
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(спасбросок каждый ход для отмены)
Rules/&SaveAffinityNegateTitle	(спасбросок для нивелирования)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Если атакующий удалён от цели:
Rules/&SituationalContextAttackerNextToTargetFormat	Если атакующий рядом с целью:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Если атакующий на возвышенности:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	если у атакующего есть союзник (в сознании) рядом с целью:
Rules/&SituationalContextNextToWallFormat	если существо рядом со стеной:
Rules/&SituationalContextTargetIsEffectSourceFormat	если существо атакует источник эффекта:
Rules/&SomaticComponentTitle	С
Rules/&SpellLevel0FormatTitle	Заговор
Rules/&SpellLevel1FormatTitle	1-й уровень
Rules/&SpellLevel2FormatTitle	2-й уровень
Rules/&SpellLevel3FormatTitle	3-й уровень
Rules/&SpellLevel4FormatTitle	4-й уровень
Rules/&SpellLevel5FormatTitle	5-й уровень
Rules/&SpellLevel6FormatTitle	6-й уровень
Rules/&SpellLevel7FormatTitle	7-й уровень
Rules/&SpellLevel8FormatTitle	8-й уровень
Rules/&SpellLevel9FormatTitle	9-й уровень
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Восстанавливает ячейки заклинаний в половину уровня класса (с округлением вверх) до {0}-го уровня.
Rules/&SummonFormCreaturesMultipleFormat	Призвать: {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Призвать: {0}.
Rules/&SummonFormEffectProxyFormat	Призвать под ваш контроль: «{0}» 
Rules/&SummonFormInventoryItemsMultipleFormat	Призвать в снаряжение: {0} (x {1})
Rules/&SummonFormInventoryItemsSingleFormat	Призвать в снаряжение: {0}
Rules/&TemporaryHitPointsFormFormat	{0}{1}{2} временных очк. здоровья
Rules/&TopologyFormProjectileBlockerFormat	Блокирует обычные снаряды (стрелы, арбалетные болты и т. п.)
Rules/&TopologyFormSightBlockerFormat	Блокирует обзор
