BlueprintCategory/&FlatRoomsTitle	Chambres à plat
Feature/&AdditionalActionDualFlurryTitle	Double rafale !
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Une fois par tour, vous pouvez infliger 1d6 dégâts supplémentaires à une créature que vous touchez avec une attaque qui répond à l'attaque sournoise de Rogue. Au niveau 7, ces dégâts passent à 2d6 et au niveau 14 à 3d6. Cela peut se cumuler avec l'attaque sournoise de Rogue.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Attaque sournoise ombragée
Feature/&AlwaysBeardDescription	{0} % de chances de faire pousser une magnifique barbe !
Feature/&ArmorofShadowsTitle	Armure des ombres
Feature/&AscendantStepTitle	Étape ascendante
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	Si votre total pour un test de Force est inférieur à votre score de Force, vous pouvez utiliser ce score à la place du total.
Feature/&BarbarianIndomitableMightTitle	Puissance indomptable
Feature/&BardSkillsTitle	Compétences de barde
Feature/&DeadeyeDescription	Attaquer à longue distance n'impose pas de désavantage à vos jets d'attaque avec une arme à distance. Vos armes à distance ignorent la demi couverture et les trois quarts de couverture. Vous pouvez choisir de prendre un bonus de malus de -5 à votre coup afin d'infliger un bonus de dégâts de +10.
Feature/&DeadeyeTitle	Deadeye
Feature/&DHConjureMinorElementalsBonusCantripDescription	Votre contrôle des énergies élémentaires a augmenté au point que vous avez maintenant la domination sur les élémentaux plus faibles. Vous pouvez lancer conjuration d'élémentaire mineur à volonté.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Sbires élémentaires
Feature/&DHHolyAuraBlindingPowerDescription	Lorsqu'un démon ou un mort-vivant frappe une créature affectée avec une attaque au corps à corps, l'aura clignote d'une lumière brillante. L'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
Feature/&DHHolyAuraBlindingPowerTitle	Aura sacrée Représailles
Feature/&DHWardingBondBonusCantripDescription	Votre contrôle des portails de faille a augmenté au point que vous pouvez désormais accorder la protection de la faille à d'autres. Vous pouvez lancer Lien protecteur à volonté (sans partager les dégâts).
Feature/&DHWardingBondBonusCantripTitle	Cape de faille
Feature/&DreadfulWordTitle	Mot terrible
Feature/&DualFlurryDescription	Vous êtes un maître du combat avec des armes jumelées. À chaque tour où vous frappez deux fois avec des attaques de mêlée tout en brandissant une arme dans chaque main, vous pouvez effectuer une attaque secondaire supplémentaire.
Feature/&DualFlurryTitle	Double rafale
Feature/&EmptyString	VIDE
Feature/&FiendishVigorTitle	Vigueur diabolique
Feature/&IndomitableResistanceAddDescription	+1 Utilisation de la Résistance indomptable entre les repos.
Feature/&IndomitableResistanceAddTitle	Résistance indomptable (augmentée)
Feature/&IndomitableResistanceTitle	Résistance indomptable
Feature/&MiretheMindTitle	Mire l'esprit
Feature/&PowerAttackDescription	Prenez une pénalité de -3 pour toucher votre attaque pour infliger 3 + bonus de dégâts supplémentaires lorsque vous frappez avec des armes de mêlée.
Feature/&PowerAttackTitle	Attaque puissante
Feature/&PowerPaladinAuraOfCourage18Description	Confère un bonus de jet de sauvegarde aux alliés à moins de 9 mètres.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de courage améliorée
Feature/&PowerPaladinAuraOfProtection18Description	Vous et vos alliés à moins de 9 mètres ne pouvez pas être effrayés.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protection améliorée
Feature/&PowerTorchbearerDescription	Essayez de mettre le feu à une cible de mêlée !
Feature/&PowerTorchbearerTitle	Porte-flambeau
Feature/&PrimalChampionDescription	Au niveau 20, vous incarnez le pouvoir de la nature. Vos valeurs de Force et de Constitution augmentent de 4.
Feature/&PrimalChampionTitle	Champion primordial
Feature/&ProficiencyRogueBlindSenseDescription	À partir du niveau 14, si vous êtes capable d'entendre, vous êtes conscient de l'emplacement de toute créature cachée ou invisible à moins de 3 mètres de vous.
Feature/&ProficiencyRogueBlindSenseTitle	Sens aveugle
Feature/&ProficiencyRogueSlipperyMindDescription	Au niveau 15, vous avez acquis une plus grande force mentale. Vous maîtrisez les jets de sauvegarde de Sagesse.
Feature/&ProficiencyRogueSlipperyMindTitle	Esprit glissant
Feature/&RageDamageBonusAttackModifierDescription	Ajoute +2 dégâts à vos attaques pendant que vous êtes en rage.
Feature/&RageDamageBonusAttackModifierTitle	Dégâts de rage
Feature/&RageFeatConditionDescription	Lorsque vous êtes en rage, vous gagnez les avantages suivants : un avantage aux tests de Force et aux jets de sauvegarde de Force, un bonus de +2 aux jets de dégâts et une résistance aux dégâts contondants, perforants et tranchants.
Feature/&RageFeatConditionTitle	Rage
Feature/&RagePowerDescription	En tant qu'action bonus, vous entrez en rage pendant une minute et gagnez : un avantage aux tests de Force et aux jets de sauvegarde de Force, un bonus aux jets de dégâts de +2 et une résistance aux dégâts contondants, perforants et tranchants.
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	Vous bénéficiez d'un avantage sur les sauvegardes de Force lorsque vous êtes en rage.
Feature/&RageStrengthSavingThrowAffinityTitle	Avantage de sauvegarde de Force de rage
Feature/&RangerFeralSensesDescription	Vous gagnez des sens surnaturels qui vous aident à combattre des créatures que vous ne pouvez pas voir. Lorsque vous attaquez une créature que vous ne pouvez pas voir, votre incapacité à la voir n'impose pas de désavantage à vos jets d'attaque contre elle.
Feature/&RangerFeralSensesTitle	Sens sauvages
Feature/&RangerVanishActionDescription	À partir du niveau 14, vous pouvez utiliser l'action Cacher comme une action bonus à votre tour.
Feature/&RangerVanishActionTitle	Disparaître
Feature/&SignofIllOmenTitle	Signe de mauvais augure
Feature/&TrickstersEscapeTitle	L'évasion d'un escroc
Feature/&ZSPowerPaladinCleansingTouchDescription	Supprimez les effets des sorts en touchant un allié. Vous pouvez le faire un nombre de fois par jour égal à votre modificateur de Charisme.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toucher nettoyant
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arme aveuglante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dégâts supplémentaires et tentative d'application de la cécité de l'arme aveuglante
Feedback/&AdditionalDamageElementalDamageFormat	Dégâts élémentaires
Feedback/&AdditionalDamageElementalDamageLine	La forme élémentaire inflige des dégâts supplémentaires
Feedback/&AdditionalDamageResonatingStrikeFormat	Frappe retentissante !
Feedback/&AdditionalDamageResonatingStrikeLine	{0} résonne {1} ! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered inflige des dégâts supplémentaires !
Feedback/&AdditionalDamageSunlightBladeFormat	Lame ensoleillée !
Feedback/&AdditionalDamageSunlightBladeLine	{0} brûle {1} avec Sunlit Blade ! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Dégâts améliorés
Feedback/&AdditionalDamageUpgradedConstructLine	La construction améliorée inflige 1d8 dégâts supplémentaires par coup.
Feedback/&ExtraDamageDescription	Dégâts supplémentaires de Lightning Spear.
Feedback/&ExtraDamageTitle	Dégâts supplémentaires de Lightning Spear
Feedback/&NotifyEffectResonatingStrikeLine	{0} résonne {1} !
Format/&LevelAndExperienceFormat	Niveau : {0}\nExpérience : {1}\n{2} points requis pour atteindre le niveau {3}
Format/&LevelAndExperienceMaxedFormat	Niveau : {0}\nExpérience : {1}\nniveau maximum atteint
MainMenu/&ExportPdfDescription	Nivelez ce héros.
MainMenu/&ExportPdfTitle	Descendre d'un niveau
Message/&CharacterExportDuplicateNameErrorDescription	Exportation annulée :\n\nUn héros portant ce nom existe déjà dans le pool.\nVeuillez essayer un autre nom.
Message/&CharacterExportEmptyNameErrorDescription	Exportation annulée :\n\nVeuillez essayer un nom non vide.
Message/&CharacterExportModalContentDescription	Saisissez le nom du héros à exporter :
Message/&CharacterExportModalTitleDescription	Exportation de personnage.
Message/&LevelDownConfirmationDescription	Nivelez ce héros ?
Message/&LevelDownMultiplayerAbortDescription	Impossible de descendre de niveau pendant une session multijoueur.
Message/&MessageModWelcomeDescription	Le Community Expansion Mod regorge de fonctionnalités intéressantes, mais par défaut, aucune n'est activée. Appuyez sur <color=yellow>Ctrl-F10</color> pour ouvrir l'interface utilisateur de Unity Mod Manager [UMM], puis cliquez sur l'icône des paramètres à côté de "Community Expansion" pour ouvrir les pages de paramètres.\n\n Explorez les options et sélectionnez celles que vous aimez. L'interface utilisateur UMM va maintenant s'ouvrir.
Message/&MessageModWelcomeTitle	Mod d'expansion de la communauté
Message/&RespecMultiplayerAbortDescription	Respécialisation impossible pendant une session multijoueur ou sur une carte d'exploration.
Message/&SpawnCustomEncounterDescription	Générer une rencontre aux coordonnées ({0}, {1}) ?
Message/&SpawnCustomEncounterErrorDescription	Impossible de générer des rencontres sur une partie multijoueur. Encore...
Message/&SpawnCustomEncounterTitle	Rencontre
Message/&TeleportPartyDescription	Téléporter le groupe aux coordonnées ({0}, {1}) ?\nVous pourriez casser des quêtes ou des cartes si vous vous téléportez dans un endroit inconnu.
Message/&TeleportPartyTitle	Téléportation
Monster/&DHCustomCouatlDescription	Les Couatls sont des êtres serpentins bienveillants d'une grande intelligence et perspicacité. Leurs ailes brillamment colorées et leurs manières douces témoignent de leurs origines célestes.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Chouette Familier.
Monster/&OwlFamiliarTitle	Chouette
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Dégâts perforants et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonnée pendant 24 heures. Jusqu'à la fin de ce poison, la cible est inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morsure
Power/&FindFamiliarBundlePowerDescription	Invocation de familier sous la forme de Pseudorgagon, Sprite, Imp ou Quasit.
Power/&FindFamiliarBundlePowerTitle	Trouver un familier
Power/&HelpActionDescription	Vous pouvez aider une créature alliée à attaquer une créature à 1,50 mètre ou moins de vous. Vous feignez, distrayez la cible ou faites équipe d'une autre manière pour rendre l'attaque de votre allié plus efficace. Si votre allié attaque la cible avant votre prochain tour, le premier jet d'attaque est effectué avec avantage.
Power/&HelpActionTitle	Aider
Power/&PowerFunctionHandwrapsOfPullingDescription	Par une action bonus, vous pouvez attirer une créature dans un rayon de 4,50 mètres vers vous.
Power/&PowerFunctionHandwrapsOfPullingTitle	Ramener
Reaction/&CoordinatedAttackDescription	{0} a été attaqué en coordonnant l'attaque, certains personnages peuvent utiliser leur réaction pour rejoindre cette attaque.
Reaction/&CoordinatedAttackReactDescription	Utilisez la réaction pour attaquer la cible.
Reaction/&CoordinatedAttackReactTitle	Attaque
Reaction/&CoordinatedAttackTitle	Attaque coordonnée
Reaction/&ReadiedAction{0}Description	Prêt {0}
Reaction/&ReadiedAction{0}Title	Prêt {0}
Reaction/&SpendPower{0}Description	Dépensez {0}
Reaction/&SpendPower{0}Title	Dépensez {0}
Reaction/&SubitemSelectCoordinatedAttackTitle	Sélectionnez l'action
Reaction/&SubitemSelectPowerBundleTitle	Choix
Reaction/&SubitemSelectSlotLevelTitle	Niveau d'emplacement
Reaction/&SubitemSelectWarcasterReactionTitle	Sélectionnez l'action
Reaction/&Use{0}Description	Utilisez {0}
Reaction/&Use{0}Title	Utilisez {0}
Reaction/&WarcasterAttackDescription	Cible d'attaque.
Reaction/&WarcasterAttackTitle	Attaque
Reaction/&WarcasterReactionDescription	{0} quitte une zone menacée par un ou plusieurs personnages.
Reaction/&WarcasterReactionReactDescription	Utilisez la réaction pour attaquer la cible.
Reaction/&WarcasterReactionReactTitle	Attaque
Reaction/&WarcasterReactionTitle	Attaque d'opportunité
Requirement/&FeatureSelectionRequireCharacterLevel	Niveau {0}
Requirement/&FeatureSelectionRequireClassLevel	Niveau {0} sur {1}
RestActivity/&ZSRespecDescription	Respectez ce héros.
RestActivity/&ZSRespecTitle	Respecter
RestActivity/&ZSSorcerousRestorationDescription	Récupérez 4 points de sorcellerie pendant un repos court.
RestActivity/&ZSSorcerousRestorationTitle	Restauration Sorcière
Rules/&AdvantageAttackOnEnemyDescription	Avantage d'attaquer l'ennemi.
Rules/&AdvantageAttackOnEnemyTitle	Illuminé
Rules/&CounterFormDismissCreatureFormat	Ignorer la construction du bricoleur
Rules/&DisadvantageOnAttackByEnemyDescription	Distrait par un coup de foudre.
Rules/&DisadvantageOnAttackByEnemyTitle	Secoué
Rules/&ExtraDamageOnAttackConditionDescription	Dégâts supplémentaires de Lightning Spear.
Rules/&ExtraDamageOnAttackConditionTitle	Statique choqué
Screen/&EditorLocationSize3Title	Énorme [MODÉ]
Screen/&EditorLocationSize4Title	Gargantuesque [MODÉ]
Sorceror/&ZSSorcerousRestorationDescription	Récupérez 4 points de sorcellerie pendant un repos court.
Sorceror/&ZSSorcerousRestorationTitle	Restauration Sorcière
Stage/&IdentityMorphotypeEyeHeader	Style des yeux
Stage/&SubclassSelectionStageSpecialistDescription	Il existe un large éventail de spécialités chez les bricoleurs, notamment la fabrication d'élixirs en tant que fabricant de potions, la fabrication d'explosions en tant que blaster et le maniement d'armes magiques en tant que forgeron d'armes.
Stage/&SubclassSelectionStageSpecialistFeatures	Caractéristiques spécialisées
Stage/&SubclassSelectionStageSpecialistHeader	Spécialisations
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spécialiste Aucun Description.
Stage/&SubclassSelectionStageSpecialistTitle	Sélectionnez la spécialisation
Subclass/&ConditionResistnatArmorDescription	Votre armure est résistante aux dommages causés par l'acide, le froid, le feu, la force, la foudre, la nécrose, le poison, le psychique, le rayonnement et le tonnerre.
ToolTip/&CheckBoxDefaultPartyTitle	Cochez cette case pour définir votre groupe par défaut lorsque vous démarrez de nouvelles aventures ou testez des emplacements personnalisés. Vous pouvez sélectionner jusqu'à {0} héros selon le principe du premier entré / premier sorti
Tooltip/&DeadeyeConcentration	Désactivez Deadeye.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	Ne sait pas {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	A une attaque furtive
Tooltip/&FeatPrerequisiteIsNotBarbarian	n'est pas un barbare
Tooltip/&FeatPrerequisiteIsNotFighter	N'est pas un combattant
Tooltip/&FeatPrerequisiteIsNotRogue	N'est-ce pas un voleur
Tooltip/&FeatPrerequisiteLevelFormat	Niveau de personnage minimum {0}
Tooltip/&PowerAttackConcentration	Désactivez l'attaque puissante.
Tooltip/&Tag9000Title	Effet personnalisé
Tooltip/&TagCommunityExpansionTitle	Expansion de la communauté
Tooltip/&TagMaledictionTitle	Bon sang
Tooltip/&TagOtherModContentTitle	À partir du module
Tooltip/&TagPolearmWeaponTitle	Arme d'hast
UI/&CustomFeatureSelectionStageDescription	Sélectionnez des fonctionnalités supplémentaires dans votre classe/sous-classe.
UI/&CustomFeatureSelectionStageFeatures	Fonctionnalités
UI/&CustomFeatureSelectionStageNotDone	Vous devez sélectionner toutes les fonctionnalités disponibles avant de continuer
UI/&CustomFeatureSelectionStageTitle	Sélection de fonctionnalité
UI/&CustomFeatureSelectionTooltipTypeCantrip	cantrip
UI/&CustomFeatureSelectionTooltipTypeFeature	Caractéristique
UI/&CustomFeatureSelectionTooltipTypePower	Du pouvoir
UI/&CustomFeatureSelectionTooltipTypeProficiency	Compétence
UI/&ForcePreferredCantripDescription	Si cette option est activée, seul le cantrip préféré peut se déclencher. Si le sort mineur préféré n'est pas sélectionné, le premier sort mineur valide se déclenchera, quelle que soit cette bascule.
UI/&ForcePreferredCantripTitle	Forcer le sort mineur préféré
Reaction/&SpendPowerBundleTitle	Dépenser de l'énergie
Reaction/&SpendPowerBundleDescription	Dépensez de l'énergie.
