Condition/&ConditionDualFlurryApplyDescription	Vous créez une dynamique...
Feat/&FeatFeyTeleportationChaDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous pouvez utiliser pas de brume une fois par repos court et vous pouvez lancer ce sort avec vos emplacements de sorts.\nVous gagnez la maîtrise de Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Téléportation féerique (Charisme)
Feat/&FeatFeyTeleportationIntDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous pouvez utiliser pas de brume une fois par repos court et vous pouvez lancer ce sort avec vos emplacements de sorts.\nVous gagnez la maîtrise de Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Téléportation féerique (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous pouvez utiliser pas de brume une fois par repos court et vous pouvez lancer ce sort avec vos emplacements de sorts.\nVous gagnez la maîtrise de Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Téléportation féerique (Sagesse)
Feat/&FeatFightingSurgeDexterityDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nÀ votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action habituelle. Une fois que vous avez utilisé cette fonctionnalité, vous devez terminer un repos long avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeDexterityTitle	Afflux de combat (Dextérité)
Feat/&FeatFightingSurgeStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nÀ votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action habituelle. Une fois que vous avez utilisé cette fonctionnalité, vous devez terminer un repos long avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeStrengthTitle	Afflux de combat (Force)
Feat/&FeatHeavyArmorMasterClassDescription	Vous gagnez en résistance aux dégâts contondants, tranchants et perforants.
Feat/&FeatHeavyArmorMasterClassTitle	Maîtrise de la défense lourde
Feat/&FeatImprovedCriticalDescription	Vos attaques sont des coups critiques sur un jet de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Critique amélioré
Feat/&FeatIntIncrementDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.
Feat/&FeatIntIncrementTitle	Augmentation des attributs d'intelligence
Feat/&FeatLightArmorDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise des armures légères.
Feat/&FeatLightArmorProficiencyDescription	Maîtriser l'armure légère.
Feat/&FeatLightArmorProficiencyTitle	Armure légère
Feat/&FeatLightArmorTitle	Armure légère
Feat/&FeatMarksmanDescription	Lorsqu'un adversaire que vous pouvez voir vous attaque avec une arme à distance ou un sort et qu'il se trouve à au moins 3 mètres de vous, vous pouvez utiliser votre réaction pour effectuer une attaque avec une arme à distance une fois l'attaque déclenchée terminée.
Feat/&FeatMarksmanTitle	Buteur
Feat/&FeatMediumArmorDexDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nVous maîtrisez l'armure moyenne et les boucliers.
Feat/&FeatMediumArmorDexTitle	Armure moyenne (Dextérité)
Feat/&FeatMediumArmorProficiencyDescription	Vous maîtrisez les armures et les boucliers moyens.
Feat/&FeatMediumArmorProficiencyTitle	Armure moyenne
Feat/&FeatMediumArmorStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous maîtrisez les armures et les boucliers moyens.
Feat/&FeatMediumArmorStrengthTitle	Armure moyenne (Force)
Feat/&FeatMetamagicAdeptCarefulDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie Attention et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptCarefulTitle	Métamagique : Attention
Feat/&FeatMetamagicAdeptDistantDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie lointaine et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptDistantTitle	Métamagique : Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie renforcée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Métamagique : Renforcé
Feat/&FeatMetamagicAdeptExtendedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie étendue et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptExtendedTitle	Métamagique : étendu
Feat/&FeatMetamagicAdeptHeightenedDescription	Vous apprenez la métamagie accrue et gagnez 4 points de sorcellerie.
Feat/&FeatMetamagicAdeptHeightenedTitle	Métamagique : Intensifiée
Feat/&FeatMetamagicAdeptQuickenedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie accélérée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptQuickenedTitle	Métamagique : Accéléré
Feat/&FeatMetamagicAdeptTwinnedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie jumelée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptTwinnedTitle	Métamagique : Jumelé
Feat/&FeatPrimalConstitutionDescription	Augmentez votre Constitution de 1, jusqu'à un maximum de 20.\nVous pouvez entrer dans une rage en tant qu'action bonus telle que définie dans la capacité de classe de rage du barbare avec +1 dégâts de rage qui peuvent se cumuler avec la rage du barbare. Une fois que vous avez fait rage de cette façon, vous devez terminer un repos long avant d'utiliser à nouveau cette capacité.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Constitution.
Feat/&FeatPrimalConstitutionTitle	Rage primordiale (Constitution)
Feat/&FeatPrimalStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous pouvez entrer dans une rage en tant qu'action bonus telle que définie dans la capacité de classe de rage du barbare avec +1 dégâts de rage qui peuvent se cumuler avec la rage du barbare. Une fois que vous avez fait rage de cette façon, vous devez terminer un repos long avant d'utiliser à nouveau cette capacité.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Constitution.
Feat/&FeatPrimalStrengthTitle	Rage Primale (Force)
Feat/&FeatPugilistFightingStlyeDescription	Vos frappes à mains nues infligent 1d4 dégâts contondants supplémentaires et vous pouvez frapper avec votre main secondaire en tant qu'action bonus.\nSi vous avez une main libre, vous pouvez pousser en tant qu'action bonus.
Feat/&FeatPugilistFightingStlyeTitle	Style de combat : Pugiliste
Feat/&FeatRangedExpertDescription	Votre formation d'expert aux armes à distance vous confère ces avantages :\n• Vous n'avez plus de désavantage sur les attaques à distance lorsqu'il y a un ennemi à moins de 1,50 mètre de vous.\n• Si vous effectuez l'action Attaquer à votre tour, vous pouvez utiliser une action bonus pour effectuer une attaque avec une arme à distance ou de jet à une main.
Feat/&FeatRangedExpertTitle	Expert à distance
Feat/&FeatSavageAttackerDescription	Relancez les dés de dégâts des armes et des sorts lorsque vous obtenez un 1 (ceci ne relance pas les dés de toutes les sources de dégâts. Par exemple, les dégâts d'attaque sournoise et de châtiment ne sont pas relancés).
Feat/&FeatSavageAttackerReroll	En raison d'être un attaquant sauvage, {0} relance le {1} dé d'un {2} à un {3}
Feat/&FeatSavageAttackerTitle	Attaquant sauvage
Feat/&FeatShadowTouchedChaDescription	Augmentez votre attribut Charisme de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedChaTitle	Touché par l'ombre (charisme)
Feat/&FeatShadowTouchedIntDescription	Augmentez votre attribut Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedIntTitle	Touché par l'Ombre (Intelligence)
Feat/&FeatShadowTouchedWisDescription	Augmentez votre attribut Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedWisTitle	Ombre touchée (sagesse)
Feat/&FeatShadyDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nUne fois par tour, vous pouvez infliger 1d6 dégâts supplémentaires à une créature que vous touchez avec une attaque qui répond aux exigences de l'attaque sournoise du voleur. Au niveau 12, ces dégâts passent à 2d6 et au niveau 20, à 4d6.
Feat/&FeatShadyTitle	Ombragé
Feat/&FeatShieldExpertDescription	Vous vous êtes entraîné à utiliser un bouclier comme arme. Pour vous, cela devient une arme de mêlée que vous maîtrisez et qui inflige 1d4 dégâts contondants.\nVous gagnez un avantage sur les tentatives de bousculade tout en brandissant un bouclier.
Feat/&FeatShieldExpertTitle	Spécialiste du bouclier
Feat/&FeatStrengthIncrementDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.
Feat/&FeatStrengthIncrementTitle	Augmentation d'attribut
Feat/&FeatTelekineticChaDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur de Charisme) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticChaPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticChaPullTitle	Tir télékinésique
Feat/&FeatTelekineticChaPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticChaPushTitle	Poussée télékinétique
Feat/&FeatTelekineticChaTitle	Télékinésie (Charisme)
Feat/&FeatTelekineticIntDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur d'Intelligence) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticIntPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticIntPullTitle	Tir télékinésique
Feat/&FeatTelekineticIntPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticIntPushTitle	Poussée télékinétique
Feat/&FeatTelekineticIntTitle	Télékinésie (Intelligence)
Feat/&FeatTelekineticWisDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur de Sagesse) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticWisPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticWisPullTitle	Tir télékinésique
Feat/&FeatTelekineticWisPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticWisPushTitle	Poussée télékinétique
Feat/&FeatTelekineticWisTitle	Télékinésie (Sagesse)
Feat/&FeatTitanFightingDescription	Vous gagnez un +2 pour toucher contre les créatures de taille G ou plus.
Feat/&FeatTitanFightingTitle	Style de combat : Combat contre les Titans
Feat/&FeatToughDescription	Votre maximum de points de vie augmente d'un montant égal à deux fois votre niveau lorsque vous obtenez ce don. Chaque fois que vous gagnez un niveau par la suite, votre maximum de points de vie augmente de 2 points de vie supplémentaires.
Feat/&FeatToughTitle	Dure
Feat/&FeatWarCasterDescription	Vous obtenez un avantage sur les contrôles pour maintenir la concentration.\nVous gagnez la capacité d'exécuter la composante somatique des sorts même avec les deux mains pleines.\nLorsque le mouvement d'une créature hostile provoque une attaque d'opportunité de votre part, vous pouvez utiliser votre réaction pour lancer un sort mineur sur la créature, plutôt que de faire une attaque d'opportunité. Le sort mineur doit avoir un temps d'incantation de 1 action ou action bonus et ne doit cibler que cette créature.
Feat/&FeatWarCasterTitle	Lanceur de guerre
Feat/&FeatWiseDefenseDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Sagesse.
Feat/&FeatWiseDefenseTitle	Défense sage
Feat/&FeatWisePrecisionDescription	Vous pouvez utiliser une action bonus pour sélectionner une arme. Ses attaques comptent comme magiques et vous utilisez votre Sagesse pour vos jets d'attaque et de dégâts pendant 1 minute. Cette fonctionnalité peut être utilisée deux fois par repos long.
Feat/&FeatWisePrecisionTitle	Précision sage
Feat/&FeatWisIncrementDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.
Feat/&FeatWisIncrementTitle	Augmentation de l'attribut de sagesse
Feat/&FeyTeleportationLanguageTirmarianDescription	Vous gagnez la maîtrise de Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	tirmarien
Feat/&FightingStyleArcheryDescription	Vous gagnez un bonus de +2 aux jets d'attaque avec des armes à distance.
Feat/&FightingStyleArcheryTitle	Style de combat : Tir à l'arc
Feat/&FightingStyleDefenseDescription	Tant que vous portez une armure, vous gagnez un bonus de +1 à la CA.
Feat/&FightingStyleDefenseTitle	Style de combat : Défense
Feat/&FightingStyleDuelingDescription	Lorsque vous maniez une arme de mêlée dans une main et aucune autre arme, vous gagnez un bonus de +2 aux jets de dégâts avec cette arme.
Feat/&FightingStyleDuelingTitle	Style de combat : Duel
Feat/&FightingStyleGeneralFeatDescription	Vous pouvez sélectionner un style de combat.
Feat/&FightingStyleGeneralFeatitle	Style de combat
Feat/&FightingStyleGreatWeaponDescription	Lorsque vous obtenez un 1 ou un 2 sur un dé de dégâts pour une attaque que vous effectuez avec une arme de mêlée que vous maniez à deux mains, vous pouvez relancer le dé. Vous devez utiliser le nouveau jet, même s'il s'agit d'un 1 ou d'un 2. L'arme doit avoir la propriété à deux mains ou polyvalente pour que vous puissiez bénéficier de cet avantage.
Feat/&FightingStyleGreatWeaponTitle	Style de combat : Grande arme
Feat/&FightingStyleProtectionDescription	Lorsqu'une créature que vous pouvez voir attaque une cible autre que vous qui se trouve à 1,50 mètre ou moins de vous, vous pouvez utiliser votre réaction pour infliger un désavantage au jet d'attaque. Vous devez brandir un bouclier.
Feat/&FightingStyleProtectionTitle	Style de combat : Protection
Feat/&FightingStyleTwoWeaponDescription	Lorsque vous vous engagez dans un combat à deux armes, vous pouvez ajouter votre modificateur de capacité aux dégâts de la deuxième attaque.
Feat/&FightingStyleTwoWeaponTitle	Style de combat : Deux armes
Feat/&ForceStrikePowerDescription	Attaque à distance 1d6 dégâts de force de votre fidèle acolyte.
Feat/&ForceStrikePowerTitle	Force Sling (serviteur artificiel)
Feat/&GauntletsGrappleDescription	Peut désormais attirer les ennemis au corps à corps avec une action bonus et infliger 1d8 dégâts de tonnerre.
Feat/&GauntletsGrappleTitle	Gantelet grappin
Feat/&HealerDescription	Vous acquérez une compétence ou une expertise dans les contrôles de médecine. Vous gagnez la capacité de stabiliser une créature mourante ainsi que de faire revivre une créature morte au cours des 12 dernières secondes une fois par repos long. Vous pouvez utiliser une action pour restaurer 1d6 + 4 + points de vie du niveau du personnage un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerResuscitateDescription	Utilisez une action pour faire revivre une créature qui est morte dans les 15 dernières secondes.
Feat/&HealerResuscitateTitle	Réanimer
Feat/&HealerStabilizeDescription	Utilisez une action pour stabiliser une créature mourante.
Feat/&HealerStabilizeTitle	Stabiliser
Feat/&HealerTitle	Guérisseur
Feat/&HealerUseMedicineDescription	Vous pouvez utiliser une action pour restaurer 1d6 + 4 + points de vie du niveau du personnage un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerUseMedicineTitle	Utiliser des médicaments
Feat/&IncreaseConstructSelectingDescription	Vous pouvez maintenant invoquer deux constructions d'artillerie. Les constructions peuvent être de modes identiques ou différents.
Feat/&IncreaseConstructSelectingTitle	Renforts
Feat/&InspiringLeaderDescription	Une fois par repos court, vous pouvez passer 10 minutes à inspirer jusqu'à 6 créatures alliées (dont vous-même) à moins de 9 mètres de vous. Chaque créature gagne des points de vie temporaires égaux à votre niveau + votre modificateur de Charisme.
Feat/&InspiringLeaderTitle	Chef inspirant
Feat/&IntToAttackAndDamageDescription	Vous pouvez utiliser votre modificateur d'Intelligence, au lieu du modificateur de Force ou de Dextérité, pour vos jets d'attaque et de dégâts avec Armes blindées.
Feat/&IntToAttackAndDamageTitle	Arme d'armure
Feat/&MendingConstructDescription	Réparez votre assemblage pour 2d6 PV en 1 minute.
Feat/&MendingConstructTitle	Construction de réparation
Feat/&ModeSwitchingPoolDescription	Vous pouvez passer d'un mode à l'autre une fois par repos court en créant et en utilisant des armes temporaires.
Feat/&ModeSwitchingPoolTitle	Mode armure
Feat/&PickPocketFeatDescription	Vous gagnez en maîtrise de Sleight of Hand, ou en expertise si vous êtes déjà compétent. Vous avez également un avantage sur les tests de dextérité de Sleight of Hand.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	Vous gagnez la capacité d'administrer un élixir qui enhardit vos alliés, leur fournissant 4d6 + modificateur d'Intelligence points de vie temporaires.
Feat/&PowerAlchemistEmboldeningShotsTitle	Coups enhardissants
Feat/&PowerAttackFeatDescription	Vous avez appris à échanger la précision pour porter des coups plus meurtriers. Lorsque vous attaquez avec des armes de mêlée, vous pouvez choisir de subir un malus de -3 à votre toucher afin d'infliger des dégâts supplémentaires égaux à 3 + votre bonus de maîtrise.
Feat/&PowerAttackFeatTitle	Attaque puissante
Feat/&PowerFalseLifeFromFeatDescription	En vous renforçant avec un fac-similé nécromantique de la vie, vous gagnez 1d4 + 4 points de vie temporaires pour la durée.
Feat/&PowerFalseLifeFromFeatTitle	Fausse vie
Feat/&PowerInflictWoundsFromFeatDescription	Effectuez une attaque au corps à corps avec un sort contre une créature à votre portée. En cas de coup, la cible subit 3d10 dégâts nécrotiques.
Feat/&PowerInflictWoundsFromFeatTitle	Infliger des blessures
Feat/&PowerInvisibilityFromFeatDescription	Une créature que vous touchez devient invisible jusqu'à la fin du sort. Tout ce que la cible porte ou transporte est invisible tant qu'il est sur la personne de la cible. Le sort prend fin pour une cible qui attaque ou lance un sort.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilité
Feat/&PowerMistyStepFromFeatDescription	Brièvement entouré de brume argentée, vous vous téléportez jusqu'à 9 mètres dans un espace inoccupé que vous pouvez voir.
