ModUi/&AddAllToStore	Ajouter tout au magasin
ModUi/&EnableHotkeyToggleHud	Activez <color=cyan>CTRL-SHIFT-(H</color>)ud pour basculer la visibilité de tous les panneaux de l'interface utilisateur
ModUi/&EnableHotkeyToggleIndividualHud	Activer <color=cyan>CTRL-SHIFT-(C</color>)panneau de contrôle, <color=cyan>CTRL-SHIFT-(L</color>)og, <color=cyan>CTRL-SHIFT-(M</color>)ap et <color=cyan>CTRL-SHIFT-(P</color>)arty pour basculer la visibilité de chaque panneau de l'interface utilisateur
ModUi/&EnableHotkeyZoomCamera	Activer la caméra <color=cyan>CTRL-SHIFT-(Z</color>)oom <i><color=yellow>[utile lors de la prise de captures d'écran de donjon pour la publication]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ contournement uniquement si pas un coup critique</i>
ModUi/&EnableInventoryFilteringAndSorting	Activer le filtrage et le tri de l'inventaire
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Tache en rouge tout objet que le héros ne maîtrise pas</i>
ModUi/&EnableInvisibleCrownOfTheMagister	Masquez la <color=orange>couronne du magister</color> sur l'interface utilisateur du jeu
ModUi/&EnableLevel20	Activer le niveau 20 <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&EnableLogDialoguesToConsole	Activer les dialogues de journal sur la console de jeu pendant les séquences narratives
ModUi/&EnableMinInOutAttributes	Appliquer les scores de capacité minimum in & out pré-requis
ModUi/&EnableOnTheFlyTranslations	Activer les traductions de contenu personnalisé en temps réel <i><color=yellow>[nécessite une connexion sortante en direct. vers https://translate.googleapis.com]</color></i>
ModUi/&EnableRelearnSpells	Peut sélectionner des tours mineurs ou des sorts déjà appris d'autres classes
ModUi/&EnableRespec	Activer les actions RESPEC et Level Down après repos
ModUi/&EnablesAsiAndFeat	Activer à la fois l'augmentation des scores d'attribut et la sélection des exploits <i><color=yellow>[au lieu d'un choix exclusif]</color></i>
ModUi/&EnableSaveByLocation	Activer l'enregistrement par campagnes/emplacements
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Activer la recharge de repos court de <color=orange>Arcane Weapon</color> sur <color=orange>Wizard</color> Arcane Fighter
ModUi/&EnableTeleportParty	Activer <color=cyan>CTRL-SHIFT-(T</color>)eleport party <i><color=yellow>[vous pourriez casser des quêtes ou des cartes si vous vous téléportez vers un lieu inconnu]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Activez les bascules sur le groupe de personnages pour définir votre partie de jeu et de test par défaut
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Activez la <color=orange>récupération arcanique</color> illimitée sur <color=orange>Wizard</color> Spell Master\n<i><color=yellow>Doit être activé lorsque la capacité a des utilisations disponibles ou avant la création du personnage</color></i>
ModUi/&EnableUpcastConjureElementalAndFey	Activer l'upcast de <color=orange>Conjure Elemental</color>, <color=orange>Conjure Fey</color>
ModUi/&Encounters	Rencontres
ModUi/&ExecuteBatchTranslations	. Traduire par lot à la place pour créer un nouveau fichier de campagne traduit\n. Les campagnes sont sauvegardées dans le pool préfixé par la langue cible.
ModUi/&ExpandAll	Développer tout
ModUi/&FactionHelp	<color=#C04040E0>Chargez un jeu de campagne officiel pour modifier les relations entre les factions...</color>
ModUi/&FactionRelations	<color=yellow>Relations entre factions :</color>
ModUi/&FasterTimeModifier	<color=white>Modificateur de temps de jeu en appuyant sur la barre d'espace</color>
ModUi/&Feats	<color=yellow>Exploits</color>
ModUi/&FeatsFightingStyles	Exploits et styles de combat
ModUi/&FightingStyles	<color=yellow>Styles de combat</color>
ModUi/&FixSorcererTwinnedLogic	Correction de l'utilisation métamagique jumelle <color=orange>Sorcier</color> <i><color=yellow>[un sort doit être incapable de cibler plus d'une créature au niveau actuel du sort]</color></i>
ModUi/&FollowCharactersOnTeleport	La caméra suit le(s) personnage(s) téléporté(s)
ModUi/&FullyControlConjurations	Contrôlez entièrement les conjurations <i><color=yellow>[animaux, élémentaux, etc]</color></i>
ModUi/&Gameplay	Jouabilité
ModUi/&GameUi	Interface utilisateur du jeu
ModUi/&General	<color=yellow>Général :</color>
ModUi/&GeneralMenu	Général
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Masquer les sorties et les effets visuels des téléporteurs s'ils ne sont pas encore découverts
ModUi/&HideMonsterHitPoints	Afficher la santé des monstres par paliers de 25 % / 50 % / 75 % / 100 % au lieu des points de vie exacts
ModUi/&HiderArmor	Cacher l'armure
ModUi/&House	<color=yellow>Maison :</color>
ModUi/&IncreaseSenseNormalVision	<color=white>Augmente la portée <color=orange>Sense Normal Vision</color> pour permettre des attaques à longue portée</color> <i><color=yellow>[40 est idéal pour éviter que les ennemis ne se joignent de trop loin]< /couleur></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&InitialChoices	<color=yellow>Choix initiaux :</color>
ModUi/&Interface	Interface
ModUi/&InventoryAndItems	<color=yellow>Inventaire et articles :</color>
ModUi/&InvertAltBehaviorOnTooltips	Inverser le comportement de la touche <color=cyan>ALT</color> dans les infobulles
ModUi/&ItemInDm	Articles en DM
ModUi/&Items	<color=yellow>Articles:</color>
ModUi/&ItemsCraftingMerchants	Objets, artisanat et marchands
ModUi/&ItemsHelp1	<color=#C04040E0>Vous devez avoir l'écran d'inspection des personnages ouvert pour ajouter des objets aux héros...</color>
ModUi/&ItemsHelp2	. Appuyez sur + pour ajouter des articles au conteneur de sol sur le panneau d'inspection
ModUi/&KeyboardMouse	Clavier souris
ModUi/&MakeAllMagicStaveArcaneFoci	Faire de tous les bâtons magiques des foyers arcaniques <i><color=yellow>[sauf le <color=orange>Bâton de guérison</color> qui est universel]</color></i> <b><i><color= #C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Marquer également l'emplacement des téléporteurs invisibles sur la carte de niveau après la découverte</i>
ModUi/&MaxAllowedClasses	<color=white>Classes maximales autorisées</color> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<couleur=blanc>Max. fichiers de sauvegarde par lieu ou campagne</color>
ModUi/&MaxBackupHelp	. Les fichiers de sauvegarde sont enregistrés sous <i><color=yellow>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>
ModUi/&MaxSpellLevelsPerLine	<color=white>Niveaux max par ligne sur Spell Panel</color>
ModUi/&Merchants	<color=yellow>Commerçants :</color>
ModUi/&Monsters	<color=yellow>Monstres :</color>
ModUi/&Multiclass	<color=yellow>Multiclasse :</color>
ModUi/&MulticlassKeyHelp	Un clic <color=cyan>SHIFT</color> sur un sort consomme un emplacement de sort au lieu de celui par défaut de la magie du pacte
ModUi/&MultiplyTheExperienceGainedBy	<color=white>Multipliez l'expérience acquise par</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	Aucune expérience n'est requise pour monter de niveau
ModUi/&NotAvailable	Aucun {0} disponible sur ce mod pour le moment...
ModUi/&OfferAdditionalLoreFriendlyNames	Offrir des noms conviviaux supplémentaires lors de la création de personnage
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Afficher uniquement les créatures les plus puissantes dans la liste de conjuration</i>
ModUi/&OverrideMinMaxLevel	Remplacer les niveaux minimum et maximum requis lors du démarrage de nouvelles aventures
ModUi/&OverridePartySize	<color=white>Remplacer la taille du groupe dans les aventures personnalisées</color>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=white>Remplacer <color=orange>Rogue</color> Con Artist <color=orange>Manipulation améliorée</color> Spell DC</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=white>Remplacer <color=orange>Magicien</color> Maître Manipulateur <color=orange>Manipulation des Arcanes</color> Spell DC</color>
ModUi/&OverwriteGameLanguage	<color=yellow>Écraser la langue du jeu:</color>
ModUi/&Patches	<color=yellow>Écussons :</color>
ModUi/&PrimedItems	Articles apprêtés
ModUi/&Progression	<color=yellow>Progression :</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Le cantrip léger à lancer rapide utilise d'abord les objets portés sur la tête ou le torse
ModUi/&Races	<color=yellow>Courses et Sous-courses</color>
ModUi/&RacesClassesSubclasses	Races, classes et sous-classes
ModUi/&RecipeCost	<color=white>Coût de la recette</color>
ModUi/&RecipesInDm	Recettes en DM
ModUi/&RelicForgeries	Contrefaçons de reliques
ModUi/&RemoveAttunementRequirements	Supprimer les exigences d'harmonisation <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&RemoveBugVisualModels	Remplacez les modèles ressemblant à des bugs par des visuels alternatifs dans le jeu <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Supprimer l'exigence de concentration de n'importe quel sort <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&RemoveHumanoidFilterOnHideousLaughter	Supprimer le filtre humanoïde sur <color=orange>Hideous Laughter</color> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Supprimer les exigences d'identification <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&RemoveRecurringEffectOnEntangle	N'appliquez l'effet <color=orange>Enchevêtrement</color> qu'au moment de l'incantation <i><color=yellow>[c'est-à-dire : aucun effet récurrent]</color></i> <b><i><color=#C04040E0 >[Nécessite un redémarrage]</color></i></b>
ModUi/&RestockAntiquarians	Réapprovisionner les antiquaires <i><color=yellow>[Halman Summer]</color></i>
ModUi/&RestockArcaneum	Réapprovisionner Arcaneum <i><color=yellow>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Réapprovisionner le Cercle de Danantar <i><color=yellow>[Joriel Foxeye]</color></i>
ModUi/&RestockHelp	. Remplacer les valeurs par défaut pour forcer tout le stock d'un marchand à se réapprovisionner au fil du temps (à l'exception des manuels et des tomes)\n. Notez que certains articles peuvent prendre jusqu'à 7 jours de jeu pour se réapprovisionner
ModUi/&RestockTowerOfKnowledge	Réapprovisionner la tour du savoir <i><color=yellow>[Maddy Greenisle]</color></i>
ModUi/&Rules	Règles
ModUi/&ScaleMerchantPricesCorrectly	Mettre à l'échelle les prix marchands correctement/exactement
ModUi/&SelectAll	Tout sélectionner
ModUi/&SelectSuggested	Sélectionnez Suggéré
ModUi/&Services	Prestations de service
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=white>Définir les chances qu'une barbe apparaisse en utilisant la</color> <color=orange>Ceinture des Nains</color>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Afficher la recette d'artisanat dans des infobulles détaillées
ModUi/&ShowDescriptions	Afficher les descriptions
ModUi/&SpellInstructions	. Vous pouvez attribuer individuellement chaque sort à n'importe quelle liste de sorts ou simplement sélectionner l'ensemble suggéré
ModUi/&SpellLevelFilter	<b><i><color=white>filtre de niveau de sorts</color> <color=yellow>[-1 pour afficher tous les sorts]</color></i></b>
ModUi/&Spells	<color=yellow>Sorts :</color>
ModUi/&SpellsMenu	Sorts
ModUi/&SRD	<color=yellow>SRD :</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Stocke le magasin de Gorim avec tous les vêtements non magiques <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Stocke le magasin d'Hugo avec <color=orange>Baguette d'identification</color>, <color=orange>Bâton arcanique</color>, <color=orange>Cou de druide</color>, <color=orange>Bâton</color> et <color=orange>Club</color> définis comme éléments foci
ModUi/&Subclasses	<color=yellow>Sous-classes</color>
ModUi/&TargetLanguage	Langue cible
ModUi/&Tools	Outils
ModUi/&TotalFeatsGrantedFistLevel	<color=white>Total des dons accordés au premier niveau</color>
ModUi/&Translate	Traduire
ModUi/&TranslateCancel	Annuler {0} à {1}
ModUi/&TranslationEngine	Moteur de traduction
ModUi/&Translations	Traductions
ModUi/&UnleashEnemyAsNpc	Autoriser la sélection de monstres sur les gadgets PNJ <i><color=yellow>[appuyez sur <color=cyan>CTRL</color> tout en cliquant sur Sélectionner sur le panneau du gadget]</color></i>
ModUi/&UnleashNpcAsEnemy	Autoriser la sélection des PNJ sur les gadgets monstres <i><color=yellow>[appuyez sur <color=cyan>CTRL</color> tout en cliquant sur Sélectionner sur le panneau du gadget]</color></i>
ModUi/&UnlockAllNpcFaces	Déverrouiller tous les visages de PNJ
ModUi/&UnlockEyeStyles	Déverrouiller les styles d'yeux
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Débloquez des couleurs éclatantes pour tous les marquages ​​et tatouages
ModUi/&UnlockGlowingEyeColors	Débloquez des couleurs d'yeux éclatantes
ModUi/&UnlockMarkAndTatoosForAllCharacters	Débloquez des marquages ​​et des tatouages ​​pour tous les personnages
ModUi/&UseHeightOneCylinderEffect	Affiche un effet de cylindre de hauteur 1 lors du lancement de <color=orange>Tentacules noirs, Enchevêtrement, Graisse</color> (carré) et <color=orange>Épique de croissance</color> (rond)
ModUi/&UseOfficialAdvantageDisadvantageRules	Utiliser les règles officielles d'avantage/désavantage
ModUi/&Visuals	<color=yellow>Visuels :</color>
ModUi/&TotalCraftingTimeModifier	<color=white>Réduisez le temps de fabrication en</color>
ModUi/&ChangeSleetStormToCube	Changer <color=orange>Sleet Storm</color> pour utiliser un cube au lieu d'un cylindre
ModUi/&Category	Category
ModUi/&WeaponTag	Weapon Tag
ModUi/&ItemTag	Item Tag
