ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Class/&WitchMaledictionApathyDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de Carisma. Si fallas la tirada de salvaciÃ³n, hasta el final de tu siguiente turno, la criatura se vuelve indiferente hacia una criatura de tu elecciÃ³n hacia la que sea hostil. Esta indiferencia termina si el objetivo es atacado o daÃ±ado por un hechizo de la criatura a la que es indiferente.
Class/&WitchMaledictionApathyTitle	MaldiciÃ³n de ApatÃ­a
Class/&WitchMaledictionCharmDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de SabidurÃ­a. Si fallas la tirada de salvaciÃ³n, la criatura queda encantada por ti hasta el final de tu siguiente turno.
Class/&WitchMaledictionCharmTitle	Encantar MaldiciÃ³n
Class/&WitchMaledictionDisorientDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de ConstituciÃ³n. Si fallas la tirada de salvaciÃ³n, cada vez que este objetivo haga una tirada de ataque antes del final de tu prÃ³ximo turno, debe tirar un d6 y restar el nÃºmero obtenido de la tirada de ataque.
Class/&WitchMaledictionDisorientTitle	MaldiciÃ³n de la desorientaciÃ³n
Class/&WitchMaledictionEvilEyeDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de SabidurÃ­a. Si fallas la tirada de salvaciÃ³n, la criatura se asusta de ti hasta el final de tu siguiente turno.
Class/&WitchMaledictionEvilEyeTitle	MaldiciÃ³n del Ojo Maligno
Class/&WitchMaledictionObfuscateDescription	Como acciÃ³n, creas una esfera de niebla de 20 pies de radio centrada en ti. La esfera se extiende por las esquinas y su Ã¡rea queda muy oscurecida. Este efecto dura hasta el final de tu siguiente turno o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) la disperse.
Class/&WitchMaledictionObfuscateTitle	Ofuscar la maldiciÃ³n
Class/&WitchMaledictionPoxDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 1,5 metros para hacer una tirada de salvaciÃ³n de ConstituciÃ³n. Si fallas la tirada de salvaciÃ³n, la criatura queda envenenada hasta el final de tu siguiente turno.
Class/&WitchMaledictionPoxTitle	MaldiciÃ³n de la viruela
Class/&WitchMaledictionRuinDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de ConstituciÃ³n. Si fallas la tirada de salvaciÃ³n, la clase de armadura de la criatura disminuye en 3, hasta un mÃ­nimo de 10, hasta el final de tu siguiente turno.
Class/&WitchMaledictionRuinTitle	MaldiciÃ³n de la Ruina
Class/&WitchRitualCastingMagicAffinityDescription	Afinidad de Lanzamiento Ritual.
Class/&WitchRitualCastingMagicAffinityTitle	Lanzamiento de Rituales
Class/&WitchSavingthrowProficiencyDescription	SabidurÃ­a, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Proficiencias de tirada de salvaciÃ³n de la bruja
Class/&WitchSkillProficiencyDescription	Elige dos de entre Arcanos, EngaÃ±o, Perspicacia, IntimidaciÃ³n, PersuasiÃ³n, Naturaleza y ReligiÃ³n.
Class/&WitchSkillProficiencyTitle	Habilidades de la bruja
Class/&WitchSpellcastingDescription	Puede lanzar hechizos de la lista de hechizos de la bruja.
Class/&WitchSpellcastingTitle	Lanzamiento de hechizos de bruja
Class/&WitchTitle	Bruja
Class/&WitchToolProficiencyDescription	Elige una de Kit de Herbolario y Kit de Envenenador.
Class/&WitchToolProficiencyTitle	Habilidades de herramientas de la bruja
Class/&WitchVisionsInitiativeDescription	Iniciativa de Visiones.
Class/&WitchVisionsInitiativeTitle	Iniciativa de Visiones
Class/&WitchWeaponProficiencyDescription	Armas simples.
Class/&WitchWeaponProficiencyTitle	Proficiencias de las armas de la bruja
Condition/&AbateDescription	CondiciÃ³n de Abate.
Condition/&AbateTitle	Abate
Condition/&AncientForestPhotosynthesisDescription	Puedes absorber la energÃ­a de la luz solar. Mientras estÃ©s bajo la luz directa del sol, recuperas 2 PS al inicio de tu turno.
Condition/&AncientForestPhotosynthesisTitle	FotosÃ­ntesis
Condition/&AncientForestRootedConditionDescription	De tus pies crecen zarcillos arbÃ³reos que se clavan en el suelo. Puedes lanzar Enredar a voluntad. Tu velocidad pasa a ser 0 y obtienes ventaja en cualquier tirada de salvaciÃ³n para empujarte, tirar de ti o tumbarte.
Condition/&AncientForestRootedConditionTitle	Enraizado
Condition/&ApathyDescription	CondiciÃ³n de apatÃ­a.
Condition/&ApathyTitle	ApatÃ­a
Condition/&CharmDescription	CondiciÃ³n de Encanto.
Condition/&CharmTitle	Encanto
Condition/&ClassMonkEmptyBodyConditionDescription	Tienes resistencia a todo el daÃ±o menos a la fuerza.
Condition/&ClassMonkEmptyBodyConditionTitle	Cuerpo vacÃ­o
Condition/&ClassMonkOpenHandDistractConditionDescription	No puedes usar reacciones.
Condition/&ClassMonkOpenHandDistractConditionTitle	DistraÃ­do
Condition/&ClassMonkStepOfTheWindConditionDescription	Puedes realizar la acciÃ³n de Desenganche o Dash como acciÃ³n adicional y tu distancia de salto se duplica durante el turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Paso del Viento
Condition/&ClassMonkTanquilityConditionDescription	Tienes ventaja en las tiradas de salvaciÃ³n contra hechizos y los enemigos tienen desventaja al atacarte. Se elimina cuando haces un ataque o lanzas un hechizo.
Condition/&ClassMonkTanquilityConditionTitle	Tranquilidad
Condition/&ClassMonkZenArrowDistractConditionDescription	Tiene desventaja en el siguiente ataque.
Condition/&ClassMonkZenArrowDistractConditionTitle	DistraÃ­do
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Tiene desventaja en todos los ataques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	DistraÃ­do
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	El movimiento se pone a 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Inmovilizado
Condition/&ConditionBarkWardDescription	Protegido por los espÃ­ritus del bosque.
Condition/&ConditionBarkWardTitle	GuardiÃ¡n de la corteza
Condition/&ConditionDualFlurryApplyDescription	EstÃ¡s tomando impulso...
Condition/&ConditionDualFlurryApplyTitle	Â¡Doble Flurry!
Condition/&ConditionDualFlurryGrantDescription	Â¡Tus enemigos se tambalean!
Condition/&ConditionDualFlurryGrantTitle	Â¡Doble descarga!
Condition/&ConditionImprovedBarkWardDescription	Los espÃ­ritus del bosque infligen 2d8 de daÃ±o penetrante a los atacantes cuerpo a cuerpo.
Condition/&ConditionImprovedBarkWardTitle	ProtecciÃ³n de corteza mejorada
Condition/&ConditionMarkedByArcanistDescription	Afectado por la Marca del Arcanista.
Condition/&ConditionMarkedByArcanistTitle	Marca del Arcanista
Condition/&ConditionMuleDescription	Tu velocidad no se ve reducida por el estorbo o la armadura pesada. Puedes cargar 20 libras adicionales.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Los espÃ­ritus del bosque te conceden inmunidad al veneno e infligen 3d8 de daÃ±o penetrante a los atacantes cuerpo a cuerpo.
Condition/&ConditionSuperiorBarkWardTitle	ProtecciÃ³n superior contra la corteza
Condition/&DebilitatedConditionDescription	CondiciÃ³n de debilitado.
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DHFeeblemindSpellDescription	Las puntuaciones de Inteligencia y Carisma de la criatura se convierten en 1. La criatura no puede lanzar hechizos, activar objetos mÃ¡gicos, entender el lenguaje o comunicarse de forma inteligible.
Condition/&DHFeeblemindSpellTitle	Mente dÃ©bil
Condition/&DHForesightSpellDescription	Tienes ventaja en las tiradas de ataque, los chequeos de habilidad y las tiradas de salvaciÃ³n. AdemÃ¡s, otras criaturas tienen desventaja en las tiradas de ataque contra ti.
Condition/&DHForesightSpellTitle	PrevisiÃ³n
Condition/&DHHolyAuraSpellDescription	Cuando lanzas este conjuro, los aliados dentro del alcance arrojan una luz tenue en un radio de 1,5 metros, tienen ventaja en todas las tiradas de salvaciÃ³n y las demÃ¡s criaturas tienen desventaja en las tiradas de ataque contra ellos hasta que el conjuro termine. AdemÃ¡s, cuando un demonio o un no-muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella una luz brillante. El atacante debe tener Ã©xito en una tirada de salvaciÃ³n de ConstituciÃ³n o quedar cegado hasta que el hechizo termine.
Condition/&DHHolyAuraSpellTitle	Protegido por el Aura Sagrada
Condition/&DHMindBlankSpellDescription	Inmune al daÃ±o psÃ­quico y a la condiciÃ³n de encantado.
Condition/&DHMindBlankSpellTitle	Mente en blanco
Condition/&DHReverseGravitySpellDescription	No puede moverse
Condition/&DHReverseGravitySpellTitle	Atrapado por la gravedad inversa
Condition/&DHTimeStopSpellDescription	Congelado por Parada de Tiempo
Condition/&DHTimeStopSpellTitle	Congelado por la detenciÃ³n del tiempo
Condition/&DHWeirdSpellDescription	La ilusiÃ³n invoca los miedos mÃ¡s profundos de la criatura, manifestando sus peores pesadillas como una amenaza implacable. Al final de cada turno de la criatura asustada, debe tener Ã©xito en una tirada de salvaciÃ³n de SabidurÃ­a o recibir 4d10 de daÃ±o psÃ­quico. Si la tirada de salvaciÃ³n tiene Ã©xito, el hechizo termina para esa criatura.
Condition/&DHWeirdSpellTitle	ExtraÃ±o
Condition/&DisorientDescription	La precisiÃ³n de esta criatura se reduce.
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	CondiciÃ³n de ojo maligno.
Condition/&EvilEyeTitle	Ojo maligno
Condition/&EWResonatingStrikeDamageDescription	A 5Âº nivel, los ataques desencadenados por este cantrip infligen 1d8 de daÃ±o adicional por trueno. El daÃ±o aumenta aÃºn mÃ¡s en 1d8 a los niveles 11Âº y 17Âº.
Condition/&EWResonatingStrikeDamageTitle	Resonancia
Condition/&EWSunlightBladeDamageDescription	A 5Âº nivel, los ataques desencadenados por este cantrip infligen 1d8 de daÃ±o radiante adicional. El daÃ±o aumenta en 1d8 a los niveles 11Âº y 17Âº.
Condition/&EWSunlightBladeDamageTitle	Quemadura de la cuchilla iluminada por el sol
Condition/&FrenziedDescription	Esta criatura estÃ¡ frenÃ©tica y atacarÃ¡ a la criatura mÃ¡s cercana.
Condition/&FrenziedTitle	FrenÃ©tico
Condition/&HalfLifeConditionDescription	Tomas energÃ­a necrÃ³tica dentro de ti y cuelgas entre la vida y la muerte y eres poseÃ­do temporalmente por tu propio fantasma, ganando volar y las mismas inmunidades de condiciÃ³n y resistencias al daÃ±o que otros fantasmas.
Condition/&HalfLifeConditionTitle	Media vida
Condition/&HelpActionDescription	Esta criatura ha sido distraÃ­da.
Condition/&HelpActionTitle	DistraÃ­do
Condition/&MoonTouchedConditionDescription	Tu gravedad estÃ¡ anulada.
Condition/&MoonTouchedConditionTitle	Tocado por la Luna
Condition/&PoxDescription	CondiciÃ³n de Pox.
Condition/&PoxTitle	Pox
Condition/&RuinDescription	CondiciÃ³n de ruina.
Condition/&RuinedDescription	La defensa de esta criatura se reduce.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruina
Condition/&SentinelStopMovementConditionTitle	Detenido
Condition/&SwallowedByToadConditionDescription	Recibe 3d6 de daÃ±o de Ã¡cido por ronda. Termina si el Brujo Sapo recibe 15 o mÃ¡s puntos de daÃ±o en un solo ataque.
Condition/&SwallowedByToadConditionTitle	Tragado por el Sapo
Condition/&SwallowingToadConditionDescription	Termina si el Brujo Sapo es golpeado con 15 o mÃ¡s de daÃ±o en un solo ataque.
Condition/&SwallowingToadConditionTitle	Sapo TragÃ³n
ContentPack/&CommunityExpansionPackDescription	El pack de expansiÃ³n de la Comunidad aÃ±ade nuevas clases, subclases, proezas y hechizos. Hay un tope de nivel mÃ¡s alto, multiclase, caracterÃ­sticas QOL, correcciÃ³n de errores y mucho mÃ¡s. Es un verdadero cuerno de la abundancia (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack de ExpansiÃ³n de la Comunidad
CraftyFeats/&ApothecaryIntFeatDescription	+1 Inteligencia, Proficiencia o Pericia con el Kit de HerboristerÃ­a y Arcanos.
CraftyFeats/&ApothecaryIntFeatTitle	Boticario (Inteligencia)
CraftyFeats/&ApothecaryWisFeatDescription	+1 SabidurÃ­a, competencia o pericia con el kit de herboristerÃ­a y medicina.
CraftyFeats/&ApothecaryWisFeatTitle	Boticario (SabidurÃ­a)
CraftyFeats/&AttributeDexDescription	+1 Destreza.
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	+1 Inteligencia.
CraftyFeats/&AttributeIntTitle	Inteligencia
CraftyFeats/&AttributeWisDescription	+1 SabidurÃ­a.
CraftyFeats/&AttributeWisTitle	SabidurÃ­a
CraftyFeats/&CraftyArcanaDescription	Competencia o pericia en Arcanos.
CraftyFeats/&CraftyBowsDescription	Competencia con todos los arcos y ballestas.
CraftyFeats/&CraftyBowsTitle	Competencia con el arco
CraftyFeats/&CraftyFletcherFeatDescription	+1 Destreza, competencia o pericia con herramientas de herrero, competencia con arcos y ballestas.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Competencia o pericia en Medicina.
CraftyFeats/&CraftyNatureDescription	Competencia o pericia con la naturaleza.
CraftyFeats/&CraftyScribeFeatDescription	+1 Inteligencia, Competencia o pericia con Kit de Pergaminos y Arcanos, Requiere la habilidad de lanzar hechizos.
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Herramientas
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Inteligencia, Dominio o Pericia con Rosario de Manacalon y Arcanos, Requiere la habilidad de lanzar hechizos.
CraftyFeats/&ManacalonCrafterFeatTitle	Artesano de Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	+1 Inteligencia, Competencia o Pericia con Kit de Envenenador y Naturaleza.
CraftyFeats/&ToxicologistIntFeatTitle	ToxicÃ³logo (Inteligencia)
CraftyFeats/&ToxicologistWisFeatDescription	+1 SabidurÃ­a, Dominio o Experiencia con el Kit de Envenenador y Medicina.
CraftyFeats/&ToxicologistWisFeatTitle	ToxicÃ³logo (SabidurÃ­a)
DamageAffinity/&DHHolyAuraSpellDescription	Cuando un demonio o un no muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella con una luz brillante. El atacante debe tener Ã©xito en una tirada de salvaciÃ³n de ConstituciÃ³n o quedar cegado hasta que el hechizo termine.
DamageAffinity/&DHHolyAuraSpellTitle	Aura sagrada de represalia
Equipment/&ArcaneStaffDescription	Este bÃ¡culo lleva inscrita una escritura mÃ¡gica y puede utilizarse como foco para el lanzamiento de conjuros arcanos.
Equipment/&ArcaneStaffTitle	BÃ¡culo arcano
Equipment/&CEHalberdTypeTitle	Alabardas
Equipment/&CEHandXbowTypeTitle	Ballestas de mano
Equipment/&CELongMaceTypeTitle	Mazas largas
Equipment/&CEPikeTypeTitle	Picas
Equipment/&DruidicAmuletDescription	Este amuleto totÃ©mico puede utilizarse como foco para el lanzamiento de hechizos druÃ­dicos.
Equipment/&DruidicAmuletTitle	Amuleto druÃ­dico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Garrote de la agudeza
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Las afiladas pÃºas de la garra del oso destrozan la armadura para infligir daÃ±o adicional. La primera arma de este tipo fue diseÃ±ada por Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Garra de oso
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Club_Lightbringer_Title	Garrote de la luz
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sÃ³lo respetan las fuerzas fÃ­sicas. Los arcanistas de Manacalon crearon este garrote para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos Ã©lficos no les proporcionaban.
Equipment/&Enchanted_Club_Power_Title	Garrote del Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La combinaciÃ³n del mejor metal y la piedra eslava dio a esta hacha un increÃ­ble poder de perforaciÃ³n.
Equipment/&Enchanted_Club_Punisher_Title	Garrote castigador
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo de agudeza
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo quemador de escarcha
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo de la agudeza
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo de labrador de rocas
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hacha de la agudeza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hacha de quemadura de escarcha
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hacha de mano afilada
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hacha de mano de los "Souldrinkers
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Su diseÃ±o original llevaba el sello de Defineth Sharpsight, un renombrado encantador elfo silvano.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Ballesta pesada de precisiÃ³n
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Ballesta pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. La magia fundiÃ³ el coral de medusa y la madera dura para crear un arco mortal, favorecido por las partidas de abordaje de los halflings de la isla.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Ballesta pesada de medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Los Coedymwarth preferÃ­an enfrentarse a los arqueros de Manacalon fÃ­sicamente en lugar de mÃ¡gicamente. Sus mejores arqueros recibieron ballestas, creaciÃ³n de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Ballesta pesada de tiro certero
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseÃ±ada por Galar Stromforge, el primer herrero enano que aprovechÃ³ el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Arco de tormenta pesado
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada fue creada utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Armadura de desvÃ­o de pieles
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Armadura de pieles de la danza de las llamas
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Armadura de Escarcha Caminante
