ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Condition/&ClassMonkTanquilityConditionDescription	Si ha vantaggio nei tiri salvezza contro gli incantesimi e i nemici hanno svantaggio nell'attaccarvi. Viene rimosso quando si effettua un attacco o si lancia un incantesimo.
Condition/&ClassMonkTanquilityConditionTitle	TranquillitÃ 
Condition/&ClassMonkZenArrowDistractConditionDescription	Ha svantaggio al prossimo attacco.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distratto
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Ha svantaggio su tutti gli attacchi.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distratto
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Il movimento Ã¨ impostato su 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Inchiodato
Condition/&ConditionBarkWardDescription	Protetto dagli spiriti della foresta.
Condition/&ConditionBarkWardTitle	Guardia di corteccia
Condition/&ConditionDualFlurryApplyDescription	Stai accumulando slancio...
Condition/&ConditionDualFlurryApplyTitle	Doppia raffica!
Condition/&ConditionDualFlurryGrantDescription	I vostri nemici sono in preda al panico!
Condition/&ConditionDualFlurryGrantTitle	Doppia raffica!
Condition/&ConditionImprovedBarkWardDescription	Gli spiriti della foresta infliggono 2d8 danni perforanti agli attaccanti in mischia.
Condition/&ConditionImprovedBarkWardTitle	Scudo di corteccia migliorato
Condition/&ConditionMarkedByArcanistDescription	Afflitto dal Marchio dell'Arcanista.
Condition/&ConditionMarkedByArcanistTitle	Marchio dell'arcanista
Condition/&ConditionMuleDescription	La velocitÃ  non Ã¨ ridotta da ingombri o armature pesanti. Si possono trasportare 20 chili in piÃ¹.
Condition/&ConditionMuleTitle	Mulo
Condition/&ConditionSuperiorBarkWardDescription	Gli spiriti della foresta vi garantiscono l'immunitÃ  al veleno e infliggono 3d8 danni perforanti agli attaccanti in mischia.
Condition/&ConditionSuperiorBarkWardTitle	Protezione superiore della corteccia
Condition/&DebilitatedConditionDescription	Condizione di debilitazione.
Condition/&DebilitatedConditionTitle	Debilitato
Condition/&DHFeeblemindSpellDescription	I punteggi di Intelligenza e Carisma della creatura diventano 1. La creatura non puÃ² lanciare incantesimi. La creatura non puÃ² lanciare incantesimi, attivare oggetti magici, comprendere il linguaggio o comunicare in modo intelligibile.
Condition/&DHFeeblemindSpellTitle	Mente debole
Condition/&DHForesightSpellDescription	Si ha vantaggio sui tiri di attacco, sulle prove di abilitÃ  e sui tiri salvezza. Inoltre, le altre creature hanno svantaggio sui tiri di attacco contro di voi.
Condition/&DHForesightSpellTitle	Preveggenza
Condition/&DHHolyAuraSpellDescription	Quando si lancia questo incantesimo, gli alleati nel raggio d'azione emanano una luce fioca in un raggio di 5 piedi, hanno vantaggio su tutti i tiri salvezza e le altre creature hanno svantaggio sui tiri di attacco contro di loro fino al termine dell'incantesimo. Inoltre, quando un demone o un non morto colpisce una creatura colpita con un attacco in mischia, l'aura emette una luce brillante. L'attaccante deve superare un tiro salvezza di Costituzione o rimanere accecato fino al termine dell'incantesimo.
Condition/&DHHolyAuraSpellTitle	Protetto dall'aura sacra
Condition/&DHMindBlankSpellDescription	Immune ai danni psichici e alla condizione di incantato.
Condition/&DHMindBlankSpellTitle	Vuoto mentale
Condition/&DHReverseGravitySpellDescription	Non puÃ² muoversi.
Condition/&DHReverseGravitySpellTitle	Catturato dalla gravitÃ  inversa
Condition/&DHTimeStopSpellDescription	Congelato da Time Stop.
Condition/&DHTimeStopSpellTitle	Congelato da Time Stop
Condition/&DHWeirdSpellDescription	L'illusione fa appello alle paure piÃ¹ profonde della creatura, manifestando i suoi peggiori incubi come una minaccia implacabile. Alla fine di ogni turno della creatura spaventata, essa deve riuscire a effettuare un tiro salvezza di Saggezza o subire 4d10 danni psichici. Se il tiro salvezza riesce, l'incantesimo termina per quella creatura.
Condition/&DHWeirdSpellTitle	Straniato
Condition/&DisorientDescription	La precisione di questa creatura Ã¨ ridotta.
Condition/&DisorientTitle	Disorientato
Condition/&EvilEyeDescription	Condizione di malocchio.
Condition/&EvilEyeTitle	Occhio malvagio
Condition/&EWResonatingStrikeDamageDescription	Al 5Â° livello, gli attacchi sferrati con questo cantrip infliggono 1d8 danni da tuono aggiuntivi. I danni aumentano ulteriormente di 1d8 all'11Â° e al 17Â° livello.
Condition/&EWResonatingStrikeDamageTitle	Risonanza
Condition/&EWSunlightBladeDamageDescription	Al 5Â° livello, gli attacchi sferrati con questo cantrip infliggono 1d8 danni radianti aggiuntivi. I danni aumentano ulteriormente di 1d8 all'11Â° e al 17Â° livello.
Condition/&EWSunlightBladeDamageTitle	Bruciatura della lama solare
Condition/&FrenziedDescription	Questa creatura Ã¨ frenetica e attacca la creatura piÃ¹ vicina.
Condition/&FrenziedTitle	Frenetico
Condition/&HalfLifeConditionDescription	L'energia necrotica viene assorbita e si Ã¨ in bilico tra la vita e la morte; si Ã¨ temporaneamente posseduti dal proprio fantasma e si guadagna il volo e le stesse immunitÃ  alle condizioni e resistenze ai danni degli altri fantasmi.
Condition/&HalfLifeConditionTitle	Mezza vita
Condition/&HelpActionDescription	Questa creatura Ã¨ stata distratta.
Condition/&HelpActionTitle	Distratto
Condition/&MoonTouchedConditionDescription	La gravitÃ  Ã¨ annullata.
Condition/&MoonTouchedConditionTitle	Toccato dalla Luna
Condition/&PoxDescription	Condizione di vaiolo.
Condition/&PoxTitle	Vaiolo
Condition/&RuinDescription	Condizione di rovina.
Condition/&RuinedDescription	La difesa di questa creatura Ã¨ ridotta.
Condition/&RuinedTitle	Rovina
Condition/&RuinTitle	Rovina
Condition/&SentinelStopMovementConditionTitle	Fermato
Condition/&SwallowedByToadConditionDescription	Subisce 3d6 danni da acido per round. Termina se il Toad Warlock viene colpito con 15 o piÃ¹ danni in un singolo attacco.
Condition/&SwallowedByToadConditionTitle	Ingoiato dal rospo
Condition/&SwallowingToadConditionDescription	Termina se il Toad Warlock viene colpito con 15 o piÃ¹ danni in un singolo attacco.
Condition/&SwallowingToadConditionTitle	Ingoiato da Toad
ContentPack/&CommunityExpansionPackDescription	Il pacchetto di espansione Community aggiunge nuove classi, sottoclassi, imprese e incantesimi. C'Ã¨ un limite di livello piÃ¹ alto, multiclasse, funzioni QOL, correzioni di bug e altro ancora. Ãˆ un vero e proprio corno dell'abbondanza (TM)...
ContentPack/&CommunityExpansionPackTitle	Pacchetto di espansione della ComunitÃ 
CraftyFeats/&ApothecaryIntFeatDescription	+1 Intelligenza, AbilitÃ  o Competenza con Kit di Erboristeria e Arcani.
CraftyFeats/&ApothecaryIntFeatTitle	Speziale (Intelligenza)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Saggezza, AbilitÃ  o Competenza con Kit di Erboristeria e Medicina.
CraftyFeats/&ApothecaryWisFeatTitle	Speziale (Saggezza)
CraftyFeats/&AttributeDexDescription	+1 Destrezza.
CraftyFeats/&AttributeDexTitle	Destrezza
CraftyFeats/&AttributeIntDescription	+1 Intelligenza.
CraftyFeats/&AttributeIntTitle	Intelligenza
CraftyFeats/&AttributeWisDescription	+1 Saggezza.
CraftyFeats/&AttributeWisTitle	Saggezza
CraftyFeats/&CraftyArcanaDescription	Conoscenza o competenza degli Arcani.
CraftyFeats/&CraftyBowsDescription	AbilitÃ  con tutti gli archi e le balestre.
CraftyFeats/&CraftyBowsTitle	AbilitÃ  con l'arco
CraftyFeats/&CraftyFletcherFeatDescription	+1 Destrezza, AbilitÃ  o competenza con gli attrezzi da fabbro, AbilitÃ  con archi e balestre.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	AbilitÃ  o competenza in Medicina.
CraftyFeats/&CraftyNatureDescription	AbilitÃ  o competenza in Natura.
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligenza, AbilitÃ  o Competenza con Kit di Pergamene e Arcani, Richiede la capacitÃ  di lanciare incantesimi.
CraftyFeats/&CraftyScribeFeatTitle	Scriba
CraftyFeats/&CraftySkillsTitle	AbilitÃ 
CraftyFeats/&CraftyToolsTitle	Strumenti
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligenza, AbilitÃ  o Competenza con il Rosario di Manacalon e gli Arcani, Richiede la capacitÃ  di lanciare incantesimi.
CraftyFeats/&ManacalonCrafterFeatTitle	Artigiano di Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligenza, AbilitÃ  o Competenza con Kit dell'Avvelenatore e Natura.
CraftyFeats/&ToxicologistIntFeatTitle	Tossicologo (Intelligenza)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Saggezza, AbilitÃ  o Competenza con Kit dell'Avvelenatore e Medicina.
CraftyFeats/&ToxicologistWisFeatTitle	Tossicologo (Saggezza)
DamageAffinity/&DHHolyAuraSpellDescription	Quando un demone o un non morto colpisce una creatura colpita con un attacco in mischia, l'aura emette una luce brillante. L'attaccante deve superare un tiro salvezza di Costituzione o rimanere accecato fino al termine dell'incantesimo.
DamageAffinity/&DHHolyAuraSpellTitle	Aura sacra di rappresaglia
Equipment/&ArcaneStaffDescription	Questo bastone Ã¨ inciso con una scrittura magica e puÃ² essere usato come fulcro per il lancio di incantesimi arcani.
Equipment/&ArcaneStaffTitle	Bastone arcano
Equipment/&CEHalberdTypeTitle	Alabarde
Equipment/&CEHandXbowTypeTitle	Balestre a mano
Equipment/&CELongMaceTypeTitle	Macigni lunghi
Equipment/&CEPikeTypeTitle	Picche
Equipment/&DruidicAmuletDescription	Questo amuleto totemico puÃ² essere usato come fulcro per il lancio di incantesimi druidici.
Equipment/&DruidicAmuletTitle	Amuleto druidico
Equipment/&Enchanted_Club_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Mazza dell'Acutezza
Equipment/&Enchanted_Club_Bearclaw_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Le punte affilate dell'artiglio dell'orso lacerano l'armatura per infliggere ulteriori danni. La prima arma di questo tipo Ã¨ stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Mazza dell'artiglio dell'orso
Equipment/&Enchanted_Club_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, Mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_Club_Lightbringer_Title	Mazza del Portatore di Luce
Equipment/&Enchanted_Club_Power_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Alcune creature rispettano solo la forza fisica. Gli arcanisti di Manacalon hanno creato questa mazza per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non forniscono.
Equipment/&Enchanted_Club_Power_Title	Mazza del Potere
Equipment/&Enchanted_Club_Punisher_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. La combinazione del miglior metallo e della pietra di Slavestone ha conferito a quest'ascia un incredibile potere perforante.
Equipment/&Enchanted_Club_Punisher_Title	Mazza del Punitore
Equipment/&Enchanted_Dart_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo dell'acutezza
Equipment/&Enchanted_Dart_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Fu progettata da Keliandir Moltenheart, che la forgiÃ² per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo di gelo
Equipment/&Enchanted_Dart_Sharpness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo dell'Affilatezza
Equipment/&Enchanted_Dart_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti di Silent Whisper, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo di Souldrinker
Equipment/&Enchanted_Handaxe_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Ascia dell'acutezza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Fu progettata da Keliandir Moltenheart, che la forgiÃ² per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Ascia del gelo
Equipment/&Enchanted_Handaxe_Sharpness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Ascia dell'Affilatezza
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti di Silent Whisper, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Ascia del Souldrinker
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Il suo design originale portava il sigillo di Defineth Sharpsight, un rinomato incantatore elfo silvestre.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Balestra pesante di precisione
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, Mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Balestra pesante Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. La magia ha fuso il corallo di medusa e il legno duro per creare un arco letale, preferito dagli abbordaggi degli halfling dell'isola.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Balestra pesante Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Il Coedymwarth preferiva affrontare gli arcanisti di Manacalon fisicamente piuttosto che magicamente. I suoi migliori arcieri ricevettero balestre create da Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Balestra pesante del tiro a segno
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Ãˆ stata progettata da Galar Stromforge, il primo fabbro nanico a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Balestra pesante della tempesta
Equipment/&Enchanted_HideArmor_Deflection_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Deflection_Title	Armatura di Deviazione del Nascondiglio
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Armatura della Danza delle Fiamme
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Armatura del Gelo che Cammina
Equipment/&Enchanted_HideArmor_Robustness_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Robustness_Title	Armatura di Robustezza
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Armatura di robustezza
Equipment/&Enchanted_HideArmor_Survival_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Survival_Title	Armatura di sopravvivenza
