ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&MoonLitLightAffinityStrongTitle	Verbesserter Umbral-Umhang
Feature/&MoonLitLightAffinityTitle	Umbraler Umhang
Feature/&OneWithShadowsDescription	Wenn Sie Ihren Zug in natÃ¼rlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von KrÃ¤ften oder ZaubersprÃ¼chen, die nicht nur auf dich selbst abzielen, bricht die Unsichtbarkeit.
Feature/&OneWithShadowsLightAffinityDescription	Wenn Sie Ihren Zug in natÃ¼rlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von KrÃ¤ften oder ZaubersprÃ¼chen, die nicht nur auf dich selbst abzielen, bricht die Unsichtbarkeit.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsLightAffinityStrongTitle	Dunklere Schatten
Feature/&OneWithShadowsLightAffinityTitle	Eins mit Schatten
Feature/&OneWithShadowsStrongerDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsStrongerTitle	Dunklere Schatten
Feature/&OneWithShadowsTitle	Eins mit Schatten
Feature/&OpportunistDebilitatingStrikeDescription	Dein hinterhÃ¤ltiger Angriff fÃ¼hrt dazu, dass das Ziel einen Konstitutionsrettungswurf (SG 8 + dein Kompetenzbonus + dein Geschicklichkeitsmodifikator) macht oder einen der folgenden ZustÃ¤nde erleidet: geblendet, verflucht, blutend oder betÃ¤ubt.
Feature/&OpportunistDebilitatingStrikeTitle	LÃ¤hmender Schlag
Feature/&OpportunistQuickStrikeDescription	Sie haben einen Vorteil, wenn Sie einen Feind angreifen, dessen Initiative geringer ist als Ihre. DarÃ¼ber hinaus haben Sie auch einen Vorteil, wenn Sie einen Gelegenheitsangriff ausfÃ¼hren.
Feature/&OpportunistQuickStrikeTitle	Schneller Schlag
Feature/&OtherworldlyLeapTitle	Jenseitiger Sprung
Feature/&PowerAttackDescription	Nehmen Sie einen Malus von -3 auf Ihren Angriff, um 3 + Fertigkeitsbonus zusÃ¤tzlichen Schaden zu verursachen, wenn Sie Ihre SchlÃ¤ge mit Nahkampfwaffen landen.
Feature/&PowerAttackTitle	Machtangriff
Feature/&PowerPaladinAuraOfCourage18Description	GewÃ¤hrt VerbÃ¼ndeten innerhalb von 30 FuÃŸ einen Rettungswurfbonus.
Feature/&PowerPaladinAuraOfCourage18Title	Verbesserte Aura des Mutes
Feature/&PowerPaladinAuraOfProtection18Description	Sie und Ihre VerbÃ¼ndeten innerhalb von 30 FuÃŸ kÃ¶nnen nicht erschreckt werden.
Feature/&PowerPaladinAuraOfProtection18Title	Verbesserte Aura des Schutzes
Feature/&PowerTorchbearerDescription	Versuchen Sie, ein Nahkampfziel in Brand zu setzen!
Feature/&PowerTorchbearerTitle	FackeltrÃ¤ger
Feature/&PrimalChampionDescription	Auf Stufe 20 verkÃ¶rperst du die Macht der Wildnis. Ihre StÃ¤rke- und Konstitutionswerte erhÃ¶hen sich um 4.
Feature/&PrimalChampionTitle	Erster Champion
Feature/&ProficiencyBolgrifLanguagesDescription	GewÃ¶hnlich, Elbisch und Riese.
Feature/&ProficiencyBolgrifLanguagesTitle	Sprache
Feature/&ProficiencyGnomishLanguagesDescription	GewÃ¶hnlich, gnomisch.
Feature/&ProficiencyGnomishLanguagesTitle	Sprachen
Feature/&ProficiencyRogueBlindSenseDescription	Wenn du ab der 14. Stufe hÃ¶ren kannst, weiÃŸt du, wo sich versteckte oder unsichtbare Kreaturen innerhalb von 10 FuÃŸ von dir befinden.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsinn
Feature/&ProficiencyRogueSlipperyMindDescription	Bis zur 15. Stufe haben Sie eine grÃ¶ÃŸere mentale StÃ¤rke erlangt. Du lernst WeisheitswÃ¼rfe.
Feature/&ProficiencyRogueSlipperyMindTitle	SchlÃ¼pfriger Geist
Feature/&ProficiencySoulBladeArmorDescription	Leichte RÃ¼stung, mittlere RÃ¼stung und Schild.
Feature/&ProficiencySoulBladeArmorTitle	Seelenklingen-RÃ¼stungsfÃ¤higkeiten
Feature/&ProficiencySoulBladeWeaponDescription	Einfache Waffen, Kampfwaffen.
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade-Waffenkenntnisse
Feature/&RageDamageBonusAttackModifierDescription	FÃ¼ge deinen Angriffen +2 Schaden hinzu, wÃ¤hrend du tobst.
Feature/&RageDamageBonusAttackModifierTitle	Wutschaden
Feature/&RageFeatConditionDescription	WÃ¤hrend du in Rage bist, erhÃ¤ltst du Folgendes: Vorteil bei StÃ¤rkewÃ¼rfen und StÃ¤rkerettungswÃ¼rfen, einen Bonus auf SchadenswÃ¼rfe von +2 und Resistenz gegen KnÃ¼ppel-, Stich- und Hiebschaden.
Feature/&RageFeatConditionTitle	Toben
Feature/&RagePowerDescription	Als Bonusaktion gerÃ¤tst du fÃ¼r eine Minute in Wut und erhÃ¤ltst Folgendes: Vorteil bei StÃ¤rkewÃ¼rfen und StÃ¤rkerettungswÃ¼rfen, einen Bonus auf SchadenswÃ¼rfe von +2 und Resistenz gegen KnÃ¼ppel-, Stich- und Hiebschaden.
Feature/&RagePowerTitle	Wut
Feature/&RageStrengthSavingThrowAffinityDescription	WÃ¤hrend du tobst, erhÃ¤ltst du einen Vorteil bei StÃ¤rkewÃ¼rfen.
Feature/&RageStrengthSavingThrowAffinityTitle	WutstÃ¤rke-Speichervorteil
Feature/&RallyingCryPowerDescription	Ersetzt Zweiter Wind durch eine Kraft, um 4x KÃ¤mpferstufen-Trefferpunkte bei einem oder mehreren VerbÃ¼ndeten innerhalb von 6 Zellen bis zu ihrem Trefferpunkte-Maximum wiederherzustellen.
Feature/&RallyingCryPowerTitle	Sammelnder Schrei
Feature/&RallyingCryPowerTitleShort	Sammelnder Schrei
Feature/&RangerFeralSensesDescription	Du erhÃ¤ltst Ã¼bernatÃ¼rliche Sinne, die dir helfen, Kreaturen zu bekÃ¤mpfen, die du nicht sehen kannst. Wenn du eine Kreatur angreifst, die du nicht sehen kannst, hat deine UnfÃ¤higkeit, sie zu sehen, keinen Nachteil bei deinen AngriffswÃ¼rfen gegen sie.
Feature/&RangerFeralSensesTitle	Wilde Sinne
Feature/&RangerVanishActionDescription	Ab der 14. Stufe kannst du die Aktion Verstecken als Bonusaktion in deinem Zug nutzen.
Feature/&RangerVanishActionTitle	Verschwinden
Feature/&RiftWalkerRestrainedImmunityTitle	FlÃ¼chtiger Schritt
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wÃ¤hlst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden fÃ¼r Sie zur Hexenmeister-Zauberliste hinzugefÃ¼gt: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker-Zauber
Feature/&RoyalEnvoyFeatureDescription	Addiere die HÃ¤lfte deines Kompetenzbonus (aufgerundet) zu jedem Charisma-Check, den du machst, der deinen Kompetenzbonus nicht bereits nutzt. AuÃŸerdem werden Sie mit Charisma-RettungswÃ¼rfen vertraut.
Feature/&RoyalEnvoyFeatureTitle	KÃ¶niglicher Gesandter
Feature/&SavingThrowTinkererProficiencyDescription	Beherrschung von Konstitutions- und IntelligenzwÃ¼rfen.
Feature/&SavingThrowTinkererProficiencyTitle	Rettungswurf-Fertigkeit
Feature/&ScoutModePowerDescription	Du erhÃ¤ltst mehr Bewegung, einen Vorteil bei FertigkeitswÃ¼rfen fÃ¼r Heimlichkeit und einmal pro Zug verursachen deine Fernwaffenangriffe einen zusÃ¤tzlichen SchadenswÃ¼rfel.
Feature/&ScoutModePowerTitle	Scout-Modus
Feature/&SentinelModePowerDescription	Erhalten Sie temporÃ¤re HP in HÃ¶he des Levels. VerhÃ¤ngt einen Nachteil fÃ¼r Feinde, die VerbÃ¼ndete angreifen.
Feature/&SentinelModePowerTitle	Sentinel-Modus
Feature/&ShroudofShadowTitle	Schleier des Schattens
Feature/&SignofIllOmenTitle	Zeichen des schlechten Omens
Feature/&SpellAsInvocationAtWillDescription	Zaubere {0} nach Belieben.
Feature/&SpellAsInvocationOncePerDayDescription	Bis zur langen Pause einmal {0} wirken.
Feature/&TempHPShield_09ModePowerDescription	BeschwÃ¶rt ein Konstrukt, das 1 Stunde hÃ¤lt.\nSchutzkuppel: GewÃ¤hrt VerbÃ¼ndeten innerhalb von 10 FuÃŸ 1W8 + 4 temporÃ¤re HP.\nSelbstzerstÃ¶rung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstÃ¶rt die Einheit.
Feature/&TempHPShield_09ModePowerTitle	BeschwÃ¶re ein schÃ¼tzendes Kuppelkonstrukt
Feature/&TempHPShield_15ModePowerDescription	BeschwÃ¶rt ein Konstrukt, das 1 Stunde hÃ¤lt.\nSchutzkuppel: GewÃ¤hrt VerbÃ¼ndeten innerhalb von 10 FuÃŸ 1W8 + 4 temporÃ¤re HP.\nSelbstzerstÃ¶rung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstÃ¶rt die Einheit.\n Half Cover Dome: Bietet VerbÃ¼ndeten innerhalb von 10 FuÃŸ halbe Deckung.
Feature/&TempHPShield_15ModePowerTitle	BeschwÃ¶re ein schÃ¼tzendes Kuppelkonstrukt
Feature/&TempHPShieldModePowerDescription	BeschwÃ¶rt ein Konstrukt, das 1 Stunde hÃ¤lt.\nSchutzkuppel: GewÃ¤hrt VerbÃ¼ndeten innerhalb von 10 FuÃŸ 1W8 + 4 temporÃ¤re HP.
Feature/&TempHPShieldModePowerTitle	BeschwÃ¶re ein schÃ¼tzendes Kuppelkonstrukt
Feature/&TempHPShieldTitle	Schutzkuppel
Feature/&ThiefofFiveFates	Wirke {0} einmal pro Tag
Feature/&ThiefofFiveFatesTitle	Dieb der fÃ¼nf Schicksale
Feature/&ThirstingBladeDescription	Du kannst zweimal statt einmal mit deiner Waffe angreifen, wenn du in deinem Zug die Angriffsaktion ausfÃ¼hrst.
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TinkererArmorProficiencyDescription	Kenntnisse im Umgang mit leichten und mittleren RÃ¼stungen sowie Schilden.
Feature/&TinkererArmorProficiencyTitle	TÃ¼ftler-RÃ¼stungskompetenz
Feature/&TinkererInfusionChoiceDescription	WÃ¤hlen Sie die Infusionen aus, die Ihnen zur VerfÃ¼gung stehen. Beachten Sie, dass jede Infusion nur einmal aktiv sein kann. Eine zweite Aktivierung bricht die erste ab.
Feature/&TinkererInfusionChoiceTitle	Wahl der Infusion
Feature/&TinkererInfusionReplaceDescription	WÃ¤hlen Sie die zu ersetzenden Infusionen aus.
Feature/&TinkererInfusionReplaceTitle	Infusion ersetzen
Feature/&TinkererSkillGainChoicesPluralDescription	TÃ¼ftlerfÃ¤higkeiten sind Arcana, Geschichte, Ermittlung, Medizin, Natur, Wahrnehmung und Fingerfertigkeit.
Feature/&TinkererSkillPointsTitle	TÃ¼ftlerfÃ¤higkeiten
Feature/&TinkererToolsExpertiseDescription	Sammeln Sie Erfahrung mit vielen Werkzeugen, darunter Werkzeuge der Diebe, Schriftrollen-Kits, Gift-Kit, KrÃ¤uterkunde-Kit und Verzauberungs-Tools.
Feature/&TinkererToolsExpertiseTitle	TÃ¼ftler-Tool-Expertise
Feature/&TinkererToolsProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit vielen Werkzeugen, darunter Werkzeuge der Diebe, Schriftrollen-Sets, Giftset, KrÃ¤uterkunde-Set und Verzauberungswerkzeuge.
Feature/&TinkererToolsProficiencyTitle	Werkzeugkenntnisse
Feature/&TinkererWeaponProficiencyDescription	Umgang mit einfachen Waffen.
Feature/&TinkererWeaponProficiencyTitle	TÃ¼ftler-Waffenkenntnisse
Feature/&ToadKingBasicToxinTitle	Basisches Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	Du wÃ¤hlst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden fÃ¼r Sie zur Hexenmeister-Zauberliste hinzugefÃ¼gt: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	KrÃ¶tenkÃ¶nig-Zauber
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Ihr KÃ¶rper hat sich so verÃ¤ndert, dass er gegen Toxine resistent wird und ein Abwehrgift produziert, wenn er von Nahkampfangriffen getroffen wird, und zwar bis zu einer Anzahl von Malen pro langer Pause, die Ihrem Kompetenzbonus entspricht. Wenn dem Angreifer ein Konstitutionsrettungswurf misslingt, leidet er unter einem halluzinogenen Toxin, bis er angegriffen oder anderweitig unterbrochen wird.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Halluzinogenes Toxin
Feature/&ToadKingJumpTitle	Springen
Feature/&ToadKingPoisonConditionAffinityTitle	Immun gegen Giftzustand
Feature/&ToadKingPoisonDamageAffinityTitle	Immun gegen Giftschaden
Feature/&ToadKingStickyFeetTitle	SchwimmhÃ¤ute
Feature/&TrickstersEscapeTitle	Die Flucht des Tricksters
Feature/&UrPriestDomainTheftDescription	Sie schnappen sich die Geheimnisse, die ein Gott all seinen frommen Kleriker gewÃ¤hrt. WÃ¤hlen Sie eine Kleriker-Domain: Sie erhalten die Funktionen, die die Domain auf der 1. Ebene gewÃ¤hrt.
Feature/&UrPriestDomainTheftTitle	Domain-Diebstahl
Feature/&UrPriestExpandedSpelllistAfinityDescription	Du wÃ¤hlst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Kleriker-Zauber werden fÃ¼r dich zur Hexenmeister-Zauberliste hinzugefÃ¼gt.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Urpriester-Zauber
Feature/&WallofThornsFeatureSetDescription	Wirke einmal tÃ¤glich Dornenwand.
Feature/&WallofThornsFeatureSetTitle	Waldbarriere
Feature/&WitchCurseChoiceDescription	Sie werden von einem schrecklichen Fluch heimgesucht, der Ihren KÃ¶rper und Ihre Seele infiziert.
Feature/&WitchCurseChoiceTitle	Hexenfluch
Feature/&WitchMaledictionChoiceDescription	Sie kÃ¶nnen eine Reihe von mÃ¤chtigen BeschwÃ¶rungen erlernen, die als Maledictions bekannt sind und von derselben heimtÃ¼ckischen Magie stammen, die Sie verflucht hat.
Feature/&WitchMaledictionChoiceTitle	FlÃ¼che
Feature/&WitchSightDescription	Sie kÃ¶nnen unsichtbare Kreaturen innerhalb von 60 FuÃŸ von Ihnen spÃ¼ren oder sehen.
Feature/&WitchSightTitle	Hexenblick
Feature/&ZSPowerPaladinCleansingTouchDescription	Entferne Zaubereffekte, indem du einen VerbÃ¼ndeten berÃ¼hrst. Du kannst dies so oft am Tag tun, wie es deinem Charisma-Modifikator entspricht.
Feature/&ZSPowerPaladinCleansingTouchTitle	Reinigende BerÃ¼hrung
Feedback/&AdditionalDamageAgonizing_BlastFormat	Qualvolle Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du Unheimliche Explosion wirkst, addierst du deinen Charisma-Modifikator zu dem Schaden, den es bei einem Treffer verursacht.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	ZusÃ¤tzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	ZusÃ¤tzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFirearmFormat	Explosionsverbesserung!
Feedback/&AdditionalDamageArcaneFirearmLine	Verursacht zusÃ¤tzlichen Schaden durch SprengverstÃ¤rkung
Feedback/&AdditionalDamageArcanistMarkFormat	Zeichen des Arkanisten!
Feedback/&AdditionalDamageArcanistMarkLine	Das Zeichen des Arkanisten detoniert und fÃ¼gt dem Ziel zusÃ¤tzlichen Schaden zu!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Erleuchtender Schlag!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike fÃ¼gt dem Ziel zusÃ¤tzlichen Schaden zu!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blendende Waffe
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	ZusÃ¤tzlicher Schaden und Versuch, Blindness von Blending Weapon anzuwenden
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} schlÃ¤gt {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elementarschaden
Feedback/&AdditionalDamageElementalDamageLine	Elementarform gewÃ¤hrt zusÃ¤tzlichen Schaden
Feedback/&AdditionalDamageLightningSpearFormat	Blitzspeer!
Feedback/&AdditionalDamageLightningSpearLine	{0} schlÃ¤gt {1} mit Blitzspeer! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Paktmarke!
Feedback/&AdditionalDamagePactMarkedLine	Paktmarke fÃ¼gt zusÃ¤tzlichen Schaden zu!
Feedback/&AdditionalDamagePactSoulTakerFormat	SeelenfÃ¤nger!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul Taker fÃ¼gt zusÃ¤tzlichen Schaden zu!
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonanzschlag!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} schwingt mit {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seele gestÃ¤rkt!
Feedback/&AdditionalDamageSoulEmpoweredLine	SeelenermÃ¤chtigt fÃ¼gt zusÃ¤tzlichen Schaden zu!
Feedback/&AdditionalDamageSunlightBladeFormat	Sonnenbeschienene Klinge!
Feedback/&AdditionalDamageSunlightBladeLine	{0} verbrennt {1} mit Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Verbesserter Schaden
Feedback/&AdditionalDamageUpgradedConstructLine	Das aufgewertete Konstrukt verursacht 1W8 mehr Schaden pro Treffer.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&ExtraDamageDescription	ZusÃ¤tzlicher Schaden durch Blitzspeer.
Feedback/&ExtraDamageTitle	Blitzspeer zusÃ¤tzlichen Schaden
Feedback/&LightningSpearAdditionalDamageDescription	Verursacht einmal pro Runde zusÃ¤tzlich 1W6 Blitzschaden.
Feedback/&LightningSpearAdditionalDamageTitle	Blitzspeer zusÃ¤tzlichen Schaden
Feedback/&NotifyEffectResonatingStrikeLine	{0} schwingt mit {1}!
FightingStyle/&BlindFightingDescription	Sie haben Blindsicht mit einer Reichweite von 10 FuÃŸ.
FightingStyle/&BlindFightingTitle	Blindes KÃ¤mpfen
FightingStyle/&CripplingDescription	Wenn du mit einem Nahkampfangriff triffst, kannst du die Geschwindigkeit deines Gegners bis zum Beginn deines nÃ¤chsten Zuges um 10 FuÃŸ verringern.
FightingStyle/&CripplingTitle	LÃ¤hmend
FightingStyle/&PugilistFightingDescription	Deine waffenlosen SchlÃ¤ge verursachen zusÃ¤tzlich 1W4 KnÃ¼ppelschaden und du kannst als Bonusaktion mit deiner Nebenhand schlagen.\nWenn Sie freie Hand haben, kÃ¶nnen Sie als Bonusaktion schubsen.
FightingStyle/&PugilistFightingTitle	FaustkÃ¤mpfer
FightingStyle/&TitanFightingDescription	Du erhÃ¤ltst einen Treffer von +2 gegen Kreaturen der GrÃ¶ÃŸe Large oder grÃ¶ÃŸer.
FightingStyle/&TitanFightingTitle	Kampf gegen Titanen
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Natur und Einsicht.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Natur und Einsicht.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Geschichte, Ãœberzeugung und EinschÃ¼chterung.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&BackgroundSkillSelect2Description	WÃ¤hlen Sie 2 FÃ¤higkeiten aus.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	FÃ¤higkeiten
FlexibleBackgrounds/&BackgroundSkillSelect3Description	WÃ¤hlen Sie 3 FÃ¤higkeiten aus.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	FÃ¤higkeiten
FlexibleBackgrounds/&BackgroundToolSelect2Description	WÃ¤hlen Sie 2 Werkzeugkenntnisse aus.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Werkzeug
FlexibleBackgrounds/&BackgroundToolSelectDescription	WÃ¤hlen Sie eine Werkzeugkompetenz aus.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Werkzeug
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Wahrnehmung und EinschÃ¼chterung.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Taschenspielertrick, Stealth und TÃ¤uschung.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medizin und Ãœberzeugung.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Leichtathletik und EinschÃ¼chterung.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Heimlichkeit, TÃ¤uschung und Natur.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Ãœberleben und Natur.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Vorgeschlagene FÃ¤higkeiten
FlexibleRaces/&PointPoolAbilityScore3Description	Verwenden Sie drei Boosts auf FÃ¤higkeitswerte in einer beliebigen Kombination Ihrer Wahl.
FlexibleRaces/&PointPoolAbilityScore3Title	ErhÃ¶hung des FÃ¤higkeitswerts
FlexibleRaces/&PointPoolAbilityScore4Description	Verwenden Sie vier Boosts auf FÃ¤higkeitswerte in einer beliebigen Kombination Ihrer Wahl.
FlexibleRaces/&PointPoolAbilityScore4Title	ErhÃ¶hung des FÃ¤higkeitswerts
Format/&LevelAndExperienceFormat	Stufe: {0}\nErfahrung: {1}\n{2} Punkte erforderlich, um Stufe {3} zu erreichen
Format/&LevelAndExperienceMaxedFormat	Stufe: {0}\nErfahrung: {1}\nMaximales Level erreicht
Item/&CEHalberd+1Title	Hellebarde +1
Item/&CEHalberd+1UnidentifiedTitle	QualitÃ¤t Hellebarde
Item/&CEHalberd+2Title	Hellebarde +2
Item/&CEHalberd+2UnidentifiedTitle	PrÃ¤chtige Hellebarde
Item/&CEHalberdLightningTitle	Blitzhellebarde
Item/&CEHalberdLightningUnidentifiedTitle	PrÃ¤chtige Hellebarde
Item/&CEHalberdPrimedTitle	Grundierte Hellebarde
Item/&CEHalberdTitle	Hellebarde
Item/&CEHandXbow+1Title	Handarmbrust +1
Item/&CEHandXbow+1UnidentifiedTitle	Hochwertige Handarmbrust
Item/&CEHandXbow+2Title	Handarmbrust +2
Item/&CEHandXbow+2UnidentifiedTitle	PrÃ¤chtige Handarmbrust
Item/&CEHandXbowAcidTitle	SÃ¤urehaltige Handarmbrust
Item/&CEHandXbowAcidUnidentifiedTitle	PrÃ¤chtige Handarmbrust
Item/&CEHandXbowPrimedTitle	Grundierte Handarmbrust
Item/&CEHandXbowTitle	Hand-Armbrust
Item/&CELongMace+1Title	Langer Streitkolben +1
Item/&CELongMace+1UnidentifiedTitle	Hochwertiger langer Streitkolben
Item/&CELongMace+2Title	Langer Streitkolben +2
Item/&CELongMace+2UnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMacePrimedTitle	Grundierter langer Streitkolben
Item/&CELongMaceThunderTitle	Donnernder langer Streitkolben
Item/&CELongMaceThunderUnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMaceTitle	Langer Streitkolben
Item/&CEPike+1Title	Hecht +1
Item/&CEPike+1UnidentifiedTitle	QualitÃ¤tshecht
Item/&CEPike+2Title	Hecht +2
Item/&CEPike+2UnidentifiedTitle	PrÃ¤chtiger Hecht
Item/&CEPikePrimedTitle	Grundierter Hecht
Item/&CEPikePsychicTitle	Hellseher Pike
Item/&CEPikePsychicUnidentifiedTitle	PrÃ¤chtiger Hecht
Item/&CEPikeTitle	Pike
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Hellebarde +1 verzaubern
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Hellebarde +2 verzaubern
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Verzaubere Blitzhellebarde
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Verzaubert Handarmbrust +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Verzaubert Handarmbrust +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Verzaubert saure Handarmbrust
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Verzaubert langen Streitkolben +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Verzaubert langen Streitkolben +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Verzaubert Donnernden langen Streitkolben
Item/&CraftingManualRecipeEnchantCEPike+1Title	Hecht +1 verzaubern
Item/&CraftingManualRecipeEnchantCEPike+2Title	Hecht +2 verzaubern
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Verzaubere Hellseher
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Handwickel +1 verzaubern.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Handwickel +1 verzaubern
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Handwickel +2 verzaubern.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Handwickel +2 verzaubern
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Verzaubere kraftvolle Handwickel.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Verzaubere kraftvolle Handwickel
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Verzaubern Sie Handbandagen des Ziehens.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Verzaubern Sie Handbandagen des Ziehens
Item/&CraftingManualRecipePrimingCEHalberdTitle	Prime Hellebarde
