ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Class/&WitchFamiliarPowerDescription	You learn the Witch Familiar spell, i.e. an improved Find Familiar spell, and can cast it as a ritual without material components. The spell doesn't count against your number of spells known. The spell improves Find Familiar in the following ways:\n• Your familiar takes its turn immediately before or after your turn each round (your choice).\n• Once per turn as an action or a bonus action, you can mentally command your familiar to use its reaction to make one attack.\n• When you cast a spell, you can deliver it through your familiar as if it had cast the spell, even if the spell doesn't have a range of touch.\n• Your familiar can use your spell attack bonus for its attack rolls.\n• Your familiar adds your proficiency bonus to its Armor Class, saving throws, and damage rolls.\n• You add twice your Witch level to your familiar's maximum hit points.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Almost all of your body has been scorched by arcane flames, leaving you with striking black scars and embers of magic that burn under the skin. As a result, you have resistance to fire damage, and you know the cantrip Produce Flame, which does not count against your total number of cantrips known.
Class/&WitchFeatureSetBurnedCurseTitle	Burned
Class/&WitchFeatureSetLovelessCurseDescription	You are cursed to never find true love. Jaded and disaffected, not even magic can turn your heart; as a result, you are immune to being charmed.
Class/&WitchFeatureSetLovelessCurseTitle	Loveless
Class/&WitchFeatureSetRitualCastingDescription	You can cast any Witch spell you know as a ritual if that spell has the ritual tag.
Class/&WitchFeatureSetRitualCastingTitle	Witch: Ritual Casting
Class/&WitchFeatureSetVisionsCurseDescription	You are cursed to have terrible visions of the future, presaging the death of your friends, family, and yourself. However many of these visions are cruel deceptions, they are sometimes grimly accurate. You can add your Charisma modifier, in addition to your Dexterity modifier, to your initiative rolls.
Class/&WitchFeatureSetVisionsCurseTitle	Visions
Class/&WitchLovelessCharmImmunityDescription	You are immune to being charmed.
Class/&WitchLovelessCharmImmunityTitle	Loveless: Charm Immunity
Class/&WitchMaledictionAbateDescription	As an action, choose one creature you can see within 60 feet of you to make a Charisma saving throw. On a failed save, the creature can't take reactions until the end of your next turn.
Class/&WitchMaledictionAbateTitle	Abate Malediction
Class/&WitchMaledictionApathyDescription	As an action, choose one creature you can see within 60 feet of you to make a Charisma saving throw. On a failed save, until the end of your next turn, the creature becomes indifferent toward one creature of your choice that it is hostile towards. This indifference ends if the target is attacked or harmed by a spell by the creature to which it is indifferent.
Class/&WitchMaledictionApathyTitle	Apathy Malediction
Class/&WitchMaledictionCharmDescription	As an action, choose one creature you can see within 60 feet to make a Wisdom saving throw. On a failed save, the creature is charmed by you until the end of your next turn.
Class/&WitchMaledictionCharmTitle	Charm Malediction
Class/&WitchMaledictionDisorientDescription	As an action, choose one creature that you can see within 60 feet to make a Constitution saving throw. On a failed save, whenever this target makes an attack roll before the end of your next turn, it must roll a d6 and subtract the number rolled from the attack roll.
Class/&WitchMaledictionDisorientTitle	Disorient Malediction
Class/&WitchMaledictionEvilEyeDescription	As an action, choose one creature you can see that can see you within 60 feet to make a Wisdom saving throw. On a failed save, the creature is frightened of you until the end of your next turn.
Class/&WitchMaledictionEvilEyeTitle	Evil Eye Malediction
Class/&WitchMaledictionObfuscateDescription	As an action, you create a 20-foot radius sphere of fog centered on yourself. The sphere spreads around corners, and its area is heavily obscured. This effect lasts until the end of your next turn or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.
Class/&WitchMaledictionObfuscateTitle	Obfuscate Malediction
Class/&WitchMaledictionPoxDescription	As an action, choose one creature you can see within 5 feet to make a Constitution saving throw. On a failed save, the creature is poisoned until the end of your next turn.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	As an action, choose one creature you can see within 60 feet to make a Constitution saving throw. On a failed save, the creature's Armor Class decreases by 3, to a minimum of 10, until the end of your next turn.
Class/&WitchMaledictionRuinTitle	Ruin Malediction
Class/&WitchRitualCastingMagicAffinityDescription	You can cast a witch spell as a ritual if that spell has the ritual tag and you have the spell prepared.
Class/&WitchRitualCastingMagicAffinityTitle	Ritual Casting
Class/&WitchSavingthrowProficiencyDescription	Wisdom, Charisma.
Class/&WitchSavingthrowProficiencyTitle	Witch Saving Throw Proficiencies
Class/&WitchSkillProficiencyDescription	Choose two from Arcana, Deception, Insight, Intimidation, Persuasion, Nature, and Religion.
Class/&WitchSkillProficiencyTitle	Witch Skills
Class/&WitchSpellcastingDescription	You are a witch who is capable of casting spells from the witch spell list.
Class/&WitchSpellcastingTitle	Witch Spellcasting
Class/&WitchTitle	Witch
Class/&WitchToolProficiencyDescription	Choose one from Herbalist Kit and Poisoner's Kit.
Class/&WitchToolProficiencyTitle	Witch Tool Proficiencies
Class/&WitchVisionsInitiativeDescription	You add your Charisma modifier to your initiative rolls.
Class/&WitchVisionsInitiativeTitle	Visions Initiative
Class/&WitchWeaponProficiencyDescription	Simple Weapons.
Class/&WitchWeaponProficiencyTitle	Witch Weapon Proficiencies
Condition/&AbateDescription	Cannot use reactions.
Condition/&AbateTitle	Abate
Condition/&AncientForestPhotosynthesisDescription	You can absorb energy from sunlight. While you are in direct bright light, you regain 2 HP at the start of your turn.
Condition/&AncientForestPhotosynthesisTitle	Photosynthesis
Condition/&AncientForestRootedConditionDescription	Arboreal tendrils grow from your feet and dig into the ground. You can cast entangle at will. Your speed becomes 0 and you gain advantage on any saving throws to push you, pull you, or knock you prone.
Condition/&AncientForestRootedConditionTitle	Rooted
Condition/&ApathyDescription	Indifferent to target creature that it is hostile towards. This indifference ends if the target is attacked or harmed by a spell by the targeted creature.
Condition/&ApathyTitle	Apathy
Condition/&CharmDescription	Considers the caster an ally.
Condition/&CharmTitle	Charmed
Condition/&ClassMonkEmptyBodyConditionDescription	You have resistance to all damage but force.
Condition/&ClassMonkEmptyBodyConditionTitle	Empty Body
Condition/&ClassMonkOpenHandDistractConditionDescription	Cannot use reactions.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distracted
Condition/&ClassMonkStepOfTheWindConditionDescription	You can take the Disengage or Dash action as a bonus action and your jump distance is doubled for the turn.
Condition/&ClassMonkStepOfTheWindConditionTitle	Step Of The Wind
Condition/&ClassMonkTanquilityConditionDescription	You have advantage on saving throws against spells and enemies have disadvantage attacking you. Removed when you make an attack or cast a spell.
Condition/&ClassMonkTanquilityConditionTitle	Tranquility
Condition/&ClassMonkZenArrowDistractConditionDescription	Has disadvantage on next attack.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distracted
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Has disadvantage on all attacks.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distracted
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Movement is set to 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Pinned
Condition/&ConditionBarkWardDescription	Protected by the spirits of the forest. Gain 4 temp HP for each level of Druid, lasting 10 minutes.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	You are building momentum...
Condition/&ConditionDualFlurryApplyTitle	Dual Flurry!
Condition/&ConditionDualFlurryGrantDescription	Your foes are reeling!
Condition/&ConditionDualFlurryGrantTitle	Dual Flurry!
Condition/&ConditionImprovedBarkWardDescription	The spirits of the forest deal 2d8 piercing damage to creatures that hit with a melee attack.
Condition/&ConditionImprovedBarkWardTitle	Improved Bark Ward
Condition/&ConditionMarkedByArcanistDescription	Afflicted by Arcanist's Mark. When hit by the caster with a weapon attack, the mark detonates, dealing 1d6 force damage to the afflicted and destroying the mark.
Condition/&ConditionMarkedByArcanistTitle	Arcanist's Mark
Condition/&ConditionMuleDescription	Your speed is not reduced by encumbrance or heavy armor. You can carry 20 additional pounds.
Condition/&ConditionMuleTitle	Mule
Condition/&ConditionSuperiorBarkWardDescription	The spirits of the forest grant poison immunity, and deal 3d8 piercing damage to creatures that hit with a melee attack.
Condition/&ConditionSuperiorBarkWardTitle	Superior Bark Ward
Condition/&DebilitatedConditionDescription	Suffer from one of following conditions: blinded, bane, bleeding or stunned.
Condition/&DebilitatedConditionTitle	Debilitated
Condition/&DHFeeblemindSpellDescription	The creature's Intelligence and Charisma scores become 1. The creature can't cast spells, activate magic items, understand language, or communicate in any intelligible way.
Condition/&DHFeeblemindSpellTitle	Feeblemind
Condition/&DHForesightSpellDescription	Advantage on all attack rolls, ability checks, and saving throws. Other creatures have disadvantage on attack rolls.
Condition/&DHForesightSpellTitle	Foresight
Condition/&DHHolyAuraSpellDescription	Advantage on all saving throws. Other creatures have disadvantage on attack rolls. When a fiend or an undead hits an affected creature with a melee attack, the attacker must succeed on a Constitution saving throw or be blinded until the spell ends.
Condition/&DHHolyAuraSpellTitle	Protected by Holy Aura
Condition/&DHMindBlankSpellDescription	Immune to psychic damage and the charmed condition.
Condition/&DHMindBlankSpellTitle	Mind Blank
Condition/&DHReverseGravitySpellDescription	Can't move.
Condition/&DHReverseGravitySpellTitle	Caught by reverse gravity
Condition/&DHTimeStopSpellDescription	Time is frozen for the affected creature.
Condition/&DHTimeStopSpellTitle	Time Stopped
Condition/&DHWeirdSpellDescription	Frightened. At the end of each turn, make a Wisdom saving throw. On a failure, take 4d10 psychic damage. On a success, this condition ends.
Condition/&DHWeirdSpellTitle	Weirded
Condition/&DisorientDescription	-1d6 to attack rolls.
Condition/&DisorientTitle	Disoriented
Condition/&EvilEyeDescription	Frightened. Unable to approach the source of fear, disadvantage on attack rolls and ability checks while source of fear is in sight.
Condition/&EvilEyeTitle	Evil Eye
Condition/&EWResonatingStrikeDamageDescription	At 5th level, attacks triggered by this cantrip deals an additional 1d8 thunder damage. The damage further increases by 1d8 at 11th and 17th levels.
Condition/&EWResonatingStrikeDamageTitle	Resonance
Condition/&EWSunlightBladeDamageDescription	At 5th level, attacks triggered by this cantrip deals an additional 1d8 radiant damage. The damage further increases by 1d8 at 11th and 17th levels.
Condition/&EWSunlightBladeDamageTitle	Sunlit Blade's burn
Condition/&FrenziedDescription	This creature is frenzied and will attack the closest creature.
Condition/&FrenziedTitle	Frenzied
Condition/&HalfLifeConditionDescription	You take necrotic energy into yourself and hang between life and death and are temporarily possessed by your own ghost, gaining flying, and the same condition immunities and damage resistances as other ghosts.
Condition/&HalfLifeConditionTitle	Half Life
Condition/&HelpActionDescription	This creature has been distracted.
Condition/&HelpActionTitle	Distracted
Condition/&MoonTouchedConditionDescription	Your gravity is negated.
Condition/&MoonTouchedConditionTitle	Moon Touched
Condition/&PoxDescription	Pox condition.
Condition/&PoxTitle	Pox
Condition/&RuinDescription	-3 AC penalty, up to a maximum of -10 AC.
Condition/&RuinedDescription	-3 AC penalty, up to a maximum of -10 AC.
Condition/&RuinedTitle	Ruined
Condition/&RuinTitle	Ruin
Condition/&SentinelStopMovementConditionDescription	Unable to move. Speed set to 0.
Condition/&SentinelStopMovementConditionTitle	Stopped
Condition/&SwallowedByToadConditionDescription	Takes 3d6 acid damage every turn. Ends if the caster takes 15 damage or more in a single attack.
Condition/&SwallowedByToadConditionTitle	Swallowed By Toad
Condition/&SwallowingToadConditionDescription	Ends if 15 damage or more is taken in a single attack.
Condition/&SwallowingToadConditionTitle	Swallowing Toad
ContentPack/&CommunityExpansionPackDescription	The Community Expansion pack adds new classes, sub-classes, feats and spells. There's a higher level cap, multi-class, QOL features, bug fixes and more. It's a veritable Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Community Expansion Pack
CraftyFeats/&ApothecaryIntFeatDescription	Increase your Intelligence by 1, to a maximum of 20.\nYou gain proficiency with herbalism kit and Arcana, or expertise if already proficient.
CraftyFeats/&ApothecaryIntFeatTitle	Apothecary (Intelligence)
CraftyFeats/&ApothecaryWisFeatDescription	Increase your Wisdom by 1, to a maximum of 20.\nYou gain proficiency with herbalism kit and Arcana, or expertise if already proficient.
CraftyFeats/&ApothecaryWisFeatTitle	Apothecary (Wisdom)
CraftyFeats/&AttributeDexDescription	+1 DEX to a maximum of 20
CraftyFeats/&AttributeDexTitle	Dexterity
CraftyFeats/&AttributeIntDescription	+1 INT to a maximum of 20
CraftyFeats/&AttributeIntTitle	Intelligence
CraftyFeats/&AttributeWisDescription	+1 WIS to a maximum of 20
CraftyFeats/&AttributeWisTitle	Wisdom
CraftyFeats/&CraftyArcanaDescription	You gain proficiency/expertise in Arcana.
CraftyFeats/&CraftyBowsDescription	You gain proficiency with all bows and crossbows.
CraftyFeats/&CraftyBowsTitle	Bow Proficiency
CraftyFeats/&CraftyFletcherFeatDescription	Increase your Dexterity by 1, to a maximum of 20.\nYou gain proficiency with smith's tools, or expertise if you are already proficient.\n You gain proficiency with all bows and crossbows.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	You gain proficiency/expertise in Medicine.
CraftyFeats/&CraftyNatureDescription	You gain proficiency/expertise in Nature.
CraftyFeats/&CraftyScribeFeatDescription	Increase your Intelligence by 1, to a maximum of 20.\nYou gain proficiency with scroll kit and Arcana, or expertise if already proficient.\nRequires the ability to cast spells.
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Skills
CraftyFeats/&CraftyToolsTitle	Tools
CraftyFeats/&ManacalonCrafterFeatDescription	Increase your Intelligence by 1, to a maximum of 20.\nYou gain proficiency with manacolon rosary and Arcana, or expertise if already proficient.\nRequires the ability to cast spells.
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	Increase your Intelligence by 1, to a maximum of 20.\nYou gain proficiency with poisoner's kit and Nature, or expertise if already proficient.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologist (Intelligence)
CraftyFeats/&ToxicologistWisFeatDescription	Increase your Wisdom by 1, to a maximum of 20.\nYou gain proficiency with poisoner's kit and Medicine, or expertise if already proficient.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologist (Wisdom)
DamageAffinity/&DHHolyAuraSpellDescription	When a fiend or an undead hits with a melee attack, the aura flashes with brilliant light and the attacker must succeed on a Constitution saving throw or be blinded until the spell ends.
DamageAffinity/&DHHolyAuraSpellTitle	Holy Aura Retaliation
Equipment/&ArcaneStaffDescription	This staff is inscribed with magical writing and can be used as a focus for Arcane spell casting.
Equipment/&ArcaneStaffTitle	Arcane Staff
Equipment/&CEHalberdTypeTitle	Halberds
Equipment/&CEHandXbowTypeTitle	Hand Crossbows
Equipment/&CELongMaceTypeTitle	Long Maces
Equipment/&CEPikeTypeTitle	Pikes
Equipment/&DruidicAmuletDescription	This totemic amulet can be used as a focus for Druidic spell casting.
Equipment/&DruidicAmuletTitle	Druidic Amulet
Equipment/&Enchanted_Club_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Club of Acuteness
Equipment/&Enchanted_Club_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage. The first weapon of this kind was designed by Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Bearclaw Club
Equipment/&Enchanted_Club_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Club_Lightbringer_Title	Lightbringer Club
Equipment/&Enchanted_Club_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this club to give champions of the Iron Legions the strength their elven bodies didn't provide.
Equipment/&Enchanted_Club_Power_Title	Club of Power
Equipment/&Enchanted_Club_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power.
Equipment/&Enchanted_Club_Punisher_Title	Punisher Club
Equipment/&Enchanted_Dart_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dart of Acuteness
Equipment/&Enchanted_Dart_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Dart_Frostburn_Title	Frostburn Dart
Equipment/&Enchanted_Dart_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dart of Sharpness
Equipment/&Enchanted_Dart_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Souldrinker Dart
Equipment/&Enchanted_Handaxe_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Handaxe of Acuteness
Equipment/&Enchanted_Handaxe_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostburn Handaxe
Equipment/&Enchanted_Handaxe_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxe of Sharpness
Equipment/&Enchanted_Handaxe_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Souldrinker Handaxe
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Its original design bore the sigil of Defineth Sharpsight, a renowned sylvan elf enchanter.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Heavy Crossbow of Accuracy
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Lightbringer Heavy Crossbow
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Magic melded medusa coral and hardwood to create a deadly bow, favored by the boarding parties of island halflings.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa Heavy Crossbow
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. The Coedymwarth preferred to deal with Manacalon's arcanists physically rather than magically. Its best archers were given crossbows, the creation of Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Heavy Crossbow of Sharpshooting
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon to devastating effect!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Heavy Stormcrossbow
Equipment/&Enchanted_HideArmor_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_Deflection_Title	Hide Armor of Deflection
Equipment/&Enchanted_HideArmor_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Hide Armor of Flame Dancing
Equipment/&Enchanted_HideArmor_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_Robustness_Title	Hide Armor of Robustness
Equipment/&Enchanted_HideArmor_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Hide Armor of Sturdiness
Equipment/&Enchanted_HideArmor_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_HideArmor_Survival_Title	Hide Armor of Survival
Equipment/&Enchanted_Javelin_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Javelin of Acuteness
Equipment/&Enchanted_Javelin_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Javelin_Frostburn_Title	Frostburn Javelin
Equipment/&Enchanted_Javelin_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Javelin of Sharpness
Equipment/&Enchanted_Javelin_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Souldrinker Javelin
Equipment/&Enchanted_LeatherDruid_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Druid Leather of Deflection
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Druid Leather of Flame Dancing
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Druid Leather of Frost Walking
Equipment/&Enchanted_LeatherDruid_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Druid Leather of Robustness
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Druid Leather of Sturdiness
Equipment/&Enchanted_LeatherDruid_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Druid Leather of Survival
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Its original design bore the sigil of Defineth Sharpsight, a renowned sylvan elf enchanter.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Light Crossbow of Accuracy
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Lightbringer Light Crossbow
Equipment/&Enchanted_LightCrossbow_Medusa_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Magic melded medusa coral and hardwood to create a deadly bow, favored by the boarding parties of island halflings.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Light Crossbow
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. The Coedymwarth preferred to deal with Manacalon's arcanists physically rather than magically. Its best archers were given crossbows, the creation of Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Light Crossbow of Sharpshooting
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon to devastating effect!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Light Stormcrossbow
Equipment/&Enchanted_Maul_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul of Acuteness
Equipment/&Enchanted_Maul_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage. The first weapon of this kind was designed by Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Bearclaw Maul
