ModUi/&AddAllToStore	Add all to store
ModUi/&EnablesAsiAndFeat	Enable both attribute scores increase and feat selection <i><color=yellow>[instead of an exclusive choice]</color></i>
ModUi/&EnableSaveByLocation	Enable save by campaigns / locations
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Enable short rest recharge of <color=orange>Arcane Weapon</color> on <color=orange>Wizard</color> Arcane Fighter
ModUi/&EnableTeleportParty	Enable <color=cyan>CTRL-SHIFT-(T</color>)eleport party <i><color=yellow>[you might break quests or maps if you teleport to an undiscovered place]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Enable toggles on character pool to set your default play and test party
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Enable unlimited <color=orange>Arcane Recovery</color> on <color=orange>Wizard</color> Spell Master\n<i><color=yellow>Must be enabled when the ability has available uses or before character creation</color></i>
ModUi/&EnableUpcastConjureElementalAndFey	Enable upcast of <color=orange>Conjure Elemental</color>, <color=orange>Conjure Fey</color>
ModUi/&Encounters	Encounters
ModUi/&ExecuteBatchTranslations	. Batch translate instead to create a new campaign prefixed by the target language
ModUi/&ExpandAll	Expand All
ModUi/&FactionHelp	<color=#C04040E0>Load an official campaign game to modify faction relations...</color>
ModUi/&FactionRelations	<color=yellow>Faction Relations:</color>
ModUi/&FasterTimeModifier	<color=white>Game time modifier when pressing space bar</color>
ModUi/&Feats	<color=yellow>Feats</color>
ModUi/&FeatsFightingStyles	Feats & Fighting Styles
ModUi/&FightingStyles	<color=yellow>Fighting Styles</color>
ModUi/&FixSorcererTwinnedLogic	Fix <color=orange>Sorcerer</color> twinned metamagic use <i><color=yellow>[a spell must be incapable of targeting more than one creature at the spell's current level]</color></i>
ModUi/&FollowCharactersOnTeleport	Camera follows teleported character(s)
ModUi/&FullyControlConjurations	Fully control conjurations <i><color=yellow>[animals, elementals, etc]</color></i>
ModUi/&Gameplay	Gameplay
ModUi/&GameUi	Game UI
ModUi/&General	<color=yellow>General:</color>
ModUi/&GeneralMenu	General
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Hide exits and teleporters visual effects if not discovered yet
ModUi/&HideMonsterHitPoints	Display Monsters's health in steps of 25% / 50% / 75% / 100% instead of exact hit points
ModUi/&HiderArmor	Hide Armor
ModUi/&House	<color=yellow>House:</color>
ModUi/&IncreaseSenseNormalVision	<color=white>Increase <color=orange>Sense Normal Vision</color> range to enable long range attacks</color> <i><color=yellow>[40 is ideal to avoid enemies joining from too far away]</color></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&InitialChoices	<color=yellow>Initial choices:</color>
ModUi/&Interface	Interface
ModUi/&InventoryAndItems	<color=yellow>Inventory and items:</color>
ModUi/&InvertAltBehaviorOnTooltips	Invert <color=cyan>ALT</color> key behavior on tooltips
ModUi/&ItemInDm	Items in DM
ModUi/&Items	<color=yellow>Items:</color>
ModUi/&ItemsCraftingMerchants	Items, Crafting & Merchants
ModUi/&ItemsHelp1	<color=#C04040E0>You must have the character inspection screen open to add items to heroes...</color>
ModUi/&ItemsHelp2	. Press + to add items to the ground container on inspection panel
ModUi/&KeyboardMouse	Keyboard & Mouse
ModUi/&MakeAllMagicStaveArcaneFoci	Make all magic staves arcane foci <i><color=yellow>[except for <color=orange>Staff of Healing</color> which is Universal]</color></i> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Also mark the location of invisible teleporters on level map after discovery</i>
ModUi/&MaxAllowedClasses	<color=white>Max allowed classes</color> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=white>Max. backup files per location or campaign</color>
ModUi/&MaxBackupHelp	. Backup files are saved under <i><color=yellow>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>
ModUi/&MaxSpellLevelsPerLine	<color=white>Max levels per line on Spell Panel</color>
ModUi/&Merchants	<color=yellow>Merchants:</color>
ModUi/&Monsters	<color=yellow>Monsters:</color>
ModUi/&Multiclass	<color=yellow>Multiclass:</color>
ModUi/&MulticlassKeyHelp	<color=cyan>SHIFT</color> click on a spell consumes a spell slot instead of the default pact magic one
ModUi/&MultiplyTheExperienceGainedBy	<color=white>Multiply the experience gained by</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	No experience is required to Level Up
ModUi/&NotAvailable	No {0} available on this mod yet...
ModUi/&OfferAdditionalLoreFriendlyNames	Offer additional lore friendly names on character creation
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Only show the most powerful creatures in the conjuration list</i>
ModUi/&OverrideMinMaxLevel	Override the required min and max levels when starting new adventures
ModUi/&OverridePartySize	<color=white>Override the party size in custom adventures</color>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=white>Override <color=orange>Rogue</color> Con Artist <color=orange>Improved Manipulation</color> Spell DC</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=white>Override <color=orange>Wizard</color> Master Manipulator <color=orange>Arcane Manipulation</color> Spell DC</color>
ModUi/&OverwriteGameLanguage	<color=yellow>Unofficial language support:</color>
ModUi/&Patches	<color=yellow>Patches:</color>
ModUi/&PrimedItems	Primed Items
ModUi/&Progression	<color=yellow>Progression:</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Quick cast light cantrip uses head or torso worn items first
ModUi/&Races	<color=yellow>Races & Subraces</color>
ModUi/&RacesClassesSubclasses	Races, Classes & Subclasses
ModUi/&RecipeCost	<color=white>Recipe's Cost</color>
ModUi/&RecipesInDm	Recipes in DM
ModUi/&RelicForgeries	Relic Forgeries
ModUi/&RemoveAttunementRequirements	Remove attunement requirements <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveBugVisualModels	Replace bug-like models with alternative visuals in the game <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Remove concentration requirement from any spell <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveHumanoidFilterOnHideousLaughter	Remove humanoid filter on <color=orange>Hideous Laughter</color> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Remove identification requirements <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveRecurringEffectOnEntangle	Only apply <color=orange>Entangle</color> effect at casting time <i><color=yellow>[i.e.: no recurring effect]</color></i> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RestockAntiquarians	Restock Antiquarians <i><color=yellow>[Halman Summer]</color></i>
ModUi/&RestockArcaneum	Restock Arcaneum <i><color=yellow>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Restock Circle of Danantar <i><color=yellow>[Joriel Foxeye]</color></i>
ModUi/&RestockHelp	. Override defaults to force all of a merchant's stock to restock over time (excluding Manuals and Tomes)\n. Note that some items can take up to 7 game days to restock
ModUi/&RestockTowerOfKnowledge	Restock Tower of Knowledge <i><color=yellow>[Maddy Greenisle]</color></i>
ModUi/&Rules	Rules
ModUi/&ScaleMerchantPricesCorrectly	Scale merchant prices correctly / exactly
ModUi/&SelectAll	Select All
ModUi/&SelectSuggested	Select Suggested
ModUi/&Services	Services
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=white>Set the chances of a beard appearing while using the</color> <color=orange>Belt of Dwarvenkind</color>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Show crafting recipe in detailed tooltips
ModUi/&ShowDescriptions	Show Descriptions
ModUi/&SpellInstructions	. You can individually assign each spell to any spell list or simply select the suggested set
ModUi/&SpellLevelFilter	<b><i><color=white>spell level filter</color> <color=yellow>[-1 to display all spells]</color></i></b>
ModUi/&Spells	<color=yellow>Spells:</color>
ModUi/&SpellsMenu	Spells
ModUi/&SRD	<color=yellow>SRD:</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Stocks Gorim's store with all non-magical clothing <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Stocks Hugo's store with <color=orange>Wand of Identify</color>, <color=orange>Arcane Staff</color>, <color=orange>Druid Neck</color>, <color=orange>Staff</color> and <color=orange>Club</color> set as foci items
ModUi/&Subclasses	<color=yellow>Subclasses</color>
ModUi/&TargetLanguage	Target Language
ModUi/&Tools	Tools
ModUi/&TotalFeatsGrantedFistLevel	<color=white>Total feats granted at first level</color>
ModUi/&Translate	Translate
ModUi/&TranslateCancel	Cancel {0} at {1}
ModUi/&TranslationEngine	Translation engine
ModUi/&Translations	Translations
ModUi/&UnleashEnemyAsNpc	Allow Monsters to be selected on NPC gadgets <i><color=yellow>[press <color=cyan>CTRL</color> while clicking Select on gadget panel]</color></i>
ModUi/&UnleashNpcAsEnemy	Allow NPCs to be selected on monster gadgets <i><color=yellow>[press <color=cyan>CTRL</color> while clicking Select on gadget panel]</color></i>
ModUi/&UnlockAllNpcFaces	Unlock all NPC faces
ModUi/&UnlockEyeStyles	Unlock eye styles
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Unlock glowing colors for all markings and tattoos
ModUi/&UnlockGlowingEyeColors	Unlock glowing eye colors
ModUi/&UnlockMarkAndTatoosForAllCharacters	Unlock markings and tattoos for all characters
ModUi/&UsableDevice	<color=yellow>Usable Device</color>
ModUi/&UseHeightOneCylinderEffect	Display a height 1 cylinder effect when casting <color=orange>Black Tentacles, Entangle, Grease</color> (square) and <color=orange>Spike Growth</color> (round)
ModUi/&UseOfficialAdvantageDisadvantageRules	Use official advantage / disadvantage rules
ModUi/&Visuals	<color=yellow>Visuals:</color>
ModUi/&Weapon	<color=yellow>Weapons</color>
ModUi/&TotalCraftingTimeModifier	<color=white>Reduce crafting time by</color>
