BlueprintCategory/&FlatRoomsTitle	Flat Rooms
Feature/&RangerFeralSensesTitle	Feral Senses
Feature/&RangerVanishActionDescription	Starting at 14th level, you can use the Hide action as a bonus action on your turn.
Feature/&RangerVanishActionTitle	Vanish
Feature/&SignofIllOmenTitle	Sign of Ill Omen
Feature/&TrickstersEscapeTitle	Trickster's Escape
Feature/&ZSPowerPaladinCleansingTouchDescription	Remove spell effects by touching an ally. You can do this a number of times per day equal to your Charisma modifier.
Feature/&ZSPowerPaladinCleansingTouchTitle	Cleansing Touch
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blinding Weapon
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Additional damage and trying to apply Blindness from Blinding Weapon
Feedback/&AdditionalDamageElementalDamageFormat	Elemental Damage
Feedback/&AdditionalDamageElementalDamageLine	Elemental form grants additional damage
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonating Strike!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} resonates {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered does additional damage!
Feedback/&AdditionalDamageSunlightBladeFormat	Sunlit Blade!
Feedback/&AdditionalDamageSunlightBladeLine	{0} burns {1} with Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Upgraded Damage
Feedback/&AdditionalDamageUpgradedConstructLine	The upgraded construct deals 1d8 more damage per hit.
Feedback/&ExtraDamageDescription	Extra damage from Lighting Spear.
Feedback/&ExtraDamageTitle	Lightning Spear extra damage
Feedback/&NotifyEffectResonatingStrikeLine	{0} resonates {1}!
Format/&LevelAndExperienceFormat	Level: {0}\nExperience: {1}\n{2} points required to reach level {3}
Format/&LevelAndExperienceMaxedFormat	Level: {0}\nExperience: {1}\nmax level reached
MainMenu/&ExportPdfDescription	Level down this Hero.
MainMenu/&ExportPdfTitle	Level Down
Message/&CharacterExportDuplicateNameErrorDescription	Export Cancelled:\n\nA hero with this name already exists in the pool.\nPlease try a different name.
Message/&CharacterExportEmptyNameErrorDescription	Export Cancelled:\n\nPlease try a non empty name.
Message/&CharacterExportModalContentDescription	Enter the hero name to export:
Message/&CharacterExportModalTitleDescription	Character Export.
Message/&LevelDownConfirmationDescription	Level down this Hero?
Message/&LevelDownMultiplayerAbortDescription	Cannot Level Down during a multiplayer session.
Message/&MessageModWelcomeDescription	The Community Expansion Mod is packed full of exciting features, but by default none are enabled. Press <color=yellow>Ctrl-F10</color> to open the Unity Mod Manager UI [UMM], then click on the settings icon next to 'Community Expansion' to open the settings pages.\n\n Explore the options and select the ones you like. The UMM UI will now open.
Message/&MessageModWelcomeTitle	Community Expansion Mod
Message/&RespecMultiplayerAbortDescription	Cannot Respec during a multiplayer session or on exploration map.
Message/&SpawnCustomEncounterDescription	Spawn encounter at coordinates ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Cannot spawn encounters on a multiplayer game. Yet...
Message/&SpawnCustomEncounterTitle	Encounter
Message/&TeleportPartyDescription	Teleport party to coordinates ({0}, {1})?\nYou might break quests or maps if you teleport to an undiscovered place.
Message/&TeleportPartyTitle	Teleport
Monster/&DHCustomCouatlDescription	Couatls are benevolent serpentine beings of great intellect and insight. Their brilliantly colored wings and gentle manner speak to their celestial origins.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Owl Familiar.
Monster/&OwlFamiliarTitle	Owl
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Bite
Power/&FindFamiliarBundlePowerDescription	Summon familiar in the form of Pseudorgagon, Sprite, Imp or Quasit.
Power/&FindFamiliarBundlePowerTitle	Find Familiar
Power/&HelpActionDescription	You can aid a friendly creature in attacking a creature within 5 feet of you. You feint, distract the target, or in some other way team up to make your ally's attack more effective. If your ally attacks the target before your next turn, the first attack roll is made with advantage.
Power/&HelpActionTitle	Help
Power/&PowerFunctionHandwrapsOfPullingDescription	As a bonus action, you can pull a creature within 15 feet closer to you.
Power/&PowerFunctionHandwrapsOfPullingTitle	Reel In
Reaction/&CoordinatedAttackDescription	{0} was attacked by coordinating attack, some characters can use their reaction to join this attack.
Reaction/&CoordinatedAttackReactDescription	Use reaction to attack target.
Reaction/&CoordinatedAttackReactTitle	Attack
Reaction/&CoordinatedAttackTitle	Coordinated Attack
Reaction/&ReadiedAction{0}Description	Readied {0}
Reaction/&ReadiedAction{0}Title	Readied {0}
Reaction/&SpendPower{0}Description	Spend {0}
Reaction/&SpendPower{0}Title	Spend {0}
Reaction/&SpendPowerBundleDescription	Spend Power.
Reaction/&SpendPowerBundleTitle	Spend Power
Reaction/&SubitemSelectCoordinatedAttackTitle	Select action
Reaction/&SubitemSelectPowerBundleTitle	Options
Reaction/&SubitemSelectSlotLevelTitle	Slot Level
Reaction/&SubitemSelectWarcasterReactionTitle	Select action
Reaction/&Use{0}Description	Use {0}
Reaction/&Use{0}Title	Use {0}
Reaction/&WarcasterAttackDescription	Attack target.
Reaction/&WarcasterAttackTitle	Attack
Reaction/&WarcasterReactionDescription	{0} is leaving an area threatened by one or more characters.
Reaction/&WarcasterReactionReactDescription	Use reaction to attack target.
Reaction/&WarcasterReactionReactTitle	Attack
Reaction/&WarcasterReactionTitle	Attack of Opportunity
Requirement/&FeatureSelectionRequireCharacterLevel	Level {0}
Requirement/&FeatureSelectionRequireClassLevel	Level {0} of {1}
RestActivity/&ZSRespecDescription	Respec this Hero.
RestActivity/&ZSRespecTitle	Respec
RestActivity/&ZSSorcerousRestorationDescription	Regain 4 sorcery points during a short rest.
RestActivity/&ZSSorcerousRestorationTitle	Sorcerous Restoration
Rules/&AdvantageAttackOnEnemyDescription	Advantage to attack enemy.
Rules/&AdvantageAttackOnEnemyTitle	Lit Up
Rules/&CounterFormDismissCreatureFormat	Dismiss Tinkerer construct
Rules/&DisadvantageOnAttackByEnemyDescription	Distracted by lightning jolt.
Rules/&DisadvantageOnAttackByEnemyTitle	Jolted
Rules/&ExtraDamageOnAttackConditionDescription	Extra damage from Lighting Spear.
Rules/&ExtraDamageOnAttackConditionTitle	Static shocked
Screen/&EditorLocationSize3Title	Huge [MODDED]
Screen/&EditorLocationSize4Title	Gargantuan [MODDED]
Sorceror/&ZSSorcerousRestorationDescription	Regain 4 sorcery points during a short rest.
Sorceror/&ZSSorcerousRestorationTitle	Sorcerous Restoration
Stage/&IdentityMorphotypeEyeHeader	Eye Style
Stage/&SubclassSelectionStageSpecialistDescription	Description There are a wide range of specialties in Tinkerers including making elixirs as a Potion Maker, making explosions as a Blaster, and wielding magical weaponry as a Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Specialist Features
Stage/&SubclassSelectionStageSpecialistHeader	Specializations
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialist None Description.
Stage/&SubclassSelectionStageSpecialistTitle	Select Specialization
Subclass/&ConditionResistnatArmorDescription	Your armor is resistant to acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, and thunder damage.
ToolTip/&CheckBoxDefaultPartyTitle	Check this box to set your default party when starting new advendures or testing custom locations. You can select up to {0} heroes in a first-in / first-out basis
Tooltip/&DeadeyeConcentration	Disable Deadeye.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	Doesn't know {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	Has stealth attack
Tooltip/&FeatPrerequisiteIsNotBarbarian	Isn't a Barbarian
Tooltip/&FeatPrerequisiteIsNotFighter	Isn't a Fighter
Tooltip/&FeatPrerequisiteIsNotRogue	Isn't a Rogue
Tooltip/&FeatPrerequisiteLevelFormat	Min Character Level {0}
Tooltip/&PowerAttackConcentration	Disable Power Attack.
Tooltip/&Tag9000Title	Custom Effect
Tooltip/&TagCommunityExpansionTitle	Community Expansion
Tooltip/&TagMaledictionTitle	Malediction
Tooltip/&TagOtherModContentTitle	From mod
Tooltip/&TagPolearmWeaponTitle	Polearm
UI/&CustomFeatureSelectionStageDescription	Select extra features from your class/subclass.
UI/&CustomFeatureSelectionStageFeatures	Features
UI/&CustomFeatureSelectionStageNotDone	You must select all available features before proceeding
UI/&CustomFeatureSelectionStageTitle	Feature Selection
UI/&CustomFeatureSelectionTooltipTypeCantrip	Cantrip
UI/&CustomFeatureSelectionTooltipTypeFeature	Feature
UI/&CustomFeatureSelectionTooltipTypePower	Power
UI/&CustomFeatureSelectionTooltipTypeProficiency	Proficiency
UI/&ForcePreferredCantripDescription	If this toggled is ON, only the preferred cantrip can trigger. If the preferred cantrip isn't selected, then the first valid cantrip will trigger, regardless of this toggle.
UI/&ForcePreferredCantripTitle	Force Preferred Cantrip
