ModUi/&AddAllToStore	Aggiungi tutti al negozio
ModUi/&DontFollowMargin	<i><color=white>+ A meno che l'eroe non sia fuori o entro il % del bordo dello schermo</color></i>
ModUi/&DungeonMaker	<color=giallo>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. Queste impostazioni non richiedono che il giocatore abbia installato questa mod. È possibile incorporare qualsiasi variabile della campagna nelle finestre di dialogo, nelle descrizioni, ecc. CE le sostituirà con il loro valore durante il gioco <i><color=yellow>[es: Hello {Salute} Hero!]</color></i>.
ModUi/&DungeonMakerMenu	Creatore di dungeon
ModUi/&EmpressGarbAppearance	Aspetto <color=arancio>Garba dell'Imperatrice</color>
ModUi/&EnableAdditionalIconsOnLevelMap	Attivazione di icone aggiuntive per accampamenti, uscite e teletrasporti sulla mappa del livello
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Aggiungere nuovi oggetti a Dungeon Maker</i>
ModUi/&EnableAlternateHuman	Abilita l'umano alternativo <i><color=giallo>[+1 impresa / +2 scelte di attributi / +1 abilità]</color></i>
ModUI/&EnableBetaContent	Abilita i contenuti beta <i><color=yellow>[tieni presente che i salvataggi o gli eroi potrebbero rompersi in futuro]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableCancelEditOnRightMouseClick	Abilita l'azione di annullamento con il clic del tasto destro del mouse
ModUi/&EnableCharacterChecker	Abilita la schermata di controllo dei personaggi
ModUi/&EnableCharacterExport	Abilita <color=cyan>CTRL-SHIFT-(E</color>)xportare il personaggio <i><color=yellow>[solo nella schermata di controllo dei personaggi]</color></i>
ModUi/&EnableCheatMenu	Abilitare il menu dei trucchi
ModUi/&EnableCtrlClickBypassAttackReactionPanel	Abilita il clic <color=ciano>CTRL</color> sugli attacchi per ignorare qualsiasi pannello di reazione
ModUi/&EnableCtrlClickBypassMetamagicPanel	Abilita <color=ciano>CTRL</color> a cliccare sugli incantesimi per ignorare il pannello metamagico <color=arancio>Sorcerer</color>.
ModUi/&EnableCtrlClickOnlySwapsMainHand	Abilita il <color=ciano>CTRL</color> click per mantenere gli oggetti fuori mano quando si scambiano le configurazioni brandite
ModUi/&EnableDungeonMakerModdedContent	Abilita Dungeon Maker Pro <b><i><color=#C04040E0>[Richiede il Riavvio]</color></i></b>non include stanze piatte, dimensioni del dungeon 150x150 e 200x200 e non ha fronzoli nel mescolare le risorse di tutti gli ambienti.
ModUi/&EnableEpicPointsAndArray	Abilita un sistema di acquisto di 35 punti epici e un array <i><color=yellow>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableExtraHighLevelMonsters	Abilita mostri aggiuntivi di alto livello (+20 CR) per le campagne di livello 3 e 4 <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableFeatsAtEvenLevels	Abilitazione della selezione delle imprese ai livelli di classe 2, 6, 10 e 14
ModUi/&EnableFlexibleBackgrounds	Abilita sfondi flessibili <i><color=yellow>[seleziona le competenze delle abilità e degli strumenti dagli sfondi]</color></i>
ModUi/&EnableFlexibleRaces	Abilita le razze flessibili <i><color=giallo>[assegna punti abilità invece dei valori predefiniti della razza]</color></i>.
ModUi/&EnableHotkeyDebugOverlay	Abilita la sovrapposizione <color=cyan>CTRL-SHIFT-(D</color>)ebug
ModUi/&EnableHotkeyToggleHud	Abilita <color=cyan>CTRL-SHIFT-(H</color>)ud per attivare la visibilità di tutti i pannelli dell'interfaccia utente.
ModUi/&EnableHotkeyToggleIndividualHud	Abilitare <color=ciano>CTRL-SHIFT-(C</color>)ontrol Panel, <color=ciano>CTRL-SHIFT-(L</color>)og, <color=ciano>CTRL-SHIFT-(M</color>)ap e <color=ciano>CTRL-SHIFT-(P</color>)arty per attivare la visibilità di ciascun pannello dell'interfaccia utente.
ModUi/&EnableHotkeyZoomCamera	Abilitare la telecamera <color=cyan>CTRL-SHIFT-(Z</color>)oom <i><color=yellow>[utile quando si scattano schermate di dungeon per la pubblicazione]</color></i>.
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ aggira solo se non è un colpo critico</i>
ModUi/&EnableInventoryFilteringAndSorting	Abilita il filtraggio e l'ordinamento dell'inventario
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Colorare di rosso ogni oggetto con cui l'eroe non è esperto</i>.
ModUi/&EnableInvisibleCrownOfTheMagister	Nascondere la <color=arancione>Corona del Magister</color> sull'interfaccia di gioco
ModUi/&EnableLevel20	Abilita il livello 20 <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableLogDialoguesToConsole	Abilita i dialoghi di log alla console di gioco durante le sequenze narrative
ModUi/&EnableMinInOutAttributes	Applicare i punteggi minimi di abilità e i pre-requisiti di entrata e uscita
ModUi/&EnableOnTheFlyTranslations	Abilita la traduzione in tempo reale dei contenuti personalizzati
ModUi/&EnableRelearnSpells	Possibilità di selezionare i cantrips o gli incantesimi già appresi da altre classi
ModUi/&EnableRespec	Abilitare le azioni RESPEC e Level Down dopo il riposo
ModUi/&EnablesAsiAndFeat	Abilita sia l'aumento dei punteggi degli attributi che la selezione delle imprese <i><color=giallo>[invece di una scelta esclusiva]</color></i>.
ModUi/&EnableSaveByLocation	Abilita il salvataggio per campagne/luoghi
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Abilita la ricarica a breve riposo dell'<color=arancio>Arma Arcana</color> sul <color=arancio> Mago</color> Combattente Arcano
ModUi/&EnableTeleportParty	Abilita <color=ciano>CTRL-SHIFT-(T</color>)eleport party <i><color=giallo>[potresti rompere le missioni o le mappe se ti teletrasporti in un luogo non scoperto]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Abilita i toggle sul pool di personaggi per impostare il party di gioco e di prova predefinito.
ModUi/&EnableUnityExplorer	Abilita l'interfaccia utente di Unity Explorer
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Abilita il recupero illimitato di <color=arancione>Arcane</color> su <color=arancione>Maestro degli incantesimi</color><i><color=giallo>Deve essere abilitato quando l'abilità ha usi disponibili o prima della creazione del personaggio</color></i>.
ModUi/&EnableUpcastConjureElementalAndFey	Abilita l'upcast di <color=arancio>Invocare Elementale</color>, <color=arancio>Invocare Fey</color>.
ModUi/&Encounters	Incontri
ModUi/&ExecuteBatchTranslations	<color=giallo>Traduzioni in blocco:</color>n. Le campagne vengono salvate nel pool con il prefisso della lingua di destinazione.
ModUi/&ExpandAll	Espandi tutto
ModUi/&FactionHelp	<color=#C04040E0>Caricare una campagna ufficiale per modificare le relazioni tra le fazioni...</color>
ModUi/&FactionRelations	<color=giallo>Relazioni di fazione:</color>
ModUi/&FasterTimeModifier	<color=white>Modificatore del tempo di gioco quando si preme la barra spaziatrice</color>
ModUi/&Feats	<color=giallo>Gesti</color>
ModUi/&FeatsFightingStyles	Gesti e stili di combattimento
ModUi/&FightingStyles	<color=giallo>Stili di combattimento</color>
ModUi/&FixSorcererTwinnedLogic	Correggere l'uso della metamagia gemella <i><color=giallo>[un incantesimo deve essere incapace di colpire più di una creatura al livello corrente dell'incantesimo]</color></i>.
ModUi/&FollowCharactersOnTeleport	La telecamera segue i personaggi teletrasportati
ModUi/&FullyControlConjurations	Controllo completo delle evocazioni <i><color=giallo>[animali, elementali, ecc]</color></i>
ModUi/&Gameplay	Gioco
ModUi/&GameUi	Interfaccia utente del gioco
ModUi/&General	<color=giallo>Generale:</color>
ModUi/&GeneralMenu	Generale
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Nascondere gli effetti visivi delle uscite e dei teletrasporti se non sono ancora stati scoperti.
ModUi/&HideMonsterHitPoints	Visualizzare la salute dei mostri in passi di 25% / 50% / 75% / 100% invece che in punti ferita esatti.
ModUi/&HiderArmor	Nascondi armatura
ModUi/&House	<color=giallo>Casa:</color>
ModUi/&IncreaseSenseNormalVision	<color=white>Aumenta il raggio d'azione di <color=orange>Visione normale</color> per consentire attacchi a lungo raggio</color> <i><color=yellow>[40 è ideale per evitare che i nemici si uniscano da troppo lontano]</color></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&InitialChoices	<color=giallo>Scelte iniziali:</color>
ModUi/&Interface	Interfaccia
ModUi/&InventoryAndItems	<color=giallo>Inventario e oggetti:</color>
ModUi/&InvertAltBehaviorOnTooltips	Invertire il comportamento del tasto <color=cyan>ALT</color> sui tooltip
ModUi/&ItemInDm	Oggetti in DM
ModUi/&Items	<color=giallo>Oggetti:</color>
ModUi/&ItemsCraftingMerchants	Oggetti, Artigianato e Mercanti
ModUi/&ItemsHelp1	<color=#C04040E0>Per aggiungere oggetti agli eroi è necessario avere la schermata di ispezione del personaggio aperta...</color>
ModUi/&ItemsHelp2	. Premere + per aggiungere oggetti al contenitore a terra sul pannello di ispezione.
ModUi/&KeyboardMouse	Tastiera e mouse
ModUi/&MakeAllMagicStaveArcaneFoci	Rendi tutti i bastoni magici foci arcani <i><color=giallo>[tranne <color=arancio>Bastone della Guarigione</color> che è Universale]</color></i> <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>.
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Segna anche la posizione dei teletrasporti invisibili sulla mappa del livello dopo la scoperta</i>
ModUi/&MaxAllowedClasses	<color=white>Classi massime consentite</color> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=white>Massimo file di backup per località o campagna</color>
ModUi/&MaxBackupHelp	. I file di backup sono salvati in <i><color=yellow>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>.
ModUi/&MaxSpellLevelsPerLine	<color=white>Livelli massimi per riga nel Pannello degli Incantesimi</color>
ModUi/&Merchants	<color=giallo>Mercanti:</color>
ModUi/&Monsters	<color=yellow>Mostri:</color>
ModUi/&Multiclass	<color=giallo>Multiclasse:</color>
ModUi/&MulticlassKeyHelp	<color=cyan>SHIFT</color> cliccare su un incantesimo consuma uno slot incantesimo invece di quello predefinito della magia patto
ModUi/&MultiplyTheExperienceGainedBy	<color=white>Moltiplica l'esperienza acquisita per</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	Non è richiesta esperienza per salire di livello
ModUi/&NotAvailable	Nessun {0} disponibile per questa mod...
ModUi/&OfferAdditionalLoreFriendlyNames	Offrire nomi aggiuntivi di interesse storico alla creazione del personaggio
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Mostra solo le creature più potenti nell'elenco delle evocazioni</i>.
ModUi/&OverrideMinMaxLevel	Sovrascrivere i livelli minimi e massimi richiesti quando si iniziano nuove avventure
ModUi/&OverridePartySize	<color=white>Sovrascrivere la dimensione del gruppo nelle avventure personalizzate</color>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=white>Sovrascrivere <color=orange>Rogue</color> Artista dei Con <color=orange>Manipolazione Migliorata</color> DC Incantesimi</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=white>Sopravvivenza <color=orange>Maestro Manipolatore</color> Manipolazione Arcana</color> DC Incantesimi</color>
ModUi/&Patches	<color=giallo>Tappi:</color>
ModUi/&PrimedItems	Oggetti innescati
ModUi/&Progression	<color=giallo>Progressione:</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Il cantrip leggero a lancio rapido usa prima gli oggetti indossati dalla testa o dal busto.
ModUi/&Races	<color=giallo>Razze</color>
ModUi/&RacesClassesSubclasses	Razze, classi e sottoclassi
ModUi/&RecipeCost	<color=white>Costo della ricetta</color>
ModUi/&RecipesInDm	Ricette in DM
ModUi/&RelicForgeries	Falsificazione di reliquie
ModUi/&RemoveAttunementRequirements	Rimuovere i requisiti di sintonia <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveBugVisualModels	Sostituire i modelli con bug con immagini alternative nel gioco <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Rimuovere i requisiti di identificazione <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RestockAntiquarians	Ripristinare gli Antiquari <i><color=yellow>[Halman Summer]</color></i>
ModUi/&RestockArcaneum	Ripristinare l'Arcaneum <i><color=giallo>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Ripristinare il Circolo di Danantar <i><color=giallo>[Joriel Foxeye]</color></i>.
ModUi/&RestockHelp	. Annulla le impostazioni predefinite per forzare il rifornimento di tutte le scorte di un mercante nel tempo (esclusi Manuali e Tomi)\n. Si noti che alcuni oggetti possono richiedere fino a 7 giorni di gioco per essere riforniti.
ModUi/&RestockTowerOfKnowledge	Ripristino della Torre della Conoscenza <i><color=giallo>[Maddy Greenisle]</color></i>.
ModUi/&Rules	Regole
ModUi/&ScaleMerchantPricesCorrectly	Scala i prezzi dei mercanti in modo corretto/esatto
ModUi/&SelectAll	Selezionare Tutti
ModUi/&SelectSuggested	Seleziona suggerito
ModUi/&Services	Servizi
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=white>Impostare le probabilità che appaia la barba mentre si usa la</color> <color=orange>Cintura dei Nani</color>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Mostra la ricetta di crafting nei tooltip dettagliati
ModUi/&ShowDescriptions	Mostra descrizioni
ModUi/&SpellInstructions	. È possibile assegnare individualmente ogni incantesimo a qualsiasi elenco di incantesimi o semplicemente selezionare l'insieme suggerito.
ModUi/&SpellLevelFilter	<b><i><color=white>filtro livello incantesimi</color> <color=yellow>[-1 per visualizzare tutti gli incantesimi]</color></i></b>
ModUi/&Spells	<color=giallo>Incantesimi:</color>
ModUi/&SpellsMenu	Incantesimi
ModUi/&SRD	<color=giallo>SRD:</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Riempie il negozio di Gorim con tutti gli abiti non magici <b><i><color=#C04040E0>[Richiede riavvio]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Ripone nel negozio di Hugo la <color=arancio>Bacchetta di Identificazione</color>, il <color=arancio> Bastone di Arcano</color>, il <color=arancio>Collo del Druido</color>, il <color=arancio>Bastone</color> e il <color=arancio>Club</color> come oggetti foci.
ModUi/&Subclasses	<color=giallo>Sottoclassi</color>
ModUi/&TargetLanguage	<color=giallo>Lingua di destinazione:</color>
ModUi/&Tools	Strumenti
ModUi/&TotalFeatsGrantedFistLevel	<color=white>Totale gesta concesse al primo livello</color>
ModUi/&Translate	Tradurre
ModUi/&TranslateCancel	Annulla {0} a {1}
ModUi/&TranslationEngine	<color=giallo>Motore di traduzione:</color>
ModUi/&Translations	Traduzioni
ModUi/&UnleashEnemyAsNpc	Consentire la selezione dei mostri sui gadget dei PNG <i><color=yellow>[premere <color=cyan>CTRL</color> mentre si clicca su Seleziona nel pannello dei gadget]</color></i>
ModUi/&UnleashNpcAsEnemy	Consentire la selezione dei PNG sui gadget dei mostri <i><color=giallo>[premere <color=ciano>CTRL</color> mentre si fa clic su Seleziona nel pannello dei gadget]</color></i>
ModUi/&UnlockAllNpcFaces	Sblocca tutti i volti dei PNG
ModUi/&UnlockEyeStyles	Sblocca gli stili degli occhi
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Sblocca i colori luminosi per tutti i segni e i tatuaggi
ModUi/&UnlockGlowingEyeColors	Sblocca i colori degli occhi luminosi
ModUi/&UnlockMarkAndTatoosForAllCharacters	Sblocca marcature e tatuaggi per tutti i personaggi
ModUi/&UsableDevice	<color=giallo>Dispositivo utilizzabile</color>
ModUi/&UseOfficialAdvantageDisadvantageRules	Usa le regole ufficiali di vantaggio/svantaggio
ModUi/&Visuals	<color=yellow>Visuali:</color>
ModUi/&Weapon	<color=giallo>Armi</color>
ModUi/&AllowCrossbowsToUseBowFeatures	Consentire alle balestre di beneficiare delle caratteristiche degli archi
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Rimuovere il requisito della concentrazione da qualsiasi incantesimo <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
