ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Class/&WitchMaledictionPoxDescription	Como uma ação, escolha uma criatura que você possa ver a um metro e meio para fazer um lançamento salvador da Constituição. Em um salvamento fracassado, a criatura é envenenada até o final de sua próxima jogada.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador da Constituição. Em um salvamento falhado, a classe de armadura da criatura diminui em 3, para um mínimo de 10, até o final de sua próxima jogada.
Class/&WitchMaledictionRuinTitle	Maldição de ruína
Class/&WitchRitualCastingMagicAffinityDescription	Afinidade de Fundição Ritual.
Class/&WitchRitualCastingMagicAffinityTitle	Fundição Ritual
Class/&WitchSavingthrowProficiencyDescription	Sabedoria, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Poupar Feiticeiros Lança Proficiências
Class/&WitchSkillProficiencyDescription	Escolha dois dos Arcanos, Decepção, Percepção, Intimidação, Persuasão, Natureza, e Religião.
Class/&WitchSkillProficiencyTitle	Habilidades de Bruxa
Class/&WitchSpellcastingDescription	Pode lançar feitiços a partir da lista de feitiços das Bruxas.
Class/&WitchSpellcastingTitle	Feitiços de feitiçaria
Class/&WitchTitle	Bruxa
Class/&WitchToolProficiencyDescription	Escolha um dos kits Herbalist Kit e Poisoner's Kit.
Class/&WitchToolProficiencyTitle	Proficiências das ferramentas de bruxas
Class/&WitchVisionsInitiativeDescription	Iniciativa Visions.
Class/&WitchVisionsInitiativeTitle	Iniciativa de Visões
Class/&WitchWeaponProficiencyDescription	Armas simples.
Class/&WitchWeaponProficiencyTitle	Proficiências das Armas de Feitiçaria
Condition/&AbateDescription	Condição de abatimento.
Condition/&AbateTitle	Abate
Condition/&AncientForestPhotosynthesisDescription	Você pode absorver energia da luz solar. Enquanto você está em luz direta e brilhante, você recupera 2 HP no início da sua vez.
Condition/&AncientForestPhotosynthesisTitle	Fotossíntese
Condition/&AncientForestRootedConditionDescription	Os tendrilhos arborícolas crescem de seus pés e caem no chão. Você pode se emaranhar à vontade. Sua velocidade se torna 0 e você ganha vantagem em qualquer lançamento de salvamento para empurrá-lo, puxá-lo ou derrubá-lo propenso.
Condition/&AncientForestRootedConditionTitle	Raízes
Condition/&ApathyDescription	Condição de apatia.
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Condição de encanto.
Condition/&CharmTitle	Encanto
Condition/&ClassMonkEmptyBodyConditionDescription	Você tem resistência a todos os danos, exceto à força.
Condition/&ClassMonkEmptyBodyConditionTitle	Corpo Vazio
Condition/&ClassMonkOpenHandDistractConditionDescription	Não é possível usar reações.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraído
Condition/&ClassMonkStepOfTheWindConditionDescription	Você pode tomar a ação Disengage ou Dash como uma ação bônus e sua distância de salto é dobrada para a curva.
Condition/&ClassMonkStepOfTheWindConditionTitle	Etapa do Vento
Condition/&ClassMonkTanquilityConditionDescription	Você tem vantagem em salvar arremessos contra feitiços e os inimigos têm desvantagem em atacá-lo. Removido quando você faz um ataque ou lança um feitiço.
Condition/&ClassMonkTanquilityConditionTitle	Tranqüilidade
Condition/&ClassMonkZenArrowDistractConditionDescription	Tem desvantagem no próximo ataque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Tem desvantagem em todos os ataques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	O movimento está ajustado a 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Afixado em
Condition/&ConditionBarkWardDescription	Protegido pelos espíritos da floresta.
Condition/&ConditionBarkWardTitle	Ala de Cascas
Condition/&ConditionDualFlurryApplyDescription	Você está construindo um impulso...
Condition/&ConditionDualFlurryApplyTitle	Flurry duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Flurry Duplo!
Condition/&ConditionImprovedBarkWardDescription	Os espíritos da floresta lidam com danos de 2d8 piercing para os atacantes de multidão.
Condition/&ConditionImprovedBarkWardTitle	Ala de Casca Melhorada
Condition/&ConditionMarkedByArcanistDescription	Atingido pela marca Arcanist.
Condition/&ConditionMarkedByArcanistTitle	Marca do Arcanista
Condition/&ConditionMuleDescription	Sua velocidade não é reduzida por ônus ou armadura pesada. Você pode carregar 20 libras adicionais.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Os espíritos da floresta lhe concedem imunidade contra o veneno, e tratam de danos 3d8 piercing para os atacantes de corpo a corpo.
Condition/&ConditionSuperiorBarkWardTitle	Ala Superior Bark Ward
Condition/&DebilitatedConditionDescription	Condição debilitada.
Condition/&DebilitatedConditionTitle	Estado debilitado
Condition/&DHFeeblemindSpellDescription	As pontuações de Inteligência e Carisma da criatura se tornam 1. A criatura não pode lançar feitiços, ativar itens mágicos, compreender a linguagem ou se comunicar de qualquer forma inteligível.
Condition/&DHFeeblemindSpellTitle	A criatura não pode lançar feitiços, ativar itens mágicos, entender a linguagem ou se comunicar de qualquer forma inteligível.
Condition/&DHForesightSpellDescription	Você tem vantagem em rolos de ataque, verificações de habilidade e lançamentos de economia. Além disso, outras criaturas têm desvantagem em rolos de ataque contra você.
Condition/&DHForesightSpellTitle	Prospectiva
Condition/&DHHolyAuraSpellDescription	Quando você lança este feitiço, os aliados dentro do alcance lançam pouca luz num raio de 1,5 m, têm vantagem em todos os lançamentos de salvamento, e outras criaturas têm desvantagem nos lançamentos de ataque contra eles até que o feitiço termine. Além disso, quando um demônio ou um morto-vivo acerta uma criatura afetada com um ataque corpo a corpo, a aura pisca com uma luz brilhante. O atacante deve ser bem sucedido em um lançamento salvador da Constituição ou ficar cego até que o feitiço termine.
Condition/&DHHolyAuraSpellTitle	Protegido pela Santa Aura
Condition/&DHMindBlankSpellDescription	Imune aos danos psíquicos e à condição encantada.
Condition/&DHMindBlankSpellTitle	Mente em branco
Condition/&DHReverseGravitySpellDescription	Não pode se mover.
Condition/&DHReverseGravitySpellTitle	Apanhado pela gravidade reversa
Condition/&DHTimeStopSpellDescription	Congelado pela parada de tempo.
Condition/&DHTimeStopSpellTitle	Congelado pela parada de tempo
Condition/&DHWeirdSpellDescription	A ilusão invoca os medos mais profundos da criatura, manifestando seus piores pesadelos como uma ameaça implacável. Ao final de cada uma das voltas da criatura assustada, ela deve ser bem sucedida em um lançamento salvador da Sabedoria ou sofrer danos psíquicos 4d10. Em um salvamento bem sucedido, o feitiço termina para aquela criatura.
Condition/&DHWeirdSpellTitle	Esquisito
Condition/&DisorientDescription	A precisão desta criatura é reduzida.
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	Mau estado dos olhos.
Condition/&EvilEyeTitle	Olho maligno
Condition/&EWResonatingStrikeDamageDescription	No 5º nível, os ataques desencadeados por esta calamidade causam um dano adicional de 1d8 trovões. O dano aumenta ainda mais em 1d8 nos níveis 11º e 17º.
Condition/&EWResonatingStrikeDamageTitle	Ressonância
Condition/&EWSunlightBladeDamageDescription	No 5º nível, os ataques desencadeados por esta calota provocam um dano adicional de 1d8 radiante. O dano aumenta ainda mais em 1d8 nos níveis 11 e 17.
Condition/&EWSunlightBladeDamageTitle	Queimadura da Sunlit Blade
Condition/&FrenziedDescription	Esta criatura é frenética e irá atacar a criatura mais próxima.
Condition/&FrenziedTitle	Frenzied
Condition/&HalfLifeConditionDescription	Você toma energia necrótica em si mesmo e fica entre a vida e a morte e está temporariamente possuído por seu próprio fantasma, ganhando imunidade e resistência aos danos e às mesmas condições que outros fantasmas.
Condition/&HalfLifeConditionTitle	Meia Vida
Condition/&HelpActionDescription	Esta criatura tem sido distraída.
Condition/&HelpActionTitle	Distraída
Condition/&MoonTouchedConditionDescription	Sua gravidade é negada.
Condition/&MoonTouchedConditionTitle	Lua Tocada
Condition/&PoxDescription	Condição da varíola.
Condition/&PoxTitle	Pox
Condition/&RuinDescription	Condição de ruína.
Condition/&RuinedDescription	A defesa desta criatura é reduzida.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruína
Condition/&SentinelStopMovementConditionTitle	Parou
Condition/&SwallowedByToadConditionDescription	Leva danos de ácido 3d6 por rodada. Acaba se o Toad Warlock for atingido com 15 ou mais danos em um único ataque.
Condition/&SwallowedByToadConditionTitle	Engolido pelo Sapo
Condition/&SwallowingToadConditionDescription	Termina se o Toad Warlock for atingido com 15 ou mais danos em um único ataque.
Condition/&SwallowingToadConditionTitle	Engolindo o Sapo
ContentPack/&CommunityExpansionPackDescription	O pacote de Expansão Comunitária acrescenta novas classes, subclasses, proezas e feitiços. Há uma tampa de nível superior, multiclasse, características QOL, correção de bugs e muito mais. É um verdadeiro Chifre da Abundância (TM).
ContentPack/&CommunityExpansionPackTitle	Pacote de Expansão da Comunidade
CraftyFeats/&ApothecaryIntFeatDescription	#ERROR!
CraftyFeats/&ApothecaryIntFeatTitle	Boticário (Inteligência)
CraftyFeats/&ApothecaryWisFeatDescription	#ERROR!
CraftyFeats/&ApothecaryWisFeatTitle	Boticário (Sabedoria)
CraftyFeats/&AttributeDexDescription	#ERROR!
CraftyFeats/&AttributeDexTitle	Dexteridade
CraftyFeats/&AttributeIntDescription	#ERROR!
CraftyFeats/&AttributeIntTitle	Inteligência
CraftyFeats/&AttributeWisDescription	#ERROR!
CraftyFeats/&AttributeWisTitle	Sabedoria
CraftyFeats/&CraftyArcanaDescription	Proficiência ou especialização em arcanas.
CraftyFeats/&CraftyBowsDescription	Proficiência com todos os arcos e arcos cruzados.
CraftyFeats/&CraftyBowsTitle	Proficiência em arcos
CraftyFeats/&CraftyFletcherFeatDescription	#ERROR!
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Proficiência ou especialização em medicina.
CraftyFeats/&CraftyNatureDescription	Proficiência ou perícia em medicina.
CraftyFeats/&CraftyScribeFeatDescription	#ERROR!
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Ferramentas
CraftyFeats/&ManacalonCrafterFeatDescription	#ERROR!
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	#ERROR!
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologista (Inteligência)
CraftyFeats/&ToxicologistWisFeatDescription	#ERROR!
CraftyFeats/&ToxicologistWisFeatTitle	Toxicólogo (Wisdom)
DamageAffinity/&DHHolyAuraSpellDescription	Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo-a-corpo, a aura pisca com uma luz brilhante. O atacante deve ser bem sucedido em um lançamento salvador da Constituição ou ficar cego até que o feitiço termine.
DamageAffinity/&DHHolyAuraSpellTitle	Santa retaliação da Aura
Equipment/&ArcaneStaffDescription	Esta equipe está inscrita com escrita mágica e pode ser usada como foco para a fundição de feitiços Arcane.
Equipment/&ArcaneStaffTitle	Cajado Arcano
Equipment/&CEHalberdTypeTitle	Halberds
Equipment/&CEHandXbowTypeTitle	Bestas Cruzadas de Mão
Equipment/&CELongMaceTypeTitle	Macacos longos
Equipment/&CEPikeTypeTitle	Pikes
Equipment/&DruidicAmuletDescription	Este amuleto totêmico pode ser usado como um foco para a fundição de feitiços druídicos.
Equipment/&DruidicAmuletTitle	Amuleto druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Clube de Fidelidade
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso estilhaçavam a armadura para infligir danos adicionais. A primeira arma deste tipo foi projetada por Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Clube Bearclaw
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Club_Lightbringer_Title	Clube Lightbringer
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este clube para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Club_Power_Title	Clube do Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. A combinação do melhor metal e da melhor pedra eslava deu a este machado um poder penetrante incrível.
Equipment/&Enchanted_Club_Punisher_Title	Clube do Punidor
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo da Façanha
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo Frostburn
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo da Nitidez
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo Souldrinker
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	O Handaxe da Fidelidade
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Handaxe Frostburn
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxe da Nitidez
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Handaxe de Souldrinker
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Seu design original trazia o signo de Defineth Sharpsight, um renomado feiticeiro elfo silvestre.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Besta Cruzada de Precisão Pesada
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Besta Pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. A magia fundiu o coral medusa e a madeira dura para criar um arco mortal, favorecido pelas festas de bordo dos halflings da ilha.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Besta Pesada Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas do Manacalon fisicamente em vez de magicamente. Seus melhores arqueiros receberam bestais, a criação do Defeth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Besta Pesada de Atiradores
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma com efeito devastador!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Besta-de-Tormenta Pesada
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Esconder a Armadura de Deflexão
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Esconder Armaduras de Dança de Chama
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Esconder armadura de Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Esconder armadura de Robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Esconder a Armadura da Robustez
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Esconder a Armadura da Sobrevivência
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Javelin da Acuidade
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Javelin_Frostburn_Title	Javelin Frostburn
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Javelin da Nitidez
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Javelin Souldrinker
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Couro de Deflexão Druida
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Couro Druida de Dança de Chama
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Couro Druida de Frost Walking
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
