ModUi/&AddAllToStore	Ajouter tout au magasin
ModUi/&EnableRespec	Activer les actions RESPEC et Level Down after rest.
ModUi/&EnablesAsiAndFeat	Permet à la fois l'augmentation des scores d'attributs et la sélection des exploits <i><color=#FFFF00>[au lieu d'un choix exclusif]</color></i>.
ModUi/&EnableSaveByLocation	Activer la sauvegarde par campagnes / lieux
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Activer la recharge de court repos de <color=#FFA500>Arcane Weapon</color> sur <color=#FFA500>Wizard</color> Arcane Fighter.
ModUi/&EnableTeleportParty	Activer <color=#00FFFF>CTRL-SHIFT-(T</color>)eleport party <i><color=#FFFF00>[vous risquez de casser des quêtes ou des cartes si vous vous téléportez dans un endroit non découvert]</color></i>.
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Activez les boutons à bascule sur le pool de personnages pour définir votre partie de jeu et de test par défaut.
ModUi/&EnableUnityExplorer	Activez l'interface utilisateur de l'explorateur Unity
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Activer la <color=#FFA500>Récupération d'arcanes</color> illimitée sur <color=#FFA500>Mageur</color> maître des sorts\n<i><color=#FFFF00>Doit être activé lorsque la capacité a des utilisations disponibles ou avant la création du personnage</color></i>.
ModUi/&EnableUpcastConjureElementalAndFey	Active l'upcast de <color=#FFA500>Conjuration élémentaire</color>, <color=#FFA500>Conjuration féerique</color>.
ModUi/&Encounters	Rencontres
ModUi/&ExecuteBatchTranslations	. Traduire par lot à la place pour créer un nouveau fichier de campagne traduit\n. Les campagnes sont sauvegardées dans le pool préfixé par la langue cible.
ModUi/&ExpandAll	Développer tout
ModUi/&FactionHelp	<color=#C04040E0>Chargez un jeu de campagne officiel pour modifier les relations entre factions...</color>.
ModUi/&FactionRelations	<color=#FFFF00>Relations entre factions:</color>
ModUi/&FasterTimeModifier	</color=#FFFFFF>Modificateur de temps de jeu en appuyant sur la barre d'espace</color>.
ModUi/&Feats	<color=#FFFF00>Feats</color>
ModUi/&FeatsFightingStyles	Prouesses et styles de combat
ModUi/&FightingStyles	<color=#FFFF00>Styles de combat</color>
ModUi/&FixSorcererTwinnedLogic	Correction <color=#FFA500>Sorcier</color> utilisation de la métamagie jumelée <i><color=#FFFF00>[un sort doit être incapable de cibler plus d'une créature au niveau actuel du sort]</color></i>.
ModUi/&FollowCharactersOnTeleport	La caméra suit le(s) personnage(s) téléporté(s)
ModUi/&FullyControlConjurations	Contrôle total des conjurations <i><color=#FFFF00>[animaux, élémentaires, etc]</color></i>.
ModUi/&Gameplay	Gameplay
ModUi/&GameUi	Interface utilisateur du jeu
ModUi/&General	<color=#FFFF00>Général:</color>
ModUi/&GeneralMenu	Général
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Cacher les effets visuels des sorties et des téléporteurs s'ils ne sont pas encore découverts.
ModUi/&HideMonsterHitPoints	Afficher la santé des monstres par paliers de 25% / 50% / 75% / 100% au lieu des points de vie exacts.
ModUi/&HiderArmor	Masquer les armures
ModUi/&House	<color=#FFFF00>Maison:</color>
ModUi/&IncreaseSenseNormalVision	</color=#FFFFFF>Augmenter la portée du <color=#FFA500>Sense Normal Vision</color> pour permettre les attaques à longue portée</color> <i><color=#FFFF00>[40 est idéal pour éviter que les ennemis ne rejoignent de trop loin]</color></i>.
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>
ModUi/&InitialChoices	<color=#FFFF00>Choix initiaux :</color>
ModUi/&Interface	Interface
ModUi/&InventoryAndItems	<color=#FFFF00>Inventaire et objets:</color>
ModUi/&InvertAltBehaviorOnTooltips	Inversion du comportement de la touche <color=#00FFFF>ALT</color> sur les infobulles.
ModUi/&ItemInDm	Articles dans le DM
ModUi/&Items	<color=#FFFF00>Articles:</color>
ModUi/&ItemsCraftingMerchants	Articles, artisanat et marchands
ModUi/&ItemsHelp1	<color=#C04040E0>Vous devez avoir l'écran d'inspection des personnages ouvert pour ajouter des articles aux héros...</color>.
ModUi/&ItemsHelp2	. Appuyez sur + pour ajouter des objets dans le conteneur au sol sur le panneau d'inspection.
ModUi/&KeyboardMouse	Clavier et souris
ModUi/&MakeAllMagicStaveArcaneFoci	Rendez toutes les bâtons magiques arcane foci <i><color=#FFFF00>[sauf <color=#FFA500>Bâton de guérison</color> qui est universel]</color></i> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Marquer également l'emplacement des téléporteurs invisibles sur la carte du niveau après leur découverte</i>.
ModUi/&MaxAllowedClasses	<color=#FFFFFF>Max classes autorisées</color> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&MaxBackupFilesPerLocationCampaign	<color=#FFFFFF>Max. de fichiers de sauvegarde par lieu ou par campagne</color>.
ModUi/&MaxBackupHelp	. Les fichiers de sauvegarde sont enregistrés sous <i><color=#FFFF00>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>.
ModUi/&MaxSpellLevelsPerLine	<color=#FFFFFF>Niveaux maximum par ligne sur le panneau des sorts</color>.
ModUi/&Merchants	<color=#FFFF00>Marchands :</color>
ModUi/&Monsters	<color=#FFFF00>Monstres:</color>
ModUi/&Multiclass	<color=#FFFF00>Multiclasse:</color>
ModUi/&MulticlassKeyHelp	<color=#00FFFF>SHIFT</color> cliquer sur un sort consomme un emplacement de sort au lieu de celui par défaut de la magie de pacte.
ModUi/&MultiplyTheExperienceGainedBy	<color=#FFFFFF>Multiplier l'expérience acquise par</color> <color=#C04040E0>[%]</color>.
ModUi/&NoExperienceOnLevelUp	Aucune expérience n'est nécessaire pour monter en niveau.
ModUi/&NotAvailable	Aucun {0} disponible sur ce mod pour le moment...
ModUi/&OfferAdditionalLoreFriendlyNames	Proposer des noms supplémentaires respectueux du lore lors de la création de personnage.
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Ne montrer que les créatures les plus puissantes dans la liste de conjuration</i>.
ModUi/&OverrideMinMaxLevel	Remplacer les niveaux minimum et maximum requis lors du démarrage de nouvelles aventures.
ModUi/&OverridePartySize	<color=#FFFFFF>Passer outre la taille du groupe dans les aventures personnalisées</color>.
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=#FFFFFF>Passer outre <color=#FFA500>Rogue</color> Con Artist <color=#FFA500>Manipulation améliorée</color> DC des sorts</color>.
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=#FFFFFF>Override <color=#FFA500>Mage</color>Maître Manipulateur <color=#FFA500>Manipulation arcanique</color>Code des sorts</color>.
ModUi/&Patches	<color=#FFFF00>Patches:</color>
ModUi/&PrimedItems	Objets amorcés
ModUi/&Progression	<color=#FFFF00>Progression:</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Le cantrip rapide de lumière utilise d'abord les objets portés à la tête ou au torse.
ModUi/&Races	<color=#FFFF00>Races</color>
ModUi/&RacesClassesSubclasses	Races, classes et sous-classes
ModUi/&RecipeCost	<color=#FFFFFF>Coût des recettes</color>
ModUi/&RecipesInDm	Recettes dans le DM
ModUi/&RelicForgeries	Fausses reliques
ModUi/&RemoveAttunementRequirements	Suppression des exigences d'harmonisation <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&RemoveBugVisualModels	Remplacer les modèles de type bug par des visuels alternatifs dans le jeu <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></b>.
ModUi/&RemoveIdentifcationRequirements	Supprimer les exigences d'identification <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&RestockAntiquarians	Réapprovisionnement des Antiquaires <i><color=#FFFF00>[Eté Halman]</color></i>.
ModUi/&RestockArcaneum	Réapprovisionnement d'Arcaneum <i><color=#FFFF00>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Réapprovisionnement Cercle de Danantar <i><color=#FFFF00>[Joriel Foxeye]</color></i>
ModUi/&RestockHelp	. Remplacez les valeurs par défaut pour forcer tous les stocks d'un marchand à se réapprovisionner au fil du temps (à l'exception des manuels et des tomes)\n. Notez que certains articles peuvent prendre jusqu'à 7 jours de jeu pour se réapprovisionner.
ModUi/&RestockTowerOfKnowledge	Réapprovisionnement de la Tour du savoir <i><color=#FFFF00>[Maddy Greenisle]</color></i>.
ModUi/&Rules	Règles
ModUi/&ScaleMerchantPricesCorrectly	Échelonner correctement / exactement les prix des marchands.
ModUi/&SelectAll	Sélectionner tout
ModUi/&SelectSuggested	Sélectionner suggéré
ModUi/&Services	Services
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=#FFFFFF>Définir les chances d'apparition d'une barbe lors de l'utilisation de la</color> <color=#FFA500>Ceinture de l'humanité naine</color>.
ModUi/&ShowCraftingRecipeInDetailedTooltips	Afficher la recette d'artisanat dans les infobulles détaillées
ModUi/&ShowDescriptions	Afficher les descriptions
ModUi/&SpellInstructions	. Vous pouvez affecter individuellement chaque sort à n'importe quelle liste de sorts ou simplement sélectionner l'ensemble proposé....
ModUi/&SpellLevelFilter	<b><i><color=#FFFFFF>filtre de niveau de sort</color> <color=#FFFF00>[-1 pour afficher tous les sorts]</color></i></b>.
ModUi/&Spells	<color=#FFFF00>Sorts:</color>
ModUi/&SpellsMenu	Sorts
ModUi/&SRD	<color=#FFFF00>SRD:</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Stocke le magasin de Gorim avec tous les vêtements non-magiques <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&StockHugoStoreWithAdditionalFoci	Remplit le magasin d'Hugo avec <color=#FFA500>Baguette d'identification</color>, <color=#FFA500>Bâton d'arcanes</color>, <color=#FFA500>Cou de druide</color>, <color=#FFA500>Bâton</color> et <color=#FFA500>Club</color> mis en place comme objets foci.
ModUi/&Subclasses	<color=#FFFF00>Sous-classes</color>
ModUi/&TargetLanguage	Langue cible
ModUi/&Tools	Outils
ModUi/&TotalFeatsGrantedFistLevel	<color=#FFFFFF>Total des prouesses accordées au premier niveau</color>.
ModUi/&Translate	Traduire
ModUi/&TranslateCancel	Annuler {0} à {1}
ModUi/&TranslationEngine	Moteur de traduction
ModUi/&Translations	Traductions
ModUi/&UnleashEnemyAsNpc	Autoriser les monstres à être sélectionnés sur les gadgets des PNJ <i><color=#FFFF00>[appuyer sur <color=#00FFFF>CTRL</color> tout en cliquant sur Sélectionner sur le panneau des gadgets]</color></i>.
ModUi/&UnleashNpcAsEnemy	Autoriser la sélection des PNJ sur les gadgets des monstres <i><color=#FFFF00>[appuyez sur <color=#00FFFF>CTRL</color> tout en cliquant sur Sélectionner sur le panneau des gadgets]</color></i>.
ModUi/&UnlockAllNpcFaces	Déverrouiller tous les visages des PNJ
ModUi/&UnlockEyeStyles	Déverrouiller les styles d'yeux
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Débloquer des couleurs lumineuses pour toutes les marques et tous les tatouages.
ModUi/&UnlockGlowingEyeColors	Déverrouiller les couleurs des yeux brillants
ModUi/&UnlockMarkAndTatoosForAllCharacters	Déverrouiller les marquages et les tatouages de tous les personnages.
ModUi/&UsableDevice	<color=#FFFF00>Appareil utilisable</color>
ModUi/&UseOfficialAdvantageDisadvantageRules	Utiliser les règles officielles d'avantage / désavantage
ModUi/&Visuals	<color=#FFFF00>Visuels :</color>
ModUi/&Weapon	<color=#FFFF00>Armes</color>
ModUi/&AllowCrossbowsToUseBowFeatures	Permettre aux arbalètes de bénéficier des caractéristiques des arcs.
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Supprimer la condition de concentration de tout sort <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
