ModUi/&AddAllToStore	Alle zum Lager hinzufügen
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=#FFA500>Bestow Curse</color> erfordert keine Konzentration mehr, wenn er mit einem L5+ Zauberslot gewirkt wird
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=#FFA500>Blind</color> Zustand erlaubt keinen Gelegenheitsangriff
ModUi/&Blueprints	Blaupausen
ModUi/&CampaignsAndLocations	<color=#FFFF00>Kampagnen und Orte:</color>
ModUi/&Character	Charakter
ModUi/&CharactersPool	Charaktere Pool
ModUi/&Classes	<color=#FFFF00>Klassen</color>
ModUi/&Crafting	<color=#FFFF00>Basteln:</color>
ModUi/&CraftingHelp	. Drücke die Taste, um Rezepte sofort für die aktive Gruppe zu erlernen\n. Für Gegenstände, die zu den Läden hinzugefügt werden, muss die Gruppe möglicherweise den Ort verlassen und zurückkehren.
ModUi/&Credits	Credits
ModUi/&CreditsAndDiagnostics	Credits & Diagnostik
ModUi/&DisableAutoEquip	Automatisches Ausrüsten von Gegenständen im Inventar deaktivieren
ModUi/&DisableSenseDarkVisionFromAllRaces	<color=#FFA500>Dunkelsicht</color> für alle Völker deaktivieren <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Deaktiviere <color=#FFA500>Superior Sense Dark Vision</color> für alle Völker <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Anzeige aller bekannten Zauber von anderen Klassen während des Stufenaufstiegs
ModUi/&DontFollowCharacterInBattle	Kampfkamera folgt nicht, wenn der Charakter bereits auf dem Bildschirm ist
ModUi/&DontFollowMargin	<i><color=#FFFFFF>+ Es sei denn, der Held befindet sich außerhalb oder innerhalb von % des Bildschirmrandes</color></i>
ModUi/&DungeonMaker	<color=#FFFF00>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. Diese Einstellungen setzen nicht voraus, dass der Spieler diese Mod installiert hat\n. Sie können jede Kampagnenvariable in Ihre Dialoge, Beschreibungen, etc. einbetten\n. CE wird sie während des Spiels durch ihren Wert ersetzen <i><color=#FFFF00>[d.h.: Hallo {Salute} Held!]</color></i>
ModUi/&DungeonMakerMenu	Dungeon-Macher
ModUi/&EmpressGarbAppearance	<color=#FFA500>Gewand der Kaiserin</color> Aussehen
ModUi/&EnableAdditionalIconsOnLevelMap	Aktiviere zusätzliche Icons für Lager, Ausgänge und Teleporter auf der Levelkarte
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Hinzufügen neuer Gegenstände zum Dungeon Maker</i>
ModUi/&EnableAlternateHuman	Aktiviert den alternativen Menschen <i><color=#FFFF00>[+1 Heldentat / +2 Attributwahlen / +1 Fertigkeit]</color></i>
ModUI/&EnableBetaContent	Beta-Inhalte aktivieren <i><color=#FFFF00>[bedenke, dass deine Spielstände oder Helden in Zukunft kaputt gehen könnten]</color></i> <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&EnableCancelEditOnRightMouseClick	Abbrechen mit rechtem Mausklick aktivieren
ModUi/&EnableCharacterChecker	Aktivieren Sie den Zeichenprüfungsbildschirm
ModUi/&EnableCharacterExport	<color=#00FFFF>CTRL-SHIFT-(E</color>)xport character <i><color=#FFFF00>[nur im Charakterprüfungsbildschirm]</color></i> aktivieren
ModUi/&EnableCheatMenu	Aktivieren Sie das Cheats-Menü
ModUi/&EnableCtrlClickBypassAttackReactionPanel	Aktiviere <color=#00FFFF>CTRL</color> Klick auf Angriffe, um das Reaktionsfeld zu ignorieren
ModUi/&EnableCtrlClickBypassMetamagicPanel	Aktiviere <color=#00FFFF>CTRL</color> klicke auf Zaubersprüche, um das <color=#FFA500>Sorcerer</color> Metamagie-Panel zu ignorieren
ModUi/&EnableCtrlClickOnlySwapsMainHand	Aktiviere <color=#00FFFF>CTRL</color>-Klick, um Gegenstände aus der Hand zu behalten, wenn die Handkonfigurationen gewechselt werden
ModUi/&EnableDungeonMakerModdedContent	Aktiviere Dungeon Maker Pro <b><i><color=#C04040E0>[Erfordert einen Neustart]</color></i></b>\n\nbeinhaltet flache Räume, 150x150 & 200x200 Dungeongrößen und schnörkelloses Mischen von Assets aus allen Umgebungen\ndu musst mindestens einen Außenraum haben, wenn du eine Außenumgebung wählst
ModUi/&EnableEpicPointsAndArray	Aktiviere ein episches 35-Punkte-Kaufsystem und ein <i><color=#FFFF00>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&EnableExtraHighLevelMonsters	Zusätzliche hochstufige Monster (+20 CR) für Tier 3 und 4 Kampagnen aktivieren <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&EnableFeatsAtEvenLevels	Auswahl von Feats auf den Klassenstufen 2, 6, 10 und 14 ermöglichen
ModUi/&EnableFlexibleBackgrounds	Flexible Hintergründe aktivieren <i><color=#FFFF00>[Auswahl von Fertigkeits- und Werkzeugkenntnissen aus Hintergründen]</color></i>
ModUi/&EnableFlexibleRaces	Flexible Rassen einschalten <i><color=#FFFF00>[Zuweisung von Fähigkeitspunkten anstelle der Standardwerte für Rassen]</color></i>
ModUi/&EnableHotkeyDebugOverlay	<color=#00FFFF>CTRL-SHIFT-(D</color>)ebug-Überlagerung einschalten
ModUi/&EnableHotkeyToggleHud	Aktivieren Sie <color=#00FFFF>CTRL-SHIFT-(H</color>)ud, um die Sichtbarkeit aller UI-Panels umzuschalten
ModUi/&EnableHotkeyToggleIndividualHud	Aktivieren Sie <color=#00FFFF>CTRL-SHIFT-(C</color>)ontrol Panel, <color=#00FFFF>CTRL-SHIFT-(L</color>)og, <color=#00FFFF>CTRL-SHIFT-(M</color>)ap und <color=#00FFFF>CTRL-SHIFT-(P</color>)arty, um die Sichtbarkeit der einzelnen UI-Panels umzuschalten
ModUi/&EnableHotkeyZoomCamera	Aktiviere <color=#00FFFF>CTRL-SHIFT-(Z</color>)oom-Kamera <i><color=#FFFF00>[nützlich, wenn man Dungeon-Screenshots zur Veröffentlichung macht]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ wird nur umgangen, wenn es kein kritischer Treffer ist</i>
ModUi/&EnableInventoryFilteringAndSorting	Filterung und Sortierung des Inventars aktivieren
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Färbe alle Gegenstände, die der Held nicht beherrscht, rot</i>
ModUi/&EnableInvisibleCrownOfTheMagister	Verstecke die <color=#FFA500>Krone des Magisters</color> auf der Spiel-UI
ModUi/&EnableLevel20	Aktiviere Stufe 20 <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&EnableLogDialoguesToConsole	Aktiviere Log-Dialoge auf der Spielkonsole während narrativer Sequenzen
ModUi/&EnableMinInOutAttributes	Erzwingen von Mindestvoraussetzungen für Fähigkeitswertungen (in & out)
ModUi/&EnableOnTheFlyTranslations	Übersetzungen von benutzerdefinierten Inhalten in Echtzeit aktivieren
ModUi/&EnableRelearnSpells	Kann bereits erlernte Cantrips oder Zauber aus anderen Klassen auswählen
ModUi/&EnableRespec	Aktivieren der Aktionen RESPEC und Level Down nach Ruhe
ModUi/&EnablesAsiAndFeat	Ermöglicht sowohl die Erhöhung von Attributswerten als auch die Auswahl von Heldentaten <i><color=#FFFF00>[anstatt einer exklusiven Auswahl]</color></i>
ModUi/&EnableSaveByLocation	Speichern nach Kampagnen / Orten ermöglichen
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Kurze Aufladezeit für <color=#FFA500>Arkane Waffe</color> auf <color=#FFA500>Zauberer</color> Arkaner Kämpfer
ModUi/&EnableTeleportParty	Aktiviere <color=#00FFFF>CTRL-SHIFT-(T</color>)eleport party <i><color=#FFFF00>[du könntest Quests oder Karten zerstören, wenn du dich an einen unentdeckten Ort teleportierst]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Aktivieren Sie die Kippschalter im Charakterpool, um Ihre Standardspiel- und Testgruppe festzulegen.
ModUi/&EnableUnityExplorer	Aktivieren Sie die Unity Explorer UI
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Unbegrenzte <color=#FFA500>Arcane Recovery</color> auf <color=#FFA500>Wizard</color> Spell Master\n<i><color=#FFFF00>Muss aktiviert werden, wenn die Fähigkeit nutzbar ist oder vor der Charaktererstellung</color></i>
ModUi/&EnableUpcastConjureElementalAndFey	Aktiviert Upcast von <color=#FFA500>Elementar beschwören</color>, <color=#FFA500>Fee beschwören</color>
ModUi/&Encounters	Begegnungen
ModUi/&ExecuteBatchTranslations	. Stapelübersetzung stattdessen, um eine neue übersetzte Kampagnendatei\n zu erstellen. Die Kampagnen werden mit dem Präfix der Zielsprache zurück in den Pool gespeichert.
ModUi/&ExpandAll	Alle erweitern
ModUi/&FactionHelp	<color=#C04040E0>Laden Sie ein offizielles Kampagnenspiel, um die Fraktionsbeziehungen zu ändern...</color>
ModUi/&FactionRelations	<color=#FFFF00>Fraktionsbeziehungen:</color>
ModUi/&FasterTimeModifier	<color=#FFFFFF>Spielzeitmodifikator beim Drücken der Leertaste</color>
ModUi/&Feats	<color=#FFFF00>Fähigkeiten</color>
ModUi/&FeatsFightingStyles	Fähigkeiten & Kampfstile
ModUi/&FightingStyles	<color=#FFFF00>Kampfstile</color>
ModUi/&FixSorcererTwinnedLogic	Repariert <color=#FFA500>Zauberer</color> Verwendung von Zwillings-Metamagie <i><color=#FFFF00>[ein Zauber muss auf der aktuellen Stufe des Zaubers nicht mehr als eine Kreatur anvisieren können]</color></i>
ModUi/&FollowCharactersOnTeleport	Kamera folgt teleportierter Figur(en)
ModUi/&FullyControlConjurations	Vollständige Kontrolle über Beschwörungen <i><color=#FFFF00>[Tiere, Elementare, etc]</color></i>
ModUi/&Gameplay	Spielablauf
ModUi/&GameUi	Spiel-UI
ModUi/&General	<color=#FFFF00>Allgemein:</color>
ModUi/&GeneralMenu	Allgemein
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Ausgänge und Teleporter mit visuellen Effekten ausblenden, wenn sie noch nicht entdeckt wurden
ModUi/&HideMonsterHitPoints	Anzeige der Lebenspunkte von Monstern in Schritten von 25% / 50% / 75% / 100% anstelle der genauen Trefferpunkte
ModUi/&HiderArmor	Rüstung ausblenden
ModUi/&House	<color=#FFFF00>Haus:</color>
ModUi/&IncreaseSenseNormalVision	<color=#FFFFFF>Reichweite von <color=#FFA500>Sense Normal Vision</color> erhöhen, um Angriffe aus großer Entfernung zu ermöglichen</color> <i><color=#FFFF00>[40 ist ideal, um zu vermeiden, dass Feinde aus zu großer Entfernung angreifen]</color></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&InitialChoices	<color=#FFFF00>Anfängliche Auswahlmöglichkeiten:</color>
ModUi/&Interface	Schnittstelle
ModUi/&InventoryAndItems	<color=#FFFF00>Inventar und Gegenstände:</color>
ModUi/&InvertAltBehaviorOnTooltips	Umkehrung des <color=#00FFFF>ALT</color> Tastenverhaltens bei Tooltips
ModUi/&ItemInDm	Gegenstände im DM
ModUi/&Items	<color=#FFFF00>Gegenstände:</color>
ModUi/&ItemsCraftingMerchants	Gegenstände, Crafting & Händler
ModUi/&ItemsHelp1	<color=#C04040E0>Der Charakterinspektionsbildschirm muss geöffnet sein, um den Helden Gegenstände hinzuzufügen...</color>
ModUi/&ItemsHelp2	. Drücke +, um Gegenstände in den Bodencontainer auf dem Inspektionsbildschirm zu legen.
ModUi/&KeyboardMouse	Tastatur & Maus
ModUi/&MakeAllMagicStaveArcaneFoci	Mach alle magischen Stäbe zu arkanen Fokussen <i><color=#FFFF00>[außer <color=#FFA500>Stab der Heilung</color>, der universell ist]</color></i> <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Markiere auch die Position von unsichtbaren Teleportern auf der Levelkarte nach der Entdeckung</i>
ModUi/&MaxAllowedClasses	<color=#FFFFFF>Maximal erlaubte Klassen</color> <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=#FFFFFF>Max. Sicherungsdateien pro Standort oder Kampagne</color>
ModUi/&MaxBackupHelp	. Sicherungsdateien werden unter <i><color=#FFFF00>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i> gespeichert.
ModUi/&MaxSpellLevelsPerLine	<color=#FFFFFF>Maximalstufen pro Zeile auf der Zaubertafel</color>
ModUi/&Merchants	<color=#FFFF00>Merchants:</color>
ModUi/&Monsters	<color=#FFFF00>Monster:</color>
ModUi/&Multiclass	<color=#FFFF00>Multiklasse:</color>
ModUi/&MulticlassKeyHelp	<color=#00FFFF>SHIFT</color> Ein Klick auf einen Zauber verbraucht einen Zauberslot statt des standardmäßigen Paktmagie-Slots
ModUi/&MultiplyTheExperienceGainedBy	<color=#FFFFFF>Multipliziere die gewonnene Erfahrung mit</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	Zum Aufleveln wird keine Erfahrung benötigt
ModUi/&NotAvailable	Noch keine {0} für diesen Mod verfügbar...
ModUi/&OfferAdditionalLoreFriendlyNames	Zusätzliche überlieferungsfreundliche Namen bei der Charaktererstellung anbieten
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Zeige nur die mächtigsten Kreaturen in der Beschwörungsliste an</i>
ModUi/&OverrideMinMaxLevel	Überschreibe die erforderlichen Mindest- und Höchststufen beim Start neuer Abenteuer
ModUi/&OverridePartySize	<color=#FFFFFF>Die Gruppengröße in benutzerdefinierten Abenteuern außer Kraft setzen</color>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=#FFFFFF>Aufhebung des <color=#FFA500>Rogue</color> Con Artist <color=#FFA500>Verbesserte Manipulation</color>Zauber DC</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=#FFFFFF>Override <color=#FFA500>Zauberer</color> Meister der Manipulation <color=#FFA500>Arkane Manipulation</color> Zauber DC</color>
ModUi/&Patches	<color=#FFFF00>Aufnäher:</color>
ModUi/&PrimedItems	Grundierte Gegenstände
ModUi/&Progression	<color=#FFFF00>Progression:</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Der schnell gewirkte Licht-Kantrip verwendet zuerst Gegenstände, die am Kopf oder Rumpf getragen werden.
ModUi/&Races	<color=#FFFF00>Rassen</color>
ModUi/&RacesClassesSubclasses	Rassen, Klassen und Unterklassen
ModUi/&RecipeCost	<color=#FFFFFF>Kosten des Rezepts</color>
ModUi/&RecipesInDm	Rezepte in DM
ModUi/&RelicForgeries	Reliktfälschungen
ModUi/&RemoveAttunementRequirements	Einstimmungsanforderungen entfernen <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&RemoveBugVisualModels	Ersetzen von fehlerhaften Modellen durch alternative Darstellungen im Spiel <b><i><color=#C04040E0>[Erfordert einen Neustart]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Identifikationsanforderungen entfernen <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&RestockAntiquarians	Aufstockung der Vorräte für Antiquare <i><color=#FFFF00>[Halman-Sommer]</color></i>
ModUi/&RestockArcaneum	Arcaneum wieder auffüllen <i><color=#FFFF00>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Vorrat Zirkel von Danantar auffüllen <i><color=#FFFF00>[Joriel Fuchsauge]</color></i>
ModUi/&RestockHelp	. Überschreibt die Standardeinstellungen, so dass der gesamte Vorrat eines Händlers im Laufe der Zeit wieder aufgefüllt wird (ausgenommen Handbücher und Wälzer)\n. Beachte, dass es bei einigen Gegenständen bis zu 7 Spieltage dauern kann, bis sie wieder aufgefüllt werden
ModUi/&RestockTowerOfKnowledge	Turm des Wissens aufstocken <i><color=#FFFF00>[Maddy Greenisle]</color></i>
ModUi/&Rules	Regeln
ModUi/&ScaleMerchantPricesCorrectly	Händlerpreise korrekt / genau skalieren
ModUi/&SelectAll	Alle auswählen
ModUi/&SelectSuggested	Vorgeschlagene auswählen
ModUi/&Services	Dienstleistungen
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=#FFFFFF>Einstellen der Wahrscheinlichkeit, dass ein Bart erscheint, wenn man den</color> <color=#FFA500>Gürtel der Zwerge benutzt</color>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Handwerksrezept in detaillierten Tooltips anzeigen
ModUi/&ShowDescriptions	Beschreibungen anzeigen
ModUi/&SpellInstructions	. Ihr könnt jeden Zauber individuell einer Zauberliste zuordnen oder einfach das vorgeschlagene Set auswählen
ModUi/&SpellLevelFilter	<b><i><color=#FFFFFF>Zauberstufenfilter</color> <color=#FFFF00>[-1 um alle Zauber anzuzeigen]</color></i></b>
ModUi/&Spells	<color=#FFFF00>Zaubersprüche:</color>
ModUi/&SpellsMenu	Zaubersprüche
ModUi/&SRD	<color=#FFFF00>SRD:</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Versorgt Gorims Laden mit allen nichtmagischen Kleidungsstücken <b><i><color=#C04040E0>[Benötigt Neustart]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Versorgt Hugos Laden mit <color=#FFA500>Stab der Identifizierung</color>, <color=#FFA500>Arkanstab</color>, <color=#FFA500>Druidenhals</color>, <color=#FFA500>Stab</color> und <color=#FFA500>Klub</color> als Schwerpunktgegenstände
ModUi/&Subclasses	<color=#FFFF00>Unterklassen</color>
ModUi/&TargetLanguage	Zielsprache
ModUi/&Tools	Werkzeuge
ModUi/&TotalFeatsGrantedFistLevel	<color=#FFFFFF>Gesamtkunststücke auf der ersten Stufe</color>
ModUi/&Translate	Übersetzen
ModUi/&TranslateCancel	Abbrechen {0} bei {1}
ModUi/&TranslationEngine	Übersetzungsmaschine
ModUi/&Translations	Übersetzungen
ModUi/&UnleashEnemyAsNpc	Erlaube die Auswahl von Monstern auf NSC-Gadgets <i><color=#FFFF00>[drücke <color=#00FFFF>CTRL</color>, während du auf dem Gadget-Panel auf Auswählen klickst]</color></i>
ModUi/&UnleashNpcAsEnemy	NSCs können auf Monster-Gadgets ausgewählt werden <i><color=#FFFF00>[drücken Sie <color=#00FFFF>CTRL</color>, während Sie im Gadget-Panel auf Auswählen klicken]</color></i>
ModUi/&UnlockAllNpcFaces	Alle NPC-Gesichter freischalten
ModUi/&UnlockEyeStyles	Augenstile freischalten
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Schalte leuchtende Farben für alle Markierungen und Tattoos frei
ModUi/&UnlockGlowingEyeColors	Glühende Augenfarben freischalten
ModUi/&UnlockMarkAndTatoosForAllCharacters	Markierungen und Tätowierungen für alle Charaktere freischalten
ModUi/&UsableDevice	<color=#FFFF00>Nutzbares Gerät</color>
ModUi/&UseOfficialAdvantageDisadvantageRules	Offizielle Vor-/Nachteil-Regeln verwenden
ModUi/&Visuals	<color=#FFFF00>Bildmaterial:</color>
ModUi/&Weapon	<color=#FFFF00>Waffen</color>
ModUi/&AllowCrossbowsToUseBowFeatures	Erlaube Armbrüsten, von den Bogeneigenschaften zu profitieren
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Entfernen Sie die Konzentrationsanforderung von jedem Zauber <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
