ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Class/&WitchDescription	Hexen, die von einem finsteren Fluch befallen sind, können dunkle Magie in Malediktionen verwandeln, mit denen sie ihre Feinde schwächen. Sie werden auch von ihren Vertrauten begleitet, treuen magischen Begleitern, die sie einsetzen, um den tödlichen Schlag auszuführen.
Class/&WitchFamiliarPowerDescription	Du erlernst den Zauber Hexenvertrauter, d.h. einen verbesserten Zauber Vertrauter finden, und kannst ihn als Ritual ohne materielle Komponenten wirken. Der Zauber wird nicht auf die Anzahl deiner bekannten Zaubersprüche angerechnet. Der Zauber verbessert "Vertrauten finden" auf folgende Weise:\n- Dein Vertrauter ist jede Runde unmittelbar vor oder nach deinem Zug an der Reihe (du hast die Wahl).\n- Einmal pro Zug kannst du deinem Vertrauten als Aktion oder Bonusaktion geistig befehlen, seine Reaktion zu nutzen, um einen Angriff durchzuführen. \n- Wenn du einen Zauber wirkst, kannst du ihn durch deinen Vertrauten wirken, als ob er den Zauber gewirkt hätte, selbst wenn der Zauber keine Berührungsreichweite hat. \n- Dein Vertrauter kann deinen Zauberangriffsbonus für seine Angriffswürfe verwenden. \n- Dein Vertrauter addiert deinen Fertigkeitsbonus zu seiner Rüstungsklasse, seinen Schutzwürfen und seinen Schadenswürfen. \n- Du addierst das Doppelte deiner Hexenstufe zu den maximalen Trefferpunkten deines Vertrauten.
Class/&WitchFamiliarPowerTitle	Vertrauter
Class/&WitchFeatureSetBurnedCurseDescription	Fast dein ganzer Körper wurde von arkanen Flammen verbrannt, was zu auffälligen schwarzen Narben und Glutnarben führt, die unter der Haut brennen. Du bist resistent gegen Feuerschaden und beherrschst den Zauber Flamme erzeugen, der nicht auf die Gesamtzahl deiner Zaubersprüche angerechnet wird.
Class/&WitchFeatureSetBurnedCurseTitle	Verbrannt
Class/&WitchFeatureSetLovelessCurseDescription	Du bist dazu verflucht, niemals die wahre Liebe zu finden. Abgestumpft und unzufrieden, kann nicht einmal Magie dein Herz umstimmen; daher bist du immun dagegen, verzaubert zu werden.
Class/&WitchFeatureSetLovelessCurseTitle	Liebeslos
Class/&WitchFeatureSetRitualCastingDescription	Du kannst jeden Hexenzauber, den du kennst, als Ritual wirken, wenn dieser Zauber das Etikett Ritual trägt.
Class/&WitchFeatureSetRitualCastingTitle	Ritualzauber der Hexe
Class/&WitchFeatureSetVisionsCurseDescription	Du bist verflucht, schreckliche Zukunftsvisionen zu haben, die den Tod deiner Freunde, deiner Familie und deiner selbst voraussagen. Auch wenn viele dieser Visionen grausame Täuschungen sind, so sind sie doch manchmal erschreckend genau. Du kannst deinen Charisma-Modifikator zusätzlich zu deinem Geschicklichkeitsmodifikator zu deinen Initiativwürfen addieren.
Class/&WitchFeatureSetVisionsCurseTitle	Visionen
Class/&WitchLovelessCharmImmunityDescription	Immunität gegen lieblosen Charme.
Class/&WitchLovelessCharmImmunityTitle	Charme-Immunität
Class/&WitchMaledictionAbateDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Charisma-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf kann die Kreatur bis zum Ende deines nächsten Zuges keine Reaktionen ausführen.
Class/&WitchMaledictionAbateTitle	Verhexung abschwächen
Class/&WitchMaledictionApathyDescription	Als Aktion wählst du eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Charisma-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf wird die Kreatur bis zum Ende deines nächsten Zuges gleichgültig gegenüber einer Kreatur deiner Wahl, der sie feindlich gesinnt ist. Diese Gleichgültigkeit endet, wenn das Ziel von der Kreatur, der gegenüber es gleichgültig ist, angegriffen oder durch einen Zauber verletzt wird.
Class/&WitchMaledictionApathyTitle	Apathie-Malediktion
Class/&WitchMaledictionCharmDescription	Wähle als Aktion eine Kreatur im Umkreis von 60 Fuß, die du sehen kannst, und lege einen Rettungswurf in Weisheit ab. Bei einem misslungenen Schutzwurf wird die Kreatur bis zum Ende deines nächsten Zuges von dir verzaubert.
Class/&WitchMaledictionCharmTitle	Bösartige Verhexung verzaubern
Class/&WitchMaledictionDisorientDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Konstitutions-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf muss das Ziel jedes Mal, wenn es vor dem Ende deines nächsten Zuges einen Angriffswurf macht, einen Würfel werfen und die gewürfelte Zahl vom Angriffswurf abziehen.
Class/&WitchMaledictionDisorientTitle	Verwirrung - Verhexung
Class/&WitchMaledictionEvilEyeDescription	Wähle als Aktion eine Kreatur, die du sehen kannst und die dich im Umkreis von 60 Fuß sehen kann, um einen Weisheitssparwurf zu machen. Bei einem misslungenen Schutzwurf hat die Kreatur bis zum Ende deines nächsten Zuges Angst vor dir.
Class/&WitchMaledictionEvilEyeTitle	Böses Auge - Verhexung
Class/&WitchMaledictionObfuscateDescription	Als Aktion erschaffst du eine Nebelsphäre mit einem Radius von 20 Fuß, die sich auf dich konzentriert. Die Sphäre breitet sich um Ecken herum aus, und ihr Bereich ist stark verdunkelt. Dieser Effekt hält bis zum Ende deines nächsten Zuges an oder bis ein Wind von mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) den Nebel auflöst.
Class/&WitchMaledictionObfuscateTitle	Verwirrende Verhexung
Class/&WitchMaledictionPoxDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 5 Fuß sehen kannst, um einen Konstitutionsschutzwurf zu machen. Bei einem misslungenen Schutzwurf ist die Kreatur bis zum Ende deines nächsten Zuges vergiftet.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	Als Aktion wählst du eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Konstitutions-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf verringert sich die Rüstungsklasse der Kreatur bis zum Ende deines nächsten Zuges um 3, mindestens jedoch um 10.
Class/&WitchMaledictionRuinTitle	Verderbliche Verhexung
Class/&WitchRitualCastingMagicAffinityDescription	Affinität zu Ritualzaubern.
Class/&WitchRitualCastingMagicAffinityTitle	Rituelle Zauberei
Class/&WitchSavingthrowProficiencyDescription	Weisheit, Charisma.
Class/&WitchSavingthrowProficiencyTitle	Hexen-Professionalität für Rettungswürfe
Class/&WitchSkillProficiencyDescription	Wähle zwei aus Arkana, Täuschung, Einsicht, Einschüchterung, Überredung, Natur und Religion.
Class/&WitchSkillProficiencyTitle	Hexen-Fertigkeiten
Class/&WitchSpellcastingDescription	Kann Zauber aus der Hexen-Zauberliste wirken.
Class/&WitchSpellcastingTitle	Hexen-Zauberei
Class/&WitchTitle	Hexe
Class/&WitchToolProficiencyDescription	Wähle eines aus dem Kräuterset und dem Vergifter-Set.
Class/&WitchToolProficiencyTitle	Hexenwerkzeug-Fähigkeiten
Class/&WitchVisionsInitiativeDescription	Initiative für Visionen.
Class/&WitchVisionsInitiativeTitle	Visionen-Initiative
Class/&WitchWeaponProficiencyDescription	Einfache Waffen.
Class/&WitchWeaponProficiencyTitle	Hexenwaffen-Professionalität
Condition/&AbateDescription	Zustand abschwächen.
Condition/&AbateTitle	Abschwächen
Condition/&AncientForestPhotosynthesisDescription	Du kannst Energie aus dem Sonnenlicht absorbieren. Solange du dich in direktem, hellem Licht befindest, erhältst du zu Beginn deines Zuges 2 HP zurück.
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumartige Ranken wachsen aus deinen Füßen und graben sich in den Boden. Du kannst nach Belieben Verstrickung wirken. Deine Geschwindigkeit wird auf 0 reduziert und du erhältst einen Vorteil auf alle Schutzwürfe, die dich schubsen, ziehen oder auf den Boden werfen.
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&ApathyDescription	Apathie-Zustand.
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Zustand "Zauber".
Condition/&CharmTitle	Charme
Condition/&ClassMonkEmptyBodyConditionDescription	Du bist resistent gegen jeglichen Schaden außer Kraft.
Condition/&ClassMonkEmptyBodyConditionTitle	Leerer Körper
Condition/&ClassMonkOpenHandDistractConditionDescription	Kann keine Reaktionen einsetzen.
Condition/&ClassMonkOpenHandDistractConditionTitle	Abgelenkt
Condition/&ClassMonkStepOfTheWindConditionDescription	Du kannst die Aktion "Ablenken" oder "Springen" als Bonusaktion ausführen und deine Sprungweite wird für diese Runde verdoppelt.
Condition/&ClassMonkStepOfTheWindConditionTitle	Schritt des Windes
Condition/&ClassMonkTanquilityConditionDescription	Du hast einen Vorteil bei Schutzwürfen gegen Zaubersprüche und Feinde haben einen Nachteil, wenn sie dich angreifen. Wird entfernt, wenn du einen Angriff ausführst oder einen Zauber sprichst.
Condition/&ClassMonkTanquilityConditionTitle	Gelassenheit
Condition/&ClassMonkZenArrowDistractConditionDescription	Hat Nachteil beim nächsten Angriff.
Condition/&ClassMonkZenArrowDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Hat bei allen Angriffen einen Nachteil.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Bewegung wird auf 0 gesetzt.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Festgenagelt
Condition/&ConditionBarkWardDescription	Geschützt von den Geistern des Waldes.
Condition/&ConditionBarkWardTitle	Rindenwächter
Condition/&ConditionDualFlurryApplyDescription	Du baust Schwung auf...
Condition/&ConditionDualFlurryApplyTitle	Doppelter Ansturm!
Condition/&ConditionDualFlurryGrantDescription	Deine Feinde taumeln!
Condition/&ConditionDualFlurryGrantTitle	Doppelter Ansturm!
Condition/&ConditionImprovedBarkWardDescription	Die Geister des Waldes fügen Nahkampfangreifern 2d8 durchdringenden Schaden zu.
Condition/&ConditionImprovedBarkWardTitle	Verbesserter Rindenschutz
Condition/&ConditionMarkedByArcanistDescription	Befallen vom Mal des Arkanisten.
Condition/&ConditionMarkedByArcanistTitle	Zeichen des Arkanisten
Condition/&ConditionMuleDescription	Deine Geschwindigkeit wird nicht durch Belastung oder schwere Rüstung verringert. Du kannst 20 zusätzliche Pfund tragen.
Condition/&ConditionMuleTitle	Maultier
Condition/&ConditionSuperiorBarkWardDescription	Die Geister des Waldes gewähren dir Giftimmunität und fügen Nahkampf-Angreifern 3d8 durchdringenden Schaden zu.
Condition/&ConditionSuperiorBarkWardTitle	Überlegene Rindenabwehr
Condition/&DebilitatedConditionDescription	Geschwächter Zustand.
Condition/&DebilitatedConditionTitle	Geschwächt
Condition/&DHFeeblemindSpellDescription	Die Intelligenz- und Charisma-Werte der Kreatur werden zu 1. Die Kreatur kann keine Zauber wirken, keine magischen Gegenstände aktivieren, keine Sprache verstehen und sich nicht verständlich verständigen.
Condition/&DHFeeblemindSpellTitle	Feeblemind
Condition/&DHForesightSpellDescription	Du hast Vorteil bei Angriffswürfen, Fähigkeitsproben und Schutzwürfen. Außerdem haben andere Kreaturen einen Nachteil bei Angriffswürfen gegen dich.
Condition/&DHForesightSpellTitle	Voraussicht
Condition/&DHHolyAuraSpellDescription	Wenn du diesen Zauber sprichst, verbreiten Verbündete in Reichweite in einem Radius von 1,5 Metern ein schwaches Licht, haben Vorteil bei allen Schutzwürfen und andere Kreaturen haben bis zum Ende des Zaubers Nachteil bei Angriffswürfen gegen sie. Wenn ein Unhold oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura außerdem in hellem Licht auf. Der Angreifer muss einen Konstitutionsschutzwurf bestehen oder geblendet werden, bis der Zauber endet.
Condition/&DHHolyAuraSpellTitle	Geschützt durch Heilige Aura
Condition/&DHMindBlankSpellDescription	Ist immun gegen psychischen Schaden und den Zustand "verzaubert".
Condition/&DHMindBlankSpellTitle	Geistesblind
Condition/&DHReverseGravitySpellDescription	Kann sich nicht bewegen.
Condition/&DHReverseGravitySpellTitle	Gefangen durch umgekehrte Schwerkraft
Condition/&DHTimeStopSpellDescription	Eingefroren durch Zeitstopp.
Condition/&DHTimeStopSpellTitle	Gefroren durch Zeitstopp
Condition/&DHWeirdSpellDescription	Die Illusion beschwört die tiefsten Ängste der Kreatur herauf und manifestiert ihre schlimmsten Albträume als unerbittliche Bedrohung. Am Ende jeder Runde der verängstigten Kreatur muss sie einen Weisheitswurf bestehen oder 4d10 psychischen Schaden erleiden. Bei einem erfolgreichen Schutzwurf endet der Zauber für die Kreatur.
Condition/&DHWeirdSpellTitle	Verrückte
Condition/&DisorientDescription	Die Genauigkeit der Kreatur ist verringert.
Condition/&DisorientTitle	Desorientiert
Condition/&EvilEyeDescription	Zustand Böses Auge.
Condition/&EvilEyeTitle	Böses Auge
Condition/&EWResonatingStrikeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die durch diesen Zauber ausgelöst werden, zusätzlich 1d8 Donnerschaden. Auf der 11. und 17. Stufe erhöht sich der Schaden um weitere 1d8.
Condition/&EWResonatingStrikeDamageTitle	Resonanz
Condition/&EWSunlightBladeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die durch diesen Zauber ausgelöst werden, zusätzlich 1d8 Strahlenschaden. Auf der 11. und 17. Stufe erhöht sich der Schaden um weitere 1d8.
Condition/&EWSunlightBladeDamageTitle	Das Brennen der Sonnenklinge
Condition/&FrenziedDescription	Diese Kreatur ist in Raserei und greift die nächstgelegene Kreatur an.
Condition/&FrenziedTitle	Raserei
Condition/&HalfLifeConditionDescription	Du nimmst nekrotische Energie in dich auf und schwankst zwischen Leben und Tod. Du bist vorübergehend von deinem eigenen Geist besessen, fliegst und verfügst über die gleichen Zustandsimmunitäten und Schadensresistenzen wie andere Geister.
Condition/&HalfLifeConditionTitle	Halbes Leben
Condition/&HelpActionDescription	Diese Kreatur ist abgelenkt worden.
Condition/&HelpActionTitle	Abgelenkt
Condition/&MoonTouchedConditionDescription	Deine Schwerkraft ist aufgehoben.
Condition/&MoonTouchedConditionTitle	Vom Mond berührt
Condition/&PoxDescription	Pocken-Zustand.
Condition/&PoxTitle	Pocken
Condition/&RuinDescription	Zustand des Verderbens.
Condition/&RuinedDescription	Die Verteidigung dieser Kreatur ist reduziert.
Condition/&RuinedTitle	Ruiniert
Condition/&RuinTitle	Verderben
Condition/&SentinelStopMovementConditionTitle	Gestoppt
Condition/&SwallowedByToadConditionDescription	Erleidet 3d6 Säureschaden pro Runde. Endet, wenn der Krötenzauberer mit 15 oder mehr Schaden in einem einzigen Angriff getroffen wird.
Condition/&SwallowedByToadConditionTitle	Von Kröte verschluckt
Condition/&SwallowingToadConditionDescription	Endet, wenn der Krötenhexer mit 15 oder mehr Schaden in einem einzigen Angriff getroffen wird.
Condition/&SwallowingToadConditionTitle	Kröte verschlucken
ContentPack/&CommunityExpansionPackDescription	Das Community Expansion Pack fügt neue Klassen, Unterklassen, Feats und Zauber hinzu. Es gibt eine höhere Stufenbegrenzung, Multi-Klassen, QOL-Funktionen, Fehlerbehebungen und mehr. Es ist ein wahres Füllhorn (TM)...
ContentPack/&CommunityExpansionPackTitle	Community Expansion Pack
CraftyFeats/&ApothecaryIntFeatDescription	#ERROR!
CraftyFeats/&ApothecaryIntFeatTitle	Apotheker (Intelligenz)
CraftyFeats/&ApothecaryWisFeatDescription	#ERROR!
CraftyFeats/&ApothecaryWisFeatTitle	Apotheker (Weisheit)
CraftyFeats/&AttributeDexDescription	#ERROR!
CraftyFeats/&AttributeDexTitle	Geschicklichkeit
CraftyFeats/&AttributeIntDescription	#FEHLER!
CraftyFeats/&AttributeIntTitle	Intelligenz
CraftyFeats/&AttributeWisDescription	#FEHLER!
CraftyFeats/&AttributeWisTitle	Weisheit
CraftyFeats/&CraftyArcanaDescription	Arkana-Kenntnisse oder -Expertise.
CraftyFeats/&CraftyBowsDescription	Beherrschung aller Bögen und Armbrüste.
CraftyFeats/&CraftyBowsTitle	Bogen-Kenntnisse
CraftyFeats/&CraftyFletcherFeatDescription	#FEHLER!
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Medizinische Befähigung oder Fachwissen.
CraftyFeats/&CraftyNatureDescription	Naturkenntnis oder -wissen.
CraftyFeats/&CraftyScribeFeatDescription	#FEHLER!
CraftyFeats/&CraftyScribeFeatTitle	Schreiber
CraftyFeats/&CraftySkillsTitle	Fertigkeiten
CraftyFeats/&CraftyToolsTitle	Werkzeuge
CraftyFeats/&ManacalonCrafterFeatDescription	#FEHLER!
CraftyFeats/&ManacalonCrafterFeatTitle	Manakalon-Handwerker
CraftyFeats/&ToxicologistIntFeatDescription	#FEHLER!
CraftyFeats/&ToxicologistIntFeatTitle	Toxikologe (Intelligenz)
CraftyFeats/&ToxicologistWisFeatDescription	#ERROR!
CraftyFeats/&ToxicologistWisFeatTitle	Toxikologe (Weisheit)
DamageAffinity/&DHHolyAuraSpellDescription	Wenn ein Unhold oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura in hellem Licht auf. Der Angreifer muss einen Konstitutionsschutzwurf bestehen oder geblendet werden, bis der Zauber endet.
DamageAffinity/&DHHolyAuraSpellTitle	Heilige Aura - Vergeltung
Equipment/&ArcaneStaffDescription	Dieser Stab ist mit magischer Schrift beschriftet und kann als Fokus für arkane Zauber verwendet werden.
Equipment/&ArcaneStaffTitle	Arkaner Stab
Equipment/&CEHalberdTypeTitle	Hellebarden
Equipment/&CEHandXbowTypeTitle	Hand-Armbrüste
Equipment/&CELongMaceTypeTitle	Lange Streitkolben
Equipment/&CEPikeTypeTitle	Spieße
Equipment/&DruidicAmuletDescription	Dieses totemistische Amulett kann als Fokus für druidische Zaubersprüche verwendet werden.
Equipment/&DruidicAmuletTitle	Druidisches Amulett
Equipment/&Enchanted_Club_Acuteness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Sein Design ist eines der frühen Werke von Elgador Keenspirit, dem Magierschmied des Arcaneums.
Equipment/&Enchanted_Club_Acuteness_Title	Keule der Schärfe
Equipment/&Enchanted_Club_Bearclaw_Description	Diese verzauberte Waffe wurde nach dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Die scharfen Stacheln der Bärenklaue zerfetzen die Rüstung und fügen zusätzlichen Schaden zu. Die erste Waffe dieser Art wurde von Ildurial Stronghand entworfen.
Equipment/&Enchanted_Club_Bearclaw_Title	Bären-Krallen-Keule
Equipment/&Enchanted_Club_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Club_Lightbringer_Title	Lichtbringer-Keule
Equipment/&Enchanted_Club_Power_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede von Manacalon geschmiedet. Manche Kreaturen respektieren nur physische Kräfte. Die Arkanisten Manacalons schufen diese Keule, um den Champions der Eisernen Legionen die Stärke zu verleihen, die ihre elfischen Körper nicht bieten können.
Equipment/&Enchanted_Club_Power_Title	Keule der Macht
Equipment/&Enchanted_Club_Punisher_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Die Kombination aus bestem Metall und Slawenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Club_Punisher_Title	Punisher-Keule
Equipment/&Enchanted_Dart_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Dart_Acuteness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Frostburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Dart_Frostburn_Title	Frostbrandpfeil
Equipment/&Enchanted_Dart_Sharpness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Dart_Sharpness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Diese Waffe, die bei den Agenten von Silent Whisper sehr beliebt ist, wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Dart_Souldrinker_Title	Souldrinker-Pfeil
Equipment/&Enchanted_Handaxe_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons erschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Handaxt der Scharfsinnigkeit
Equipment/&Enchanted_Handaxe_Frostburn_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostbrenner-Handaxt
Equipment/&Enchanted_Handaxe_Sharpness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxt der Schärfe
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Diese Waffe, die bei den Agenten von Silent Whisper sehr beliebt ist, wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Souldrinker-Handaxt
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Ihr ursprüngliches Design trug das Siegel von Defineth Sharpsight, einem berühmten Verzauberer der Sylvan Elf.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Schwere Armbrust der Treffsicherheit
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Schwere Lichtbringer-Armbrust
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Magie verschmolz Medusa-Koralle und Hartholz zu einem tödlichen Bogen, der von den Enterkommandos der Halblinge der Insel bevorzugt wird.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Schwere Medusa-Armbrust
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Die Coedymwarth zogen es vor, den Arkanisten Manacalons physisch statt magisch zu begegnen. Ihre besten Bogenschützen erhielten Armbrüste, die von Defineth Sharpsight geschaffen wurden.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Schwere Armbrust des Scharfschützen
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Sie wurde von Galar Stromforge entworfen, dem ersten zwergischen Schmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Schwere Sturmarmbrust
Equipment/&Enchanted_HideArmor_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern geschaffen. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibgarde des Imperators.
Equipment/&Enchanted_HideArmor_Deflection_Title	Versteckte Rüstung der Ablenkung
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Versteckte Rüstung des Flammentanzes
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Versteckte Rüstung des Frostspaziergangs
