ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Class/&WitchDescription	Affligées d'une sinistre malédiction, les sorcières peuvent transformer la magie noire en malédictions, qu'elles utilisent pour affaiblir leurs ennemis. Elles sont également accompagnées de leurs familiers, de fidèles compagnons magiques qu'elles utilisent pour porter le coup fatal.
Class/&WitchFamiliarPowerDescription	Vous apprenez le sort Witch Familiar, c'est-à-dire un sort amélioré Find Familiar, et pouvez le lancer comme un rituel sans composants matériels. Le sort ne compte pas dans votre nombre de sorts connus. Ce sort améliore Trouver un familier de la manière suivante :\N- Votre familier prend son tour immédiatement avant ou après votre tour à chaque tour (au choix).\N- Une fois par tour, en tant qu'action ou action bonus, vous pouvez mentalement ordonner à votre familier d'utiliser sa réaction pour effectuer une attaque. \N- Lorsque vous lancez un sort, vous pouvez le faire passer par votre familier comme s'il l'avait lancé, même si le sort n'a pas une portée de toucher.\N- Votre familier peut utiliser votre bonus d'attaque aux sorts pour ses jets d'attaque.\N- Votre familier ajoute votre bonus de compétence à sa classe d'armure, ses jets de sauvegarde et ses jets de dégâts.\N- Vous ajoutez deux fois votre niveau de sorcier au maximum de points de vie de votre familier.
Class/&WitchFamiliarPowerTitle	Familier
Class/&WitchFeatureSetBurnedCurseDescription	La quasi-totalité de ton corps a été brûlée par des flammes arcaniques, ce qui te laisse des cicatrices noires frappantes et des braises de magie qui brûlent sous la peau. En conséquence, vous avez une résistance aux dégâts de feu, et vous connaissez le cantrip Produire des flammes, qui ne compte pas dans votre nombre total de cantrips connus.
Class/&WitchFeatureSetBurnedCurseTitle	Brûlé
Class/&WitchFeatureSetLovelessCurseDescription	Vous êtes maudit pour ne jamais trouver le véritable amour. Blasé et désaffecté, même la magie ne peut pas faire tourner votre cœur ; par conséquent, vous êtes immunisé contre le charme.
Class/&WitchFeatureSetLovelessCurseTitle	Sans amour
Class/&WitchFeatureSetRitualCastingDescription	Vous pouvez lancer n'importe quel sort de sorcière que vous connaissez sous forme de rituel si ce sort porte l'étiquette rituel.
Class/&WitchFeatureSetRitualCastingTitle	Lancer un rituel de sorcière
Class/&WitchFeatureSetVisionsCurseDescription	Vous êtes maudite pour avoir de terribles visions de l'avenir, présageant la mort de vos amis, de votre famille et de vous-même. Bien que la plupart de ces visions soient de cruelles tromperies, elles sont parfois sinistrement exactes. Vous pouvez ajouter votre modificateur de Charisme, en plus de votre modificateur de Dextérité, à vos jets d'initiative.
Class/&WitchFeatureSetVisionsCurseTitle	Visions
Class/&WitchLovelessCharmImmunityDescription	Immunité aux charmes de Loveless.
Class/&WitchLovelessCharmImmunityTitle	Immunité au charme
Class/&WitchMaledictionAbateDescription	Comme une action, choisissez une créature que vous pouvez voir à moins de 60 pieds de vous pour faire un jet de sauvegarde de Charisme. En cas d'échec, la créature ne peut pas réagir jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionAbateTitle	Abattre la malédiction
Class/&WitchMaledictionApathyDescription	Comme une action, choisissez une créature que vous pouvez voir à moins de 60 pieds de vous pour faire un jet de sauvegarde de Charisme. En cas d'échec, jusqu'à la fin de votre prochain tour, la créature devient indifférente envers une créature de votre choix envers laquelle elle est hostile. Cette indifférence prend fin si la cible est attaquée ou blessée par un sort de la créature à laquelle elle est indifférente.
Class/&WitchMaledictionApathyTitle	Malédiction d'apathie
Class/&WitchMaledictionCharmDescription	Comme une action, choisissez une créature que vous pouvez voir dans un rayon de 60 pieds pour faire un jet de sauvegarde de Sagesse. En cas d'échec, la créature est charmée par vous jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionCharmTitle	Charme Malédiction
Class/&WitchMaledictionDisorientDescription	Comme une action, choisissez une créature que vous pouvez voir à moins de 60 pieds et faites un jet de sauvegarde de Constitution. En cas d'échec, lorsque cette cible effectue un jet d'attaque avant la fin de votre prochain tour, elle doit lancer un d6 et soustraire le nombre obtenu du jet d'attaque.
Class/&WitchMaledictionDisorientTitle	Malédiction de désorientation
Class/&WitchMaledictionEvilEyeDescription	Comme une action, choisissez une créature que vous pouvez voir et qui peut vous voir dans un rayon de 60 pieds pour faire un jet de sauvegarde de Sagesse. En cas d'échec, la créature est effrayée par vous jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionEvilEyeTitle	Malédiction du mauvais œil
Class/&WitchMaledictionObfuscateDescription	Comme une action, vous créez une sphère de brouillard de 20 pieds de rayon centrée sur vous-même. La sphère se répand dans les coins, et sa zone est fortement obscurcie. Cet effet dure jusqu'à la fin de votre prochain tour ou jusqu'à ce qu'un vent de vitesse modérée ou supérieure (au moins 10 miles par heure) le disperse.
Class/&WitchMaledictionObfuscateTitle	Obfuscate Malediction
Class/&WitchMaledictionPoxDescription	Comme une action, choisissez une créature que vous pouvez voir dans un rayon de 1,5 m pour faire un jet de sauvegarde de Constitution. En cas d'échec, la créature est empoisonnée jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionPoxTitle	Malédiction de la vérole
Class/&WitchMaledictionRuinDescription	Comme une action, choisissez une créature que vous pouvez voir dans un rayon de 60 pieds pour faire un jet de sauvegarde de Constitution. En cas d'échec, la classe d'armure de la créature diminue de 3, jusqu'à un minimum de 10, jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionRuinTitle	Malédiction de la ruine
Class/&WitchRitualCastingMagicAffinityDescription	Affinité avec le lancer de rituel.
Class/&WitchRitualCastingMagicAffinityTitle	Lancer de rituel
Class/&WitchSavingthrowProficiencyDescription	Sagesse, Charisme.
Class/&WitchSavingthrowProficiencyTitle	Avantages des jets de sauvegarde des sorcières
Class/&WitchSkillProficiencyDescription	Choisissez-en deux parmi Arcane, Tromperie, Perspicacité, Intimidation, Persuasion, Nature, et Religion.
Class/&WitchSkillProficiencyTitle	Compétences des sorcières
Class/&WitchSpellcastingDescription	Peut lancer des sorts de la liste des sorts de sorcière.
Class/&WitchSpellcastingTitle	Lancer de sorts de sorcière
Class/&WitchTitle	Sorcière
Class/&WitchToolProficiencyDescription	Choisissez un élément parmi le kit de l'herboriste et le kit de l'empoisonneur.
Class/&WitchToolProficiencyTitle	Compétences en outils de la sorcière
Class/&WitchVisionsInitiativeDescription	Initiative de vision.
Class/&WitchVisionsInitiativeTitle	Initiative de vision
Class/&WitchWeaponProficiencyDescription	Armes simples.
Class/&WitchWeaponProficiencyTitle	Compétences en matière d'armes de sorcière
Condition/&AbateDescription	Abate condition.
Condition/&AbateTitle	Abattre
Condition/&AncientForestPhotosynthesisDescription	Vous pouvez absorber l'énergie de la lumière du soleil. Lorsque vous êtes dans la lumière directe du soleil, vous regagnez 2 PV au début de votre tour.
Condition/&AncientForestPhotosynthesisTitle	Photosynthèse
Condition/&AncientForestRootedConditionDescription	Des vrilles arboricoles poussent de vos pieds et s'enfoncent dans le sol. Vous pouvez lancer un sort d'enchevêtrement à volonté. Votre vitesse devient 0 et vous gagnez l'avantage sur tous les jets de sauvegarde pour vous pousser, vous tirer ou vous mettre à terre.
Condition/&AncientForestRootedConditionTitle	Enraciné
Condition/&ApathyDescription	Condition d'apathie.
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Condition de charme.
Condition/&CharmTitle	Charme
Condition/&ClassMonkEmptyBodyConditionDescription	Vous avez une résistance à tous les dégâts sauf à la force.
Condition/&ClassMonkEmptyBodyConditionTitle	Corps vide
Condition/&ClassMonkOpenHandDistractConditionDescription	Vous ne pouvez pas utiliser de réactions.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distrait
Condition/&ClassMonkStepOfTheWindConditionDescription	Vous pouvez effectuer l'action Désengagement ou Traînée comme action bonus et votre distance de saut est doublée pour le tour.
Condition/&ClassMonkStepOfTheWindConditionTitle	Pas du vent
Condition/&ClassMonkTanquilityConditionDescription	Vous avez un avantage aux jets de sauvegarde contre les sorts et les ennemis ont un désavantage à vous attaquer. Retiré lorsque vous effectuez une attaque ou lancez un sort.
Condition/&ClassMonkTanquilityConditionTitle	Tranquillité
Condition/&ClassMonkZenArrowDistractConditionDescription	Vous êtes désavantagé lors de votre prochaine attaque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distrait
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	A un désavantage sur toutes les attaques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distrait
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Le mouvement est fixé à 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Épinglé
Condition/&ConditionBarkWardDescription	Protégé par les esprits de la forêt.
Condition/&ConditionBarkWardTitle	Garde d'écorce
Condition/&ConditionDualFlurryApplyDescription	Vous prenez de l'élan...
Condition/&ConditionDualFlurryApplyTitle	Double Flurry !
Condition/&ConditionDualFlurryGrantDescription	Vos ennemis sont déstabilisés !
Condition/&ConditionDualFlurryGrantTitle	Double rafale !
Condition/&ConditionImprovedBarkWardDescription	Les esprits de la forêt infligent 2d8 points de dégâts perforants aux attaquants en mêlée.
Condition/&ConditionImprovedBarkWardTitle	Protection améliorée contre les écorces
Condition/&ConditionMarkedByArcanistDescription	Affecté par Marque de l'arcaniste.
Condition/&ConditionMarkedByArcanistTitle	Marque de l'arcaniste
Condition/&ConditionMuleDescription	Votre vitesse n'est pas réduite par l'encombrement ou l'armure lourde. Vous pouvez porter 20 livres supplémentaires.
Condition/&ConditionMuleTitle	Mule
Condition/&ConditionSuperiorBarkWardDescription	Les esprits de la forêt vous accordent une immunité au poison, et vous infligez 3d8 points de dégâts perforants aux attaquants en mêlée.
Condition/&ConditionSuperiorBarkWardTitle	Gardien d'écorce supérieur
Condition/&DebilitatedConditionDescription	État débilitant.
Condition/&DebilitatedConditionTitle	Débilitation
Condition/&DHFeeblemindSpellDescription	Les scores d'Intelligence et de Charisme de la créature deviennent 1. La créature ne peut pas lancer de sorts, activer des objets magiques, comprendre le langage ou communiquer de manière intelligible.
Condition/&DHFeeblemindSpellTitle	Feeblemind
Condition/&DHForesightSpellDescription	Vous avez l'avantage sur les jets d'attaque, les contrôles d'aptitude et les jets de sauvegarde. De plus, les autres créatures ont un désavantage aux jets d'attaque contre vous.
Condition/&DHForesightSpellTitle	Prévoyance
Condition/&DHHolyAuraSpellDescription	Lorsque vous lancez ce sort, les alliés à portée reçoivent une lumière faible dans un rayon de 1,5 m, ont l'avantage sur tous les jets de sauvegarde, et les autres créatures ont un désavantage aux jets d'attaque contre eux jusqu'à la fin du sort. De plus, lorsqu'un démon ou un mort-vivant frappe une créature affectée avec une attaque de mêlée, l'aura se met à clignoter avec une lumière brillante. L'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
Condition/&DHHolyAuraSpellTitle	Protégé par une aura sacrée
Condition/&DHMindBlankSpellDescription	Immunisé aux dégâts psychiques et à l'état de charme.
Condition/&DHMindBlankSpellTitle	Vide mental
Condition/&DHReverseGravitySpellDescription	Impossible de bouger.
Condition/&DHReverseGravitySpellTitle	Attrapé par la gravité inversée
Condition/&DHTimeStopSpellDescription	Gelé par Time Stop.
Condition/&DHTimeStopSpellTitle	Gelé par l'arrêt du temps
Condition/&DHWeirdSpellDescription	L'illusion fait appel aux peurs les plus profondes de la créature, manifestant ses pires cauchemars sous la forme d'une menace implacable. À la fin de chaque tour de la créature effrayée, elle doit réussir un jet de sauvegarde de Sagesse ou subir 4d10 dégâts psychiques. En cas de sauvegarde réussie, le sort prend fin pour cette créature.
Condition/&DHWeirdSpellTitle	Étrangeté
Condition/&DisorientDescription	La précision de cette créature est réduite.
Condition/&DisorientTitle	Désorienté
Condition/&EvilEyeDescription	Condition d'œil maléfique.
Condition/&EvilEyeTitle	Oeil maléfique
Condition/&EWResonatingStrikeDamageDescription	Au 5e niveau, les attaques déclenchées par ce cantrip infligent 1d8 points de dégâts supplémentaires dus au tonnerre. Les dégâts augmentent encore de 1d8 aux 11e et 17e niveaux.
Condition/&EWResonatingStrikeDamageTitle	Résonance
Condition/&EWSunlightBladeDamageDescription	Au 5e niveau, les attaques déclenchées par ce cantrip infligent 1d8 points de dégâts supplémentaires dus au rayonnement. Les dégâts augmentent encore de 1d8 aux 11ème et 17ème niveaux.
Condition/&EWSunlightBladeDamageTitle	Brûlure de la Lame du Soleil
Condition/&FrenziedDescription	Cette créature est frénétique et attaque la créature la plus proche.
Condition/&FrenziedTitle	Frénétique
Condition/&HalfLifeConditionDescription	Vous absorbez l'énergie nécrotique en vous et êtes suspendu entre la vie et la mort. Vous êtes temporairement possédé par votre propre fantôme, qui gagne en vol et bénéficie des mêmes immunités aux conditions et résistances aux dégâts que les autres fantômes.
Condition/&HalfLifeConditionTitle	Demi-vie
Condition/&HelpActionDescription	Cette créature a été distraite.
Condition/&HelpActionTitle	Distrait
Condition/&MoonTouchedConditionDescription	Votre gravité est annulée.
Condition/&MoonTouchedConditionTitle	Touché par la lune
Condition/&PoxDescription	Condition de vérole.
Condition/&PoxTitle	Vérole
Condition/&RuinDescription	Condition de ruine.
Condition/&RuinedDescription	La défense de cette créature est réduite.
Condition/&RuinedTitle	Ruiné
Condition/&RuinTitle	Ruine
Condition/&SentinelStopMovementConditionTitle	Stoppé
Condition/&SwallowedByToadConditionDescription	Subit 3d6 points de dégâts d'acide par round. Prend fin si le Toad Warlock est touché par 15 points de dégâts ou plus en une seule attaque.
Condition/&SwallowedByToadConditionTitle	Avalé par le crapaud
Condition/&SwallowingToadConditionDescription	Prend fin si le sorcier crapaud subit 15 points de dégâts ou plus en une seule attaque.
Condition/&SwallowingToadConditionTitle	Avaler un crapaud
ContentPack/&CommunityExpansionPackDescription	Le pack d'extension communautaire ajoute de nouvelles classes, sous-classes, prouesses et sorts. Il y a un plafond de niveau plus élevé, du multi-classe, des fonctionnalités QOL, des corrections de bugs et plus encore. C'est une véritable corne d'abondance (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack d'expansion communautaire
CraftyFeats/&ApothecaryIntFeatDescription	#ERROR !
CraftyFeats/&ApothecaryIntFeatTitle	Apothicaire (Intelligence)
CraftyFeats/&ApothecaryWisFeatDescription	#ERROR !
CraftyFeats/&ApothecaryWisFeatTitle	Apothicaire (Sagesse)
CraftyFeats/&AttributeDexDescription	#ERROR !
CraftyFeats/&AttributeDexTitle	Dextérité
CraftyFeats/&AttributeIntDescription	#ERROR !
CraftyFeats/&AttributeIntTitle	Intelligence
CraftyFeats/&AttributeWisDescription	#ERREUR !
CraftyFeats/&AttributeWisTitle	Sagesse
CraftyFeats/&CraftyArcanaDescription	Compétence ou expertise en arcanes.
CraftyFeats/&CraftyBowsDescription	Compétence avec tous les arcs et arbalètes.
CraftyFeats/&CraftyBowsTitle	Compétence en arc
CraftyFeats/&CraftyFletcherFeatDescription	#ERROR !
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Compétence ou expertise en médecine.
CraftyFeats/&CraftyNatureDescription	Compétence ou expertise en nature.
CraftyFeats/&CraftyScribeFeatDescription	#ERREUR !
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Compétences
CraftyFeats/&CraftyToolsTitle	Outils
CraftyFeats/&ManacalonCrafterFeatDescription	#ERROR !
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	#ERROR !
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologue (Intelligence)
CraftyFeats/&ToxicologistWisFeatDescription	#ERROR !
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologue (Sagesse)
DamageAffinity/&DHHolyAuraSpellDescription	Lorsqu'un démon ou un mort-vivant frappe une créature affectée avec une attaque de mêlée, l'aura éclate d'une lumière brillante. L'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
DamageAffinity/&DHHolyAuraSpellTitle	Aura sacrée de représailles
Equipment/&ArcaneStaffDescription	Ce bâton est inscrit d'une écriture magique et peut être utilisé comme foyer pour lancer des sorts d'arcanes.
Equipment/&ArcaneStaffTitle	Bâton des arcanes
Equipment/&CEHalberdTypeTitle	Hallebardes
Equipment/&CEHandXbowTypeTitle	Arbalètes de main
Equipment/&CELongMaceTypeTitle	Longues masses
Equipment/&CEPikeTypeTitle	Piques
Equipment/&DruidicAmuletDescription	Cette amulette totémique peut être utilisée comme point focal pour l'incantation de sorts druidiques.
Equipment/&DruidicAmuletTitle	Amulette druidique
Equipment/&Enchanted_Club_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Massue de l'acuité
Equipment/&Enchanted_Club_Bearclaw_Description	Cette arme enchantée a été forgée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Les pointes acérées de la griffe d'ours déchirent l'armure pour infliger des dégâts supplémentaires. La première arme de ce type a été conçue par Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Gourdin à pattes d'ours
Equipment/&Enchanted_Club_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant le savoir ancestral des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Club_Lightbringer_Title	Massue de la lumière
Equipment/&Enchanted_Club_Power_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Certaines créatures ne respectent que les forces physiques. Les arcanistes de Manacalon ont créé ce club pour donner aux champions des Légions de Fer la force que leurs corps d'elfes ne leur procuraient pas.
Equipment/&Enchanted_Club_Power_Title	Massue du pouvoir
Equipment/&Enchanted_Club_Punisher_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. La combinaison du meilleur métal et de la pierre de Slavestone a donné à cette hache une incroyable puissance de perçage.
Equipment/&Enchanted_Club_Punisher_Title	Massue du Punisher
Equipment/&Enchanted_Dart_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Flèche d'acuité
Equipment/&Enchanted_Dart_Frostburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Elle a été conçue par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Dart_Frostburn_Title	Flèche de givre
Equipment/&Enchanted_Dart_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Flèche d'acuité
Equipment/&Enchanted_Dart_Souldrinker_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Une des favorites des agents du Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Flèche du Souldrinker
Equipment/&Enchanted_Handaxe_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hachette d'acuité
Equipment/&Enchanted_Handaxe_Frostburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Elle a été conçue par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hachette des brûlures de givre
Equipment/&Enchanted_Handaxe_Sharpness_Description	Cette arme enchantée a été créée grâce au savoir ancestral des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hachette d'aiguisage
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Une des favorites des agents du Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hachette de Souldrinker
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Cette arme enchantée a été forgée en utilisant l'ancien savoir des maîtres archers de Colthannin. Son design original portait le sigle de Defineth Sharpsight, un enchanteur elfe sylvestre renommé.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Arbalète lourde de précision
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant l'ancien savoir des maîtres archers de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Arbalète lourde Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Cette arme enchantée a été forgée en utilisant les connaissances anciennes des maîtres archers de Colthannin. La magie a fusionné le corail de méduse et le bois dur pour créer un arc mortel, favorisé par les groupes d'abordage des halflings de l'île.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Arbalète lourde Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Cette arme enchantée a été forgée en utilisant l'ancien savoir des maîtres archers de Colthannin. Le Coedymwarth préférait traiter les arcanistes de Manacalon physiquement plutôt que magiquement. Ses meilleurs archers ont reçu des arbalètes, création de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Arbalète lourde de tir d'élite
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Cette arme enchantée a été forgée en utilisant les connaissances anciennes des maîtres archers de Colthannin. Elle a été conçue par Galar Stromforge, le premier forgeron nain à exploiter la puissance de l'orage dans une arme à l'effet dévastateur !
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Arbalète de tempête lourde
Equipment/&Enchanted_HideArmor_Deflection_Description	Cette armure enchantée a été créée en utilisant les connaissances anciennes des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Deflection_Title	Armure de déflection
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Armure de Danse des Flammes
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Armure de marche du givre
Equipment/&Enchanted_HideArmor_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Robustness_Title	Armure de robustesse en cuir
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Armure de robustesse en cuir
Equipment/&Enchanted_HideArmor_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Survival_Title	Armure de survie en peau
Equipment/&Enchanted_Javelin_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Javelot d'acuité
Equipment/&Enchanted_Javelin_Frostburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Elle a été conçue par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Javelin_Frostburn_Title	Javelot des brûlures de givre
Equipment/&Enchanted_Javelin_Sharpness_Description	Cette arme enchantée a été créée grâce au savoir ancestral des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Javelot de l'acuité
Equipment/&Enchanted_Javelin_Souldrinker_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Une des favorites des agents du Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Javelot Souldrinker
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Cette armure enchantée a été créée grâce au savoir ancestral des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Cuir de déflection du druide
