ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Class/&WitchMaledictionCharmDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Sabiduría. Si fallas la tirada de salvación, la criatura queda encantada por ti hasta el final de tu siguiente turno.
Class/&WitchMaledictionCharmTitle	Encantar Maldición
Class/&WitchMaledictionDisorientDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Constitución. Si fallas la tirada de salvación, cada vez que este objetivo haga una tirada de ataque antes del final de tu próximo turno, debe tirar un d6 y restar el número obtenido de la tirada de ataque.
Class/&WitchMaledictionDisorientTitle	Maldición de la desorientación
Class/&WitchMaledictionEvilEyeDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Sabiduría. Si fallas la tirada de salvación, la criatura se asusta de ti hasta el final de tu siguiente turno.
Class/&WitchMaledictionEvilEyeTitle	Maldición del Ojo Maligno
Class/&WitchMaledictionObfuscateDescription	Como acción, creas una esfera de niebla de 20 pies de radio centrada en ti. La esfera se extiende por las esquinas y su área queda muy oscurecida. Este efecto dura hasta el final de tu siguiente turno o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) la disperse.
Class/&WitchMaledictionObfuscateTitle	Ofuscar la maldición
Class/&WitchMaledictionPoxDescription	Como acción, elige una criatura que puedas ver en un radio de 1,5 metros para hacer una tirada de salvación de Constitución. Si fallas la tirada de salvación, la criatura queda envenenada hasta el final de tu siguiente turno.
Class/&WitchMaledictionPoxTitle	Maldición de la viruela
Class/&WitchMaledictionRuinDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Constitución. Si fallas la salvación, la clase de armadura de la criatura disminuye en 3, hasta un mínimo de 10, hasta el final de tu siguiente turno.
Class/&WitchMaledictionRuinTitle	Maldición de la Ruina
Class/&WitchRitualCastingMagicAffinityDescription	Afinidad de Lanzamiento Ritual.
Class/&WitchRitualCastingMagicAffinityTitle	Lanzamiento de Rituales
Class/&WitchSavingthrowProficiencyDescription	Sabiduría, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Proficiencias de tirada de salvación de la bruja
Class/&WitchSkillProficiencyDescription	Elige dos de entre Arcanos, Engaño, Perspicacia, Intimidación, Persuasión, Naturaleza y Religión.
Class/&WitchSkillProficiencyTitle	Habilidades de la bruja
Class/&WitchSpellcastingDescription	Puede lanzar hechizos de la lista de hechizos de la bruja.
Class/&WitchSpellcastingTitle	Lanzamiento de hechizos de bruja
Class/&WitchTitle	Bruja
Class/&WitchToolProficiencyDescription	Elige una de Kit de Herbolario y Kit de Envenenador.
Class/&WitchToolProficiencyTitle	Habilidades de herramientas de la bruja
Class/&WitchVisionsInitiativeDescription	Iniciativa de Visiones.
Class/&WitchVisionsInitiativeTitle	Iniciativa de Visiones
Class/&WitchWeaponProficiencyDescription	Armas simples.
Class/&WitchWeaponProficiencyTitle	Proficiencias de las armas de la bruja
Condition/&AbateDescription	Condición de Abate.
Condition/&AbateTitle	Abate
Condition/&AncientForestPhotosynthesisDescription	Puedes absorber la energía de la luz solar. Mientras estés bajo la luz directa del sol, recuperas 2 PS al inicio de tu turno.
Condition/&AncientForestPhotosynthesisTitle	Fotosíntesis
Condition/&AncientForestRootedConditionDescription	De tus pies crecen zarcillos arbóreos que se clavan en el suelo. Puedes lanzar Enredar a voluntad. Tu velocidad pasa a ser 0 y obtienes ventaja en cualquier tirada de salvación para empujarte, tirar de ti o tumbarte.
Condition/&AncientForestRootedConditionTitle	Enraizado
Condition/&ApathyDescription	Condición de apatía.
Condition/&ApathyTitle	Apatía
Condition/&CharmDescription	Condición de Encanto.
Condition/&CharmTitle	Encanto
Condition/&ClassMonkEmptyBodyConditionDescription	Tienes resistencia a todo el daño menos a la fuerza.
Condition/&ClassMonkEmptyBodyConditionTitle	Cuerpo vacío
Condition/&ClassMonkOpenHandDistractConditionDescription	No puedes usar reacciones.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraído
Condition/&ClassMonkStepOfTheWindConditionDescription	Puedes realizar la acción de Desenganche o Dash como acción adicional y tu distancia de salto se duplica durante el turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Paso del Viento
Condition/&ClassMonkTanquilityConditionDescription	Tienes ventaja en las tiradas de salvación contra hechizos y los enemigos tienen desventaja al atacarte. Se elimina cuando haces un ataque o lanzas un hechizo.
Condition/&ClassMonkTanquilityConditionTitle	Tranquilidad
Condition/&ClassMonkZenArrowDistractConditionDescription	Tiene desventaja en el siguiente ataque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Tiene desventaja en todos los ataques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	El movimiento se pone a 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Inmovilizado
Condition/&ConditionBarkWardDescription	Protegido por los espíritus del bosque.
Condition/&ConditionBarkWardTitle	Guardián de la corteza
Condition/&ConditionDualFlurryApplyDescription	Estás tomando impulso...
Condition/&ConditionDualFlurryApplyTitle	¡Doble Flurry!
Condition/&ConditionDualFlurryGrantDescription	¡Tus enemigos se tambalean!
Condition/&ConditionDualFlurryGrantTitle	¡Doble descarga!
Condition/&ConditionImprovedBarkWardDescription	Los espíritus del bosque infligen 2d8 de daño penetrante a los atacantes cuerpo a cuerpo.
Condition/&ConditionImprovedBarkWardTitle	Protección de corteza mejorada
Condition/&ConditionMarkedByArcanistDescription	Afectado por la Marca del Arcanista.
Condition/&ConditionMarkedByArcanistTitle	Marca del Arcanista
Condition/&ConditionMuleDescription	Tu velocidad no se ve reducida por el estorbo o la armadura pesada. Puedes cargar 20 libras adicionales.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Los espíritus del bosque te conceden inmunidad al veneno e infligen 3d8 de daño penetrante a los atacantes cuerpo a cuerpo.
Condition/&ConditionSuperiorBarkWardTitle	Protección superior contra la corteza
Condition/&DebilitatedConditionDescription	Condición de debilitado.
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DHFeeblemindSpellDescription	Las puntuaciones de Inteligencia y Carisma de la criatura se convierten en 1. La criatura no puede lanzar hechizos, activar objetos mágicos, entender el lenguaje o comunicarse de forma inteligible.
Condition/&DHFeeblemindSpellTitle	Mente débil
Condition/&DHForesightSpellDescription	Tienes ventaja en las tiradas de ataque, los chequeos de habilidad y las tiradas de salvación. Además, otras criaturas tienen desventaja en las tiradas de ataque contra ti.
Condition/&DHForesightSpellTitle	Previsión
Condition/&DHHolyAuraSpellDescription	Cuando lanzas este conjuro, los aliados dentro del alcance arrojan una luz tenue en un radio de 1,5 metros, tienen ventaja en todas las tiradas de salvación y las demás criaturas tienen desventaja en las tiradas de ataque contra ellos hasta que el conjuro termine. Además, cuando un demonio o un no-muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella una luz brillante. El atacante debe tener éxito en una tirada de salvación de Constitución o quedar cegado hasta que el hechizo termine.
Condition/&DHHolyAuraSpellTitle	Protegido por el Aura Sagrada
Condition/&DHMindBlankSpellDescription	Inmune al daño psíquico y a la condición de encantado.
Condition/&DHMindBlankSpellTitle	Mente en blanco
Condition/&DHReverseGravitySpellDescription	No puede moverse
Condition/&DHReverseGravitySpellTitle	Atrapado por la gravedad inversa
Condition/&DHTimeStopSpellDescription	Congelado por Parada de Tiempo
Condition/&DHTimeStopSpellTitle	Congelado por la detención del tiempo
Condition/&DHWeirdSpellDescription	La ilusión invoca los miedos más profundos de la criatura, manifestando sus peores pesadillas como una amenaza implacable. Al final de cada turno de la criatura asustada, debe tener éxito en una tirada de salvación de Sabiduría o recibir 4d10 de daño psíquico. Si la tirada de salvación tiene éxito, el hechizo termina para esa criatura.
Condition/&DHWeirdSpellTitle	Extraño
Condition/&DisorientDescription	La precisión de esta criatura se reduce.
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	Condición de ojo maligno.
Condition/&EvilEyeTitle	Ojo maligno
Condition/&EWResonatingStrikeDamageDescription	A 5º nivel, los ataques desencadenados por este cantrip infligen 1d8 de daño adicional por trueno. El daño aumenta aún más en 1d8 a los niveles 11º y 17º.
Condition/&EWResonatingStrikeDamageTitle	Resonancia
Condition/&EWSunlightBladeDamageDescription	A 5º nivel, los ataques desencadenados por este cantrip infligen 1d8 de daño radiante adicional. El daño aumenta en 1d8 a los niveles 11º y 17º.
Condition/&EWSunlightBladeDamageTitle	Quemadura de la cuchilla iluminada por el sol
Condition/&FrenziedDescription	Esta criatura está frenética y atacará a la criatura más cercana.
Condition/&FrenziedTitle	Frenético
Condition/&HalfLifeConditionDescription	Tomas energía necrótica dentro de ti y cuelgas entre la vida y la muerte y eres poseído temporalmente por tu propio fantasma, ganando volar y las mismas inmunidades de condición y resistencias al daño que otros fantasmas.
Condition/&HalfLifeConditionTitle	Media vida
Condition/&HelpActionDescription	Esta criatura ha sido distraída.
Condition/&HelpActionTitle	Distraído
Condition/&MoonTouchedConditionDescription	Tu gravedad está anulada.
Condition/&MoonTouchedConditionTitle	Tocado por la Luna
Condition/&PoxDescription	Condición de Pox.
Condition/&PoxTitle	Pox
Condition/&RuinDescription	Condición de ruina.
Condition/&RuinedDescription	La defensa de esta criatura se reduce.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruina
Condition/&SentinelStopMovementConditionTitle	Detenido
Condition/&SwallowedByToadConditionDescription	Recibe 3d6 de daño de ácido por ronda. Termina si el Brujo Sapo recibe 15 o más puntos de daño en un solo ataque.
Condition/&SwallowedByToadConditionTitle	Tragado por el Sapo
Condition/&SwallowingToadConditionDescription	Termina si el Brujo Sapo es golpeado con 15 o más de daño en un solo ataque.
Condition/&SwallowingToadConditionTitle	Sapo Tragón
ContentPack/&CommunityExpansionPackDescription	El pack de expansión de la Comunidad añade nuevas clases, subclases, proezas y hechizos. Hay un tope de nivel más alto, multiclase, características QOL, corrección de errores y mucho más. Es un verdadero cuerno de la abundancia (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack de Expansión de la Comunidad
CraftyFeats/&ApothecaryIntFeatDescription	#¡ERROR!
CraftyFeats/&ApothecaryIntFeatTitle	Boticario (Inteligencia)
CraftyFeats/&ApothecaryWisFeatDescription	#¡ERROR!
CraftyFeats/&ApothecaryWisFeatTitle	Boticario (Sabiduría)
CraftyFeats/&AttributeDexDescription	#¡RARO!
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	#¡ERROR!
CraftyFeats/&AttributeIntTitle	Inteligencia
CraftyFeats/&AttributeWisDescription	#¡ERROR!
CraftyFeats/&AttributeWisTitle	Sabiduría
CraftyFeats/&CraftyArcanaDescription	Competencia o pericia en Arcanos.
CraftyFeats/&CraftyBowsDescription	Competencia con todos los arcos y ballestas.
CraftyFeats/&CraftyBowsTitle	Dominio del arco
CraftyFeats/&CraftyFletcherFeatDescription	#¡ERROR!
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Competencia o pericia en Medicina.
CraftyFeats/&CraftyNatureDescription	Competencia o pericia en la naturaleza.
CraftyFeats/&CraftyScribeFeatDescription	#¡ERROR!
CraftyFeats/&CraftyScribeFeatTitle	Escribano
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Herramientas
CraftyFeats/&ManacalonCrafterFeatDescription	#¡ERROR!
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	#¡RARO!
CraftyFeats/&ToxicologistIntFeatTitle	Toxicólogo (Inteligencia)
CraftyFeats/&ToxicologistWisFeatDescription	#¡RARO!
CraftyFeats/&ToxicologistWisFeatTitle	Toxicólogo (Sabiduría)
DamageAffinity/&DHHolyAuraSpellDescription	Cuando un demonio o un no-muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella con una luz brillante. El atacante debe tener éxito en una tirada de salvación de Constitución o quedar cegado hasta que el hechizo termine.
DamageAffinity/&DHHolyAuraSpellTitle	Aura sagrada de represalia
Equipment/&ArcaneStaffDescription	Este báculo lleva inscrita una escritura mágica y puede utilizarse como foco para el lanzamiento de conjuros arcanos.
Equipment/&ArcaneStaffTitle	Báculo arcano
Equipment/&CEHalberdTypeTitle	Alabardas
Equipment/&CEHandXbowTypeTitle	Ballestas de mano
Equipment/&CELongMaceTypeTitle	Mazas largas
Equipment/&CEPikeTypeTitle	Picas
Equipment/&DruidicAmuletDescription	Este amuleto totémico puede utilizarse como foco para el lanzamiento de hechizos druídicos.
Equipment/&DruidicAmuletTitle	Amuleto druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Garrote de la agudeza
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Las afiladas púas de la garra del oso destrozan la armadura para infligir daño adicional. La primera arma de este tipo fue diseñada por Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Garra de oso
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Club_Lightbringer_Title	Garrote de la luz
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sólo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este garrote para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Club_Power_Title	Garrote del Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La combinación del mejor metal y la piedra eslava otorgó a esta hacha un increíble poder de perforación.
Equipment/&Enchanted_Club_Punisher_Title	Garrote castigador
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo de agudeza
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo quemador de escarcha
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo de la agudeza
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo de labrador de rocas
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hacha de la agudeza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hacha de quemadura de escarcha
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hacha de mano afilada
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hacha de mano de los "Souldrinkers
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Su diseño original llevaba el sello de Defineth Sharpsight, un renombrado encantador elfo silvano.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Ballesta pesada de precisión
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Ballesta pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. La magia fundió el coral de medusa y la madera dura para crear un arco mortal, favorecido por las partidas de abordaje de los halflings de la isla.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Ballesta pesada de medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Los Coedymwarth preferían enfrentarse a los arqueros de Manacalon de forma física en lugar de mágica. Sus mejores arqueros recibieron ballestas, creación de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Ballesta pesada de tiro certero
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseñada por Galar Stromforge, el primer herrero enano que aprovechó el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Arco de tormenta pesado
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada fue creada utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Armadura de desvío de pieles
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Armadura de pieles de la danza de las llamas
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Armadura de Escarcha Caminante
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Armadura de pieles de robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Armadura de pieles de robustez
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Armadura de piel de supervivencia
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Jabalina de la agudeza
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Javelin_Frostburn_Title	Jabalina de quemadura de escarcha
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Jabalina de la agudeza
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Jabalina del Cantapiedras
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada fue creada utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Cuero de druida de la desviación
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Cuero de druida de la danza de las llamas
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Cuero de druida de la marcha de la escarcha
