Name	Type	DatabaseType	GUID
GloomBladeToggle	ActionDefinition	ActionDefinition	39cc625c-5121-5265-b113-bec2403455e2
GrappleOnUnarmedToggle	ActionDefinition	ActionDefinition	905bb431-ccf9-5e27-90e6-3c1fda1e981e
GravityWellToggle	ActionDefinition	ActionDefinition	cef3a8c0-6400-5474-8c85-2bc531d1f09b
HailOfBladesToggle	ActionDefinition	ActionDefinition	d8a54013-ea97-5387-bb2d-2e5c69a0553e
ImpishWrathToggle	ActionDefinition	ActionDefinition	ef8a2e31-1745-5809-8b37-c88c56239583
InventorInfusion	ActionDefinition	ActionDefinition	642db154-e1fa-5314-a5f5-685937d12c3b
MasterfulWhirlToggle	ActionDefinition	ActionDefinition	8cf1a81f-84f3-5845-af3e-a2018f722351
MindSculptToggle	ActionDefinition	ActionDefinition	ed805865-b8d6-57f8-b89e-48629b42f88d
OrcishFuryToggle	ActionDefinition	ActionDefinition	f1b69370-ae7d-59d1-ab51-e82991ef3473
OverChannelToggle	ActionDefinition	ActionDefinition	efebc330-234a-5968-8968-31eb99d88246
PaladinSmiteToggle	ActionDefinition	ActionDefinition	65d9b910-2fb6-5eee-afe8-dc65ad1386a9
PowerAttackToggle	ActionDefinition	ActionDefinition	d53f2489-40ca-51c2-950a-0a38052deebe
PowerSurgeToggle	ActionDefinition	ActionDefinition	374d1053-67f3-5302-b464-e47a8753a5d7
PressTheAdvantageToggle	ActionDefinition	ActionDefinition	73ab67e7-6aa3-565a-a86a-acc4a62094f5
PrioritizeAction	ActionDefinition	ActionDefinition	118b1701-a7f2-509d-9ce2-90050c30e17c
PushedCustom	ActionDefinition	ActionDefinition	bfbd8373-389e-558c-8c4b-d20700c78ec2
SupremeWillToggle	ActionDefinition	ActionDefinition	dbd5c37d-30a8-59a5-a54f-6ccafd2289a0
TacticianGambitBonus	ActionDefinition	ActionDefinition	b1ef155a-7411-575e-8e44-7250ed15ffa4
TacticianGambitMain	ActionDefinition	ActionDefinition	e43aa2c6-cefa-5fb6-af89-a4301acd224c
TacticianGambitNoCost	ActionDefinition	ActionDefinition	c06b3df4-5fb5-52f9-a63f-c73a48207c25
ThunderousStrikeToggle	ActionDefinition	ActionDefinition	9f8e3d36-1cf3-54e0-9e9d-f4668c6bcf41
TidesOfChaosRecharge	ActionDefinition	ActionDefinition	d83f5113-3b5b-5ad9-9e83-2d1967a036b5
TraditionOpenHandQuiveringPalmToggle	ActionDefinition	ActionDefinition	3ff38f3d-0a13-59ef-8278-4d80e5fd1611
WildlingFeralAgility	ActionDefinition	ActionDefinition	7602b2b6-ee3b-5c99-bb6a-5c6fe3d82a40
WildSurgeBolt	ActionDefinition	ActionDefinition	20bc7bf1-65b4-5848-bace-96a3980150e0
WildSurgeBoltFree	ActionDefinition	ActionDefinition	2399cdc2-eada-53fd-aba8-62a265a3fce9
WildSurgeReroll	ActionDefinition	ActionDefinition	561cfafb-7363-5e70-b035-ced4429fdebd
WildSurgeSummon	ActionDefinition	ActionDefinition	3937a3f5-5a6e-5d66-b588-e7dac29d563f
WildSurgeSummonFree	ActionDefinition	ActionDefinition	572d0e56-f959-553f-b434-21ae08da910c
WildSurgeTeleport	ActionDefinition	ActionDefinition	71b8cdd2-551c-5014-9828-ac1fbb32766d
WildSurgeTeleportFree	ActionDefinition	ActionDefinition	adcc7644-eea6-5bb1-aa95-87f4d72679e0
ZenShotToggle	ActionDefinition	ActionDefinition	39fe6c96-92a6-510d-9443-551ecf08d202
Activators~Catacombs~MOD	BlueprintCategory	BlueprintCategory	6b2bc255-721a-536d-ac65-2110c5999ed3
Activators~CityValley~MOD	BlueprintCategory	BlueprintCategory	e4b5c765-875b-5700-b346-eefc40f764a8
Activators~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	189d83ec-c7c1-5701-98cd-af4218be3e73
Activators~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	7c529f28-4bce-5271-a564-82d43616a04c
Activators~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	1a991c17-1909-54e2-a5c4-6d594cd6bc34
Activators~Jungle~MOD	BlueprintCategory	BlueprintCategory	08c7cf99-498f-50a9-af8a-84d5f438598a
Activators~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	35404a6c-37f5-5d49-8f14-9f4369c4eb3a
Activators~MountainCave~MOD	BlueprintCategory	BlueprintCategory	577b75cc-d9c8-5b72-a1d7-8be32d0d70ed
Activators~Necropolis~MOD	BlueprintCategory	BlueprintCategory	0427ef55-4dd9-53b7-8934-2358e7d5a05b
Activators~Sewers~MOD	BlueprintCategory	BlueprintCategory	0d9e13da-b140-5d9a-8520-16327305bd0b
Activators~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	478a80f8-f9d4-5c78-9d4e-60003894c739
Activators~Stronghold~MOD	BlueprintCategory	BlueprintCategory	eb365f93-1b95-5508-8bdc-dc8c3a2420d6
Activators~Swamp~MOD	BlueprintCategory	BlueprintCategory	a901da5f-d345-53b4-ac95-067710770d65
Activators~Town~MOD	BlueprintCategory	BlueprintCategory	b602efce-f027-5d69-8444-3b3a838931ad
Activators~TownInterior~MOD	BlueprintCategory	BlueprintCategory	783b695d-8a3f-5534-b81e-2be6be60bc1d
Activators~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	02bc98a1-e17c-5345-8edc-925747185e13
Activators~WoodLand~MOD	BlueprintCategory	BlueprintCategory	722940bf-4002-50ba-bacc-0a551151d523
Adventuring~Catacombs~MOD	BlueprintCategory	BlueprintCategory	53d26e49-cd9a-5554-8fbf-e7e26233ff19
Adventuring~CityValley~MOD	BlueprintCategory	BlueprintCategory	3a29aa22-3db1-5cb8-8d44-5dac3ec9a1de
Adventuring~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	250a7543-3c31-5d5a-87f2-1cb39fda46e4
Adventuring~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	bc332f51-2173-52f1-a5bc-3654902ba1ca
Adventuring~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	f0b3df06-5818-5b4f-81ae-4e90b1253ab8
Adventuring~Jungle~MOD	BlueprintCategory	BlueprintCategory	044f609a-e501-56d5-8814-8217b2097c6b
Adventuring~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	5a97ec2a-6d0d-5c12-87ad-d838f77738d2
Adventuring~MountainCave~MOD	BlueprintCategory	BlueprintCategory	fa969a37-c5bf-5330-bc90-025ab7c473a4
Adventuring~Necropolis~MOD	BlueprintCategory	BlueprintCategory	5e491f97-fadf-5810-9150-ca5ed30fdf45
Adventuring~Sewers~MOD	BlueprintCategory	BlueprintCategory	1894f201-572a-5aa5-946b-99a53bfe6fe4
Adventuring~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	c32bdc52-5660-5da4-aa0e-8b1f245622c5
Adventuring~Stronghold~MOD	BlueprintCategory	BlueprintCategory	602f9088-0459-5ca1-b901-71159ff7515e
Adventuring~Swamp~MOD	BlueprintCategory	BlueprintCategory	7f3e50f9-6303-5dfe-afff-7d46a1823076
Adventuring~Town~MOD	BlueprintCategory	BlueprintCategory	e345cf06-9e7f-5656-aeee-9276a350cee8
Adventuring~TownInterior~MOD	BlueprintCategory	BlueprintCategory	263cb126-8996-5152-abc3-473bc6e96f77
Adventuring~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	a64c456b-11b6-5dbb-8251-788e3f707686
Adventuring~WoodLand~MOD	BlueprintCategory	BlueprintCategory	6cb3b72e-420e-5b0d-88f0-dd1a97b56537
Barrier~Catacombs~MOD	BlueprintCategory	BlueprintCategory	6f1e962c-bcc4-5f50-8deb-84ed79f30b2c
Barrier~CityValley~MOD	BlueprintCategory	BlueprintCategory	e7573b57-f606-5951-9cbe-c89ee9a45977
Barrier~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	011623b6-2447-56a6-aec0-78ff9a0662db
Barrier~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	b92046d8-0ef5-56bb-bbc7-9e5817b879f5
Barrier~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	9f84a0ca-69e8-51e5-a945-e3101bfa53d3
Barrier~Jungle~MOD	BlueprintCategory	BlueprintCategory	a3ba6625-d248-5506-b17f-35fc76dc7f37
Barrier~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	ff58334e-0a9e-5a16-885b-175a7d33c9d0
Barrier~MountainCave~MOD	BlueprintCategory	BlueprintCategory	0ef9d62f-07d6-524a-aede-84efa31849d2
Barrier~Necropolis~MOD	BlueprintCategory	BlueprintCategory	78cb692f-707b-53c1-8213-82f68e4c68d2
Barrier~Sewers~MOD	BlueprintCategory	BlueprintCategory	4f519dba-1651-5845-9c43-2cf65e277532
Barrier~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	53fe2de4-02c6-5e60-876d-fbd31047d7de
Barrier~Stronghold~MOD	BlueprintCategory	BlueprintCategory	14c11537-104f-57a0-a705-ffd726e0dd56
Barrier~Swamp~MOD	BlueprintCategory	BlueprintCategory	65fa830c-7961-5355-ad00-e4c8a95a2616
Barrier~Town~MOD	BlueprintCategory	BlueprintCategory	bb3d4ec7-f5bb-521d-a875-86d056776b97
Barrier~TownInterior~MOD	BlueprintCategory	BlueprintCategory	67f02643-3d99-5af4-ba07-3d78f94f2422
Barrier~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	771a3731-37f6-5259-b35d-794e9e58a279
Barrier~WoodLand~MOD	BlueprintCategory	BlueprintCategory	106d44bf-a8bc-5140-b6d6-700a3f6f28e6
Blockers~Catacombs~MOD	BlueprintCategory	BlueprintCategory	9138404e-4074-58e8-b8e7-6e1718dc8515
Blockers~CityValley~MOD	BlueprintCategory	BlueprintCategory	2379c55a-c87a-5ade-9c37-ba049942d171
Blockers~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	eeb0bb19-8384-515d-9cbd-6d63df6fb13a
Blockers~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	aa3c6929-cb7a-5319-91e6-9d26c893eaa2
Blockers~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	d4ad0987-1748-553d-b9f7-6a5bf35904c6
Blockers~Jungle~MOD	BlueprintCategory	BlueprintCategory	af1a0bdc-4c9c-5caf-8436-5fc6ff137456
Blockers~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	3d2be607-ee30-514b-89aa-e2d3b8a0d892
Blockers~MountainCave~MOD	BlueprintCategory	BlueprintCategory	28b787e9-861c-5240-80c1-1d02234a3895
Blockers~Necropolis~MOD	BlueprintCategory	BlueprintCategory	8f5ed481-10fe-54c1-8e1c-8e8b5f11c10a
Blockers~Sewers~MOD	BlueprintCategory	BlueprintCategory	3fb6c94d-dc7c-57cb-9b75-0bfb7a102696
Blockers~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	5a68f03b-8331-5784-864b-67dbd02a8017
Blockers~Stronghold~MOD	BlueprintCategory	BlueprintCategory	014f11c2-4d13-5fc7-bb95-45fe7214f73d
Blockers~Swamp~MOD	BlueprintCategory	BlueprintCategory	93419549-dbc2-5425-9bd8-f998fd7a9362
Blockers~Town~MOD	BlueprintCategory	BlueprintCategory	7a588dbe-5a89-5c40-a0be-26d050225960
Blockers~TownInterior~MOD	BlueprintCategory	BlueprintCategory	8ad9e5b6-1e75-594e-b014-141b0e0632c7
Blockers~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	949452c8-c15a-5a8c-b8e2-b55fcd878c1a
Blockers~WoodLand~MOD	BlueprintCategory	BlueprintCategory	215fdb40-15e6-5e6d-b0a4-c9267c22ec3e
EmptyRooms~Catacombs~MOD	BlueprintCategory	BlueprintCategory	2391e7fa-dd70-5560-ba58-e988f21159f8
EmptyRooms~CityValley~MOD	BlueprintCategory	BlueprintCategory	2793cb66-4ec8-559f-a39e-a44acb3bcd0b
EmptyRooms~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	f2b61f7a-ac6b-521f-b068-4278230f087e
EmptyRooms~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	a6da78a5-2f22-5e3d-b28b-44b7db61fe47
EmptyRooms~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	6f1d13a3-a441-52c5-925c-0b382c8a279b
EmptyRooms~Jungle~MOD	BlueprintCategory	BlueprintCategory	752b05dd-08e2-5afe-8760-9207cf45f304
EmptyRooms~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	39ee2b18-da94-5795-9c78-4b82cde8d2b7
EmptyRooms~MountainCave~MOD	BlueprintCategory	BlueprintCategory	31fe3063-d6d1-5c66-8f27-a1d0c30ee320
EmptyRooms~Necropolis~MOD	BlueprintCategory	BlueprintCategory	15d4d567-10a3-5676-97c6-5652f111c21d
EmptyRooms~Sewers~MOD	BlueprintCategory	BlueprintCategory	96f44bb4-bf25-52e7-92ca-b85583e36ecc
EmptyRooms~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	babad0a1-35f4-57e6-9aa0-10c44ef83569
EmptyRooms~Stronghold~MOD	BlueprintCategory	BlueprintCategory	58afbb9f-c24d-5ed5-bfc9-7b3df8731d72
EmptyRooms~Swamp~MOD	BlueprintCategory	BlueprintCategory	faf2f6a8-a779-5149-a409-bdb5f37a81b0
EmptyRooms~Town~MOD	BlueprintCategory	BlueprintCategory	38772844-58ec-55d8-b29f-fd027789c7c9
EmptyRooms~TownInterior~MOD	BlueprintCategory	BlueprintCategory	026998b0-ad52-5e8c-acb2-399e7e13b00f
EmptyRooms~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	7d4571f9-6ad2-5cc2-9a8e-c0254d996f4f
EmptyRooms~WoodLand~MOD	BlueprintCategory	BlueprintCategory	ac890452-15d9-580c-aaf1-041bcf91dd31
Encounter~Catacombs~MOD	BlueprintCategory	BlueprintCategory	eed9e6c6-1c08-551c-b61c-3f9a84ae9187
Encounter~CityValley~MOD	BlueprintCategory	BlueprintCategory	a80ad98a-4d54-5ddf-8dda-e91b69d1c9ca
Encounter~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	57c1f4f4-e9e0-51ea-a973-1b1dfc2d8869
Encounter~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	dc24535b-d8e7-5c94-9734-4eff08ba4d01
Encounter~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	90a1d996-0d40-5b46-98bf-5cfa77903c3a
Encounter~Jungle~MOD	BlueprintCategory	BlueprintCategory	e252fbad-c5ea-5888-8ca5-0ff5f3f61c06
Encounter~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	20548863-7c61-532b-b62e-90561e1bbf02
Encounter~MountainCave~MOD	BlueprintCategory	BlueprintCategory	b7bbb6f7-c170-5c03-8378-ae12019f9540
Encounter~Necropolis~MOD	BlueprintCategory	BlueprintCategory	eeb52730-cac2-5b4e-85e0-60069d61c062
Encounter~Sewers~MOD	BlueprintCategory	BlueprintCategory	e2c72005-d097-5aa0-a3eb-7ef2fa92208b
Encounter~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	3c608d46-718e-5120-b845-fcfbd1097844
Encounter~Stronghold~MOD	BlueprintCategory	BlueprintCategory	7e11ec64-c531-59c0-8c08-188fd66bb4df
Encounter~Swamp~MOD	BlueprintCategory	BlueprintCategory	d5638136-fc71-5b15-923b-52688e164d32
Encounter~Town~MOD	BlueprintCategory	BlueprintCategory	61b252bd-88f5-5958-9262-837545423d27
Encounter~TownInterior~MOD	BlueprintCategory	BlueprintCategory	8e5f12e8-4a9f-5b27-94cb-874e5e0cbfc2
Encounter~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	9d1537e0-5aaa-57fe-a72f-2fe063c86403
Encounter~WoodLand~MOD	BlueprintCategory	BlueprintCategory	57471ad7-f316-5fc1-8f50-54f44f242aa4
FlatRooms	BlueprintCategory	BlueprintCategory	5e79cba0-c9b1-5df9-8ed2-bdbb552722a1
FlatRooms~Catacombs~MOD	BlueprintCategory	BlueprintCategory	932776fa-0c44-5150-af0e-48524dc57dee
FlatRooms~CityValley~MOD	BlueprintCategory	BlueprintCategory	f9de9102-1d08-517c-9138-20353dd9f1d5
FlatRooms~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	fc554acf-2a5f-5aa8-bacf-a7ce9b07cbef
FlatRooms~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	51efe2d9-dffd-56cd-b4a3-2f91b2e29baa
FlatRooms~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	dd6137c5-0e31-5437-aa8e-2192ef2f4312
FlatRooms~Jungle~MOD	BlueprintCategory	BlueprintCategory	de7f69c0-a971-5780-a6d9-4f2c904ade48
FlatRooms~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	95f1367d-f906-59df-b995-112baa1c8833
FlatRooms~MountainCave~MOD	BlueprintCategory	BlueprintCategory	7f3a563c-58a0-583d-9d4e-1d15c5e87fb6
FlatRooms~Necropolis~MOD	BlueprintCategory	BlueprintCategory	4aec3945-d432-5f2f-a761-718dc87dbfc6
FlatRooms~Sewers~MOD	BlueprintCategory	BlueprintCategory	8f8c124a-5dd5-5d35-8214-499e0e4299de
FlatRooms~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	f71e13ef-fcb9-55d8-b62a-01c7163409d9
FlatRooms~Stronghold~MOD	BlueprintCategory	BlueprintCategory	8c908094-1798-507e-bc39-9567c0087d26
FlatRooms~Swamp~MOD	BlueprintCategory	BlueprintCategory	2438f7be-dbdb-5976-8db0-b9e83f8f7a4a
FlatRooms~Town~MOD	BlueprintCategory	BlueprintCategory	7569c1e6-cd14-5bfc-9a54-624d747328fd
FlatRooms~TownInterior~MOD	BlueprintCategory	BlueprintCategory	dbca33fc-0d00-50c0-a947-e3ac7ab3332a
FlatRooms~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	63cef12f-a49b-52f7-ae5d-e0257dd7af72
FlatRooms~WoodLand~MOD	BlueprintCategory	BlueprintCategory	a279e73a-4b2f-5137-8721-14ea958e8497
FurnishedRooms~Catacombs~MOD	BlueprintCategory	BlueprintCategory	83797c00-185c-59bb-8220-58fedb4e2260
FurnishedRooms~CityValley~MOD	BlueprintCategory	BlueprintCategory	1b946187-a69f-53a2-bb7b-8ac03cd6aeee
FurnishedRooms~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	5bcb8e6e-7dd1-5129-85af-55987c3e2782
FurnishedRooms~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	c162c53d-64ad-5694-a60c-69cf43915c6e
FurnishedRooms~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	16df6ad4-7c36-5e1a-bb44-0377a90e2dcf
FurnishedRooms~Jungle~MOD	BlueprintCategory	BlueprintCategory	1d3dca56-df1b-5cb0-9faa-89c15990def8
FurnishedRooms~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	b1a10254-a0c0-52d2-90ac-df5d99efff18
FurnishedRooms~MountainCave~MOD	BlueprintCategory	BlueprintCategory	ca27b701-4ba5-50c7-9585-018b74280f67
FurnishedRooms~Necropolis~MOD	BlueprintCategory	BlueprintCategory	5d806d63-0c7b-5b1c-938c-35502a0abac0
FurnishedRooms~Sewers~MOD	BlueprintCategory	BlueprintCategory	3cf379a3-b804-547e-9219-281dc73c05b9
FurnishedRooms~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	52498b51-c2ed-561a-900f-5d11ab3540ca
FurnishedRooms~Stronghold~MOD	BlueprintCategory	BlueprintCategory	41752a1c-6099-5759-8da7-98214f26a077
FurnishedRooms~Swamp~MOD	BlueprintCategory	BlueprintCategory	f11b4da8-7774-51d6-be30-5a672650b2cc
FurnishedRooms~Town~MOD	BlueprintCategory	BlueprintCategory	ec715124-2995-57b3-b6c6-dbb2c2ac9722
FurnishedRooms~TownInterior~MOD	BlueprintCategory	BlueprintCategory	e2066ad7-9e7c-5165-bd3e-dd75197dcb61
FurnishedRooms~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	27ba6fdb-7257-5dfa-b060-0ce3911856e9
FurnishedRooms~WoodLand~MOD	BlueprintCategory	BlueprintCategory	133ec4cc-943f-59b5-a999-87f5cada4d0a
Furniture~Catacombs~MOD	BlueprintCategory	BlueprintCategory	5ab4d3c3-e5f1-54af-a981-b64dc3895ee0
Furniture~CityValley~MOD	BlueprintCategory	BlueprintCategory	44e0a4b7-f1bd-5da8-b6bb-54acb09a66f3
Furniture~DwarfInterior~MOD	BlueprintCategory	BlueprintCategory	2668c16f-f362-5180-b95e-45aed8407f12
Furniture~DwarfOutdoor~MOD	BlueprintCategory	BlueprintCategory	e68fcbd1-05a2-54ba-a1da-92fab69b51e9
Furniture~ElvenPalace~MOD	BlueprintCategory	BlueprintCategory	8c3d0994-0763-58bf-b4b3-acdbc982ca54
Furniture~Jungle~MOD	BlueprintCategory	BlueprintCategory	63bab891-721a-502c-a62c-c637dbc5a651
Furniture~LavaCaves~MOD	BlueprintCategory	BlueprintCategory	edfb4f39-7e95-5b63-b19e-672034c5d353
Furniture~MountainCave~MOD	BlueprintCategory	BlueprintCategory	5b9dfbe4-966f-52a8-860f-8154ec029057
Furniture~Necropolis~MOD	BlueprintCategory	BlueprintCategory	e381a110-0d3a-5c37-91f9-0b7e7726d624
Furniture~Sewers~MOD	BlueprintCategory	BlueprintCategory	459813a8-15d8-53ee-9647-c322357d99d8
Furniture~SnowyForest~MOD	BlueprintCategory	BlueprintCategory	1c3c8972-9ca1-5b63-81fe-b5c3d65ae542
Furniture~Stronghold~MOD	BlueprintCategory	BlueprintCategory	7aca2486-1085-53b1-b28c-fd0b040229de
Furniture~Swamp~MOD	BlueprintCategory	BlueprintCategory	8a2d610d-958c-5100-bd5c-096bab52a381
Furniture~Town~MOD	BlueprintCategory	BlueprintCategory	cb13dbc3-aeef-5b18-b892-a196734efe7e
Furniture~TownInterior~MOD	BlueprintCategory	BlueprintCategory	b117a97e-396c-5fee-a1b3-a2a84c5211b8
Furniture~ValleyPalace~MOD	BlueprintCategory	BlueprintCategory	9a6274ef-13c8-5b4a-8991-fc2fb4ca3ce6
Furniture~WoodLand~MOD	BlueprintCategory	BlueprintCategory	ff6250a6-c284-5cc4-a51c-2f636e3ff2a0
