AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC ist auf 16 eingestellt.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Einmal pro langer Rast kannst du eine Waffe mit Seelenkraft stärken. Diese Waffe verwendet den Charisma-Modifikator für Angriffs- und Schadenswürfe und zählt bis zu einer langen Pause als magisch.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Seelenkraft
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	Mit der Seelenklinge können Sie aus einer erweiterten Liste von Zaubersprüchen wählen, wenn Sie einen Warlock-Zauber lernen. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Seelenklingenzauber
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Einmal pro kurzer Rast nutzt du die Kraft der Seelen, um dich zu verteidigen. Mit einer Bonusaktion erhältst du temporäre HP in Höhe deines Levels + Charisma-Modifikator.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Seelenschild
Feature/&AncientForestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&AncientForestExpandedSpelllistAfinityTitle	Alte Waldzauber
Feature/&AncientForestLightAffinityDescription	Sie können Energie aus Sonnenlicht absorbieren. Während Sie sich in direktem hellem Licht befinden, erhalten Sie 2 HP pro Runde.
Feature/&AncientForestLightAffinityTitle	Photosynthese
Feature/&AncientForestRegrowthDescription	Sie haben einen Pool an Heilkraft, der sich füllt, wenn Sie sich lange ausruhen. Mit diesem Pool können Sie eine Gesamtzahl an Trefferpunkten wiederherstellen, die Ihrem Warlock-Level × 5 entspricht.
Feature/&AncientForestRegrowthTitle	Nachwachsen
Feature/&ArmorofShadowsTitle	Rüstung der Schatten
Feature/&AscendantStepTitle	Aszendentenschritt
Feature/&AspectoftheMoonDescription	Sie müssen nicht mehr schlafen und können Wache halten, was die Wahrscheinlichkeit eines Angriffs verringert und sicherstellt, dass Sie wach sind, wenn das Lager angegriffen wird.
Feature/&AspectoftheMoonTitle	Aspekt des Mondes
Feature/&BeguilingInfluenceDescription	Sie erwerben Kenntnisse in den Fertigkeiten Täuschung und Überzeugung.
Feature/&BeguilingInfluenceTitle	Betörender Einfluss
Feature/&BondoftheTalismanDescription	Teleportiere dich bis zu 30 Fuß entfernt.
Feature/&BondoftheTalismanTitle	Teleport-Talisman
Feature/&ChainsofCarceriDescription	Paralysiert einen Himmlischen, Unterweltler oder Elementar, es sei denn, ihm gelingt ein Weisheitswurf.
Feature/&ChainsofCarceriTitle	Ketten von Carceri
Feature/&ClassMonkTongueOfSunAndMoonDescription	Du lernst, das Ki anderer Geister zu berühren, damit du alle gesprochenen Sprachen verstehst. Darüber hinaus kann jedes Wesen, das eine Sprache verstehen kann, verstehen, was Sie sagen.
Feature/&ClassMonkTongueOfSunAndMoonTitle	Zunge der Sonne und des Mondes
Feature/&ClassWarlockArmorProficiencyDescription	Leichte Rüstung.
Feature/&ClassWarlockArmorProficiencyTitle	Hexenmeister-Rüstungsfähigkeiten
Feature/&ClassWarlockEldritchInvocationReplaceDescription	Wählen Sie Eldritch Invocation zum Ersetzen aus.
Feature/&ClassWarlockEldritchInvocationReplaceTitle	Aufruf ersetzen
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Fügen Sie eine unheimliche Anrufung hinzu.
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Eldritch-Anrufung
Feature/&ClassWarlockEldritchMasterDescription	Sie können auf Ihre innere Reserve an mystischer Kraft zurückgreifen, während Sie Ihren Gönner bitten, verbrauchte Zauberslots wiederzuerlangen. Sie können 1 Minute damit verbringen, Ihren Patron um Hilfe zu bitten, um alle Ihre verbrauchten Zauberslots aus Ihrer Paktmagie-Funktion zurückzugewinnen. Sobald Sie mit dieser Funktion Zauberslots wiedererlangen, müssen Sie eine lange Pause einlegen, bevor Sie dies erneut tun können.
Feature/&ClassWarlockEldritchMasterTitle	Eldritch-Meister
Feature/&ClassWarlockMysticArcanumSetDescription	Ihr Gönner verleiht Ihnen ein magisches Geheimnis namens Arkanum. Du kannst deinen Arcanum-Zauber einmal wirken, ohne einen Zauberslot zu verbrauchen. Sie müssen eine lange Pause beenden, bevor Sie dies erneut tun können. Auf höheren Stufen erhältst du mehr Hexenmeister-Zauber deiner Wahl, die auf diese Weise gewirkt werden können: einen Zauber der 6. Stufe auf der 11. Stufe, einen Zauber der 7. Stufe auf der 13. Stufe, einen Zauber der 8. Stufe auf der 15. Stufe und einen der 9. Stufe -Stufenzauber auf Stufe 17.
Feature/&ClassWarlockMysticArcanumSetTitle	Mystisches Arkanum
Feature/&ClassWarlockSavingThrowProficiencyDescription	Weisheit, Charisma.
Feature/&ClassWarlockSavingThrowProficiencyTitle	Fähigkeiten zum Speichern von Würfen
Feature/&ClassWarlockSkillProficiencyDescription	Wähle 2 dieser Fertigkeiten: Arkana, Täuschung, Geschichte, Einschüchterung, Ermittlung, Natur und Religion.
Feature/&ClassWarlockSkillProficiencyTitle	Hexenmeister-Fähigkeiten
Feature/&ClassWarlockSpellcastingDescription	Ihre arkanen Forschungen und die Magie, die Ihnen Ihr jenseitiger Gönner verliehen hat, haben Ihnen Zauber verliehen.
Feature/&ClassWarlockSpellcastingTitle	Hexenmeister-Pakt-Magie
Feature/&ClassWarlockToolsProficiencyDescription	Du wurdest darin ausgebildet, Kräuterheilmittel zu brauen und Zaubergeräte zu benutzen.
Feature/&ClassWarlockToolsProficiencyTitle	Hexenmeister magisches Handwerk
Feature/&ClassWarlockWeaponProficiencyDescription	Einfache Waffen.
Feature/&ClassWarlockWeaponProficiencyTitle	Hexenmeister-Waffenfertigkeiten
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceDescription	Wenn Sie auf 0 HP reduziert, aber nicht getötet werden, können Sie stattdessen auf 1 HP fallen.
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceTitle	Unerbittliche Ausdauer
Feature/&DevilsSightDescription	Sie können in der Dunkelheit normal sehen, sowohl magisch als auch nicht magisch, bis zu einer Entfernung von 120 Fuß.
Feature/&DevilsSightTitle	Teufelsblick
Feature/&DH_BlinkDescription	Als Bonusaktion verschwindest du von deiner aktuellen Existenzebene und verhinderst jeglichen Schaden. Zu Beginn deines nächsten Zuges kehrst du auf das Feld zurück, von dem du verschwunden bist.
Feature/&DH_BlinkTitle	Blinken
Feature/&DH_FadeIntoTheVoidDescription	Wenn Sie auf 0 Trefferpunkte reduziert, aber nicht direkt getötet werden, fallen Sie stattdessen auf 1 Trefferpunkt, wenn Sie kurz in die Leere verschwinden, um den Schaden zu verringern. Sie können diese Funktion erst wieder verwenden, wenn Sie eine lange Pause beendet haben.
Feature/&DH_FadeIntoTheVoidTitle	In die Leere verblassen
Feature/&DH_RiftCloakDescription	Deine Kontrolle über Rissportale hat sich so weit erhöht, dass du jetzt anderen den Schutz des Risses gewähren kannst. Du kannst nach Belieben abwehrenden Bund wirken (ohne Schaden zu teilen).
Feature/&DH_RiftCloakTitle	Rift-Umhang
Feature/&DH_RiftControlDescription	Kurz von der Energie des Risses umgeben, teleportierst du dich in einen unbesetzten Raum. Ihr könnt jetzt beim Teleportieren einen Verbündeten mitnehmen und die Reichweite hat sich deutlich erhöht.
Feature/&DH_RiftControlTitle	Rift-Portal
Feature/&DH_RiftStrikeDescription	Wenn du im Nahkampf Schaden erleidest, kannst du einmal am Tag mit deiner Reaktion ein Portal erschaffen, das den Angreifer für 1 Runde aus deiner Existenzebene verbannt.
Feature/&DH_RiftStrikeTitle	Rissschlag
Feature/&DH_RiftWalkDescription	Kurzzeitig von der Energie der Leere zwischen den Welten umgeben, teleportierst du dich bis zu 30 Fuß weit in einen unbesetzten Raum, den du sehen kannst.
Feature/&DH_RiftWalkTitle	Rift-Schritt
Feature/&DHAncientForestBonusCantripDescription	Ihr Gönner teilt Geheimnisse darüber, wie natürliche Magie und Lebensenergie miteinander verbunden sind. Du lernst Shillelagh und Chill Touch.
Feature/&DHAncientForestBonusCantripTitle	Bonus-Cantrips aus dem alten Wald
Feature/&DHConjureMinorElementalsBonusCantripDescription	Ihre Kontrolle über elementare Energien hat sich bis zu dem Punkt erhöht, an dem Sie jetzt die Herrschaft über schwächere Elementare haben. Du kannst Kleines Elementar beschwören nach Belieben wirken.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Elementare Günstlinge
Feature/&DHPactOfTheTomeFeatureSetDescription	Ihr Gönner gibt Ihnen ein Zauberbuch namens Buch der Schatten. Wenn Sie diese Funktion erhalten, wählen Sie drei Cantrips aus der Zauberliste einer beliebigen Klasse aus. Die Cantrips müssen nicht aus derselben Zauberliste stammen. Während das Buch bei dir ist, kannst du diese Cantrips nach Belieben wirken. Sie zählen nicht zu deiner Anzahl bekannter Cantrips. Jeder Cantrip, den du mit dieser Funktion wirkst, wird für dich als Warlock-Cantrip betrachtet.
Feature/&DHPactOfTheTomeFeatureSetTitle	Pakt des Wälzers
Feature/&DHWardingBondBonusCantripDescription	Deine Kontrolle über Rissportale hat sich so weit erhöht, dass du jetzt anderen den Schutz des Risses gewähren kannst. Du kannst nach Belieben abwehrenden Bund wirken (ohne Schaden zu teilen).
Feature/&DHWardingBondBonusCantripTitle	Rift-Umhang
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription	Wenn Sie einen Vertrauten beschwören, können Sie eine der folgenden Sonderformen wählen: Kobold, Pseudodrache, Quasit oder Kobold.
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle	Pakt der Kette
Feature/&DreadfulWordTitle	Schreckliches Wort
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Wenn Sie eine Kreatur mit Ihrer Eldritch-Explosion treffen, können Sie diese Kreatur in einer geraden Linie 3 m näher an sich heranbewegen.
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Greifende Explosion
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Wenn Sie eine Kreatur mit einer unheimlichen Explosion treffen, können Sie die Kreatur in einer geraden Linie bis zu 3 m von sich wegschieben.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Abstoßende Explosion
Feature/&EldritchMindDescription	Du hast einen Vorteil bei Konstitutionswürfen, die du machst, um deine Konzentration auf einen Zauber aufrechtzuerhalten.
Feature/&EldritchMindTitle	Eldritch-Geist
Feature/&EldritchSightTitle	Unheimlicher Anblick
Feature/&EldritchSmiteDescription	Einmal pro Zug, wenn du eine Kreatur mit deiner Paktwaffe triffst, kannst du einen Hexenmeister-Zauberplatz aufwenden, um dem Ziel 1W8 zusätzlichen Machtschaden zuzufügen, plus weitere 1W8 pro Stufe des Zauberplatzes.
Feature/&EldritchSmiteTitle	Eldritch Smite
Feature/&ElementalPactAirPlane	Flugzeug
Feature/&ElementalPactAstralPlane	Astralebene
Feature/&ElementalPactEarthPlane	Erdebene
Feature/&ElementalPactEtherealPlane	Ätherische Ebene
Feature/&ElementalPactFirePlane	Feuerwehrflugzeug
Feature/&ElementalPactIcePlane	Eisflugzeug
Feature/&ElementalPactShadowPlane	Schattenebene
Feature/&ElementalPatronDummyFeatureSetTitle	Elementarmagier
Feature/&ElementalPatronElementalConditionFormatDescription	Füge bei einem ersten Treffer in jeder Runde zusätzlich {1} Schaden in Höhe deines Fertigkeitsbonus zu.
Feature/&ElementalPatronElementalConditionFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Wenn du {0} kanalisierst, füge bei einem ersten Treffer in jeder Runde zusätzlichen {1} Schaden in Höhe deines Fertigkeitsbonus zu.
Feature/&ElementalPatronElementalDamageFormatTitle	Elementarschaden: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Wenn du die {0} kanalisierst, erhältst du Immunität gegen {1} und wendest einen Fertigkeitsbonus als Schaden des gleichen Typs an, um jede Runde zuerst zu treffen.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalFormFormatDescription	Wenn du die {0} kanalisierst, erhältst du Resistenz gegen {1} Schaden und wendest den Fertigkeitsbonus als Schaden desselben Typs an, um jede Runde zuerst zu treffen.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	Dein Wissen über Elementare hat sich so weit verbessert, dass du jetzt einen Vorteil bei Fähigkeitsprüfungen gegenüber Elementaren hast und Elementaren zusätzlichen Schaden in Höhe deines Wissensstands zufügst. Du kannst nicht länger von Elementaren bezaubert oder verängstigt werden.
Feature/&ElementalPatronFeatureSet_Level06Title	Wissen über Elementare
Feature/&EyesoftheRuneKeeperDescription	Sie können alle Schriften lesen.
Feature/&EyesoftheRuneKeeperTitle	Augen des Runenhüters
Feature/&FiendishVigorTitle	Teuflische Kraft
Feature/&GiftoftheEverLivingOnesDescription	Stellt die maximal mögliche Anzahl an Trefferpunkten durch Heilung wieder her.
Feature/&GiftoftheEverLivingOnesTitle	Gabe der Immerlebenden
Feature/&GiftoftheProtectorsDescription	Wenn Sie auf 0 Trefferpunkte reduziert, aber nicht direkt getötet werden, fällt die Kreatur stattdessen magisch auf 1 Trefferpunkt. Sobald diese Magie ausgelöst wird, können Sie nicht davon profitieren, bis Sie eine lange Pause beendet haben.
Feature/&GiftoftheProtectorsTitle	Geschenk der Beschützer
Feature/&HerbalBrewDescription	Wenn Sie eine lange Pause beendet haben, können Sie Kräutersud herstellen, die jeweils bis zur nächsten langen Pause reichen. Du braust insgesamt Gebräue in Höhe deines Kompetenzbonus. Wählen Sie für jedes Gebräu einen der folgenden Effekte:\n<color=#add8e6ff>Stärkendes Gebräu</color>: Gewährt 1 Stunde lang Widerstand gegen verschiedene Schadensarten.\n<color=#add8e6ff>Quickening Brew</color>: gewährt 2W4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: wirkt als Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Wenn der Treffer landet, erleidet das Ziel bei jedem Treffer 1W4 Giftschaden.
Feature/&HerbalBrewFeatureSetDescription	Sie werden entweder mit dem Vergifter-Kit oder mit Kräuterkunde-Kits vertraut, wenn Sie es noch nicht haben.\nWenn Sie eine lange Pause beendet haben, können Sie Kräutersud herstellen, die jeweils bis zur nächsten langen Pause reichen. Du braust insgesamt Gebräue in Höhe deines Kompetenzbonus. Wählen Sie für jedes Gebräu einen der folgenden Effekte:\n<color=#add8e6ff>Stärkendes Gebräu</color>: Gewährt 1 Stunde lang Widerstand gegen verschiedene Schadensarten.\n<color=#add8e6ff>Quickening Brew</color>: gewährt 2W4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: wirkt als Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Wenn der Treffer landet, erleidet das Ziel bei jedem Treffer 1W4 Giftschaden.
Feature/&HerbalBrewFeatureSetTitle	Kräuterbrauen
Feature/&HinderingBlastDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.
Feature/&HinderingBlastMagicAffinityDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.
Feature/&HinderingBlastMagicAffinityTitle	Hinderliche Explosion
Feature/&HinderingBlastTitle	Hinderliche Explosion
Feature/&ImprovedPactWeaponDescription	Du kannst jede Waffe als Zauberfokus für deine Warlock-Zauber verwenden. Außerdem erhält die Waffe einen Bonus von +1 auf ihre Angriffs- und Schadenswürfe.
Feature/&ImprovedPactWeaponTitle	Verbesserte Paktwaffe
Feature/&MiretheMindTitle	Beschmutze den Verstand
Feature/&MoonLitDarknessImmunityDescription	Du bist immun gegen den Dunkelheitszustand.
Feature/&MoonLitDarknessImmunityTitle	Mondhelle Dunkelheit
Feature/&MoonLitExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Mondhelle Zauber
Feature/&MoonLitLightAffinityDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubersprüchen, die nicht nur auf dich selbst abzielen, bricht die Unsichtbarkeit.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&MoonLitLightAffinityStrongTitle	Verbesserter Umbral-Umhang
Feature/&MoonLitLightAffinityTitle	Umbraler Umhang
Feature/&OneWithShadowsDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubersprüchen, die nicht nur auf dich selbst abzielen, bricht die Unsichtbarkeit.
Feature/&OneWithShadowsLightAffinityDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubersprüchen, die nicht nur auf dich selbst abzielen, bricht die Unsichtbarkeit.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsLightAffinityStrongTitle	Dunklere Schatten
Feature/&OneWithShadowsLightAffinityTitle	Eins mit Schatten
Feature/&OneWithShadowsStrongerDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsStrongerTitle	Dunklere Schatten
Feature/&OneWithShadowsTitle	Eins mit Schatten
Feature/&OtherworldlyLeapTitle	Jenseitiger Sprung
Feature/&ProficiencySoulBladeArmorDescription	Leichte Rüstung, mittlere Rüstung und Schild.
Feature/&ProficiencySoulBladeArmorTitle	Seelenklingen-Rüstungsfähigkeiten
Feature/&ProficiencySoulBladeWeaponDescription	Einfache Waffen, Kampfwaffen.
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade-Waffenkenntnisse
Feature/&RiftWalkerRestrainedImmunityTitle	Flüchtiger Schritt
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker-Zauber
Feature/&ShroudofShadowTitle	Schleier des Schattens
Feature/&ThiefofFiveFates	Wirke {0} einmal pro Tag
Feature/&ThiefofFiveFatesTitle	Dieb der fünf Schicksale
Feature/&ThirstingBladeDescription	Du kannst zweimal statt einmal mit deiner Waffe angreifen, wenn du in deinem Zug die Angriffsaktion ausführst.
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TrickstersEscapeTitle	Die Flucht des Tricksters
Feature/&WallofThornsFeatureSetDescription	Wirke einmal täglich Dornenwand.
Feature/&WallofThornsFeatureSetTitle	Waldbarriere
Feedback/&AdditionalDamageAgonizing_BlastFormat	Qualvolle Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du Unheimliche Explosion wirkst, addierst du deinen Charisma-Modifikator zu dem Schaden, den es bei einem Treffer verursacht.
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} schlägt {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elementarschaden
Feedback/&AdditionalDamageElementalDamageLine	Elementarform gewährt zusätzlichen Schaden
Feedback/&AdditionalDamagePactMarkedFormat	Paktzeichen!
Feedback/&AdditionalDamagePactMarkedLine	Paktmarke fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamagePactSoulTakerFormat	Seelenfänger!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul Taker fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seele gestärkt!
Feedback/&AdditionalDamageSoulEmpoweredLine	Seelenermächtigt fügt zusätzlichen Schaden zu!
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	Die Waffe verwendet den Charisma-Modifikator für Angriffs- und Schadenswürfe und zählt bis zur langen Pause als magisch.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Seele ermächtigt
Monster/&PactOfChainCustomImpDescription	Kobolde sind überall in den unteren Ebenen zu finden, entweder um Besorgungen für ihre höllischen Herren zu erledigen, Rivalen auszuspionieren oder Sterbliche in die Irre zu führen und aufzulauern. Ein Kobold wird jedem bösen Meister jeder Art stolz dienen, aber er kann sich nicht darauf verlassen, dass er Aufgaben schnell oder effizient erledigt.
Monster/&PactOfChainCustomImpTitle	Kobold (Kettenpakt)
Monster/&PactOfChainCustomPseudodragonDescription	Der schwer fassbare Pseudodrache lebt an den stillen Orten der Welt und lebt in Baumhöhlen und kleinen Höhlen. Mit seinen grünen Schuppen, Hörnern und einem Maul voller scharfer Zähne ähnelt ein Pseudodrache einem winzigen grünen Drachen, aber seine Veranlagung ist verspielt.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodrache
Monster/&PactOfChainCustomQuasitDescription	Quasits befallen die unteren Ebenen. Körperlich schwach halten sie sich im Schatten auf, um Unheil und Bosheit zu schmieden. Mächtigere Dämonen benutzen Quasiten als Spione und Boten, wenn sie sie nicht verschlingen oder auseinandernehmen, um sich die Zeit zu vertreiben.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Kettenpakt)
Monster/&PactOfChainCustomSpriteDescription	Im Gegensatz zu Kobolden geben sich Sprites selten frivoler Fröhlichkeit und Spaß hin. Sie sind standhafte Krieger, Beschützer und Richter, und ihre strenge Haltung veranlasst andere Feen, sie für übermäßig mürrisch und ernst zu halten. Feen, die das Territorium der Sprites respektieren, finden sie jedoch in schwierigen Zeiten zu treuen Verbündeten.
