ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Class/&WitchDescription	Von einem finsteren Fluch heimgesucht, können Hexen dunkle Magie in Verwünschungen verwandeln, die sie verwenden, um Feinde zu schwächen. Sie werden auch von ihren Vertrauten begleitet, treuen magischen Gefährten, mit denen sie den Todesstoß versetzen.
Class/&WitchFamiliarPowerDescription	Du lernst den Witch Familiar-Zauber, also einen verbesserten Find Familiar-Zauber, und kannst ihn als Ritual ohne materielle Komponenten wirken. Der Zauber zählt nicht zu deiner Anzahl bekannter Zauber. Der Zauber verbessert Find Familiar auf folgende Weise:\n• Dein Vertrauter ist in jeder Runde unmittelbar vor oder nach deinem Zug an der Reihe (deine Wahl).\n• Einmal pro Zug als Aktion oder Bonusaktion kannst du deinem Vertrauten im Geiste befehlen, seine Reaktion zu nutzen, um einen Angriff auszuführen.\n• Wenn du einen Zauber wirkst, kannst du ihn durch deinen Vertrauten übermitteln, als ob er den Zauber gewirkt hätte, selbst wenn der Zauber keine Reichweite hat.\n• Ihr Vertrauter kann Ihren Zauberangriffsbonus für seine Angriffswürfe verwenden.\n• Ihr Vertrauter addiert Ihren Fertigkeitsbonus zu seiner Rüstungsklasse, Rettungswürfen und Schadenswürfen.\n• Du addierst das Doppelte deines Hexenlevels zu den maximalen Trefferpunkten deines Vertrauten.
Class/&WitchFamiliarPowerTitle	Vertraut
Class/&WitchFeatureSetBurnedCurseDescription	Fast dein ganzer Körper wurde von arkanen Flammen versengt und hinterlässt auffällige schwarze Narben und magische Glut, die unter der Haut brennen. Infolgedessen haben Sie Widerstand gegen Feuerschaden und kennen die Cantrip-Produce-Flamme, die nicht zu Ihrer Gesamtzahl bekannter Cantrips zählt.
Class/&WitchFeatureSetBurnedCurseTitle	Verbrannt
Class/&WitchFeatureSetLovelessCurseDescription	Du bist verflucht, niemals die wahre Liebe zu finden. Erschöpft und desillusioniert, nicht einmal Magie kann dein Herz wenden; Infolgedessen sind Sie immun gegen Bezauberung.
Class/&WitchFeatureSetLovelessCurseTitle	Lieblos
Class/&WitchFeatureSetRitualCastingDescription	Du kannst jeden Hexenzauber, den du kennst, als Ritual wirken, wenn dieser Zauber das Ritual-Tag hat.
Class/&WitchFeatureSetRitualCastingTitle	Hexe: Ritual Casting
Class/&WitchFeatureSetVisionsCurseDescription	Du bist verflucht, schreckliche Zukunftsvisionen zu haben, die den Tod deiner Freunde, deiner Familie und dir selbst vorhersagen. Obwohl viele dieser Visionen grausame Täuschungen sind, sind sie manchmal grimmig genau. Du kannst deinen Charisma-Modifikator zusätzlich zu deinem Geschicklichkeits-Modifikator zu deinen Initiativewürfen hinzufügen.
Class/&WitchFeatureSetVisionsCurseTitle	Visionen
Class/&WitchLovelessCharmImmunityDescription	Du bist immun gegen Verzauberung.
Class/&WitchLovelessCharmImmunityTitle	Loveless: Charme-Immunität
Class/&WitchMaledictionAbateDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf kann die Kreatur bis zum Ende deines nächsten Zuges keine Reaktionen annehmen.
Class/&WitchMaledictionAbateTitle	Fang den Fluch
Class/&WitchMaledictionApathyDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem misslungenen Rettungswurf wird die Kreatur bis zum Ende deines nächsten Zuges einer Kreatur deiner Wahl gegenüber, der sie feindlich gesinnt ist, gleichgültig. Diese Gleichgültigkeit endet, wenn das Ziel durch einen Zauber der Kreatur, der es gleichgültig ist, angegriffen oder verletzt wird.
Class/&WitchMaledictionApathyTitle	Apathie Verwünschung
Class/&WitchMaledictionCharmDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Weisheitsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf wird die Kreatur bis zum Ende deines nächsten Zuges von dir verzaubert.
Class/&WitchMaledictionCharmTitle	Zauberspruch
Class/&WitchMaledictionDisorientDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf muss dieses Ziel jedes Mal, wenn es vor dem Ende deines nächsten Zuges einen Angriffswurf macht, einen W6 würfeln und die gewürfelte Zahl vom Angriffswurf abziehen.
Class/&WitchMaledictionDisorientTitle	Fluch der Desorientierung
Class/&WitchMaledictionEvilEyeDescription	Wähle als Aktion eine Kreatur, die du sehen kannst und die dich innerhalb von 18 m sehen kann, um einen Weisheitswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf hat die Kreatur bis zum Ende deines nächsten Zuges Angst vor dir.
Class/&WitchMaledictionEvilEyeTitle	Fluch des bösen Blicks
Class/&WitchMaledictionObfuscateDescription	Als Aktion erzeugst du eine Nebelkugel mit einem Radius von 20 Fuß, die auf dich selbst zentriert ist. Die Kugel breitet sich um Ecken herum aus und ihr Bereich ist stark verdeckt. Dieser Effekt hält bis zum Ende deines nächsten Zuges an oder bis ein Wind mit mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) ihn zerstreut.
Class/&WitchMaledictionObfuscateTitle	Fluch verschleiern
Class/&WitchMaledictionPoxDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 1,50 m sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf ist die Kreatur bis zum Ende deines nächsten Zuges vergiftet.
Class/&WitchMaledictionPoxTitle	Pocken-Verwünschung
Class/&WitchMaledictionRuinDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf sinkt die Rüstungsklasse der Kreatur bis zum Ende deines nächsten Zuges um 3 auf ein Minimum von 10.
Class/&WitchMaledictionRuinTitle	Ruin Fluch
Class/&WitchRitualCastingMagicAffinityDescription	Du kannst einen Hexenzauber als Ritual wirken, wenn dieser Zauber das Ritual-Tag hat und du den Zauber vorbereitet hast.
Class/&WitchRitualCastingMagicAffinityTitle	Rituelles Gießen
Class/&WitchSavingthrowProficiencyDescription	Weisheit, Charisma.
Class/&WitchSavingthrowProficiencyTitle	Hexenwurffähigkeiten
Class/&WitchSkillProficiencyDescription	Wählen Sie zwei aus Arcana, Täuschung, Einsicht, Einschüchterung, Überzeugung, Natur und Religion.
Class/&WitchSkillProficiencyTitle	Hexenfähigkeiten
Class/&WitchSpellcastingDescription	Du bist eine Hexe, die Zauber aus der Hexenzauberliste wirken kann.
Class/&WitchSpellcastingTitle	Hexenzauber
Class/&WitchTitle	Hexe
Class/&WitchToolProficiencyDescription	Wähle eines aus dem Kräuterkundler-Kit und dem Poisoner-Kit.
Class/&WitchToolProficiencyTitle	Hexenwerkzeugkenntnisse
Class/&WitchVisionsInitiativeDescription	Du addierst deinen Charisma-Modifikator zu deinen Initiativewürfen hinzu.
Class/&WitchVisionsInitiativeTitle	Visions-Initiative
Class/&WitchWeaponProficiencyDescription	Einfache Waffen.
Class/&WitchWeaponProficiencyTitle	Hexenwaffenfähigkeiten
Condition/&AbateDescription	Reaktionen können nicht verwendet werden.
Condition/&AbateTitle	Nachlassen
Condition/&AncientForestPhotosynthesisDescription	Sie können Energie aus Sonnenlicht absorbieren. Während Sie sich in direktem hellem Licht befinden, erhalten Sie zu Beginn Ihres Zuges 2 HP zurück.
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumranken wachsen aus deinen Füßen und graben sich in den Boden. Du kannst nach Belieben verstricken. Deine Geschwindigkeit wird 0 und du erhältst einen Vorteil bei Rettungswürfen, die dich stoßen, ziehen oder zu Boden werfen.
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&ApathyDescription	Gleichgültig gegenüber einer Zielkreatur, der es feindlich gesinnt ist. Diese Gleichgültigkeit endet, wenn das Ziel angegriffen oder durch einen Zauber der Zielkreatur geschädigt wird.
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Betrachtet den Zaubernden als Verbündeten.
Condition/&CharmTitle	Fasziniert
Condition/&ClassMonkEmptyBodyConditionDescription	Sie haben Widerstand gegen jeden Schaden außer Gewalt.
Condition/&ClassMonkEmptyBodyConditionTitle	Leerer Körper
Condition/&ClassMonkOpenHandDistractConditionDescription	Reaktionen können nicht verwendet werden.
Condition/&ClassMonkOpenHandDistractConditionTitle	Abgelenkt
Condition/&ClassMonkStepOfTheWindConditionDescription	Du kannst die Aktion „Ausrücken“ oder „Sprinten“ als Bonusaktion ausführen und deine Sprungweite wird für die Runde verdoppelt.
Condition/&ClassMonkStepOfTheWindConditionTitle	Schritt des Windes
Condition/&ClassMonkTanquilityConditionDescription	Du hast einen Vorteil bei Rettungswürfen gegen Zauber und Gegner haben einen Nachteil, wenn sie dich angreifen. Wird entfernt, wenn du angreifst oder einen Zauber wirkst.
Condition/&ClassMonkTanquilityConditionTitle	Ruhe
Condition/&ClassMonkZenArrowDistractConditionDescription	Hat Nachteil beim nächsten Angriff.
Condition/&ClassMonkZenArrowDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Hat bei allen Angriffen einen Nachteil.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Bewegung wird auf 0 gesetzt.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Gepinnt
Condition/&ConditionBarkWardDescription	Beschützt von den Geistern des Waldes. Erhalte 4 temporäre HP für jede Druidenstufe, die 10 Minuten lang anhält.
Condition/&ConditionBarkWardTitle	Rinde Ward
Condition/&ConditionDualFlurryApplyDescription	Du baust Schwung auf...
Condition/&ConditionDualFlurryApplyTitle	Doppelte Flut!
Condition/&ConditionDualFlurryGrantDescription	Deine Feinde taumeln!
Condition/&ConditionDualFlurryGrantTitle	Doppelte Flut!
Condition/&ConditionImprovedBarkWardDescription	Die Geister des Waldes fügen Kreaturen, die sie mit einem Nahkampfangriff treffen, 2W8 Stichschaden zu.
Condition/&ConditionImprovedBarkWardTitle	Verbesserter Bark Ward
Condition/&ConditionMarkedByArcanistDescription	Vom Zeichen des Arkanisten betroffen. Wenn es vom Zaubernden mit einem Waffenangriff getroffen wird, explodiert das Mal, fügt dem Betroffenen 1W6 Machtschaden zu und zerstört das Mal.
Condition/&ConditionMarkedByArcanistTitle	Zeichen des Arkanisten
Condition/&ConditionMuleDescription	Ihre Geschwindigkeit wird nicht durch Belastung oder schwere Panzerung verringert. Sie können 20 zusätzliche Pfund tragen.
Condition/&ConditionMuleTitle	Maultier
Condition/&ConditionSuperiorBarkWardDescription	Die Geister des Waldes gewähren Immunität gegen Gift und fügen Kreaturen, die mit einem Nahkampfangriff treffen, 3W8 Stichschaden zu.
Condition/&ConditionSuperiorBarkWardTitle	Superior Bark Ward
Condition/&DebilitatedConditionDescription	Unter einem der folgenden Zustände leiden: geblendet, verflucht, blutend oder betäubt.
Condition/&DebilitatedConditionTitle	Geschwächt
Condition/&DHFeeblemindSpellDescription	Die Intelligenz- und Charismawerte der Kreatur werden zu 1. Die Kreatur kann keine Zauber wirken, magische Gegenstände aktivieren, Sprache verstehen oder auf irgendeine verständliche Weise kommunizieren.
Condition/&DHFeeblemindSpellTitle	Schwachsinn
Condition/&DHForesightSpellDescription	Vorteil bei allen Angriffswürfen, Attributswürfen und Rettungswürfen. Andere Kreaturen haben einen Nachteil bei Angriffswürfen.
Condition/&DHForesightSpellTitle	Voraussicht
Condition/&DHHolyAuraSpellDescription	Vorteil bei allen Rettungswürfen. Andere Kreaturen haben einen Nachteil bei Angriffswürfen. Wenn ein Unterweltler oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, muss dem Angreifer ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet.
Condition/&DHHolyAuraSpellTitle	Geschützt durch Heilige Aura
Condition/&DHMindBlankSpellDescription	Immun gegen psychischen Schaden und den verzauberten Zustand.
Condition/&DHMindBlankSpellTitle	Verstand leer
Condition/&DHReverseGravitySpellDescription	Kann mich nicht bewegen.
Condition/&DHReverseGravitySpellTitle	Eingefangen von der umgekehrten Schwerkraft
Condition/&DHTimeStopSpellDescription	Die Zeit wird für die betroffene Kreatur eingefroren.
Condition/&DHTimeStopSpellTitle	Zeit angehalten
Condition/&DHWeirdSpellDescription	Erschrocken. Führe am Ende jeder Runde einen Weisheitswurf aus. Bei einem Misserfolg erleidest du 4W10 psychischen Schaden. Bei einem Erfolg endet diese Bedingung.
Condition/&DHWeirdSpellTitle	Seltsam
Condition/&DisorientDescription	-1W6 auf Angriffswürfe.
Condition/&DisorientTitle	Desorientiert
Condition/&EvilEyeDescription	Erschrocken. Unfähig, sich der Quelle der Angst zu nähern, Nachteil bei Angriffswürfen und Attributswürfen, während die Quelle der Angst in Sicht ist.
Condition/&EvilEyeTitle	Böser Blick
Condition/&EWResonatingStrikeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die von diesem Cantrip ausgelöst werden, zusätzlich 1W8 Donnerschaden. Der Schaden erhöht sich weiter um 1W8 auf der 11. und 17. Stufe.
Condition/&EWResonatingStrikeDamageTitle	Resonanz
Condition/&EWSunlightBladeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die von diesem Cantrip ausgelöst werden, zusätzlich 1W8 Strahlungsschaden. Der Schaden erhöht sich weiter um 1W8 auf der 11. und 17. Stufe.
Condition/&EWSunlightBladeDamageTitle	Brennen der sonnenbeschienenen Klinge
Condition/&FrenziedDescription	Diese Kreatur ist rasend und greift die nächste Kreatur an.
Condition/&FrenziedTitle	Wahnsinnig
Condition/&HalfLifeConditionDescription	Sie nehmen nekrotische Energie in sich auf und hängen zwischen Leben und Tod und sind vorübergehend von Ihrem eigenen Geist besessen, erlangen Flugfähigkeit und die gleichen Immunitäten und Schadensresistenzen wie andere Geister.
Condition/&HalfLifeConditionTitle	Halbwertszeit
Condition/&HelpActionDescription	Diese Kreatur wurde abgelenkt.
Condition/&HelpActionTitle	Abgelenkt
Condition/&MoonTouchedConditionDescription	Ihre Schwerkraft wird negiert.
Condition/&MoonTouchedConditionTitle	Mond berührt
Condition/&PoxDescription	Pockenzustand.
Condition/&PoxTitle	Pocken
Condition/&RuinDescription	-3 AC Malus, bis zu einem Maximum von -10 AC.
Condition/&RuinedDescription	-3 AC Malus, bis zu einem Maximum von -10 AC.
Condition/&RuinedTitle	Ruiniert
Condition/&RuinTitle	Zugrunde richten
Condition/&SentinelStopMovementConditionDescription	Bewegungsunfähig. Geschwindigkeit auf 0 gesetzt.
Condition/&SentinelStopMovementConditionTitle	Gestoppt
Condition/&SwallowedByToadConditionDescription	Erleidet in jeder Runde 3W6 Säureschaden. Endet, wenn der Zaubernde bei einem einzigen Angriff 15 oder mehr Schaden erleidet.
Condition/&SwallowedByToadConditionTitle	Von Kröte verschluckt
Condition/&SwallowingToadConditionDescription	Endet, wenn bei einem einzigen Angriff 15 oder mehr Schaden erlitten wird.
Condition/&SwallowingToadConditionTitle	Schluckende Kröte
ContentPack/&CommunityExpansionPackDescription	Das Community-Erweiterungspaket fügt neue Klassen, Unterklassen, Talente und Zauber hinzu. Es gibt eine höhere Levelobergrenze, mehrere Klassen, QOL-Funktionen, Fehlerbehebungen und mehr. Es ist ein wahres Horn of Plenty (TM) ...
ContentPack/&CommunityExpansionPackTitle	Community-Erweiterungspaket
CraftyFeats/&ApothecaryIntFeatDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nSie erwerben Kenntnisse im Umgang mit dem Kräuterkunde-Kit und Arcana oder Fachwissen, wenn Sie bereits geübt sind.
CraftyFeats/&ApothecaryIntFeatTitle	Apotheker (Geheimdienst)
CraftyFeats/&ApothecaryWisFeatDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nSie erwerben Kenntnisse im Umgang mit dem Kräuterkunde-Kit und Arcana oder Fachwissen, wenn Sie bereits geübt sind.
CraftyFeats/&ApothecaryWisFeatTitle	Apotheker (Weisheit)
CraftyFeats/&AttributeDexDescription	+1 DEX bis maximal 20
CraftyFeats/&AttributeDexTitle	Geschicklichkeit
CraftyFeats/&AttributeIntDescription	+1 INT bis maximal 20
CraftyFeats/&AttributeIntTitle	Intelligenz
CraftyFeats/&AttributeWisDescription	+1 WIS bis maximal 20
CraftyFeats/&AttributeWisTitle	Weisheit
CraftyFeats/&CraftyArcanaDescription	Sie erwerben Kenntnisse/Expertise in Arcana.
CraftyFeats/&CraftyBowsDescription	Sie erwerben Kenntnisse im Umgang mit allen Bögen und Armbrüsten.
CraftyFeats/&CraftyBowsTitle	Beherrschung des Bogens
CraftyFeats/&CraftyFletcherFeatDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nSie erwerben Kenntnisse im Umgang mit Schmiedewerkzeugen oder Fachwissen, wenn Sie bereits geübt sind.\n Sie erwerben Kenntnisse im Umgang mit allen Bögen und Armbrüsten.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Sie erwerben Kenntnisse/Kenntnisse in der Medizin.
CraftyFeats/&CraftyNatureDescription	Sie erwerben Kenntnisse/Expertise in der Natur.
CraftyFeats/&CraftyScribeFeatDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nSie erwerben Kenntnisse im Umgang mit Schriftrollen und Arcana oder Fachwissen, wenn Sie bereits geübt sind.\nErfordert die Fähigkeit, Zauber zu wirken.
CraftyFeats/&CraftyScribeFeatTitle	Schreiber
CraftyFeats/&CraftySkillsTitle	Fähigkeiten
CraftyFeats/&CraftyToolsTitle	Werkzeug
CraftyFeats/&ManacalonCrafterFeatDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nSie erwerben Kenntnisse im Umgang mit Manacolon-Rosenkranz und Arcana oder Fachwissen, wenn Sie bereits geübt sind.\nErfordert die Fähigkeit, Zauber zu wirken.
CraftyFeats/&ManacalonCrafterFeatTitle	Handwerker von Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nDu erlangst Kenntnisse im Umgang mit Giftausrüstung und Natur oder Fachwissen, wenn du bereits geübt bist.
CraftyFeats/&ToxicologistIntFeatTitle	Toxikologe (Geheimdienst)
CraftyFeats/&ToxicologistWisFeatDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nDu erlangst Kenntnisse im Umgang mit Giftausrüstung und Medizin oder Fachwissen, wenn du bereits geübt bist.
CraftyFeats/&ToxicologistWisFeatTitle	Toxikologe (Weisheit)
DamageAffinity/&DHHolyAuraSpellDescription	Wenn ein Unterweltler oder ein Untoter mit einem Nahkampfangriff zuschlägt, blitzt die Aura in strahlendem Licht auf und dem Angreifer muss ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet.
DamageAffinity/&DHHolyAuraSpellTitle	Vergeltung der Heiligen Aura
Equipment/&ArcaneStaffDescription	Dieser Stab ist mit magischer Schrift beschriftet und kann als Fokus für das Wirken arkaner Zauber verwendet werden.
Equipment/&ArcaneStaffTitle	Arkaner Stab
Equipment/&CEHalberdTypeTitle	Hellebarden
Equipment/&CEHandXbowTypeTitle	Handarmbrüste
Equipment/&CELongMaceTypeTitle	Lange Keulen
Equipment/&CEPikeTypeTitle	Hechte
Equipment/&DruidicAmuletDescription	Dieses totemistische Amulett kann als Fokus für druidische Zaubersprüche verwendet werden.
Equipment/&DruidicAmuletTitle	Druidisches Amulett
Equipment/&Enchanted_Club_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Club_Acuteness_Title	Club der Schärfe
Equipment/&Enchanted_Club_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der Bärenklaue zerfetzen die Rüstung, um zusätzlichen Schaden zu verursachen. Die erste Waffe dieser Art wurde von Ildurial Stronghand entworfen.
Equipment/&Enchanted_Club_Bearclaw_Title	Club der Bärenklauen
Equipment/&Enchanted_Club_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Club_Lightbringer_Title	Club der Lichtbringer
Equipment/&Enchanted_Club_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur körperliche Stärken. Manacalon-Arkaner haben diese Keule geschaffen, um Champions der Iron Legions die Kraft zu geben, die ihre Elfenkörper nicht bieten.
Equipment/&Enchanted_Club_Power_Title	Club der Macht
Equipment/&Enchanted_Club_Punisher_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Die Kombination aus bestem Metall und Sklavenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Club_Punisher_Title	Punisher-Club
Equipment/&Enchanted_Dart_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Dart_Acuteness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Dart_Frostburn_Title	Frostbrandpfeil
Equipment/&Enchanted_Dart_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Dart_Sharpness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Dart_Souldrinker_Title	Seelentrinker Dart
Equipment/&Enchanted_Handaxe_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Faustkeil der Schärfe
Equipment/&Enchanted_Handaxe_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostbrand-Handaxt
Equipment/&Enchanted_Handaxe_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Faustkeil der Schärfe
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Seelentrinker-Handaxt
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Sein ursprüngliches Design trug das Siegel von Defineth Sharpsight, einem bekannten Zauberer der Waldelfen.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Schwere Armbrust der Genauigkeit
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Schwere Armbrust des Lichtbringers
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Magie verschmolz Medusenkoralle und Hartholz zu einem tödlichen Bogen, der von den Enterkommandos der Inselhalblinge bevorzugt wurde.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa Schwere Armbrust
