ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Class/&WitchMaledictionPoxTitle	Maldição da varíola
Class/&WitchMaledictionRuinDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Constituição. Se falhar na resistência, a Classe de Armadura da criatura diminui em 3, para um mínimo de 10, até o final do seu próximo turno.
Class/&WitchMaledictionRuinTitle	Arruinar Maldição
Class/&WitchRitualCastingMagicAffinityDescription	Afinidade de Conjuração de Rituais
Class/&WitchRitualCastingMagicAffinityTitle	Fundição Ritual
Class/&WitchSavingthrowProficiencyDescription	Sabedoria, Carisma
Class/&WitchSavingthrowProficiencyTitle	Proficiências em Testes de Resistência da Bruxa
Class/&WitchSkillProficiencyDescription	Escolha dois de Arcana, Deception, Insight, Intimidation, Persuasion, Nature e Religion
Class/&WitchSkillProficiencyTitle	Habilidades de bruxa
Class/&WitchSpellcastingDescription	Pode lançar feitiços da lista de feitiços da Bruxa
Class/&WitchSpellcastingTitle	Feitiço de Bruxa
Class/&WitchTitle	Bruxa
Class/&WitchToolProficiencyDescription	Escolha um do Kit Herbalist e Kit do Poisoner
Class/&WitchToolProficiencyTitle	Proficiências em Ferramentas de Bruxa
Class/&WitchVisionsInitiativeDescription	Iniciativa Visões
Class/&WitchVisionsInitiativeTitle	Iniciativa Visões
Class/&WitchWeaponProficiencyDescription	Armas Simples
Class/&WitchWeaponProficiencyTitle	Proficiências com Armas de Bruxa
Condition/&AbateDescription	Condição de redução
Condition/&AbateTitle	Abater
Condition/&AncientForestPhotosynthesisDescription	Você pode absorver energia da luz solar. Enquanto você estiver sob luz direta, você ganha 2 HP por rodada
Condition/&AncientForestPhotosynthesisTitle	Fotossíntese
Condition/&AncientForestRootedConditionDescription	Gavinhas arbóreas crescem de seus pés e cavam no chão. Seu deslocamento se torna 0 e você ganha vantagem em qualquer teste de resistência para empurrá-lo, puxá-lo ou derrubá-lo.
Condition/&AncientForestRootedConditionTitle	Enraizado
Condition/&ApathyDescription	Condição de apatia
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Condição de charme
Condition/&CharmTitle	Charme
Condition/&ClassMonkEmptyBodyConditionDescription	Você tem resistência a todos os danos, exceto dano de força
Condition/&ClassMonkEmptyBodyConditionTitle	Corpo Vazio
Condition/&ClassMonkOpenHandDistractConditionDescription	Não pode fazer reações
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraído
Condition/&ClassMonkStepOfTheWindConditionDescription	Você pode realizar a ação Desengajar ou Correr como uma ação bônus e sua distância de salto é dobrada no turno
Condition/&ClassMonkStepOfTheWindConditionTitle	Passo do vento
Condition/&ClassMonkTanquilityConditionDescription	Você tem vantagem nos testes de resistência contra feitiços e os inimigos têm desvantagem em atacá-lo. Removido quando você ataca ou lança feitiço.
Condition/&ClassMonkTanquilityConditionTitle	Tranqüilidade
Condition/&ConditionBarkWardDescription	Protegido pelos espíritos da floresta
Condition/&ConditionBarkWardTitle	Ala de Latidos
Condition/&ConditionDualFlurryApplyDescription	Você está ganhando impulso...
Condition/&ConditionDualFlurryApplyTitle	Turbilhão duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Turbilhão duplo!
Condition/&ConditionImprovedBarkWardDescription	Os espíritos da floresta causam 2d8 de dano perfurante aos atacantes corpo a corpo
Condition/&ConditionImprovedBarkWardTitle	Sentido de Latido Aprimorado
Condition/&ConditionMarkedByArcanistDescription	Afligido pela Marca do Arcanista
Condition/&ConditionMarkedByArcanistTitle	Marca do Arcanista
Condition/&ConditionMuleDescription	Sua velocidade não é reduzida por sobrecarga ou armadura pesada. Você pode carregar 20 libras adicionais
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Os espíritos da floresta concedem imunidade a venenos e causam 3d8 de dano perfurante a atacantes corpo a corpo
Condition/&ConditionSuperiorBarkWardTitle	Ala do Latido Superior
Condition/&DebilitatedConditionDescription	Condição debilitada
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DHFeeblemindSpellDescription	Os valores de Inteligência e Carisma da criatura se tornam 1. A criatura não pode lançar feitiços, ativar itens mágicos, entender linguagem ou se comunicar de qualquer maneira inteligível
Condition/&DHFeeblemindSpellTitle	Mente fraca
Condition/&DHForesightSpellDescription	vantagem em jogadas de ataque, testes de habilidade e testes de resistência. Além disso, outras criaturas têm desvantagem nas jogadas de ataque
Condition/&DHForesightSpellTitle	Previsão
Condition/&DHHolyAuraSpellDescription	você conjurar esta magia emite luz fraca em um raio de 1,5 metro e tem vantagem em todos os testes de resistência, e outras criaturas têm desvantagem nas jogadas de ataque contra elas até que a magia termine. Além disso, quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo a corpo, a aura pisca com uma luz brilhante. O atacante deve ter sucesso em um teste de resistência de Constituição ou ficará cego até que a magia termine
Condition/&DHHolyAuraSpellTitle	Protegido pela Aura Sagrada
Condition/&DHMindBlankSpellDescription	Imune a dano psíquico e à condição encantada
Condition/&DHMindBlankSpellTitle	Mente em branco
Condition/&DHReverseGravitySpellDescription	não pode se mover
Condition/&DHReverseGravitySpellTitle	Apanhado pela gravidade reversa
Condition/&DHTimeStopSpellDescription	Congelado por Parada de Tempo
Condition/&DHTimeStopSpellTitle	Congelado por Parada de Tempo
Condition/&DHWeirdSpellDescription	A ilusão invoca os medos mais profundos da criatura, manifestando seus piores pesadelos como uma ameaça implacável. No final de cada turno da criatura amedrontada, ela deve ser bem sucedida em um teste de resistência de Sabedoria ou sofrerá 4d10 de dano psíquico. Em um teste bem sucedido, a magia termina para aquela criatura
Condition/&DHWeirdSpellTitle	Estranho
Condition/&DisorientDescription	A precisão desta criatura é reduzida
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	Condição de mau-olhado
Condition/&EvilEyeTitle	Mau-olhado
Condition/&EWResonatingStrikeDamageDescription	A partir do nível 5, o ataque desencadeado por este truque causa 1d8 de dano trovejante adicional. O dano aumenta em 1d8 no 11º e 17º níveis
Condition/&EWResonatingStrikeDamageTitle	Ressonância
Condition/&EWSunlightBladeDamageDescription	A partir do nível 5, o ataque desencadeado por este truque causa 1d8 de dano radiante adicional. O dano aumenta em 1d8 no 11º e 17º níveis
Condition/&EWSunlightBladeDamageTitle	Queimadura de Sunlit Blade
Condition/&FrenziedDescription	Esta criatura está frenética e atacará a criatura mais próxima
Condition/&FrenziedTitle	Frenético
Condition/&HalfLifeConditionDescription	Você toma energia necrótica para dentro de si e fica entre a vida e a morte e é temporariamente possuído por seu próprio fantasma, ganhando voar, e as mesmas imunidades de condição e resistência a danos que outros fantasmas
Condition/&HalfLifeConditionTitle	Meia vida
Condition/&HelpActionDescription	Esta criatura foi distraída
Condition/&HelpActionTitle	Distraído
Condition/&MoonTouchedConditionDescription	Sua gravidade é negada
Condition/&MoonTouchedConditionTitle	Lua Tocada
Condition/&PoxDescription	Condição de varíola
Condition/&PoxTitle	Varíola
Condition/&RuinDescription	Condição de ruína
Condition/&RuinedDescription	A defesa desta criatura é reduzida
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruína
Condition/&SwallowedByToadConditionDescription	Recebe 3D6 de dano de ácido por rodada. Termina se o feiticeiro sapo for atingido com 15 ou mais de dano em um único ataque
Condition/&SwallowedByToadConditionTitle	Engolido Por Sapo
Condition/&SwallowingToadConditionDescription	Termina se o feiticeiro sapo for atingido com 15 ou mais de dano em um único ataque
Condition/&SwallowingToadConditionTitle	Engolir Sapo
ContentPack/&CommunityExpansionPackDescription	O pacote de expansão da comunidade adiciona novas classes, subclasses, talentos e feitiços. Há um limite de nível mais alto, multiclasse, recursos de QOL, correções de bugs e muito mais. É um verdadeiro Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Pacote de Expansão da Comunidade
CraftyFeats/&ApothecaryIntFeatDescription	+1 de Inteligência, Proficiência ou Perícia com Kit de Herbalismo e Arcana
CraftyFeats/&ApothecaryIntFeatTitle	Boticário (Inteligência)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Sabedoria, Proficiência ou Perícia com Kit de Herbalismo e Medicina
CraftyFeats/&ApothecaryWisFeatTitle	Boticário (Sabedoria)
CraftyFeats/&AttributeDexDescription	+1 Destreza
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	+1 Inteligência
CraftyFeats/&AttributeIntTitle	Inteligência
CraftyFeats/&AttributeWisDescription	+1 Sabedoria
CraftyFeats/&AttributeWisTitle	Sabedoria
CraftyFeats/&CraftyArcanaDescription	Proficiência ou perícia Arcana
CraftyFeats/&CraftyBowsDescription	Proficiência com todos os arcos e bestas
CraftyFeats/&CraftyBowsTitle	Proficiência em Arco
CraftyFeats/&CraftyFletcherFeatDescription	+1 de destreza, proficiência ou perícia com ferramentas de ferreiro, proficiência com arcos e bestas
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Proficiência ou especialização em medicina
CraftyFeats/&CraftyNatureDescription	Proficiência ou perícia na natureza
CraftyFeats/&CraftyScribeFeatDescription	+1 de Inteligência, Proficiência ou Perícia com Scroll Kit e Arcana, Requer a habilidade de lançar feitiços
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Ferramentas
CraftyFeats/&ManacalonCrafterFeatDescription	+1 de Inteligência, Proficiência ou Perícia com Manacalon Rosário e Arcana, Requer a habilidade de lançar feitiços
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	+1 de Inteligência, Proficiência ou Perícia com Kit do Envenenador e Natureza
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologista (Inteligência)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Sabedoria, Proficiência ou Perícia com Kit de Envenenador e Medicina
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologista (Sabedoria)
DamageAffinity/&DHHolyAuraSpellDescription	Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo a corpo, a aura pisca com uma luz brilhante. O atacante deve ter sucesso em um teste de resistência de Constituição ou ficará cego até que a magia termine
DamageAffinity/&DHHolyAuraSpellTitle	Retaliação da Aura Sagrada
Equipment/&ArcaneStaffDescription	Este cajado está inscrito com escrita mágica e pode ser usado como foco para lançar feitiços Arcanos
Equipment/&ArcaneStaffTitle	Cajado Arcano
Equipment/&DruidicAmuletDescription	Este amuleto totêmico pode ser usado como foco para lançar feitiços druídicos
Equipment/&DruidicAmuletTitle	Amuleto Druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Club_Acuteness_Title	Clube de Agudeza
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso rasgam a armadura para infligir dano adicional � exatamente como esperado por Ildurial Stronghand, que projetou a primeira arma desse tipo
Equipment/&Enchanted_Club_Bearclaw_Title	Clube Bearclaw
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas
Equipment/&Enchanted_Club_Lightbringer_Title	Clube Lightbringer
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Arcanistas de Manacalon criaram este clube para dar aos campeões das Legiões de Ferro a força que seus corpos élficos não forneciam
Equipment/&Enchanted_Club_Power_Title	Clube do Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. A combinação do melhor metal e Slavestone deu a este machado um poder de perfuração incrível
Equipment/&Enchanted_Club_Punisher_Title	Clube do Justiceiro
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo da Agudeza
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo Frostburn
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo de Nitidez
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo Bebedor de Almas
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Handaxe_Acuteness_Title	Machado de Agudeza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Machadinha Queimadura de Gelo
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Handaxe_Sharpness_Title	Machado de Nitidez
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Machado Bebedor de Almas
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Seu design original trazia o selo de Defineth Sharpsight, um renomado feiticeiro elfo silvestre.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Besta Pesada de Precisão
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Besta Pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Coral de medusa e madeira de lei fundidos mágicos para criar um arco mortal, preferido pelos grupos de embarque dos halflings da ilha
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Besta Pesada Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas de Manacalon fisicamente ao invés de magicamente. Seus melhores arqueiros receberam bestas, a criação de Defineth Sharpsight
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Besta Pesada de Atirador
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma � para um efeito devastador!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Besta de Tempestade Pesada
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_Deflection_Title	Esconder Armadura de Deflexão
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Esconder Armadura de Dança Flamejante
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Esconder Armadura de Andar no Gelo
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_Robustness_Title	Esconder Armadura de Robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Esconder Armadura de Resistência
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_HideArmor_Survival_Title	Esconder Armadura de Sobrevivência
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Javelin_Acuteness_Title	Lança de agudeza
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Javelin_Frostburn_Title	Lança Queimadura de Gelo
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Javelin_Sharpness_Title	Dardo de Nitidez
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade
Equipment/&Enchanted_Javelin_Souldrinker_Title	Lança do Bebedor de Almas
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Couro Druida da Deflexão
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Druid Leather of Flame Dance
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Druid Leather of Frost Walking
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Couro Druida da Robustez
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Couro Druida da Robustez
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador
Equipment/&Enchanted_LeatherDruid_Survival_Title	Couro Druida da Sobrevivência
