ModUi/&AddAllToStore	全部加入商店
ModUi/&EnableInvisibleCrownOfTheMagister	将<color=orange>大法师之冠</color>于游戏UI隐藏
ModUi/&EnableLogDialoguesToConsole	在对话日志中启用记录对话到游戏控制台的功能
ModUi/&EnableMinInOutAttributes	强制兼职时的属性前置要求
ModUi/&EnableRelearnSpells	能学习已从其它职业习得的戏法和法术
ModUi/&EnableRespec	启用在休息后重置角色和降级的功能
ModUi/&EnablesAsiAndFeat	启用属性和专长的同时选择<i><color=yellow>[而非二选一]</color></i>
ModUi/&EnableSaveByLocation	启用分战役/地点存档
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	启用<color=orange>法师</color>奥法战士子职的<color=orange>奥法武器</color>能力在短休时恢复
ModUi/&EnableTeleportParty	启用<color=cyan>CTRL-SHIFT-T</color>传送队伍<i><color=yellow>[如果你传送到一个未发现的地点，你可能会破坏任务或地图]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	启用角色库切换键，以设置你的默认的游戏/测试队伍
ModUi/&EnableUnityExplorer	启用Unity Explorer界面
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	启用<color=orange>法师</color>法术大师子职的<color=orange>深层奥术</color>能力可无限恢复\n<i><color=yellow>必须在该能力有可用次数时或在创建角色前启用</color></i>
ModUi/&EnableUpcastConjureElementalAndFey	启用<color=orange>召唤元素</color>，<color=orange>召唤精类生物</color>的升环施法
ModUi/&Encounters	遭遇战
ModUi/&ExpandAll	全部展开
ModUi/&FactionHelp	<color=#C04040E0>加载官方战役以修改派系关系...</color>
ModUi/&FactionRelations	<color=yellow>派系关系：</color>
ModUi/&FasterTimeModifier	<color=white>按空格键时可调整游戏速度</color>
ModUi/&Feats	<color=yellow>专长</color>
ModUi/&FeatsFightingStyles	专长与战斗风格
ModUi/&FightingStyles	<color=yellow>战斗风格</color>
ModUi/&FixSorcererTwinnedLogic	修复<color=orange>术士</color>孪生法术<i><color=yellow>[该法术在其当前环阶时不能同时指定多个生物为目标]</color></i>
ModUi/&FollowCharactersOnTeleport	摄像机跟随传送的角色
ModUi/&FullyControlConjurations	完全控制召唤生物<i><color=yellow>[动物，元素等]</color></i>
ModUi/&Gameplay	游戏内容
ModUi/&GameUi	游戏界面
ModUi/&General	<color=yellow>通常：</color>
ModUi/&GeneralMenu	通常
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	在未发现前隐藏出口和传送点的视觉效果
ModUi/&HideMonsterHitPoints	以25%/50%/75%/100%为单位显示怪物的生命值状态，而非精确的生命值
ModUi/&House	<color=yellow>房屋：</color>
ModUi/&IncreaseSenseNormalVision	提高<color=orange>正常视觉</color>距离以允许长距离攻击<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&InitialChoices	<color=yellow>初始选择：</color>
ModUi/&Interface	界面
ModUi/&InventoryAndItems	<color=yellow>物品栏和物品：</color>
ModUi/&InvertAltBehaviorOnTooltips	颠倒<color=cyan>ALT</color>键在工具提示时的效果
ModUi/&ItemInDm	DM物品
ModUi/&ItemsCraftingMerchants	物品，制作和商人
ModUi/&KeyboardMouse	键盘与鼠标
ModUi/&MakeAllMagicStaveArcaneFoci	使所有魔杖视为奥术法器<i><color=yellow>[全职业通用的<color=orange>治疗法杖</color>除外]</color></i> <b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ 在关卡地图上标记已发现的隐形传送点的位置</i>
ModUi/&MaxAllowedClasses	<color=white>最高职业数量</color> <b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&MaxAllowedLevels	<color=white>最高允许等级</color> <b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=white>最高依地点/战役分类的备份存档数量</color>
ModUi/&MaxBackupHelp	. 备份存档被保存在<i><color=yellow>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>
ModUi/&MaxSpellLevelsPerLine	<color=white>法术面版上每行最高环阶数</color>
ModUi/&Merchants	<color=yellow>商人：</color>
ModUi/&Monsters	<color=yellow>怪物：</color>
ModUi/&Multiclass	<color=yellow>兼职：</color>
ModUi/&MulticlassKeyHelp	<color=cyan>SHIFT</color>点击一个法术会消耗一个法术位，而非默认的契约法术位
ModUi/&MultiplyTheExperienceGainedBy	<color=white>获得的经验乘以</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	无需经验即可升级
ModUi/&NotAvailable	在Mod上还没有可用的{0}...
ModUi/&OfferAdditionalLoreFriendlyNames	在创建角色时提供更多有利于传闻的名字
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ 只显示召唤列表中最强大的生物</i>
ModUi/&OverrideMinMaxLevel	在开启新的冒险时覆盖其最低/最高等级
ModUi/&OverridePartySize	<color=white>覆盖自定义冒险的队伍大小</color>
odUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=white>覆盖<color=orange>游荡者</color>诡徒子职的<color=orange>精通操纵</color>能力的法术DC</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=white>覆盖<color=orange>法师</color>控心大师子职的<color=orange>奥术之力</color>能力的法术DC</color>
ModUi/&Patches	<color=yellow>补丁：</color>
ModUi/&Progression	<color=yellow>进展：</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	快速施放光亮术戏法时优先使用头部或躯干上佩戴的物品
ModUi/&Races	<color=yellow>种族</color>
ModUi/&RacesClassesSubclasses	种族，职业与子职
ModUi/&RecipeCost	<color=white>配方消耗</color>
ModUi/&RecipesInDm	DM配方
ModUi/&RemoveAttunementRequirements	移除同调的先决条件<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&RemoveBugVisualModels	将虫类模型以类似模型替代<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	移除检定的先决条件<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&RestockAntiquarians	古文物研究者 补货<i><color=yellow>[哈尔曼·萨默]</color></i>
ModUi/&RestockArcaneum	奥术协会 补货<i><color=yellow>[赫德伦·苏尔斯佩尔]</color></i>
ModUi/&RestockCircleOfDanantar	丹南塔尔之环 补货<i><color=yellow>[乔瑞尔·佛克斯爱]</color></i>
ModUi/&RestockHelp	. 覆盖默认，强制所有商人的库存在一段时间内重新补货（不包括手册和书卷）\n. 注意，一些商品可能需要长达7个游戏日的时间来补货
ModUi/&RestockTowerOfKnowledge	知识之塔 补货<i><color=yellow>[麦迪·格林艾尔]</color></i>
ModUi/&Rules	规则
ModUi/&ScaleMerchantPricesCorrectly	正确排列商人的价格
ModUi/&SelectAll	选择全部
ModUi/&SelectSuggested	选择推荐
ModUi/&Services	服务
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=white>设置使用<color=orange>矮人腰带</color>时长出胡子的概率</color> 
ModUi/&ShowCraftingRecipeInDetailedTooltips	在详细工具提示中显示制作配方
ModUi/&ShowDescriptions	显示说明
ModUi/&SpellInstructions	. 你能将每个法术单独分配到任何法术列表中，或者简单地选择建议的配置
ModUi/&SpellLevelFilter	<b><i><color=white>以法术等级筛选</color> <color=yellow>[设为-1以显示所有法术]</color></i></b>
ModUi/&Spells	<color=yellow>法术：</color>
ModUi/&SpellsMenu	法术
ModUi/&SRD	<color=yellow>SRD：</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	在格里姆的商店里销售所有非魔法服装<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	在雨果的商店里销售<color=orange>鉴定魔杖</color>，<color=orange>奥术法杖</color>，<color=orange>德鲁伊项链</color>，<color=orange>法杖</color>和<color=orange>短棒</color>，并且设置为法器
ModUi/&Subclasses	<color=yellow>子职</color>
ModUi/&Tools	工具
ModUi/&TotalFeatsGrantedFistLevel	<color=white>在第1级时赋予额外专长数量</color>
ModUi/&UnleashEnemyAsNpc	允许在NPC工具上选择怪物<i><color=yellow>[在工具面板上点击时按<color=cyan>CTRL</color>以选择]</color></i>
ModUi/&UnleashNpcAsEnemy	允许在怪物工具上选择NPC<i><color=yellow>[在工具面板上点击时按<color=cyan>CTRL</color>以选择]</color></i>
ModUi/&UnlockAllNpcFaces	解锁全部NPC脸型
ModUi/&UnlockEyeStyles	解锁眼部样式
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	解锁所有标记和纹身的发光颜色
ModUi/&UnlockGlowingEyeColors	解锁眼睛发光颜色
ModUi/&UnlockMarkAndTatoosForAllCharacters	解锁全部角色的标记和纹身
ModUi/&UseOfficialAdvantageDisadvantageRules	应用官方的优势/劣势规则
ModUi/&Visuals	<color=yellow>视效：</color>
