ATTACKER SENSE,ATTACKER LIGHT,DEFENDER SENSE,DEFENDER LIGHT,ATTACK MODIFIER
DARKVISION,BRIGHT,SUPERIOR DARKVISION,BRIGHT,NONE
DARKVISION,BRIGHT,SUPERIOR DARKVISION,DIM,NONE
DARKVISION,BRIGHT,SUPERIOR DARKVISION,UNLIT,NONE
DARKVISION,BRIGHT,SUPERIOR DARKVISION,DARKNESS,NONE
DARKVISION,BRIGHT,TRUE SIGHT,BRIGHT,NONE
DARKVISION,BRIGHT,TRUE SIGHT,DIM,NONE
DARKVISION,BRIGHT,TRUE SIGHT,UNLIT,NONE
DARKVISION,BRIGHT,TRUE SIGHT,DARKNESS,NONE
DARKVISION,BRIGHT,BLIND SIGHT,BRIGHT,NONE
DARKVISION,BRIGHT,BLIND SIGHT,DIM,NONE
DARKVISION,BRIGHT,BLIND SIGHT,UNLIT,DISADVANTAGE
DARKVISION,BRIGHT,BLIND SIGHT,DARKNESS,NONE
DARKVISION,BRIGHT,TREMOR SENSE,BRIGHT,NONE
DARKVISION,BRIGHT,TREMOR SENSE,DIM,NONE
DARKVISION,BRIGHT,TREMOR SENSE,UNLIT,DISADVANTAGE
DARKVISION,BRIGHT,TREMOR SENSE,DARKNESS,NONE
DARKVISION,BRIGHT,DETECT INVISIBILITY,BRIGHT,NONE
DARKVISION,BRIGHT,DETECT INVISIBILITY,DIM,NONE
DARKVISION,BRIGHT,DETECT INVISIBILITY,UNLIT,NONE
DARKVISION,BRIGHT,DETECT INVISIBILITY,DARKNESS,NONE
DARKVISION,DIM,NORMAL,BRIGHT,NONE
DARKVISION,DIM,NORMAL,DIM,NONE
DARKVISION,DIM,NORMAL,UNLIT,NONE
DARKVISION,DIM,NORMAL,DARKNESS,NONE
DARKVISION,DIM,DARKVISION,BRIGHT,NONE
DARKVISION,DIM,DARKVISION,DIM,NONE
DARKVISION,DIM,DARKVISION,UNLIT,NONE
DARKVISION,DIM,DARKVISION,DARKNESS,NONE
DARKVISION,DIM,SUPERIOR DARKVISION,BRIGHT,NONE
DARKVISION,DIM,SUPERIOR DARKVISION,DIM,NONE
DARKVISION,DIM,SUPERIOR DARKVISION,UNLIT,NONE
DARKVISION,DIM,SUPERIOR DARKVISION,DARKNESS,NONE
DARKVISION,DIM,TRUE SIGHT,BRIGHT,NONE
DARKVISION,DIM,TRUE SIGHT,DIM,NONE
DARKVISION,DIM,TRUE SIGHT,UNLIT,NONE
DARKVISION,DIM,TRUE SIGHT,DARKNESS,NONE
DARKVISION,DIM,BLIND SIGHT,BRIGHT,NONE
DARKVISION,DIM,BLIND SIGHT,DIM,NONE
DARKVISION,DIM,BLIND SIGHT,UNLIT,DISADVANTAGE
DARKVISION,DIM,BLIND SIGHT,DARKNESS,NONE
DARKVISION,DIM,TREMOR SENSE,BRIGHT,NONE
DARKVISION,DIM,TREMOR SENSE,DIM,NONE
DARKVISION,DIM,TREMOR SENSE,UNLIT,DISADVANTAGE
DARKVISION,DIM,TREMOR SENSE,DARKNESS,NONE
DARKVISION,DIM,DETECT INVISIBILITY,BRIGHT,NONE
DARKVISION,DIM,DETECT INVISIBILITY,DIM,NONE
DARKVISION,DIM,DETECT INVISIBILITY,UNLIT,NONE
DARKVISION,DIM,DETECT INVISIBILITY,DARKNESS,NONE
DARKVISION,UNLIT,NORMAL,BRIGHT,NONE
DARKVISION,UNLIT,NORMAL,DIM,NONE
DARKVISION,UNLIT,NORMAL,UNLIT,NONE
DARKVISION,UNLIT,NORMAL,DARKNESS,NONE
DARKVISION,UNLIT,DARKVISION,BRIGHT,NONE
DARKVISION,UNLIT,DARKVISION,DIM,NONE
DARKVISION,UNLIT,DARKVISION,UNLIT,NONE
DARKVISION,UNLIT,DARKVISION,DARKNESS,NONE
DARKVISION,UNLIT,SUPERIOR DARKVISION,BRIGHT,NONE
DARKVISION,UNLIT,SUPERIOR DARKVISION,DIM,NONE
DARKVISION,UNLIT,SUPERIOR DARKVISION,UNLIT,NONE
DARKVISION,UNLIT,SUPERIOR DARKVISION,DARKNESS,NONE
DARKVISION,UNLIT,TRUE SIGHT,BRIGHT,NONE
DARKVISION,UNLIT,TRUE SIGHT,DIM,NONE
DARKVISION,UNLIT,TRUE SIGHT,UNLIT,NONE
DARKVISION,UNLIT,TRUE SIGHT,DARKNESS,NONE
DARKVISION,UNLIT,BLIND SIGHT,BRIGHT,DISADVANTAGE
DARKVISION,UNLIT,BLIND SIGHT,DIM,DISADVANTAGE
DARKVISION,UNLIT,BLIND SIGHT,UNLIT,DISADVANTAGE
DARKVISION,UNLIT,BLIND SIGHT,DARKNESS,DISADVANTAGE
DARKVISION,UNLIT,TREMOR SENSE,BRIGHT,DISADVANTAGE
DARKVISION,UNLIT,TREMOR SENSE,DIM,DISADVANTAGE
DARKVISION,UNLIT,TREMOR SENSE,UNLIT,DISADVANTAGE
DARKVISION,UNLIT,TREMOR SENSE,DARKNESS,DISADVANTAGE
DARKVISION,UNLIT,DETECT INVISIBILITY,BRIGHT,NONE
DARKVISION,UNLIT,DETECT INVISIBILITY,DIM,NONE
DARKVISION,UNLIT,DETECT INVISIBILITY,UNLIT,NONE
DARKVISION,UNLIT,DETECT INVISIBILITY,DARKNESS,NONE
DARKVISION,DARKNESS,NORMAL,BRIGHT,ADVANTAGE
DARKVISION,DARKNESS,NORMAL,DIM,ADVANTAGE
DARKVISION,DARKNESS,NORMAL,UNLIT,NONE
DARKVISION,DARKNESS,NORMAL,DARKNESS,ADVANTAGE
DARKVISION,DARKNESS,DARKVISION,BRIGHT,NONE
DARKVISION,DARKNESS,DARKVISION,DIM,NONE
DARKVISION,DARKNESS,DARKVISION,UNLIT,NONE
DARKVISION,DARKNESS,DARKVISION,DARKNESS,NONE
DARKVISION,DARKNESS,SUPERIOR DARKVISION,BRIGHT,NONE
DARKVISION,DARKNESS,SUPERIOR DARKVISION,DIM,NONE
DARKVISION,DARKNESS,SUPERIOR DARKVISION,UNLIT,NONE
DARKVISION,DARKNESS,SUPERIOR DARKVISION,DARKNESS,NONE
DARKVISION,DARKNESS,TRUE SIGHT,BRIGHT,NONE
DARKVISION,DARKNESS,TRUE SIGHT,DIM,NONE
DARKVISION,DARKNESS,TRUE SIGHT,UNLIT,NONE
DARKVISION,DARKNESS,TRUE SIGHT,DARKNESS,NONE
DARKVISION,DARKNESS,BLIND SIGHT,BRIGHT,NONE
DARKVISION,DARKNESS,BLIND SIGHT,DIM,NONE
DARKVISION,DARKNESS,BLIND SIGHT,UNLIT,DISADVANTAGE
DARKVISION,DARKNESS,BLIND SIGHT,DARKNESS,NONE
DARKVISION,DARKNESS,TREMOR SENSE,BRIGHT,NONE
DARKVISION,DARKNESS,TREMOR SENSE,DIM,NONE
DARKVISION,DARKNESS,TREMOR SENSE,UNLIT,DISADVANTAGE
DARKVISION,DARKNESS,TREMOR SENSE,DARKNESS,NONE
DARKVISION,DARKNESS,DETECT INVISIBILITY,BRIGHT,ADVANTAGE
DARKVISION,DARKNESS,DETECT INVISIBILITY,DIM,ADVANTAGE
DARKVISION,DARKNESS,DETECT INVISIBILITY,UNLIT,NONE
DARKVISION,DARKNESS,DETECT INVISIBILITY,DARKNESS,ADVANTAGE
SUPERIOR DARKVISION,BRIGHT,NORMAL,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,NORMAL,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,NORMAL,UNLIT,NONE
SUPERIOR DARKVISION,BRIGHT,NORMAL,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,DARKVISION,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,BRIGHT,DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,SUPERIOR DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,SUPERIOR DARKVISION,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,SUPERIOR DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,BRIGHT,SUPERIOR DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,TRUE SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,TRUE SIGHT,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,TRUE SIGHT,UNLIT,NONE
SUPERIOR DARKVISION,BRIGHT,TRUE SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,BLIND SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,BLIND SIGHT,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,BLIND SIGHT,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,BRIGHT,BLIND SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,TREMOR SENSE,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,TREMOR SENSE,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,TREMOR SENSE,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,BRIGHT,TREMOR SENSE,DARKNESS,NONE
SUPERIOR DARKVISION,BRIGHT,DETECT INVISIBILITY,BRIGHT,NONE
SUPERIOR DARKVISION,BRIGHT,DETECT INVISIBILITY,DIM,NONE
SUPERIOR DARKVISION,BRIGHT,DETECT INVISIBILITY,UNLIT,NONE
SUPERIOR DARKVISION,BRIGHT,DETECT INVISIBILITY,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,NORMAL,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,NORMAL,DIM,NONE
SUPERIOR DARKVISION,DIM,NORMAL,UNLIT,NONE
SUPERIOR DARKVISION,DIM,NORMAL,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,DARKVISION,DIM,NONE
SUPERIOR DARKVISION,DIM,DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,DIM,DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,SUPERIOR DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,SUPERIOR DARKVISION,DIM,NONE
SUPERIOR DARKVISION,DIM,SUPERIOR DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,DIM,SUPERIOR DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,TRUE SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,TRUE SIGHT,DIM,NONE
SUPERIOR DARKVISION,DIM,TRUE SIGHT,UNLIT,NONE
SUPERIOR DARKVISION,DIM,TRUE SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,BLIND SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,BLIND SIGHT,DIM,NONE
SUPERIOR DARKVISION,DIM,BLIND SIGHT,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,DIM,BLIND SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,TREMOR SENSE,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,TREMOR SENSE,DIM,NONE
SUPERIOR DARKVISION,DIM,TREMOR SENSE,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,DIM,TREMOR SENSE,DARKNESS,NONE
SUPERIOR DARKVISION,DIM,DETECT INVISIBILITY,BRIGHT,NONE
SUPERIOR DARKVISION,DIM,DETECT INVISIBILITY,DIM,NONE
SUPERIOR DARKVISION,DIM,DETECT INVISIBILITY,UNLIT,NONE
SUPERIOR DARKVISION,DIM,DETECT INVISIBILITY,DARKNESS,NONE
SUPERIOR DARKVISION,UNLIT,NORMAL,BRIGHT,NONE
SUPERIOR DARKVISION,UNLIT,NORMAL,DIM,NONE
SUPERIOR DARKVISION,UNLIT,NORMAL,UNLIT,NONE
SUPERIOR DARKVISION,UNLIT,NORMAL,DARKNESS,NONE
SUPERIOR DARKVISION,UNLIT,DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,UNLIT,DARKVISION,DIM,NONE
SUPERIOR DARKVISION,UNLIT,DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,UNLIT,DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,UNLIT,SUPERIOR DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,UNLIT,SUPERIOR DARKVISION,DIM,NONE
SUPERIOR DARKVISION,UNLIT,SUPERIOR DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,UNLIT,SUPERIOR DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,UNLIT,TRUE SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,UNLIT,TRUE SIGHT,DIM,NONE
SUPERIOR DARKVISION,UNLIT,TRUE SIGHT,UNLIT,NONE
SUPERIOR DARKVISION,UNLIT,TRUE SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,UNLIT,BLIND SIGHT,BRIGHT,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,BLIND SIGHT,DIM,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,BLIND SIGHT,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,BLIND SIGHT,DARKNESS,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,TREMOR SENSE,BRIGHT,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,TREMOR SENSE,DIM,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,TREMOR SENSE,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,TREMOR SENSE,DARKNESS,DISADVANTAGE
SUPERIOR DARKVISION,UNLIT,DETECT INVISIBILITY,BRIGHT,NONE
SUPERIOR DARKVISION,UNLIT,DETECT INVISIBILITY,DIM,NONE
SUPERIOR DARKVISION,UNLIT,DETECT INVISIBILITY,UNLIT,NONE
SUPERIOR DARKVISION,UNLIT,DETECT INVISIBILITY,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,NORMAL,BRIGHT,ADVANTAGE
SUPERIOR DARKVISION,DARKNESS,NORMAL,DIM,ADVANTAGE
SUPERIOR DARKVISION,DARKNESS,NORMAL,UNLIT,NONE
SUPERIOR DARKVISION,DARKNESS,NORMAL,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,DARKNESS,DARKVISION,DIM,NONE
SUPERIOR DARKVISION,DARKNESS,DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,DARKNESS,DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,SUPERIOR DARKVISION,BRIGHT,NONE
SUPERIOR DARKVISION,DARKNESS,SUPERIOR DARKVISION,DIM,NONE
SUPERIOR DARKVISION,DARKNESS,SUPERIOR DARKVISION,UNLIT,NONE
SUPERIOR DARKVISION,DARKNESS,SUPERIOR DARKVISION,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,TRUE SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,DARKNESS,TRUE SIGHT,DIM,NONE
SUPERIOR DARKVISION,DARKNESS,TRUE SIGHT,UNLIT,NONE
SUPERIOR DARKVISION,DARKNESS,TRUE SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,BLIND SIGHT,BRIGHT,NONE
SUPERIOR DARKVISION,DARKNESS,BLIND SIGHT,DIM,NONE
SUPERIOR DARKVISION,DARKNESS,BLIND SIGHT,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,DARKNESS,BLIND SIGHT,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,TREMOR SENSE,BRIGHT,NONE
SUPERIOR DARKVISION,DARKNESS,TREMOR SENSE,DIM,NONE
SUPERIOR DARKVISION,DARKNESS,TREMOR SENSE,UNLIT,DISADVANTAGE
SUPERIOR DARKVISION,DARKNESS,TREMOR SENSE,DARKNESS,NONE
SUPERIOR DARKVISION,DARKNESS,DETECT INVISIBILITY,BRIGHT,ADVANTAGE
SUPERIOR DARKVISION,DARKNESS,DETECT INVISIBILITY,DIM,ADVANTAGE
SUPERIOR DARKVISION,DARKNESS,DETECT INVISIBILITY,UNLIT,NONE
SUPERIOR DARKVISION,DARKNESS,DETECT INVISIBILITY,DARKNESS,ADVANTAGE
TRUE SIGHT,BRIGHT,NORMAL,BRIGHT,NONE
TRUE SIGHT,BRIGHT,NORMAL,DIM,NONE
TRUE SIGHT,BRIGHT,NORMAL,UNLIT,NONE
TRUE SIGHT,BRIGHT,NORMAL,DARKNESS,NONE
TRUE SIGHT,BRIGHT,DARKVISION,BRIGHT,NONE
TRUE SIGHT,BRIGHT,DARKVISION,DIM,NONE
TRUE SIGHT,BRIGHT,DARKVISION,UNLIT,NONE
TRUE SIGHT,BRIGHT,DARKVISION,DARKNESS,NONE
TRUE SIGHT,BRIGHT,SUPERIOR DARKVISION,BRIGHT,NONE
TRUE SIGHT,BRIGHT,SUPERIOR DARKVISION,DIM,NONE
TRUE SIGHT,BRIGHT,SUPERIOR DARKVISION,UNLIT,NONE
TRUE SIGHT,BRIGHT,SUPERIOR DARKVISION,DARKNESS,NONE
TRUE SIGHT,BRIGHT,TRUE SIGHT,BRIGHT,NONE
TRUE SIGHT,BRIGHT,TRUE SIGHT,DIM,NONE
TRUE SIGHT,BRIGHT,TRUE SIGHT,UNLIT,NONE
TRUE SIGHT,BRIGHT,TRUE SIGHT,DARKNESS,NONE
TRUE SIGHT,BRIGHT,BLIND SIGHT,BRIGHT,NONE
TRUE SIGHT,BRIGHT,BLIND SIGHT,DIM,NONE
TRUE SIGHT,BRIGHT,BLIND SIGHT,UNLIT,DISADVANTAGE
TRUE SIGHT,BRIGHT,BLIND SIGHT,DARKNESS,NONE
TRUE SIGHT,BRIGHT,TREMOR SENSE,BRIGHT,NONE
TRUE SIGHT,BRIGHT,TREMOR SENSE,DIM,NONE
TRUE SIGHT,BRIGHT,TREMOR SENSE,UNLIT,DISADVANTAGE
TRUE SIGHT,BRIGHT,TREMOR SENSE,DARKNESS,NONE
TRUE SIGHT,BRIGHT,DETECT INVISIBILITY,BRIGHT,NONE
TRUE SIGHT,BRIGHT,DETECT INVISIBILITY,DIM,NONE
TRUE SIGHT,BRIGHT,DETECT INVISIBILITY,UNLIT,NONE
TRUE SIGHT,BRIGHT,DETECT INVISIBILITY,DARKNESS,NONE
TRUE SIGHT,DIM,NORMAL,BRIGHT,NONE
TRUE SIGHT,DIM,NORMAL,DIM,NONE
TRUE SIGHT,DIM,NORMAL,UNLIT,NONE
TRUE SIGHT,DIM,NORMAL,DARKNESS,NONE
TRUE SIGHT,DIM,DARKVISION,BRIGHT,NONE
TRUE SIGHT,DIM,DARKVISION,DIM,NONE
TRUE SIGHT,DIM,DARKVISION,UNLIT,NONE
TRUE SIGHT,DIM,DARKVISION,DARKNESS,NONE
TRUE SIGHT,DIM,SUPERIOR DARKVISION,BRIGHT,NONE
TRUE SIGHT,DIM,SUPERIOR DARKVISION,DIM,NONE
TRUE SIGHT,DIM,SUPERIOR DARKVISION,UNLIT,NONE
TRUE SIGHT,DIM,SUPERIOR DARKVISION,DARKNESS,NONE
TRUE SIGHT,DIM,TRUE SIGHT,BRIGHT,NONE
TRUE SIGHT,DIM,TRUE SIGHT,DIM,NONE
TRUE SIGHT,DIM,TRUE SIGHT,UNLIT,NONE
TRUE SIGHT,DIM,TRUE SIGHT,DARKNESS,NONE
TRUE SIGHT,DIM,BLIND SIGHT,BRIGHT,NONE
TRUE SIGHT,DIM,BLIND SIGHT,DIM,NONE
