ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
Condition/&ClassMonkTanquilityConditionTitle	Спокойствие
Condition/&ConditionBarkWardDescription	Под защитой духов леса
Condition/&ConditionBarkWardTitle	Барк Уорд
Condition/&ConditionDualFlurryApplyDescription	Вы набираете обороты...
Condition/&ConditionDualFlurryApplyTitle	Двойной шквал!
Condition/&ConditionDualFlurryGrantDescription	Твои враги шатаются!
Condition/&ConditionDualFlurryGrantTitle	Двойной шквал!
Condition/&ConditionImprovedBarkWardDescription	Духи леса наносят 2d8 колющего урона атакующим в ближнем бою.
Condition/&ConditionImprovedBarkWardTitle	Улучшенная защита от коры
Condition/&ConditionMarkedByArcanistDescription	Пораженный Меткой чародея
Condition/&ConditionMarkedByArcanistTitle	Знак чародея
Condition/&ConditionMuleDescription	Ваша скорость не снижается из-за нагрузки или тяжелой брони. Вы можете нести 20 дополнительных фунтов
Condition/&ConditionMuleTitle	Мул
Condition/&ConditionSuperiorBarkWardDescription	Духи леса дают вам невосприимчивость к яду и наносят 3d8 колющего урона атакующим в ближнем бою.
Condition/&ConditionSuperiorBarkWardTitle	Улучшенный Барк Уорд
Condition/&DebilitatedConditionDescription	Ослабленное состояние
Condition/&DebilitatedConditionTitle	Ослабленный
Condition/&DHFeeblemindSpellDescription	Показатели Интеллекта и Харизмы существа становятся равными 1. Существо не может читать заклинания, активировать магические предметы, понимать язык или общаться каким-либо внятным способом.
Condition/&DHFeeblemindSpellTitle	Слабоумие
Condition/&DHForesightSpellDescription	преимущество в бросках атаки, проверках характеристик и спасбросках. Кроме того, другие существа совершают броски атаки с помехой.
Condition/&DHForesightSpellTitle	предвидение
Condition/&DHHolyAuraSpellDescription	вы накладываете это заклинание, излучающее тусклый свет в радиусе 5 футов, и совершаете с преимуществом все спасброски, а другие существа совершают с помехой броски атаки против них, пока заклинание не закончится. Кроме того, когда демон или нежить поражает пораженное существо рукопашной атакой, аура вспыхивает ярким светом. Атакующий должен преуспеть в спасброске Телосложения, иначе он будет ослеплен до окончания действия заклинания.
Condition/&DHHolyAuraSpellTitle	Под защитой святой ауры
Condition/&DHMindBlankSpellDescription	Иммунитет к психическим повреждениям и состоянию очарования
Condition/&DHMindBlankSpellTitle	Пустой разум
Condition/&DHReverseGravitySpellDescription	не могу двигаться
Condition/&DHReverseGravitySpellTitle	Пойманный обратной гравитацией
Condition/&DHTimeStopSpellDescription	Застыло на остановке времени
Condition/&DHTimeStopSpellTitle	Застыло на остановке времени
Condition/&DHWeirdSpellDescription	Иллюзия взывает к самым глубоким страхам существа, проявляя его худшие кошмары как непримиримую угрозу. В конце каждого хода испуганное существо должно преуспеть в спасброске Мудрости, иначе оно получит психический урон 4d10. При успешном спасброске заклинание для этого существа оканчивается.
Condition/&DHWeirdSpellTitle	странный
Condition/&DisorientDescription	Точность этого существа снижена
Condition/&DisorientTitle	Дезориентированный
Condition/&EvilEyeDescription	Состояние сглаза
Condition/&EvilEyeTitle	Сглаз
Condition/&EWResonatingStrikeDamageDescription	Начиная с 5-го уровня атака, вызванная этим колдовством, наносит дополнительный урон громом 1d8. Урон увеличивается на 1к8 на 11 и 17 уровнях.
Condition/&EWResonatingStrikeDamageTitle	Резонанс
Condition/&EWSunlightBladeDamageDescription	Начиная с 5-го уровня атака, вызванная этим колдовством, наносит дополнительный урон излучением 1d8. Урон увеличивается на 1к8 на 11 и 17 уровнях.
Condition/&EWSunlightBladeDamageTitle	Ожог солнечного клинка
Condition/&FrenziedDescription	Это существо обезумело и будет атаковать ближайшее существо.
Condition/&FrenziedTitle	Бешеный
Condition/&HalfLifeConditionDescription	Вы принимаете некротическую энергию в себя и висите между жизнью и смертью и временно одержимы своим собственным призраком, обретая полет и такие же иммунитеты к состояниям и сопротивление повреждениям, как и другие призраки.
Condition/&HalfLifeConditionTitle	Период полураспада
Condition/&HelpActionDescription	Это существо было отвлечено
Condition/&HelpActionTitle	Несосредоточенный
Condition/&MoonTouchedConditionDescription	Ваша гравитация отрицается
Condition/&MoonTouchedConditionTitle	Луна коснулась
Condition/&PoxDescription	Состояние оспы
Condition/&PoxTitle	Оспа
Condition/&RuinDescription	Состояние руины
Condition/&RuinedDescription	Защита этого существа снижена
Condition/&RuinedTitle	Разрушенный
Condition/&RuinTitle	Разорение
Condition/&SwallowedByToadConditionDescription	Получает 3D6 кислотного урона за раунд. Оканчивается, если чернокнижник-жаба получает 15 или более единиц урона за одну атаку.
Condition/&SwallowedByToadConditionTitle	Проглотил жаба
Condition/&SwallowingToadConditionDescription	Оканчивается, если чернокнижник-жаба получает 15 или более единиц урона за одну атаку.
Condition/&SwallowingToadConditionTitle	Глотающая жаба
ContentPack/&CommunityExpansionPackDescription	Пакет Community Expansion добавляет новые классы, подклассы, умения и заклинания. Есть более высокий предел уровня, мультикласс, функции QOL, исправления ошибок и многое другое. Это настоящий Рог Изобилия (ТМ)...
ContentPack/&CommunityExpansionPackTitle	Пакет расширения сообщества
CraftyFeats/&ApothecaryIntFeatDescription	+1 к Интеллекту, Мастерству или Экспертизе с Набором Травничества и Магией
CraftyFeats/&ApothecaryIntFeatTitle	Аптекарь (Интеллект)
CraftyFeats/&ApothecaryWisFeatDescription	+1 к мудрости, мастерству или опыту с набором для травничества и лекарством
CraftyFeats/&ApothecaryWisFeatTitle	Аптекарь (Мудрость)
CraftyFeats/&AttributeDexDescription	+1 к ловкости
CraftyFeats/&AttributeDexTitle	Ловкость
CraftyFeats/&AttributeIntDescription	+1 Интеллект
CraftyFeats/&AttributeIntTitle	Интеллект
CraftyFeats/&AttributeWisDescription	+1 Мудрость
CraftyFeats/&AttributeWisTitle	Мудрость
CraftyFeats/&CraftyArcanaDescription	Мастерство или опыт Арканы
CraftyFeats/&CraftyBowsDescription	Владение всеми луками и арбалетами
CraftyFeats/&CraftyBowsTitle	Владение луком
CraftyFeats/&CraftyFletcherFeatDescription	+1 Ловкость, Мастерство или Мастерство обращения с кузнечными инструментами, Мастерство обращения с луками и арбалетами
CraftyFeats/&CraftyFletcherFeatTitle	Флетчер
CraftyFeats/&CraftyMedicineDescription	Медицинское образование или опыт
CraftyFeats/&CraftyNatureDescription	Знание природы или опыт
CraftyFeats/&CraftyScribeFeatDescription	+1 к Интеллекту, Мастерству или Экспертизе с Набором Свитков и Тайной магией, Требуется умение читать заклинания
CraftyFeats/&CraftyScribeFeatTitle	Писец
CraftyFeats/&CraftySkillsTitle	Навыки
CraftyFeats/&CraftyToolsTitle	Инструменты
CraftyFeats/&ManacalonCrafterFeatDescription	+1 к Интеллекту, Мастерству или Экспертизе с Розарием Манакалона и Тайной магией, Требуется способность читать заклинания
CraftyFeats/&ManacalonCrafterFeatTitle	Создатель манакалона
CraftyFeats/&ToxicologistIntFeatDescription	+1 к интеллекту, мастерству или мастерству с набором отравителя и природой
CraftyFeats/&ToxicologistIntFeatTitle	Токсиколог (Разведка)
CraftyFeats/&ToxicologistWisFeatDescription	+1 к мудрости, мастерству или мастерству с набором отравителя и лекарством
CraftyFeats/&ToxicologistWisFeatTitle	Токсиколог (Мудрость)
DamageAffinity/&DHHolyAuraSpellDescription	Когда демон или нежить атакуют пораженное существо рукопашной атакой, аура вспыхивает ярким светом. Атакующий должен преуспеть в спасброске Телосложения, иначе он будет ослеплен до окончания действия заклинания.
DamageAffinity/&DHHolyAuraSpellTitle	Возмездие святой ауры
Equipment/&ArcaneStaffDescription	Этот посох исписан магическими письменами, и его можно использовать в качестве фокуса для произнесения тайных заклинаний.
Equipment/&ArcaneStaffTitle	Чародейский посох
Equipment/&DruidicAmuletDescription	Этот тотемный амулет можно использовать в качестве фокуса для произнесения заклинаний друидов.
Equipment/&DruidicAmuletTitle	Друидский амулет
Equipment/&Enchanted_Club_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Club_Acuteness_Title	Клуб остроты
Equipment/&Enchanted_Club_Bearclaw_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Острые шипы медвежьих когтей разрывают броню, нанося дополнительный урон — как и ожидал Ильдуриал Стронгхэнд, создавший первое оружие такого рода.
Equipment/&Enchanted_Club_Bearclaw_Title	Клуб Медвежьего Когтя
Equipment/&Enchanted_Club_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Club_Lightbringer_Title	Клуб Светоносных
Equipment/&Enchanted_Club_Power_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Некоторые существа уважают только физическую силу. Маги манакалона создали этот клуб, чтобы дать чемпионам Железных легионов силу, которую их эльфийские тела не давали.
Equipment/&Enchanted_Club_Power_Title	Клуб силы
Equipment/&Enchanted_Club_Punisher_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Сочетание лучшего металла и рабского камня придало этому топору невероятную пробивную силу.
Equipment/&Enchanted_Club_Punisher_Title	Каратель Клуб
Equipment/&Enchanted_Dart_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Dart_Acuteness_Title	Дротик остроты
Equipment/&Enchanted_Dart_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Dart_Frostburn_Title	Ледяной дротик
Equipment/&Enchanted_Dart_Sharpness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Dart_Sharpness_Title	Дротик остроты
Equipment/&Enchanted_Dart_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Дротик Пожирателя душ
Equipment/&Enchanted_Handaxe_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Ручной топор остроты
Equipment/&Enchanted_Handaxe_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Обмороженный ручной топор
Equipment/&Enchanted_Handaxe_Sharpness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Ручной топор остроты
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Ручной топор пожирателя душ
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Его первоначальный дизайн носил печать Дефинет Острый Взгляд, известного заклинателя лесных эльфов.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Тяжелый арбалет меткости
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Тяжелый арбалет Светоносного
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Волшебный сплав коралла-медузы и твердой древесины для создания смертоносного лука, любимого абордажными отрядами островных халфлингов.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Тяжелый арбалет «Медуза»
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Коэдимварт предпочитал иметь дело с чародеями Манакалона физически, а не магически. Его лучшие лучники получили арбалеты, творение Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Тяжелый арбалет меткой стрельбы
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Он был разработан Галаром Стромфорджем, первым дварфским кузнецом, который использовал силу бури в оружии — с разрушительным эффектом!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Тяжелый штормовой арбалет
Equipment/&Enchanted_HideArmor_Deflection_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_Deflection_Title	Скрыть доспех отражения
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Hide Armor of Flame Dancing
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_Robustness_Title	Скрыть броню прочности
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Скрыть броню прочности
Equipment/&Enchanted_HideArmor_Survival_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_HideArmor_Survival_Title	Скрыть броню выживания
Equipment/&Enchanted_Javelin_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Javelin_Acuteness_Title	Копье остроты
Equipment/&Enchanted_Javelin_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Javelin_Frostburn_Title	Ледяное копье
Equipment/&Enchanted_Javelin_Sharpness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Javelin_Sharpness_Title	Копье остроты
Equipment/&Enchanted_Javelin_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Копье Испивающего Души
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Его первоначальный дизайн носил печать Дефинет Острый Взгляд, известного заклинателя лесных эльфов.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Легкий арбалет меткости
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Светоносный легкий арбалет
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Волшебный сплав коралла-медузы и твердой древесины для создания смертоносного лука, любимого абордажными отрядами островных халфлингов.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Легкий арбалет «Медуза»
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Коэдимварт предпочитал иметь дело с чародеями Манакалона физически, а не магически. Его лучшие лучники получили арбалеты, творение Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Легкий стрелковый арбалет
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-лучников Колтаннина. Он был разработан Галаром Стромфорджем, первым дварфским кузнецом, который использовал силу бури в оружии — с разрушительным эффектом!
