ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Class/&WitchFeatureSetBurnedCurseDescription	Fast dein ganzer Körper wurde von arkanen Flammen versengt und hinterlässt auffällige schwarze Narben und magische Glut, die unter der Haut brennen. Infolgedessen haben Sie Widerstand gegen Feuerschaden und kennen die Cantrip-Produce-Flamme, die nicht zu Ihrer Gesamtzahl bekannter Cantrips zählt
Class/&WitchFeatureSetBurnedCurseTitle	Verbrannt
Class/&WitchFeatureSetLovelessCurseDescription	Du bist verflucht, niemals die wahre Liebe zu finden. Erschöpft und desillusioniert, nicht einmal Magie kann dein Herz wenden; Infolgedessen sind Sie immun gegen Bezauberung
Class/&WitchFeatureSetLovelessCurseTitle	Lieblos
Class/&WitchFeatureSetMaledictionsDescription	Sie können eine Reihe von mächtigen Beschwörungen erlernen, die als Maledictions bekannt sind und von derselben heimtückischen Magie stammen, die Sie verflucht hat
Class/&WitchFeatureSetMaledictionsTitle	Verwünschungen
Class/&WitchFeatureSetRitualCastingDescription	Du kannst jeden Hexenzauber, den du kennst, als Ritual wirken, wenn dieser Zauber das Ritual-Tag hat
Class/&WitchFeatureSetRitualCastingTitle	Hexenritual-Casting
Class/&WitchFeatureSetVisionsCurseDescription	Du bist dazu verdammt, schreckliche Zukunftsvisionen zu haben, die den Tod deiner Freunde, deiner Familie und dir selbst voraussagen. Obwohl viele dieser Visionen grausame Täuschungen sind, sind sie manchmal grimmig genau. Du kannst deinen Charisma-Modifikator zusätzlich zu deinem Geschicklichkeits-Modifikator zu deinen Initiativewürfen hinzufügen
Class/&WitchFeatureSetVisionsCurseTitle	Visionen
Class/&WitchFeatureSetWitchCurseDescription	Sie werden von einem schrecklichen Fluch heimgesucht, der Ihren Körper und Ihre Seele infiziert
Class/&WitchFeatureSetWitchCurseTitle	Hexenfluch
Class/&WitchLovelessCharmImmunityDescription	Immunität gegen lieblosen Zauber
Class/&WitchLovelessCharmImmunityTitle	Charme-Immunität
Class/&WitchMaledictionAbateDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf kann die Kreatur bis zum Ende deines nächsten Zuges keine Reaktionen annehmen
Class/&WitchMaledictionAbateTitle	Fluch abschwächen
Class/&WitchMaledictionApathyDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem misslungenen Rettungswurf wird die Kreatur bis zum Ende deines nächsten Zuges einer Kreatur deiner Wahl gegenüber, der sie feindlich gesinnt ist, gleichgültig. Diese Gleichgültigkeit endet, wenn das Ziel durch einen Zauber der Kreatur, der es gleichgültig ist, angegriffen oder verletzt wird
Class/&WitchMaledictionApathyTitle	Apathie Verwünschung
Class/&WitchMaledictionCharmDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Weisheitswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf wird die Kreatur bis zum Ende deines nächsten Zuges von dir verzaubert
Class/&WitchMaledictionCharmTitle	Zauberspruch
Class/&WitchMaledictionDisorientDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf muss dieses Ziel jedes Mal, wenn es vor dem Ende deines nächsten Zuges einen Angriffswurf macht, einen W6 würfeln und die gewürfelte Zahl vom Angriffswurf abziehen
Class/&WitchMaledictionDisorientTitle	Fluch der Desorientierung
Class/&WitchMaledictionEvilEyeDescription	Wähle als Aktion eine Kreatur, die du sehen kannst und die dich innerhalb von 18 m sehen kann, um einen Weisheitswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf hat die Kreatur bis zum Ende deines nächsten Zuges Angst vor dir
Class/&WitchMaledictionEvilEyeTitle	Verwünschung des bösen Blicks
Class/&WitchMaledictionObfuscateDescription	Als Aktion erzeugst du eine Nebelkugel mit einem Radius von 20 Fuß, die auf dich selbst zentriert ist. Die Kugel breitet sich um Ecken herum aus und ihr Bereich ist stark verdeckt. Dieser Effekt hält bis zum Ende deines nächsten Zuges an oder bis ein Wind mit mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) ihn zerstreut
Class/&WitchMaledictionObfuscateTitle	Fluch verschleiern
Class/&WitchMaledictionPoxDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 1,50 m sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf ist die Kreatur bis zum Ende deines nächsten Zuges vergiftet
Class/&WitchMaledictionPoxTitle	Pocken-Verwünschung
Class/&WitchMaledictionRuinDescription	Wähle als Aktion eine Kreatur, die du innerhalb von 60 Fuß sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf sinkt die Rüstungsklasse der Kreatur bis zum Ende deines nächsten Zuges um 3 auf ein Minimum von 10
Class/&WitchMaledictionRuinTitle	Ruin Fluch
Class/&WitchRitualCastingMagicAffinityDescription	Rituelle Casting-Affinität
Class/&WitchRitualCastingMagicAffinityTitle	Rituelles Gießen
Class/&WitchSavingthrowProficiencyDescription	Weisheit, Charisma
Class/&WitchSavingthrowProficiencyTitle	Hexenwurffähigkeiten
Class/&WitchSkillProficiencyDescription	Wählen Sie zwei aus Arcana, Täuschung, Einsicht, Einschüchterung, Überzeugung, Natur und Religion
Class/&WitchSkillProficiencyTitle	Hexenfähigkeiten
Class/&WitchSpellcastingDescription	Kann Zauber aus der Hexenzauberliste wirken
Class/&WitchSpellcastingTitle	Hexenzauber
Class/&WitchTitle	Hexe
Class/&WitchToolProficiencyDescription	Wähle eines aus dem Kräuterkundler-Kit und dem Poisoner-Kit
Class/&WitchToolProficiencyTitle	Hexenwerkzeugkenntnisse
Class/&WitchVisionsInitiativeDescription	Visions-Initiative
Class/&WitchVisionsInitiativeTitle	Visions-Initiative
Class/&WitchWeaponProficiencyDescription	Einfache Waffen
Class/&WitchWeaponProficiencyTitle	Hexenwaffenfähigkeiten
Condition/&AbateDescription	Bedingung abschwächen
Condition/&AbateTitle	Nachlassen
Condition/&AncientForestPhotosynthesisDescription	Sie können Energie aus Sonnenlicht absorbieren. Während Sie sich in direktem hellem Licht befinden, erhalten Sie 2 HP pro Runde
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumranken wachsen aus deinen Füßen und graben sich in den Boden. Deine Geschwindigkeit wird 0 und du erhältst einen Vorteil bei Rettungswürfen, um dich zu stoßen, zu ziehen oder dich zu Boden zu werfen. Du kannst Verschränken nach Belieben wirken
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&ApathyDescription	Apathischer Zustand
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Charm-Zustand
Condition/&CharmTitle	Charme
Condition/&ConditionBarkWardDescription	Beschützt von den Geistern des Waldes
Condition/&ConditionBarkWardTitle	Rinde Ward
Condition/&ConditionDualFlurryApplyDescription	Du baust Schwung auf...
Condition/&ConditionDualFlurryApplyTitle	Doppelte Flut!
Condition/&ConditionDualFlurryGrantDescription	Deine Feinde taumeln!
Condition/&ConditionDualFlurryGrantTitle	Doppelte Flut!
Condition/&ConditionImprovedBarkWardDescription	Die Geister des Waldes fügen Nahkampfangreifern 2W8 Stichschaden zu
Condition/&ConditionImprovedBarkWardTitle	Verbesserter Bark Ward
Condition/&ConditionMarkedByArcanistDescription	Vom Zeichen des Arkanisten betroffen
Condition/&ConditionMarkedByArcanistTitle	Zeichen des Arkanisten
Condition/&ConditionSuperiorBarkWardDescription	Die Geister des Waldes gewähren dir Giftimmunität und fügen Nahkampfangreifern 3W8 Stichschaden zu
Condition/&ConditionSuperiorBarkWardTitle	Superior Bark Ward
Condition/&DebilitatedConditionDescription	Geschwächter Zustand
Condition/&DebilitatedConditionTitle	Geschwächt
Condition/&DHFeeblemindSpellDescription	Die Intelligenz- und Charismawerte der Kreatur werden zu 1. Die Kreatur kann keine Zauber wirken, magische Gegenstände aktivieren, Sprache verstehen oder auf irgendeine verständliche Weise kommunizieren
Condition/&DHFeeblemindSpellTitle	Schwachsinn
Condition/&DHForesightSpellDescription	Vorteil bei Angriffswürfen, Attributswürfen und Rettungswürfen. Außerdem haben andere Kreaturen einen Nachteil bei Angriffswürfen
Condition/&DHForesightSpellTitle	Voraussicht
Condition/&DHHolyAuraSpellDescription	Du wirkst diesen Zauber, der in einem Radius von 1,50 m schwaches Licht ausstrahlt und bei allen Rettungswürfen im Vorteil ist, während andere Kreaturen bei Angriffswürfen gegen sie im Nachteil sind, bis der Zauber endet. Wenn ein Unterweltler oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura außerdem in strahlendem Licht auf. Dem Angreifer muss ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet
Condition/&DHHolyAuraSpellTitle	Geschützt durch Heilige Aura
Condition/&DHMindBlankSpellDescription	Immun gegen psychischen Schaden und den verzauberten Zustand
Condition/&DHMindBlankSpellTitle	Verstand leer
Condition/&DHReverseGravitySpellDescription	kann sich nicht bewegen
Condition/&DHReverseGravitySpellTitle	Eingefangen von der umgekehrten Schwerkraft
Condition/&DHTimeStopSpellDescription	Eingefroren durch Zeitstopp
Condition/&DHTimeStopSpellTitle	Eingefroren durch Zeitstopp
Condition/&DHWeirdSpellDescription	Die Illusion ruft die tiefsten Ängste der Kreatur hervor und manifestiert ihre schlimmsten Alpträume als unerbittliche Bedrohung. Am Ende jedes Zuges der verängstigten Kreatur muss ihr ein Weisheitsrettungswurf gelingen oder sie erleidet 4W10 psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber für diese Kreatur
Condition/&DHWeirdSpellTitle	Seltsam
Condition/&DisorientDescription	Die Genauigkeit dieser Kreatur ist verringert
Condition/&DisorientTitle	Desorientiert
Condition/&EvilEyeDescription	Zustand des bösen Blicks
Condition/&EvilEyeTitle	Böser Blick
Condition/&FrenziedDescription	Diese Kreatur ist rasend und greift die nächste Kreatur an
Condition/&FrenziedTitle	Wahnsinnig
Condition/&HalfLifeConditionDescription	Sie nehmen nekrotische Energie in sich auf und hängen zwischen Leben und Tod und sind vorübergehend von Ihrem eigenen Geist besessen, erlangen Flugfähigkeit und die gleichen Immunitäten und Schadensresistenzen wie andere Geister
Condition/&HalfLifeConditionTitle	Halbwertzeit
Condition/&HelpActionDescription	Diese Kreatur wurde abgelenkt
Condition/&HelpActionTitle	Abgelenkt
Condition/&MoonTouchedConditionDescription	Ihre Schwerkraft wird negiert
Condition/&MoonTouchedConditionTitle	Mond berührt
Condition/&PoxDescription	Pockenzustand
Condition/&PoxTitle	Pocken
Condition/&RuinDescription	Ruinierter Zustand
Condition/&RuinedDescription	Die Verteidigung dieser Kreatur ist reduziert
Condition/&RuinedTitle	Ruiniert
Condition/&RuinTitle	Zugrunde richten
Condition/&SwallowedByToadConditionDescription	Erleidet 3W6 Säureschaden pro Runde. Endet, wenn der Krötenhexenmeister bei einem einzigen Angriff mit 15 oder mehr Schaden getroffen wird
Condition/&SwallowedByToadConditionTitle	Von Kröte verschluckt
Condition/&SwallowingToadConditionDescription	Endet, wenn der Krötenhexenmeister bei einem einzigen Angriff mit 15 oder mehr Schaden getroffen wird
Condition/&SwallowingToadConditionTitle	Schluckende Kröte
ContentPack/&CommunityExpansionPackDescription	Das Community-Erweiterungspaket fügt neue Klassen, Unterklassen, Talente und Zauber hinzu. Es gibt eine höhere Levelobergrenze, mehrere Klassen, QOL-Funktionen, Fehlerbehebungen und mehr. Es ist ein wahres Horn of Plenty (TM) ...
ContentPack/&CommunityExpansionPackTitle	Community-Erweiterungspaket
CraftyFeats/&ApothecaryIntFeatDescription	+1 Intelligenz, Kompetenz oder Expertise mit Herbalism Kit und Arcana
CraftyFeats/&ApothecaryIntFeatTitle	Apotheker (Geheimdienst)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Weisheit, Kompetenz oder Expertise mit Kräuterkunde-Kit und Medizin
CraftyFeats/&ApothecaryWisFeatTitle	Apotheker (Weisheit)
CraftyFeats/&AttributeDexDescription	+1 Geschicklichkeit
CraftyFeats/&AttributeDexTitle	Geschicklichkeit
CraftyFeats/&AttributeIntDescription	+1 Intelligenz
CraftyFeats/&AttributeIntTitle	Intelligenz
CraftyFeats/&AttributeWisDescription	+1 Weisheit
CraftyFeats/&AttributeWisTitle	Weisheit
CraftyFeats/&CraftyArcanaDescription	Arcana-Kenntnisse oder -Expertise
CraftyFeats/&CraftyBowsDescription	Beherrschung aller Bögen und Armbrüste
CraftyFeats/&CraftyBowsTitle	Beherrschung des Bogens
CraftyFeats/&CraftyFletcherFeatDescription	+1 Geschicklichkeit, Beherrschung oder Erfahrung mit Schmieds Werkzeugen, Beherrschung mit Bögen und Armbrüsten
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Medizinische Kenntnisse oder Fachkenntnisse
CraftyFeats/&CraftyNatureDescription	Naturkenntnisse oder Fachwissen
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligenz, Kompetenz oder Expertise mit Scroll Kit und Arcana, erfordert die Fähigkeit, Zauber zu wirken
CraftyFeats/&CraftyScribeFeatTitle	Schreiber
CraftyFeats/&CraftySkillsTitle	Fähigkeiten
CraftyFeats/&CraftyToolsTitle	Werkzeug
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligenz, Kompetenz oder Expertise im Umgang mit Manacalon-Rosenkranz und Arcana, erfordert die Fähigkeit, Zauber zu wirken
CraftyFeats/&ManacalonCrafterFeatTitle	Handwerker von Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligenz, Beherrschung oder Expertise im Umgang mit Poisoner's Kit und Nature
CraftyFeats/&ToxicologistIntFeatTitle	Toxikologe (Geheimdienst)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Weisheit, Kompetenz oder Expertise im Umgang mit Giftausrüstung und Medizin
CraftyFeats/&ToxicologistWisFeatTitle	Toxikologe (Weisheit)
DamageAffinity/&DHHolyAuraSpellDescription	Wenn ein Teufel oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura in strahlendem Licht auf. Dem Angreifer muss ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet
DamageAffinity/&DHHolyAuraSpellTitle	Vergeltung der Heiligen Aura
Equipment/&ArcaneStaffDescription	Dieser Stab ist mit magischer Schrift beschriftet und kann als Fokus für das Wirken arkaner Zauber verwendet werden
Equipment/&ArcaneStaffTitle	Arkaner Stab
Equipment/&DruidicAmuletDescription	Dieses totemistische Amulett kann als Fokus für druidische Zaubersprüche verwendet werden
Equipment/&DruidicAmuletTitle	Druidisches Amulett
Equipment/&Enchanted_Club_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Club_Acuteness_Title	Club der Schärfe
Equipment/&Enchanted_Club_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der Bärenkralle zerfetzen die Rüstung, um zusätzlichen Schaden zuzufügen – genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entwickelt hat
Equipment/&Enchanted_Club_Bearclaw_Title	Club der Bärenklauen
Equipment/&Enchanted_Club_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen
Equipment/&Enchanted_Club_Lightbringer_Title	Club der Lichtbringer
Equipment/&Enchanted_Club_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur körperliche Stärken. Manacalon-Arkaner haben diese Keule geschaffen, um Champions der Iron Legions die Kraft zu geben, die ihre Elfenkörper nicht bieten
Equipment/&Enchanted_Club_Power_Title	Club der Macht
Equipment/&Enchanted_Club_Punisher_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Die Kombination aus bestem Metall und Sklavenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft
Equipment/&Enchanted_Club_Punisher_Title	Punisher-Club
Equipment/&Enchanted_Dart_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Dart_Acuteness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war
Equipment/&Enchanted_Dart_Frostburn_Title	Frostbrandpfeil
Equipment/&Enchanted_Dart_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Dart_Sharpness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen
Equipment/&Enchanted_Dart_Souldrinker_Title	Seelentrinker Dart
Equipment/&Enchanted_Handaxe_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Handaxe_Acuteness_Title	Faustkeil der Schärfe
Equipment/&Enchanted_Handaxe_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostbrand-Handaxt
Equipment/&Enchanted_Handaxe_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Handaxe_Sharpness_Title	Faustkeil der Schärfe
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Seelentrinker-Handaxt
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Sein ursprüngliches Design trug das Siegel von Defineth Sharpsight, einem bekannten Zauberer der Waldelfen
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Schwere Armbrust der Genauigkeit
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Schwere Armbrust des Lichtbringers
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Magie verschmolz Medusenkoralle und Hartholz zu einem tödlichen Bogen, der von den Enterkommandos der Inselhalblinge bevorzugt wurde
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa Schwere Armbrust
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Der Coedymwarth zog es vor, mit Manacalons Arkanisten eher physisch als magisch umzugehen. Seine besten Bogenschützen erhielten Armbrüste, die Schöpfung von Defineth Sharpsight
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Schwere Armbrust des Scharfschießens
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe nutzte – mit verheerender Wirkung!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Schwere Sturmarmbrust
Equipment/&Enchanted_HideArmor_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_Deflection_Title	Rüstung der Ablenkung verstecken
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Rüstung des Flammentanzes verstecken
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_Robustness_Title	Rüstung der Robustheit verstecken
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Hide Rüstung der Robustheit
Equipment/&Enchanted_HideArmor_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators
Equipment/&Enchanted_HideArmor_Survival_Title	Rüstung des Überlebens verstecken
Equipment/&Enchanted_Javelin_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Javelin_Acuteness_Title	Speer der Schärfe
Equipment/&Enchanted_Javelin_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war
Equipment/&Enchanted_Javelin_Frostburn_Title	Frostbrand-Speer
Equipment/&Enchanted_Javelin_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums
Equipment/&Enchanted_Javelin_Sharpness_Title	Speer der Schärfe
Equipment/&Enchanted_Javelin_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen
Equipment/&Enchanted_Javelin_Souldrinker_Title	Seelentrinker-Speer
