ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Class/&WitchMaledictionCharmDescription	Wähle als Aktion eine Kreatur im Umkreis von 60 Fuß, die du sehen kannst, und lege einen Rettungswurf in Weisheit ab. Bei einem misslungenen Schutzwurf wird die Kreatur bis zum Ende deines nächsten Zuges von dir verzaubert.
Class/&WitchMaledictionCharmTitle	Bösartige Verhexung verzaubern
Class/&WitchMaledictionDisorientDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Konstitutions-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf muss das Ziel jedes Mal, wenn es vor dem Ende deines nächsten Zuges einen Angriffswurf macht, einen Würfel werfen und die gewürfelte Zahl vom Angriffswurf abziehen.
Class/&WitchMaledictionDisorientTitle	Verwirrung - Verhexung
Class/&WitchMaledictionEvilEyeDescription	Wähle als Aktion eine Kreatur, die du sehen kannst und die dich im Umkreis von 60 Fuß sehen kann, um einen Weisheitssparwurf zu machen. Bei einem misslungenen Schutzwurf hat die Kreatur bis zum Ende deines nächsten Zuges Angst vor dir.
Class/&WitchMaledictionEvilEyeTitle	Böses Auge - Verhexung
Class/&WitchMaledictionObfuscateDescription	Als Aktion erschaffst du eine Nebelsphäre mit einem Radius von 20 Fuß, die sich auf dich konzentriert. Die Sphäre breitet sich um Ecken herum aus, und ihr Bereich ist stark verdunkelt. Dieser Effekt hält bis zum Ende deines nächsten Zuges an oder bis ein Wind von mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) den Nebel auflöst.
Class/&WitchMaledictionObfuscateTitle	Verwirrende Verhexung
Class/&WitchMaledictionPoxDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 5 Fuß sehen kannst, um einen Konstitutionsschutzwurf zu machen. Bei einem misslungenen Schutzwurf ist die Kreatur bis zum Ende deines nächsten Zuges vergiftet.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	Als Aktion wählst du eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Konstitutions-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf verringert sich die Rüstungsklasse der Kreatur bis zum Ende deines nächsten Zuges um 3, mindestens aber um 10.
Class/&WitchMaledictionRuinTitle	Verderbliche Verhexung
Class/&WitchSavingthrowProficiencyDescription	Weisheit, Charisma
Class/&WitchSavingthrowProficiencyTitle	Hexen-Professionalität bei Rettungswürfen
Class/&WitchSkillProficiencyDescription	Wähle zwei aus Arkana, Täuschung, Einsicht, Einschüchterung, Überredung, Natur und Religion
Class/&WitchSkillProficiencyTitle	Hexen-Fertigkeiten
Class/&WitchSpellcastingDescription	Kann Zauber aus der Hexen-Zauberliste wirken.
Class/&WitchSpellcastingTitle	Hexen-Zauberei
Class/&WitchTitle	Hexe
Class/&WitchToolProficiencyDescription	Wähle eine aus Kräuterkunde und Giftmischerkunde
Class/&WitchToolProficiencyTitle	Werkzeug-Fähigkeiten der Hexe
Class/&WitchWeaponProficiencyDescription	Einfache Waffen
Class/&WitchWeaponProficiencyTitle	Hexenwaffen-Professionalität
Condition/&AncientForestPhotosynthesisDescription	Du kannst Energie aus Sonnenlicht absorbieren. Solange du dich in direktem, hellem Licht befindest, erhältst du 2 HP pro Runde.
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumartige Ranken wachsen aus deinen Füßen und graben sich in den Boden. Deine Geschwindigkeit wird auf 0 reduziert, und du erhältst einen Vorteil auf alle Schutzwürfe, die dich schubsen, ziehen oder auf den Boden werfen.
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&ConditionBarkWardDescription	Geschützt von den Geistern des Waldes.
Condition/&ConditionBarkWardTitle	Rindenwächter
Condition/&ConditionDualFlurryApplyDescription	Du baust Schwung auf...
Condition/&ConditionDualFlurryApplyTitle	Doppelter Ansturm!
Condition/&ConditionDualFlurryGrantDescription	Deine Feinde taumeln!
Condition/&ConditionDualFlurryGrantTitle	Doppelter Ansturm!
Condition/&ConditionImprovedBarkWardDescription	Die Geister des Waldes fügen Nahkampfangreifern 2d8 durchdringenden Schaden zu.
Condition/&ConditionImprovedBarkWardTitle	Verbesserter Rindenschutz
Condition/&ConditionMarkedByArcanistDescription	Befallen vom Mal des Arkanisten.
Condition/&ConditionMarkedByArcanistTitle	Zeichen des Arkanisten
Condition/&ConditionSuperiorBarkWardDescription	Die Geister des Waldes gewähren dir Giftimmunität und verursachen 3d8 durchdringenden Schaden an Nahkampfangreifern.
Condition/&ConditionSuperiorBarkWardTitle	Überlegene Rindenabwehr
Condition/&DH_ReverseGravity_Spell_Description	Umgekehrte Schwerkraft
Condition/&DH_ReverseGravity_Spell_Title	Umgekehrte Schwerkraft
Condition/&DH_TimeStop_Spell_Description	Gefroren durch Zeitstopp
Condition/&DH_TimeStop_Spell_Title	Eingefroren durch Zeitstopp
Condition/&DHFeeblemindSpellDescription	Die Intelligenz- und Charisma-Werte der Kreatur werden zu 1. Die Kreatur kann keine Zaubersprüche wirken, keine magischen Gegenstände aktivieren, keine Sprache verstehen oder auf irgendeine verständliche Weise kommunizieren.
Condition/&DHFeeblemindSpellTitle	Feeblemind
Condition/&DHForesightSpellDescription	Vorteil bei Angriffswürfen, Fähigkeitsprüfungen und Rettungswürfen. Außerdem haben andere Kreaturen einen Nachteil bei Angriffswürfen.
Condition/&DHForesightSpellTitle	Vorhersehung
Condition/&DHHolyAuraSpellDescription	Wenn du diesen Zauber sprichst, wirfst du in einem Umkreis von 1,5 Metern ein schwaches Licht aus und hast Vorteil bei allen Schutzwürfen, und andere Kreaturen haben bis zum Ende des Zaubers Nachteil bei Angriffswürfen gegen sie. Wenn ein Unhold oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura außerdem in hellem Licht auf. Der Angreifer muss einen Konstitutionsschutzwurf bestehen oder geblendet werden, bis der Zauber endet.
Condition/&DHHolyAuraSpellTitle	Geschützt durch Heilige Aura
Condition/&DHMindBlankSpellDescription	Immun gegen psychischen Schaden und den Zustand "verzaubert".
Condition/&DHMindBlankSpellTitle	Geistesblind
Condition/&DHReverseGravitySpellDescription	kann sich nicht bewegen
Condition/&DHReverseGravitySpellTitle	Gefangen durch umgekehrte Schwerkraft
Condition/&DHTimeStopSpellDescription	Eingefroren durch Zeitstopp
Condition/&DHTimeStopSpellTitle	Eingefroren durch Zeitstopp
Condition/&DHWeirdSpellDescription	Die Illusion beschwört die tiefsten Ängste der Kreatur herauf und manifestiert ihre schlimmsten Albträume als unerbittliche Bedrohung. Am Ende jeder Runde der verängstigten Kreatur muss sie einen Weisheitswurf bestehen oder 4d10 psychischen Schaden erleiden. Bei einem erfolgreichen Schutzwurf endet der Zauber für die Kreatur.
Condition/&DHWeirdSpellTitle	Verrückte
Condition/&DisorientDescription	Die Genauigkeit der Kreatur ist verringert.
Condition/&DisorientTitle	Desorientiert
Condition/&Frenzied	Diese Kreatur ist rasend und greift die nächstgelegene Kreatur an.
Condition/&FrenziedTitle	Raserei
Condition/&HalfLifeConditionDescription	Du nimmst nekrotische Energie in dich auf und schwebst zwischen Leben und Tod. Du bist vorübergehend von deinem eigenen Geist besessen, kannst fliegen und verfügst über die gleichen Zustandsimmunitäten und Schadensresistenzen wie andere Geister.
Condition/&HalfLifeConditionTitle	Halbwertszeit
Condition/&HelpActionDescription	Diese Kreatur ist abgelenkt worden.
Condition/&HelpActionTitle	Abgelenkt
Condition/&MoonTouchedConditionDescription	Ihre Schwerkraft ist aufgehoben.
Condition/&MoonTouchedConditionTitle	Vom Mond berührt
Condition/&RuinedDescription	Die Verteidigung dieser Kreatur ist reduziert.
Condition/&RuinedTitle	Ruiniert
Condition/&SwallowedByToadConditionDescription	Erleidet pro Runde 3D6 Säureschaden. Endet, wenn der Krötenzauberer mit 15 oder mehr Schaden in einem einzigen Angriff getroffen wird
Condition/&SwallowedByToadConditionTitle	Von Kröte verschluckt
Condition/&SwallowingToadConditionDescription	Endet, wenn der Krötenzauberer mit einem einzigen Angriff 15 oder mehr Schaden erleidet.
Condition/&SwallowingToadConditionTitle	Kröte verschlucken
ContentPack/&CommunityExpansionPackDescription	Das Community Expansion Pack fügt neue Klassen, Unterklassen, Feats und Zauber hinzu. Es gibt eine höhere Stufenbegrenzung, Multi-Klassen, QOL-Funktionen, Fehlerbehebungen und mehr. Es ist ein wahres Füllhorn (TM)...
ContentPack/&CommunityExpansionPackTitle	Community Expansion Pack
CraftyFeats/&ApothecaryIntFeatDescription	+1 Intelligenz, Befähigung oder Expertise mit Kräuterkunde-Kit und Arkana
CraftyFeats/&ApothecaryIntFeatTitle	Apotheker (Intelligenz)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Weisheit, Fertigkeit oder Fachwissen mit Kräuterkunde-Kit und Medizin
CraftyFeats/&ApothecaryWisFeatTitle	Apotheker (Weisheit)
CraftyFeats/&AttributeDexDescription	+1 Geschicklichkeit
CraftyFeats/&AttributeDexTitle	Geschicklichkeit
CraftyFeats/&AttributeIntDescription	+1 Intelligenz
CraftyFeats/&AttributeIntTitle	Intelligenz
CraftyFeats/&AttributeWisDescription	+1 Weisheit
CraftyFeats/&AttributeWisTitle	Weisheit
CraftyFeats/&CraftyArcanaDescription	Arkana-Fertigkeit oder -Expertise
CraftyFeats/&CraftyBowsDescription	Beherrschung aller Bögen und Armbrüste
CraftyFeats/&CraftyBowsTitle	Bogen-Beherrschung
CraftyFeats/&CraftyFletcherFeatDescription	+1 Geschicklichkeit, Beherrschung oder Erfahrung im Umgang mit Schmiedewerkzeugen, Beherrschung von Bögen und Armbrüsten
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyHerbalismKitDescription	Kräuterkunde-Kit Beherrschung oder Fachwissen
CraftyFeats/&CraftyMedicineDescription	Medizinische Kompetenz oder Fachwissen
CraftyFeats/&CraftyNatureDescription	Beherrschung der Natur oder Sachkenntnis
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligenz, Beherrschung oder Expertise im Umgang mit Schriftrollen und Arkanen, Erfordert die Fähigkeit zu zaubern
CraftyFeats/&CraftyScribeFeatTitle	Schreiber
CraftyFeats/&CraftySkillsTitle	Fertigkeiten
CraftyFeats/&CraftyToolsTitle	Werkzeuge
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligenz, Beherrschung oder Erfahrung mit Manacalon-Rosenkranz und Arkana, Erfordert die Fähigkeit zu zaubern
CraftyFeats/&ManacalonCrafterFeatTitle	Manakalon-Zauberer
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligenz, Beherrschung oder Expertise in Poisoner's Kit und Nature
CraftyFeats/&ToxicologistIntFeatTitle	Toxikologe (Intelligenz)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Weisheit, Beherrschung oder Erfahrung mit dem Giftmischer-Kit und Medizin
CraftyFeats/&ToxicologistWisFeatTitle	Toxikologe (Weisheit)
DamageAffinity/&DHHolyAuraSpellDescription	Wenn ein Unhold oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura in hellem Licht auf. Der Angreifer muss einen Konstitutionswettkampf bestehen oder geblendet werden, bis der Zauber endet.
DamageAffinity/&DHHolyAuraSpellTitle	Heilige Aura - Vergeltung
Equipment/&ArcaneStaffDescription	Dieser Stab ist mit magischer Schrift beschriftet und kann als Fokus für arkane Zauber verwendet werden.
Equipment/&ArcaneStaffTitle	Arkaner Stab
Equipment/&DruidicAmuletDescription	Dieses totemartige Amulett kann als Fokus für druidische Zauber verwendet werden.
Equipment/&DruidicAmuletTitle	Druidisches Amulett
Equipment/&Enchanted_Club_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sein Design ist eines der frühen Werke von Elgador Keenspirit, dem Magierschmied des Arcaneums.
Equipment/&Enchanted_Club_Acuteness_Title	Keule der Schärfe
Equipment/&Enchanted_Club_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Die scharfen Stacheln der Bärenklaue zerfetzen die Rüstung und fügen zusätzlichen Schaden zu � genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entworfen hat.
Equipment/&Enchanted_Club_Bearclaw_Title	Bärenklauen-Keule
Equipment/&Enchanted_Club_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Club_Lightbringer_Title	Lichtbringer-Keule
Equipment/&Enchanted_Club_Power_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede von Manacalon geschmiedet. Manche Kreaturen respektieren nur physische Kräfte. Die Arkanisten Manacalons schufen diese Keule, um den Champions der Eisernen Legionen die Stärke zu verleihen, die ihre elfischen Körper nicht bieten können.
Equipment/&Enchanted_Club_Power_Title	Keule der Macht
Equipment/&Enchanted_Club_Punisher_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Die Kombination aus bestem Metall und Slawenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Club_Punisher_Title	Punisher-Keule
Equipment/&Enchanted_Dart_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Dart_Acuteness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Frostburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Dart_Frostburn_Title	Frostbrandpfeil
Equipment/&Enchanted_Dart_Sharpness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Dart_Sharpness_Title	Pfeil der Schärfe
Equipment/&Enchanted_Dart_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Diese Waffe, die bei den Agenten von Silent Whisper sehr beliebt ist, wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Dart_Souldrinker_Title	Souldrinker-Pfeil
Equipment/&Enchanted_Handaxe_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons erschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Handaxt der Scharfsinnigkeit
Equipment/&Enchanted_Handaxe_Frostburn_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostbrenner-Handaxt
Equipment/&Enchanted_Handaxe_Sharpness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxt der Schärfe
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Diese Waffe, die bei den Agenten von Silent Whisper sehr beliebt ist, wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Souldrinker-Handaxt
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Ihr ursprüngliches Design trug das Siegel von Defineth Sharpsight, einem berühmten Verzauberer der Sylvan Elf.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Schwere Armbrust der Treffsicherheit
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Schwere Lichtbringer-Armbrust
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Magie verschmolz Medusa-Koralle und Hartholz zu einem tödlichen Bogen, der von den Enterkommandos der Halblinge der Insel bevorzugt wird.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Schwere Medusa-Armbrust
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Die Coedymwarth zogen es vor, den Arkanisten Manacalons physisch statt magisch zu begegnen. Ihre besten Bogenschützen erhielten Armbrüste, die von Defineth Sharpsight geschaffen wurden.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Schwere Armbrust des Scharfschützen
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Sie wurde von Galar Stromforge entworfen, dem ersten zwergischen Schmied, der die Macht des Sturms in einer Waffe nutzbar machte � mit verheerender Wirkung!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Schwere Sturmarmbrust
Equipment/&Enchanted_HideArmor_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern geschaffen. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Kaisers.
Equipment/&Enchanted_HideArmor_Deflection_Title	Versteckte Rüstung der Ablenkung
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Versteckte Rüstung des Flammentanzes
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Versteckte Rüstung des Frostspaziergangs
Equipment/&Enchanted_HideArmor_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_Robustness_Title	Versteckte Rüstung der Robustheit
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Meisterschmiede Manacalons hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Versteckte Rüstung der Widerstandsfähigkeit
Equipment/&Enchanted_HideArmor_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_HideArmor_Survival_Title	Versteckte Rüstung des Überlebens
Equipment/&Enchanted_Javelin_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Javelin_Acuteness_Title	Speer der Schärfe
Equipment/&Enchanted_Javelin_Frostburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Javelin_Frostburn_Title	Frostbrennender Speer
Equipment/&Enchanted_Javelin_Sharpness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Javelin_Sharpness_Title	Speer der Schärfe
Equipment/&Enchanted_Javelin_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Diese Waffe, die bei den Agenten von Silent Whisper sehr beliebt ist, wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Souldrinker Speer
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Ihr ursprüngliches Design trug das Siegel von Defineth Sharpsight, einem berühmten Zauberer der Sylvan-Elfen.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Leichte Armbrust der Treffsicherheit
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterbogenbauer Colthannins geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
