ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Condition/&EvilEyeDescription	Evil eye condition
Condition/&EvilEyeTitle	Evil Eye
Condition/&FrenziedDescription	This creature is frenzied and will attack the closest creature
Condition/&FrenziedTitle	Frenzied
Condition/&HalfLifeConditionDescription	You take necrotic energy into yourself and hang between life and death and are temporarily possessed by your own ghost, gaining flying, and the same condition immunities and damage resistenances as other ghosts
Condition/&HalfLifeConditionTitle	HalfLife
Condition/&HelpActionDescription	This creature has been distracted
Condition/&HelpActionTitle	Distracted
Condition/&MoonTouchedConditionDescription	Your gravity is negated
Condition/&MoonTouchedConditionTitle	Moon Touched
Condition/&PoxDescription	Pox condition
Condition/&PoxTitle	Pox
Condition/&RuinDescription	Ruin condition
Condition/&RuinedDescription	This creature's defence is reduced
Condition/&RuinedTitle	Ruined
Condition/&RuinTitle	Ruin
Condition/&SwallowedByToadConditionDescription	Takes 3D6 acid damage per round. Ends if the toad warlock is hit with 15 or more damage in single attack
Condition/&SwallowedByToadConditionTitle	Swallowed By Toad
Condition/&SwallowingToadConditionDescription	Ends if the toad warlock is hit with 15 or more damage in single attack
Condition/&SwallowingToadConditionTitle	Swallowing Toad
ContentPack/&CommunityExpansionPackDescription	The Community Expansion pack adds new classes, sub-classes, feats and spells. There's a higher level cap, multi-class, QOL features, bug fixes and more. It's a veritable Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Community Expansion Pack
CraftyFeats/&ApothecaryIntFeatDescription	+1 Intelligence, Proficiency or Expertise with Herbalism Kit and Arcana
CraftyFeats/&ApothecaryIntFeatTitle	Apothecary (Intelligence)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Wisdom, Proficiency or Expertise with Herbalism Kit and Medicine
CraftyFeats/&ApothecaryWisFeatTitle	Apothecary (Wisdom)
CraftyFeats/&AttributeDexDescription	+1 Dexterity
CraftyFeats/&AttributeDexTitle	Dexterity
CraftyFeats/&AttributeIntDescription	+1 Intelligence
CraftyFeats/&AttributeIntTitle	Intelligence
CraftyFeats/&AttributeWisDescription	+1 Wisdom
CraftyFeats/&AttributeWisTitle	Wisdom
CraftyFeats/&CraftyArcanaDescription	Arcana proficiency or expertise
CraftyFeats/&CraftyBowsDescription	Proficiency with all bows and crossbows
CraftyFeats/&CraftyBowsTitle	Bow Proficiency
CraftyFeats/&CraftyFletcherFeatDescription	+1 Dexterity, Proficiency or Expertise with Smith's Tools, Proficiency with bows and crossbows
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Medicine proficiency or expertise
CraftyFeats/&CraftyNatureDescription	Nature proficiency or expertise
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligence, Proficiency or Expertise with Scroll Kit and Arcana, Requires the ability to cast spells
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Skills
CraftyFeats/&CraftyToolsTitle	Tools
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligence, Proficiency or Expertise with Manacalon Rosary and Arcana, Requires the ability to cast spells
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligence, Proficiency or Expertise with Poisoner's Kit and Nature
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologist (Intelligence)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Wisdom, Proficiency or Expertise with Poisoner's Kit and Medicine
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologist (Wisdom)
DamageAffinity/&DHHolyAuraSpellDescription	When a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a Constitution saving throw or be blinded until the spell ends
DamageAffinity/&DHHolyAuraSpellTitle	Holy Aura Retaliation
Equipment/&ArcaneStaffDescription	This staff is inscribed with magical writing and can be used as a focus for Arcane spell casting
Equipment/&ArcaneStaffTitle	Arcane Staff
Equipment/&DruidicAmuletDescription	This totemic amulet can be used as a focus for Druidic spell casting
Equipment/&DruidicAmuletTitle	Druidic Amulet
Equipment/&Enchanted_Club_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Club_Acuteness_Title	Club of Acuteness
Equipment/&Enchanted_Club_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage � just as expected by Ildurial Stronghand, who designed the first weapon of this kind
Equipment/&Enchanted_Club_Bearclaw_Title	Bearclaw Club
Equipment/&Enchanted_Club_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Club_Lightbringer_Title	Lightbringer Club
Equipment/&Enchanted_Club_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this club to give champions of the Iron Legions the strength their elven bodies didn't provide
Equipment/&Enchanted_Club_Power_Title	Club of Power
Equipment/&Enchanted_Club_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power
Equipment/&Enchanted_Club_Punisher_Title	Punisher Club
Equipment/&Enchanted_Dart_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Dart_Acuteness_Title	Dart of Acuteness
Equipment/&Enchanted_Dart_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry
Equipment/&Enchanted_Dart_Frostburn_Title	Frostburn Dart
Equipment/&Enchanted_Dart_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Dart_Sharpness_Title	Dart of Sharpness
Equipment/&Enchanted_Dart_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade
Equipment/&Enchanted_Dart_Souldrinker_Title	Souldrinker Dart
Equipment/&Enchanted_Handaxe_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Handaxe_Acuteness_Title	Handaxe of Acuteness
Equipment/&Enchanted_Handaxe_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostburn Handaxe
Equipment/&Enchanted_Handaxe_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxe of Sharpness
Equipment/&Enchanted_Handaxe_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Souldrinker Handaxe
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Its original design bore the sigil of Defineth Sharpsight, a renowned sylvan elf enchanter
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Heavy Crossbow of Accuracy
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Lightbringer Heavy Crossbow
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Magic melded medusa coral and hardwood to create a deadly bow, favored by the boarding parties of island halflings
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa Heavy Crossbow
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. The Coedymwarth preferred to deal with Manacalon's arcanists physically rather than magically. Its best archers were given crossbows, the creation of Defineth Sharpsight
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Heavy Crossbow of Sharpshooting
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon � to devastating effect!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Heavy Stormcrossbow
Equipment/&Enchanted_HideArmor_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_Deflection_Title	Hide Armor of Deflection
Equipment/&Enchanted_HideArmor_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Hide Armor of Flame Dancing
Equipment/&Enchanted_HideArmor_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_Robustness_Title	Hide Armor of Robustness
Equipment/&Enchanted_HideArmor_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Hide Armor of Sturdiness
Equipment/&Enchanted_HideArmor_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_HideArmor_Survival_Title	Hide Armor of Survival
Equipment/&Enchanted_Javelin_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Javelin_Acuteness_Title	Javelin of Acuteness
Equipment/&Enchanted_Javelin_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry
Equipment/&Enchanted_Javelin_Frostburn_Title	Frostburn Javelin
Equipment/&Enchanted_Javelin_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Javelin_Sharpness_Title	Javelin of Sharpness
Equipment/&Enchanted_Javelin_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade
Equipment/&Enchanted_Javelin_Souldrinker_Title	Souldrinker Javelin
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Its original design bore the sigil of Defineth Sharpsight, a renowned sylvan elf enchanter
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Light Crossbow of Accuracy
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Lightbringer Light Crossbow
Equipment/&Enchanted_LightCrossbow_Medusa_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. Magic melded medusa coral and hardwood to create a deadly bow, favored by the boarding parties of island halflings
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Light Crossbow
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. The Coedymwarth preferred to deal with Manacalon's arcanists physically rather than magically. Its best archers were given crossbows, the creation of Defineth Sharpsight
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Light Crossbow of Sharpshooting
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon � to devastating effect!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Light Stormcrossbow
Equipment/&Enchanted_Maul_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Maul_Acuteness_Title	Maul of Acuteness
Equipment/&Enchanted_Maul_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage � just as expected by Ildurial Stronghand, who designed the first weapon of this kind
Equipment/&Enchanted_Maul_Bearclaw_Title	Bearclaw Maul
Equipment/&Enchanted_Maul_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Maul_Lightbringer_Title	Lightbringer Maul
Equipment/&Enchanted_Maul_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this Maul to give champions of the Iron Legions the strength their elven bodies didn't provide
Equipment/&Enchanted_Maul_Power_Title	Maul of Power
Equipment/&Enchanted_Maul_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power
Equipment/&Enchanted_Maul_Punisher_Title	Punisher Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarterstaff of Acuteness
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Dragonblade Quarterstaff
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Frostburn Quarterstaff
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Lightbringer Quarterstaff
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Souldrinker Quarterstaff
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon � to devastating effect!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Stormblade Quarterstaff
Equipment/&Enchanted_Quarterstaff_Warden_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Strongarm, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd
Equipment/&Enchanted_Quarterstaff_Warden_Title	Warden Quarterstaff
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn Quarterstaff
Equipment/&Enchanted_Scimitar_Dragonblade_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Dragonblade Scimitar
Equipment/&Enchanted_Scimitar_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostburn Scimitar
Equipment/&Enchanted_Scimitar_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Lightbringer Scimitar
Equipment/&Enchanted_Scimitar_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Souldrinker Scimitar
Equipment/&Enchanted_Scimitar_Stormblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon � to devastating effect!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Stormblade Scimitar
