ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Class/&WitchFeatureSetRitualCastingDescription	Você pode lançar qualquer feitiço de bruxaria que você conhece como um ritual se esse feitiço tiver a etiqueta do ritual.
Class/&WitchFeatureSetRitualCastingTitle	Fundição Ritual de Bruxa
Class/&WitchFeatureSetVisionsCurseDescription	Você está amaldiçoado a ter visões terríveis do futuro, pressagiando a morte de seus amigos, família e de você mesmo. Por mais que muitas dessas visões sejam decepções cruéis, elas às vezes são extremamente precisas. Você pode adicionar seu modificador de Carisma, além de seu modificador de destreza, aos seus rolos de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visões
Class/&WitchFeatureSetWitchCurseDescription	Você está envolvido por uma terrível maldição que infecta seu corpo e sua alma.
Class/&WitchFeatureSetWitchCurseTitle	Maldição das bruxas
Class/&WitchMaledictionAbateDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés de você para fazer um lançamento salvador de Carisma. Em um salvamento fracassado, a criatura não pode ter reações até o final de sua próxima vez.
Class/&WitchMaledictionAbateTitle	Abate à Maldição
Class/&WitchMaledictionApathyDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés de você para fazer um lançamento salvador de Carisma. Em uma salvação falhada, até o final de sua próxima volta, a criatura se torna indiferente a uma criatura de sua escolha para a qual ela é hostil. Esta indiferença termina se o alvo for atacado ou prejudicado por um feitiço da criatura à qual ela é indiferente.
Class/&WitchMaledictionApathyTitle	Apatia Maldição
Class/&WitchMaledictionCharmDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador de Sabedoria. Em um salvamento falhado, a criatura fica encantada por você até o final de sua próxima jogada.
Class/&WitchMaledictionCharmTitle	Maldição de Encantamento
Class/&WitchMaledictionDisorientDescription	Como ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador da Constituição. Em um salvamento falhado, sempre que este alvo fizer um lançamento de ataque antes do final de sua próxima vez, ele deve lançar um d6 e subtrair o número lançado do lançamento de ataque.
Class/&WitchMaledictionDisorientTitle	Desorientando a Maldição
Class/&WitchMaledictionEvilEyeDescription	Como uma ação, escolha uma criatura que você possa ver e que possa vê-lo a 60 pés para fazer um lançamento salvador de Sabedoria. Em um salvamento fracassado, a criatura tem medo de você até o final de sua próxima jogada.
Class/&WitchMaledictionEvilEyeTitle	Maldição dos olhos do mal
Class/&WitchMaledictionObfuscateDescription	Como ação, você cria uma esfera de nevoeiro de 20 pés de raio centrada em você mesmo. A esfera se espalha pelas esquinas e sua área é fortemente obscurecida. Este efeito dura até o final de sua próxima curva ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) a disperse.
Class/&WitchMaledictionObfuscateTitle	Obfuscar a maldição
Class/&WitchMaledictionPoxDescription	Como uma ação, escolha uma criatura que você possa ver a um metro e meio para fazer um lançamento salvador da Constituição. Em um salvamento fracassado, a criatura é envenenada até o final de sua próxima jogada.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador da Constituição. Em um salvamento falhado, a classe de armadura da criatura diminui em 3, para um mínimo de 10, até o final de sua próxima jogada.
Class/&WitchMaledictionRuinTitle	Maldição de ruína
Class/&WitchSavingthrowProficiencyDescription	Sabedoria, Carisma
Class/&WitchSavingthrowProficiencyTitle	Poupando Proficiências de Lançamento de Bruxas
Class/&WitchSkillProficiencyDescription	Escolha dois dos Arcanos, Decepção, Perspicácia, Intimidação, Persuasão, Natureza e Religião
Class/&WitchSkillProficiencyTitle	Habilidades de bruxa
Class/&WitchSpellcastingDescription	Pode lançar feitiços a partir da lista de feitiços das Bruxas.
Class/&WitchSpellcastingTitle	Feitiços de feitiçaria
Class/&WitchTitle	Bruxa
Class/&WitchToolProficiencyDescription	Escolha um dos kits Herbalist Kit e Poisoner's Kit
Class/&WitchToolProficiencyTitle	Proficiências das ferramentas de bruxa
Class/&WitchWeaponProficiencyDescription	Armas simples
Class/&WitchWeaponProficiencyTitle	Proficiências de armas de bruxa
Condition/&AncientForestPhotosynthesisDescription	Você pode absorver energia da luz solar. Enquanto você está sob luz direta e brilhante, você ganha 2 HP por rodada
Condition/&AncientForestPhotosynthesisTitle	Fotossíntese
Condition/&AncientForestRootedConditionDescription	Os tendrilhos arborícolas crescem dos pés e caem no chão. Sua velocidade se torna 0, e você ganha vantagem em qualquer lançamento de salvamento para empurrá-lo, puxá-lo ou derrubá-lo. Você pode lançar emaranhado à vontade
Condition/&AncientForestRootedConditionTitle	Raízes
Condition/&ConditionBarkWardDescription	Protegido pelos espíritos da floresta.
Condition/&ConditionBarkWardTitle	Ala de Cascas
Condition/&ConditionDualFlurryApplyDescription	Você está construindo um impulso...
Condition/&ConditionDualFlurryApplyTitle	Flurry duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Flurry Duplo!
Condition/&ConditionImprovedBarkWardDescription	Os espíritos da floresta causam danos de 2d8 piercing nos atacantes de combate corpo a corpo.
Condition/&ConditionImprovedBarkWardTitle	Ala de Casca Melhorada
Condition/&ConditionMarkedByArcanistDescription	Atingido pela marca Arcanist.
Condition/&ConditionMarkedByArcanistTitle	Marca do Arcanista
Condition/&ConditionSuperiorBarkWardDescription	Os espíritos da floresta lhe concedem imunidade contra o veneno e causam danos 3d8 piercing aos atacantes de corpo a corpo.
Condition/&ConditionSuperiorBarkWardTitle	Ala Superior Bark Ward
Condition/&DH_ReverseGravity_Spell_Description	Gravidade reversa
Condition/&DH_ReverseGravity_Spell_Title	Gravidade reversa
Condition/&DH_TimeStop_Spell_Description	Congelado pelo Tempo Stop
Condition/&DH_TimeStop_Spell_Title	Congelado pelo Tempo Stop
Condition/&DHFeeblemindSpellDescription	As pontuações de Inteligência e Carisma da criatura se tornam 1. A criatura não pode lançar feitiços, ativar itens mágicos, compreender a linguagem, ou se comunicar de qualquer forma inteligível
Condition/&DHFeeblemindSpellTitle	Feeblemind
Condition/&DHForesightSpellDescription	vantagem em rolos de ataque, verificações de habilidade e lançamentos de economia. Além disso, outras criaturas têm desvantagem nos rolos de ataque
Condition/&DHForesightSpellTitle	Prospectiva
Condition/&DHHolyAuraSpellDescription	você lança este feitiço com pouca luz num raio de 1,5 m e tem vantagem em todos os lançamentos de salvamento, e outras criaturas têm desvantagem nos lançamentos de ataque contra elas até que o feitiço termine. Além disso, quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo-a-corpo, a aura pisca com uma luz brilhante. O atacante deve ser bem sucedido em um lançamento salvador da Constituição ou ficar cego até que o feitiço termine.
Condition/&DHHolyAuraSpellTitle	Protegido pela Santa Aura
Condition/&DHMindBlankSpellDescription	Imune aos danos psíquicos e à condição encantada
Condition/&DHMindBlankSpellTitle	Mente em branco
Condition/&DHReverseGravitySpellDescription	não pode se mover
Condition/&DHReverseGravitySpellTitle	Apanhado pela gravidade inversa
Condition/&DHTimeStopSpellDescription	Congelado pelo Tempo Stop
Condition/&DHTimeStopSpellTitle	Congelado pelo Tempo Stop
Condition/&DHWeirdSpellDescription	A ilusão invoca os medos mais profundos da criatura, manifestando seus piores pesadelos como uma ameaça implacável. Ao final de cada uma das voltas da criatura assustada, ela deve ser bem sucedida em um lançamento salvador da Sabedoria ou sofrer danos psíquicos 4d10. Em um salvamento bem sucedido, o feitiço termina para aquela criatura.
Condition/&DHWeirdSpellTitle	Esquisito
Condition/&DisorientDescription	A precisão desta criatura é reduzida.
Condition/&DisorientTitle	Desorientado
Condition/&Frenzied	Esta criatura é frenética e irá atacar a criatura mais próxima.
Condition/&FrenziedTitle	Frenzied
Condition/&HalfLifeConditionDescription	Você toma energia necrótica em si mesmo e fica entre a vida e a morte e está temporariamente possuído por seu próprio fantasma, ganhando imunidade e resistências aos danos da mesma condição que outros fantasmas.
Condition/&HalfLifeConditionTitle	HalfLife
Condition/&HelpActionDescription	Esta criatura tem sido distraída.
Condition/&HelpActionTitle	Distraída
Condition/&MoonTouchedConditionDescription	Sua gravidade é negada
Condition/&MoonTouchedConditionTitle	Lua Tocada
Condition/&RuinedDescription	A defesa desta criatura é reduzida.
Condition/&RuinedTitle	Arruinado
Condition/&SwallowedByToadConditionDescription	Leva danos de ácido 3D6 por rodada. Acaba se o mago do sapo for atingido com 15 ou mais danos em um único ataque
Condition/&SwallowedByToadConditionTitle	Engolido por Sapo
Condition/&SwallowingToadConditionDescription	Termina se o mago do sapo for atingido com 15 ou mais danos em um único ataque
Condition/&SwallowingToadConditionTitle	Engolindo o sapo
ContentPack/&CommunityExpansionPackDescription	O pacote de Expansão Comunitária acrescenta novas classes, subclasses, proezas e feitiços. Há uma tampa de nível superior, multiclasse, características QOL, correção de bugs e muito mais. É um verdadeiro Chifre da Abundância (TM).
ContentPack/&CommunityExpansionPackTitle	Pacote de Expansão da Comunidade
CraftyFeats/&ApothecaryIntFeatDescription	+1 Inteligência, Proficiência ou Experiência com Herbalismo Kit e Arcana
CraftyFeats/&ApothecaryIntFeatTitle	Farmácia (Inteligência)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Sabedoria, Proficiência ou Experiência com Kit de Herbalismo e Medicina
CraftyFeats/&ApothecaryWisFeatTitle	Boticário (Sabedoria)
CraftyFeats/&AttributeDexDescription	+1 Destreza
CraftyFeats/&AttributeDexTitle	Dexteridade
CraftyFeats/&AttributeIntDescription	+1 Inteligência
CraftyFeats/&AttributeIntTitle	Inteligência
CraftyFeats/&AttributeWisDescription	+1 Sabedoria
CraftyFeats/&AttributeWisTitle	Sabedoria
CraftyFeats/&CraftyArcanaDescription	Proficiência ou especialização em arcanas
CraftyFeats/&CraftyBowsDescription	Proficiência com todos os arcos e bestas
CraftyFeats/&CraftyBowsTitle	Proficiência do arco
CraftyFeats/&CraftyFletcherFeatDescription	+1 Destreza, Proficiência ou Experiência com Ferramentas Smith, Proficiência com arcos e bestas
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyHerbalismKitDescription	Herbalismo Proficiência ou perícia do Kit
CraftyFeats/&CraftyMedicineDescription	Proficiência ou especialização em medicina
CraftyFeats/&CraftyNatureDescription	Proficiência ou conhecimento da natureza
CraftyFeats/&CraftyScribeFeatDescription	+1 Inteligência, Proficiência ou Experiência com o Scroll Kit e Arcana, Requer a habilidade de lançar feitiços
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Ferramentas
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Inteligência, Proficiência ou Experiência com Manacalon Rosary e Arcana, Requer a capacidade de lançar feitiços
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	+1 Inteligência, Proficiência ou Experiência com o Kit do Intoxicante e a Natureza
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologista (Inteligência)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Sabedoria, Proficiência ou Experiência com o Kit do Envenenador e Medicina
CraftyFeats/&ToxicologistWisFeatTitle	Toxicólogo (Sabedoria)
DamageAffinity/&DHHolyAuraSpellDescription	Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo-a-corpo, a aura pisca com uma luz brilhante. O atacante deve ser bem sucedido em um lançamento salvador da Constituição ou ficar cego até que o feitiço termine.
DamageAffinity/&DHHolyAuraSpellTitle	Santa Aura Retaliação
Equipment/&ArcaneStaffDescription	Esta equipe está inscrita com escrita mágica e pode ser usada como foco para a fundição de feitiços Arcane.
Equipment/&ArcaneStaffTitle	Cajado Arcano
Equipment/&DruidicAmuletDescription	Este amuleto totêmico pode ser usado como um foco para a fundição de feitiços druídicos.
Equipment/&DruidicAmuletTitle	Amuleto druídico
Equipment/&Enchanted_Club_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Clube de Fidelidade
Equipment/&Enchanted_Club_Bearclaw_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso trituram a armadura para infligir danos adicionais �, exatamente como esperado por Ildurial Stronghand, que projetou a primeira arma deste tipo.
Equipment/&Enchanted_Club_Bearclaw_Title	Clube da Garra do Urso
Equipment/&Enchanted_Club_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Club_Lightbringer_Title	Clube Lightbringer
Equipment/&Enchanted_Club_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este clube para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Club_Power_Title	Clube do Poder
Equipment/&Enchanted_Club_Punisher_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. A combinação do melhor metal e da melhor pedra eslava deu a este machado um poder penetrante incrível.
Equipment/&Enchanted_Club_Punisher_Title	Clube do Punidor
Equipment/&Enchanted_Dart_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo da Façanha
Equipment/&Enchanted_Dart_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Dart_Frostburn_Title	Dardo Frostburn
Equipment/&Enchanted_Dart_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo da Nitidez
Equipment/&Enchanted_Dart_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo Souldrinker
Equipment/&Enchanted_Handaxe_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	O Handaxe da Fidelidade
Equipment/&Enchanted_Handaxe_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Handaxe Frostburn
Equipment/&Enchanted_Handaxe_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Handaxe da Nitidez
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Handaxe de Souldrinker
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Seu design original trazia o signo de Defineth Sharpsight, um renomado feiticeiro elfo silvestre.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Besta Cruzada de Precisão Pesada
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Besta Pesada Lightbringer
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. A magia fundiu o coral medusa e a madeira dura para criar um arco mortal, favorecido pelas festas de bordo dos halflings da ilha.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Besta Pesada Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas do Manacalon fisicamente em vez de magicamente. Seus melhores arqueiros receberam bestais, a criação do Defeth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Besta Pesada de Atiradores
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma � para um efeito devastador!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Besta-de-Tormenta Pesada
Equipment/&Enchanted_HideArmor_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Deflection_Title	Esconder a Armadura de Deflexão
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Esconder Armaduras de Dança de Chama
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Esconder armadura de Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Esconder armadura de Robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Esconder a Armadura da Robustez
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Esconder a Armadura da Sobrevivência
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Javelin da Acuidade
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Javelin_Frostburn_Title	Javelin Frostburn
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Javelin da Nitidez
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Javelin Souldrinker
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Seu design original trazia o signo de Defineth Sharpsight, um renomado feiticeiro elfo silvestre.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Besta de Precisão Light
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Besta de Luz Lightbringer Light Crossbow
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. A magia fundiu o coral medusa e a madeira dura para criar um arco mortal, favorecido pelas festas de bordo dos halflings da ilha.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Besta Leve
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas do Manacalon fisicamente em vez de magicamente. Seus melhores arqueiros receberam bestais, a criação do Defeth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Besta de Arco Cruzado Leve de Sharpshooting
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma � para um efeito devastador!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Besta-de-Tempestade Leve
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul da Acuidade
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso trituram a armadura para infligir danos adicionais �, exatamente como esperado por Ildurial Stronghand, que projetou a primeira arma deste tipo.
Equipment/&Enchanted_Maul_Bearclaw_Title	Garra de urso Maul
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Maul Lightbringer Maul
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este Maul para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Maul_Power_Title	Maul do Poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. A combinação do melhor metal e da melhor pedra eslava deu a este machado um poder penetrante incrível.
Equipment/&Enchanted_Maul_Punisher_Title	Punidor Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarteirões de Acuidade
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Lestoreth Steelarm para lutar no Norte congelado do Império.
