BlueprintCategory/&FlatRoomsTitle	Camere piatte
ContentPack/&CommunityExpansionPackTitle	Pacchetto di espansione della comunità
Failure/&FailureFlagTargetMeleeWeaponError	Non è possibile eseguire attacchi in mischia su questo bersaglio con l'arma attuale
Feature/&AdditionalActionDualFlurryDescription	Puoi effettuare un ulteriore attacco con la mano secondaria.
Feature/&AdditionalActionDualFlurryTitle	Doppio colpo!
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Una volta per turno, puoi infliggere 1d6 danni extra a una creatura che colpisci con un attacco che soddisfa l'Attacco Furtivo di Rogue. Al 7° livello questo danno aumenta a 2d6 e al 14° livello a 3d6. Questo può accumularsi con l'Attacco furtivo di Rogue.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Attacco furtivo ombroso
Feature/&AlwaysBeardDescription	{0}% di possibilità di farsi crescere una barba gloriosa!
Feature/&ArmorofShadowsTitle	Armatura delle ombre
Feature/&AscendantStepTitle	Passo ascendente
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	Se il tuo totale per una prova di Forza è inferiore al tuo punteggio di Forza, puoi usare quel punteggio al posto del totale.
Feature/&BarbarianIndomitableMightTitle	Potenza indomabile
Feature/&BardSkillsTitle	Abilità da bardo
Feature/&DeadeyeDescription	Attaccare a lunga distanza non impone svantaggio ai tiri per colpire con armi a distanza. Le tue armi a distanza ignorano la copertura per metà e per tre quarti. Puoi scegliere di prendere una penalità bonus di -5 per colpire per infliggere un danno bonus di +10.
Feature/&DeadeyeTitle	Deadeye
Feature/&DHConjureMinorElementalsBonusCantripDescription	Il tuo controllo delle energie elementali è aumentato al punto che ora hai il dominio sugli elementali più deboli. Puoi lanciare evoca elementale minore a piacimento.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Minion Elementali
Feature/&DHHolyAuraBlindingPowerDescription	Quando un demone o un non morto colpisce una creatura colpita con un attacco in mischia, l'aura lampeggia con una luce brillante. L'attaccante deve superare un tiro salvezza di Costituzione o essere accecato fino al termine dell'incantesimo.
Feature/&DHHolyAuraBlindingPowerTitle	Ritorsione dell'Aura Sacra
Feature/&DHWardingBondBonusCantripDescription	Il tuo controllo sui portali della spaccatura è aumentato al punto che ora puoi garantire la protezione della spaccatura ad altri. Puoi lanciare legame di protezione a piacimento (senza la condivisione del danno).
Feature/&DHWardingBondBonusCantripTitle	Mantello della spaccatura
Feature/&DreadfulWordTitle	Parola terribile
Feature/&DualFlurryDescription	Sei un maestro nel combattere con armi accoppiate. In qualsiasi turno in cui colpisci due volte con attacchi in mischia mentre maneggi un'arma in ciascuna mano, puoi effettuare un ulteriore attacco con la mano secondaria.
Feature/&DualFlurryTitle	Doppia raffica
Feature/&EmptyString	VUOTO
Feature/&FiendishVigorTitle	Vigore diabolico
Feature/&IndomitableResistanceAddDescription	+1 Indomabile Resistenza all'uso tra le pause.
Feature/&IndomitableResistanceAddTitle	Resistenza indomabile (aumentata)
Feature/&IndomitableResistanceTitle	Resistenza indomita
Feature/&MiretheMindTitle	Infanga la mente
Feature/&PowerAttackDescription	Prendi una penalità di -3 per colpire al tuo attacco per infliggere 3 + bonus di competenza danni extra quando sferri i tuoi colpi con armi da mischia.
Feature/&PowerAttackTitle	Attacco di POTENZA
Feature/&PowerPaladinAuraOfCourage18Description	Concede un bonus al tiro salvezza agli alleati entro 9 metri.
Feature/&PowerPaladinAuraOfCourage18Title	Aura di coraggio migliorata
Feature/&PowerPaladinAuraOfProtection18Description	Tu e i tuoi alleati entro 9 metri non potete spaventarvi.
Feature/&PowerPaladinAuraOfProtection18Title	Aura di protezione migliorata
Feature/&PowerTorchbearerDescription	Tenta di dare fuoco a un bersaglio in mischia!
Feature/&PowerTorchbearerTitle	tedoforo
Feature/&PrimalChampionDescription	Al 20° livello, incarni il potere delle terre selvagge. I tuoi punteggi di Forza e Costituzione aumentano di 4.
Feature/&PrimalChampionTitle	Campione Primordiale
Feature/&ProficiencyRogueBlindSenseDescription	A partire dal 14° livello, se sei in grado di sentire, sei consapevole della posizione di qualsiasi creatura nascosta o invisibile entro 3 metri da te.
Feature/&ProficiencyRogueBlindSenseTitle	Senso cieco
Feature/&ProficiencyRogueSlipperyMindDescription	Al 15° livello, hai acquisito maggiore forza mentale. Acquisisci competenza nei tiri salvezza di Saggezza.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente scivolosa
Feature/&RageDamageBonusAttackModifierDescription	Aggiungi +2 danni ai tuoi attacchi mentre sei in preda all'ira.
Feature/&RageDamageBonusAttackModifierTitle	Danno da rabbia
Feature/&RageFeatConditionDescription	Mentre sei arrabbiato ottieni quanto segue: vantaggio alle prove di Forza e ai tiri salvezza di Forza, un bonus ai tiri per i danni di +2 e resistenza ai danni contundenti, perforanti e taglienti.
Feature/&RageFeatConditionTitle	Infuriare
Feature/&RagePowerDescription	Come azione bonus, si entra in rabbia per un minuto e si ottengono i seguenti vantaggi: vantaggio alle prove di Forza e ai tiri salvezza di Forza, bonus ai tiri per i danni di +2 e resistenza ai danni contundenti, perforanti e taglienti.
Feature/&RagePowerTitle	Rabbia
Feature/&RageStrengthSavingThrowAffinityDescription	Ottieni vantaggio sui tiri salvezza sulla Forza mentre sei in preda all'ira.
Feature/&RageStrengthSavingThrowAffinityTitle	Vantaggio del salvataggio di Forza di rabbia
Feature/&RangerFeralSensesDescription	Acquisisci sensi soprannaturali che ti aiutano a combattere le creature che non puoi vedere. Quando attacchi una creatura che non puoi vedere, la tua incapacità di vederla non impone svantaggio ai tuoi tiri per colpire contro di essa.
Feature/&RangerFeralSensesTitle	Sensi selvaggi
Feature/&RangerVanishActionDescription	A partire dal 14° livello, puoi usare l'azione Nascondersi come azione bonus nel tuo turno.
Feature/&RangerVanishActionTitle	Svanire
Feature/&SignofIllOmenTitle	Segno di cattivo presagio
Feature/&TrickstersEscapeTitle	La fuga dell'imbroglione
Feature/&ZSPowerPaladinCleansingTouchDescription	Rimuovi gli effetti degli incantesimi toccando un alleato. Puoi farlo un numero di volte al giorno pari al tuo modificatore di Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Tocco detergente
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma accecante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Danno aggiuntivo e tentativo di applicare Cecità da Arma accecante
Feedback/&AdditionalDamageElementalDamageFormat	Danno Elementale
Feedback/&AdditionalDamageElementalDamageLine	La forma elementale garantisce danni aggiuntivi
Feedback/&AdditionalDamageResonatingStrikeFormat	Colpo risonante!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} risuona {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Anima potenziata!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered infligge danni aggiuntivi!
Feedback/&AdditionalDamageSunlightBladeFormat	Lama illuminata dal sole!
Feedback/&AdditionalDamageSunlightBladeLine	{0} brucia {1} con Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Danno potenziato
Feedback/&AdditionalDamageUpgradedConstructLine	Il costrutto potenziato infligge 1d8 danni in più per colpo.
Feedback/&ExtraDamageDescription	Danni extra da Lancia di illuminazione.
Feedback/&ExtraDamageTitle	Danno extra di Lightning Spear
Feedback/&NotifyEffectResonatingStrikeLine	{0} risuona {1}!
Format/&LevelAndExperienceFormat	Livello: {0}\nEsperienza: {1}\n{2} punti richiesti per raggiungere il livello {3}
Format/&LevelAndExperienceMaxedFormat	Livello: {0}\nEsperienza: {1}\nlivello massimo raggiunto
MainMenu/&ExportPdfDescription	Abbassa di livello questo eroe.
MainMenu/&ExportPdfTitle	Livello giù
Message/&CharacterExportDuplicateNameErrorDescription	Esportazione annullata:\n\nUn eroe con questo nome esiste già nella piscina.\nProva con un nome diverso.
Message/&CharacterExportEmptyNameErrorDescription	Esportazione annullata:\n\nProva con un nome non vuoto.
Message/&CharacterExportModalContentDescription	Inserisci il nome dell'eroe da esportare:
Message/&CharacterExportModalTitleDescription	Esportazione caratteri.
Message/&LevelDownConfirmationDescription	Abbassare di livello questo eroe?
Message/&LevelDownMultiplayerAbortDescription	Impossibile scendere di livello durante una sessione multiplayer.
Message/&MessageModWelcomeDescription	La Community Expansion Mod è ricca di interessanti funzionalità, ma per impostazione predefinita nessuna è abilitata. Premi <color=yellow>Ctrl-F10</color> per aprire l'interfaccia utente di Unity Mod Manager [UMM], quindi fai clic sull'icona delle impostazioni accanto a "Espansione della community" per aprire le pagine delle impostazioni.\n\n Esplora le opzioni e seleziona quelle che ti piacciono. L'interfaccia utente di UMM si aprirà ora.
Message/&MessageModWelcomeTitle	Espansione della Comunità Mod
Message/&RespecMultiplayerAbortDescription	Impossibile rispettare durante una sessione multiplayer o su una mappa di esplorazione.
Message/&SpawnCustomEncounterDescription	Genera l'incontro alle coordinate ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Impossibile generare incontri in una partita multiplayer. Ancora...
Message/&SpawnCustomEncounterTitle	Incontrare
Message/&TeleportPartyDescription	Teletrasportare il gruppo alle coordinate ({0}, {1})?\nPotresti interrompere missioni o mappe se ti teletrasporti in un luogo sconosciuto.
Message/&TeleportPartyTitle	Teletrasporto
Monster/&DHCustomCouatlDescription	I Couatl sono esseri serpentini benevoli di grande intelletto e intuizione. Le loro ali dai colori brillanti e i modi gentili parlano delle loro origini celesti.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Gufo familiare.
Monster/&OwlFamiliarTitle	Gufo
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Danno perforante e il bersaglio deve superare un tiro salvezza su Costituzione con CD 13 o essere avvelenato per 24 ore. Fino alla fine di questo veleno, il bersaglio è privo di sensi.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Mordere
Power/&FindFamiliarBundlePowerDescription	Evoca un famiglio sotto forma di Pseudorgagon, Sprite, Imp o Quasit.
Power/&FindFamiliarBundlePowerTitle	Trova familiare
Power/&HelpActionDescription	Puoi aiutare una creatura amica ad attaccare una creatura entro 1,5 metri da te. Finisci, distrai il bersaglio o in qualche altro modo fai squadra per rendere più efficace l'attacco del tuo alleato. Se il tuo alleato attacca il bersaglio prima del tuo prossimo turno, il primo tiro per colpire viene effettuato con vantaggio.
Power/&HelpActionTitle	Aiuto
Power/&PowerFunctionHandwrapsOfPullingDescription	Come azione bonus, puoi avvicinare a te una creatura entro 15 piedi.
Power/&PowerFunctionHandwrapsOfPullingTitle	Avvolgere
Reaction/&CoordinatedAttackDescription	{0} è stato attaccato da un attacco coordinato, alcuni personaggi possono usare la loro reazione per unirsi a questo attacco.
Reaction/&CoordinatedAttackReactDescription	Usa la reazione per attaccare il bersaglio.
Reaction/&CoordinatedAttackReactTitle	attacco
Reaction/&CoordinatedAttackTitle	Attacco coordinato
Reaction/&ReadiedAction{0}Description	Pronto {0}
Reaction/&ReadiedAction{0}Title	Pronto {0}
Reaction/&SpendPower{0}Description	Spendi {0}
Reaction/&SpendPower{0}Title	Spendi {0}
Reaction/&SpendPowerBundleDescription	Spendi potere.
Reaction/&SpendPowerBundleTitle	Spendi potere
Reaction/&SubitemSelectCoordinatedAttackTitle	Seleziona azione
Reaction/&SubitemSelectPowerBundleTitle	Opzioni
Reaction/&SubitemSelectSlotLevelTitle	Livello slot
Reaction/&SubitemSelectWarcasterReactionTitle	Seleziona azione
Reaction/&Use{0}Description	Usa {0}
Reaction/&Use{0}Title	Usa {0}
Reaction/&WarcasterAttackDescription	Attacca il bersaglio.
Reaction/&WarcasterAttackTitle	attacco
Reaction/&WarcasterReactionDescription	{0} sta lasciando un'area minacciata da uno o più personaggi.
Reaction/&WarcasterReactionReactDescription	Usa la reazione per attaccare il bersaglio.
Reaction/&WarcasterReactionReactTitle	attacco
Reaction/&WarcasterReactionTitle	Attacco di opportunità
Requirement/&FeatureSelectionRequireCharacterLevel	Livello {0}
Requirement/&FeatureSelectionRequireClassLevel	Livello {0} di {1}
RestActivity/&ZSRespecDescription	Rispetta questo eroe.
RestActivity/&ZSRespecTitle	Rispetta
RestActivity/&ZSSorcerousRestorationDescription	Recupera 4 punti stregoneria durante un breve riposo.
RestActivity/&ZSSorcerousRestorationTitle	Stregoneria Restauro
Rules/&AdvantageAttackOnEnemyDescription	Vantaggio per attaccare il nemico.
Rules/&AdvantageAttackOnEnemyTitle	Illuminato
Rules/&CounterFormDismissCreatureFormat	Congeda il costrutto Tinkerer
Rules/&DisadvantageOnAttackByEnemyDescription	Distratto da una scossa di fulmine.
Rules/&DisadvantageOnAttackByEnemyTitle	Sussultato
Rules/&ExtraDamageOnAttackConditionDescription	Danni extra da Lancia di illuminazione.
Rules/&ExtraDamageOnAttackConditionTitle	Statico scioccato
Screen/&EditorLocationSize3Title	Enorme [MODDED]
Screen/&EditorLocationSize4Title	Gigantesco [MODDED]
Sorceror/&ZSSorcerousRestorationDescription	Recupera 4 punti stregoneria durante un breve riposo.
Sorceror/&ZSSorcerousRestorationTitle	Stregoneria Restauro
Stage/&IdentityMorphotypeEyeHeader	Stile degli occhi
Stage/&SubclassSelectionStageSpecialistDescription	Descrizione Ci sono una vasta gamma di specialità in Tinkerers, tra cui fare elisir come Potion Maker, fare esplosioni come Blaster e maneggiare armi magiche come Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Caratteristiche specialistiche
Stage/&SubclassSelectionStageSpecialistHeader	Specializzazioni
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialista Nessuno Descrizione.
Stage/&SubclassSelectionStageSpecialistTitle	Seleziona Specializzazione
Subclass/&ConditionResistnatArmorDescription	La tua armatura è resistente ai danni da acido, freddo, fuoco, forza, fulmine, necrotico, veleno, psichico, radioso e tuono.
ToolTip/&CheckBoxDefaultPartyTitle	Seleziona questa casella per impostare la tua festa predefinita quando inizi nuove avventure o test di posizioni personalizzate. Puoi selezionare fino a {0} eroi in base al principio "first-in/first-out".
Tooltip/&DeadeyeConcentration	Disabilita Deadeye.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	Non sa {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	Ha un attacco invisibile
Tooltip/&FeatPrerequisiteIsNotBarbarian	Non è un barbaro
Tooltip/&FeatPrerequisiteIsNotFighter	Non è un combattente
Tooltip/&FeatPrerequisiteIsNotRogue	Non è un ladro
Tooltip/&FeatPrerequisiteLevelFormat	Livello personaggio minimo {0}
Tooltip/&PowerAttackConcentration	Disattiva attacco potente.
Tooltip/&Tag9000Title	Effetto personalizzato
Tooltip/&TagCommunityExpansionTitle	Espansione della comunità
Tooltip/&TagMaledictionTitle	Accidenti
Tooltip/&TagOtherModContentTitle	Dal mod
Tooltip/&TagPolearmWeaponTitle	Polearm
UI/&CustomFeatureSelectionStageDescription	Seleziona funzionalità extra dalla tua classe/sottoclasse.
UI/&CustomFeatureSelectionStageFeatures	Caratteristiche
UI/&CustomFeatureSelectionStageNotDone	È necessario selezionare tutte le funzionalità disponibili prima di procedere
UI/&CustomFeatureSelectionStageTitle	Selezione delle funzioni
UI/&CustomFeatureSelectionTooltipTypeCantrip	Trucchetto
UI/&CustomFeatureSelectionTooltipTypeFeature	Caratteristica
UI/&CustomFeatureSelectionTooltipTypePower	Potenza
UI/&CustomFeatureSelectionTooltipTypeProficiency	Competenza
UI/&ForcePreferredCantripDescription	Se questa opzione è attivata, può essere attivato solo il trucchetto preferito. Se il trucchetto preferito non è selezionato, verrà attivato il primo trucchetto valido, indipendentemente da questo interruttore.
UI/&ForcePreferredCantripTitle	Trucchetto preferito dalla forza
