ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Condition/&AncientForestPhotosynthesisTitle	Fotosintesi
Condition/&AncientForestRootedConditionDescription	I viticci arborei crescono dai tuoi piedi e scavano nel terreno. Puoi lanciare entangle a piacimento. La tua velocità diventa 0 e guadagni vantaggio su qualsiasi tiro salvezza per spingerti, tirarti o buttarti prono.
Condition/&AncientForestRootedConditionTitle	Radicato
Condition/&ApathyDescription	Indifferente alla creatura bersaglio a cui è ostile. Questa indifferenza termina se il bersaglio viene attaccato o danneggiato da un incantesimo dalla creatura bersaglio.
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Considera l'incantatore un alleato.
Condition/&CharmTitle	Ammaliato
Condition/&ClassMonkEmptyBodyConditionDescription	Hai resistenza a tutti i danni tranne la forza.
Condition/&ClassMonkEmptyBodyConditionTitle	Corpo vuoto
Condition/&ClassMonkOpenHandDistractConditionDescription	Non è possibile utilizzare le reazioni.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distratto
Condition/&ClassMonkStepOfTheWindConditionDescription	Puoi eseguire l'azione Disimpegno o Scattare come azione bonus e la tua distanza di salto viene raddoppiata per il turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Passo Del Vento
Condition/&ClassMonkTanquilityConditionDescription	Hai vantaggio sui tiri salvezza contro incantesimi e nemici hanno svantaggio che ti attaccano. Rimosso quando effettui un attacco o lanci un incantesimo.
Condition/&ClassMonkTanquilityConditionTitle	La tranquillità
Condition/&ClassMonkZenArrowDistractConditionDescription	Ha svantaggio al prossimo attacco.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distratto
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Ha svantaggio su tutti gli attacchi.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distratto
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Il movimento è impostato su 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Appuntato
Condition/&ConditionBarkWardDescription	Protetto dagli spiriti della foresta. Guadagna 4 HP temporanei per ogni livello di Druid, della durata di 10 minuti.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	Stai prendendo slancio...
Condition/&ConditionDualFlurryApplyTitle	Doppio colpo!
Condition/&ConditionDualFlurryGrantDescription	I tuoi nemici stanno vacillando!
Condition/&ConditionDualFlurryGrantTitle	Doppio colpo!
Condition/&ConditionImprovedBarkWardDescription	Gli spiriti della foresta infliggono 2d8 danni perforanti alle creature che colpiscono con un attacco in mischia.
Condition/&ConditionImprovedBarkWardTitle	Bark Ward migliorato
Condition/&ConditionMarkedByArcanistDescription	Afflitto dal Marchio dell'Arcanista. Quando viene colpito dall'incantatore con un attacco con un'arma, il marchio esplode, infliggendo 1d6 danni da forza agli afflitti e distruggendo il marchio.
Condition/&ConditionMarkedByArcanistTitle	Marchio dell'arcanista
Condition/&ConditionMuleDescription	La tua velocità non è ridotta da ingombro o armature pesanti. Puoi trasportare 20 sterline in più.
Condition/&ConditionMuleTitle	Mulo
Condition/&ConditionSuperiorBarkWardDescription	Gli spiriti della foresta concedono immunità al veleno e infliggono 3d8 danni perforanti alle creature che colpiscono con un attacco in mischia.
Condition/&ConditionSuperiorBarkWardTitle	Superiore Bark Ward
Condition/&DebilitatedConditionDescription	Soffri di una delle seguenti condizioni: accecato, rovinato, sanguinante o stordito.
Condition/&DebilitatedConditionTitle	Debilitato
Condition/&DHFeeblemindSpellDescription	I punteggi di Intelligenza e Carisma della creatura diventano 1. La creatura non può lanciare incantesimi, attivare oggetti magici, comprendere il linguaggio o comunicare in alcun modo intelligibile.
Condition/&DHFeeblemindSpellTitle	Mente debole
Condition/&DHForesightSpellDescription	Vantaggio su tutti i tiri per colpire, le prove di abilità e i tiri salvezza. Le altre creature hanno svantaggio ai tiri per colpire.
Condition/&DHForesightSpellTitle	Preveggenza
Condition/&DHHolyAuraSpellDescription	Vantaggio su tutti i tiri salvezza. Le altre creature hanno svantaggio ai tiri per colpire. Quando un demone o un non morto colpisce una creatura colpita con un attacco in mischia, l'attaccante deve superare un tiro salvezza di Costituzione o essere accecato fino al termine dell'incantesimo.
Condition/&DHHolyAuraSpellTitle	Protetto da Holy Aura
Condition/&DHMindBlankSpellDescription	Immune al danno psichico e alla condizione incantata.
Condition/&DHMindBlankSpellTitle	Mente vuota
Condition/&DHReverseGravitySpellDescription	Non posso muovermi.
Condition/&DHReverseGravitySpellTitle	Preso dalla gravità inversa
Condition/&DHTimeStopSpellDescription	Il tempo è congelato per la creatura colpita.
Condition/&DHTimeStopSpellTitle	Il tempo si è fermato
Condition/&DHWeirdSpellDescription	Spaventati. Alla fine di ogni turno, effettua un tiro salvezza su Saggezza. In caso di fallimento, subisci 4d10 danni psichici. In caso di successo, questa condizione termina.
Condition/&DHWeirdSpellTitle	Strano
Condition/&DisorientDescription	-1d6 ai tiri per colpire.
Condition/&DisorientTitle	Disorientato
Condition/&EvilEyeDescription	Spaventati. Incapace di avvicinarsi alla fonte della paura, svantaggio ai tiri per colpire e alle prove di caratteristica mentre la fonte della paura è in vista.
Condition/&EvilEyeTitle	Malocchio
Condition/&EWResonatingStrikeDamageDescription	Al 5° livello, gli attacchi innescati da questo trucchetto infliggono 1d8 danni da tuono addizionali. Il danno aumenta ulteriormente di 1d8 all'11° e al 17° livello.
Condition/&EWResonatingStrikeDamageTitle	Risonanza
Condition/&EWSunlightBladeDamageDescription	Al 5° livello, gli attacchi innescati da questo trucchetto infliggono 1d8 danni radianti aggiuntivi. Il danno aumenta ulteriormente di 1d8 all'11° e al 17° livello.
Condition/&EWSunlightBladeDamageTitle	L'ustione di Sunlit Blade
Condition/&FrenziedDescription	Questa creatura è frenetica e attaccherà la creatura più vicina.
Condition/&FrenziedTitle	Frenetico
Condition/&HalfLifeConditionDescription	Prendi energia necrotica in te stesso e sei sospeso tra la vita e la morte e sei temporaneamente posseduto dal tuo stesso fantasma, guadagnando il volo e le stesse immunità alle condizioni e resistenze ai danni degli altri fantasmi.
Condition/&HalfLifeConditionTitle	Metà vita
Condition/&HelpActionDescription	Questa creatura è stata distratta.
Condition/&HelpActionTitle	Distratto
Condition/&MoonTouchedConditionDescription	La tua gravità è negata.
Condition/&MoonTouchedConditionTitle	Luna toccata
Condition/&PoxDescription	Stato di vaiolo.
Condition/&PoxTitle	vaiolo
Condition/&RuinDescription	Penalità -3 AC, fino ad un massimo di -10 AC.
Condition/&RuinedDescription	Penalità -3 AC, fino ad un massimo di -10 AC.
Condition/&RuinedTitle	Rovinato
Condition/&RuinTitle	Rovina
Condition/&SentinelStopMovementConditionDescription	Impossibilitato a muoversi. Velocità impostata su 0.
Condition/&SentinelStopMovementConditionTitle	Fermato
Condition/&SwallowedByToadConditionDescription	Subisce 3d6 danni da acido ogni turno. Termina se l'incantatore subisce 15 o più danni in un singolo attacco.
Condition/&SwallowedByToadConditionTitle	Inghiottito dal rospo
Condition/&SwallowingToadConditionDescription	Termina se vengono subiti 15 o più danni in un singolo attacco.
Condition/&SwallowingToadConditionTitle	Rospo ingoiato
ContentPack/&CommunityExpansionPackDescription	Il pacchetto di espansione della comunità aggiunge nuove classi, sottoclassi, talenti e incantesimi. C'è un limite di livello superiore, multi-classe, funzionalità QOL, correzioni di bug e altro ancora. È un vero e proprio Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Pacchetto di espansione della comunità
CraftyFeats/&ApothecaryIntFeatDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nAcquisisci competenza con il kit di erboristeria e Arcana, o competenza se già esperto.
CraftyFeats/&ApothecaryIntFeatTitle	Speziale (Intelligence)
CraftyFeats/&ApothecaryWisFeatDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.\nAcquisisci competenza con il kit di erboristeria e Arcana, o competenza se già esperto.
CraftyFeats/&ApothecaryWisFeatTitle	Speziale (Saggezza)
CraftyFeats/&AttributeDexDescription	+1 DEX fino a un massimo di 20
CraftyFeats/&AttributeDexTitle	Destrezza
CraftyFeats/&AttributeIntDescription	+1 INT fino a un massimo di 20
CraftyFeats/&AttributeIntTitle	Intelligenza
CraftyFeats/&AttributeWisDescription	+1 WIS fino a un massimo di 20
CraftyFeats/&AttributeWisTitle	Saggezza
CraftyFeats/&CraftyArcanaDescription	Ottieni competenza/competenza in Arcana.
CraftyFeats/&CraftyBowsDescription	Acquisisci competenza con tutti gli archi e le balestre.
CraftyFeats/&CraftyBowsTitle	Competenza con l'arco
CraftyFeats/&CraftyFletcherFeatDescription	Aumenta la tua Destrezza di 1, fino a un massimo di 20.\nAcquisisci competenza con gli strumenti del fabbro o esperienza se sei già esperto.\n Acquisisci competenza con tutti gli archi e le balestre.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Acquisisci competenza/esperienza in Medicina.
CraftyFeats/&CraftyNatureDescription	Ottieni competenza/esperienza in Natura.
CraftyFeats/&CraftyScribeFeatDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nOttieni competenza con il kit di pergamene e gli Arcani, o competenza se già abile.\nRichiede la capacità di lanciare incantesimi.
CraftyFeats/&CraftyScribeFeatTitle	Scriba
CraftyFeats/&CraftySkillsTitle	Abilità
CraftyFeats/&CraftyToolsTitle	Strumenti
CraftyFeats/&ManacalonCrafterFeatDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nOttieni competenza con il rosario manacolon e gli Arcani, o competenza se già abile.\nRichiede la capacità di lanciare incantesimi.
CraftyFeats/&ManacalonCrafterFeatTitle	Artigiano di Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nOttieni competenza con il kit dell'avvelenatore e la Natura, o competenza se già abile.
CraftyFeats/&ToxicologistIntFeatTitle	Tossicologo (Intelligence)
CraftyFeats/&ToxicologistWisFeatDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.\nOttieni competenza con il kit dell'avvelenatore e Medicina, o competenza se già abile.
CraftyFeats/&ToxicologistWisFeatTitle	Tossicologo (Saggezza)
DamageAffinity/&DHHolyAuraSpellDescription	Quando un demone o un non morto colpisce con un attacco in mischia, l'aura lampeggia di luce brillante e l'attaccante deve superare un tiro salvezza di Costituzione o essere accecato fino al termine dell'incantesimo.
DamageAffinity/&DHHolyAuraSpellTitle	Ritorsione dell'Aura Sacra
Equipment/&ArcaneStaffDescription	Questo bastone è inciso con una scrittura magica e può essere usato come punto focale per lanciare incantesimi Arcani.
Equipment/&ArcaneStaffTitle	Bastone Arcano
Equipment/&CEHalberdTypeTitle	Alabarde
Equipment/&CEHandXbowTypeTitle	Balestre a mano
Equipment/&CELongMaceTypeTitle	Mazze lunghe
Equipment/&CEPikeTypeTitle	Picchi
Equipment/&DruidicAmuletDescription	Questo amuleto totemico può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&DruidicAmuletTitle	Amuleto druidico
Equipment/&Enchanted_Club_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Club dell'Acutezza
Equipment/&Enchanted_Club_Bearclaw_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Le punte aguzze dell'artiglio dell'orso distruggono l'armatura per infliggere danni aggiuntivi. La prima arma di questo tipo è stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Club degli artigli d'orso
Equipment/&Enchanted_Club_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_Club_Lightbringer_Title	Club dei Portatori di Luce
Equipment/&Enchanted_Club_Power_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Alcune creature rispettano solo le forze fisiche. Gli arcanisti di Manacalon hanno creato questo club per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Club_Power_Title	Club del potere
Equipment/&Enchanted_Club_Punisher_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. La combinazione del miglior metallo e Slavestone ha conferito a questa ascia un incredibile potere perforante.
Equipment/&Enchanted_Club_Punisher_Title	Club dei Punitori
Equipment/&Enchanted_Dart_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo di acutezza
Equipment/&Enchanted_Dart_Frostburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. È stato progettato da Keliandir Moltenheart, che ha forgiato quest'arma per combattere le salamandre dopo che un'esplorazione dei piani elementali è andata storta.
Equipment/&Enchanted_Dart_Frostburn_Title	Freccetta Gelata
Equipment/&Enchanted_Dart_Sharpness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo di nitidezza
Equipment/&Enchanted_Dart_Souldrinker_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Una delle preferite dagli agenti Silent Whisper, quest'arma è stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo bevitore di anime
Equipment/&Enchanted_Handaxe_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Ascia dell'acutezza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. È stato progettato da Keliandir Moltenheart, che ha forgiato quest'arma per combattere le salamandre dopo che un'esplorazione dei piani elementali è andata storta.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Ascia da ustione da gelo
Equipment/&Enchanted_Handaxe_Sharpness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Ascia della nitidezza
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Una delle preferite dagli agenti Silent Whisper, quest'arma è stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Ascia del bevitore di anime
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri arcieri di Colthannin. Il suo design originale portava il sigillo di Defineth Sharpsight, un famoso incantatore elfo silvano.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Balestra pesante di precisione
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri arcieri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Balestra pesante Portatrice di luce
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri arcieri di Colthannin. La magia ha unito corallo medusa e legno duro per creare un arco micidiale, preferito dalle squadre di imbarco degli halfling dell'isola.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa balestra pesante
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri arcieri di Colthannin. Il Coedymwarth preferiva trattare gli arcanisti di Manacalon fisicamente piuttosto che magicamente. I suoi migliori arcieri hanno ricevuto balestre, la creazione di Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Balestra pesante del tiro a segno
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri arcieri di Colthannin. È stato progettato da Galar Stromforge, il primo fabbro nano a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Balestra della tempesta pesante
Equipment/&Enchanted_HideArmor_Deflection_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Deflection_Title	Nascondi l'armatura della deviazione
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Nascondi l'Armatura della Danza delle Fiamme
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Nascondi l'Armatura del Cammino del Gelo
Equipment/&Enchanted_HideArmor_Robustness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Robustness_Title	Nascondi Armatura della Robustezza
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Nascondi Armatura della Robustezza
Equipment/&Enchanted_HideArmor_Survival_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_HideArmor_Survival_Title	Nascondi Armatura della Sopravvivenza
