ModUi/&AddAllToStore	Aggiungi tutti al negozio
ModUi/&EnableSaveByLocation	Abilitare il salvataggio per campagne/luoghi
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Abilita la ricarica di un breve riposo di <color=#FFA500>Arma Arcana</color> su <color=#FFA500>Mago</color> Combattente Arcano
ModUi/&EnableTeleportParty	Abilita <color=#00FFFF>CTRL-SHIFT-(T</color>)eleport party <i><color=#FFFF00>[potresti interrompere le missioni o le mappe se ti teletrasporti in un luogo sconosciuto]</color></i>.
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Abilita i toggle sul pool di personaggi per impostare il party di gioco e di prova predefinito
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Abilita il recupero illimitato di <color=#FFA500>Arcano</color> su <color=#FFA500>Maestro degli incantesimi</color>\n<i><color=#FF00>Deve essere abilitato quando l'abilità ha usi disponibili o prima della creazione del personaggio</color></i>.
ModUi/&EnableUpcastConjureElementalAndFey	Abilita l'upcast di <color=#FFA500>Invocare Elementale</color>, <color=#FFA500>Invocare Fey</color>.
ModUi/&Encounters	Incontri
ModUi/&ExecuteBatchTranslations	. Tradurre invece in batch per creare un nuovo file di campagna tradotto\n. Le campagne vengono salvate nel pool con il prefisso della lingua di destinazione.
ModUi/&ExpandAll	Espandi tutto
ModUi/&FactionHelp	<color=#C04040E0>Caricare una campagna ufficiale per modificare le relazioni tra le fazioni...</color>
ModUi/&FactionRelations	<color=#FFFF00>Relazioni di fazione:</color>
ModUi/&FasterTimeModifier	<color=#FFFFFF>Modificatore del tempo di gioco quando si preme la barra spaziatrice</color>
ModUi/&Feats	<color=#FFFF00>Feat</color>
ModUi/&FeatsFightingStyles	Gesti e stili di combattimento
ModUi/&FightingStyles	<color=#FFFF00>Stili di combattimento</color>
ModUi/&FixSorcererTwinnedLogic	Correggere l'uso della metamagia gemella <color=#FFA500>Sorcerer</color> <i><color=#FFFF00>[un incantesimo deve essere incapace di colpire più di una creatura al livello corrente dell'incantesimo]</color></i>
ModUi/&FollowCharactersOnTeleport	La telecamera segue i personaggi teletrasportati
ModUi/&FullyControlConjurations	Controllo completo delle evocazioni <i><color=#FFFF00>[animali, elementali, ecc]</color></i>
ModUi/&Gameplay	Gioco
ModUi/&GameUi	Interfaccia utente del gioco
ModUi/&General	<color=#FFFF00>Generali:</color>
ModUi/&GeneralMenu	Generale
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Nascondere gli effetti visivi delle uscite e dei teletrasporti se non ancora scoperti.
ModUi/&HideMonsterHitPoints	Visualizzare la salute dei mostri in passi di 25% / 50% / 75% / 100% invece che in punti ferita esatti.
ModUi/&HiderArmor	Nascondi armatura
ModUi/&House	<color=#FFFF00>Casa:</color>
ModUi/&IncreaseSenseNormalVision	<color=#FFFF>Aumenta il raggio d'azione di <color=#FFA500>Visione normale</color> per consentire attacchi a lungo raggio</color> <i><color=#FFFF00>[40 è l'ideale per evitare che i nemici si uniscano da troppo lontano]</color></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&InitialChoices	<color=#FFFF00>Scelte iniziali:</color>
ModUi/&Interface	Interfaccia
ModUi/&InventoryAndItems	<color=#FFFF00>Inventario e articoli:</color>
ModUi/&InvertAltBehaviorOnTooltips	Invertire il comportamento dei tasti <color=#00FFFF>ALT</color> nei tooltip
ModUi/&ItemInDm	Oggetti in DM
ModUi/&Items	<color=#FFFF00>Oggetti:</color>
ModUi/&ItemsCraftingMerchants	Oggetti, Artigianato e Mercanti
ModUi/&ItemsHelp1	<color=#C04040E0>Per aggiungere oggetti agli eroi, è necessario che la schermata di ispezione del personaggio sia aperta...</color>
ModUi/&ItemsHelp2	. Premere + per aggiungere oggetti al contenitore a terra sul pannello di ispezione.
ModUi/&KeyboardMouse	Tastiera e mouse
ModUi/&MakeAllMagicStaveArcaneFoci	Rendi tutti i bastoni magici foci arcani <i><color=#FFFF00>[tranne <color=#FFA500>Bastone della Guarigione</color> che è Universale]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>.
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Segna anche la posizione dei teletrasporti invisibili sulla mappa del livello dopo la scoperta</i>
ModUi/&MaxAllowedClasses	<color=#FFFF>Classi massime consentite</color> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=#FFFF>Massimo file di backup per località o campagna</color>
ModUi/&MaxBackupHelp	. I file di backup sono salvati in <i><color=#FFFF00>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>.
ModUi/&MaxSpellLevelsPerLine	<color=#FFFF>Livelli massimi per riga nel Pannello degli Incantesimi</color>
ModUi/&Merchants	<color=#FFFF00>Mercanti:</color>
ModUi/&Monsters	<color=#FFFF00>Mostri:</color>
ModUi/&Multiclass	<color=#FFFF00>Multiclasse:</color>
ModUi/&MulticlassKeyHelp	<color=#00FFFF>SHIFT</color> cliccare su un incantesimo consuma uno slot incantesimo invece di quello predefinito della magia patto
ModUi/&MultiplyTheExperienceGainedBy	<color=#FFFF>Moltiplica l'esperienza acquisita per</color> <color=#C04040E0>[%]</color>
ModUi/&NoExperienceOnLevelUp	Non è richiesta esperienza per salire di livello
ModUi/&NotAvailable	Nessun {0} disponibile per questa mod...
ModUi/&OfferAdditionalLoreFriendlyNames	Offrire nomi aggiuntivi di interesse storico alla creazione del personaggio
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Mostra solo le creature più potenti nell'elenco delle evocazioni</i>.
ModUi/&OverrideMinMaxLevel	Sovrascrivere i livelli minimi e massimi richiesti quando si iniziano nuove avventure
ModUi/&OverridePartySize	<color=#FFFF>Sovrascrivere le dimensioni del gruppo nelle avventure personalizzate</color>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=#FFFFFF>Sovrascrivere <color=#FFA500>Rogue</color> Artista dei Con <color=#FFA500>Manipolazione migliorata</color> DC incantesimi</color>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=#FFFF>Override <color=#FFA500>Maestro Manipolatore</color> <color=#FFA500>Manipolazione Arcana</color> DC Incantesimi</color>
ModUi/&OverwriteGameLanguage	<color=yellow>Sovrascrivi la lingua del gioco:</color>
ModUi/&Patches	<color=#FFFF00>Tappe:</color>
ModUi/&PrimedItems	Oggetti innescati
ModUi/&Progression	<color=#FFFF00>Progressione:</color>
ModUi/&QuickCastLightCantripOnWornItemsFirst	Il cantrip leggero a lancio rapido utilizza prima gli oggetti indossati dalla testa o dal busto
ModUi/&Races	<color=#FFFF00>Razze e Sottorazze</color>
ModUi/&RacesClassesSubclasses	Razze, classi e sottoclassi
ModUi/&RecipeCost	<color=#FFFFFF>Costo della ricetta</color>
ModUi/&RecipesInDm	Ricette in DM
ModUi/&RelicForgeries	Falsificazione di reliquie
ModUi/&RemoveAttunementRequirements	Rimuovere i requisiti di sintonia <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveBugVisualModels	Sostituire i modelli con bug con immagini alternative nel gioco <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Rimuovere il requisito della concentrazione da qualsiasi incantesimo <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&RemoveHumanoidFilterOnHideousLaughter	Rimuovi il filtro umanoide su <color=orange>Risate orribili</color> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Rimuovere i requisiti di identificazione <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&RemoveRecurringEffectOnEntangle	Applica l'effetto <color=orange>Intrappola</color> solo al momento del lancio <i><color=yellow>[i.e.: nessun effetto ricorrente]</color></i> <b><i><color=#C04040E0 >[Richiede il riavvio]</color></i></b>
ModUi/&RestockAntiquarians	Ripristinare gli Antiquari <i><color=#FFFF00>[Halman Summer]</color></i>
ModUi/&RestockArcaneum	Ripristinare l'Arcaneum <i><color=#FFFF00>[Heddlon Surespell]</color></i>
ModUi/&RestockCircleOfDanantar	Ripristinare il Circolo di Danantar <i><color=#FFFF00>[Joriel Foxeye]</color></i>.
ModUi/&RestockHelp	. Annulla le impostazioni predefinite per forzare il rifornimento di tutte le scorte di un mercante nel tempo (esclusi Manuali e Tomi)\n. Si noti che alcuni oggetti possono richiedere fino a 7 giorni di gioco per essere riforniti.
ModUi/&RestockTowerOfKnowledge	Ripristino della Torre del Sapere <i><color=#FFFF00>[Maddy Greenisle]</color></i>.
ModUi/&Rules	Regole
ModUi/&ScaleMerchantPricesCorrectly	Scala i prezzi dei mercanti in modo corretto/esatto
ModUi/&SelectAll	Selezionare Tutti
ModUi/&SelectSuggested	Seleziona suggerito
ModUi/&Services	Servizi
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=#FFFFFF>Impostare le probabilità di comparsa della barba durante l'uso della</color> <color=#FFA500>Cintura dei Nani</color>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Mostra la ricetta di crafting nei tooltip dettagliati
ModUi/&ShowDescriptions	Mostra descrizioni
ModUi/&SpellInstructions	. È possibile assegnare individualmente ogni incantesimo a qualsiasi lista di incantesimi o semplicemente selezionare l'insieme suggerito.
ModUi/&SpellLevelFilter	<b><i><color=#FFFFFF>filtro livello incantesimi</color> <color=#FFFF00>[-1 per visualizzare tutti gli incantesimi]</color></i></b>
ModUi/&Spells	<color=#FFFF00>Incantesimi:</color>
ModUi/&SpellsMenu	Incantesimi
ModUi/&SRD	<color=#FFFF00>SRD:</color>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Riempie il negozio di Gorim con tutti gli abiti non magici <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Ripone nel negozio di Hugo la <color=#FFA500>Bacchetta di Identificazione</color>, il <color=#FFA500> Bastone di Arcano</color>, il <color=#FFA500>Collo da Druido</color>, il <color=#FFA500>Bastone</color> e il <color=#FFA500>Club</color> come oggetti foci.
ModUi/&Subclasses	<color=#FFFF00>Sottoclassi</color>
ModUi/&TargetLanguage	Lingua di destinazione
ModUi/&Tools	Strumenti
ModUi/&TotalFeatsGrantedFistLevel	<color=#FFFFFF>Totale delle imprese concesse al primo livello</color>
ModUi/&Translate	Tradurre
ModUi/&TranslateCancel	Annulla {0} a {1}
ModUi/&TranslationEngine	Motore di traduzione
ModUi/&Translations	Traduzioni
ModUi/&UnleashEnemyAsNpc	Permettere la selezione dei mostri sui gadget dei PNG <i><color=#FFFF00>[premere <color=#00FFFF>CTRL</color> mentre si fa clic su Seleziona nel pannello dei gadget]</color></i>
ModUi/&UnleashNpcAsEnemy	Consentire la selezione dei PNG sui gadget dei mostri <i><color=#FFFF00>[premere <color=#00FFFF>CTRL</color> mentre si fa clic su Seleziona nel pannello dei gadget]</color></i>
ModUi/&UnlockAllNpcFaces	Sblocca tutti i volti dei PNG
ModUi/&UnlockEyeStyles	Sblocca gli stili degli occhi
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Sblocca i colori luminosi per tutti i segni e i tatuaggi
ModUi/&UnlockGlowingEyeColors	Sblocca i colori degli occhi luminosi
ModUi/&UnlockMarkAndTatoosForAllCharacters	Sblocca marcature e tatuaggi per tutti i personaggi
ModUi/&UsableDevice	<color=#FFFF00>Dispositivo utilizzabile</color>
ModUi/&UseHeightOneCylinderEffect	Mostra un effetto cilindro di altezza 1 quando lanci <color=orange>Black Tentacles, Entangle, Grease</color> (quadrato) e <color=orange>Spike Growth</color> (tondo)
ModUi/&UseOfficialAdvantageDisadvantageRules	Usa le regole ufficiali di vantaggio/svantaggio
ModUi/&Visuals	<color=#FFFF00>Visuali:</color>
ModUi/&Weapon	<color=#FFFF00>Armi</color>
ModUi/&TotalCraftingTimeModifier	<color=white>Riduci il tempo di creazione di</color>
ModUi/&ChangeSleetStormToCube	Cambia <color=orange>Sleet Storm</color> per usare un cubo invece di un cilindro
