Gadget/&CampfireTitle	Feu de camp
Gadget/&LavaBulbDescription	Une étrange fleur qui s'embrase lorsqu'elle subit des dégâts ou qu'un joueur s'approche d'elle.
Gadget/&GrateDoorTitle	Porte métallique
Gadget/&GrateDoorDescription	Une simple porte métallique
Gadget/&ParameterAdditionalLootTitle	Butin supplémentaire
Gadget/&ParameterAdditionalLootDescription	Une liste d'objets supplémentaires lâchés par la créature à sa mort
Gadget/&NpcIdleTitle	PNJ inactif
Gadget/&NpcIdleDescription	Un personnage non jouable sans interaction. Il sert à décorer un environnement.
Gadget/&NpcBanterTitle	PNJ badin
Gadget/&NpcBanterDescription	Un personnage non jouable qui a une réplique très simple quand on interagit avec lui. Cela peut être un civil ou un garde de la ville.
Gadget/&NpcMerchantTitle	Marchand
Gadget/&NpcMerchantDescription	Un PNJ qui offre des services de commerce et permet d'acheter/vendre des objets
Gadget/&ParameterCharacterTitle	Personnage
Gadget/&ParameterCharacterDescription	Le PNJ invoqué par ce gadget
Gadget/&ParameterBanterTitle	Badinage
Gadget/&ParameterBanterDescription	Le texte au ton badin affiché par ce personnage
Gadget/&ParameterMerchantInventoryTitle	Inventaire de marchand
Gadget/&ParameterMerchantInventoryDescription	Définit les services et objets proposés par le marchand.
Gadget/&CampBedTitle	Lit pour repos long
Gadget/&CampBedDescription	Un lit interactif permettant d'entamer un repos long
Gadget/&InteractiveTorch_HighWallsTitle	Torche interactive (murs hauts)
Gadget/&InteractiveTorch_HighWallsDescription	Ne peut s'utiliser que sur des murs hauts
Gadget/&InteractiveTorch_ThinWallsTitle	Torche interactive (murs fins)
Gadget/&InteractiveTorch_ThinWallsDescription	Ne peut s'utiliser que sur des murs fins
Gadget/&SimpleThinDoorTitle	Porte simple
Gadget/&SimpleThinDoorDescription	Une simple porte à ouvrir
Gadget/&Bridge_EntranceTitle	Porte double pour pont
Gadget/&Bridge_EntranceDescription	À n'utiliser que dans la salle d'entrée de la ville
Gadget/&DoubleStairsDoorTitle	Porte double pour escaliers
Gadget/&DoubleStairsDoorDescription	À utiliser avec les escaliers
Gadget/&CreatureDestroyerTitle	Destructeur de créatures
Gadget/&CreatureDestroyerDescription	Détruit toutes les créatures (monstres et PNJ) qui correspondent à l'indice de rencontre spécifique tel que défini dans le gadget d'apparition de créatures. Les créatures sont détruites de manière permanente et ne peuvent pas réapparaître. Ce gadget doit être activé par un déclencheur.
Gadget/&ParameterDestroyedEncounterIndexTitle	Indice de rencontre (à détruire)
Gadget/&ParameterDestroyedEncounterIndexDescription	Indique l'indice de rencontre des créatures à détruire
Gadget/&ParameterParam_EnabledTitle	Activé
Gadget/&ParameterParam_EnabledDescription	Le gadget est-il activé par défaut, ou doit-il être activé à distance par un gadget de déclenchement ?
Gadget/&TeleportIndividualTitle	Téléporteur (Individuel)
Gadget/&TeleportIndividualDescription	Transporte un personnage qui monte dessus à l'emplacement du gadget de destination (un nœud par exemple)
Gadget/&TeleportPartyTitle	Téléporteur (Groupe)
Gadget/&TeleportPartyDescription	Transporte le groupe à l'emplacement du gadget de destination (un gadget d'entrée par exemple). Il faut que l'ensemble du groupe soit sur ce gadget pour qu'il s'active
Gadget/&NodeTitle	Nœud
Gadget/&NodeDescription	Un simple gadget qui sert à indiquer un emplacement ou une destination (un téléporteur par exemple)
Gadget/&ParameterDestinationTitle	Destination
Gadget/&ParameterDestinationDescription	Le gadget de destination utilisé par un téléporteur
Gadget/&ParameterInvisibleTitle	Invisible
Gadget/&ParameterInvisibleDescription	La base du téléporteur et son effet magique sont masqués
Gadget/&ParameterExitLoreTitle	Savoir de sortie
Gadget/&ParameterExitLoreDescription	Un texte du savoir affiché lorsque le gadget de sortie est utilisé. Si vous laissez cette section vide, rien ne s'affichera
Gadget/&ParameterLocationsListTitle	Liste des lieux
Gadget/&ParameterLocationsListDescription	La liste de tous les lieux possibles où mène cette sortie. Une fenêtre apparaîtra pour permettre à l'utilisateur de sélectionner la destination souhaitée
Gadget/&ParameterDisplayedTitleTitle	Titre affiché
Gadget/&ParameterDisplayedTitleDescription	Le nom affiché dans la fenêtre de sélection pour ce lieu. Si cette section est laissée vide, le nom du lieu est choisi par défaut
Gadget/&VirtualExitTitle	Sortie virtuelle
Gadget/&VirtualExitDescription	Un gadget de sortie à placer au-dessus des murs ou des portes, qui s'active en passant la souris dessus
Gadget/&ExitMultipleTitle	Sorties (multiples)
Gadget/&ExitMultipleDescription	Un gadget qui fournit au groupe plusieurs choix de sortie
Gadget/&VirtualExitMultipleTitle	Sorties virtuelles (multiples)
Gadget/&VirtualExitMultipleDescription	Une sortie virtuelle qui autorise plusieurs destinations
Gadget/&ParameterParam_ToggleTitle	Interrupteur
Gadget/&ParameterParam_ToggleDescription	Le déclencheur se désactvera ou s'activera à chaque fois qu'on appuiera dessus, et non plus une fois qu'on aura appuyé puis relâché
Gadget/&ParameterParam_DefaultAsEnabledTitle	Activé
Gadget/&ParameterParam_DefaultAsEnabledDescription	Détermine si ce déclencheur est activé par défaut
Gadget/&ParameterMultiLineTitle	Répliques multiples
Gadget/&ParameterMultiLineDescription	Cocher cette option permet de modifier plusieurs plaisanteries
Gadget/&ParameterRandomPlayTitle	Plaisanteries aléatoires
Gadget/&ParameterRandomPlayDescription	Cocher cette option affichera les plaisanteries dans un ordre aléatoire. Sinon, elles apparaîtront toujours dans le même ordre
Gadget/&ParameterBanterLinesTitle	Plaisanteries
Gadget/&ParameterBanterLinesDescription	La liste des plaisanteries prononcées par cette créature
Gadget/&ActivatorRollTitle	Déclencheur à jet
Gadget/&ActivatorRollDescription	Un déclencheur qui nécessite un jet de sauvegarde ou un jet de caractéristique réussi pour être utilisé
Gadget/&ParameterIsAbilityCheckTitle	Jet de caractéristique réussi ?
Gadget/&ParameterIsAbilityCheckDescription	Si cette affirmation est fausse, on procède à la place à un jet de sauvegarde
Gadget/&ParameterRollDCTitle	DD du jet
Gadget/&ParameterRollDCDescription	Le degré de difficulté pour réussir le jet de sauvegarde ou de caractéristique
Gadget/&ParameterAbilityScoreTitle	Valeur de caractéristique
Gadget/&ParameterAbilityScoreDescription	La valeur de caractéristique dont le modificateur est ajouté au jet
Gadget/&ParameterProficiencyTitle	Maîtrise
Gadget/&ParameterProficiencyDescription	La maîtrise (de compétence ou d'outil) utilisée pour déterminer si le bonus de maîtrise peut être ajouté au jet
Gadget/&ParameterSuccessActivationsTitle	Activations en cas de succès
Gadget/&ParameterSuccessActivationsDescription	La liste des gadgets à activer si le jet est réussi
Gadget/&ParameterFailureActivationsTitle	Activations en cas d'échec
Gadget/&ParameterFailureActivationsDescription	La liste des gadgets à activer si le jet est raté
Gadget/&GrantXPTitle	Octroie des PX
Gadget/&GrantXPDescription	Lorsqu'il est activé par un déclencheur à distance, ce gadget fournit des points d'expérience au groupe
Gadget/&ParameterXpGainTitle	Gain de PX fixe
Gadget/&ParameterXpGainDescription	La quantité fixe de points d'expérience gagnés
Gadget/&ParameterRequiredLevelTitle	Niveau requis
Gadget/&ParameterRequiredLevelDescription	Le niveau requis pour tous les membres du groupe. Vous ne gagnez rien si le personnage possède déjà les PX requis
Gadget/&ParameterFlatGainTitle	Gain fixe
Gadget/&ParameterFlatGainDescription	Si vous cochez ceci, une quantité fixe de PX est attribuée à chaque membre du groupe. Sinon, le gadget fait en sorte que chaque membre du groupe ait assez d'expérience pour atteindre le niveau demandé
Gadget/&GrantItemTitle	Octroie un objet
Gadget/&GrantItemDescription	Le gadget octroie l'objet spécifique au premier membre du groupe conscient et capable de le porter
Gadget/&ParameterGainedItemTitle	Objet remporté
Gadget/&ParameterGainedItemDescription	L'objet octroyé par cette opération
Gadget/&ParameterExecutionScopeTitle	Champ d'utilisation
Gadget/&ParameterExecutionScopeDescription	Ceci peut être utilisé pour préciser si le gadget ne fonctionne qu'en combat ou que pendant l'exploration
Gadget/&ParameterExecutionScopeAllTitle	Toutes
Gadget/&ParameterExecutionScopeAllDescription	Ce gadget fonctionne dans toutes les situations
Gadget/&ParameterExecutionScopeExplorationOnlyTitle	Uniquement en exploration
Gadget/&ParameterExecutionScopeExplorationOnlyDescription	Ce gadget ne fonctionne que pendant l'exploration
Gadget/&ParameterExecutionScopeBattleOnlyTitle	Uniquement en combat
Gadget/&ParameterExecutionScopeBattleOnlyDescription	Ce gadget ne fonctionne qu'en combat
Gadget/&ParameterDurationTypeTitle	Type de durée
Gadget/&ParameterDurationTypeDescription	Le type de durée définit le moment où le gadget se déclenchera
Gadget/&ParameterDurationTypeRoundTitle	Round
Gadget/&ParameterDurationTypeRoundDescription	En dehors d'un combat, un round dure 6 secondes
Gadget/&ParameterDurationTypeMinuteTitle	Minute
Gadget/&ParameterDurationTypeMinuteDescription	Il y a 10 rounds par minute
Gadget/&ParameterDurationTypeHourTitle	Heure
Gadget/&ParameterDurationTypeHourDescription	Une heure en temps réel
Gadget/&ParameterDurationTypeDayTitle	Jour
Gadget/&ParameterDurationTypeDayDescription	Un jour en temps réel
Gadget/&ParameterDurationValueTitle	Valeur de la durée
Gadget/&ParameterDurationValueDescription	Le nombre d'unités du type de durée choisi (10 rounds, par exemple)
Gadget/&ParameterParam_RepeatingTitle	Répétition
Gadget/&ParameterParam_RepeatingDescription	Détermine si le déclencheur se relance pour la même durée une fois activé
Gadget/&ActivatorEntryDescription	Un déclencheur qui s'active lorsque quelqu'un entre dans un donjon. Étant donné que le gadget ne réagit ni à l'emplacement des personnages ni aux interactions, celui-ci peut être placé n'importe où dans un donjon
Gadget/&QuestOperationTitle	Opération de quête
Gadget/&QuestOperationDescription	Permet de débuter une quête ou de mettre à jour son progrès. Utile pour faire avancer des étapes de quête avec un valideur « délégué »
Gadget/&ActivatorQuestUpdateTitle	Déclencheur de mise à jour de quête
Gadget/&ActivatorQuestUpdateDescription	Un déclencheur déclenché lorsqu'une quête est mise à jour d'une certaine façon
Gadget/&ParameterQuestOperationTypeTitle	Type d'opération
Gadget/&ParameterQuestOperationTypeDescription	Le type d'opération effectué sur la quête spécifiée
Gadget/&ParameterQuestOperationTypeStartQuestTitle	Débuter la quête
Gadget/&ParameterQuestOperationTypeStartQuestDescription	Débute la quête spécifiée. Pas d'effet si la quête a déjà été débutée
Gadget/&ParameterQuestOperationTypeAchieveStepTitle	Compléter l'étape
Gadget/&ParameterQuestOperationTypeAchieveStepDescription	Compléter une étape de quête avec le numéro d'issue spécifié (1, 2…). Cela peut signifier un succès ou un échec, selon le marquage de l'issue
Gadget/&ParameterQuestOperationTypeFailQuestTitle	Échec de la quête
Gadget/&ParameterQuestOperationTypeFailQuestDescription	Marque immédiatement la quête comme échouée et arrête toutes ses étapes actives
Gadget/&ParameterQuestNameTitle	Nom de la quête
Gadget/&ParameterQuestNameDescription	Le nom interne (non affiché à l'utilisateur) de la quête sur laquelle l'opération est effectuée. Rien ne se passe si le nom de la quête est introuvable dans la campagne
Gadget/&ParameterQuestStepNameTitle	Nom de l'étape
Gadget/&ParameterQuestStepNameDescription	Le nom interne (non affiché à l'utilisateur) de l'étape de quête en cours de modification. Pas d'effet si l'étape est inactive
Gadget/&ParameterQuestStepOutcomeTitle	Numéro d'issue
Gadget/&ParameterQuestStepOutcomeDescription	Le numéro d'issue à déclencher dans l'étape de quête actuelle. 1 = première issue, 2 = deuxième, etc.
Gadget/&ParameterQuestUpdateTypeTitle	Type de mise à jour
Gadget/&ParameterQuestUpdateTypeDescription	Le type de mise à jour de la quête
Gadget/&ParameterQuestUpdateTypeQuestStartedTitle	Quête débutée
Gadget/&ParameterQuestUpdateTypeQuestStartedDescription	La quête spécifiée a été débutée
Gadget/&ParameterQuestUpdateTypeQuestCompletedTitle	Quête terminée
Gadget/&ParameterQuestUpdateTypeQuestCompletedDescription	La quête spécifiée a été terminée
Gadget/&ParameterQuestUpdateTypeQuestFailedTitle	Échec de la quête
Gadget/&ParameterQuestUpdateTypeQuestFailedDescription	La quête spécifiée a été échouée
Gadget/&ParameterQuestUpdateTypeQuestStepStartedTitle	Étape de quête débutée
Gadget/&ParameterQuestUpdateTypeQuestStepStartedDescription	L'étape de quête spécifiée a été débutée
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedTitle	Étape de quête complétée
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedDescription	L'étape de quête spécifiée a été complétée, que l'issue soit un succès ou un échec
Gadget/&TrapDoorTitle	Trappe
Gadget/&TrapDoorDescription	Peut transporter le groupe à un autre lieu
Gadget/&VariableOperationTitle	Opération de variable
Gadget/&VariableOperationDescription	Permet d'effectuer une opération sur une variable de jeu définie par la campagne
Gadget/&ActivatorVariableChangedTitle	Déclencheur de modification de variable
Gadget/&ActivatorVariableChangedDescription	Un déclencheur déclenché quand une variable est modifiée et valide la condition spécifiée. Aussi vérifié à chaque entrée dans un nouveau lieu
Gadget/&ParameterVariableTitle	Variable
Gadget/&ParameterVariableDescription	La variable de campagne utilisée par ce gadget
Gadget/&ParameterVariableOperationTypeTitle	Type d'opération
Gadget/&ParameterVariableOperationTypeDescription	Le type d'opération effectué sur la variable spécifiée
Gadget/&ParameterVariableValueIntTitle	Valeur
Gadget/&ParameterVariableValueIntDescription	La valeur entière envisagée pour la variable
Gadget/&ParameterVariableValueBoolTitle	Valeur
Gadget/&ParameterVariableValueBoolDescription	La valeur booléenne envisagée pour la variable
Gadget/&ParameterVariableValueStringTitle	Valeur
Gadget/&ParameterVariableValueStringDescription	La valeur en chaîne de caractères envisagée pour la variable
Gadget/&ParameterCustomDurationTitle	Durée personnalisée
Gadget/&ParameterCustomDurationDescription	Cochez cette case pour entrer une durée spécifique. Sinon, elle est calculée automatiquement
Gadget/&ParameterLoreDurationSecondsTitle	Durée (s)
Gadget/&ParameterLoreDurationSecondsDescription	La durée en secondes de l'affichage du texte
Gadget/&ParameterVariableTestTypeTitle	Type de test
Gadget/&ParameterVariableTestTypeDescription	Le type de test à effectuer sur la variable
Gadget/&ManholeCoverTitle	Plaque d'égout
Gadget/&ManholeCoverDescription	Peut transporter le groupe à un autre lieu
Gadget/&CastleInnerWallsDoorTitle	Porte de mur intérieur de château
Gadget/&CastleInnerWallsDoorDescription	Une simple porte à ouvrir (à utiliser avec les embrasures de porte de mur intérieur de château)
Gadget/&WeaponRackTitle	Râtelier d'armes
Gadget/&ArmorStandTitle	Support d'armure
Gadget/&CavesInnerWallsDoorTitle	Porte de mur intérieur de grottes de lave
Gadget/&CavesInnerWallsDoorDescription	Une simple porte à ouvrir (à utiliser avec Mur simple - Embrasure de porte)
Gadget/&NpcDialogTitle	PNJ de dialogue
Gadget/&NpcDialogDescription	Un personnage non jouable qui peut être relié à un dialogue utilisateur. Ceci peut être utilisé pour des interactions sociales plus complexes dans votre campagne.
Gadget/&ParameterDialogTitle	Dialogue
Gadget/&ParameterDialogDescription	Le graphique d'interaction du personnage jouable/PNJ que vous avez modifié dans la campagne
Gadget/&ParameterVariableValueDieTitle	Type de dé
Gadget/&ParameterVariableValueDieDescription	Le type de dé utilisé pour le jet.
Gadget/&VirtualDialogTitle	Dialogue virtuel
Gadget/&VirtualDialogDescription	Vous permet de commencer un dialogue avec un objet ou une structure inanimés.
Gadget/&MapWaypointTitle	Point de repère de carte
Gadget/&MapWaypointDescription	Place un point de repère de carte invisible permettant d'obtenir des instructions sur la carte du lieu ou d'effectuer un voyage rapide sur la carte.
Gadget/&ParameterWaypointTitleTitle	Nom du point de repère
Gadget/&ParameterWaypointTitleDescription	Le nom indiqué sur la carte pour ce point de repère.
Gadget/&ParameterAllowFastTravelTitle	Autoriser le voyage rapide
Gadget/&ParameterAllowFastTravelDescription	Ce point de repère permet-il d'effectuer un voyage rapide sur la carte du lieu ?
Gadget/&ParameterLocationExitTitle	Issue du lieu
Gadget/&ParameterLocationExitDescription	Ce point de repère est-il considéré comme une issue pour quitter le lieu actuel ?
Gadget/&ParameterLongRestAvailableTitle	Repos long disponible
