MainMenu/&ChangeCampaignTitle	Changer
MainMenu/&CharacterSortCharacterLevelTitle	Niveau
MainMenu/&CharacterSortCharacterClassTitle	Classe
MainMenu/&CharacterSortCharacterAncestryTitle	Ascendance
MainMenu/&DifficultySettingCustomizationLabel	Des options détaillées peuvent être personnalisées dans le menu Paramètres du jeu.
MainMenu/&CreditsTitle	Crédits
MainMenu/&CreditsDescription	Affiche les crédits du jeu Solasta: Crown of the Magister.
MainMenu/&UserLocationsBrowseModIOTitle	Parcourir Mod.IO
MainMenu/&UserLocationsRefreshDescription	Rafraîchit les lieux auxquels vous vous êtes abonné (attendez quelques secondes après vous être abonné/désabonné pour rafraîchir)
MainMenu/&UserLocationsLogoutTitle	Déconnexion
MainMenu/&UserLocationsLogoutDescription	Déconnexion de Mod.IO
MainMenu/&UserLocationsLoggedInAsTitle	Connecté en tant que :
MainMenu/&UserLocationsTitle	Créateur de donjon
MainMenu/&UserLocationsDescription	Sélectionnez les donjons et lieux créés par la communauté que vous souhaitez expérimenter ou modifier, ou bien donnez vie à vos propres créations
MainMenu/&UserLocationsBrowserTitle	Lieux utilisateurs
MainMenu/&UserLocationsSortTitleTitle	Titre
MainMenu/&UserLocationsSortLevelTitle	Niveau
MainMenu/&UserLocationsSortSizeTitle	Taille
MainMenu/&UserLocationsSortEnvironmentTitle	Environnement
MainMenu/&UserLocationsSortOperationalTitle	Préparer
MainMenu/&UserLocationsSortOperationalYesTitle	Oui
MainMenu/&UserLocationsSortOperationalNoTitle	Non
MainMenu/&UserLocationsNewTitle	Nouveau lieu
MainMenu/&UserLocationsNewDescription	Crée un nouveau lieu utilisateur
MainMenu/&UserLocationsEditTitle	Modifier
MainMenu/&UserLocationsEditDescription	Modifie le lieu utilisateur sélectionné
MainMenu/&UserLocationsDeleteTitle	Supprimer
MainMenu/&UserLocationsDeleteDescription	Supprime le lieu utilisateur sélectionné
MainMenu/&UserLocationHeaderTitle	Lieu utilisateur
MainMenu/&UserLocationChangeButtonTitle	Modifier
MainMenu/&DungeonMakerBetaTitle	Bêta
MainMenu/&UserLocationsSortAuthorTitle	Auteur
MainMenu/&UserLocationSizeFormat	{0}x{1}
MainMenu/&UserLocationsBrowseFilesTitle	Fichiers
MainMenu/&UserLocationsBrowseFilesDescription	Ouvre le dossier système contenant les fichiers JSON du lieu utilisateur
MainMenu/&UserLocationsPublishTitle	Publier
MainMenu/&UserLocationsPlaytestTitle	Test
MainMenu/&UserLocationsPlaytestDescription	Lancement rapide du lieu sélectionné avec un groupe prédéfini
MainMenu/&UserLocationsPlayLocationTitle	Jouer
MainMenu/&UserLocationsPlayLocationDescription	Créez une partie avec ce lieu et sélectionnez un groupe de personnages
MainMenu/&UserLocationsBrowseWorkshopTitle	Workshop
MainMenu/&UserLocationsBrowseWorkshopDescription	Ouvre le Workshop pour parcourir les lieux créés par les autres joueurs
MainMenu/&UserContentSortLocationsCountTitle	Lieux
MainMenu/&UserCampaignsNewTitle	Nouvelle campagne
MainMenu/&UserCampaignsNewDescription	Crée une nouvelle campagne utilisateur
MainMenu/&UserCampaignsEditTitle	Modifier
MainMenu/&UserCampaignsEditDescription	Modifie la campagne utilisateur sélectionnée
MainMenu/&UserCampaignsDeleteDescription	Supprime la campagne utilisateur sélectionnée
MainMenu/&UserCampaignsPlayTitle	Jouer
MainMenu/&UserCampaignsPlayDescription	Débute une session de jeu dans la campagne sélectionnée
MainMenu/&UserContentBrowseFilesTitle	Parcourir les fichiers
MainMenu/&UserContentBrowseFilesDescription	Ouvre le dossier système contenant les fichiers JSON du contenu utilisateur
MainMenu/&UserItemsNewTitle	Nouvel objet
MainMenu/&UserItemsNewDescription	Crée un nouvel objet personnalisé
MainMenu/&UserItemsEditDescription	Modifie l'objet personnalisé sélectionné
MainMenu/&UserItemsDeleteDescription	Supprime l'objet personnalisé sélectionné
MainMenu/&UserMonstersNewTitle	Nouveau monstre
MainMenu/&UserMonstersNewDescription	Crée un nouveau monstre personnalisé
MainMenu/&UserMonstersEditDescription	Modifie le monstre personnalisé sélectionné
MainMenu/&UserMonstersDeleteDescription	Supprime le monstre personnalisé sélectionné
MainMenu/&UserNpcsNewTitle	Nouveau PNJ
MainMenu/&UserNpcsNewDescription	Crée un nouveau PNJ personnalisé
MainMenu/&UserNpcsEditDescription	Modifie le PNJ personnalisé sélectionné
MainMenu/&UserNpcsDeleteDescription	Supprime le PNJ personnalisé sélectionné
MainMenu/&UserMerchantInventoryNewTitle	Nouvel inventaire
MainMenu/&UserMerchantInventoryNewDescription	Crée un nouvel inventaire de marchand personnalisé
MainMenu/&UserMerchantInventoryEditDescription	Modifie l'inventaire de marchand personnalisé sélectionné
MainMenu/&UserMerchantInventoryDeleteDescription	Supprime l'inventaire de marchand personnalisé sélectionné
MainMenu/&UserContentRefreshTitle	Actualiser
MainMenu/&UserContentRefreshDescription	Actualise la liste de contenu utilisateur rassemblé dans ce Workshop
MainMenu/&UserContentSubscribedSteamDescription	Ce contenu a été enregistré et téléchargé depuis le Workshop Steam
MainMenu/&UserContentSubscribedModIODescription	Ce contenu a été enregistré et téléchargé depuis Mod.IO
MainMenu/&UserLocationsPublishDescription	Ouvre l'interface pour publier un contenu en ligne
MainMenu/&SessionTypeHeaderDescription	Les sessions de jeu sont soit des nouvelles parties, soit des parties sauvegardées.
MainMenu/&RequestCharacterSlotTitle	DEMANDER
MainMenu/&RequestCharacterSlotDescription	Demander à jouer ce personnage
MainMenu/&SessionPlayersTitle	Joueurs dans la salle :
MainMenu/&CreateGameToggleTitle	Créer une partie
MainMenu/&JoinGameToggleTitle	Rejoindre une partie
MainMenu/&AutoNetworkRegionTitle	Auto
MainMenu/&RequestedByDescription	Demandé par :
MainMenu/&LoadAdventureTitle	Continuer l'aventure
MainMenu/&ChangeCampaignDescription	Consultez les aventures disponibles.
MainMenu/&ChangeCharacterSlotDescription	Choisissez un autre personnage.
MainMenu/&DeleteCharacterDescription	Supprimez ce personnage de votre réserve.
MainMenu/&RefreshDLCTitle	Rafraîchir le DLC
MainMenu/&RefreshDLCDescription	Cela vérifiera vos licences de DLC sur la boutique en ligne.
MainMenu/&MultiplayerTitle	Multijoueur
MainMenu/&MultiplayerDescription	Vous permet de créer ou de rejoindre une session de jeu multijoueur.
MainMenu/&MultiplayerAlphaTitle	Alpha
MainMenu/&SessionParameterNameTitle	Nom de la session
MainMenu/&SessionParameterNameDescription	Le nom permettant de désigner cette session de jeu et de la rejoindre.
MainMenu/&SessionParameterPasswordTitle	Mot de passe
MainMenu/&SessionParameterPasswordDescription	Le mot de passe requis pour rejoindre cette session. Si le champ est laissé libre, aucun mot de passe ne sera demandé.
MainMenu/&SessionParameterVisibilityTitle	Visibilité
MainMenu/&SessionParameterVisibilityDescription	Détermine si cette session de jeu sera visible aux autres joueurs ou cachée.
MainMenu/&SessionParameterVisibilityPublicTitle	Publique
MainMenu/&SessionParameterVisibilityPrivateTitle	Privée
MainMenu/&SessionParameterMaxPlayersTitle	Joueurs max.
MainMenu/&SessionParameterMaxPlayersDescription	Le nombre maximum de joueurs pouvant rejoindre cette session, hôte compris.
MainMenu/&CreateGameButtonDescription	Confirmez la création d'une session de jeu pour passer à la fenêtre « Nouvelle aventure ».
MainMenu/&JoinGameButtonDescription	Rejoignez la session de jeu sélectionnée.
MainMenu/&JoinGameSessionNameDescription	Le nom de la session de jeu que vous souhaitez rejoindre. Vous pouvez saisir le nom d'une partie privée si vous la connaissez, car la liste ci-dessus ne montre que les parties publiques.
MainMenu/&RefreshListButtonTitle	Rafraîchir la liste
MainMenu/&RefreshListButtonDescription	Rafraîchissez la liste des sessions de jeu.
MainMenu/&RefreshingRoomsTitle	Rafraîchissement en cours…
MainMenu/&LockedHeaderTitle	Verrouillé
MainMenu/&LockedHeaderDescription	Certaines sessions de jeu sont verrouillées et nécessitent un mot de passe.
MainMenu/&PlayersHeaderTitle	Joueurs
MainMenu/&PlayersHeaderDescription	Le nombre de joueurs (actuels/max.) participant à cette session de jeu
MainMenu/&CampaignHeaderTitle	Campagne
MainMenu/&CampaignHeaderDescription	Le nom de la campagne ou le lieu utilisés pour cette session de jeu.
MainMenu/&InvitePlayerButtonTitle	Inviter
MainMenu/&InvitePlayerButtonDescription	Invitez un joueur à rejoindre la partie.
MainMenu/&RemotePlayerStatusMissingPlayerTitle	Joueur manquant
MainMenu/&RemotePlayerStatusSelectingCharacterTitle	Sélection de personnages
MainMenu/&RemotePlayerStatusReadyTitle	Prêt
MainMenu/&ReadyGameTitle	Prêt
MainMenu/&ReadyGameDescription	Informez les autres que vous êtes prêt·e à commencer la partie.
MainMenu/&StopReadyGameTitle	Arrêter
MainMenu/&StopReadyGameDescription	Annuler le statut signalant que vous êtes prêt(e).
MainMenu/&LoadMultiplayerGameButtonTitle	Charger une partie
MainMenu/&LoadMultiplayerGameButtonDescription	Ouvrez le panneau de chargement pour sélectionner une partie multijoueur.
MainMenu/&SessionTypeHeaderTitle	Type
MainMenu/&SessionTypeNewDescription	Ceci est une nouvelle session qui commence à peine.
MainMenu/&SessionTypeSavedDescription	Cette session est dérivée d'une partie sauvegardée avec une liste fixe de personnages jouables.
MainMenu/&SessionParameterAllowCrossplayTitle	Autoriser le cross-play
MainMenu/&SessionParameterAllowCrossplayDescription	Détermine si cette partie permet aux joueurs d'autres plateformes d'y accéder.
MainMenu/&CrossplayHeaderTitle	Cross-play
MainMenu/&CrossplayHeaderDescription	Certaines parties permettent aux joueurs d'autres plateformes d'y accéder.
MainMenu/&JoiningGameLockedTitle	Chargement en cours, veuillez patienter.
