Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionBanedDescription	-1d4 aux attaques, -1d4 aux jets de sauvegarde.
Rules/&ConditionBanedTitle	Victime de fléau
Rules/&ConditionBarkskinDescription	La classe d'armure de la créature passe à 16 minimum.
Rules/&ConditionBarkskinTitle	Peau d'écorce
Rules/&ConditionBeaconOfHopeDescription	Avantage sur les jets de sauvegarde contre la mort et de Sagesse, ce qui restaure le maximum de points de vie possible.
Rules/&ConditionBeaconOfHopeTitle	Lueur d'espoir
Rules/&ConditionBearsEnduranceDescription	Avantage sur les jets de sauvegarde de Constitution.
Rules/&ConditionBlessedDescription	+1d4 aux attaques, 1d4 aux jets de sauvegarde.
Rules/&ConditionBlessedTitle	Béni
Rules/&ConditionBlessingSorr-TarrTitle	Bénédiction du Sorr-Tarr
Rules/&ConditionBlindedDescription	Ne peut plus rien voir, désavantage sur les attaques, les attaques contre les créatures ont un avantage.
Rules/&ConditionBlindedTitle	Aveuglé
Rules/&ConditionBlurredDescription	Les attaques sur les créatures ont un désavantage.
Rules/&ConditionBlurredTitle	Flou
Rules/&ConditionBrandedDescription	Émet de la lumière, ne peut pas devenir invisible.
Rules/&ConditionBrandedTitle	Marqué
Rules/&ConditionBullsStrengthDescription	Avantage sur les jets de sauvegarde de Force.
Rules/&ConditionCatsGraceDescription	Avantages sur les jets de sauvegarde de Dextérité et dégâts de chute réduits.
Rules/&ConditionCharmedByHypnoticPatternDescription	Neutralisé et vitesse à 0, jusqu'à une blessure ou un réveil.
Rules/&ConditionCharmedByHypnoticPatternTitle	Charmé par hypnose
Rules/&ConditionCharmedDescription	Considère le lanceur comme un allié.
Rules/&ConditionCharmedTitle	Charmé
Rules/&ConditionChilledDescription	Ne peut pas gagner de points de vie. Si mort-vivant, désavantage des attaques sur le lanceur.
Rules/&ConditionChilledTitle	Glacé
Rules/&ConditionCriticalCharacterDescription	Si le personnage meurt, la partie est finie.
Rules/&ConditionCriticalCharacterTitle	Personnage crucial
Rules/&ConditionCursedActionDescription	Doit faire un jet de sauvegarde de SAG pour agir.
Rules/&ConditionCursedActionTitle	Maudit (action)
Rules/&ConditionCursedAttackRollDescription	Désavantages pour les jets d'attaque contre le lanceur.
Rules/&ConditionCursedAttackRollTitle	Maudit (jet d'attaque)
Rules/&ConditionCursedCharismaDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique de CHA.
Rules/&ConditionCursedCharismaTitle	Maudit (Charisme)
Rules/&ConditionCursedConstitutionDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique de CON.
Rules/&ConditionCursedConstitutionTitle	Maudit (Constitution)
Rules/&ConditionCursedDamageDescription	Les attaques et les sorts du lanceur contre la cible infligent 1d8 dégâts nécrotiques supplémentaires.
Rules/&ConditionCursedDamageTitle	Maudit (dégâts)
Rules/&ConditionCursedDexterityDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique de DEX.
Rules/&ConditionCursedDexterityTitle	Maudit (Dextérité)
Rules/&ConditionCursedIntelligenceDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique d'INT.
Rules/&ConditionCursedIntelligenceTitle	Maudit (Intelligence)
Rules/&ConditionCursedStrengthDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique de FOR.
Rules/&ConditionCursedStrengthTitle	Maudit (Force)
Rules/&ConditionCursedTitle	Maudit
Rules/&ConditionCursedWisdomDescription	Désavantage sur les jets de sauvegarde et les jets de caractéristique de SAG.
Rules/&ConditionCursedWisdomTitle	Maudit (Sagesse)
Rules/&ConditionDarkvisionDescription	Vous voyez normalement même par lumière faible. Dans l'obscurité, vous voyez comme s'il y avait une lumière faible.
Rules/&ConditionDarkvisionTitle	Vision dans le noir
Rules/&ConditionDazzledDescription	Ne peut pas prendre de réactions et a -2 de pénalité de classe d'armure.
Rules/&ConditionDazzledTitle	Ébloui
Rules/&ConditionDeadDescription	Doit être réanimé ou ressuscité pour agir.
Rules/&ConditionDeadTitle	Mort
Rules/&ConditionDeafenedDescription	Ne peut rien entendre.
Rules/&ConditionDeafenedTitle	Assourdi
Rules/&ConditionDetectEvilandGoodDescription	Détection en tant qu'aberration, céleste, élémentaire, fée, fiélon ou mort-vivant.
Rules/&ConditionDetectEvilandGoodTitle	Détecté (bien/mal)
Rules/&ConditionDetectMagicDescription	Capable de détecter la magie à proximité.
Rules/&ConditionDetectMagicTitle	Détection de la magie
Rules/&ConditionDiscipleImmuneColdDescription	Insensible aux dégâts de froid et récupération de pv grâce au froid.
Rules/&ConditionDiscipleImmuneColdTitle	Érudit des éléments (froid)
Rules/&ConditionDiscipleImmuneFireDescription	Insensible aux dégâts de foudre et récupération de pv grâce à la foudre.
Rules/&ConditionDiscipleImmuneFireTitle	Érudit des éléments (feu)
Rules/&ConditionDiscipleImmuneLightningDescription	Insensible aux dégâts de feu et récupération de pv grâce au feu.
Rules/&ConditionDiscipleImmuneLightningTitle	Érudit des éléments (foudre)
Rules/&ConditionDiseasedDescription	La créature est atteinte d'une maladie.
Rules/&ConditionDiseasedTitle	Malade
Rules/&ConditionDisengagingDescription	Insensible aux attaques d'opportunité.
Rules/&ConditionDisengagingTitle	En désengagement
Rules/&ConditionDivineFavorDescription	Inflige 1d4 dégâts radiants supplémentaires.
Rules/&ConditionDivineFavorTitle	Faveur divine
Rules/&ConditionDivinelyRevealedDescription	Le type et la position de la créature sont révélés au lanceur de cet effet.
Rules/&ConditionDivinelyRevealedTitle	Révélé divinement
Rules/&ConditionDodgingDescription	Les attaques sur les créatures ont un désavantage.
Rules/&ConditionDodgingTitle	En esquive
Rules/&ConditionDyingDescription	Seule une stabilisation peut sauver d'une mort prochaine.
Rules/&ConditionDyingTitle	Mourant
Rules/&ConditionEncumberedDescription	La vitesse est réduite de 2.
Rules/&ConditionEncumberedTitle	Encombré
Rules/&ConditionEnfeebledDescription	Dégâts diminués de moitié lors d'attaques de FOR.
Rules/&ConditionEnfeebledTitle	Affaibli
Rules/&ConditionEntangledTitle	Enchevêtré
Rules/&ConditionExhaustedDescription	Affaibli par l'épuisement.
Rules/&ConditionExhaustedTitle	Épuisé
Rules/&ConditionExpeditiousRetreatDescription	Peut foncer en tant qu'action bonus.
Rules/&ConditionExpeditiousRetreatTitle	Repli expéditif
Rules/&ConditionFalseLifeDescription	Points de vie temporaires supplémentaires.
Rules/&ConditionFalseLifeTitle	Simulacre de vie
Rules/&ConditionFeatherFallingDescription	Les chutes ne blessent pas.
Rules/&ConditionFeatherFallingTitle	En chute ralentie
Rules/&ConditionFlyingDescription	La créature ciblé gagne une vitesse de vol de 12 cases par action de déplacement.
Rules/&ConditionFlyingTitle	En vol
Rules/&ConditionForceOfLawDescription	Impose un désavantage sur le prochain jet de sauvegarde de la cible.
Rules/&ConditionForceOfLawTitle	Force de la loi
Rules/&ConditionFormAddBeneficialFormat	Octroie : {0}
Rules/&ConditionFormAddDetrimentalFormat	Inflige : {0}
Rules/&ConditionFormAddNeutralFormat	Devient : {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Annule toutes les occurrences de ces conditions : {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Annule une occurrence aléatoire de ces conditions : {0}.
Rules/&ConditionFormRemoveFormat	Annule : {0}
Rules/&ConditionFrightenedDescription	Incapable d'approcher l'origine de la peur, désavantage sur les jets d'attaque et les jets de caractéristique.
Rules/&ConditionFrightenedFearDescription	Doit fuir l'origine de la peur.
Rules/&ConditionFrightenedFearTitle	Effrayé (peur)
Rules/&ConditionFrightenedTitle	Effrayé
Rules/&ConditionGateKeeperDescription	Avantage aux jets de sauvegarde contre la mort.
Rules/&ConditionGateKeeperTitle	Gardien du portail
Rules/&ConditionGiantStrengthCloudDescription	La Force passe à 27
Rules/&ConditionGiantStrengthCloudTitle	Force de Géant (Nuage)
Rules/&ConditionGiantStrengthFireDescription	La Force passe à 25
Rules/&ConditionGiantStrengthFireTitle	Force de Géant (Feu)
Rules/&ConditionGiantStrengthFrostDescription	La Force passe à 23
Rules/&ConditionGiantStrengthFrostTitle	Force de Géant (Givre)
Rules/&ConditionGiantStrengthHillDescription	La Force passe à 21
Rules/&ConditionGiantStrengthHillTitle	Force de Géant (Colline)
Rules/&ConditionGrappledDescription	Incapable de bouger.
Rules/&ConditionGrappledTitle	Agrippé
Rules/&ConditionGuidedDescription	Ajoute 1d4 à un jet de caractéristique.
Rules/&ConditionGuidedTitle	Guidé
Rules/&ConditionHastedDescription	La vitesse est doublée. CA +2. Les jets de sauvegarde de Dextérité ont un avantage. Capable d'effectuer une action de plus par tour (Attaquer, Foncer, Esquiver, Se désengager, Se cacher, Utiliser un objet).
Rules/&ConditionHastedTitle	Accéléré
Rules/&ConditionHealthyDescription	Indemne.
Rules/&ConditionHealthyTitle	En bonne santé
Rules/&ConditionHeavilyEncumberedDescription	La vitesse est réduite de 4.\nDésavantage pour les jets d'attaque.
Rules/&ConditionHeavilyEncumberedTitle	Lourdement encombré
Rules/&ConditionHeavilyObscuredTitle	Dans l'obscurité totale
Rules/&ConditionHeraldOfBattleDescription	+1 de CA. +1 aux attaques et dégâts. +1 à tous les jets de sauvegarde.
Rules/&ConditionHeraldOfBattleTitle	Béni par le Héraut du combat
Rules/&ConditionHeroismTitle	Héroïsme
Rules/&ConditionHighlightedDescription	La créature ne peut pas être invisible ; les assaillants ont un avantage.
Rules/&ConditionHighlightedTitle	Luminescent
Rules/&ConditionHinderedDescription	Vitesse de déplacement -2.
Rules/&ConditionHinderedTitle	Ralenti
Rules/&ConditionIncapacitatedDescription	Incapable d'effectuer des actions ou réactions.
Rules/&ConditionIncapacitatedTitle	Neutralisé
Rules/&ConditionInStinkingCloudDescription	La créature doit réussir un jet de CON pour agir durant son tour.\nLa visibilité est nulle.
Rules/&ConditionInStinkingCloudTitle	Dans le nuage puant
Rules/&ConditionInvisibleDescription	Indétectable sans magie, la créature a un avantage lors des attaques. Les assaillants ont un désavantage.
Rules/&ConditionInvisibleTitle	Invisible
Rules/&ConditionJumpDescription	Distance de saut augmentée.
Rules/&ConditionJumpTitle	Saut
Rules/&ConditionLethargicDescription	La créature ne peut pas bouger ou effectuer d'action avant son prochain tour.
Rules/&ConditionLethargicTitle	Léthargique
Rules/&ConditionLevitateDescription	La créature ciblée flotte, le lanceur peut la déplacer vers le haut ou vers le bas.
Rules/&ConditionLevitateTitle	En lévitation
Rules/&ConditionLifeDrainedDescription	Les points de vie maximum sont réduits tant qu'il n'y a pas de repos long.
Rules/&ConditionLifeDrainedTitle	Drainé
Rules/&ConditionLightHypersensitiveDescription	Blessé par la lumière.
Rules/&ConditionLightHypersensitiveTitle	Hypersensible à la lumière
Rules/&ConditionLightSensitiveDescription	Désavantagé par la lumière.
Rules/&ConditionLightSensitiveTitle	Sensible à la lumière
Rules/&ConditionLongstriderDescription	La vitesse de déplacement augmente de 2 cases.
Rules/&ConditionLongstriderTitle	Grande foulée
Rules/&ConditionMagicallyArmoredDescription	La classe d'armure de base est définie sur 13.
Rules/&ConditionMagicallyArmoredTitle	En armure de mage
Rules/&ConditionMagicallyAsleepDescription	Incapable d'agir jusqu'à son réveil.
Rules/&ConditionMagicallyAsleepTitle	Endormi par magie
Rules/&ConditionMagicalWeaponDescription	L'arme peut blesser les ennemis insensibles aux attaques non magiques.
Rules/&ConditionMagicalWeaponTitle	Arme magique
Rules/&ConditionMarkedByBrandingSmiteDescription	Émet de la lumière, ne peut pas devenir invisible, révélé si invisible.
Rules/&ConditionMarkedByBrandingSmiteTitle	Châtiment lumineux
Rules/&ConditionMarkedByHunterDescription	Reçoit 1d6 dégâts quand touché par le lanceur.
Rules/&ConditionMarkedByHunterTitle	Marque du chasseur
Rules/&ConditionMindControlledTitle	Sous contrôle de l'esprit
Rules/&ConditionOnFireDescription	Subit des dégâts de feu continus sauf si le feu est éteint par une action.
Rules/&ConditionOnFireTitle	En feu
Rules/&ConditionParalyzedDescription	Incapable d'agir. Les attaques contre la créature ont un avantage, coup critique automatique si l'attaque provient d'une case voisine.
Rules/&ConditionParalyzedTitle	Paralysé
Rules/&ConditionPetrifiedDescription	Transformé en pierre ; peut difficilement être blessé.
Rules/&ConditionPetrifiedTitle	Pétrifié
Rules/&ConditionPoisonedDescription	Désavantage sur les attaques et les jets de caractéristique.
Rules/&ConditionPoisonedTitle	Empoisonné
Rules/&ConditionPossessedDescription	Sous le contrôle d'un être surnaturel.
Rules/&ConditionPossessedTitle	Possédé
Rules/&ConditionProneDescription	Peut uniquement se déplacer en rampant. Vulnérable aux attaques rapprochées.
Rules/&ConditionProneTitle	À terre
Rules/&ConditionProtectedFromEvilTitle	Protégé contre le mal et le bien
Rules/&ConditionResistingDescription	Ajoute +1d4 à un jet de sauvegarde.
Rules/&ConditionResistingTitle	Résistant
Rules/&ConditionRestrainedDescription	Incapable de bouger. Les attaques des créatures et les jets de sauvegarde de Dextérité ont un désavantage. Les attaques contre les créatures ont un avantage.
Rules/&ConditionRestrainedTitle	Entravé
Rules/&ConditionSeeInvisibilityDescription	Permet de voir les créatures invisibles.
Rules/&ConditionSeeInvisibilityTitle	Perception de l'invisible
Rules/&ConditionSeverelyWoundedDescription	Va bientôt mourir.
Rules/&ConditionSeverelyWoundedTitle	Grièvement blessé
Rules/&ConditionShieldedByFaithDescription	Classe d'armure +2.
Rules/&ConditionShieldedByFaithTitle	Protégé par la foi
Rules/&ConditionShieldedDescription	Classe d'armure augmentée de +5 et rend insensible à Projectile magique.
Rules/&ConditionShieldedTitle	Protégé
Rules/&ConditionShockedDescription	Incapable de réagir.
Rules/&ConditionShockedTitle	Choqué
Rules/&ConditionSleetStormDescription	Terrain difficile. Peut tomber à terre. Visibilité nulle. Doit lancer un jet de concentration.
Rules/&ConditionSleetStormTitle	Sous une tempête de neige
Rules/&ConditionSlowedDescription	Vitesse diminuée de moitié. -2 à la CA et aux jets de DEX. Une action ou une action bonus max. Pas de réaction. Une attaque max par tour. Les lancements de sort peuvent échouer.
Rules/&ConditionSlowedTitle	Ralenti
Rules/&ConditionSpiderClimbDescription	Permet à la cible de grimper comme une araignée.
Rules/&ConditionSpiderClimbTitle	Pattes d'araignée
Rules/&ConditionSpiritGuardiansDescription	Vitesse diminuée de moitié. Peut subir des dégâts au début de chaque tour.
Rules/&ConditionSpiritGuardiansSelfDescription	Le personnage est actuellement sous la protection des esprits gardiens.
Rules/&ConditionSpiritGuardiansSelfTitle	Protégé par les esprits
Rules/&ConditionSpiritGuardiansTitle	Ciblé par les esprits
Rules/&ConditionStealthyDescription	Se cache activement.
Rules/&ConditionStealthyTitle	Furtif
Rules/&ConditionStunnedDescription	Incapable d'agir ou de bouger. Les attaques contre les créatures ont un avantage. Échoue automatiquement aux jets de sauvegarde de Force et de Dextérité.
Rules/&ConditionStunnedTitle	Étourdi
Rules/&ConditionSurprisedDescription	Incapable d'agir pendant un round.
Rules/&ConditionSurprisedTitle	Surpris
Rules/&ConditionTargetedByGuidingBoltDescription	La première attaque contre cette créature a un avantage.
Rules/&ConditionTargetedByGuidingBoltTitle	Ciblé par éclair traçant
Rules/&ConditionTemporaryHitPointsDescription	La créature gagne des points de vie temporaires.
Rules/&ConditionTemporaryHitPointsTitle	Pv temporaires
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	Les dégâts infligés par les sorts d'évocation augmentent par bonus de maîtrise et d'INT.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Fureur arcanique
Rules/&ConditionTrueStrikeDescription	Le lanceur du sort a un avantage lors de sa première attaque contre la cible.
Rules/&ConditionTrueStrikeTitle	Visée juste
Rules/&ConditionTurnedDescription	La cible doit s'éloigner du lanceur.
Rules/&ConditionTurnedTitle	Renvoyé
Rules/&ConditionTypeBeneficialFormat	Condition avantageuse
Rules/&ConditionTypeDetrimentalFormat	Condition pénalisante
Rules/&ConditionTypeNeutralFormat	Condition neutre
Rules/&ConditionUnconsciousDescription	Incapable d'agir jusqu'à son réveil.
Rules/&ConditionUnconsciousTitle	Inconscient
Rules/&ConditionVampiricTouchDescription	Permet d'effectuer une attaque vampirique au corps à corps avec un sort à chaque tour.
Rules/&ConditionVampiricTouchTitle	Toucher du vampire
Rules/&ConditionWoundedDescription	Perd des points de vie.
Rules/&ConditionWoundedTitle	Blessé
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provoque un jet de concentration.
Rules/&CounterFormDisperseCloudFormat	Disperse les nuages dans la zone.
Rules/&CounterFormDissipateSpellsFormat	Les sorts jusqu'au niveau {0} sont dissipés automatiquement, sinon DD {1} + sort de niveau supérieur.
Rules/&CounterFormExtinguishLightFormat	Éteint les sources de lumière dans la zone.
Rules/&CounterFormInterruptSpellcastingFormat	Les sorts jusqu'au niveau {0} sont contrés automatiquement, sinon DD {1} + sort de niveau supérieur.
Rules/&CounterFormRemoveDarknessFormat	Élimine les ténèbres.
Rules/&DamageAcidDescription	Le jet corrosif du souffle d'un dragon noir et les enzymes dissolvantes sécrétées par une gelée noire infligent des dégâts acides.
Rules/&DamageAcidTitle	Acide
Rules/&DamageBludgeoningDescription	Les attaques de force brute (marteaux, chute, constriction et effets similaires) infligent des dégâts contondants.
Rules/&DamageBludgeoningTitle	Contondant
Rules/&DamageColdDescription	La froideur mortelle irradiant de la lance de glace d'un diable et le souffle glacial d'un dragon blanc infligent des dégâts de froid.
Rules/&DamageColdTitle	Froid
Rules/&DamageFireDescription	Le souffle brûlant des dragons rouges et les nombreux sorts permettant d'invoquer des flammes infligent des dégâts de feu.
Rules/&DamageFireTitle	Feu
Rules/&DamageForceDescription	La force est une énergie magique à l'état pur, canalisée pour infliger des dégâts. Les sorts, dont projectile magique et arme spirituelle, sont les principaux effets infligeant des dégâts de force.
Rules/&DamageForceTitle	Force
Rules/&DamageFormFormat	{0}{1} {2} {3} dégâts {4}
Rules/&DamageFormTightFormat	{0}{1} {2} {3} dég. {4}
Rules/&DamageLightningDescription	Le sort éclair et le souffle d'un dragon bleu infligent des dégâts de foudre.
Rules/&DamageLightningTitle	Foudre
Rules/&DamageNecroticDescription	Les dégâts nécrotiques infligés par certains morts-vivants et par certains sorts, tels que contact glacial, corrompent l'âme et la matière.
Rules/&DamageNecroticTitle	Nécrotique
Rules/&DamagePiercingDescription	Les attaques visant à transpercer et à empaler une cible, telles que les attaques à la lance ou les morsures de monstres, infligent des dégâts perforants.
Rules/&DamagePiercingTitle	Perforant
Rules/&DamagePoisonDescription	Les dards venimeux et le souffle toxique d'un dragon vert infligent des dégâts de poison.
Rules/&DamagePoisonTitle	Poison
Rules/&DamagePsychicDescription	Les capacités mentales infligent des dégâts psychiques.
Rules/&DamagePsychicTitle	Psychique
Rules/&DamageRadiantDescription	Les dégâts radiants, infligés par le sort colonne de flamme d'un clerc ou par le châtiment angélique d'une arme, brûlent la chair d'un feu sacré et surchargent l'esprit de pouvoir.
Rules/&DamageRadiantTitle	Radiant
Rules/&DamageSlashingDescription	Les épées, les haches et les griffes des monstres infligent des dégâts tranchants.
Rules/&DamageSlashingTitle	Tranchant
Rules/&DamageThunderDescription	Une explosion sonore assourdissante, provoquée par des sorts comme onde de choc, inflige des dégâts de tonnerre.
Rules/&DamageThunderTitle	Tonnerre
Rules/&DamageTitle	Dégâts : 
Rules/&DcFormat	DD {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Révèle toutes les propriétés d'un objet.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Sent la présence des créatures de type : {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Révèle les créatures et les objets qui sont {0}.
Rules/&DurationAnyRestFormat	Jusqu'au prochain repos
Rules/&DurationDayPluralFormat	{0} jours
Rules/&DurationDaySingleFormat	{0} jour
Rules/&DurationHourPluralFormat	{0} heures 
Rules/&DurationHourSingleFormat	{0} heure 
Rules/&DurationInstantaneousFormat	Instantanée
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Jusqu'au repos long
Rules/&DurationMinutePluralFormat	{0} minutes 
Rules/&DurationMinuteSingleFormat	{0} minute 
Rules/&DurationNoneFormat	{0} round 
Rules/&DurationPermanentFormat	Permanente
Rules/&DurationRoundPluralFormat	{0} rounds 
Rules/&DurationRoundSingleFormat	{0} round 
Rules/&DurationShortRestFormat	Jusqu'au repos court
Rules/&DurationUntilEndOfSourceTurnFormat	Jusqu'à la fin du tour du personnage source.
Rules/&DurationUntilEndOfTargetTurnFormat	Jusqu'à la fin du tour de ce personnage.
Rules/&DurationUntilStartOfSourceTurnFormat	Jusqu'au début du tour du personnage source.
Rules/&DurationUntilStartOfTargetTurnFormat	Jusqu'au début du tour de ce personnage.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Coup au corps à corps
Rules/&EffectRangeRangeHitTitle	Coup à distance {0}
Rules/&EffectRangeSelfTitle	Soi-même
Rules/&EffectRangeTouchTitle	Toucher
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0}{1}
Rules/&EffectTargetIndividualsUniqueTitle	{0} {1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	En vue : {0}
Rules/&EffectTargetItemTitle	Objet
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0} {1}
Rules/&EffectTargetPositionTitle	Sol
Rules/&EffectTargetSelfTitle	Soi-même
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	Guérison {0}{1} {2}
Rules/&HealingStabilize	Stabilise une créature mourante.
Rules/&HeightFormatFeet	{0}'
Rules/&HeightFormatFeetInches	{0}英尺{1}英寸
Rules/&ItemPropertyFormFormat	Sur l'objet ciblé :\n{0}
Rules/&LightSourceFormFormat	source de lumière : luminosité {0} + lumière faible {1} 
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Léviter {0}
Rules/&MotionFormPullFormat	S'arrêter {0}
Rules/&MotionFormPushFormat	Repousser {0}
Rules/&MotionFormTeleportFormat	Téléporter {0}
Rules/&RateAtWillFormatTitle	à volonté
Rules/&RateChannelDivinityFormatTitle	repos court
Rules/&Rated6FormatTitle	avec 5 ou 6 avec un 1d6
Rules/&RateDawnFormatTitle	aube
Rules/&RateHealingPoolFormatTitle	réserve de guérison
Rules/&RateLongRestFormatTitle	repos long
Rules/&RateNoneFormatTitle	aucun(e)
Rules/&RateOneMinuteFormatTitle	chaque minute
Rules/&RateShortRestFormatTitle	repos court
Rules/&RateSpellSlotFormatTitle	emplacements de sorts
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Capacité à lancer le sort : {0}.
Rules/&RecipeRequiredTooltypeFormat	Maîtrise : {0}
Rules/&SaveAffinityHalfDamageTitle	(jet de sauvegarde pour : {0})
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(un jet de sauvegarde disponible par tour pour annuler cet effet)
Rules/&SaveAffinityNegateTitle	(jet de sauvegarde pour annuler cet effet)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Si l'assaillant est loin de la cible :
Rules/&SituationalContextAttackerNextToTargetFormat	Si l'assaillant est à côté de la cible :
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Si l'assaillant est surélevé :
Rules/&SituationalContextConsciousAllyNextToTargetFormat	si l'assaillant a un allié conscient à côté de la cible :
Rules/&SituationalContextNextToWallFormat	si la créature est à côté d'un mur :
Rules/&SituationalContextTargetIsEffectSourceFormat	si la créature attaque la source de l'effet :
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Sort mineur
Rules/&SpellLevel1FormatTitle	Niveau 1
Rules/&SpellLevel2FormatTitle	Niveau 2
Rules/&SpellLevel3FormatTitle	Niveau 3
Rules/&SpellLevel4FormatTitle	Niveau 4
Rules/&SpellLevel5FormatTitle	Niveau 5
Rules/&SpellLevel6FormatTitle	Niveau 6
