Credits/&GameTechnicalVisionTitle	Jogo e Visão Técnica
Credits/&ExternalQACEOTitle	CEO & Fundador
Credits/&ExternalQAHeadBusiness	Chefe de Desenv. de Negócios
Credits/&ExternalQABusinessDev	Colaboração de Desenv. de Negócios
Credits/&ExternalQATechDirector	Direção Técnica
Credits/&ExternalQAQADirector	Direção de CQ
Credits/&ExternalQAQAManager	Gestão de CQ
Credits/&ExternalQAQALeadTester	Líder de Teste de CQ
Credits/&ExternalQAQATesters	Teste de CQ
Credits/&ExternalQAIT	Gestão de Infraestrutura de TI
Credits/&ExternalQACompatLead	Líder de Teste de Compatibilidade e Desempenho
Credits/&ExternalQACompatTester	Teste de Compatibilidade e Desempenho
Credits/&SeniorWriterTitle	Escritor Sênior
Credits/&ExternalCommTeam	Parceria de Comunicação
Credits/&ExternalCommReberbName	Reverb Inc.
Credits/&ExternalCommReberbGeneralManager	Gerência Geral
Credits/&ExternalCommReberbSnrPRManager	Gerência de RP Sênior
Credits/&ExternalCommReberbMktManager	Gerência de Marketing
Credits/&ExternalCommReberbInfluencersPR	Relações Públicas/Influencers
Credits/&ExternalCommReberbOnlineMediamanager	Gerência de Mídias Online
Credits/&ExternalCommMinuitName	MinuitDouze
Credits/&ExternalCommMinuitCoFounder	Co-Fundação/Direção Adjunta
Credits/&ExternalCommMinuitPRConsultant	Consultoria de RP
Credits/&ExternalCommDeadGoodPRName	Dead Good PR
Credits/&ExternalCommDeadGoodPRDirector	Diretor e Proprietário
Credits/&ExternalCommDeadGoodPRAccountManager	Gerência de Conta
Credits/&ExternalCommDeadGoodPRDigitalCreatives	Gerência de Criação Digital
Credits/&ExternalCommFireName	fire without smoke
Credits/&ExternalCommFireStudioHead	Gerência do Estúdio
Credits/&ExternalCommFireSnrProd	Produção Sênior
Credits/&ExternalCommFireClientDirector	Direção de Clientela
Credits/&ExternalCommBobbyName	Bobby Prod
Credits/&ExternalCommBobbyOwner	Proprietário e Produtor
Credits/&ExternalCommBobbyProductionManager	Gerência de Produção
Credits/&ExternalCommREZName	REZ Creative
Credits/&ExternalCommREZDirector	Direção Criativa & Produção
Credits/&ExternalCommBarbesName	Barbès Prod
Credits/&ExternalCommBarbesCoFounder	Co-Fundação
Credits/&ExternalCommSeptimeName	Septime Création
Credits/&ExternalCommSeptimeCEO	CEO
Credits/&ExternalCommSeptimeProducer	Gerência de Projeto
Credits/&ExternalCommSeptimeBackDev	Chefe de Desenv. de Front & Back-End
Credits/&CNCAcknowledgementTitle	Avec le soutien du FAJV, fonds cofinancé par le Centre National du Cinéma et de l'Image animée et le Ministère de l'Economie et des Finances
Credits/&ExternalProdSweetAName	Arsênico Doce
Credits/&ExternalProdSweetABusinessManager	Gerência de Negócios
Credits/&ExternalProdSweetALeadArtist	Líder de Artes
Credits/&External3DProdTeam	Parceria em Artes 3D
Credits/&ExternalAnimProdTeam	Parceria de Animação
Credits/&ExternalProdLeikirName	Leikir
Credits/&ExternalProdOriginalForceName	Original Force LTD
Credits/&ExternalProdAnimator	Animação
Credits/&ExternalProdGameCoName	Gamecostudios Team
Credits/&ExternalProdBusinessDev	Desenvolvimento de Negócios
Credits/&ExternalProdProjectManager	Gerência de Projeto
Credits/&ExternalProdArtLead	Líder de Arte
Credits/&ExternalProdProjectLead	Líder de Projeto
Credits/&ExternalProdQualityCheck	Controle de Qualidade
Credits/&ExternalProdKeyArt	Arte Essencial da GamecoStudios
Credits/&ExternalProdCharacterArtLead	Líder de Arte de Personagem
Credits/&ExternalG4FProdName	G4F Prod
Credits/&ExternalG4FRecordsName	G4F Records
Credits/&ExternalG4FVoicesName	G4F Localisation (Vozes)
Credits/&ExternalLeadSound	Líder de Design de Áudio
Credits/&ExternalSoundDesigner	Design de Áudio
Credits/&ExternalCFO	CFO
Credits/&ExternalCOO	COO
Credits/&ExternalComposer	Composição Musical
Credits/&ExternalLegal	Jurídico
Credits/&ExternalContentManager	Gerência de Conteúdo
Credits/&ExternalMasterRecordEngineer	Engenharia de Gravação e Masterização
Credits/&ExternalRecordEngineer	Engenharia de Gravação
Credits/&ExternalCopyist	Cópias
Credits/&ExternalMusicians	Músicos
Credits/&ExternalVoiceDirector	Direção de Voz e Edição de Diálogos
Credits/&ExternalPMSoundEditor	Gerência de Projeto e Edição de Áudio
Credits/&ExternalSoundEditor	Edição de Áudio
Credits/&ExternalHerosActor	Voz (Herói)
Credits/&ExternalNPCActor	Voz (NPC)
Credits/&ExternalRealityzName	Realityz Team
Credits/&LeadLDLB	Líder de Design e Construção de Nível 
Credits/&LDLB	Design e Construção de Nível 
Credits/&ToolsGameplayProgrammerTitle	Engenharia de Jogo e Ferramentas
Credits/&ExternalStudioCreative	Direção Criativa do Estúdio
Credits/&ExternalUIUX	Parceria de Interfaces (UI/UX)
Credits/&ExternalFigsName	Figs
Credits/&ExternalUIUXJob	Design de UI/UX por
Credits/&ExternalPlaytestBy	Teste de jogo e relatórios de
Credits/&ExternalSkillooName	Skilloo
Credits/&TATeamName	Tactical Adventures Team
Credits/&SpecialThanks	Agradecimentos Especiais
Credits/&ExternalTech	Parceria Técnica
Credits/&ExternalKnightsName	Knights of Unity
Credits/&ExternalUnityDev	Desenvolvimento em Unity
Credits/&ExternalLoca	Parceria de Localização
Credits/&ExternalAltaName	Altagram Group
Credits/&ExternalAltaLQA	Líder de Teste de CQ de Localização
Credits/&ExternalAltaLingCoord	Coordenação Linguística
Credits/&Baby	Bebê de Solasta
Credits/&Pets	Mascotes de Solasta
Credits/&PetsNote	Agradecemos pelo café virado nos teclados e pelas interrupções nas videoconferências.
Credits/&ExternalQAPartners	Parceria de CQ
Credits/&ExternalCSPartners	Parceria de Arte Cinemática 2D
Credits/&ExternalSound	Parceria de Áudio
Credits/&AssocQAProd	Colaboração em QA e Produção
Credits/&ExternalAltaLingCoordMale	Coordenação Linguística
Credits/&TechLevelDesigner	Design Técnico de Nível
Credits/&TALyon	Tactical Adventures - Lyon
Credits/&SeniorProducerFemaleTitle	Produção Sênior
Credits/&TAStudioDirector	Direção do Estúdio
Credits/&LeadGameDesigner	Líder de Game Design
Credits/&JunArtDirectorFemaleTitle	Direção de Arte Júnior
Credits/&LeadTechnicalArtist	Líder de Artes Técnicas
Credits/&LeadAnimMocapAndKeyframe	Líder de Animação, Mocap e Quadros-chave
Credits/&LeadDevelopper	Líder de Desenvolvimento
Credits/&CommuDesign	Designers da Comunidade
Credits/&CommuDesignMagicArmor	Armadura Mágica
Credits/&QASpecialist	Especialista de CQ
