Modal/&AssertionFailedTtitle	Asserção Fracassada
Modal/&InterruptLongRestCompleteTitle	Interrompa ao concluir o descanso longo.
Modal/&LoadButtonTitle	Carregar
Modal/&LoadGameHeader	Carregar
Modal/&LoadGamePlaceholder	Escolha um jogo salvo.
Modal/&LoadingProceedButtonTitle	Para começar, clique ou aperte qualquer botão.
Modal/&LoadingTitle	Carregando... aguarde
Modal/&LoadLastSaveDescription	Continue a jogar a partir do último jogo salvo.
Modal/&LoadLastSaveTitle	Recomeçar do Último Salvamento
Modal/&MonsterListingCaption	{0} está se concentrando para detectar a presença de monstros na área... 
Modal/&MonsterListingFavoredEnemyTitle	Inimigo Favorito
Modal/&MonsterListingNotPerceivedTitle	Nenhum
Modal/&MonsterListingPerceivedTitle	Presente
Modal/&NumberSelectionInstructionTitle	Quantos Pontos?
Modal/&NumberSelectionValidateTitle	Validar
Modal/&PartyWaitMinutesPluralFormat	O grupo está esperando há {0} minutos.
Modal/&PartyWaitMinutesSingleFormat	O grupo está esperando há {0} minuto.
Modal/&RequiredRestsMultipleFormat	{0} descansos longos
Modal/&RequiredRestsNoneFormat	Nenhum
Modal/&RequiredRestsSingleFormat	1 descanso longo
Modal/&RequiredRestsTitle	Descansos Necessários
Modal/&ResetDefaultsDescription	Clique para reiniciar as configurações de viagem ao padrão.
Modal/&ResetDefaultsTitle	Reiniciar Padrões
Modal/&SaveButtonTitle	Salvar
Modal/&SaveGameHeader	Salvar
Modal/&SaveGamePlaceholder	Insira um nome de arquivo ou escolha um jogo salvo.
Modal/&SelectCharacterMultipleTitle	Escolha um ou mais personagens.
Modal/&SelectCharacterSingleTitle	Escolher um Personagem
Modal/&SelectTitle	Selecionar
Modal/&StartTravelDescription	Inicia a viagem ao lugar escolhido.
Modal/&StartTravelTitle	Começar Viagem
Modal/&TravelDurationLessThanADayFormat	Menos que um dia
Modal/&TravelDurationMultipleFormat	{0} dias
Modal/&TravelDurationSingleFormat	1 dia
Modal/&TravelDurationTitle	Duração
Modal/&TravelFromTitle	De
Modal/&TravelPaceNormalTitle	Normal
Modal/&TravelPaceTitle	Ritmo da Viagem
Modal/&TravelSettingsButtonDescriptionTitle	Clique para alterar as configurações de viagem e descanso.
Modal/&TravelSettingsCustomTitle	Personalizada
Modal/&TravelSettingsDefaultTitle	Padrão
Modal/&TravelSettingsTitle	Configurações de Viagem
Modal/&TravelToTitle	Para
Modal/&ValidateButtonTitle	Validar
Modal/&LoadingShortTitle	Carga
Modal/&LoadingTipTitle	Dica
Modal/&UnitsSelectionInstructionTitle	Levar quantas unidades?
Modal/&CastSpellBeforeLongRestTitle	Conjure a magia {0} quando começar o descanso longo.
Modal/&ScavengerMissionsModalTitle	Expedições de Catadores
Modal/&ScavengerMissionsModalDescription	Catadores estão vindo para estes lugares para coletar espólios deixados para trás.
Modal/&ScavengerMissionLineEncounterTitle	Em Algum Lugar na Estrada
Modal/&ScavengerMissionLineNewMissionFormat	Novas: {0} restantes
Modal/&ScavengerMissionLineOngoingMissionFormat	Em andamento: {0} restantes
Modal/&ScavengerMissionLineFinishedMissionDescription	Concluídas
Modal/&ScavengerMissionModalToggleTitle	Exibir Expedições de Encontros
Modal/&ScavengerLootModalTitle	Itens Recuperados Durante Expedições
Modal/&ScavengerLootModalInstructionsDescription	Clique para recuperar um item em vez de vender.
Modal/&ScavengerLootModalSellAllButton	Vender Tudo
Modal/&ScavengerLootModalSellInstructionsDescription	Você ganha:
Modal/&DefeatStealthDescription	Detectaram a sua presença no modo furtivo! Use o modo cautela e mova-se com mais cuidado.
Modal/&QuestBoardTitle	Missões Disponíveis
Modal/&QuestBoardDescription	Escolha a missão que deseja aceitar e pressione Começar.
Modal/&QuestBoardStartTitle	Começar
Modal/&QuestBoardStartDescription	Aceite e comece a missão selecionada.
Modal/&QuestInProgressTitle	Em Andamento
Modal/&SolastaBackers	Apoiadores de Solasta
Modal/&EternalHeroesTitle	Aos Nossos Heróis Eternos
Modal/&TeleportButtonTitle	Teleporte
Modal/&TeleportButtonDescription	Teleporta o grupo imediatamente para o destino, perto do Portal Maior.
Modal/&VictoryTitle	O Grupo Venceu!
Modal/&StatHitAccuracyTitle	Precisão:
Modal/&StatHitAccuracyDescription	A porcentagem de rolagens de ataque com armas ou magia que foram bem-sucedidas.
Modal/&StatCriticalHitsTitle	Acertos Críticos:
Modal/&StatCriticalHitsDescription	Quantidade de acertos críticos conquistados pelo personagem em rolagens de ataque (com armas e magia)
Modal/&StatCriticalFailuresTitle	Falhas Críticas:
Modal/&StatCriticalFailuresDescription	Quantidade de falhas críticas sofridas pelo personagem em rolagens de ataque (com armas e magia)
Modal/&StatInflictedDamageTitle	Dano Causado:
Modal/&StatInflictedDamageDescription	Total de pontos de dano causados pelos personagens.
Modal/&StatSlainEnemiesTitle	Inimigos Eliminados:
Modal/&StatSlainEnemiesDescription	Quantidade de inimigos que este personagem executou (golpe final).
Modal/&StatSustainedInjuriesTitle	Dano Sofrido:
Modal/&StatSustainedInjuriesDescription	Total de pontos de vida perdidos por este personagem.
Modal/&StatRestoredHealthTitle	Vida Recuperada:
Modal/&StatRestoredHealthDescription	Total de pontos de vida recuperados por este personagem.
Modal/&StatUsedMagicAndPowersTitle	Magia e Poderes Usados:
Modal/&StatUsedMagicAndPowersDescription	Quantidade de espaços de magia e cargas de poder usados pelo personagem.
Modal/&StatTravelledCellsTitle	Distância Percorrida:
Modal/&StatTravelledCellsDescription	Quantidade de espaços que o personagem percorreu em todas as 3 dimensões, como uma contagem de "quilometragem rodada".
Modal/&StatKnockOutsTitle	Apagões:
Modal/&StatKnockOutsDescription	Quantidade de vezes que o personagem ficou inconsciente ou morreu.
Modal/&StatEarnedXPTitle	EXP Acumulada:
Modal/&StatEarnedXPDescription	Quantidade de pontos de experiência obtidos pelo personagem.
Modal/&StatGameTimeTitle	Tempo de Jogo:
Modal/&StatGameTimeDescription	Quanto tempo o grupo passou em jogo, incluindo os descansos.
Modal/&StatShortRestsTitle	Descansos Rápidos:
Modal/&StatShortRestsDescription	Quantos descansos rápidos o grupo completou.
Modal/&StatLongRestsTitle	Descansos Longos:
Modal/&StatLongRestsDescription	Quantos descansos longos o grupo completou.
Modal/&StatGameTimeFormat	{0}d {1}h {2}m {3}s
Modal/&UpdateFileTitle	Atualizar Arquivo
Modal/&UpdateFileDescription	Atualize o arquivo deste personagem para que o progresso e os espólios sejam salvos para aventuras futuras. Personagens desse tipo não podem ser usados na campanha principal de Solasta.
Modal/&PregenCharacterCannotUpdateTitle	Personagem Pré-Gerado
Modal/&PregenCharacterCannotUpdateDescription	Este personagem foi gerado previamente pelo jogo e não pode ser atualizado.
Modal/&ContinueTitle	Continuar
Modal/&ContinueDescription	Voltar para o menu principal
Modal/&SelectUserLocationTitle	Escolha um Local
Modal/&UserLocationSettingsTitle	Configurações do Local
Modal/&UserLocationSettingsApplyTitle	Aplicar
Modal/&CheatsTitle	Trapaças para Teste de Jogo
Modal/&IdleMonstersToggleTitle	Monstros Ociosos
Modal/&IdleMonstersToggleDescription	Os monstros não atacam ao avistar seu personagem. {0}
Modal/&InviciblePartyToggleTitle	Grupo Invencível
Modal/&InviciblePartyToggleDescription	Os personagens do grupo são invencíveis em combate. {0}
Modal/&RevealFogOfWarButtonTitle	Remover Névoa de Guerra
Modal/&RevealFogOfWarButtonDescription	Remove a névoa de guerra sobre o local para que você possa ver o interior de todas as câmaras. {0}
Modal/&KIllBattleEnemiesButtonTitle	Matar Inimigos de Combate
Modal/&KIllBattleEnemiesButtonDescription	Mata todos os inimigos em combate. {0}
Modal/&IdleMonstersOnDescription	Os monstros estão ociosos agora
Modal/&IdleMonstersOffDescription	Os monstros estão ativos novamente
Modal/&InviciblePartyOnDescription	O grupo agora é invencível
Modal/&InviciblePartyOffDescription	O grupo não é mais invencível
Modal/&RevealFogOfWarOnDescription	A névoa de guerra foi completamente removida
Modal/&RevealFogOfWarOffDescription	A névoa de guerra está presente novamente
Modal/&MonsterFilterAllTitle	Todos os Monstros
Modal/&FilterKeywordTitle	Filtrar
Modal/&FilterKeywordDescription	Filtra a lista de elementos segundo a palavra-chave especificada.
Modal/&ClearKeywordDescription	Apaga a palavra-chave selecionada e cancela a filtragem.
Modal/&InputKeywordTitle	Insira a palavra-chave:
Modal/&UserItemEditionTitle	Edição de Item de Usuário
Modal/&UserContentReferenceTitle	Referência
Modal/&UserContentReferenceDescription	O conteúdo usado como referência (de Solasta) para a criação deste conteúdo personalizado.
Modal/&UserContentInternalNameTitle	Nome Interno
Modal/&UserContentInternalNameDescription	O nome interno usado para se referir a este conteúdo personalizado. Isso não será exposto ao jogador, que lerá apenas o título e a descrição. O nome interno é utilizado pelos dispositivos para fazer referência ao conteúdo de usuário. Você pode manter o nome gerado automaticamente ou criar um novo (que não pode ser repetido).
Modal/&UserContentOverridesTitle	Substituição de Conteúdo
Modal/&UserContentOverridesDescription	Permite trocar os valores do conteúdo de referência por valores personalizados.
Modal/&UserContentOverrideToggleDescription	Clique para substituir o valor padrão ou para reativá-lo.
Modal/&ProcessingContentTitle	Processando o conteúdo...
Modal/&ContentPropertyTitleTitle	Título
Modal/&ContentPropertyTitleDescription	O nome com o qual este elemento de conteúdo aparecerá para o jogador final
Modal/&ContentPropertyDescriptionTitle	Descrição
Modal/&ContentPropertyDescriptionDescription	A descrição que aparecerá para o jogador final nas dicas do jogo
Modal/&ContentPropertyCostsTitle	Custo
Modal/&ContentPropertyCostsDescription	A tabela de custos brutos (para cada moeda) deste conteúdo. Os parâmetros de mercador podem alterar os custos exibidos na loja.
Modal/&ContentPropertyDocumentFragmentsTitle	Fragmentos de Documentos
Modal/&ContentPropertyDocumentFragmentsDescription	Isto só fica disponível ao inspecionar um documento (pergaminho, livro ou placa) e permite que você preencha com um texto seu para ser exibido na interface de análise de documentos.
Modal/&CustomContentTitle	Personalizada
Modal/&ContentPropertyAbilityScoresTitle	Pontos de Habilidade
Modal/&ContentPropertyAbilityScoresDescription	Insira aqui os valores personalizados de pontos de habilidade. \n Modificar estes valores não altera as rolagens de ataque dos monstros nem os testes de resistência e habilidade nos quais o monstro tenha proficiência. A classe de armadura e os pontos de vida também não são alterados pelos pontos de habilidade personalizados.
Modal/&ContentPropertyHitPointsTitle	Pontos de Vida
Modal/&ContentPropertyHitPointsDescription	Você pode substituir os pontos de vida máximos desta criatura.
Modal/&ContentPropertyArmorClassTitle	Classe de Armadura
Modal/&ContentPropertyArmorClassDescription	Você pode substituir a Classe de Armadura desta criatura.
Modal/&UserMonsterEditionTitle	Edição de Monstro de Usuário
Modal/&UserNpcEditionTitle	Edição de NPC Personalizado
Modal/&ContentPropertyBooleanTrueTitle	Verdadeiro
Modal/&ContentPropertyBooleanFalseTitle	Falso
Modal/&UserMerchantInventoryEditionTitle	Inventário Personalizado de Mercador
Modal/&UserContentValuesTitle	Valores de Conteúdo
Modal/&UserContentValuesDescription	Permite trocar os valores do conteúdo personalizado.
Modal/&ContentPropertyOverchargePercentTitle	Porcentagem de Sobrepreço
Modal/&ContentPropertyOverchargePercentDescription	O custo extra (em porcentagem) ao comprar um item deste mercador.
Modal/&ContentPropertyBuyBackPercentTitle	Porcentagem ao Comprar de Volta
Modal/&ContentPropertyBuyBackPercentDescription	A porcentagem do custo bruto que este mercador lhe dará quando você vender um item.
Modal/&ContentPropertyCanDetectMagicTitle	Pode Detectar Magia
Modal/&ContentPropertyCanDetectMagicDescription	Este mercador poderá detectar itens mágicos no inventário dos membros do grupo?
Modal/&ContentPropertyDetectMagicCostGpTitle	Custo de Detectar Magia (em PO)
Modal/&ContentPropertyDetectMagicCostGpDescription	O custo para detectar itens mágicos.
Modal/&ContentPropertyCanIdentifyTitle	Pode Identificar Itens
Modal/&ContentPropertyCanIdentifyDescription	Este mercador pode identificar as funções de um item mágico?
Modal/&ContentPropertyIdentifyCostGpTitle	Custo de Identificação (em PO)
Modal/&ContentPropertyIdentifyCostGpDescription	O custo para identificar um item mágico
Modal/&ContentPropertyStockUnitsTitle	Unidades de Estoque
Modal/&ContentPropertyStockUnitsDescription	Esta é a lista de itens de inventário fornecida pelo mercador, além dos respectivos parâmetros de recondicionamento.
Modal/&UserContentStockUnitsDescription	Isto permite preencher a lista de unidades de estoque ofertadas no inventário do mercador.
Modal/&UserContentStockUnitItemTitle	Item
Modal/&UserContentStockUnitItemSelectTitle	Selecionar
Modal/&UserContentStockUnitItemSelectDescription	Clique para selecionar o item deste espaço de inventário do mercador.
Modal/&UserContentStockUnitStackCountTitle	Tamanho da Pilha
Modal/&UserContentStockUnitStackCountDescription	Quando um item puder ser empilhado (por exemplo, unidades de alimentos), isto definirá o tamanho da pilha desta unidade de estoque.
Modal/&UserContentStockStockLineTitle	Estoque
Modal/&UserContentStockInitialTitle	Inicial
Modal/&UserContentStockInitialDescription	A quantidade inicial de unidades deste item quando.
Modal/&UserContentStockMinTitle	Mín.
Modal/&UserContentStockMinDescription	A quantidade mínima de itens deste tipo disponíveis, caso você queira garantir alguma quantidade.
Modal/&UserContentStockMaxTitle	Máx.
Modal/&UserContentStockMaxDescription	A quantidade máxima de itens deste tipo disponíveis.
Modal/&UserContentStockReassortLineTitle	Reestocar
Modal/&UserContentStockReassortAmountTitle	Quantidade
Modal/&UserContentStockReassortAmountDescription	A quantidade de unidades acrescentadas ao reestocar este mercador.
Modal/&UserContentStockReassortHoursTitle	Horas
Modal/&UserContentStockReassortHoursDescription	A quantidade de horas até o mercador reestocar seus itens.
Modal/&UserContentStockUnitUpButtonDescription	Move a unidade de estoque para cima na lista
Modal/&UserContentStockUnitDownButtonDescription	Move a unidade de estoque para baixo na lista
Modal/&UserContentStockUnitDeleteButtonDescription	Exclui a unidade de estoque da lista
Modal/&UserContentAddStockUnitButtonTitle	Acrescentar Unidade de Estoque
Modal/&UserContentAddStockUnitButtonDescription	Acrescenta uma nova unidade de estoque ao inventário do mercador de modo a especificar um item para poder ser comprado pelo mercador.
Modal/&UserContentProficiencyUpButtonDescription	Move a proficiência para cima na lista
Modal/&UserContentProficiencyDownButtonDescription	Move a proficiência para baixo na lista
Modal/&UserContentProficiencyDeleteButtonDescription	Exclui a proficiência da lista
Modal/&UserContentAddProficiencyButtonTitle	Acrescentar Proficiência
Modal/&UserContentAddProficiencyButtonDescription	Acrescenta novas informações de proficiência para este agente
Modal/&ContentPropertySavingThrowsTitle	Testes de Resistência
Modal/&ContentPropertySavingThrowsDescription	Esta é a lista de proficiências em testes de resistência (e o bônus adicionado à rolagem de d20) que este personagem possui.
Modal/&ContentPropertySkillsTitle	Perícias
Modal/&ContentPropertySkillsDescription	Esta é a lista de proficiências em perícias (e o bônus adicionado à rolagem de d20 do teste de habilidade) que este personagem possui.
Modal/&ContentPropertyInformationIndividualAttacksTitle	Ataques Únicos
Modal/&ContentPropertyInformationIndividualAttacksDescription	A criatura selecionará um dos ataques para usar exclusivamente no turno de combate.
Modal/&ContentPropertyInformationGroupedAttacksTitle	Ataques Agrupados
Modal/&ContentPropertyInformationGroupedAttacksDescription	A criatura pode usar todos os ataques listados em uma rodada de combate.
Modal/&UserContentAddEffectFormButtonTitle	Acrescentar Forma de Efeito
Modal/&UserContentAddEffectFormButtonDescription	Acrescenta uma nova forma de efeito que determina os efeitos deste conteúdo (dano, condição, etc.).
Modal/&ContentPropertyAttackToHitTitle	Para Acertar
Modal/&ContentPropertyAttackToHitDescription	Bônus de ataque somado à rolagem do d20 que determinará o sucesso deste ataque.
Modal/&ContentPropertyAttackIterationsTitle	Iterações
Modal/&ContentPropertyAttackIterationsDescription	Quantidade de vezes que este ataque poderá ser usado por turno.
Modal/&ContentPropertyAttack1Title	Ataque 1:
Modal/&ContentPropertyAttack1Description	Parâmetros do primeiro ataque desta criatura.
Modal/&ContentPropertyAttack2Title	Ataque 2:
Modal/&ContentPropertyAttack2Description	Parâmetros do segundo ataque desta criatura.
Modal/&ContentPropertyAttack3Title	Ataque 3:
Modal/&ContentPropertyAttack3Description	Parâmetros do terceiro ataque desta criatura.
Modal/&ContentPropertyHasSavingThrowTitle	Tem Teste de Resistência?
Modal/&ContentPropertyHasSavingThrowDescription	Define se um há um teste de resistência para este efeito.
Modal/&ContentPropertyDifficultyClassTitle	CD
Modal/&ContentPropertyDifficultyClassDescription	Classe de dificuldade a ser superada para passar no teste de resistência do efeito.
Modal/&ContentPropertyDurationTitle	Duração
Modal/&ContentPropertyDurationDescription	Duração das condições acrescentadas.
Modal/&ContentPropertyEffectFormsTitle	Formas de Efeito
Modal/&ContentPropertyEffectFormsDescription	Lista de efeitos aplicados ao alvo, tais como dano ou condições.
Modal/&ContentPropertyFormTypeTitle	Tipo de Forma
Modal/&ContentPropertyFormTypeDescription	Tipo desta forma de efeito, tais como dano ou condições.
Modal/&ContentPropertyFormTypeDamageTitle	Dano
Modal/&ContentPropertyFormTypeDamageDescription	Este tipo de forma de efeito aplica dano ao alvo.
Modal/&ContentPropertyFormTypeConditionTitle	Condição
Modal/&ContentPropertyFormTypeConditionDescription	Este tipo de forma de efeito aplica uma condição ao alvo.
Modal/&ContentPropertySaveAffinityTitle	Afinidade em Resistência
Modal/&ContentPropertySaveAffinityDescription	Define como esta forma de efeito reage a um sucesso em teste de resistência.
Modal/&ContentPropertySaveAffinityNoneTitle	Nada
Modal/&ContentPropertySaveAffinityNoneDescription	Esta forma de efeito não é impactada por um sucesso em teste de resistência.
Modal/&ContentPropertySaveAffinityHalfDamageTitle	Metade
Modal/&ContentPropertySaveAffinityHalfDamageDescription	Passar no teste de resistência reduzirá o dano deste efeito pela metade.
Modal/&ContentPropertySaveAffinityNegatesTitle	Anular
Modal/&ContentPropertySaveAffinityNegatesDescription	Passar no teste de resistência anulará completamente este efeito.
Modal/&ContentPropertyDamageDiceNumberDescription	Quantidade de dados rolados para o dano
Modal/&ContentPropertyDamageDieTypeDescription	Tipo de dados rolados para o dano
Modal/&ContentPropertyDamageBonusDescription	Bônus de dano somado aos dados rolados
Modal/&ContentPropertyDamageTypeDescription	Tipo de dano causado
Modal/&UserContentEffectFormUpButtonDescription	Move a forma de efeito para cima na lista
Modal/&UserContentEffectFormDownButtonDescription	Move a forma de efeito para baixo na lista
Modal/&UserContentEffectFormDeleteButtonDescription	Exclui a forma de efeito da lista
Modal/&UserContentEffectFormConditionSelectDescription	Clique para selecionar a condição aplicada por esta forma de efeito.
Modal/&ContentPropertyDurationRoundTitle	Rodada
Modal/&ContentPropertyDurationMinuteTitle	Minuto
Modal/&ContentPropertyDurationHourTitle	Hora
Modal/&ContentPropertyDurationDayTitle	Dia
Modal/&ContentPropertyEndOfEffectTitle	Fim do Efeito
Modal/&ContentPropertyEndOfEffectDescription	Momento no turno em que o efeito termina e quando é possível tentar um novo teste de resistência (caso disponível).
Modal/&ContentPropertyEndOfEffectStartOfTurnTitle	Início do Turno
Modal/&ContentPropertyEndOfEffectEndOfTurnTitle	Fim do Turno
Modal/&ContentPropertyCanSaveToCancelTitle	Teste de Resistência para Cancelar?
Modal/&ContentPropertyCanSaveToCancelDescription	Define se o alvo afetado por este efeito pode fazer um teste de resistência a cada turno para cancelá-lo. O momento do teste de resistência é definido no campo "Fim do Efeito"
Modal/&ContentPropertyChallengeRatingTitle	Nível de Desafio
Modal/&ContentPropertyChallengeRatingDescription	Você pode substituir a Classe de Armadura com a qual esta criatura é gerada. Os valores abaixo de 1 aceitos são: 0; 0.125; 0.25; e 0.5. Fora esses, os demais valores aceitos devem ser maiores que 1 e inteiros (sem casas decimais). Observe o uso do ponto, e não da vírgula, nos valores abaixo de 1 aceitos.
Modal/&ContentPropertyWeaponEffectsTitle	Efeitos de Arma
Modal/&ContentPropertyWeaponEffectsDescription	Use para substituir o dano ou os efeitos especiais desta arma.
Modal/&UserQuestSettingsTitle	Configurações da Missão
Modal/&UserVariableEditionTitle	Edição de Variável de Campanha
Modal/&ContentPropertyVariableTypeTitle	Tipo de Variável
Modal/&ContentPropertyVariableTypeDescription	Tipo de informação contida nesta variável.
Modal/&ContentPropertyVariableTypeIntTitle	Número Inteiro
Modal/&ContentPropertyVariableTypeIntDescription	Número inteiro que pode ser positivo, negativo ou zero e pode ser modificado por operações matemáticas.
Modal/&ContentPropertyVariableTypeBoolTitle	Booleana
Modal/&ContentPropertyVariableTypeBoolDescription	Valor limitado a verdadeiro ou falso.
Modal/&ContentPropertyVariableTypeStringTitle	Caracteres
Modal/&ContentPropertyVariableTypeStringDescription	Sequência de caracteres alfanuméricos, que pode incluir pontuação e outros caracteres válidos.
Modal/&ContentPropertyVariableDefaultValueIntTitle	Padrão
Modal/&ContentPropertyVariableDefaultValueIntDescription	Valor padrão desta variável ao iniciar a campanha. É um número inteiro.
Modal/&ContentPropertyVariableDefaultValueBoolTitle	Padrão
Modal/&ContentPropertyVariableDefaultValueBoolDescription	Valor padrão desta variável booleana ao iniciar a campanha. É verdadeiro ou falso.
Modal/&ContentPropertyVariableDefaultValueStringTitle	Padrão
Modal/&ContentPropertyVariableDefaultValueStringDescription	Valor padrão desta variável ao iniciar a campanha. É uma sequência de caracteres.
Modal/&ContentPropertyVariableBoolFalseTitle	Falso
Modal/&ContentPropertyVariableBoolTrueTitle	Verdadeiro
Modal/&SelectUserVariableTitle	Escolha uma Variável
Modal/&UserDialogSettingsTitle	Configurações do Diálogo
Modal/&ContentPropertyDamageAffinitiesTitle	Afinidades de Dano
Modal/&ContentPropertyDamageAffinitiesDescription	Permite que você adicione afinidades específicas (resistência, imunidade, vulnerabilidade) a um tipo de dano.
Modal/&DamageAffinityDamageTypeTitle	Dano
Modal/&DamageAffinityDamageTypeDescription	O tipo de dano ao qual se aplica a afinidade.
Modal/&DamageAffinityTypeTitle	Afinidade
Modal/&DamageAffinityTypeDescription	O tipo de afinidade afeta a quantidade de dano recebido.
Modal/&DamageAffinityTypeNoneTitle	Nenhuma
Modal/&DamageAffinityTypeNoneDescription	Nenhuma afinidade específica a danos.
Modal/&DamageAffinityTypeResistanceTitle	Resistência
Modal/&DamageAffinityTypeResistanceDescription	Reduz o dano pela metade.
Modal/&DamageAffinityTypeVulnerabilityTitle	Vulnerabilidade
Modal/&DamageAffinityTypeVulnerabilityDescription	O dano é dobrado.
Modal/&DamageAffinityTypeImmunityTitle	Imunidade
Modal/&DamageAffinityTypeImmunityDescription	Ignora todo o dano.
Modal/&SavingThrowAdvantageTitle	Vantagem em Testes
Modal/&SavingThrowAdvantageDescription	O tipo de vantagem ou desvantagem em testes de resistência contra esse tipo de dano.
Modal/&SavingThrowAdvantageNoneTitle	Nenhuma
Modal/&SavingThrowAdvantageNoneDescription	Nenhuma vantagem ou desvantagem específica.
Modal/&SavingThrowAdvantageAdvantageTitle	Vantagem
Modal/&SavingThrowAdvantageAdvantageDescription	Vantagem em testes de resistência.
Modal/&SavingThrowAdvantageDisadvantageTitle	Desvantagem
Modal/&SavingThrowAdvantageDisadvantageDescription	Desvantagem em testes de resistência.
Modal/&UserContentSelectionTitle	Seleção de Conteúdo de Usuário
Modal/&UserContentSelectAllButtonTitle	Selecionar Tudo
Modal/&UserContentSelectAllButtonDescription	Seleciona todo o conteúdo de usuário dessa campanha.
Modal/&UserContentDeselectAllButtonTitle	Desselecionar Tudo
Modal/&UserContentDeselectAllButtonDescription	Desseleciona todo o conteúdo de usuário dessa campanha.
Modal/&UserContentImportButtonTitle	Importar
Modal/&UserContentImportButtonDescription	Importa o conteúdo selecionado para a campanha atual.
Modal/&UserContentExportButtonTitle	Exportar
Modal/&UserContentExportButtonDescription	Exporta o conteúdo selecionado da campanha atual para outra que você selecionar no próximo painel.
Modal/&UserContentOverwriteToggleTitle	Sobrescrever Repetições
Modal/&UserContentOverwriteToggleDescription	Se isto estiver marcado, todo o conteúdo com o mesmo nome será sobrescrito na campanha selecionada.
Modal/&ContentPropertyDroppedLootTitle	Largou Espólio
Modal/&ContentPropertyDroppedLootDescription	Permite que você especifique o pacote de espólios largado por um monstro de usuário. Alguns pacotes padrão fazem parte dos dados internos do jogo e não podem ser acessados, porém, é possível criar e alterar os pacotes de espólios de usuários.
Modal/&UserLootPackEditionTitle	Editar Pacote de Espólios
Modal/&ContentPropertyItemOccurencesTitle	Ocorrência de Itens
Modal/&ContentPropertyItemOccurencesDescription	Permite que você edite o conteúdo desse pacote de espólios, incluindo a quantidade e a probabilidade.
Modal/&UserContentAddItemOccurenceButtonTitle	Adicionar item
Modal/&UserContentAddItemOccurenceButtonDescription	Adiciona um item ao pacote de espólios, incluindo a quantidade e probabilidade.
Modal/&UserContentItemOccurenceDiceNumberDescription	Quantidade de dados rolados para definir a quantidade desse item.
Modal/&UserContentItemOccurenceDiceTypeDescription	Tipo de dados rolados para definir a quantidade desse item.
Modal/&UserContentItemOccurenceAdditiveModifierDescription	O modificador que será aplicado ao resultado dos dados e vai definir a quantidade desse item. É possível obter valores negativos, por exemplo: 1d4-3 equivale a uma chance de 25% de criar o item.
Modal/&DialogSettingsAdditionalNpcsTitle	NPCs Adicionais
Modal/&DialogSettingsAdditionalNpcsDescription	Além do NPC principal com quem o grupo está conversando, você também pode selecionar outros NPCs para acrescentar mais opções de papéis às caixas de diálogo de NPC. Lembre-se de criar os NPCs antes do diálogo começar.
Modal/&ContentPropertyMagicOvercomesTitle	A superação da magia?
Modal/&ContentPropertyMagicOvercomesDescription	Ao selecionar esta opção, a afinidade de dano será cancelada por um efeito mágico ou ataque.
