Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionCursedDexterityDescription	Desvantagem em testes de habilidade e de resistência de DES.
Rules/&ConditionCursedDexterityTitle	Maldição (Destreza)
Rules/&ConditionCursedIntelligenceDescription	Desvantagem em testes de habilidade e de resistência de INT.
Rules/&ConditionCursedIntelligenceTitle	Maldição (Inteligência)
Rules/&ConditionCursedStrengthDescription	Desvantagem em testes de habilidade e de resistência de FOR.
Rules/&ConditionCursedStrengthTitle	Maldição (Força)
Rules/&ConditionCursedTitle	Maldição
Rules/&ConditionCursedWisdomDescription	Desvantagem em testes de habilidade e de resistência de SAB.
Rules/&ConditionCursedWisdomTitle	Maldição (Sabedoria)
Rules/&ConditionDarkvisionDescription	Veja normalmente sob luz fraca, e sob escuridão natural como se fosse luz fraca.
Rules/&ConditionDarkvisionTitle	Visão no Escuro
Rules/&ConditionDazzledDescription	Incapaz de reagir; -2 de Classe de Armadura.
Rules/&ConditionDazzledTitle	Deslumbre
Rules/&ConditionDeadDescription	Incapaz de agir até receber revivificação ou ressuscitação.
Rules/&ConditionDeadTitle	Morte
Rules/&ConditionDeafenedDescription	Incapaz de ouvir.
Rules/&ConditionDeafenedTitle	Surdez
Rules/&ConditionDetectEvilandGoodDescription	Detecção de aberração, celestial, elemental, fada, ínfero ou morto-vivo.
Rules/&ConditionDetectEvilandGoodTitle	Detecção de Criatura Boa/Má
Rules/&ConditionDetectMagicDescription	Capaz de detectar magia por perto.
Rules/&ConditionDetectMagicTitle	Detectar Magia
Rules/&ConditionDiscipleImmuneColdDescription	Fique imune a dano de frio e recupere PV mediante contato com frio.
Rules/&ConditionDiscipleImmuneColdTitle	Estudioso dos Elementos (Frio)
Rules/&ConditionDiscipleImmuneFireDescription	Fique imune a dano elétrico e recupere PV mediante contato com eletricidade.
Rules/&ConditionDiscipleImmuneFireTitle	Estudioso dos Elementos (Fogo)
Rules/&ConditionDiscipleImmuneLightningDescription	Fique imune a dano de fogo e recupere PV mediante contato com fogo.
Rules/&ConditionDiscipleImmuneLightningTitle	Estudioso dos Elementos (Elétrico)
Rules/&ConditionDiseasedDescription	Uma doença acomete a criatura.
Rules/&ConditionDiseasedTitle	Doença
Rules/&ConditionDisengagingDescription	Imune a ataques de oportunidade.
Rules/&ConditionDisengagingTitle	Desengajando-se
Rules/&ConditionDivineFavorDescription	Causa +1d4 de dano radiante.
Rules/&ConditionDivineFavorTitle	Graça Divina
Rules/&ConditionDivinelyRevealedDescription	O conjurador deste efeito descobre a categoria e a posição da criatura.
Rules/&ConditionDivinelyRevealedTitle	Revelação Divina
Rules/&ConditionDodgingDescription	Ataques à criatura têm desvantagem.
Rules/&ConditionDodgingTitle	Esquiva
Rules/&ConditionDyingDescription	Morrerá em breve, a menos que receba estabilização.
Rules/&ConditionDyingTitle	Morrendo
Rules/&ConditionEncumberedDescription	-2 de velocidade.
Rules/&ConditionEncumberedTitle	Sobrepeso
Rules/&ConditionEnfeebledDescription	Metade do dano em ataques de FOR.
Rules/&ConditionEnfeebledTitle	Fraqueza
Rules/&ConditionEntangledTitle	Emaranhamento
Rules/&ConditionExhaustedDescription	Fraqueza devido à exaustão.
Rules/&ConditionExhaustedTitle	Exaustão
Rules/&ConditionExpeditiousRetreatDescription	Disparada disponível como ação bônus.
Rules/&ConditionExpeditiousRetreatTitle	Retirada Acelerada
Rules/&ConditionFalseLifeDescription	Mais pontos de vida temporários.
Rules/&ConditionFalseLifeTitle	Vitalidade Vazia
Rules/&ConditionFeatherFallingDescription	Não sofre dano de queda.
Rules/&ConditionFeatherFallingTitle	Queda Suave
Rules/&ConditionFlyingDescription	A criatura escolhida ganha velocidade de voo de 12 espaços por ação de movimento.
Rules/&ConditionFlyingTitle	Voo
Rules/&ConditionForceOfLawDescription	Imponha uma desvantagem ao próximo teste de resistência do alvo.
Rules/&ConditionForceOfLawTitle	Força da Lei
Rules/&ConditionFormAddBeneficialFormat	Concede: {0}
Rules/&ConditionFormAddDetrimentalFormat	Inflige: {0}
Rules/&ConditionFormAddNeutralFormat	Torna-se: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Remove todas as ocorrências das seguintes condições: {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Remove uma ocorrência aleatória das seguintes condições: {0}.
Rules/&ConditionFormRemoveFormat	Remove: {0}
Rules/&ConditionFrightenedDescription	Incapaz de se aproximar da origem de medo; desvantagem em rolagens de ataque e testes de habilidade.
Rules/&ConditionFrightenedFearDescription	Precisa fugir da origem do medo.
Rules/&ConditionFrightenedFearTitle	Amedrontamento (Medo)
Rules/&ConditionFrightenedTitle	Amedrontamento
Rules/&ConditionGateKeeperDescription	Vantagem em testes de resistência à morte.
Rules/&ConditionGateKeeperTitle	Guardião dos Portões
Rules/&ConditionGiantStrengthCloudDescription	27 de Força
Rules/&ConditionGiantStrengthCloudTitle	Força do Gigante (Nuvens)
Rules/&ConditionGiantStrengthFireDescription	25 de Força
Rules/&ConditionGiantStrengthFireTitle	Força do Gigante (Fogo)
Rules/&ConditionGiantStrengthFrostDescription	23 de Força
Rules/&ConditionGiantStrengthFrostTitle	Força do Gigante (Gelo)
Rules/&ConditionGiantStrengthHillDescription	21 de Força
Rules/&ConditionGiantStrengthHillTitle	Força do Gigante (Colina)
Rules/&ConditionGrappledDescription	Incapaz de se mover.
Rules/&ConditionGrappledTitle	Agarrão
Rules/&ConditionGuidedDescription	Adicione 1d4 a um teste de habilidade.
Rules/&ConditionGuidedTitle	Orientação
Rules/&ConditionHastedDescription	Dobro de velocidade; +2 de CA; vantagem em testes de resistência de Destreza; pode fazer uma ação adicional por turno (Atacar, Disparada, Esquivar-se, Desengajar-se, Esconder-se, Usar Item).
Rules/&ConditionHastedTitle	Celeridade
Rules/&ConditionHealthyDescription	Sem ferimentos.
Rules/&ConditionHealthyTitle	Saudável
Rules/&ConditionHeavilyEncumberedDescription	-4 de velocidade.\nDesvantagem em rolagens de ataque.
Rules/&ConditionHeavilyEncumberedTitle	Sobrepeso Total
Rules/&ConditionHeavilyObscuredTitle	Obscurecimento Total
Rules/&ConditionHeraldOfBattleDescription	+1 de CA; +1 em rolagens de ataque e dano; +1 em todos os testes de resistência.
Rules/&ConditionHeraldOfBattleTitle	Com a Bênção de Avatar da Batalha
Rules/&ConditionHeroismTitle	Heroísmo
Rules/&ConditionHighlightedDescription	A criatura não pode usar invisibilidade; atacantes têm vantagem.
Rules/&ConditionHighlightedTitle	Realce
Rules/&ConditionHinderedDescription	-2 de velocidade de movimento.
Rules/&ConditionHinderedTitle	Obstrução
Rules/&ConditionIncapacitatedDescription	Incapaz de executar ações ou reações.
Rules/&ConditionIncapacitatedTitle	Incapacitação
Rules/&ConditionInStinkingCloudDescription	A criatura tem de fazer um teste de CON bem-sucedido para agir neste turno.\nObscurecimento total da visão.
Rules/&ConditionInStinkingCloudTitle	Em Nuvem de Fedor
Rules/&ConditionInvisibleDescription	Não é visível sem uso de magia; a criatura tem vantagem em ataques; atacantes têm desvantagem.
Rules/&ConditionInvisibleTitle	Invisível
Rules/&ConditionJumpDescription	Aumenta a distância de salto.
Rules/&ConditionJumpTitle	Saltar
Rules/&ConditionLethargicDescription	A criatura não pode se mover nem agir até o próximo turno.
Rules/&ConditionLethargicTitle	Letargia
Rules/&ConditionLevitateDescription	A criatura alvo levita; o conjurador pode movê-la para cima ou para baixo.
Rules/&ConditionLevitateTitle	Levitação
Rules/&ConditionLifeDrainedDescription	Reduz os pontos de vida máximos enquanto você não concluir um descanso longo.
Rules/&ConditionLifeDrainedTitle	Drenagem
Rules/&ConditionLightHypersensitiveDescription	A luz causa ferimentos.
Rules/&ConditionLightHypersensitiveTitle	Hipersensibilidade à Luz
Rules/&ConditionLightSensitiveDescription	A luz causa desvantagem.
Rules/&ConditionLightSensitiveTitle	Sensibilidade à Luz
Rules/&ConditionLongstriderDescription	A velocidade de movimento aumenta em 2 espaços.
Rules/&ConditionLongstriderTitle	Passos Longos
Rules/&ConditionMagicallyArmoredDescription	13 de Classe Base da Armadura.
Rules/&ConditionMagicallyArmoredTitle	Armadura Arcana
Rules/&ConditionMagicallyAsleepDescription	Incapaz de agir até despertar.
Rules/&ConditionMagicallyAsleepTitle	Magia Sonífera
Rules/&ConditionMagicalWeaponDescription	A arma pode ferir inimigos imunes a ataques que não são mágicos.
Rules/&ConditionMagicalWeaponTitle	Arma Mágica
Rules/&ConditionMarkedByBrandingSmiteDescription	Emite luz; incapaz de ficar invisível; fica visível ao usar invisibilidade.
Rules/&ConditionMarkedByBrandingSmiteTitle	Marca da Punição
Rules/&ConditionMarkedByHunterDescription	+1d6 de dano ao sofrer um ataque do conjurador.
Rules/&ConditionMarkedByHunterTitle	Marca do Caçador
Rules/&ConditionMindControlledTitle	Mente Controlada
Rules/&ConditionOnFireDescription	Sofre dano de fogo contínuo, a menos que uma ação apague o fogo.
Rules/&ConditionOnFireTitle	Em Chamas
Rules/&ConditionParalyzedDescription	Incapaz de agir; ataques contra a criatura têm vantagem; acerto crítico automático ao sofrer ataque de um espaço adjacente.
Rules/&ConditionParalyzedTitle	Paralisia
Rules/&ConditionPetrifiedDescription	Transforma-se em pedra; torna-se muito resistente a dano.
Rules/&ConditionPetrifiedTitle	Petrificação
Rules/&ConditionPoisonedDescription	Desvantagem em ataques e testes de habilidade.
Rules/&ConditionPoisonedTitle	Envenenamento
Rules/&ConditionPossessedDescription	Sob controle de um ser sobrenatural.
Rules/&ConditionPossessedTitle	Possessão
Rules/&ConditionProneDescription	Só consegue se mover ao rastejar; vulnerável a ataques em proximidade.
Rules/&ConditionProneTitle	Prostração
Rules/&ConditionProtectedFromEvilTitle	Proteção Contra o Bem e o Mal
Rules/&ConditionResistingDescription	+1d4 a um teste de resistência.
Rules/&ConditionResistingTitle	Resistência
Rules/&ConditionRestrainedDescription	Incapaz de se mover; ataques da criatura e testes de resistência de Destreza têm desvantagem; ataques contra a criatura têm vantagem.
Rules/&ConditionRestrainedTitle	Contenção
Rules/&ConditionSeeInvisibilityDescription	Percebe criaturas invisíveis.
Rules/&ConditionSeeInvisibilityTitle	Visão de Invisibilidade
Rules/&ConditionSeverelyWoundedDescription	Morrerá em breve.
Rules/&ConditionSeverelyWoundedTitle	Ferimentos Graves
Rules/&ConditionShieldedByFaithDescription	+2 de Classe de Armadura.
Rules/&ConditionShieldedByFaithTitle	Escudo da Fé
Rules/&ConditionShieldedDescription	+5 de Classe de Armadura; imune a mísseis mágicos.
Rules/&ConditionShieldedTitle	Escudo
Rules/&ConditionShockedDescription	Incapaz de usar reações.
Rules/&ConditionShockedTitle	Choque
Rules/&ConditionSleetStormDescription	Terreno difícil; pode sofrer prostração; obscurecimento total; tem de fazer teste de concentração.
Rules/&ConditionSleetStormTitle	Em Chuva de Granizo
Rules/&ConditionSlowedDescription	Perde metade da velocidade; -2 de CA e testes de DES; máx. de uma ação ou bônus de ação; sem reação; máx. de um ataque por turno; magia pode falhar.
Rules/&ConditionSlowedTitle	Lentidão
Rules/&ConditionSpiderClimbDescription	Capaz de escalar como uma aranha.
Rules/&ConditionSpiderClimbTitle	Escalada de Aranha
Rules/&ConditionSpiritGuardiansDescription	Perde metade da velocidade; pode sofrer dano no início de cada turno.
Rules/&ConditionSpiritGuardiansSelfDescription	No momento, tal personagem desfruta da proteção de Guardiões Espirituais.
Rules/&ConditionSpiritGuardiansSelfTitle	Proteção de Espíritos
Rules/&ConditionSpiritGuardiansTitle	Alvo do Espíritos
Rules/&ConditionStealthyDescription	Mantém furtividade ativa.
Rules/&ConditionStealthyTitle	Furtivamente
Rules/&ConditionStunnedDescription	Incapaz de agir ou se mover; ataques contra criaturas têm vantagem; falha automaticamente em testes de resistência de Força e Destreza.
Rules/&ConditionStunnedTitle	Atordoamento
Rules/&ConditionSurprisedDescription	Incapaz de agir durante uma rodada.
Rules/&ConditionSurprisedTitle	Surpresa
Rules/&ConditionTargetedByGuidingBoltDescription	Vantagem no primeiro ataque contra esta criatura.
Rules/&ConditionTargetedByGuidingBoltTitle	Alvo do Raio Traçante
Rules/&ConditionTemporaryHitPointsDescription	A criatura ganha pontos de vida temporários.
Rules/&ConditionTemporaryHitPointsTitle	PV Temporários
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	Os bônus de proficiência e de INT aumentam o dano de magias de evocação.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Fúria Arcana
Rules/&ConditionTrueStrikeDescription	O conjurador tem vantagem no primeiro ataque contra o alvo da magia.
Rules/&ConditionTrueStrikeTitle	Golpe Certeiro
Rules/&ConditionTurnedDescription	Precisa se afastar do conjurador.
Rules/&ConditionTurnedTitle	Repulsão
Rules/&ConditionTypeBeneficialFormat	Condição Positiva
Rules/&ConditionTypeDetrimentalFormat	Condição Negativa
Rules/&ConditionTypeNeutralFormat	Condição Neutra
Rules/&ConditionUnconsciousDescription	Incapaz de agir até despertar.
Rules/&ConditionUnconsciousTitle	Inconsciente
Rules/&ConditionVampiricTouchDescription	A cada turno, pode realizar um ataque corpo a corpo com magia.
Rules/&ConditionVampiricTouchTitle	Toque Vampírico
Rules/&ConditionWoundedDescription	Perde alguns pontos de vida.
Rules/&ConditionWoundedTitle	Ferimento
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provoca um teste de concentração.
Rules/&CounterFormDisperseCloudFormat	Dispersa nuvens na área.
Rules/&CounterFormDissipateSpellsFormat	Dissipa automaticamente magias cujo nível chega até {0}. Acima disso, é preciso ter CD {1}+ de magia de nível.
Rules/&CounterFormExtinguishLightFormat	Apaga as fontes de luz da área.
Rules/&CounterFormInterruptSpellcastingFormat	Contra-ataca automaticamente magias cujo nível chega até {0}. Acima disso, é preciso ter CD {1}+ de magia de nível.
Rules/&CounterFormRemoveDarknessFormat	Remove áreas de trevas.
Rules/&DamageAcidDescription	O jato corrosivo do sopro de um dragão negro e as enzimas solventes de uma geleia negra causam dano de ácido.
Rules/&DamageAcidTitle	Ácido
Rules/&DamageBludgeoningDescription	Ataques de força bruta, tais como marteladas, quedas, constrições e afins, causam dano de concussão.
Rules/&DamageBludgeoningTitle	Concussão
Rules/&DamageColdDescription	O frio infernal da lança de um diabo gélido e a rajada frígida do sopro de um dragão branco causam dano de frio.
Rules/&DamageColdTitle	Frio
Rules/&DamageFireDescription	Dragões vermelhos exalam fogo, e muitas magias conjuram chamas para causar dano de fogo.
Rules/&DamageFireTitle	Fogo
Rules/&DamageForceDescription	Energia é a canalização ofensiva da magia em estado puro. A maioria dos efeitos que causam dano de energia são magias, tais como mísseis mágicos e armas espirituais.
Rules/&DamageForceTitle	Energia
Rules/&DamageFormFormat	{0}{1} de dano de {2}{3} ({4})
Rules/&DamageFormTightFormat	{0}{1} de dano {2}{3} ({4})
Rules/&DamageLightningDescription	A magia de relâmpago e o sopro do dragão azul causam dano elétrico.
Rules/&DamageLightningTitle	Elétrico
Rules/&DamageNecroticDescription	O dano necrótico, causado por certos mortos-vivos e por magias como o Toque Necrótico, esmorece o corpo e a alma.
Rules/&DamageNecroticTitle	Necrótico
Rules/&DamagePiercingDescription	Ataques de perfuração, tais como golpes de lança e mordidas de monstros, causam dano perfurante.
Rules/&DamagePiercingTitle	Perfurante
Rules/&DamagePoisonDescription	Picadas peçonhentas e o gás tóxico do sopro de um dragão verde causam dano de veneno.
Rules/&DamagePoisonTitle	Veneno
Rules/&DamagePsychicDescription	Habilidades mentais causam dano psíquico.
Rules/&DamagePsychicTitle	Psíquico
Rules/&DamageRadiantDescription	O dano radiante, causado por um golpe flamejante de um clérigo ou uma arma punidora de um anjo, é como uma chama que queima a pele e aquece o espírito.
Rules/&DamageRadiantTitle	Radiante
Rules/&DamageSlashingDescription	Espadas, machados e garras de monstros causam dano cortante.
Rules/&DamageSlashingTitle	Cortante
Rules/&DamageThunderDescription	Um estrondo contundente, tal como o efeito de uma magia de onda trovejante, causa dano de trovão.
Rules/&DamageThunderTitle	Trovão
Rules/&DamageTitle	Dano: 
Rules/&DcFormat	CD: {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Revela todas as propriedades de um item.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Pressente a presença dos seguintes tipos de criatura: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Revela criaturas e objetos que estão {0}.
Rules/&DurationAnyRestFormat	Até qualquer descanso
Rules/&DurationDayPluralFormat	{0} dias
Rules/&DurationDaySingleFormat	{0} dia
Rules/&DurationHourPluralFormat	{0} horas 
Rules/&DurationHourSingleFormat	{0} hora 
Rules/&DurationInstantaneousFormat	Instantânea
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Até um descanso longo
Rules/&DurationMinutePluralFormat	{0} minutos 
Rules/&DurationMinuteSingleFormat	{0} minuto 
Rules/&DurationNoneFormat	{0} rodada 
Rules/&DurationPermanentFormat	Permanente
Rules/&DurationRoundPluralFormat	{0} rodadas 
Rules/&DurationRoundSingleFormat	{0} rodada 
Rules/&DurationShortRestFormat	Até um descanso rápido
Rules/&DurationUntilEndOfSourceTurnFormat	Até o fim do turno do personagem fonte.
Rules/&DurationUntilEndOfTargetTurnFormat	Até o fim do turno deste personagem.
Rules/&DurationUntilStartOfSourceTurnFormat	Até o início do turno do personagem fonte.
Rules/&DurationUntilStartOfTargetTurnFormat	Até o início do turno deste personagem.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Acerto Corpo a Corpo
Rules/&EffectRangeRangeHitTitle	{0} de Acerto à Distância
Rules/&EffectRangeSelfTitle	Você
Rules/&EffectRangeTouchTitle	Toque
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0}{1}
Rules/&EffectTargetIndividualsUniqueTitle	{0}{1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	Visível em {0}
Rules/&EffectTargetItemTitle	Item
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0}{1}
Rules/&EffectTargetPositionTitle	Chão
Rules/&EffectTargetSelfTitle	Você
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0}{1}{2} de cura
Rules/&HealingStabilize	Estabiliza uma criatura moribunda.
Rules/&HeightFormatFeet	{0} m
Rules/&HeightFormatFeetInches	{0} cm
Rules/&ItemPropertyFormFormat	No item escolhido: \n{0}
Rules/&LightSourceFormFormat	fonte de luz: {0} forte(s) + {1} fraca(s) 
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Levite {0}
Rules/&MotionFormPullFormat	Puxe {0}
Rules/&MotionFormPushFormat	Empurre {0}
Rules/&MotionFormTeleportFormat	Teleporte {0}
Rules/&RateAtWillFormatTitle	à vontade
Rules/&RateChannelDivinityFormatTitle	descanso rápido
Rules/&Rated6FormatTitle	em 5 ou 6 em 1d6
Rules/&RateDawnFormatTitle	aurora
Rules/&RateHealingPoolFormatTitle	reserva de cura
Rules/&RateLongRestFormatTitle	descanso longo
Rules/&RateNoneFormatTitle	nenhum(a)
Rules/&RateOneMinuteFormatTitle	a cada minuto
Rules/&RateShortRestFormatTitle	descanso rápido
Rules/&RateSpellSlotFormatTitle	espaços de magia
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Habilidade de conjurar a magia {0}.
Rules/&RecipeRequiredTooltypeFormat	Proficiência com {0}
Rules/&SaveAffinityHalfDamageTitle	(salve para {0})
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(salve a cada turno para cancelar)
Rules/&SaveAffinityNegateTitle	(salve para anular)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Se o atacante estiver longe do alvo:
Rules/&SituationalContextAttackerNextToTargetFormat	Se o atacante estiver perto do alvo:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Se o atacante estiver em posição mais elevada:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	se o atacante tiver um aliado consciente perto do alvo:
Rules/&SituationalContextNextToWallFormat	se a criatura estiver perto de uma parede:
Rules/&SituationalContextTargetIsEffectSourceFormat	se a criatura estiver atacando a origem do efeito:
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Truque
Rules/&SpellLevel1FormatTitle	Nível 1
Rules/&SpellLevel2FormatTitle	Nível 2
Rules/&SpellLevel3FormatTitle	Nível 3
Rules/&SpellLevel4FormatTitle	Nível 4
Rules/&SpellLevel5FormatTitle	Nível 5
Rules/&SpellLevel6FormatTitle	Nível 6
Rules/&SpellLevel7FormatTitle	Nível 7
Rules/&SpellLevel8FormatTitle	Nível 8
Rules/&SpellLevel9FormatTitle	Nível 9
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Recupere metade dos espaços de magia do seu nível de classe (arredondado) até o nível {0}.
Rules/&SummonFormCreaturesMultipleFormat	Invoque {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Invoque {0}.
Rules/&SummonFormEffectProxyFormat	Invoque e controle "{0}" 
Rules/&SummonFormInventoryItemsMultipleFormat	Invoque {0} (x {1}) ao inventário
Rules/&SummonFormInventoryItemsSingleFormat	Invoque {0} ao inventário
Rules/&TemporaryHitPointsFormFormat	{0}{1}{2} pontos de vida temporários
