Setting/&ApplyDescription	Aplique as alterações escolhidas.
Setting/&DamagePsychicStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamagePsychicStyleTitle	Estilo do Dano Psíquico
Setting/&DamageRadiantStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageRadiantStyleTitle	Estilo do Dano Radiante
Setting/&DamageSlashingStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageSlashingStyleTitle	Estilo do Dano Cortante
Setting/&DamageThunderStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageThunderStyleTitle	Estilo do Dano de Trovão
Setting/&DisplayBanterTextAboveCharactersDescription	Marque esta opção para mostrar/ocultar os gracejos sobre os personagens.
Setting/&DisplayBanterTextAboveCharactersTitle	Exibir Gracejos Sobre os Personagens
Setting/&DisplayTutorialDescription	Mostre/oculte painéis de tutorial durante o jogo.
Setting/&DisplayTutorialTitle	Exibir Tutorial
Setting/&EffectsVolumeDescription	Altere o volume dos efeitos sonoros.
Setting/&EffectsVolumeTitle	Volume dos Efeitos
Setting/&FocusCameraOnBattleActionsDescription	Ao ativar, a câmera focaliza automaticamente ações importantes na batalha, tais como ataques, magias etc.
Setting/&FocusCameraOnBattleActionsTitle	Focalizar Câmera em Ações de Batalha
Setting/&FramerateDescription	Indica a frequência de atualização da tela do jogo.
Setting/&FramerateTitle	Taxa de Quadros
Setting/&FullscreenDescription	Exibe o jogo em tela cheia ou janela.
Setting/&FullscreenTitle	Tela Cheia
Setting/&GroupedMonsterInitiativesDescription	Ao fazer uma rolagem de iniciativa, todos os monstros do mesmo tipo têm a mesma iniciativa.
Setting/&GroupedMonsterInitiativesTitle	Iniciativas de Monstros em Grupo
Setting/&HealingStyleDescription	Estilo de dado usado para efeitos de cura.
Setting/&HealingStyleTitle	Estilo de Cura
Setting/&MainD20StyleDescription	
Setting/&MainD20StyleTitle	
Setting/&MainTitle	Configurações
Setting/&MasterEnabledDescription	Ative/desative todos os áudios.
Setting/&MasterEnabledTitle	Volume Geral Ativado
Setting/&MasterVolumeDescription	Volume geral do áudio.
Setting/&MasterVolumeTitle	Volume Geral
Setting/&MoveWithRightClickDescription	Clique com o botão direito para mover personagens, interagir com objetos ou atacar inimigos.
Setting/&MoveWithRightClickTitle	Mover-se/Ação Contextual ao Clicar com o Botão Direito
Setting/&MusicVolumeDescription	Ajuste o volume da música de fundo.
Setting/&MusicVolumeTitle	Volume da Música
Setting/&OnlyShowNPCIconOnHoverDescription	Ícones de NPC (mercadores, agentes de missão etc) só aparecerão quando o cursor estiver sobre o NPC.
Setting/&OnlyShowNPCIconOnHoverTitle	Só Mostra Ícone ao Passar o Mouse Sobre NPC
Setting/&OrbitalCameraCorrectionDescription	A câmera sobe ao entrar nas fronteiras do cenário.
Setting/&OrbitalCameraCorrectionTitle	Correção da Câmera Orbital
Setting/&PartyReactionTrapDetectedDescription	Define a reação do grupo ao detectar uma armadilha.
Setting/&PartyReactionTrapDetectedNoReactionDescription	O grupo continua a realizar as ações atuais.
Setting/&PartyReactionTrapDetectedNoReactionTitle	Nenhuma Reação
Setting/&PartyReactionTrapDetectedStopMovementDescription	O grupo para de se movimentar.
Setting/&PartyReactionTrapDetectedStopMovementTitle	Parar Movimentação
Setting/&PartyReactionTrapDetectedTitle	Reação à Detecção de Armadilhas
Setting/&PrepareSpellsLongRestDescription	Alterar as magias preparadas de um personagem requer um descanso longo.
Setting/&PrepareSpellsLongRestTitle	Preparo de Magias e Descanso Longo
Setting/&QualityLevelDescription	Trata-se da qualidade gráfica. Gráficos melhores exigem placas de vídeo mais poderosas.
Setting/&QualityLevelHighDescription	Ideal para sistemas avançados.
Setting/&QualityLevelHighTitle	Alta
Setting/&QualityLevelLowDescription	Ideal para sistemas inferiores.
Setting/&QualityLevelLowTitle	Baixa
Setting/&QualityLevelMediumDescription	Ideal para sistemas intermediários.
Setting/&QualityLevelMediumTitle	Médio
Setting/&QualityLevelTitle	Nível de Qualidade
Setting/&QualityLevelUltraDescription	Disponível apenas nos sistemas mais poderosos.
Setting/&QualityLevelUltraTitle	Ultra
Setting/&QualityLevelVery HighDescription	Ideal para sistemas poderosos.
Setting/&QualityLevelVery HighTitle	Altíssima
Setting/&QualityLevelVery LowDescription	Funciona nos sistemas menos potentes.
Setting/&QualityLevelVery LowTitle	Baixíssima
Setting/&QuicksaveCountDescription	Quantidade de salvamentos rápidos.
Setting/&QuicksaveCountTitle	Contagem de Salvamentos Rápidos
Setting/&ReactionTimerDescription	Esta opção proporciona a você um tempo limitado para decidir usar (ou não) uma reação.
Setting/&ReactionTimerTitle	Cronômetro de Reação
Setting/&ResolutionDescription	Resolução gráfica da tela do jogo.
Setting/&ResolutionTitle	Resolução
Setting/&RollAbilityCheckDieDescription	Mostre/oculte o dado ao fazer um teste de habilidade durante explorações ou combates.
Setting/&RollAbilityCheckDieTitle	Mostrar Dado em Teste de Habilidade
Setting/&RollAttackDieDescription	Mostre/oculte o dado quando o jogo faz uma rolagem de ataque.
Setting/&RollAttackDieTitle	Mostrar Dado de Ataque
Setting/&RollDamageDiceDescription	Mostre/oculte o dado quando um ataque causa dano.
Setting/&RollDamageDiceTitle	Mostrar Dado de Dano
Setting/&RollDialogsDieDescription	Mostre/oculte o dado ao fazer um teste de habilidade durante uma conversa.
Setting/&RollDialogsDieTitle	Mostrar Dado de Diálogo
Setting/&RollDieAlwaysDescription	Sempre role o dado.
Setting/&RollDieAlwaysTitle	Sempre
Setting/&RollDieHeroOnlyDescription	Role o dado apenas para heróis.
Setting/&RollDieHeroOnlyTitle	Só Heróis
Setting/&RollDieNeverDescription	Nunca role o dado.
Setting/&RollDieNeverTitle	Nunca
Setting/&RollHealingDiceDescription	Mostre/oculte o dado quando uma magia ou um poder cura dano.
Setting/&RollHealingDiceTitle	Mostrar Dado de Cura
Setting/&RollInitiativeDieDescription	Mostre/oculte o dado quando o jogo faz uma rolagem de iniciativa.
Setting/&RollInitiativeDieTitle	Mostrar Dado de Iniciativa
Setting/&RollSavingThrowDieDescription	Mostre/oculte o dado ao fazer um teste de resistência.
Setting/&RollSavingThrowDieTitle	Mostrar Dado em Teste de Resistência
Setting/&SecondaryD20StyleDescription	
Setting/&SecondaryD20StyleTitle	
Setting/&ShowHelmetInPortraitDescription	Marque esta opção para mostrar/ocultar capacetes em retratos de personagem.
Setting/&ShowHelmetInPortraitTitle	Mostrar Capacete em Retrato
Setting/&TargetFramerateDescription	Permite limitar a taxa de quadros a um número específico de quadros por segundo, reduzindo o custo de processamento e inibindo o superaquecimento.
Setting/&TargetFramerateTitle	Taxa Desejada de Quadros
Setting/&TextLanguagedeDescription	Deutsch
Setting/&TextLanguageDescription	O idioma usado nos textos do jogo.
Setting/&TextLanguagedeTitle	Deutsch
Setting/&TextLanguageenDescription	English
Setting/&TextLanguageenTitle	English
Setting/&TextLanguagefrDescription	Français
Setting/&TextLanguagefrTitle	Français
Setting/&TextLanguageTitle	Idioma dos Textos
Setting/&TextLanguagezh-CNDescription	简体中文
Setting/&TextLanguagezh-CNTitle	简体中文
Setting/&TimeDisplayMode24Description	O relógio segue o padrão de 24 horas.
Setting/&TimeDisplayMode24Title	24 Horas
Setting/&TimeDisplayModeAMPMDescription	O relógio segue o padrão de 12 horas.
Setting/&TimeDisplayModeAMPMTitle	AM/PM
Setting/&TimeDisplayModeDescription	Alterna o modo de exibição das horas dentro do jogo (12/24 horas).
Setting/&TimeDisplayModeTitle	Modo de Exibição do Tempo
Setting/&ToggleAudioDescription	Clique nesta aba para alterar as configurações de som e música.
Setting/&ToggleAudioTitle	Áudio
Setting/&ToggleDiceDescription	Clique nesta aba para alterar as configurações de dados.
Setting/&ToggleDiceTitle	Dados
Setting/&ToggleGameDescription	Clique nesta aba para alterar as configurações de jogabilidade.
Setting/&ToggleGameTitle	Jogo
Setting/&ToggleGraphicsDescription	Clique nesta aba para alterar as configurações de gráfico e exibição.
Setting/&ToggleGraphicsTitle	Gráficos
Setting/&ToggleGuiDescription	Clique nesta aba para alterar as configurações da interface de usuário.
Setting/&ToggleGuiTitle	Interface Gráfica
Setting/&VoicesVolumeDescription	Altere o volume da voz da reprodução.
Setting/&VoicesVolumeTitle	Volume da Voz
Setting/&VSyncDescription	Define uma sincronização vertical com a tela.
Setting/&VSyncDoubleDescription	A sincronização da frequência de renderização do jogo equivale à metade da frequência da tela. Útil para monitores de alta frequência (120 Hz).
Setting/&VSyncDoubleTitle	Duplo
Setting/&VSyncNoneDescription	Não sincroniza a frequência de renderização do jogo com a da tela, assim permitindo uma taxa ilimitada de quadros.
Setting/&VSyncNoneTitle	Nenhuma
Setting/&VSyncSingleDescription	Sincroniza a frequência de renderização do jogo com a da tela ou um valor de divisão de inteiros (ex. 30, 20, 15).
Setting/&VSyncSingleTitle	Um Jogador
Setting/&VSyncTitle	Sincronização Vertical
Setting/&FullScreenModeTitle	Modo de Tela Cheia
Setting/&FullScreenModeDescription	Define o tipo de janela do aplicativo.
Setting/&FullScreenModeExclusiveFullScreenTitle	Tela Cheia Exclusiva
Setting/&FullScreenModeExclusiveFullScreenDescription	O aplicativo altera a resolução e detém uso exclusivo do monitor determinado.
Setting/&FullScreenModeFullScreenWindowTitle	Janela em Tela Cheia
Setting/&FullScreenModeFullScreenWindowDescription	Neste modo, o aplicativo é exibido em uma janela que cobre toda a tela. É executado na resolução da área de trabalho, e outras resoluções solicitadas são dimensionadas para se encaixar.
Setting/&FullScreenModeMaximizedWindowTitle	Janela Maximizada
Setting/&FullScreenModeMaximizedWindowDescription	Neste modo, o aplicativo cria uma janela maximizada.
Setting/&FullScreenModeWindowedTitle	Modo Janela
Setting/&FullScreenModeWindowedDescription	Neste modo, Unity cria uma janela padrão que não cobre a tela inteira.
Setting/&CustomQualityTitle	Qualidade Personalizada
Setting/&CustomQualityDescription	Permite ajustar manualmente os parâmetros de qualidade padrão.
Setting/&ShadowQualityTitle	Qualidade das Sombras
Setting/&ShadowQualityDescription	Escolha uma resolução para a renderização de sombras. Quanto maior a resolução, maior a demanda de processamento.
Setting/&ShadowQualityLowTitle	Baixa
Setting/&ShadowQualityLowDescription	Baixa resolução de mapeamento de sombras.
Setting/&ShadowQualityMediumTitle	Médio
Setting/&ShadowQualityMediumDescription	Média resolução de mapeamento de sombras.
Setting/&ShadowQualityHighTitle	Alta
Setting/&ShadowQualityHighDescription	Alta resolução de mapeamento de sombras.
Setting/&ShadowQualityVeryHighTitle	Altíssima
Setting/&ShadowQualityVeryHighDescription	Altíssima resolução de mapeamento de sombras.
Setting/&ShadowDistanceTitle	Distância das Sombras
Setting/&ShadowDistanceDescription	Define a distância máxima da câmera em que as sombras permanecem visíveis. Em distâncias maiores, as sombras não são renderizadas.
Setting/&ShadowDistanceLowTitle	Baixa
Setting/&ShadowDistanceLowDescription	Baixa distância de renderização das sombras.
Setting/&ShadowDistanceMediumTitle	Médio
Setting/&ShadowDistanceMediumDescription	Média distância de renderização das sombras.
Setting/&ShadowDistanceHighTitle	Alta
Setting/&ShadowDistanceHighDescription	Alta distância de renderização das sombras.
Setting/&ShadowDistanceVeryHighTitle	Altíssima
Setting/&ShadowDistanceVeryHighDescription	Altíssima distância de renderização das sombras.
Setting/&ShadowDistanceUltraTitle	Ultra
Setting/&ShadowDistanceUltraDescription	Distância máxima de renderização das sombras.
Setting/&TextureQualityTitle	Qualidade das Texturas
Setting/&TextureQualityDescription	Escolha uma resolução para exibir texturas. Uma resolução mais baixa implica uma menor demanda de processamento.
Setting/&TextureQualityQuarterResTitle	Baixíssima Resolução
Setting/&TextureQualityQuarterResDescription	Usar baixíssima resolução de texturas.
Setting/&TextureQualityHalfResTitle	Baixa Resolução
Setting/&TextureQualityHalfResDescription	Usar baixa resolução de texturas.
Setting/&TextureQualityFullResTitle	Resolução Original
Setting/&TextureQualityFullResDescription	Usar a resolução original de texturas.
Setting/&VolumetricLightingQualityTitle	Qualidade da Iluminação Volumétrica
Setting/&VolumetricLightingQualityDescription	Escolha uma resolução para renderizar efeitos de iluminação volumétricos. Também é possível desabilitá-los. Alguns recursos ficam indisponíveis em níveis de qualidade mais baixos. Uma configuração mais alta oferece maior qualidade de renderização, mas com maior demanda de processamento.
Setting/&VolumetricLightingQualityDisabledTitle	Desativada
Setting/&VolumetricLightingQualityDisabledDescription	Desativa totalmente a iluminação volumétrica.
Setting/&VolumetricLightingQualityLowTitle	Baixa
Setting/&VolumetricLightingQualityLowDescription	Usa um buffer de resolução baixa e desabilita a maioria dos recursos de iluminação volumétrica.
Setting/&VolumetricLightingQualityMediumTitle	Médio
Setting/&VolumetricLightingQualityMediumDescription	Usa um buffer de resolução média e desabilita alguns dos recursos de iluminação volumétrica.
Setting/&VolumetricLightingQualityHighTitle	Alta
Setting/&VolumetricLightingQualityHighDescription	Usa um buffer de resolução alta e habilita todos os recursos de iluminação volumétrica.
Setting/&ClothesSimulationQualityTitle	Qualidade da Simulação das Roupas
Setting/&ClothesSimulationQualityDescription	Escolha a qualidade da simulação das roupas dos personagens. Também é possível desabilitar este efeito. Uma configuração de qualidade maior permite a simulação dos tecidos de mais personagens na tela, mas com maior demanda de processamento.
Setting/&ClothesSimulationQualityDisabledTitle	Desativado
Setting/&ClothesSimulationQualityDisabledDescription	Desabilita completamente a simulação dos tecidos.
Setting/&ClothesSimulationQualityImportantTitle	Apenas Personagens Importantes
Setting/&ClothesSimulationQualityImportantDescription	Habilita a simulação dos tecidos apenas para personagens principais.
Setting/&DepthOfFieldTitle	Profundidade de Campo
Setting/&DepthOfFieldDescription	Habilita ou desabilita o efeito que simula as propriedades de foco de uma lente de câmera.
Setting/&AmbientOcclusionTitle	Oclusão de Ambiente
Setting/&AmbientOcclusionDescription	Habilita ou desabilita a oclusão de ambiente como efeito de pós-processamento de tela cheia. Escurece dobras, orifícios, interseções e superfícies próximas umas às outras.
Setting/&AntiAliasingTitle	Antisserrilhamento
Setting/&AntiAliasingDescription	Escolha a solução usada para evitar serrilhamento e dar aos gráficos uma aparência mais natural. O efeito também pode ser desabilitado.
Setting/&AntiAliasingNoneTitle	Nenhum
Setting/&AntiAliasingNoneDescription	Desabilita totalmente o efeito de antisserrilhamento.
Setting/&AntiAliasingFastApproximateAntialiasingTitle	FXAA
Setting/&AntiAliasingFastApproximateAntialiasingDescription	O antisserrilhamento aproximado rápido é a técnica mais simples, recomendada para computadores mais lentos.
Setting/&AntiAliasingTemporalAntialiasingTitle	TAA
Setting/&AntiAliasingTemporalAntialiasingDescription	O antisserrilhamento temporal é uma técnica mais avançada. A suavização das bordas em movimento é consideravelmente melhor, mas tem uma demanda de processamento maior do que o FXAA.
Setting/&BrightnessTitle	Brilho
Setting/&BrightnessDescription	Ajusta o brilho do jogo na sua tela.
Setting/&ContrastTitle	Contraste
Setting/&ContrastDescription	Ajusta o contraste do jogo na sua tela.
Setting/&DiceVisibilityTitle	Visibilidade dos Dados
Setting/&DiceStyleTitle	Estilo dos Dados
Setting/&PartyD20StyleDescription	Estilo do dado em rolagens do d20 para o grupo.
Setting/&PartyD20StyleTitle	Estilo do d20 (grupo)
Setting/&PartySecondaryD20StyleDescription	Estilo do segundo dado em rolagens de vantagem ou desvantagem para o inimigo.
Setting/&PartySecondaryD20StyleTitle	Estilo do d20 (Vant./Desv. do grupo)
Setting/&EnemyD20StyleDescription	Estilo do dado em rolagens do d20 para inimigos.
Setting/&EnemyD20StyleTitle	Estilo do d20 (inimigo)
Setting/&EnemySecondaryD20StyleDescription	Estilo do segundo dado em rolagens de vantagem ou desvantagem para o inimigo.
Setting/&EnemySecondaryD20StyleTitle	Estilo do d20 (Vant./Desv. do inimigo)
Setting/&ToggleKeyboardDescription	Permite que você personalize o mapeamento do teclado para comandos de jogo.
Setting/&ToggleKeyboardTitle	Teclado
Setting/&GeneralHeaderTitle	Geral
Setting/&CancelTitle	Cancelar
Setting/&PlayPauseTitle	Pausar/Retomar/Acelerar Turno de Batalha
Setting/&QuickSaveTitle	Salvar Rápido
Setting/&QuickLoadTitle	Carregar Rápido
Setting/&ToggleMapTitle	Alternar Mapa
Setting/&PartyJournalTitle	Diário do Grupo
Setting/&BestiaryTitle	Bestiário
Setting/&ShowDetailedInformationTitle	Destacar Elementos Interativos
Setting/&CharacterControlHeaderTitle	Controle do Personagem
Setting/&InspectCharacterTitle	Inspecionar Personagem
Setting/&CastSpellTitle	Conjurar Magia
Setting/&EndTurnTitle	Encerrar Turno
Setting/&SelectNextCharacterTitle	Escolher Próximo Personagem
Setting/&SelectAllCharactersTitle	Escolher Todos os Personagens
Setting/&SelectCharacter1Title	Escolher Personagem 1
Setting/&SelectCharacter2Title	Escolher Personagem 2
Setting/&SelectCharacter3Title	Escolher Personagem 3
Setting/&SelectCharacter4Title	Escolher Personagem 4
Setting/&EnablePlanarTargettingDescription	Permite limitar a seleção de destino/alvo ao plano horizontal, em vez de 3D completo.
Setting/&EnablePlanarTargettingTitle	Permitir Seleção no Plano
Setting/&CameraControlHeaderTitle	Controle da Câmera
Setting/&LeftTitle	Mover p/ Esquerda
Setting/&RightTitle	Mover p/ Direita
Setting/&ForwardTitle	Mover p/ Frente
Setting/&BackwardTitle	Mover p/ Trás
Setting/&RotateCCWTitle	Girar em Sentido Anti-horário
Setting/&RotateCWTitle	Girar em Sentido Horário
Setting/&HeldZoomTitle	Segure para Focar no Personagem
Setting/&ZoomInTitle	Aproximar
Setting/&ZoomOutTitle	Afastar
Setting/&KeyMappingUnboundTitle	Sem Mapeamento
Setting/&KeyMappingImmutableDescription	Este mapeamento do teclado não pode ser modificado pelo usuário.
Setting/&InputKeyTitle	Pressione uma Tecla
Setting/&DefaultDescription	Redefine os valores padrão desta categoria de configurações.
Setting/&DefaultTitle	Padrão
Setting/&PreserveRandomSeedDescription	Preserve a geração de números aleatórios ao carregar um jogo salvo para obter os mesmos resultados em combate. A geração aleatória sempre é recalculada em rolagens de diálogos mesmo quando esta opção estiver ativa.
Setting/&PreserveRandomSeedTitle	Preservar Sorteios Aleatórios
Setting/&ClothesSimulationQualityAlwaysTitle	TBC
Setting/&RefreshRateDescription	É a frequência de atualização (em Hz) da resolução selecionada.
Setting/&RefreshRateTitle	Frequência de Atualização
Setting/&DisplayHeaderTitle	Exibição
Setting/&GameplayHeaderTitle	Jogo
Setting/&CameraHeaderTitle	Câmera
Setting/&SpellComponentsHeaderTitle	Componentes Mágicos
Setting/&VerbalComponentDescription	Determina como você simula os requisitos de magias com componentes verbais.
Setting/&VerbalComponentTitle	Componentes Verbais
Setting/&VerbalComponentDisabledDescription	Os heróis não precisam ser capazes de falar para usar magias com componentes verbais.
Setting/&VerbalComponentDisabledTitle	Desativado
Setting/&VerbalComponentFullDescription	Os heróis precisam ser capazes de falar para usar magias com componentes verbais.
Setting/&VerbalComponentFullTitle	Total
Setting/&SomaticComponentDescription	Determina como você simula os requisitos de magias com componentes somáticos.
Setting/&SomaticComponentTitle	Componentes Somáticos
Setting/&SomaticComponentDisabledDescription	Os heróis não precisam ter uma mão livre para usar magias com componentes somáticos.
Setting/&SomaticComponentDisabledTitle	Desativado
Setting/&SomaticComponentBasicDescription	
Setting/&SomaticComponentBasicTitle	
Setting/&SomaticComponentFullTitle	Total
Setting/&MaterialComponentDescription	Determina como você simula os requisitos de magias com componentes materiais.
Setting/&MaterialComponentTitle	Componentes Materiais
Setting/&MaterialComponentDisabledDescription	Os componentes materiais não são necessários.
Setting/&MaterialComponentDisabledTitle	Desativado
Setting/&MaterialComponentBasicDescription	Magias com componentes materiais precisam de um foco arcano ou um porta-componentes.
Setting/&MaterialComponentBasicTitle	Básico
Setting/&MaterialComponentFullDescription	Magias com componentes materiais comuns precisam de um foco arcano ou de um porta-componentes. Magias com componentes específicos precisam desses componentes.
Setting/&MaterialComponentFullTitle	Total
Setting/&OtherHeaderTitle	Outras Ações
Setting/&DifficultySettingsHeaderTitle	Configurações de Dificuldade: podem ser alteradas durante o jogo
Setting/&DifficultyPresetTitle	Dificuldade
Setting/&DifficultyPresetDescription	Escolha uma de várias predefinições de dificuldade.
Setting/&DifficultyPresetPreset1Title	Modo História
Setting/&DifficultyPresetPreset1Description	Pensado para os jogadores que preferem focar na história. A exploração e o combate são mais simples. 
Setting/&DifficultyPresetPreset2Title	Modo Exploração
Setting/&DifficultyPresetPreset2Description	Pensado para os jogadores que não estão familiarizados com RPGs táticos ou com o DRS.
Setting/&DifficultyPresetPreset3Title	Modo Autêntico
Setting/&DifficultyPresetPreset3Description	Pensado para os jogadores que querem as regras de RPG de mesa autênticas.
Setting/&DifficultyPresetPreset4Title	Modo Catador
Setting/&DifficultyPresetPreset4Description	Pensado para os jogadores dispostos a um desafio maior.
Setting/&DifficultyPresetPreset5Title	Modo Cataclismo
Setting/&DifficultyPresetPreset5Description	Pensado para os jogadores que querem desafiar tudo. Vai ser sofrido, viu?
Setting/&CustomDifficultyTitle	Dificuldade Personalizada
Setting/&CustomDifficultyDescription	Permite que você ajuste as configurações como preferir.
Setting/&BattleSettingsHeaderTitle	Batalha
Setting/&DamageTakenAllyMultiplierTitle	Dano Sofrido
Setting/&DamageTakenAllyMultiplierDescription	Modifica o dano sofrido pelos personagens do jogador e NPCs essenciais.
Setting/&DisableEnemyCritsTitle	Desativar Acertos Críticos
Setting/&DisableEnemyCritsDescription	Os acertos críticos dos inimigos causam dano normal.
Setting/&AiUsesPowerfulMovesMoreOftenTitle	IA Perigosa
Setting/&AiUsesPowerfulMovesMoreOftenDescription	Os monstros fazem jogadas mais poderosas, como magias de efeito em área, com maior frequência e empurram personagens tentando matá-los.
Setting/&AiTargetsHelplessCharactersTitle	IA Impiedosa
Setting/&AiTargetsHelplessCharactersDescription	Os monstros atacam personagens inconscientes e à beira da morte para acabar com eles de vez.
Setting/&EnemyHpMultiplierTitle	Multiplicador de PV Inimigos
Setting/&EnemyHpMultiplierDescription	Modifica a quantidade de pontos de vida dos inimigos.
Setting/&SavingThrowAllyModifierTitle	Teste de Resistência Aliado
Setting/&SavingThrowAllyModifierDescription	Todos os testes de resistência feitos por personagens aliados terão este modificador.
Setting/&SavingThrowEnemyModifierTitle	Teste de Resistência Inimigo
Setting/&SavingThrowEnemyModifierDescription	Todos os testes de resistência feitos por personagens inimigos terão este modificador.
Setting/&AttackRollAllyModifierTitle	Rolagem de Ataque Aliada
Setting/&AttackRollAllyModifierDescription	Todas as rolagens de ataque feitas por personagens aliados terão este modificador.
Setting/&AttackRollEnemyModifierTitle	Rolagem de Ataque Inimiga
Setting/&AttackRollEnemyModifierDescription	Todas as rolagens de ataque feitas por personagens inimigos terão este modificador.
Setting/&AbilityCheckAllyModifierTitle	Teste de Habilidade Aliado
Setting/&AbilityCheckAllyModifierDescription	Todos os testes de habilidade feitos por personagens aliados terão este modificador.
Setting/&AbilityCheckEnemyModifierTitle	Teste de Habilidade Inimigo
Setting/&AbilityCheckEnemyModifierDescription	Todos os testes de habilidade feitos por personagens inimigos terão este modificador.
Setting/&AutoreviveTitle	Autorreviver
Setting/&AutoreviveDescription	Os personagens são ressuscitados automaticamente após a batalha contanto que um tenha sobrevivido.
Setting/&HeatlhAndRestSettingsHeaderTitle	Saúde e Descanso
Setting/&CompanionsRestTitle	Companheiros Descansados
Setting/&CompanionsRestDescription	Os NPCs essenciais e companheiros se recuperam completamente durante descansos rápidos.
Setting/&NoFoodNeededTitle	Não Requer Comida
Setting/&NoFoodNeededDescription	Os personagens podem fazer descansos longos mesmo quando não tiverem comida.
Setting/&MaxHpOnHitDiceTitle	Máximo de PV no Dado de Vida
Setting/&MaxHpOnHitDiceDescription	Usar um dado de vida durante um descanso rápido recupera o máximo de vida possível.
Setting/&MaxHpOnLevelUpTitle	Máximo de PV por Nível
Setting/&MaxHpOnLevelUpDescription	Ao aumentar de nível, os personagens recebem o valor máximo de PV.
Setting/&InventorySettingsHeaderTitle	Inventário
Setting/&EncumbranceRuleTypeTitle	Regra de Carga
Setting/&EncumbranceRuleTypeDescription	Escolha a regra referente ao peso do que é carregado.
Setting/&EncumbranceRuleTypeDefaultTitle	RPG de Mesa
Setting/&EncumbranceRuleTypeDefaultDescription	Seus personagens podem carregar até 15x FOR.
Setting/&EncumbranceRuleTypeVariantTitle	Solasta (Variação)
Setting/&EncumbranceRuleTypeVariantDescription	Seus personagens podem carregar até 15x FOR, mas ficarão carregados com peso superior a 5x FOR e sobrecarregados com 10x FOR.
Setting/&EncumbranceRuleTypeEasyTitle	Simplificada
Setting/&EncumbranceRuleTypeEasyDescription	Seus personagens podem carregar até 150x FOR.
Setting/&SpellcastingSettingsHeaderTitle	Magias
Setting/&NeverLoseConcentrationOnSpellsTitle	Concentração Ininterrupta
Setting/&NeverLoseConcentrationOnSpellsDescription	O conjurador que estiver concentrado em uma magia não precisa fazer testes de resistência de CON ao sofrer dano.
Setting/&ScrollsCanBeUsedByAnyCharacterTitle	Pergaminhos Universais
Setting/&ScrollsCanBeUsedByAnyCharacterDescription	Qualquer personagem pode usar pergaminhos, mesmo que a magia não esteja na sua lista de magias.
Setting/&RandomnessSettingsHeaderTitle	Rolagens de Dados
Setting/&RandomnessModeTitle	Modo Aleatório
Setting/&RandomnessModeDescription	Escolha o modo de rolagem de dados aleatório.
Setting/&RandomnessModeTrueRandomTitle	Aleatório Verdadeiro
Setting/&RandomnessModeTrueRandomDescription	A sua sorte ficará nas mãos dos deuses dos dados.
Setting/&RandomnessModeNiceDiceTitle	Dados Cármicos
