Gadget/&CampfireTitle	Fogueira
Gadget/&ParameterParam_HardLockedDescription	Este dispositivo não pode ser aberto normalmente e requer um interruptor remoto para tal.
Gadget/&ParameterParam_DefaultAsLitTitle	Aceso
Gadget/&ParameterParam_DefaultAsLitDescription	Determina se este dispositivo está aceso por padrão ou se está apagado.
Gadget/&ParameterParam_DefaultAsOpenedTitle	Aberto
Gadget/&ParameterParam_DefaultAsOpenedDescription	Determina se o dispositivo está aberto por padrão.
Gadget/&MonsterHTitle	Monstro E
Gadget/&MonsterHDescription	Gera um monstro enorme na posição do dispositivo.
Gadget/&MonsterGTitle	Monstro C
Gadget/&MonsterGDescription	Gera um monstro colossal na posição do dispositivo.
Gadget/&ParameterAutoSpawnTitle	Geração Automática
Gadget/&ParameterAutoSpawnDescription	Quando esta opção estiver desativada, o monstro precisa de um interruptor remoto para ser gerado, em vez de ser gerado pela proximidade dos heróis.
Gadget/&ParameterLoreFormatTitle	Formato da Informação
Gadget/&ParameterLoreFormatDescription	Formato no qual as informações da narrativa são apresentadas ao usuário.
Gadget/&ParameterLoreFormatMainCharacterTitle	Protagonista
Gadget/&ParameterLoreFormatMainCharacterDescription	O conteúdo é exibido como comentário sobre a cabeça do primeiro personagem consciente no grupo.
Gadget/&ParameterLoreFormatRandomCharacterTitle	Personagem Aleatório
Gadget/&ParameterLoreFormatRandomCharacterDescription	O conteúdo é exibido como comentário sobre a cabeça de um personagem aleatório do grupo e desaparece após um tempo.
Gadget/&ParameterLoreFormatGadgetFeedbackTitle	Retorno do Dispositivo
Gadget/&ParameterLoreFormatGadgetFeedbackDescription	O conteúdo é exibido na posição do dispositivo acionado.
Gadget/&ParameterLoreFormatTopHeaderTitle	Cabeçalho Superior
Gadget/&ParameterLoreFormatTopHeaderDescription	O conteúdo aparece no alto da tela em fonte grande e desaparece após um tempo.
Gadget/&ParameterLoreFormatTimedPanelTitle	Painel Temporário
Gadget/&ParameterLoreFormatTimedPanelDescription	O conteúdo aparece em um painel na parte de baixo da tela e desaparece após um tempo.
Gadget/&ParameterLoreFormatModalPanelTitle	Painel Modular
Gadget/&ParameterLoreFormatModalPanelDescription	O conteúdo aparece em um painel no meio da tela e permanece visível até o usuário confirmar que leu.
Gadget/&PushBlockTitle	Bloco Móvel
Gadget/&PushBlockDescription	Bloco que pode ser empurrado um espaço por um personagem.
Gadget/&FallingStalactiteTitle	Estalactite Frouxa
Gadget/&FallingStalactiteDescription	Estalactite que pode cair e causar dano se for danificada.
Gadget/&ParameterParam_DisplayOnceTitle	Exibir Uma Vez
Gadget/&ParameterParam_DisplayOnceDescription	Se a opção estiver marcada, a informação narrativa é exibida somente uma vez quando o dispositivo é acionado
Gadget/&ActivatorEntryTitle	Interruptor de Entrada
Gadget/&ParameterParam_EntryOnceTitle	Exibir Uma Vez
Gadget/&ParameterParam_EntryOnceDescription	Se a opção estiver marcada, a informação narrativa é exibida somente uma vez quando o dispositivo é acionado.
Gadget/&LoreActivatedTitle	Informação Ativada
Gadget/&LoreActivatedDescription	Este dispositivo exibirá as informações acionadas por um interruptor (por exemplo: por um Interruptor de Entrada). Ele pode ser colocado em qualquer espaço livre por ser invisível e não interagir com os personagens.
Gadget/&ParameterParam_DefaultAsActivatedTitle	Ativado
Gadget/&ParameterParam_DefaultAsActivatedDescription	Determina se o ativador está ativado por padrão.
Gadget/&ParameterKeyItemTitle	Item-Chave
Gadget/&ParameterKeyItemDescription	O objeto abre automaticamente se o grupo estiver em posse deste item.
Gadget/&FoliageTitle	Folhagens
Gadget/&FoliageDescription	Folhagens que bloqueiam o caminho mas podem ser destruídas.
Gadget/&FallingTrunkTitle	Tronco Caído
Gadget/&FallingTrunkDescription	Tronco de árvore que pode ser movido para liberar o caminho.
Gadget/&PoisonBulbTitle	Bulbo Venenoso
Gadget/&PoisonBulbDescription	Flor estranha que explode ao sofrer dano ou quando um jogador se aproxima.
Gadget/&LavaBulbDescription	Flor estranha que estoura em chamas ao sofrer dano ou quando um jogador se aproxima.
Gadget/&GrateDoorTitle	Porta de Metal
Gadget/&GrateDoorDescription	Porta de metal simples.
Gadget/&ParameterAdditionalLootTitle	Espólios Adicionais
Gadget/&ParameterAdditionalLootDescription	Lista de itens que a criatura deixa cair ao ser derrotada
Gadget/&NpcIdleTitle	NPC Inativo
Gadget/&NpcIdleDescription	NPC sem interações. Use para decorar o cenário.
Gadget/&NpcBanterTitle	NPC com Fala
Gadget/&NpcBanterDescription	NPC que retorna um texto simples ao interagir. Use para povoar o local com civis ou guardas da cidade.
Gadget/&NpcMerchantTitle	Mercador
Gadget/&NpcMerchantDescription	NPC que compra e vende itens.
Gadget/&ParameterCharacterTitle	Personagem
Gadget/&ParameterCharacterDescription	O NPC que é gerado por este dispositivo
Gadget/&ParameterBanterTitle	Falas
Gadget/&ParameterBanterDescription	O texto das falas deste personagem
Gadget/&ParameterMerchantInventoryTitle	Inventário de Mercador
Gadget/&ParameterMerchantInventoryDescription	Define quais serviços e itens um mercador fornece.
Gadget/&CampBedTitle	Cama para Descanso Longo
Gadget/&CampBedDescription	Cama interativa que serve para iniciar um descanso longo.
Gadget/&InteractiveTorch_HighWallsTitle	Tocha Interativa (paredes altas)
Gadget/&InteractiveTorch_HighWallsDescription	Para uso apenas em paredes altas
Gadget/&InteractiveTorch_ThinWallsTitle	Tocha Interativa (paredes finas)
Gadget/&InteractiveTorch_ThinWallsDescription	Para uso apenas em paredes finas
Gadget/&SimpleThinDoorTitle	Porta Simples
Gadget/&SimpleThinDoorDescription	Portas simples de abrir.
Gadget/&Bridge_EntranceTitle	Porta Dupla em Ponte
Gadget/&Bridge_EntranceDescription	Para usar apenas na Entrada da Cidade
Gadget/&DoubleStairsDoorTitle	Portas Duplas de Escadaria
Gadget/&DoubleStairsDoorDescription	Para usar junto com a escadaria conectora
Gadget/&CreatureDestroyerTitle	Destruidor de Criaturas
Gadget/&CreatureDestroyerDescription	Destrua todas as criaturas (monstros e NPCs) conforme o índice de encontro definido no dispositivo de geração de criatura. As criaturas são destruídas permanentemente e não podem ser geradas de novo. Este dispositivo requer um ativador para funcionar
Gadget/&ParameterDestroyedEncounterIndexTitle	Índice de Encontro de Destruição
Gadget/&ParameterDestroyedEncounterIndexDescription	Especifica o índice de encontro de criaturas a serem destruídas
Gadget/&ParameterParam_EnabledTitle	Ativado
Gadget/&ParameterParam_EnabledDescription	O dispositivo permanece ativado por padrão ou requer ativação através de um ativador remoto?
Gadget/&TeleportIndividualTitle	Teleportador (Individual)
Gadget/&TeleportIndividualDescription	Transporta o personagem até o local do dispositivo de destino (um nó, por exemplo)
Gadget/&TeleportPartyTitle	Teleportador (Grupo)
Gadget/&TeleportPartyDescription	Transporta o grupo até o local do dispositivo de destino (um dispositivo de entrada, por exemplo). Para ativar o dispositivo, o grupo inteiro deve estar presente
Gadget/&NodeTitle	Nó
Gadget/&NodeDescription	Este dispositivo simples tem a função de especificar um local/destino (para um teleportador, por exemplo)
Gadget/&ParameterDestinationTitle	Destino
Gadget/&ParameterDestinationDescription	Dispositivo de destino do teleportador
Gadget/&ParameterInvisibleTitle	Invisível
Gadget/&ParameterInvisibleDescription	Oculta os efeitos básicos e mágicos do teleportador
Gadget/&ParameterExitLoreTitle	Mensagem de Saída
Gadget/&ParameterExitLoreDescription	Este texto aparece quando você usa o dispositivo de saída. Se o deixar vazio, nada aparecerá
Gadget/&ParameterLocationsListTitle	Lista de Locais
Gadget/&ParameterLocationsListDescription	Lista dos locais que podem ser acessados através desta saída. Uma janela aparecerá para que o usuário selecione o destino desejado
Gadget/&ParameterDisplayedTitleTitle	Título Exibido
Gadget/&ParameterDisplayedTitleDescription	Nome exibido na janela de seleção deste local. Caso fique vazio, o nome do local aparecerá automaticamente
Gadget/&VirtualExitTitle	Saída Virtual
Gadget/&VirtualExitDescription	Você pode acoplar este dispositivo de saída a paredes e portas. Para ativá-lo, interaja com ele passando o ponteiro do mouse por cima
Gadget/&ExitMultipleTitle	Saída (Múltipla)
Gadget/&ExitMultipleDescription	Este dispositivo dá múltiplas opções de saída ao grupo
Gadget/&VirtualExitMultipleTitle	Saída Virtual (Múltipla)
Gadget/&VirtualExitMultipleDescription	Esta saída virtual dá acesso a vários destinos
Gadget/&ParameterParam_ToggleTitle	Alternar
Gadget/&ParameterParam_ToggleDescription	Sempre que for pressionado, o ativador alternará entre ativar/desativar e habilitar/desabilitar, em vez do padrão pressionar e soltar
Gadget/&ParameterParam_DefaultAsEnabledTitle	Habilitado
Gadget/&ParameterParam_DefaultAsEnabledDescription	Determina se o ativador fica habilitado por padrão
Gadget/&ParameterMultiLineTitle	Multilinha
Gadget/&ParameterMultiLineDescription	Permite a edição de várias falas
Gadget/&ParameterRandomPlayTitle	Reprodução Aleatória
Gadget/&ParameterRandomPlayDescription	Permite a exibição das falas em ordem aleatória. Caso contrário, a linha aparecerá em sequência
Gadget/&ParameterBanterLinesTitle	Linhas de Fala
Gadget/&ParameterBanterLinesDescription	São as falas desta criatura
Gadget/&ActivatorRollTitle	Ativador de Rolagem
Gadget/&ActivatorRollDescription	Este ativador precisa que se passe em um teste de resistência ou de habilidade
Gadget/&ParameterIsAbilityCheckTitle	É um Teste de Habilidade?
Gadget/&ParameterIsAbilityCheckDescription	Se a resposta for negativa, rola um teste de resistência
Gadget/&ParameterRollDCTitle	Rolar CD
Gadget/&ParameterRollDCDescription	Classe de dificuldade a ser superada para passar no teste de resistência ou no teste de habilidade
Gadget/&ParameterAbilityScoreTitle	Pontos de Habilidade
Gadget/&ParameterAbilityScoreDescription	Determine o modificador de qual habilidade será somado à rolagem
Gadget/&ParameterProficiencyTitle	Proficiência
Gadget/&ParameterProficiencyDescription	A proficiência (em perícia ou ferramenta) determina se a rolagem receberá bônus de proficiência
Gadget/&ParameterSuccessActivationsTitle	Ativações de Sucesso
Gadget/&ParameterSuccessActivationsDescription	Lista de dispositivos disponíveis se passar na rolagem
Gadget/&ParameterFailureActivationsTitle	Ativações de Falha
Gadget/&ParameterFailureActivationsDescription	Lista de dispositivos disponíveis se não passar na rolagem
Gadget/&GrantXPTitle	Concede EXP
Gadget/&GrantXPDescription	Este dispositivo confere pontos de experiência ao grupo ao ser ativado através de um ativador remoto
Gadget/&ParameterXpGainTitle	Ganho Fixo de EXP
Gadget/&ParameterXpGainDescription	Quantidade fixa de pontos de experiência a ser obtida
Gadget/&ParameterRequiredLevelTitle	Nível Necessário
Gadget/&ParameterRequiredLevelDescription	Requisito de nível para todos os membros do grupo. Se o personagem já tiver a EXP necessária, não ganhará nada
Gadget/&ParameterFlatGainTitle	Ganho Fixo
Gadget/&ParameterFlatGainDescription	Confere uma quantidade fixa de EXP a cada membro do grupo. Se esta opção não for marcada, o dispositivo garante que cada membro do grupo tenha experiência suficiente para chegar ao nível específico
Gadget/&GrantItemTitle	Conceder Item
Gadget/&GrantItemDescription	O dispositivo confere um item específico ao primeiro membro do grupo que estiver consciente e for capaz de usá-lo
Gadget/&ParameterGainedItemTitle	Item Obtido
Gadget/&ParameterGainedItemDescription	Item proveniente desta operação
Gadget/&ParameterExecutionScopeTitle	Escopo de Execução
Gadget/&ParameterExecutionScopeDescription	Especifica se o dispositivo funciona apenas em batalha, em exploração ou em ambos
Gadget/&ParameterExecutionScopeAllTitle	Todos
Gadget/&ParameterExecutionScopeAllDescription	O dispositivo funciona em todas as situações
Gadget/&ParameterExecutionScopeExplorationOnlyTitle	Somente Exploração
Gadget/&ParameterExecutionScopeExplorationOnlyDescription	O dispositivo só funciona em explorações
Gadget/&ParameterExecutionScopeBattleOnlyTitle	Somente Batalha
Gadget/&ParameterExecutionScopeBattleOnlyDescription	O dispositivo só funciona em batalhas
Gadget/&ParameterDurationTypeTitle	Tipo de Duração
Gadget/&ParameterDurationTypeDescription	Valor e tipo de unidade de tempo para a ativação do dispositivo
Gadget/&ParameterDurationTypeRoundTitle	Rodada
Gadget/&ParameterDurationTypeRoundDescription	Fora de um combate, cada rodada representa 6 segundos
Gadget/&ParameterDurationTypeMinuteTitle	Minuto
Gadget/&ParameterDurationTypeMinuteDescription	Um minuto equivale a 10 rodadas
Gadget/&ParameterDurationTypeHourTitle	Hora
Gadget/&ParameterDurationTypeHourDescription	Uma hora de tempo real
Gadget/&ParameterDurationTypeDayTitle	Dia
Gadget/&ParameterDurationTypeDayDescription	Um dia de tempo real
Gadget/&ParameterDurationValueTitle	Valor da Duração
Gadget/&ParameterDurationValueDescription	Quantidade de unidades do tipo específico de duração (por exemplo, 10 rodadas)
Gadget/&ParameterParam_RepeatingTitle	Repetição
Gadget/&ParameterParam_RepeatingDescription	Determina se o ativador reinicia após a ativação para funcionar novamente na mesma duração
Gadget/&ActivatorEntryDescription	Ativador acionado ao entrar na masmorra. Como este dispositivo não reage à posição ou interação dos personagens, ele pode ser colocado em qualquer lugar da masmorra.
Gadget/&QuestOperationTitle	Operador de Missão
Gadget/&QuestOperationDescription	Permite iniciar uma missão ou atualizar o seu progresso. É interessante para avançar passos com delegação de validação.
Gadget/&ActivatorQuestUpdateTitle	Ativador de Atualização de Missão
Gadget/&ActivatorQuestUpdateDescription	Este ativador é acionado quando uma missão é atualizada de uma determinada maneira.
Gadget/&ParameterQuestOperationTypeTitle	Tipo de Operação
Gadget/&ParameterQuestOperationTypeDescription	Tipo de operação realizada na missão especificada.
Gadget/&ParameterQuestOperationTypeStartQuestTitle	Iniciar Missão
Gadget/&ParameterQuestOperationTypeStartQuestDescription	Inicia a missão especificada. Não tem efeito nenhum se a missão já tiver sido iniciada.
Gadget/&ParameterQuestOperationTypeAchieveStepTitle	Concluir Passo
Gadget/&ParameterQuestOperationTypeAchieveStepDescription	Conclui um passo e atribui a ele um resultado predeterminado (valores como 1, 2 etc.), que pode implicar em sucesso ou fracasso, dependendo das configurações correspondentes.
Gadget/&ParameterQuestOperationTypeFailQuestTitle	Fracasso
Gadget/&ParameterQuestOperationTypeFailQuestDescription	Todos os passos ativos da missão são interrompidos, e ela é marcada como um fracasso.
Gadget/&ParameterQuestNameTitle	Nome da Missão
Gadget/&ParameterQuestNameDescription	Nome interno da missão (que não aparece para o usuário) na qual esta operação é realizada. Se o nome não for encontrado dentro da campanha, nada acontece.
Gadget/&ParameterQuestStepNameTitle	Nome do Passo
Gadget/&ParameterQuestStepNameDescription	Nome interno do passo (que não aparece para o usuário) que esta operação modifica. Se o passo não estiver ativo, nada acontece.
Gadget/&ParameterQuestStepOutcomeTitle	Valor do Resultado
Gadget/&ParameterQuestStepOutcomeDescription	Número do resultado a ser acionado no passo atual da missão. 1 = primeiro resultado, 2 = segundo resultado etc.
Gadget/&ParameterQuestUpdateTypeTitle	Tipo de Atualização
Gadget/&ParameterQuestUpdateTypeDescription	Tipo de atualização da missão.
Gadget/&ParameterQuestUpdateTypeQuestStartedTitle	Missão Iniciada
Gadget/&ParameterQuestUpdateTypeQuestStartedDescription	A missão especificada foi iniciada.
Gadget/&ParameterQuestUpdateTypeQuestCompletedTitle	Missão Concluída
Gadget/&ParameterQuestUpdateTypeQuestCompletedDescription	A missão especificada foi concluída.
Gadget/&ParameterQuestUpdateTypeQuestFailedTitle	Missão Fracassada
Gadget/&ParameterQuestUpdateTypeQuestFailedDescription	A missão especificada foi um fracasso.
Gadget/&ParameterQuestUpdateTypeQuestStepStartedTitle	Passo Iniciado
Gadget/&ParameterQuestUpdateTypeQuestStepStartedDescription	O passo de missão especificado foi iniciado.
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedTitle	Passo Concluído
Gadget/&ParameterQuestUpdateTypeQuestStepAchievedDescription	O passo de missão foi concluído, independentemente de se o resultado é um sucesso ou um fracasso.
Gadget/&TrapDoorTitle	Alçapão
Gadget/&TrapDoorDescription	Transporta o grupo para outro local.
Gadget/&VariableOperationTitle	Operação de Variável
Gadget/&VariableOperationDescription	Permite realizar uma operação com uma variável do jogo definida na campanha.
Gadget/&ActivatorVariableChangedTitle	Ativador por Alteração de Variável
Gadget/&ActivatorVariableChangedDescription	Ativador que é acionado quando uma variável é alterada e valida uma condição determinada. Também é testado ao entrar em um novo local.
Gadget/&ParameterVariableTitle	Variável
Gadget/&ParameterVariableDescription	Variável da campanha a ser usada por este dispositivo.
Gadget/&ParameterVariableOperationTypeTitle	Tipo de Operação
Gadget/&ParameterVariableOperationTypeDescription	Tipo de operação a ser realizada na variável especificada.
Gadget/&ParameterVariableValueIntTitle	Valor
Gadget/&ParameterVariableValueIntDescription	Valor a ser considerado para a variável. Deve ser um número inteiro.
Gadget/&ParameterVariableValueBoolTitle	Valor
Gadget/&ParameterVariableValueBoolDescription	Valor a ser considerado para a variável. Deve ser "verdadeiro" ou "falso".
Gadget/&ParameterVariableValueStringTitle	Valor
Gadget/&ParameterVariableValueStringDescription	Valor a ser considerado para a variável. Deve ser uma sequência de caracteres.
Gadget/&ParameterCustomDurationTitle	Duração Personalizada
Gadget/&ParameterCustomDurationDescription	Marque esta opção para escolher uma duração específica. Se não for marcada, ela é computada automaticamente.
Gadget/&ParameterLoreDurationSecondsTitle	Duração (s)
Gadget/&ParameterLoreDurationSecondsDescription	Duração da exibição do texto. Valor em segundos.
Gadget/&ParameterVariableTestTypeTitle	Tipo de Teste
Gadget/&ParameterVariableTestTypeDescription	Tipo do teste a ser realizado com a variável.
Gadget/&ManholeCoverTitle	Tampa de Bueiro
Gadget/&ManholeCoverDescription	Transporta o grupo para outro local.
Gadget/&CastleInnerWallsDoorTitle	Porta do Muro Interno do Castelo
Gadget/&CastleInnerWallsDoorDescription	Porta simples de abrir e que deve ser usada em passagens dos muros internos de castelos.
Gadget/&WeaponRackTitle	Cavalete de Armas
Gadget/&ArmorStandTitle	Suporte de Armadura
Gadget/&CavesInnerWallsDoorTitle	Porta do Muro Interno de Cavernas de Lava
Gadget/&CavesInnerWallsDoorDescription	Porta simples de abrir e que deve ser usada com uma "Parede Livre - Passagem".
Gadget/&NpcDialogTitle	NPC de Diálogo
Gadget/&NpcDialogDescription	NPC que pode ser vinculado a um diálogo de jogador. Você pode usá-lo para interações sociais mais complexas na sua campanha.
Gadget/&ParameterDialogTitle	Diálogo
Gadget/&ParameterDialogDescription	Gráfico de interações de personagens de jogador/NPCs editadas na campanha.
Gadget/&ParameterVariableValueDieTitle	Tipo de Dado
Gadget/&ParameterVariableValueDieDescription	O tipo de dado que será rolado.
Gadget/&VirtualDialogTitle	Diálogo Virtual
Gadget/&VirtualDialogDescription	Permite iniciar um diálogo com um objeto ou estrutura inanimada.
Gadget/&MapWaypointTitle	Ponto de Rota no Mapa
Gadget/&MapWaypointDescription	Locais e pontos de rota invisíveis no mapa, que podem ser usados para fornecer orientações no mapa do local e para viagem rápida no mapa.
Gadget/&ParameterWaypointTitleTitle	Título do Ponto de Rota
Gadget/&ParameterWaypointTitleDescription	O título exibido no mapa para este ponto de rota.
Gadget/&ParameterAllowFastTravelTitle	Permitir Viagem Rápida
Gadget/&ParameterAllowFastTravelDescription	Este ponto de rota permite viagem rápida no mapa do local?
Gadget/&ParameterLocationExitTitle	Saída do Local
Gadget/&ParameterLocationExitDescription	Este ponto de rota está selecionado como uma saída para o local atual?
Gadget/&ParameterLongRestAvailableTitle	Descanso Longo Disponível
Gadget/&ParameterLongRestAvailableDescription	Este ponto de rota está selecionado como um local seguro para um descanso longo?
