NPC/&Kaseinax_Magister_Title	O Magistrado
NPC/&NPC_Valley_Telerien_Purevoice_Title	Telerien Puravoz
NPC/&NPC_Valley_Samko_Flint_Title	Samko Pederneira
NPC/&NPC_Forge_Hasdrubal_Title	Hasdrubal
NPC/&NPC_Forge_Ravener_Title	Rapinante
NPC/&NPC_Forge_Charmer_Title	Enfeitiçador
NPC/&NPC_Forge_Cook_Title	Badri
NPC/&NPC_Swamp_HillGiant_Title	Rugan
NPC/&NPC_Swamp_Apprentice_Title	Lysantir
NPC/&NPC_ThePeople_Henrik	Henrik Rubramão
NPC/&NPC_ThePeople_Rose	Rose Bomvento
NPC/&NPC_ThePeople_Reya	Reya Schildberg
NPC/&NPC_ThePeople_Karelia	Karelia Raposalva
NPC/&NPC_Orenetis	Orenetis
NPC/&NPC_Orenetis_Malariel	Malariel Brogarad
NPC/&NPC_MarinVing	Marin Ving
NPC/&NPC_VandoKlarn	Vando Klarn
NPC/&NPC_Mask_CafrainShadow	Cafrain Sombra
NPC/&NPC_Orenetis_Finaliel	Finaliel Astuto
NPC/&NPC_DLC_City_Guard_Title	Guarda da Cidade
NPC/&NPC_DLC_City_Guard_Description	Uma guarda de elfos altaneiros com o brasão de Orenetis.
NPC/&NPC_DLC1_Anfarel_Noble	Elerien Anfarel
NPC/&NPC_DLC1_ThePeople_Tortured	Prisioneira
NPC/&NPC_Forge_Escorted_01	Badri
NPC/&NPC_Forge_Escorted_02	Gerta
NPC/&NPC_Tuznut_Title	Tuznan Anfarel
NPC/&NPC_Tuznut_Description	Um aventureiro sem muita experiência.
NPC/&NPC_Forge_Guard_Title	Guarda
NPC/&NPC_Forge_Guard_Description	Um guarda típico do acampamento da Forja.
NPC/&NPC_Forge_Charmer_Description	Um membro do acampamento da Forja.
NPC/&NPC_Forge_Hasdrubal_Description	Líder da Forja.
NPC/&NPC_Forge_Ravener_Description	O mestre caçador da Forja.
NPC/&NPC_Forge_Cook_Description	O mestre cozinheiro da Forja.
NPC/&NPC_Forge_Merchant_Description	O comerciante do acampamento da Forja.
NPC/&NPC_Forge_Escorted_01_Description	Badri, representante da Forja.
NPC/&NPC_Forge_Escorted_02_Description	Gerta, guarda-costas da Forja.
NPC/&NPC_Forge_Merchant_Title	Hanno Lamavante
NPC/&NPC_Swamp_HillGiant_Description	Um gigante amigável.
NPC/&NPC_Swamp_Apprentice_Description	Um elfo mago de aparência estranha.
NPC/&DLC1_NPC_Jakson_Title	Hannik
NPC/&DLC1_NPC_Jakson_Description	Hannik é um músico famoso na capital.
NPC/&Mana_Scholar_Description	Esse elfo se parece muito com Orenetis...
NPC/&Sitinero_Title	Sitenero
NPC/&DLC1_NPC_Marin_Ving	Marin Ving
NPC/&DLC1_NPC_Vando_Klarn	Vando Klarn
NPC/&DLC1_NPC_CityGuard_Captain_Sharp	Tenente Certeiro
NPC/&DLC1_NPC_Nobleman_ThePeople03_Title	Nobre
NPC/&DLC1_NPC_Nobleman_ThePeople03_Description	Agressor Bêbado
NPC/&NPC_Red	Rubra
NPC/&NPC_Valley_Telerien_Purevoice_Speak	Intendente da Forja
NPC/&Prisoner_Title	Prisioneiro
NPC/&NPC_DLC_Armorer	Gail Caça
NPC/&NPC_Dominion_Soldier_Title	Soldado do Domínio
NPC/&NPC_Dominion_Soldier_Description	Soldado das forças armadas do Domínio.
NPC/&NPC_Dominion_Archer_Title	Arqueiro do Domínio
NPC/&NPC_Dominion_Archer_Description	Arqueiro das forças armadas do Domínio.
NPC/&NPC_Dominion_Arcanist_Title	Arcanista do Domínio
NPC/&NPC_Dominion_Arcanist_Description	Mago de batalha das forças armadas do Domínio.
NPC/&NPC_Dominion_Praetorian_Title	Pretor do Domínio
NPC/&NPC_Dominion_Praetorian_Description	Guerreiro de elite da guarda pessoal do Senhor Protetor.
NPC/&NPC_Rebellion_Blue	Azul
NPC/&NPC_Rebellion_Blue_Description	Negociante da Rebelião
NPC/&NPC_Dominion_Rookie_Title	Calouro do Domínio
NPC/&NPC_Dominion_Rookie_Description	Este jovem e inexperiente guerreiro serve ao Domínio.
NPC/&MaskMerchant_Yasmin_Title	Yasmin
NPC/&MaskMerchant_Yasmin_Description	Intendente da Máscara
NPC/&NPC_DLC_Rebellion_Soldier_Title	Guerreiro Rebelde
NPC/&NPC_DLC_Rebellion_Soldier_Description	Este membro da Rebelião está disposto a morrer lutando contra o Domínio.
NPC/&NPC_DLC1_Drooly_Title	Babão
NPC/&NPC_DLC1_Drooly_Description	Este filhote de lobo lembra um cãozinho fofo, apesar das presas enormes.
NPC/&NPC_Forge_Guard_HalflingScout_Title	Batedor da Forja
NPC/&NPC_Forge_Guard_HalflingScout_Description	Este típico membro da Forja é pequeno, furtivo e robusto.
NPC/&NPC_Forge_Guard_HalfElfRanger_Title	Patrulheiro da Forja
NPC/&NPC_Forge_Guard_HalfElfRanger_Description	Este típico membro da Forja se destaca no uso do arco e flecha em combate.
NPC/&NPC_Forge_Guard_HumanDruid_Title	Druida da Forja
NPC/&NPC_Forge_Guard_HumanDruid_Description	Este típico membro da Forja vincula a facção com a natureza.
