Functor/&GrantExperienceTitle	Conferir Experiência
Functor/&ParameterVariableOperationValueBoolDescription	Valor a ser usado na operação. Deve ser "verdadeiro" ou "falso".
Functor/&ParameterVariableOperationValueStringTitle	Valor
Functor/&ParameterVariableOperationValueStringDescription	Valor a ser usado na operação. Deve ser uma sequência de caracteres.
Functor/&ParameterVariableOperationTypeRollTitle	Rolar
Functor/&ParameterVariableOperationTypeRollDescription	A variável é definida com o resultado da rolagem de dados.
Functor/&ParameterVariableOperationValueDieTitle	Tipo de Dado
Functor/&ParameterVariableOperationValueDieDescription	O tipo de dado que será rolado.
Functor/&SetLocationStatusTitle	Definir o Estado de um Local
Functor/&SetLocationStatusDescription	Muda o estado de um local para torná-lo, por exemplo, oculto/bloqueado ou disponível, o que se reflete nos múltiplos dispositivos de saída.
Functor/&ParameterLocationTitle	Local
Functor/&ParameterLocationDescription	O nome do local selecionado.
Functor/&ParameterLocationStatusTitle	Estado de um Local
Functor/&ParameterLocationStatusDescription	O estado de um local especificado.
Functor/&ParameterLocationStatusHiddenTitle	Oculta
Functor/&ParameterLocationStatusHiddenDescription	O local fica oculto nas múltiplas janelas de saída.
Functor/&ParameterLocationStatusLockedTitle	Bloqueado
Functor/&ParameterLocationStatusLockedDescription	O local fica visível, mas não pode ser usado nas múltiplas janelas de saída.
Functor/&ParameterLocationStatusAvailableTitle	Disponíveis
Functor/&ParameterLocationStatusAvailableDescription	O local está disponível e pode ser usado em múltiplas janelas de saída.
Functor/&ParameterInventoryOperationGrantTreasuryTitle	Ganho de Tesouro
Functor/&ParameterInventoryOperationGrantTreasuryDescription	Tipo de operação de inventário que será realizada.
Functor/&ParameterInventoryOperationLoseTreasuryTitle	Perda de Tesouro
Functor/&ParameterInventoryOperationLoseTreasuryDescription	Tipo de operação de inventário que será realizada. Se nenhum valor for especificado, todos os itens deste mesmo tipo serão removidos dos personagens correspondentes.
Functor/&ParameterInventoryOperationTreasuryTitle	Tesouro
Functor/&ParameterInventoryOperationTreasuryDescription	Quantidade do tesouro para esta operação.
