Prop/&CandelabraTitle	Candelabro
Prop/&StairsDestoyedTitle	Escadaria Destruída
Prop/&WallDestoyedTitle	Parede Destruída
Prop/&WallLinkTitle	Ligação de Parede
Prop/&SlopeTitle	Inclinação
Prop/&TrunkTitle	Arca
Prop/&WoodLogTitle	Tora de Madeira
Prop/&CookingStuffTitle	Panela
Prop/&ArchEndTitle	Arco Destruído
Prop/&ColumnTitle	Coluna
Prop/&RuinedKioskTitle	Quiosque em Ruínas
Prop/&RuinedWallTitle	Parede em Ruínas
Prop/&CaravanTitle	Caravana
Prop/&BridgeTitle	Ponte
Prop/&RitualStoneTitle	Pedra de Ritual
Prop/&SkullPileTitle	Pilha de Crânios
Prop/&Beam_ScreenTitle	Parede de Madeira Vazada
Prop/&Tavern_CounterTitle	Balcão de Taberna
Prop/&Walls_LowTitle	Muro Baixo
Prop/&PennantTitle	Pendão
Prop/&HousePatchTitle	Mercado
Prop/&Drying_ClothesTitle	Roupas Penduradas
Prop/&WoodFenceTitle	Cercas de Madeira
Prop/&FountainTitle	Fonte
Prop/&GallowTitle	Forca
Prop/&Flowers_PatchTitle	Arbusto de Flores
Prop/&Flowerbed_LineTitle	Canteiro de Flores Linear
Prop/&Garden_GroundTitle	Terreno de Jardim
Prop/&Garden_HedgeTitle	Cerca de Jardim
Prop/&KioskTitle	Quiosque de Jardim
Prop/&Wall_CreeperTitle	Trepadeiras
Prop/&Wall_CreeperDescription	Vegetação para colocar em muros
Prop/&HouseTitle	Casa
Prop/&Paved_Road_StraightTitle	Estrada Pavimentada (Reta)
Prop/&Paved_Road_SquareTitle	Estrada Pavimentada (Quadrado)
Prop/&Paved_Road_TurnTitle	Estrada Pavimentada (Curva)
Prop/&Paved_Road_TShapeTitle	Estrada Pavimentada (em T)
Prop/&Paved_Road_CrossTitle	Estrada Pavimentada (Cruzamento)
Prop/&Paved_Road_DeadEndTitle	Estrada Pavimentada (Sem Saída)
Prop/&Information_BoardTitle	Quadro de Informações
Prop/&SeparatorTitle	Separador
Prop/&SeparatorDescription	Viga de madeira para separar paredes finas
Prop/&JuniperGroundTitle	Moita de Zimbro
Prop/&ManholeCoverTitle	Tampa de Bueiro
Prop/&Merchant_BannerTitle	Faixa de Mercador
Prop/&Merchant_SignTitle	Placa de Mercador
Prop/&NightStandTitle	Mesa de Cabeceira
Prop/&ShopStructureTitle	Estrutura de Loja
Prop/&ShopBookStandTitle	Estande de Livraria
Prop/&ShopFoodStandTitle	Estande de Alimentos
Prop/&ShopGeneralStoreTitle	Estande de Variedades
Prop/&GenericShopTitle	Estande de Itens Genéricos
Prop/&ShopMagicTitle	Estande de Loja Mágica
Prop/&ShopBookCounterTitle	Balcão de Livraria
Prop/&ShopFoodCounterTitle	Balcão de Alimentos
Prop/&ShopGeneralCounterTitle	Balcão de Variedades
Prop/&Shop_WoodenShedTitle	Cabana de Madeira
Prop/&TownSeparationWallsTitle	Muros Internos da Cidade
Prop/&TownSeparationButressTitle	Contraforte Interno de Cidade
Prop/&SmallWallsLadderTitle	Hera Fácil de Escalar
Prop/&SmallWallsLadderDescription	Para colocar APENAS em bloqueios de parede
Prop/&StableTitle	Estábulo
Prop/&Statue_Little_EmperorTitle	Estátua de um Jovem Imperador
Prop/&Statue_Maisy_JadeTitle	Estátua da Pérola (jade)
Prop/&Statue_Maisy_StoneTitle	Estátua da Pérola (pedra)
Prop/&Statue_Maisy_MarbleTitle	Estátua da Pérola (mármore)
Prop/&Statue_MisayeTitle	Estátua de Misaye
Prop/&StreetLampostTitle	Lamparina de Rua
Prop/&StairsConnectorTitle	Escadaria Conectora
Prop/&StairsConnectorDescription	Uma escadaria que conecta o piso inferior às salas do piso superior
Prop/&WallButressTitle	Contraforte
Prop/&WoodPalissadeTitle	Paliçada de Madeira
Prop/&WoodPalissadeDescription	Concede cobertura robusta
Prop/&House_ExtensionTitle	Extensão (casa)
Prop/&House_ExtensionDescription	Para posicionar nas paredes da casa
Prop/&Wooden_BeamTitle	Viga de Madeira
Prop/&Y_SeparatorTitle	Viga de Madeira em Y
Prop/&Y_SeparatorDescription	Para posicionar em paredes (mas não paredes finas)
Prop/&BurningDebrisTitle	Escombros em Chamas
Prop/&CastleInnerWallTitle	Muro Interno do Castelo
Prop/&CastleWallFillerTitle	Pedaço do Muro Interno do Castelo
Prop/&CastleWallDoorwayTitle	Passagem do Muro Interno do Castelo
Prop/&CastleWallObstacleTitle	Obstáculo do Muro Interno do Castelo
Prop/&CastleTowerTitle	Torre do Castelo
Prop/&CastleWallTitle	Muro do Castelo
Prop/&BrokenFurnituresTitle	Mobília Quebrada
Prop/&PalaceTitle	Palácio Élfico
Prop/&BarraksTitle	Caserna
Prop/&TreeTitle	Árvore Simples
Prop/&CaveWallDoorwaysTitle	Parede Livre - Passagem
Prop/&TrophyTitle	Troféu de Caça
Prop/&TrophyDescription	Para posicionar em paredes (mas não paredes finas)
Prop/&BoatTitle	Barco
Prop/&DresserTitle	Cômoda
Prop/&HutWitchTitle	Cabana da Bruxa
Prop/&LakeTitle	Lago Pequeno
Prop/&PuddleTitle	Poça
Prop/&Trunk_CrawlingTitle	Árvores Caídas
Prop/&Trunk_CrawlingDescription	Você pode rastejar sob as árvores caídas.
Prop/&WoodenHouseTitle	Casa de Madeira
Prop/&SuspendingLanternTitle	Lamparina
Prop/&NestGiantTitle	Ninho Gigante
Prop/&SquarePlantTitle	Jardim do Globo Mundial
Prop/&ThroneTitle	Trono
Prop/&SuspendingPlanterTitle	Plantas Penduradas
Prop/&MagicRuneTitle	Runa Mágica
Prop/&BenchDestroyedTitle	Banco Destruído
Prop/&CorpseClericTitle	Armadura de Clérigo
Prop/&CorpseFullPlateTitle	Armadura de Placas Completa
Prop/&CorpseScaleMailTitle	Brunea
Prop/&CorpseSorcererTitle	Cadáver do Feiticeiro
Prop/&OutpostTitle	Entreposto em Ruínas
Prop/&PlateauTitle	Planalto
