ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Class/&WitchMaledictionApathyDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 18 mètres autour de vous pour effectuer un jet de sauvegarde de Charisme. En cas d'échec, jusqu'à la fin de votre prochain tour, la créature devient indifférente envers une créature de votre choix à laquelle elle est hostile. Cette indifférence prend fin si la cible est attaquée ou blessée par un sort de la créature à laquelle elle est indifférente.
Class/&WitchMaledictionApathyTitle	Apathie Malédiction
Class/&WitchMaledictionCharmDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 18 mètres pour effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est charmée par vous jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionCharmTitle	Charme Malédiction
Class/&WitchMaledictionDisorientDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 18 mètres pour effectuer un jet de sauvegarde de Constitution. En cas d'échec, chaque fois que cette cible effectue un jet d'attaque avant la fin de votre prochain tour, elle doit lancer un d6 et soustraire le nombre obtenu au jet d'attaque.
Class/&WitchMaledictionDisorientTitle	Disorient Malediction
Class/&WitchMaledictionEvilEyeDescription	Par une action, choisissez une créature que vous pouvez voir et qui peut vous voir dans un rayon de 18 mètres pour effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature a peur de vous jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionEvilEyeTitle	Malédiction du mauvais œil
Class/&WitchMaledictionObfuscateDescription	Par une action, vous créez une sphère de brouillard de 6 mètres de rayon centrée sur vous-même. La sphère s'étend autour des coins et sa zone est fortement obscurcie. Cet effet dure jusqu'à la fin de votre prochain tour ou jusqu'à ce qu'un vent de vitesse modérée ou supérieure (au moins 10 milles à l'heure) le disperse.
Class/&WitchMaledictionObfuscateTitle	Obfusquer la malédiction
Class/&WitchMaledictionPoxDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 1,50 mètre pour effectuer un jet de sauvegarde de Constitution. En cas d'échec, la créature est empoisonnée jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionPoxTitle	Malédiction de la Vérole
Class/&WitchMaledictionRuinDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 18 mètres pour effectuer un jet de sauvegarde de Constitution. En cas d'échec, la classe d'armure de la créature diminue de 3, jusqu'à un minimum de 10, jusqu'à la fin de votre prochain tour.
Class/&WitchMaledictionRuinTitle	Ruin Malediction
Class/&WitchRitualCastingMagicAffinityDescription	Vous pouvez lancer un sort de sorcière en tant que rituel si ce sort a l'étiquette de rituel et que vous avez préparé le sort.
Class/&WitchRitualCastingMagicAffinityTitle	Casting rituel
Class/&WitchSavingthrowProficiencyDescription	Sagesse, Charisme.
Class/&WitchSavingthrowProficiencyTitle	Compétences du lancer de sauvegarde de sorcière
Class/&WitchSkillProficiencyDescription	Choisissez-en deux parmi Arcanes, Tromperie, Perspicacité, Intimidation, Persuasion, Nature et Religion.
Class/&WitchSkillProficiencyTitle	Compétences de sorcière
Class/&WitchSpellcastingDescription	Vous êtes une sorcière capable de lancer des sorts de la liste des sorts de sorcière.
Class/&WitchSpellcastingTitle	Lancer de sorts de sorcière
Class/&WitchTitle	Sorcière
Class/&WitchToolProficiencyDescription	Choisissez-en un parmi le kit d'herboriste et le kit d'empoisonneur.
Class/&WitchToolProficiencyTitle	Compétences en outils de sorcière
Class/&WitchVisionsInitiativeDescription	Vous ajoutez votre modificateur de Charisme à vos jets d'initiative.
Class/&WitchVisionsInitiativeTitle	Initiative Visions
Class/&WitchWeaponProficiencyDescription	Armes simples.
Class/&WitchWeaponProficiencyTitle	Maîtrise des armes de sorcière
Condition/&AbateDescription	Impossible d'utiliser les réactions.
Condition/&AbateTitle	Diminuer
Condition/&AncientForestPhotosynthesisDescription	Vous pouvez absorber l'énergie du soleil. Tant que vous êtes en pleine lumière directe, vous regagnez 2 PV au début de votre tour.
Condition/&AncientForestPhotosynthesisTitle	Photosynthèse
Condition/&AncientForestRootedConditionDescription	Des vrilles arboricoles poussent à partir de vos pieds et s'enfoncent dans le sol. Vous pouvez lancer enchevêtrement à volonté. Votre vitesse passe à 0 et vous bénéficiez d'un avantage sur tous les jets de sauvegarde pour vous pousser, vous tirer ou vous assommer.
Condition/&AncientForestRootedConditionTitle	Enraciné
Condition/&ApathyDescription	Indifférent à la créature ciblée à laquelle il est hostile. Cette indifférence prend fin si la cible est attaquée ou blessée par un sort de la créature ciblée.
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Considère le lanceur comme un allié.
Condition/&CharmTitle	Charmé
Condition/&ClassMonkEmptyBodyConditionDescription	Vous avez une résistance à tous les dégâts sauf à la force.
Condition/&ClassMonkEmptyBodyConditionTitle	Corps vide
Condition/&ClassMonkOpenHandDistractConditionDescription	Impossible d'utiliser les réactions.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraits
Condition/&ClassMonkStepOfTheWindConditionDescription	Vous pouvez effectuer l'action Désengager ou Foncer en tant qu'action bonus et votre distance de saut est doublée pour le tour.
Condition/&ClassMonkStepOfTheWindConditionTitle	Pas du vent
Condition/&ClassMonkTanquilityConditionDescription	Vous avez un avantage aux jets de sauvegarde contre les sorts et les ennemis ont un désavantage en vous attaquant. Supprimé lorsque vous effectuez une attaque ou lancez un sort.
Condition/&ClassMonkTanquilityConditionTitle	Tranquillité
Condition/&ClassMonkZenArrowDistractConditionDescription	A un désavantage à la prochaine attaque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distraits
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	A un désavantage sur toutes les attaques.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Distraits
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Le mouvement est mis à 0.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Épinglé
Condition/&ConditionBarkWardDescription	Protégé par les esprits de la forêt. Gagne 4 PV temporaires pour chaque niveau de Druide, durant 10 minutes.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	Vous créez une dynamique...
Condition/&ConditionDualFlurryApplyTitle	Double rafale !
Condition/&ConditionDualFlurryGrantDescription	Vos ennemis sont sous le choc !
Condition/&ConditionDualFlurryGrantTitle	Double rafale !
Condition/&ConditionImprovedBarkWardDescription	Les esprits de la forêt infligent 2d8 dégâts perforants aux créatures qui les touchent lors d'une attaque au corps à corps.
Condition/&ConditionImprovedBarkWardTitle	Bark Ward amélioré
Condition/&ConditionMarkedByArcanistDescription	Affligé par la Marque de l'Arcaniste. Lorsqu'elle est touchée par le lanceur de sorts avec une arme, la marque explose, infligeant 1d6 dégâts de force à l'affligé et détruisant la marque.
Condition/&ConditionMarkedByArcanistTitle	Marque d'arcaniste
Condition/&ConditionMuleDescription	Votre vitesse n'est pas réduite par l'encombrement ou l'armure lourde. Vous pouvez transporter 20 livres supplémentaires.
Condition/&ConditionMuleTitle	Mule
Condition/&ConditionSuperiorBarkWardDescription	Les esprits de la forêt confèrent une immunité au poison et infligent 3d8 dégâts perforants aux créatures qui les touchent lors d'une attaque au corps à corps.
Condition/&ConditionSuperiorBarkWardTitle	Quartier supérieur de l'écorce
Condition/&DebilitatedConditionDescription	Souffrez de l'une des conditions suivantes : aveuglé, fléau, saignant ou étourdi.
Condition/&DebilitatedConditionTitle	Débilité
Condition/&DHFeeblemindSpellDescription	Les valeurs d'Intelligence et de Charisme de la créature deviennent 1. La créature ne peut pas lancer de sorts, activer d'objets magiques, comprendre le langage ou communiquer de manière intelligible.
Condition/&DHFeeblemindSpellTitle	Faiblesse d'esprit
Condition/&DHForesightSpellDescription	Avantage sur tous les jets d'attaque, les tests de capacité et les jets de sauvegarde. Les autres créatures ont un désavantage aux jets d'attaque.
Condition/&DHForesightSpellTitle	Prévoyance
Condition/&DHHolyAuraSpellDescription	Avantage à tous les jets de sauvegarde. Les autres créatures ont un désavantage aux jets d'attaque. Lorsqu'un fiélon ou un mort-vivant touche une créature affectée avec une attaque au corps à corps, l'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
Condition/&DHHolyAuraSpellTitle	Protégé par Holy Aura
Condition/&DHMindBlankSpellDescription	Immunisé contre les dégâts psychiques et l'état charmé.
Condition/&DHMindBlankSpellTitle	Vide d'esprit
Condition/&DHReverseGravitySpellDescription	Je ne peux pas bouger.
Condition/&DHReverseGravitySpellTitle	Pris par gravité inverse
Condition/&DHTimeStopSpellDescription	Le temps est gelé pour la créature affectée.
Condition/&DHTimeStopSpellTitle	Temps arrêté
Condition/&DHWeirdSpellDescription	Effrayé. À la fin de chaque tour, effectuez un jet de sauvegarde de Sagesse. En cas d'échec, subissez 4d10 dégâts psychiques. En cas de succès, cette condition prend fin.
Condition/&DHWeirdSpellTitle	Bizarre
Condition/&DisorientDescription	-1d6 aux jets d'attaque.
Condition/&DisorientTitle	Désorienté
Condition/&EvilEyeDescription	Effrayé. Incapable d'approcher la source de la peur, désavantage aux jets d'attaque et aux tests de capacité alors que la source de la peur est en vue.
Condition/&EvilEyeTitle	Mauvais œil
Condition/&EWResonatingStrikeDamageDescription	Au niveau 5, les attaques déclenchées par ce sort mineur infligent 1d8 dégâts de tonnerre supplémentaires. Les dégâts augmentent encore de 1d8 aux niveaux 11 et 17.
Condition/&EWResonatingStrikeDamageTitle	Résonance
Condition/&EWSunlightBladeDamageDescription	Au niveau 5, les attaques déclenchées par ce sort mineur infligent 1d8 dégâts radiants supplémentaires. Les dégâts augmentent encore de 1d8 aux niveaux 11 et 17.
Condition/&EWSunlightBladeDamageTitle	Brûlure de la Lame ensoleillée
Condition/&FrenziedDescription	Cette créature est frénétique et attaquera la créature la plus proche.
Condition/&FrenziedTitle	Frénétique
Condition/&HalfLifeConditionDescription	Vous prenez de l'énergie nécrotique en vous et vous vous suspendez entre la vie et la mort et êtes temporairement possédé par votre propre fantôme, gagnant le vol et les mêmes immunités aux conditions et résistances aux dégâts que les autres fantômes.
Condition/&HalfLifeConditionTitle	Demi vie
Condition/&HelpActionDescription	Cette créature a été distraite.
Condition/&HelpActionTitle	Distraits
Condition/&MoonTouchedConditionDescription	Votre gravité est annulée.
Condition/&MoonTouchedConditionTitle	Lune touchée
Condition/&PoxDescription	État de la variole.
Condition/&PoxTitle	Variole
Condition/&RuinDescription	Pénalité de -3 CA, jusqu'à un maximum de -10 CA.
Condition/&RuinedDescription	Pénalité de -3 CA, jusqu'à un maximum de -10 CA.
Condition/&RuinedTitle	Ruiné
Condition/&RuinTitle	Ruine
Condition/&SentinelStopMovementConditionDescription	Incapable de bouger. Vitesse réglée sur 0.
Condition/&SentinelStopMovementConditionTitle	Arrêté
Condition/&SwallowedByToadConditionDescription	Subit 3d6 dégâts d'acide à chaque tour. Prend fin si le lanceur subit 15 dégâts ou plus en une seule attaque.
Condition/&SwallowedByToadConditionTitle	Avalé par le crapaud
Condition/&SwallowingToadConditionDescription	Prend fin si 15 dégâts ou plus sont subis en une seule attaque.
Condition/&SwallowingToadConditionTitle	Crapaud avaleur
ContentPack/&CommunityExpansionPackDescription	Le pack Community Expansion ajoute de nouvelles classes, sous-classes, exploits et sorts. Il existe un plafond de niveau supérieur, des fonctionnalités multi-classes, QOL, des corrections de bogues et plus encore. C'est une véritable corne d'abondance (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack d'extension communautaire
CraftyFeats/&ApothecaryIntFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit d'herboristerie et Arcana, ou en expertise si vous êtes déjà compétent.
CraftyFeats/&ApothecaryIntFeatTitle	Apothicaire (Renseignement)
CraftyFeats/&ApothecaryWisFeatDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit d'herboristerie et Arcana, ou en expertise si vous êtes déjà compétent.
CraftyFeats/&ApothecaryWisFeatTitle	Apothicaire (Sagesse)
CraftyFeats/&AttributeDexDescription	+1 DEX jusqu'à un maximum de 20
CraftyFeats/&AttributeDexTitle	Dextérité
CraftyFeats/&AttributeIntDescription	+1 INT jusqu'à un maximum de 20
CraftyFeats/&AttributeIntTitle	Intelligence
CraftyFeats/&AttributeWisDescription	+1 WIS jusqu'à un maximum de 20
CraftyFeats/&AttributeWisTitle	Sagesse
CraftyFeats/&CraftyArcanaDescription	Vous acquérez des compétences/expertises en Arcana.
CraftyFeats/&CraftyBowsDescription	Vous gagnez la maîtrise de tous les arcs et arbalètes.
CraftyFeats/&CraftyBowsTitle	Maîtrise de l'arc
CraftyFeats/&CraftyFletcherFeatDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nVous gagnez en maîtrise des outils de forgeron ou en expertise si vous êtes déjà compétent.\n Vous gagnez la maîtrise de tous les arcs et arbalètes.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Vous acquérez une compétence / expertise en médecine.
CraftyFeats/&CraftyNatureDescription	Vous gagnez en compétence/expertise dans la nature.
CraftyFeats/&CraftyScribeFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit de parchemin et Arcana, ou en expertise si vous êtes déjà compétent.\nNécessite la capacité de lancer des sorts.
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Compétences
CraftyFeats/&CraftyToolsTitle	Outils
CraftyFeats/&ManacalonCrafterFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous acquérez la maîtrise du chapelet manacolon et des arcanes, ou de l'expertise si vous êtes déjà compétent.\nNécessite la capacité de lancer des sorts.
CraftyFeats/&ManacalonCrafterFeatTitle	Artisan de Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise du kit d'empoisonneur et de la Nature, ou l'expertise si vous êtes déjà compétent.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologue (Renseignement)
CraftyFeats/&ToxicologistWisFeatDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise du kit d'empoisonneur et de la médecine, ou l'expertise si vous êtes déjà compétent.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologue (Sagesse)
DamageAffinity/&DHHolyAuraSpellDescription	Lorsqu'un démon ou un mort-vivant touche avec une attaque de mêlée, l'aura clignote avec une lumière brillante et l'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
DamageAffinity/&DHHolyAuraSpellTitle	Aura sacrée Représailles
Equipment/&ArcaneStaffDescription	Ce bâton est gravé d'une écriture magique et peut être utilisé comme cible pour lancer des sorts arcaniques.
Equipment/&ArcaneStaffTitle	Bâton arcanique
Equipment/&CEHalberdTypeTitle	Hallebardes
Equipment/&CEHandXbowTypeTitle	Arbalètes à main
Equipment/&CELongMaceTypeTitle	Longues masses
Equipment/&CEPikeTypeTitle	brochets
Equipment/&DruidicAmuletDescription	Cette amulette totémique peut être utilisée comme focus pour lancer des sorts druidiques.
Equipment/&DruidicAmuletTitle	Amulette druidique
Equipment/&Enchanted_Club_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Club d'acuité
Equipment/&Enchanted_Club_Bearclaw_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Les pointes acérées de la griffe de l'ours déchiquettent l'armure pour infliger des dégâts supplémentaires. La première arme de ce type a été conçue par Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Club de la griffe d'ours
Equipment/&Enchanted_Club_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Colthannin. Il a été conçu par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mort-vivantes.
Equipment/&Enchanted_Club_Lightbringer_Title	Club des porteurs de lumière
Equipment/&Enchanted_Club_Power_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Certaines créatures ne respectent que les forces physiques. Les arcanistes de Manacalon ont créé ce club pour donner aux champions des Légions de Fer la force que leur corps elfique ne leur offrait pas.
Equipment/&Enchanted_Club_Power_Title	Club du pouvoir
Equipment/&Enchanted_Club_Punisher_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. La combinaison du meilleur métal et de Slavestone a donné à cette hache un pouvoir de perçage incroyable.
Equipment/&Enchanted_Club_Punisher_Title	Club des punisseurs
Equipment/&Enchanted_Dart_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Fléchette d'acuité
Equipment/&Enchanted_Dart_Frostburn_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Il a été conçu par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Dart_Frostburn_Title	Fléchette brûle-givre
Equipment/&Enchanted_Dart_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Fléchette de netteté
Equipment/&Enchanted_Dart_Souldrinker_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Favori des agents de Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dard buveur d'âme
Equipment/&Enchanted_Handaxe_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hache d'acuité
Equipment/&Enchanted_Handaxe_Frostburn_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Il a été conçu par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hachette brûle-givre
Equipment/&Enchanted_Handaxe_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hache d'acuité
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Favori des agents de Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hachette de buveur d'âmes
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Sa conception originale portait le sceau de Defineth Sharpsight, un enchanteur elfe sylvestre renommé.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Arbalète lourde de précision
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Il a été conçu par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mort-vivantes.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Arbalète lourde du porteur de lumière
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. La magie a fusionné le corail méduse et le bois dur pour créer un arc mortel, favorisé par les groupes d'embarquement des halfelins insulaires.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Arbalète lourde Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Les Coedymwarth préféraient s'occuper physiquement des arcanistes de Manacalon plutôt que magiquement. Ses meilleurs archers ont reçu des arbalètes, la création de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Arbalète lourde de tir d'élite
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Il a été conçu par Galar Stromforge, le premier forgeron nain à exploiter le pouvoir de la tempête dans une arme aux effets dévastateurs !
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Arbalète tempête lourde
Equipment/&Enchanted_HideArmor_Deflection_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Deflection_Title	Cacher l'armure de déviation
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	Masquer l'Armure de la Danse des Flammes
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Cacher l'armure de givre
Equipment/&Enchanted_HideArmor_Robustness_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Robustness_Title	Cacher l'armure de robustesse
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Cacher l'armure de robustesse
